id,item_id,asset_id,backpack_type_id,declare_siege_zone_group_id,heavy,asset2_id
108,24082,6622,2,0,f,0
109,24083,6623,2,0,f,14292
110,24093,6624,2,0,f,0
112,24437,18159,5,0,t,0
113,24845,10138,3,0,t,0
114,24920,10138,3,0,t,0
115,24921,10140,3,0,t,0
116,24922,10139,3,0,t,0
117,24923,10141,3,0,t,0
118,24924,10153,3,0,t,0
119,24925,10152,3,0,t,0
120,24926,10153,3,0,t,0
121,24927,10151,3,0,t,0
122,24928,10139,3,0,t,0
123,24929,10135,3,0,t,0
124,24930,10151,3,0,t,0
125,24931,10147,3,0,t,0
126,24932,10141,3,0,t,0
127,24933,10139,3,0,t,0
128,24934,10156,3,0,t,0
129,24935,10145,3,0,t,0
130,24936,10133,3,0,t,0
131,24937,10141,3,0,t,0
132,24938,10151,3,0,t,0
133,24939,10153,3,0,t,0
134,24940,10141,3,0,t,0
135,24941,10143,3,0,t,0
136,24942,10151,3,0,t,0
137,24943,10151,3,0,t,0
138,24944,10138,3,0,t,0
139,24945,10139,3,0,t,0
140,24946,10156,3,0,t,0
141,24947,10155,3,0,t,0
142,24948,10139,3,0,t,0
143,24949,10136,3,0,t,0
144,24950,10151,3,0,t,0
145,24951,10151,3,0,t,0
146,24952,10141,3,0,t,0
147,24953,10141,3,0,t,0
148,24954,10144,3,0,t,0
149,24955,10141,3,0,t,0
150,24956,10139,3,0,t,0
151,24957,10139,3,0,t,0
152,24958,10156,3,0,t,0
153,24959,10155,3,0,t,0
154,24960,10153,3,0,t,0
155,24961,10151,3,0,t,0
156,24962,10150,3,0,t,0
157,24963,10153,3,0,t,0
158,25002,6736,3,0,f,0
159,25065,7450,3,0,f,0
160,25115,11989,3,0,f,0
161,25118,14088,2,0,f,14091
162,25119,14087,2,0,f,14090
163,25121,14086,2,0,f,14089
164,25223,10501,3,0,t,0
166,25328,6624,2,0,f,14293
167,25329,6622,2,0,f,14288
168,25683,8444,3,0,f,0
169,25736,13660,3,0,t,0
170,25817,5001,3,0,t,0
171,25993,5001,3,0,t,0
172,26026,14539,2,0,f,14538
173,26031,14539,2,0,f,14538
174,26032,14540,2,0,f,14537
175,26096,10145,3,0,t,0
176,26097,10154,3,0,t,0
177,26098,10143,3,0,t,0
178,26099,10134,3,0,t,0
179,26388,15544,3,0,t,0
180,26472,10139,3,0,t,0
181,26473,10133,3,0,t,0
182,26474,10149,3,0,t,0
183,26475,10154,3,0,t,0
184,26476,10140,3,0,t,0
185,26477,10155,3,0,t,0
186,26478,10143,3,0,t,0
187,26479,10146,3,0,t,0
188,26480,10142,3,0,t,0
189,26481,10154,3,0,t,0
190,26482,10144,3,0,t,0
191,26483,10151,3,0,t,0
192,26484,10141,3,0,t,0
193,26485,10153,3,0,t,0
194,26486,10138,3,0,t,0
195,26487,10153,3,0,t,0
196,26488,10144,3,0,t,0
197,26489,10142,3,0,t,0
198,26490,10133,3,0,t,0
199,26491,10155,3,0,t,0
200,26492,10150,3,0,t,0
201,26493,10151,3,0,t,0
202,26494,10151,3,0,t,0
203,26672,5001,1,0,f,0
204,26698,16142,3,0,t,0
205,26699,8444,3,0,f,0
206,26700,4696,3,0,t,0
207,26701,9933,3,0,t,0
208,26702,4698,3,0,t,0
209,26722,6736,3,0,t,0
210,26728,4697,3,0,t,0
211,26729,10501,3,0,t,0
212,26730,4696,3,0,t,0
213,26731,9933,3,0,t,0
214,26732,4698,3,0,t,0
215,26772,5001,1,0,f,0
216,26780,7450,3,0,t,0
218,26950,5001,3,0,f,0
219,26963,8444,3,0,f,0
220,27118,16340,6,0,t,0
221,27146,14088,2,0,f,14091
222,27147,5001,3,0,t,0
223,27151,5001,3,0,t,0
224,27177,16207,3,0,t,0
225,27215,16289,3,0,t,0
226,27216,16290,3,0,t,0
227,27267,9785,2,0,f,14291
228,27275,17647,2,0,f,17648
229,27277,5001,3,0,t,0
230,27301,4697,3,0,t,0
231,27352,6755,3,0,t,0
232,27457,16760,6,0,t,0
233,27458,16762,6,0,t,0
234,27501,16763,6,0,t,0
235,27502,16759,6,0,t,0
236,27503,16761,6,0,t,0
237,27504,16764,6,0,t,0
238,27599,16788,6,0,t,0
239,27600,16791,6,0,t,0
240,27601,16792,6,0,t,0
241,27602,16793,6,0,t,0
242,27603,16797,6,0,t,0
243,27604,16798,6,0,t,0
244,27605,16794,6,0,t,0
245,27606,16795,6,0,t,0
246,27607,16796,6,0,t,0
247,27608,16785,6,0,t,0
248,27609,16786,6,0,t,0
249,27610,16787,6,0,t,0
250,27611,16781,6,0,t,0
251,27612,16783,6,0,t,0
252,27613,16784,6,0,t,0
253,27950,14540,2,0,f,14537
254,28054,16951,2,0,f,16952
255,28068,16289,3,0,t,0
256,28069,16962,2,0,f,16970
257,28151,10160,2,0,f,4699
258,28321,18129,6,0,t,0
259,28322,18130,6,0,t,0
260,28349,5001,3,0,t,0
261,28354,5001,3,0,t,0
262,28369,6736,3,0,t,0
263,28378,5001,3,0,t,0
264,28479,10908,2,0,f,10909
265,28643,6809,3,0,f,0
266,28679,16289,3,0,t,0
267,28712,11772,2,0,f,11773
268,28768,17872,6,0,t,0
269,28792,18168,3,0,f,0
270,28856,17945,3,0,t,0
271,28887,6623,2,0,f,14292
272,28941,18124,3,0,t,0
273,28942,18126,3,0,t,0
274,28943,18125,3,0,t,0
275,28987,8444,3,0,f,0
276,29039,18162,2,0,f,18167
277,29042,18168,2,0,f,18168
278,29111,11920,2,0,f,11921
279,29113,18470,2,0,f,18471
280,29142,5001,3,0,t,0
282,29199,18459,2,0,f,18460
283,29291,15544,3,0,t,0
284,29631,8444,3,0,f,0
285,29632,8444,3,0,f,0
286,29633,8444,3,0,f,0
287,29634,8444,3,0,f,0
288,29635,8444,3,0,f,0
289,29722,16340,6,0,t,0
290,29786,10501,3,0,t,0
291,29788,4697,3,0,t,0
292,29791,18125,3,0,t,0
293,29796,18749,2,0,f,0
294,29801,16796,6,0,t,0
295,29802,16791,6,0,t,0
296,29803,16762,6,0,t,0
297,29804,16793,6,0,t,0
298,29905,18802,2,0,f,18803
299,29952,18168,7,0,f,0
300,29975,18918,2,0,f,18919
301,29976,18916,2,0,f,18917
302,29994,18923,2,0,f,18924
303,29995,18942,2,0,f,18943
