id,tod,next_phase
472,300,16392
473,300,16392
475,300,16392
476,10,16420
477,400,16434
478,200,16445
479,200,16447
480,2000,16449
481,200,16451
482,200,16453
483,200,16455
484,200,16457
485,200,16459
486,400,16392
487,400,16392
488,400,16392
489,400,16392
490,400,16392
491,10,16505
492,10,16702
493,400,16701
494,400,16701
495,400,16701
496,400,16701
498,400,16701
499,400,16701
500,400,16392
501,10,16621
503,600,16715
504,600,16715
505,600,16715
506,400,17102
507,2000,17101
508,930,-1
509,400,17102
510,2000,17101
511,1200,17514
512,600,17513
513,2000,17425
514,930,-1
515,400,17424
516,400,17424
517,60000,17425
518,1200,18286
519,2350,18286
522,2100,18501
523,2000,19263
524,400,-1
525,2000,19264
526,400,-1
527,400,14345
528,2000,19263
529,400,14460
530,2000,19264
531,400,14345
532,400,14460
533,400,14345
534,400,14460
535,10,19365
536,400,19368
538,2000,20056
539,400,-1
540,400,20054
541,2000,20056
542,400,20054
543,400,20054
544,2000,20060
545,400,-1
546,400,20058
547,2000,20060
548,400,20058
549,400,20058
550,2000,20064
551,400,-1
552,400,20062
553,2000,20064
554,400,20062
555,400,20062
