id,name,char_race_id,npc_grade_id,npc_kind_id,level,npc_template_id,equip_bodies_id,equip_cloths_id,equip_weapons_id,model_id,faction_id,skill_trainer,ai_file_id,merchant,npc_nickname_id,auctioneer,show_name_tag,visible_to_creator_only,no_exp,pet_item_id,base_skill_id,track_friendship,priest,comment1,npc_tendency_id,blacksmith,teleporter,opacity,ability_changer,scale,comment2,comment3,sight_range_scale,sight_fov_scale,milestone_id,attack_start_range_scale,aggression,exp_multiplier,exp_adder,stabler,accept_aggro_link,recruiting_battle_field_id,return_distance,npc_ai_param_id,non_pushable_by_actor,banker,aggro_link_special_rule_id,aggro_link_help_dist,aggro_link_sight_check,expedition,honor_point,trader,aggro_link_special_guard,aggro_link_special_ignore_npc_attacker,comment_wear,absolute_return_distance,repairman,activate_ai_always,so_state,specialty,sound_pack_id,specialty_coin_id,use_range_mod,npc_posture_set_id,mate_equip_slot_pack_id,mate_kind_id,engage_combat_give_quest_id,total_custom_id,no_apply_total_custom,base_skill_strafe,base_skill_delay,npc_interaction_set_id,use_abuser_list,return_when_enter_housing_area,look_converter,use_ddcms_mount_skill,crowd_effect
11,Coward Villager,3,1,1,50,9,,7,,15,111,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
12,Coward Villager,3,1,1,50,9,,7,,15,112,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
13,Coward Villager,3,1,1,50,9,,7,,15,113,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
14,Coward Villager,3,1,1,50,9,,7,,15,114,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
15,Coward Villager,3,1,1,50,9,,7,,15,143,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
16,Coward Villager,3,1,1,50,9,,7,,15,131,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
17,Coward Villager,3,1,1,50,9,,7,,15,144,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
18,Coward Villager,3,1,1,50,9,,7,,15,161,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
19,Coward Villager,3,1,1,50,9,,7,,15,165,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
20,Coward Villager,3,1,1,50,9,,7,,15,166,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
21,Coward Villager,3,1,1,50,9,,7,,15,172,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
22,Coward Villager,3,1,1,50,9,,7,,14,132,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
23,Brave Villager,1,1,1,50,9,,,,901,175,f,19,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,f,1.0,0,f,t,0,50.0,1974,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
24,Brave Villager,1,1,1,50,9,,10,,10,176,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
25,Brave Villager,1,1,1,50,9,,1,,10,177,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
26,테스트용NPC,3,1,1,15,9,,1,130,10,1,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,1991,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,12,,,,,f,t,0.0,,t,f,f,f,t
27,Spy Villager,1,1,1,50,9,,10,,10,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
29,물까마귀,0,1,2,12,9,,,,124,115,f,13,f,0,f,t,f,f,,2,f,f,,2,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,f,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
30,부수기,0,1,2,50,9,,,,20,164,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,갈대무리 땅,이벤트3,1.0,1.0,,1.0,t,1.0,0,f,f,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
31,감사기,0,1,2,50,9,,,,20,164,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,갈대무리 땅,이벤트3,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
32,짐꾼,0,1,2,50,9,,,,20,164,f,13,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,갈대무리 땅,이벤트1,1.0,1.0,,1.0,f,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
33,진지방어군,0,1,2,50,9,,,,20,164,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,갈대무리 땅,이벤트1,2.5,1.0,,2.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
34,이녹의 사자,0,8,2,50,9,,,,10,164,f,13,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,갈대무리 땅,이벤트1,1.0,1.0,,1.0,f,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
35,붉은 용군단,0,1,2,50,9,,,,1228,115,f,13,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,갈대무리 땅,이벤트2,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,f
36,푸른 용군단,0,1,2,50,9,,,,1228,115,f,13,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,갈대무리 땅,이벤트1,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
37,붉은 용군단 1단계,0,1,2,50,9,,,,1228,1,f,13,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,갈대무리 땅,,1.0,1.0,,1.0,f,1.0,0,f,f,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
38,붉은 용군단 2단계,0,1,5,50,9,,,,1228,1,f,13,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,갈대무리 땅,,1.0,1.0,,1.0,f,1.0,0,f,f,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
39,붉은 용군단 3단계,0,1,2,50,9,,,,1228,115,f,13,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,갈대무리 땅,,1.0,1.0,,1.0,f,1.0,0,f,f,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
40,이녹의 사자 스위치,0,1,2,50,9,,,,1228,1,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,갈대무리 땅,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
41,QA_TEST_001,1,1,1,25,9,,1,40,11,1,t,15,f,19,f,t,f,t,,2,f,f,"퀘스트 튜토리얼 용
(튜토리얼 작업 완료)
(현재 퀘스트 추가기능 테스트 용으로 사용 중)",1,f,f,1.0,f,1.0,테스트 용,,1.0,1.0,,1.0,f,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
42,첫번째 탑,0,3,2,50,9,,,,1456,164,f,18,f,0,f,t,f,t,,2,f,f,,1,f,f,1.0,f,1.0,갈대무리 땅,,1.0,1.0,,1.0,t,1.0,0,f,f,0,50.0,0,t,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
43,두번째 탑,0,3,2,50,9,,,,560,164,f,18,f,0,f,t,f,t,,2,f,f,,,f,f,1.0,f,5.0,갈대무리 땅,,1.0,1.0,,1.0,f,1.0,0,f,f,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
44,세번째 탑,0,3,2,50,9,,,,352,164,f,18,f,0,f,t,f,t,,2,f,f,,1,f,f,1.0,f,1.0,갈대무리 땅,,1.0,1.0,,1.0,f,1.0,0,f,f,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
45,용의 소환사,0,2,2,50,9,,,,560,1,f,17,f,0,f,t,f,t,,2,f,f,,2,f,f,1.0,f,5.0,갈대무리 땅,매일,1.0,1.0,,1.0,f,1.0,0,f,f,0,50.0,3463,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
46,돈흘리는 상자,0,1,2,1,9,,,,758,115,f,17,f,0,f,t,f,t,,2,f,f,,2,f,f,1.0,f,2.0,갈대무리 땅,매일,1.0,1.0,,1.0,f,1.0,0,f,f,0,50.0,3460,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
47,소환사의 졸개,0,1,15,50,9,,,,396,115,f,13,f,0,f,t,f,f,,2,f,f,,2,f,f,1.0,f,2.0,갈대무리 땅,매일,1.0,1.0,,1.0,t,1.0,0,f,f,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
48,부활한 거상 파편,0,1,15,15,9,,,,217,2,f,13,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,f,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
49,흙 골렘,0,1,15,15,9,,,,217,2,f,13,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
50,시그문트 아스가르,0,2,1,50,9,,1255,,10,2,f,18,t,50,f,t,f,f,,2,f,f,살피마리 영지 관리인 / 공성전 관련 NPC,,f,f,1.0,f,1.0,"최정호가 씀
ai_file 를 flytrap을 지정하고 기술 붙이지 않음",,1.0,1.0,,1.0,f,1.0,0,f,t,0,50.0,3046,t,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,8,,,,,f,t,0.0,,t,f,f,f,t
51,갈리 로만테스,0,2,1,50,9,,1256,,10,2,f,18,t,59,f,t,f,f,,2,f,f,살피마리 : 공성측 물자 지원,,f,f,1.0,f,1.0,"최정호가 씀
ai_file 를 flytrap을 지정하고 기술 붙이지 않음",,1.0,1.0,,1.0,f,0.0,0,f,t,0,50.0,3104,t,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
52,Siegeweapon Place,0,1,5,50,9,,,,9,2,f,11,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
53,거인,1,2,15,12,9,,,,217,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
54,페어리,1,1,15,11,9,,,,217,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
55,현자 거인,1,1,15,40,9,,,,217,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
56,현자 거인,1,1,15,41,9,,,,217,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
57,현자 거인,1,1,15,40,9,,,,217,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
58,현자 거인,1,1,15,41,9,,,,217,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
59,현자,1,2,1,17,9,,10,130,10,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
60,여관주인,1,1,1,13,9,,432,130,10,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
61,촌장,1,1,1,12,9,,10,130,10,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
62,노인,1,1,1,11,9,,10,130,10,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
63,노인,1,1,1,11,9,,10,130,10,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
64,대장장이,1,1,1,14,9,,1,130,10,109,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,f,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
65,수습 대장장이,1,1,1,10,9,,1,130,10,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
66,마구간지기,1,1,1,15,9,,10,130,10,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
67,가죽상인,1,1,1,13,9,,1,130,10,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
68,방물장수,1,1,1,15,9,,1,130,10,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
69,야영지 요리사,1,1,1,15,9,,1,67,10,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
70,나무의 길 인부,1,1,1,16,9,,1,130,10,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,f,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
71,나무의 길 인부,1,1,1,15,9,,1,130,10,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
72,나무의 길 인부,1,1,1,15,9,,1,130,10,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,f,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
73,로이스터 야영지 병사,1,1,1,20,9,,1,30,10,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
74,로이스터 야영지 병사,1,1,1,20,9,,1,30,10,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
75,로이스터 야영지 병사,1,1,1,20,9,,1,30,10,2,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,작자 미상,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
