id,npc_id,radius,give_exp,vanish
714,7824,0.0,f,t
720,10160,25.0,f,t
721,7153,0.0,f,t
722,7154,0.0,f,t
723,5002,0.0,t,t
725,1216,10.0,f,t
726,7150,0.0,t,t
733,10444,0.0,f,t
734,9731,0.0,f,t
735,459,0.0,f,t
737,10391,0.0,f,t
738,10445,0.0,f,t
739,9444,1.0,f,t
740,10457,1.0,f,t
742,10471,0.0,f,t
743,10474,0.0,f,t
744,10474,0.0,f,t
745,10473,0.0,f,t
746,10473,0.0,f,t
749,9129,1.0,f,t
750,10470,0.0,f,t
751,9907,25.0,f,t
752,3702,0.0,f,t
753,3701,0.0,f,t
754,3700,0.0,f,t
755,1346,0.0,f,t
756,10452,0.0,f,t
757,10455,0.0,f,t
758,10470,0.0,f,t
759,10503,0.0,f,t
760,10457,0.0,f,t
761,10499,0.0,f,t
762,10574,0.0,f,t
765,10340,25.0,f,t
766,10366,25.0,f,t
768,10528,0.0,f,t
769,10518,0.0,f,t
770,10534,0.0,f,t
771,10534,0.0,f,t
772,10098,0.0,f,t
775,10570,0.0,f,t
776,10573,0.0,f,t
777,10572,0.0,f,t
778,10573,0.0,f,t
779,10534,0.0,f,t
780,10575,0.0,f,t
781,10503,0.0,f,t
784,10579,0.0,f,t
785,3714,0.0,f,t
786,2330,0.0,f,t
791,5778,1.0,f,t
793,10690,1.0,f,t
794,10528,0.0,f,t
798,10749,1.0,f,t
799,10748,1.0,f,t
800,10474,25.0,f,t
801,1659,10.0,f,t
802,10339,25.0,f,t
803,10330,25.0,f,t
804,9904,25.0,f,t
805,10035,25.0,f,t
807,10799,25.0,f,t
808,2123,15.0,f,t
812,10805,0.0,f,t
813,10806,0.0,f,t
814,10807,0.0,f,t
815,10808,0.0,f,t
816,10809,0.0,f,t
820,10314,25.0,f,t
821,10685,0.0,f,t
822,8964,0.0,f,t
823,8965,0.0,f,t
824,8966,0.0,f,t
825,8967,0.0,f,t
826,8968,0.0,f,t
827,8969,0.0,f,t
841,9904,25.0,f,t
855,10571,0.0,f,t
856,10571,0.0,f,t
857,10573,0.0,f,t
858,10320,0.0,f,t
859,10760,1.0,f,t
861,10887,0.0,f,t
862,10098,0.0,f,t
864,10570,0.0,f,t
865,10797,25.0,f,t
866,10560,25.0,f,t
869,10374,100.0,f,t
870,10375,100.0,f,t
871,10377,100.0,f,t
873,10534,0.0,f,t
875,10455,0.0,f,t
876,5779,1.0,f,t
880,10576,25.0,f,t
881,10098,0.0,f,t
882,10100,0.0,f,t
884,10586,25.0,f,t
887,7966,1.0,f,t
888,1979,0.0,f,t
889,11112,1.0,f,t
893,11271,25.0,f,t
894,7278,1.0,f,t
895,4998,1.0,f,t
897,11274,1.0,f,t
906,11566,1.0,f,t
913,1881,0.0,f,t
914,11118,0.0,f,t
915,9855,25.0,f,t
916,11572,0.0,f,t
918,11582,0.0,f,t
923,11580,0.0,f,t
926,10797,25.0,f,t
927,10849,25.0,f,t
936,11745,25.0,f,t
937,11746,25.0,f,t
938,9801,25.0,f,t
940,8117,0.0,f,t
941,8077,25.0,f,t
942,8076,25.0,f,t
943,8075,25.0,f,t
947,12014,0.0,f,t
948,3353,1.0,f,t
950,8529,25.0,f,t
952,6399,5.0,f,t
954,10988,25.0,f,t
955,12051,1.0,f,t
957,12052,1.0,f,t
960,12055,0.0,f,t
961,11969,25.0,f,t
962,11273,25.0,f,t
964,6054,0.0,f,t
965,3169,25.0,f,t
966,12051,1.0,f,t
967,12052,1.0,f,t
970,11751,0.0,f,t
971,11565,0.0,f,t
975,12051,1.0,f,t
976,11273,25.0,f,t
979,10536,1.0,f,t
981,6403,0.0,f,t
984,12095,1.0,f,t
985,12096,1.0,f,t
986,12097,1.0,f,t
989,12104,25.0,f,t
990,6399,0.0,f,t
993,12105,0.5,f,t
997,12137,25.0,f,t
998,12108,0.0,f,t
999,12113,0.0,f,t
1000,12132,25.0,f,t
1001,12108,0.0,f,t
1002,12114,0.0,f,t
1004,12144,25.0,f,t
1005,12115,0.0,f,t
1008,12145,25.0,f,t
1010,12147,25.0,f,t
1011,12146,0.0,f,t
1012,12109,0.0,f,t
1013,12148,25.0,f,t
1015,12149,25.0,f,t
1016,12110,0.0,f,t
1017,12116,0.0,f,t
1018,12117,0.0,f,t
1019,12118,0.0,f,t
1020,12119,0.0,f,t
1022,11550,25.0,f,t
1024,12157,25.0,f,t
1028,5539,0.0,f,t
1030,11948,0.0,f,t
1031,12158,0.0,f,t
1033,12165,50.0,f,t
1034,12166,50.0,f,t
1035,12170,50.0,f,t
1036,12180,25.0,f,t
1038,12181,25.0,f,t
1039,12182,25.0,f,t
1040,12183,25.0,f,t
1041,12177,50.0,f,t
1042,12178,50.0,f,t
1043,12179,50.0,f,t
1045,12184,25.0,f,t
1046,12185,25.0,f,t
1047,12186,25.0,f,t
1048,12187,25.0,f,t
1049,12200,0.0,f,t
1050,12199,0.0,f,t
1051,12198,0.0,f,t
1052,2117,0.0,f,t
1053,9550,0.0,f,t
1054,11360,0.0,f,t
1055,12014,0.0,f,t
1056,12156,0.0,f,t
1057,11372,0.0,f,t
1058,11374,0.0,f,t
1062,11369,0.0,f,t
1063,11166,0.0,f,t
1065,12127,0.0,f,t
1066,11161,0.0,f,t
1067,12389,0.0,f,t
1068,9754,0.0,f,t
1069,2147,25.0,f,t
1075,1963,0.0,f,t
1078,1964,0.0,f,t
1079,12352,1.0,f,t
1080,12325,0.0,f,t
1083,11268,0.0,f,t
1086,9563,0.0,f,t
1087,9564,0.0,f,t
1088,11160,0.0,f,t
1090,11161,0.0,f,t
1091,11372,0.0,f,t
1092,11374,0.0,f,t
1095,12384,25.0,f,t
1096,12384,25.0,f,t
1097,1322,0.0,f,t
1098,12364,0.0,f,t
1099,10341,1.0,f,t
1100,9918,1.0,f,t
1101,10343,25.0,f,t
1103,998,0.0,f,t
1106,12388,0.0,f,t
1107,12387,0.0,f,t
1108,12345,0.0,f,t
1116,1963,0.0,f,t
1117,12385,25.0,f,t
1118,12396,25.0,f,t
1119,8891,0.0,f,t
1120,9532,0.0,f,t
1121,9533,0.0,f,t
1122,12397,25.0,f,t
1124,7519,0.0,f,t
1125,7519,0.0,f,t
1127,12441,1.0,f,t
1128,1741,0.0,f,t
1132,12446,0.0,f,t
1133,12446,0.0,f,f
1134,1095,0.0,f,t
1135,12473,0.0,f,f
1136,12473,0.0,f,t
1142,12478,0.0,f,t
1144,12483,0.0,f,t
1145,12485,0.0,f,t
1146,12492,0.0,f,t
1148,12487,0.0,f,t
1150,12489,0.0,f,t
1151,12490,0.0,f,t
1152,12491,0.0,f,t
1156,9148,0.0,f,t
1157,9149,0.0,f,t
1158,9150,0.0,f,t
1159,9169,0.0,f,t
1160,9170,0.0,f,t
1162,12345,0.0,f,t
1163,5037,0.0,f,t
1164,9688,0.0,f,t
1165,9689,0.0,f,t
1168,12598,25.0,f,t
1171,12609,25.0,f,t
1172,12598,25.0,f,t
1173,12602,25.0,f,t
1174,9433,0.1,f,t
1175,9434,0.1,f,t
1176,9435,0.1,f,t
1177,9436,0.1,f,t
1180,9417,0.0,f,t
1181,9377,0.0,f,t
1182,12748,1.0,f,t
1184,12613,0.0,f,t
1185,12611,0.0,f,t
1186,12744,0.0,f,t
1187,12593,0.0,f,t
1194,12598,0.0,f,t
1196,12613,0.0,f,t
1197,12611,0.0,f,t
1198,12744,0.0,f,t
1199,12593,0.0,f,t
1207,12754,1.0,f,t
1208,12755,1.0,f,t
1209,12908,1.0,f,t
1210,12907,1.0,f,t
1211,12905,1.0,f,t
1212,12906,1.0,f,t
1213,12904,0.0,f,t
1214,12760,25.0,f,t
1215,12912,25.0,f,t
1216,12912,25.0,f,t
1217,12920,25.0,f,t
1234,12958,0.0,f,t
1235,12959,25.0,f,t
1236,12904,0.0,f,t
1237,12728,0.0,t,f
1238,12717,0.0,t,f
1239,12718,0.0,t,f
1240,12719,0.0,t,f
1241,12729,0.0,t,f
1242,12901,0.0,t,f
1243,12902,0.0,t,f
1244,12903,0.0,t,f
1251,13003,1.0,f,t
1252,13004,1.0,f,t
1253,13004,1.0,f,t
1254,12780,0.0,f,t
1255,13003,1.0,f,t
1256,13004,1.0,f,t
1258,12788,25.0,f,t
1259,12792,0.5,f,t
1261,13013,10.0,f,t
1262,12795,25.0,f,t
1263,12793,25.0,f,t
1265,13020,25.0,f,t
1266,12796,25.0,f,t
1267,13013,1.0,f,t
1268,13025,25.0,f,t
1269,12797,25.0,f,t
1270,13024,25.0,f,t
1271,13011,25.0,f,f
1287,12598,0.0,f,t
1291,10558,0.0,f,t
1293,12835,0.0,f,t
1294,12978,0.0,f,t
1295,12979,0.0,f,t
1300,13067,1.0,f,t
1301,13158,1.0,f,t
1306,13075,1.0,f,t
1307,13072,0.0,f,t
1308,13073,0.0,f,t
1309,13074,0.0,f,t
1310,13065,0.0,f,t
1311,13095,0.0,f,t
1312,13096,0.0,f,t
1313,13097,0.0,f,t
1314,13098,0.0,f,t
1315,13100,0.0,f,t
1316,13065,0.0,f,t
1317,13095,0.0,f,t
1318,13096,0.0,f,t
1319,13097,0.0,f,t
1320,13098,0.0,f,t
1321,13100,0.0,f,t
1322,13122,0.0,f,t
1323,13121,0.0,f,t
1324,13123,0.1,f,t
1325,13124,0.1,f,t
1326,13130,0.1,f,t
1327,13132,0.1,f,t
1328,13133,0.1,f,t
1329,13134,0.1,f,t
1330,13080,0.0,f,t
1331,13081,0.0,f,t
1332,13082,0.0,f,t
1333,13083,0.0,f,t
1334,13084,0.0,f,t
1335,13085,0.0,f,t
1336,13086,0.0,f,t
1337,13087,0.0,f,t
1338,13088,0.0,f,t
1339,13089,0.0,f,t
1340,13090,0.0,f,t
1341,13091,0.0,f,t
1342,13092,0.0,f,t
1343,13093,0.0,f,t
1344,13094,0.0,f,t
1346,12389,0.0,f,t
1347,11161,0.0,f,t
1348,12389,0.0,f,t
1349,13040,0.0,f,t
1352,13145,0.0,f,t
1353,13145,0.0,f,t
1357,13147,25.0,f,f
1358,13145,0.0,f,t
1359,1267,1.0,f,t
1360,12959,25.0,f,t
1361,13217,1.0,f,t
1362,13216,1.0,f,t
1363,13217,1.0,f,t
1364,13215,1.0,f,t
1365,13222,0.0,f,t
1366,13145,0.0,f,t
1367,13223,0.0,f,t
1368,13224,0.0,f,t
1369,13225,0.0,f,t
1370,13226,0.0,f,t
1371,13227,0.0,f,t
1372,13228,0.0,f,t
1373,13215,1.0,f,t
1374,13216,1.0,f,t
1377,13283,0.0,f,t
1378,13281,0.0,f,t
1379,13283,0.0,f,t
1380,13281,0.0,f,t
1381,13281,0.0,f,t
1382,13145,0.0,f,t
1387,13328,0.0,f,t
1388,13330,0.0,f,t
1389,13331,0.0,f,t
1390,13332,0.0,f,t
1391,13329,0.0,f,t
1392,13238,0.0,f,t
1393,13232,0.0,f,t
1394,13233,0.0,f,t
1395,13234,0.0,f,t
1396,13235,0.0,f,t
1397,13237,0.0,f,t
1398,13236,0.0,f,t
1401,13338,0.0,f,t
1402,13166,0.0,f,t
1403,13170,0.0,f,t
1404,13176,0.0,f,t
1405,13172,0.0,f,t
1406,13178,0.0,f,t
1407,13168,0.0,f,t
1408,13173,0.0,f,t
1409,13181,0.0,f,t
1410,13174,0.0,f,t
1411,13179,0.0,f,t
1412,13341,0.0,f,t
1413,12598,0.0,f,t
1414,12598,0.0,f,t
1415,12593,0.0,f,t
1416,12611,0.0,f,t
1417,12613,0.0,f,t
1418,12744,0.0,f,t
1419,12904,0.0,f,t
1422,13341,0.0,f,t
1423,13346,0.0,f,t
1424,13350,0.0,f,t
1426,13354,25.0,f,t
1430,13388,25.0,f,t
1431,13391,1.0,f,t
1432,13428,1.0,f,t
1433,13429,25.0,f,t
1435,13443,0.0,f,f
1439,13311,1.0,f,t
1442,13355,1.0,t,t
1443,13284,1.0,t,t
1445,12598,0.0,f,t
1449,13250,0.0,f,t
1450,13310,0.0,f,t
1451,13355,0.0,f,t
1452,13378,0.0,f,t
1453,13380,0.0,f,t
1454,13284,0.0,f,t
1455,13285,0.0,f,t
1456,13293,0.0,f,t
1457,13309,0.0,f,t
1458,13311,0.0,f,t
1459,13314,0.0,f,t
1460,13315,0.0,f,t
1461,13316,0.0,f,t
1462,13489,0.0,f,t
1463,13391,0.0,f,t
1464,13250,0.0,f,t
1468,13518,0.0,f,t
1469,13518,0.0,f,t
1470,13518,0.0,f,f
1471,13518,0.0,f,t
1472,13518,0.0,f,t
1476,13490,0.0,f,t
1478,5208,1.0,f,t
1479,13611,0.0,f,t
1481,13517,0.0,f,t
1483,4831,1.0,f,t
1486,13677,0.0,f,t
1487,13676,0.0,f,t
1488,13701,1.0,f,t
1489,13713,0.0,f,t
1490,13715,0.0,f,t
1491,13724,0.0,f,t
1498,13727,0.0,f,t
1501,13733,0.0,f,t
1502,13735,0.0,f,t
1503,13751,0.0,f,t
1505,13734,0.0,f,t
1506,12411,200.0,f,t
1508,13754,0.0,f,t
1509,13741,0.0,f,t
1510,13742,0.0,f,t
1511,9385,0.0,f,f
1512,13851,0.0,f,t
1514,13799,0.0,f,t
1515,13852,0.0,f,t
1516,13854,0.0,f,t
1517,13856,0.0,f,t
1518,13857,0.0,f,t
1533,13858,0.0,f,t
1548,14037,0.0,f,t
1549,14036,0.0,f,t
1551,14033,0.0,f,t
1552,13878,0.0,f,t
1553,14035,0.0,f,t
1554,14034,0.0,f,t
1555,14037,0.0,f,t
1556,14036,0.0,f,t
1557,14010,0.0,f,t
1558,14038,0.0,f,t
1559,14039,0.0,f,t
1560,14040,0.0,f,t
1561,14041,0.0,f,t
1562,14070,0.0,f,f
1563,14070,0.0,f,t
1567,14149,5.0,f,t
