id,sphere_bubble_id,is_start,speech,npc_id,npc_spawner_id,next_bubble,sound_id,angle,chat_bubble_kind_id,facial,camera_id,change_speaker_name
25,13,t,/한숨 다른 엘프들이 정말 집이 필요하다고 느낄까요?,,498,26,,300,1,,,
26,13,f,/말 분명하다니깐요. 내 말 못 믿는 거에요? 이렇게 위험한 숲 속까지 왔건만.,,527,29,,0,1,,,
27,7,f,"/말 @PC_NAME(0), 넌 허수아비를 쓰러트릴 수 있니?",,511,,,0,1,,,
29,13,f,"/인사 마침 저기 엘프가 지나가네요. 날 믿어봐요, 보여 줄테니.",,527,770,,0,1,,,
31,14,t,/말 하르파 수련장에서 결투 대회에 참가할 사람은 누굴까?,,559,33,,60,1,,,
33,14,f,"/웃음 응, 나도 좀 궁금해. 엔비어스라는 수련생이 유력하다고 하던데...",581,0,0,,220,1,,,
36,16,t,/대화 혹시 촉촉한 흙더미를 찾기 힘들다면 붉은 조약돌 달팽이가 머무는 곳으로 가봐.,3682,0,37,,0,1,,,
37,16,f,/말 붉은 조약돌 달팽이는 촉촉한 곳을 좋아하니 그 근처에서 분명 촉촉한 흙더미를 찾을 수 있을 거야.,3682,0,0,,0,1,,,
42,27,t,누이 여신께 기도를 드리면 잃어버린 경험치 일부를 복구할 수 있습니다.,502,0,0,,0,1,,,
47,19,t,"/대화 멜로이스, 수습생들의 실종이 벨리온과 관련되어 있다는 게 진정 사실이냐?",,496,48,,1,1,,,
48,19,f,"/말 벨리온 그자가 흉악한 살인마인 것은 확실하지만, 수습생들의 실종이 그와 관련이 있다는 확증은 아직 없습니다. 더 조사가 필요합니다.",,491,0,,0,1,,,
50,29,t,/아니 그 인형 돌려줘! 그건 내가 야트라바에게 준 거란 말이야!,,4226,51,,99,1,,,
51,29,f,/화남 아니야! 이건 야트라바가 날 준 거란 말이야!,,4161,52,,284,1,,,
52,29,f,거짓말하지 마! /발구르기 네가 야트라바 주머니에서 훔치는 걸 내가 봤어!,,4226,61,,99,1,,,
53,30,t,/대화 어제 잠을 설치더니 결국 이제야 일어났구나?,4220,0,0,,0,1,,,
57,34,t,/대화 그거 알아? 앨런 아저씨가 제니 엄마랑 그렇고 그런 사이래.,3647,0,58,,75,1,,,
58,34,f,/사실 정말? 어쩐지... 내가 제니를 괴롭힐 때마다 앨런 아저씨가 자기 일도 아니면서 날 혼낸다 했더니 그런 일이 있었어.,3646,0,59,,250,1,,,
59,34,f,/끄덕 내가 장난칠 때마다 앨런 아저씨가 우리 엄마한테 일러서 많이 혼났는데... /질문 우리 제니나 만나러 갈래? 복수 좀 해야겠어.,3647,0,60,,75,1,,,
60,34,f,/고민 또? 너무 계속 괴롭히면 제니가 아빠한테 고자질해서 크게 혼날지도 몰라. 아까 제니 인형도 나무에 올려놓고 왔잖아. 그만 하자. ,3646,0,156,,250,1,,,
61,29,f,진짜로 야트라바가 줬단 말이야! 너 이거 없으면 할 하파로 못 돌아가지? /도발 메롱!,,4161,62,,284,1,,,
62,29,f,"/슬픔 엉엉! 선생님~ 엉엉! 쟤가 야트라바한테... 엉엉... 준... 엉엉.. 인형... 엉엉, 선생님~!",,4226,63,,0,1,,,
63,29,f,울어라~ 울어라~ 울~보! 울면 우바리 아저씨처럼 된단다! /기쁨 하하하!,,4161,0,,284,1,,,
70,37,t,"아이고, 허리야...",,4303,0,,0,1,,,
80,40,t,/화남 아직도 메데이아의 행방은 찾지 못한 겁니까! 도대체 당신들은 무슨 일을 하고 있소!,,5012,81,,0,1,,,
81,40,f,"/말 진정해요, 안식의 무도회 상대를 잃은 슬픔은 이해합니다. 다만...",,4940,82,,0,1,,,
82,40,f,/도발 내가 지금 진정하게 됐소? 메데이아는 나와 죽음의 결투를 약속한 사이였소. 오늘이 그날이오! 도대체 나더러 얼마나 더 기다리라고 하는 거요!,,5012,83,,0,1,,,
83,40,f,/한숨 저희도 백방으로 실종된 사람들의 행방을 수소문하고 있습니다. /대화 제발 조금만 기다려주세요.,,4994,84,,0,1,,,
84,40,f,/울음 아아! 메데이아! 메데이아!,,5012,0,,0,1,,,
85,41,t,"/대화 결국, 아직 실종된 사람 중 어느 누구의 단서도 찾지 못한 거네요.",,4986,10,,180,1,,,
86,41,f,/한숨 그런 셈이죠. 실종자 모두 어떤 흔적도 남기지 않고 종적을 감췄으니까요.,,4932,87,,200,1,,,
87,41,f,/대화 정말 큰일이에요. 아직 아무런 단서도 확보하지 못했으니...,,4932,0,,200,1,,,
88,42,t,/울음 아아! 메데이아! 도대체 어디로 사라진 거란 말이오!,,5012,89,,0,1,,,
89,42,f,/대화 제발 진정하세요.,,4994,90,,0,1,,,
90,42,f,/울음 도대체 당신들 이프나의 후예는 뭐하는 사람들이오. 이런 일 하나 해결하지 못하고... 아아! 메데이아!,,5012,0,,0,1,,,
91,20,t,/화남 아니 이제 와서 집을 못 짓겠다니요?,,5092,92,,0,1,,,
92,20,f,"/대화 이보슈, 엘프 양반. 이런 쓰레기 같은 목재로 어떻게 집을 만들란 말이우?",,5023,93,,0,1,,,
93,20,f,"/답답 아니 선금까지 먼저 받아먹고, 당신네는 명예도 없어요?",,5092,94,,0,1,,,
94,20,f,/도발 아니 뭐 이딴 경우 없는 여자가 다 있어? 자재를 이따위로 준비해놓고 집을 지으라는 게 말이나 돼?,,5044,95,,0,1,,,
95,20,f,"/아니 얘야 됐다. 이보쇼, 엘프 양반. 아무리 내가 날고 기는 목수라도, 이런 자재로는 집 못 만들겠으니 그리 아쇼.",,5023,96,,0,1,,,
96,20,f,/화남 아오! 짜증 나!,,5092,0,,0,1,,,
106,59,t,여기가 바로 인어의 둥지로군!,,0,0,,0,1,,,
108,61,t,성인식에 가나? 가는 길을 조심해. @NPC_NAME(7927)이 탄생의 절벽 주변에 꽤 있으니 말이야.,10843,0,109,,0,1,,,
109,61,f,물론 자네 같은 젊은 페레들은 흙정령을 잡아 용기를 시험하긴 하지만 말이야. 여기 푯말만 봐도 알 수 있잖은가.,10843,0,1164,,0,1,,,
111,62,t,"녀석아! 그러게 서두르라고 했냐, 안 했냐!",,1088,112,,285,1,,,
112,62,f,"/저기 앞을 봐라, 검은 수염 도적단 녀석들이 죄다 길을 막았잖냐!",,1088,113,,235,1,,,
113,62,f,/질문 그게 제 탓입니까! 늘씬한 엘프 다리에 정신 빠졌던 게 누구냐고요!,,1209,114,,90,1,,,
114,62,f,"/발구르기 어허, 이 녀석이! 시끄럽고 길이나 뚫어봐라!",,1088,115,,235,1,,,
115,62,f,/도리도리 전 못합니다! 싸우다 죽으면 짐은 누가 짊어지고 간답니까!,,1209,0,,90,1,,,
118,67,t,"잠깐, 저 아래 건물 지붕에 뭔가 있는 거 같은데?",,0,789,,0,2,,,
120,69,t,거기 매달려 있으면 어깨가 아프지 않나? 앙?,4226,0,121,,0,1,,,
121,69,f,네?,,0,122,,0,1,,,
122,69,f,"내 모습을 더 가까이서 보고 싶은 마음은 이해한다네. 오, 나의 어깨.",4226,0,0,,0,1,,,
123,70,t,거기서 뭐 하세요?,,0,124,,0,1,,,
124,70,f,이곳을 떠나기 전에 내 소중한 물건을 걸어두고 있지. 무사안녕을 기원하는 우리의 전통에 따라서...,4232,0,0,,0,1,,,
125,71,t,"/질문 할아버지, 매바위 전설에 대해서 더 이야기해주세요.",6576,0,126,,0,1,,,
126,71,f,/대화 먼 옛날 로칼로카 산맥으로 날아가던 매 무리의 우두머리가 날개를 다쳐서 바닥으로 떨어졌거든. /닦기 그 매가 바로 큰매바위가 되었어.,6575,0,127,,0,1,,,
127,71,f,/질문 우두머리를 따르던 다른 매들은 우두머리가 다시 날아오르기를 기다리다가 작은매바위가 되었다고 한단다. 그리고...,6575,0,128,,0,1,,,
128,71,f,그리고 큰매바위가 다시 날아오르게 되면 작은매바위도 다시 살아나는 거군요. /기쁨 이건 아빠한테 들었어요. 정말 신기한 이야기에요.,6576,0,0,,0,1,,,
130,73,t,/한숨 바이암 알은 태워도 태워도 끝이 없구먼. ,6578,0,131,,130,1,,,
131,73,f,/긁기 난 밤마다 바이암들이 내 몸에 알을 까는 악몽을 꾼다네.,6579,0,132,,310,1,,,
132,73,f,/질문 근데 알이 먼저일까? 바이암이 먼저일까?,6578,0,133,,130,1,,,
133,73,f,/웃음 그것 참 어려운 문제군. 허허.,6579,0,0,,310,1,,,
134,64,t,"/놀람 으앗, 깜짝이야! /말 절벽 올라가려고 헤매다 보니 여기지 뭐야. /저기 저쪽에 있는 덩굴을 타고 올라가면 될 것 같은데 말이야. 먼저 올라가 보겠어? 나는 조금 쉬어갈게.",6521,0,,,206,1,,,
135,65,t,저 왼쪽에 있는 덩굴 말야. 저걸 타고 올라가면 오나흐를 만날 수 있겠지? /질문 나는 오나흐가 하는 짓이 밥맛이라서 만나고 싶지 않아. 생각 좀 해봐야겠어.,6522,0,0,,0,1,,,
136,66,t,/기쁨 나는 이제 바람자취 부족의 전사다! /웃음 방금 오나흐가 내 매를 확인해줬어! 이 절벽 바로 위에서 말이야!,6523,0,137,,0,1,,,
137,66,f,오나흐가 어디 있는데요?,,0,138,,0,1,,,
138,66,f,이 절벽을 올라가자마자 왼쪽을 봐. 거기 있을 거야. 그런데... /놀람 너도 설마 성인식을 하는 거야? 오나흐가 싫어하겠는걸.,6523,0,0,,0,1,,,
139,75,t,/질문 당신이 식물학자 애니인가요? 식물학자 다스 씨가 애타게 기다리고 있습니다. 무사하셔서 다행이군요.,,0,140,,0,1,,,
140,75,f,/질문 날 구하러 오신 건가요? 여기서 나갈 수 있게 철창 열쇠를 찾아주세요.,2974,0,141,,0,1,,,
141,75,f,/저기 망치손 고릴라가 가지고 있을 거에요. 망치손 고릴라를 쓰러뜨리고 철창 열쇠를 찾아주세요.,2974,0,0,,0,1,,,
142,76,t,/저기 파비트라 대여제의 기념비가 보이는구나.,,0,0,,0,1,,,
143,77,t,/엿듣기 여기가 의심스럽군.,,0,0,,0,1,,,
144,78,t,/질문 여기가 해적의 본거지로군. 헤닝이라는 자는 어디에 있을까?,,0,0,,0,1,,,
145,79,t,"/대화 우윳빛강 마을 북쪽 폭포수 밑에서 길니어스의 검, 수중 동굴에서 인어의 피리, 가라앉은 만 해안에서 수정구를 찾아내야 해.. ",3648,0,146,,0,1,,,
146,79,f,/질문 그리고 가라앉은 만의 물의 제단을 찾아가면 그를 만나 볼 수 있을 거야...,3648,0,0,,0,1,,,
147,80,t,"/대화 바이암 소굴에서 스롤의 지팡이, 탄생의 절벽에서 매의 정기, 낮의 눈 동쪽에 위치한 언덕에서 바람꽃을 구하게...",6015,0,148,,0,1,,,
148,80,f,그리고 바람길에 있는 바람의 제단을 찾아가면 그를 만나 볼 수 있을 거야..,6015,0,0,,0,1,,,
149,81,t,여긴 우리에게 맡기고 엠체즈마라에게 이곳 상황을 전해주겠나?,6584,0,0,,0,1,,,
150,82,t,"형제여, 자네도 언젠가는 우리와 같은 전사가 될 수 있을 거야! /경례",6582,0,0,,0,1,,,
156,34,f,/결론 제니 아빠는 돌멩이를 연구한다고 집을 나간 지 오래됐어. 제니 엄마가 아픈데도 안 돌아오는데 설마 우릴 혼내러 오겠어?,3647,0,157,,75,1,,,
157,34,f,"/아니 그만 괴롭히자. 아빠는 집을 나가버렸고, 엄마는 아프고... 알고 보면 제니도 참 불쌍한 애인 거 같아.",3646,0,478,,250,1,,,
158,89,t,/화남 리암이 양을 팔아먹었다는 소문이 사실이에요?,3522,0,159,,270,1,,,
159,89,f,"/질문 에이, 설마요?",3523,0,160,,0,1,,,
160,89,f,내 눈으로 똑똑히 봤어요. 벌떼가 양을 죽였다는 말은 거짓말이 분명해! /웃음,3524,0,0,,190,1,,,
161,90,t,/화남 봐요. 리암이 한 말이 사실이었잖아요.,3523,0,162,,0,1,,,
162,90,f,/긁기 리암에게 미안하게 되었네.,3522,0,163,,250,1,,,
163,90,f,/웃음 우리가 벌떼와 싸울 수는 없으니 양치기 개라도 몇 마리 더 구해주면 리암도 좋아할 거에요.,3524,0,0,,335,1,,,
164,91,t,/질문 말은 잘 돌봐줘야 해요. 혹시나 말에 문제가 생기면 마구간지기들을 만나보세요.,3509,0,165,,0,1,,,
165,91,f,지금 내가 하는 이야기 잘 들었죠? 당신의 말도 내 말을 알아들었을 거에요. 이건 말과 나의 이야기니까요. /웃음,3509,0,0,,0,1,,,
166,92,t,/질문 여기 이 하얀색 말 참 예쁘죠? @PC_GENDER(0)이라면 죽기 전에 이런 하얀색 말을 꼭 한 번은 타봐야죠.,3584,0,0,,0,1,,,
167,93,t,"/질문 나는 남쪽 선돌터로 가는 길인데, 당신은 어디로 가는 중이오?",,11077,169,,0,1,,,
169,93,f,아! 서쪽 선돌터라면 이 길을 따라 내려가시게나. 그럼 인연이 된다면 또 만나세.,,11077,0,,90,1,,,
170,94,t,"나는 여기서 잠수 신기록에마저 도전해야겠네. 1,027시간 잠수가 내 목표야.",,11078,0,,0,1,,,
171,95,t,/손인사 서두르는 걸 보면 사람 목숨 살리러 가는 길이군.,,11080,173,,0,1,,,
173,95,f,/저기 보든이라는 남자는 약혼녀를 구하겠다고 잊혀진 성으로 들어갈 계획을 세우고 있더군. 그는 이쪽 길로 가더군. 밧줄을 타고 성으로 들어갈 거라는 헛소리를 하더군.,,11080,179,,260,1,,,
174,96,t,"/질문 요정의 은신처를 다녀왔는가? 그래, 그곳에 무슨 일이 있던가?",6985,0,175,,0,1,,,
175,96,f,/말 오염된 요정이 밴시로 변하고 있었습니다. 다행히 일이 커지는 것은 막았습니다.,,0,176,,0,1,,,
176,96,f,/박수 자네가 뭔가 대단한 일을 한 모양이구먼. 고생했네.,6985,0,0,,0,1,,,
179,95,f,/웃음 어서 서두르게나. 그가 누이 여신을 만나러 가기 전에 말이야.,,11080,0,,0,1,,,
184,87,t,바다 여신께 바칠 새 제물이 왔군.,,11017,0,,0,1,,,
189,98,t,/질문 이봐요! 어떻게 여기까지 들어온 거죠? 혹시 보든이 보내신 분인가요?,,1618,190,,0,1,,,
190,98,f,/부탁 이 철창은 펜이 지키고 있는 개폐장치로 열 수 있어요. 그를 어떻게든 유인해서 장치를 열어주세요. 교활한 펜이 무너지는 바닥으로 유인할지 모르니 조심해요.,,1618,0,,0,1,,,
192,101,t,/공포 또 엘프가! 전 이미 뮤나엘에게 모든 걸 말했습니다! ,,5362,193,,0,1,,,
193,101,f,진정하세요. 저는 생명의 제식을 찾아 여기까지 왔습니다. 아미엘 일도 궁금하긴 하지만...,,0,194,,0,1,,,
194,101,f,/한숨 아미엘은 내 연구를 돕고 있었는데 하얀 숲에 생명의 제식 재료를 구하게 보냈었습니다.,,5362,195,,0,1,,,
195,101,f,/공포 그리고 돌아와서 절 민가의 빈집으로 불러내더군요. 그리고 절 갑자기 협박해 생명의 제식을 강제로 하게 했습니다.,,5362,196,,0,1,,,
196,101,f,어째서? 제식을 하면 어떻게 됩니까?,,0,197,,0,1,,,
197,101,f,/말 그녀의 몸에 있던 상처들이 치유되더니 강력한 힘이 생겨서 절 공격했습니다.,,5362,198,,0,1,,,
198,101,f,그랬군요... 용케 살았군요.,,0,0,,0,1,,,
199,102,t,"/경례 아, 오셨군요. 기다리던 분이 오셨습니다!",,5430,0,,0,1,,,
200,103,t,/한숨 풀피리 바이암이라는 이상한 녀석들이 우리 부락을 습격하고 있습니다. /화남 하지만 청년 페레들은 바이암에 맞서려 하지 않아요. 대초원의 정신을 잃어버린 것 같단 말이죠.,,3986,201,,0,1,,,
201,103,f,/저기 저기 보이는 첼훙이 홀로 바이암에 맞서려 하는 거 같더군요. 당신이라도 좀 도와주세요.,,3986,0,,195,1,,,
202,111,t,/외침 거기 누구요? 날 좀 구해주세요.,,10690,0,195,0,1,,,
204,5,f,로이스터 경이 그걸 되살리려는 거 아니겠어?,,1214,208,,136,1,,,
205,5,t,그래서 너희들이 해야 하는 일은 도적단으로부터 야영지를 지키고...,,900,5,,294,1,,,
207,112,t,여기가 보라엘이 말한 곳이구나. 죽은 매를 위한 무덤을 만들자.,,0,0,,0,1,,,
208,5,f,거기 똑바로 안 해! 어디서 잡담이야!,,900,209,,294,1,,,
209,5,f,"쉿! 야, 대장이 또 짖는다! 훈련하는 척해!",,1060,0,,115,1,,,
210,113,t,/경례 무슨 일이지?,3833,0,211,,0,1,,,
211,113,f,/경례 휘파람 부는 자 에노이르가 보내서 왔습니다.,,0,212,,0,1,,,
212,113,f,"/긁기 휘파람? 아, 옌센님이 조만간 올 거라 하셨던 사람이군. 들어가십시오. 입구에서 들어가자마자 바로 있는 계단을 올라가 2층 방 안에 계십니다.",3833,0,0,,0,1,,,
213,114,t,"날 믿고 따라온 @PC_RACE(0)여, 그대의 운을 시험해보게나...",6055,0,214,,0,1,,,
214,114,f,가즈링의 삽을 사용해볼까...,,0,0,,0,1,,,
222,120,t,/한숨 아휴! 여기서 약초 캐는 일도 더는 못하겠군!,,10161,223,,0,1,,,
223,120,f,/긁기 검은수염 도적단이 점점 늘어나나 보지?,,12514,224,,0,1,,,
224,120,f,/도리도리 그렇다니까! 아핀디엘의 거처에 있던 위페르도 도적에게 당했다더군!,,10161,225,,0,1,,,
225,120,f,아핀디엘의 거처가 어디 있는데?,,12514,226,,0,1,,,
226,120,f,저쪽 길가에 있지 않은가. /저기 여기도 위험하단 소리니 어서 떠나자고.,,10161,0,,214,1,,,
227,122,t,/대화 우리 둘이서는 도저히 저 많은 다후타 교단을 처리할 수 없어요.,,10062,228,,280,1,,,
228,122,f,/한숨 조금이라도 사람이 충원되면 좋을 텐데...,,10064,239,,105,1,,,
237,121,t,/야호 나 붉은수염호 선장 하비엘과 함께 비틀린 바다의 보물을 찾으러 갈 용사 없나! /웃음,3078,0,238,,0,1,,,
238,121,f,...하비엘? 당신이 하비엘입니까?,,0,0,,0,1,,,
239,122,f,/말 기억의 터에서 지원병력을 추가로 보냈다고 하니 기다려보죠.,,10062,0,,280,1,,,
240,151,t,엇?! 뭔가가 바람결에 가방 안으로 들어왔군!,,0,0,196,0,1,,,
246,107,t,험상궂은 얼굴이 붙어 있군.,,0,247,,0,1,,,
247,107,f,누굴 수배하는 내용인지 한번 볼까?,,0,0,,0,1,,,
248,124,t,/대화 아직도 그 비밀지령서는 손에 넣지 못했다더냐?,,8816,249,,165,1,,,
249,124,f,"/말 네. 발라타르와 라피시엔이 백방으로 노력하고는 있지만, 역시 사람이 모자라서 힘든 듯합니다.",,8821,0,,342,1,,,
250,115,t,/한숨 언제까지 여기 틀어박혀 있어야 하는지 모르겠네...,,8987,251,,5,1,,,
251,115,f,/쓸쓸 그러게 말이다. 저 망할 엘프놈들 때문에 다 굶어 죽게 생겼어.,,8988,252,,225,1,,,
252,115,f,"/지루 이프나의 후예인가 뭔가 하는 녀석들을 믿어봐야지. 하필이면 엘프들의 싸움박질에 끼이다니, 마가 끼어도 단단히 낀 거야.",,8989,0,,150,1,,,
253,108,t,/한숨 아휴! 민병대까지 와해했으니 큰일이야.,,5793,254,,9,1,,,
254,108,f,/발구르기 역시 이 마을을 떠나는 게 좋겠어요.,,5741,255,,208,1,,,
255,108,f,/쉿 쉿! 장로님이 들으시잖아. 조용히 해.,,5794,256,,50,1,,,
256,108,f,"/질문 그럼, 어떡하라고요! 살긴 점점 더 어려워지는데!",,5741,257,,208,1,,,
257,108,f,/쓸쓸 좀 참아봐. 혹시 또 영웅이 나타나 검은수염 도적단 우두머리를 잡아줄지도 모르잖아.,,5793,0,,9,1,,,
258,109,t,"그 얘기 들었어, 에드위나? 검은수염 개리엇이 퇴치됐대!",,5793,259,,9,1,,,
259,109,f,"/한숨 에혀, 그나마 이 마을에서 가장 미남이었는데 게리엇이.",,5741,260,,179,1,,,
260,109,f,/놀람 어머! 에드위나! 넌 개리엇 때문에 마을이 얼마나 황폐해졌는지 보고도 그러니?,,5794,261,,43,1,,,
261,109,f,/쉿 쉿! 그런 소릴 장로님이 들으면 노하실 거야.,,5793,262,,9,1,,,
262,109,f,"/질문 개리엇이 잡히면 뭘 하냐고요, 여긴 먼지바람만 부는데.",,5741,263,,179,1,,,
263,109,f,하아! 차라리 영원히 잡히지 /쓸쓸 않는 악당이라도 있는 게 낫지.,,5741,0,,179,1,,,
264,110,t,"/기지개 야... 넌 뭐할 거냐, 앞으로?",,5697,265,,297,1,,,
265,110,f,/쓸쓸 뭐하긴 인마... 민병대도 와해했는데 가서 어부나 하지 뭐.,,5770,266,,120,1,,,
266,110,f,"야, 그러지 말고 나랑 하얀 숲으로 안 갈래?",,5697,267,,297,1,,,
267,110,f,"/도발 야! 갈 거면 마리아노플로 가지, 거기로 왜 가냐!",,5770,268,,120,1,,,
268,110,f,"/긁기 아, 그런가...",,5697,269,,297,1,,,
269,110,f,"야, 밤 되면 제뮤니아의 천막 근처에 /쉿 글렌이란 남자가 와서 이상한 얘기를 한대.",,5770,270,,120,1,,,
270,110,f,그 남자도 마리아노플로 가서 성공했대.,,5770,271,,120,1,,,
271,110,f,/하품 그래? 그럼 나도 마리아노플로 가볼까? 일단 생각 좀 해보고...,,5697,0,,297,1,,,
272,126,t,/질문 엄마. 아빤 언제쯤 와?,,11805,273,,165,1,,,
273,126,f,/쓸쓸 아빠는 꼭 돌아오실 거야. 그러니까 엄마랑 조금만 더 기다려보자. 응?,,11806,0,,350,1,,,
274,125,t,/한숨 에휴... 세상이 어떻게 되려고 그러는지.,,8812,0,,0,1,,,
275,152,t,이쪽이 마르토프가 도망갔을지도 모르는 산꼭대기 방향이군!,,0,0,,0,1,,,
277,127,t,/한숨 이거 완전히 망했군. 호프만 씨 이거 어떻게 할까요?,,12061,278,,0,1,,,
278,127,f,/질문 뭐 나라고 딱히 방도가 있겠습니까? 누가 오기를 기다려야죠. 이 많은 짐을 버리고 갈 수는 없잖아요?,,12067,279,,250,1,,,
279,127,f,/쓸쓸 에이 그 빌어먹을 놈들의 코볼트 때문에...,,12061,0,,0,1,,,
280,128,t,/질문 여보게 앤디. 바람그늘 마을로 도움을 청하러 간 클레어에겐 아직 아무 소식 없나?,,12065,281,,0,1,,,
281,128,f,"/쓸쓸 글쎄요. 헌데 도와줄 사람들이 온다고 해도, 코볼트 놈들이 뺏어간 짐부터 되찾아야죠.",,12063,0,,110,1,,,
282,155,t,/외치기 거미들은 안전합니다! 속지 마세요!,3439,0,0,,83,1,,,
283,129,t,/한숨 이게 다 론반 공작이 자리를 비웠기 때문이라고요. 몇 달 전만 하더라도 이렇게까지 엉망이진 않았는데.,,12063,284,,0,1,,,
284,129,f,/질문 그러게 말이다. 도대체 콜린 경은 무얼 하고 있는 건지...,,12065,0,,0,1,,,
285,130,t,/질문 무너진 성채에 죽은 자들이 되살아나고 있다는 게 사실이야?,,7561,286,,150,1,,,
286,130,f,/한숨 그런가 봐요 언니. 심마니 잭이 거기 들어갔다가 아주 피범벅이 돼서 돌아왔어요. 얼마나 끔찍하던지 원...,,7562,287,,255,1,,,
287,130,f,/놀람 어머 그걸 어째? 우리 마을 콘스탄트나 제페토가 어떻게 그놈들을 쫓아내지 못할까?,,7563,291,,20,1,,,
290,156,t,쥐가 뭔가 물고 있는 것 같은데?,,0,0,,0,2,,,
291,130,f,"/아니 그 사람들도 가봤는데, 도저히 어떻게 할 수가 없더래요.",,7962,0,,255,1,,,
292,133,t,/야호 이봐요! 촌장 기드 님이 당신을 찾던데 한 번 가보시겠소?,,7567,0,,0,1,,,
293,157,t,"/질문 흐응, 네가 여기까지 왔단 말이지... /저기 오나흐는 저쪽에서 기다리고 있어. 괜히 이 덩굴을 타고 올라가지 말라고.",,14323,0,,325,1,,,
294,135,t,으으... 으으...,,11758,0,,0,1,,,
295,136,t,/질문 아니 글쎄 경비대장님 제 말 좀 들어보십시오. 노송그루 마을을 습격한 오크떼를 몰아내야 저 피난민들이 물러날 게 아닙니까?,,11801,296,,125,1,,,
296,136,f,"/아니 아 글쎄 론반 공작님도 안 계시고, 콜린 경도 부재 중이시라, 내 맘대로 처리를 못 한다잖소! 왜 말귀를 못 알아 듣는 게요?",,11802,297,,305,1,,,
297,136,f,/화남 정말 너무하시네요. 마을에 노송그루 마을 피난민들이 몰려와 살 수가 없다고요. 지금!,,11803,298,,85,1,,,
298,136,f,/부탁 제발 사정 좀 봐주세요. 나으리!,,11798,299,,30,1,,,
299,136,f,/저기 이봐! 경비병! 빨리 이 사람들 좀 내쫓게!,,11802,0,,270,1,,,
300,137,t,/도발 여러분! 이제 더 이상 론반 공작 가의 관리들을 믿을 수 없습니다!,,11786,301,,205,1,,,
301,137,f,/기쁨 저들은 곤경에 처한 우리를 보고도 그저 모른 척 방관하고 있습니다!,,11786,302,,245,1,,,
302,137,f,/반대 이제 더 이상 저들의 직무유기를 그저 바라만 볼 수는 없습니다!,,11786,303,,160,1,,,
303,137,f,"/기쁨 어서 저 경비대장 이반이라는 작자를 몰아내고, 콜린 경과 만나 담판을 지어 우리 노송그루 마을에 군대를 파견해야 합니다!",,11786,304,,205,1,,,
304,137,f,/박수 옳소!,,11787,305,,330,1,,,
305,137,f,/야유 말 한번 잘한다!,,11791,306,,60,1,,,
306,137,f,/한숨 언제 우리 마을로 돌아갈 수 있을런지...,,11790,0,,1,1,,,
307,138,t,/기쁨 여러분! 드디어 결단의 때가 왔습니다!,,11786,308,,205,1,,,
308,138,f,/저기 여기 @PC_NAME(0)가 가져온 론반 콜린이 저지른 악행의 증거를 보십시오!,,11786,309,,245,1,,,
309,138,f,"/도발 이 문서에는 콜린이 다후타 교단의 사악한 엘프들은 물론, 베어산채의 산적과 우리 마을을 습격한 오크무리와 내통하고 있다는 내용이 기록되어 있습니다!",,11786,310,,160,1,,,
310,138,f,저 사악한 콜린을 몰아내고! 우리의 마을을 되찾읍시다! 여러분의 결단이 필요합니다!,,11786,311,,205,1,,,
