id,special_effect_type_id,value1,value2,value3,value4
505,25,39,0,0,0
507,25,40,0,0,0
508,25,0,0,0,0
516,24,3054,0,0,0
522,27,4992,0,0,0
524,15,679,1000,0,0
525,15,1203,1000,0,0
526,15,4875,1000,0,0
532,15,708,1000,0,0
533,25,40,0,0,0
534,25,7,0,0,0
535,27,5111,0,0,0
536,27,5277,1,0,0
537,27,5282,1,0,0
538,27,8096,1,0,0
539,27,8003,1,0,0
540,27,5281,1,0,0
541,15,1057,1000,0,0
542,25,42,0,0,0
546,32,8120,0,0,0
547,32,8122,0,0,0
548,32,8124,0,0,0
549,23,0,0,0,0
550,15,1456,1000,0,0
557,25,41,0,0,0
558,15,1008,1000,0,0
561,27,8243,1,0,0
562,27,8243,1,0,0
563,25,48,0,0,0
564,13,400,45,0,0
583,27,6259,1,0,0
584,27,6742,1,0,0
585,27,7717,1,0,0
587,27,6260,1,0,0
588,27,6750,1,0,0
589,27,7718,1,0,0
591,27,6272,1,0,0
592,27,6755,1,0,0
593,27,7701,1,0,0
595,27,6273,1,0,0
596,27,6758,1,0,0
597,27,7702,1,0,0
599,27,6277,1,0,0
600,27,6760,1,0,0
601,27,7705,1,0,0
603,27,6294,1,0,0
604,27,6778,1,0,0
605,27,7706,1,0,0
607,27,6298,1,0,0
608,27,6789,1,0,0
609,27,7719,1,0,0
611,27,6367,1,0,0
612,27,7009,1,0,0
613,27,7720,1,0,0
615,27,6317,1,0,0
616,27,7023,1,0,0
617,27,7732,1,0,0
619,27,6368,1,0,0
620,27,7030,1,0,0
621,27,7714,1,0,0
623,13,500,39,0,0
648,25,54,0,0,0
649,13,700,70,0,0
652,33,11861,0,0,0
653,33,11862,0,0,0
655,27,13767,0,0,0
656,33,11867,0,0,0
666,13,1000,-90,0,0
669,13,700,40,0,0
676,15,1358,1000,0,0
678,15,1364,1000,0,0
679,23,0,0,0,0
680,13,100,0,0,0
684,23,0,0,0,0
692,34,253,0,1,0
693,36,671,0,0,0
694,41,0,0,0,0
695,34,199,0,0,0
702,34,33,4,0,0
703,36,529,0,0,0
704,41,0,0,0,0
705,34,36,4,0,0
706,36,529,0,0,0
707,38,80,200,50,0
708,39,0,600,0,0
709,40,0,0,0,0
710,35,529,4,0,0
711,34,36,4,0,0
712,36,529,0,0,0
713,38,80,200,50,0
714,35,529,4,0,0
715,34,36,4,0,0
716,36,529,0,0,0
717,38,80,200,50,0
718,35,529,4,0,0
719,34,41,0,0,0
720,36,4,0,0,0
721,41,0,0,0,0
722,34,130,3,0,0
723,36,4,0,0,0
724,38,2,200,70,0
725,39,0,600,0,0
726,40,0,0,0,0
727,35,4,4,0,0
733,34,260,0,0,0
734,38,87,0,45,0
736,39,0,820,0,0
737,40,36000,0,0,0
738,37,87,0,60,1
744,35,749,4,0,0
751,27,13958,0,0,0
753,27,13849,0,0,0
761,13,200,10,0,0
763,44,4000,10,15,0
764,13,400,30,0,0
765,5,100,0,0,0
766,13,195,39,0,0
767,13,700,40,0,0
774,33,12072,200,0,0
777,27,14172,1,0,0
783,42,0,33,100,0
784,42,100,33,0,0
803,13,500,10,0,0
805,33,12069,250,0,0
806,33,12070,220,0,0
813,47,600,600,180,180
815,15,1226,1000,0,0
816,1,864,50,50,0
817,1,864,50,50,0
818,1,864,50,50,0
819,1,864,50,50,0
820,25,60,0,0,0
821,1,864,50,50,0
822,1,864,50,50,0
823,1,864,50,50,0
824,1,864,50,50,0
825,1,864,50,50,0
832,25,17,0,0,0
833,33,11440,5,0,0
836,13,300,30,0,0
842,25,61,0,0,0
849,1,870,0,0,0
850,33,12067,200,0,0
854,15,1479,1000,0,0
856,34,186,0,1,0
858,41,0,0,0,0
861,25,63,0,0,0
862,1,870,0,0,0
872,27,14474,0,0,0
876,1,899,1,1,0
880,15,1184,1000,0,0
881,25,66,0,0,0
883,27,14085,0,0,0
887,43,10152,0,1,0
896,33,12201,500,0,0
903,25,68,0,0,0
907,33,12201,500,0,0
910,13,200,0,0,0
917,27,8127,0,0,0
919,13,300,45,0,0
921,27,14327,0,0,0
923,15,376,1000,0,0
925,18,700,70,0,0
929,25,69,0,0,0
932,27,14611,0,0,0
937,13,260,39,0,0
943,15,1698,1000,0,0
944,43,10534,0,1,0
946,43,10720,0,1,0
947,43,10547,0,1,0
948,43,10719,0,1,0
964,15,995,1000,0,0
965,27,24379,0,0,0
966,27,14684,0,0,0
970,13,5,30,0,0
972,13,700,70,0,0
974,27,14705,0,0,0
975,27,14704,0,0,0
976,27,14703,0,0,0
978,27,14712,1,0,0
983,13,400,35,0,0
985,33,12417,0,0,0
994,13,400,35,0,0
997,5,10,1000,0,0
1012,13,700,40,0,0
1015,27,14813,0,0,0
1016,13,1000,30,0,0
1018,33,12500,0,100,0
1030,33,11541,0,0,0
1031,23,0,0,0,0
1032,23,0,0,0,0
1033,15,1934,1000,0,0
1034,15,1637,1000,0,0
1035,15,1935,1000,0,0
1036,18,0,0,0,0
1038,13,700,10,0,0
1040,15,1934,1000,0,0
1047,13,600,10,0,0
1051,13,700,40,0,0
1052,13,700,40,0,0
1055,13,1200,60,0,0
1058,25,81,0,0,0
1059,25,85,0,0,0
1060,27,14636,0,0,0
1061,27,14585,0,0,0
1062,27,14586,0,0,0
1063,5,100,0,0,0
1064,43,10656,0,1,0
1065,13,1000,45,0,0
1067,27,14917,1,0,0
1068,33,12500,0,100,0
1075,13,700,70,0,0
1077,33,12617,300,0,0
1078,13,500,10,0,0
1080,13,300,40,0,0
1081,33,12622,0,0,0
1083,13,1200,10,0,0
1086,13,500,0,0,0
1087,13,500,35,0,0
1088,33,12631,0,0,0
1089,33,12663,0,0,0
1092,33,12616,250,0,0
1093,43,11451,0,0,0
1094,1,870,1,1,0
1095,1,870,1,1,0
1096,1,870,1,1,0
1097,1,870,1,1,0
1098,1,870,1,1,0
1101,39,0,1280,0,0
1104,40,39000,0,0,0
1109,33,12685,500,0,0
1113,24,4944,0,0,0
1119,35,632,1,0,0
1120,42,50,20,0,0
1123,45,15175,0,0,0
1125,25,6,0,0,0
1126,13,200,90,0,0
1132,25,84,0,0,0
1134,33,12711,300,0,0
1138,33,12730,500,0,0
1142,27,14717,1,0,0
1143,27,14727,1,0,0
1144,27,14694,1,0,0
1146,33,12723,1000,0,0
1147,33,12738,1000,0,0
1148,33,12739,1000,0,0
1150,43,12075,0,0,0
1151,15,2183,1000,0,0
1158,25,82,0,0,0
1160,13,500,70,0,0
1161,33,12758,500,0,0
1166,25,73,0,0,0
1167,25,81,0,0,0
1169,25,80,0,0,0
1176,43,11451,0,1,0
1180,25,99,0,0,0
1195,33,11029,500,100,0
1196,13,2000,70,0,0
1197,15,1139,0,0,0
1199,15,2194,0,0,0
1200,15,2195,0,0,0
1201,15,2196,0,0,0
1202,15,2197,0,0,0
1203,34,46,0,0,0
1220,15,2230,7000,0,0
1222,33,12937,300,0,0
1232,13,100,0,0,0
1234,25,99,0,0,0
1235,27,15619,0,0,0
1237,27,15619,0,0,0
1238,27,15619,0,0,0
1239,27,15619,0,0,0
1240,27,15619,0,0,0
1241,27,15619,0,0,0
1242,27,15619,0,0,0
1243,27,15619,0,0,0
1244,27,15619,0,0,0
1245,27,15619,0,0,0
1246,27,15619,0,0,0
1247,27,15619,0,0,0
1248,27,15619,0,0,0
1249,27,15619,0,0,0
1250,27,15619,0,0,0
1251,27,15619,0,0,0
1252,27,15619,0,0,0
1253,27,15619,0,0,0
1254,27,15619,0,0,0
1255,27,15619,0,0,0
1256,27,15619,0,0,0
1257,27,15619,0,0,0
1258,27,15619,0,0,0
1259,27,15619,0,0,0
1260,27,15619,0,0,0
1261,27,15619,0,0,0
1262,27,15619,0,0,0
1263,27,15619,0,0,0
1264,27,15619,0,0,0
1265,27,15619,0,0,0
1266,27,15619,0,0,0
1268,27,15617,0,0,0
1269,27,15617,0,0,0
1270,27,15617,0,0,0
1271,27,15617,0,0,0
1272,27,15617,0,0,0
1273,27,15617,0,0,0
1274,27,15617,0,0,0
1275,27,15617,0,0,0
1276,27,15617,0,0,0
1277,27,15617,0,0,0
1278,27,15621,0,0,0
1279,27,15621,0,0,0
1280,27,15617,0,0,0
1281,27,15617,0,0,0
1282,27,15621,0,0,0
1283,27,15617,0,0,0
1284,27,15617,0,0,0
1285,27,15621,0,0,0
1286,27,15617,0,0,0
1287,27,15621,0,0,0
1288,27,15617,0,0,0
1289,27,15617,0,0,0
1290,27,15621,0,0,0
1291,27,15617,0,0,0
1292,27,15617,0,0,0
1293,27,15621,0,0,0
1294,27,15617,0,0,0
1295,27,15617,0,0,0
1296,27,15621,0,0,0
1297,27,15617,0,0,0
1298,27,15621,0,0,0
1299,27,15617,0,0,0
1300,27,15621,0,0,0
1301,27,15617,0,0,0
1302,27,15617,0,0,0
1303,27,15621,0,0,0
1304,27,15617,0,0,0
1305,27,15621,0,0,0
1306,27,15617,0,0,0
1307,27,15621,0,0,0
1308,27,15617,0,0,0
1309,27,15617,0,0,0
1310,27,15621,0,0,0
1311,27,15617,0,0,0
1312,27,15621,0,0,0
1313,27,15617,0,0,0
1314,27,15617,0,0,0
1315,27,15621,0,0,0
1316,27,15620,0,0,0
1317,27,15621,0,0,0
1318,27,15620,0,0,0
1319,27,15620,0,0,0
1320,27,15620,0,0,0
1321,27,15620,0,0,0
1322,27,15621,0,0,0
1323,27,15620,0,0,0
1324,27,15620,0,0,0
1325,27,15621,0,0,0
1326,27,15620,0,0,0
1327,27,15621,0,0,0
1328,27,15620,0,0,0
1329,27,15620,0,0,0
1330,27,15621,0,0,0
1331,27,15620,0,0,0
1332,27,15621,0,0,0
1333,27,15620,0,0,0
1334,27,15620,0,0,0
1335,27,15621,0,0,0
1336,27,15620,0,0,0
1337,27,15621,0,0,0
1338,27,15620,0,0,0
1339,27,15620,0,0,0
1340,27,15620,0,0,0
1341,27,15621,0,0,0
1342,27,15620,0,0,0
1343,27,15620,0,0,0
1344,27,15620,0,0,0
1345,27,15621,0,0,0
1346,27,15621,0,0,0
1347,27,15620,0,0,0
1348,27,15620,0,0,0
1349,27,15621,0,0,0
1350,27,15620,0,0,0
1351,27,15621,0,0,0
1352,27,15620,0,0,0
1353,27,15620,0,0,0
1354,27,15620,0,0,0
1355,27,15620,0,0,0
1356,27,15621,0,0,0
1357,27,15621,0,0,0
1358,27,15620,0,0,0
1359,27,15621,0,0,0
1360,27,15620,0,0,0
1361,27,15620,0,0,0
1362,27,15620,0,0,0
1363,27,15620,0,0,0
1364,27,15620,0,0,0
1365,27,15620,0,0,0
1375,27,15618,0,0,0
1376,27,15618,0,0,0
1377,27,15618,0,0,0
1378,27,15618,0,0,0
1379,27,15618,0,0,0
1380,27,15618,0,0,0
1381,27,15618,0,0,0
1382,27,15618,0,0,0
1383,27,15618,0,0,0
1384,27,15618,0,0,0
1385,27,15618,0,0,0
1386,27,15618,0,0,0
1387,27,15618,0,0,0
1388,27,15618,0,0,0
1389,27,15618,0,0,0
1390,27,15618,0,0,0
1391,27,15618,0,0,0
1392,27,15618,0,0,0
1393,27,15618,0,0,0
1394,27,15618,0,0,0
1395,27,15618,0,0,0
1396,27,15618,0,0,0
1397,27,15618,0,0,0
1398,27,15618,0,0,0
1402,13,300,0,0,0
1405,33,13168,0,0,0
1408,33,12324,1000,0,0
1418,33,13178,0,0,0
1420,33,12849,100,30,0
1421,33,12858,400,30,0
1422,33,12861,700,30,0
1423,33,13182,0,40,0
1424,33,17539,0,0,0
1425,33,13204,0,0,0
1426,33,13203,0,0,0
1430,13,1500,60,0,0
1432,23,0,0,0,0
1433,23,0,0,0,0
1437,27,14328,0,0,0
1441,33,12711,300,0,0
1445,27,15727,0,0,0
1447,33,13233,0,0,0
1449,23,0,0,0,0
1450,23,0,0,0,0
1451,37,122,500,0,1
1452,37,122,500,0,1
1453,37,122,500,0,1
1454,37,122,500,0,1
1455,27,15777,1,0,0
1456,33,13257,0,0,0
1467,37,140,200,0,1
1475,37,139,200,0,1
1481,37,139,200,0,1
1485,33,13271,0,0,0
1486,33,13272,0,0,0
1487,37,140,200,0,1
1488,37,141,200,0,1
1490,15,1456,1000,0,0
1491,37,115,0,20,1
1493,15,1364,1000,0,0
1496,37,141,200,0,1
1536,34,46,0,0,0
1538,34,97,1,0,0
1539,36,201,0,0,0
1540,41,0,0,0,0
1542,34,98,1,0,0
1543,36,201,0,0,0
1557,13,450,40,0,0
1558,13,450,40,0,0
1559,13,450,40,0,0
1560,13,450,40,0,0
1561,13,450,40,0,0
1562,13,450,40,0,0
1563,13,450,40,0,0
1564,13,450,40,0,0
1565,13,450,40,0,0
1566,13,450,40,0,0
1567,13,450,40,0,0
1568,13,450,40,0,0
1569,35,580,0,0,0
1570,34,194,0,1,0
1571,36,400,0,0,0
1572,34,46,0,0,0
1573,41,0,0,0,0
1574,34,206,0,0,0
1577,37,65,300,0,1
1582,13,700,70,0,0
1584,13,700,70,0,0
1586,13,700,70,0,0
1590,37,179,3000,0,1
1593,33,13295,0,0,0
1594,27,14316,0,0,0
1595,33,13298,3000,0,0
1596,33,13296,3000,0,0
1597,33,13297,3000,0,0
1607,40,24000,0,0,0
1608,40,18000,0,0,0
1611,37,177,3000,0,1
1612,37,177,3000,0,1
1614,27,14327,0,0,0
1616,39,0,500,0,0
1621,15,1511,0,0,0
1624,15,2383,0,0,0
1626,5,100,0,0,0
1627,13,260,39,0,0
1634,36,440,0,0,0
1636,36,440,0,0,0
1642,27,5123,0,0,0
1664,34,109,0,0,0
1665,36,4,0,0,0
1666,41,0,0,0,0
1667,34,46,3,0,0
1668,34,198,3,0,0
1669,36,4,0,0,0
1670,39,0,600,0,0
1671,40,0,0,0,0
1672,35,4,4,0,0
1673,37,126,500,0,1
1674,34,46,3,0,0
1675,35,4,4,0,0
1677,35,749,4,0,0
1679,35,749,4,0,0
1695,35,749,4,0,0
1697,35,749,4,0,0
1699,37,87,0,60,1
1702,37,87,0,60,1
1704,37,87,0,60,1
1726,36,523,0,0,0
1727,34,187,0,0,0
1729,40,20000,0,0,0
1732,34,46,0,0,0
1740,39,0,100,0,0
1742,39,0,1100,0,0
1743,1,864,50,50,0
1744,1,864,50,50,0
1745,1,864,50,50,0
1746,1,864,50,50,0
1747,1,864,50,50,0
1749,1,864,50,50,0
1750,1,864,50,50,0
1751,1,864,50,50,0
1752,1,864,50,50,0
1756,37,73,700,0,1
1758,37,73,700,0,1
1760,37,73,700,0,1
1761,37,73,700,0,1
1762,34,145,2,0,0
1763,36,393,0,0,0
1764,41,0,0,0,0
1768,40,45000,0,0,0
1769,34,146,2,0,0
1770,38,63,0,25,0
1771,37,70,1000,0,1
1772,37,70,2000,0,1
1773,37,70,3000,0,1
1775,13,1000,20,0,0
1776,13,500,10,0,0
1777,37,73,500,0,1
1778,37,74,1000,0,1
1779,37,73,500,0,1
1780,37,74,1000,0,1
1784,39,0,1400,0,0
1786,38,192,0,25,0
1788,38,192,0,25,0
1789,37,79,1000,0,1
1797,41,0,0,0,0
1798,40,21000,0,0,0
1806,34,46,0,0,0
1812,33,11495,2000,0,0
1827,34,15,1,0,0
1828,34,346,1,0,0
1831,34,104,0,0,0
1832,36,440,0,0,0
1833,34,104,0,0,0
1834,36,440,0,0,0
1835,34,104,0,0,0
1836,36,440,0,0,0
1837,34,104,0,0,0
1838,36,440,0,0,0
1839,34,104,0,0,0
1840,36,440,0,0,0
1841,34,104,0,0,0
1842,36,440,0,0,0
1843,37,126,0,0,1
1844,37,126,200,0,1
1845,37,126,200,0,1
1846,37,126,200,0,1
1847,37,126,200,0,1
1848,37,126,200,0,1
1849,37,126,200,0,1
1863,13,1000,20,0,0
1865,13,1000,20,0,0
1867,13,1000,20,0,0
1868,13,1500,45,0,0
1872,35,738,4,0,0
1873,13,1500,45,0,0
1874,35,739,0,0,0
1875,15,1659,100,0,0
1876,40,18000,0,0,0
1893,37,144,0,200,1
1894,37,144,0,200,1
1896,27,14135,1,0,0
1898,37,144,0,200,1
1899,16,1,0,0,0
1900,43,10082,0,1,0
1902,37,145,0,200,1
1903,37,145,0,200,1
1905,37,145,0,200,1
1906,34,109,0,0,0
1907,36,226,0,0,0
1908,34,46,0,0,0
1909,34,198,0,0,0
1918,42,0,100,100,0
1920,41,0,0,0,0
1921,39,0,3000,0,0
1922,40,2000,0,0,0
1936,15,2444,0,0,0
1939,33,13263,0,0,0
1950,34,104,0,0,0
1951,36,440,0,0,0
1961,37,50,500,3,1
1962,34,167,0,0,0
1963,36,440,0,0,0
1968,37,141,700,0,1
1969,37,141,900,0,1
1970,37,140,1050,0,1
1971,37,140,1150,0,1
1972,37,139,1200,0,1
1973,37,139,1250,0,1
1974,34,29,0,0,0
1981,37,9,100,0,1
1983,27,14123,0,0,0
1987,37,9,100,0,1
1988,34,32,2,0,0
1989,34,32,0,0,0
1990,34,32,2,0,0
1991,37,9,100,0,1
1999,37,74,1000,0,1
2001,37,74,1000,0,1
2005,37,73,1000,0,1
2006,37,73,1000,0,1
2009,15,1745,1000,0,0
2010,15,2472,0,0,0
2016,37,318,0,90,1
2017,37,318,0,90,1
2018,37,318,0,90,1
2019,37,318,0,90,1
2021,34,46,0,0,0
2025,37,31,200,0,1
2028,37,31,1000,0,1
2030,27,13994,0,0,0
2033,34,109,0,0,0
2034,36,226,0,0,0
2035,41,0,0,0,0
2036,34,46,0,0,0
2037,34,198,0,0,0
2038,36,226,0,0,0
2039,40,2000,0,0,0
2040,34,46,0,0,0
2041,37,37,500,0,1
2042,37,31,500,0,1
2050,13,800,55,0,0
2051,37,196,2000,0,1
2052,37,197,2000,0,1
2055,13,1000,50,0,0
2059,13,1000,40,0,0
2061,42,0,15,50,0
2062,34,186,0,0,0
2063,36,523,0,0,0
2064,41,0,0,0,0
2065,34,46,0,0,0
2066,34,187,0,0,0
2068,40,2000,0,0,0
2069,38,13,1000,0,0
2070,34,187,0,0,0
2071,37,28,100,0,1
2072,37,36,100,0,1
2093,42,50,15,0,0
2094,37,101,1000,0,1
2095,13,1500,45,0,0
2096,34,360,3,0,0
2099,27,15949,0,0,0
2107,25,30,0,0,0
2110,27,4989,0,0,0
2111,33,13518,10,100,0
2112,27,15958,0,0,0
2117,37,127,100,0,1
2121,41,0,0,0,0
2122,34,260,0,0,0
2123,36,4,0,0,0
2124,39,0,200,0,0
2125,40,2000,0,0,0
2127,34,46,0,0,0
2130,33,13532,0,0,0
2143,25,191,0,0,0
2146,41,0,0,0,0
2147,34,126,0,0,0
2148,36,4,0,0,0
2149,39,0,200,0,0
2150,40,2000,0,0,0
2151,15,2522,0,0,0
2152,34,46,0,0,0
2156,33,11464,0,0,0
2157,37,48,4000,0,1
2161,10,19,0,0,0
2169,33,11464,0,0,0
2170,1,870,2,2,0
2171,1,870,2,2,0
2172,1,870,2,2,0
2173,1,870,2,2,0
2174,1,870,2,2,0
2178,27,5139,0,0,0
2180,34,104,0,0,0
2183,43,13657,0,0,0
2184,40,1000,0,0,0
2185,41,0,0,0,0
2187,27,14327,0,0,0
2190,29,1,0,0,0
2199,27,14585,0,0,0
2200,27,14586,0,0,0
2201,35,523,4,0,0
2203,27,16150,0,0,0
2204,27,16151,0,0,0
2205,27,16152,0,0,0
2206,27,16153,0,0,0
2207,27,16031,0,0,0
2208,27,16032,0,0,0
2209,27,16033,0,0,0
2211,27,16155,1,0,0
2213,48,13733,3000,0,0
2215,51,0,0,0,0
2218,50,0,0,0,0
2230,33,12422,0,100,0
2231,33,12425,0,100,0
2232,13,900,45,0,0
2240,34,15,3,0,0
2241,34,15,3,0,0
2242,34,15,3,0,0
2259,37,114,10,0,1
2260,37,114,10,0,1
2261,37,114,10,0,1
2262,37,114,10,0,1
2264,33,13755,0,100,0
2265,15,2633,0,0,0
2268,33,13815,0,0,0
2271,33,13830,0,0,0
2273,33,13834,0,0,0
2274,33,13835,0,0,0
2275,33,13836,0,0,0
2276,36,440,0,0,0
2294,33,13865,0,0,0
2314,13,1500,85,0,0
2330,33,12113,0,0,0
2333,37,183,1000,0,1
2335,37,183,1000,0,1
2337,37,183,1000,0,1
2339,37,183,1000,0,1
2341,37,183,1000,0,1
2343,37,183,1000,0,1
2345,37,183,1000,0,1
2347,37,183,1000,0,1
2349,37,184,1000,0,1
2353,37,184,1000,0,1
2358,25,223,0,0,0
2359,33,13884,0,0,0
2360,33,13889,0,0,0
2361,25,224,0,0,0
2362,25,225,0,0,0
2364,33,13891,100,0,0
2369,33,13893,0,0,0
2370,25,226,0,0,0
2371,33,13895,0,0,0
2372,25,227,0,0,0
2373,33,13897,0,0,0
2374,25,228,0,0,0
2375,33,13890,0,0,0
2378,53,2,0,0,0
2379,42,100,50,0,0
2383,33,13906,0,0,0
2389,33,13608,100,0,0
2392,33,13914,0,0,0
2393,34,186,0,1,0
2394,36,523,0,0,0
2395,41,0,0,0,0
2396,34,187,0,0,0
2398,39,0,50,0,0
2400,37,79,1000,0,1
2402,35,523,4,0,0
2403,34,46,0,0,0
2417,37,183,1000,0,1
2418,37,183,1000,0,1
2419,37,183,1000,0,1
2420,37,183,1000,0,1
2421,37,183,1000,0,1
2422,37,184,1000,0,1
2427,33,13914,500,0,0
2433,25,229,0,0,0
2436,33,13263,0,0,0
2450,15,1450,0,0,0
2460,37,328,0,0,1
2463,33,14002,0,0,0
2465,42,0,1000,100,0
2466,33,14011,0,0,0
2470,33,14016,0,0,0
2471,43,14015,0,1,0
2479,52,0,0,0,0
2480,52,0,0,0,0
2481,52,0,0,0,0
2482,52,0,0,0,0
2483,52,0,0,0,0
2484,52,0,0,0,0
2485,52,0,0,0,0
2486,52,0,0,0,0
2488,52,0,0,0,0
2489,52,0,0,0,0
2490,13,800,55,0,0
2491,37,198,2000,0,1
2494,41,0,0,0,0
2496,34,39,0,0,0
2497,33,14045,0,0,0
2503,25,231,0,0,0
2504,25,232,0,0,0
2505,25,354,0,0,0
2506,25,353,0,0,0
2508,33,14064,0,0,0
2510,13,800,45,0,0
2511,37,156,5,0,1
2519,13,300,30,0,0
2559,27,14010,0,0,0
2564,13,300,0,0,0
2565,27,24436,0,0,0
2576,34,29,0,1,0
2578,34,29,0,0,0
2580,39,0,1,0,0
2581,40,30000,0,0,0
2582,52,0,0,0,0
2583,37,44,1000,0,1
2584,35,344,4,0,0
2586,34,39,0,0,0
2587,36,199,0,0,0
2588,41,0,0,0,0
2589,40,8000,0,0,0
2592,37,139,200,0,1
2593,37,140,200,0,1
2594,37,141,200,0,1
2597,39,0,100,0,0
2600,33,14147,0,10,0
2601,13,600,90,0,0
2603,23,0,0,0,0
2604,27,8125,0,0,0
2607,13,900,30,0,0
2609,33,11444,0,0,0
2611,33,13979,0,0,0
2612,34,15,0,0,0
2613,13,300,40,0,0
2622,33,13979,500,10,0
2631,33,14162,200,0,0
2632,1,870,5,5,0
2633,1,870,10,10,0
2634,1,870,1,1,0
2636,33,14182,0,0,0
2637,10,19,0,0,0
2641,33,14193,0,20,0
2643,13,1000,80,0,0
2644,33,14200,500,0,0
2646,33,14201,300,0,0
2647,13,500,0,0,0
2649,33,14203,0,0,0
2650,13,300,90,0,0
2653,13,600,45,0,0
2655,25,236,0,0,0
2656,36,400,300,0,0
2657,34,194,0,1,0
2659,41,0,0,0,0
2663,33,14221,0,0,0
2664,33,14231,0,0,0
2665,33,14231,0,0,0
2667,33,14246,0,0,0
2675,33,14274,0,0,0
2688,13,300,30,0,0
2694,25,19,0,0,0
2697,15,313,0,0,0
2698,15,1321,1000,0,0
2699,1,870,2,2,0
2700,33,14336,0,0,0
2703,54,60000,0,0,0
2704,54,30000,0,0,0
2708,33,14349,100,75,0
2709,33,14350,0,75,0
2713,33,14357,100,50,0
2715,33,14361,0,50,0
2716,13,600,45,0,0
2718,34,46,0,0,0
2719,34,206,0,0,0
2721,37,64,300,0,1
2723,34,381,0,0,0
2725,34,382,0,0,0
2731,34,41,0,1,0
2732,36,405,0,0,0
2733,41,0,0,0,0
2734,13,800,45,0,0
2736,34,46,0,0,0
2737,34,39,0,0,0
2738,38,87,200,1000,0
2739,39,0,1,0,0
2740,40,12000,0,0,0
2741,52,0,0,0,0
2742,34,15,0,0,0
2743,35,749,4,0,0
2744,36,405,0,0,0
2745,38,87,100,1000,0
2746,34,15,0,0,0
2747,35,749,4,0,0
2753,33,14403,0,0,0
2784,27,17660,0,0,0
2786,25,221,0,0,0
2792,45,17662,0,0,0
2793,37,179,3000,0,1
2794,37,177,3000,0,1
2795,37,177,3000,0,1
2797,37,178,3000,0,1
2798,37,180,3000,0,1
2804,35,231,0,0,0
2812,33,14496,0,0,0
2829,15,3060,0,0,0
2836,33,14539,5000,0,0
2846,13,1000,45,0,0
2848,34,41,0,1,0
2849,36,851,0,0,0
2850,34,46,0,0,0
2851,34,39,0,0,0
2852,37,138,500,0,1
2855,37,141,500,0,1
2858,13,1000,40,0,0
2859,37,36,700,0,1
2861,24,504,0,0,0
2865,36,440,0,0,0
2867,13,700,70,0,0
2868,13,300,40,0,0
2871,36,440,3,0,0
2872,33,14610,0,100,0
2874,35,472,4,0,0
2875,35,472,4,0,0
2876,34,15,3,0,0
2877,34,15,0,0,0
2878,35,472,4,0,0
2879,34,15,3,0,0
