id,not_condition,kind_id,param1,param2,param3
257,t,5,312,0,0
258,t,5,312,0,0
259,t,5,312,0,0
260,t,5,312,0,0
261,t,5,312,0,0
262,t,5,312,0,0
263,t,8,0,0,0
264,t,8,0,0,0
265,t,8,0,0,0
266,t,8,0,0,0
267,t,8,0,0,0
369,f,11,0,35,0
370,f,11,0,35,0
371,f,11,0,35,0
372,f,11,0,30,0
373,f,11,0,10,0
374,f,11,0,35,0
375,f,11,0,35,0
376,f,11,0,35,0
377,f,11,0,35,0
379,f,5,27,0,0
380,t,5,27,0,0
381,t,5,451,0,0
383,f,5,451,0,0
386,f,1,1,99,0
389,t,5,665,0,0
390,f,5,485,0,0
391,t,5,665,0,0
392,t,5,485,0,0
393,f,5,665,0,0
394,f,5,485,0,0
395,f,5,665,0,0
396,t,5,632,0,0
397,t,5,633,0,0
398,t,5,632,0,0
399,t,5,633,0,0
400,t,5,632,0,0
401,t,5,633,0,0
405,f,1,1,24,0
407,f,1,25,39,0
409,f,1,40,99,0
410,f,1,1,24,0
412,f,1,25,39,0
414,f,1,40,99,0
415,f,1,1,18,0
416,f,1,19,36,0
417,f,1,37,99,0
418,f,1,15,26,0
419,f,1,27,38,0
420,f,1,39,99,0
421,f,1,1,15,0
422,f,1,16,35,0
423,f,1,36,99,0
424,f,1,1,15,0
425,f,1,16,35,0
426,f,1,36,99,0
427,t,5,373,0,0
428,f,5,373,0,0
429,f,1,1,15,0
430,f,1,16,35,0
431,f,1,36,99,0
432,t,9,252,0,0
434,f,5,100,0,0
439,t,3,0,0,0
440,t,9,252,0,0
441,f,5,6,0,0
442,f,5,155,0,0
443,f,10,21,0,0
444,f,7,100,0,0
445,f,7,100,0,0
446,f,7,0,0,0
447,f,7,0,0,0
448,f,10,23,0,0
449,t,9,252,0,0
450,t,9,252,0,0
451,t,9,252,0,0
452,t,9,252,0,0
453,t,9,252,0,0
454,t,9,252,0,0
455,t,9,252,0,0
457,t,9,252,0,0
458,t,9,252,0,0
460,f,2,4,0,0
463,t,5,312,0,0
464,t,8,0,0,0
465,t,5,312,0,0
466,t,8,0,0,0
467,t,5,312,0,0
468,t,8,0,0,0
469,t,5,312,0,0
470,t,8,0,0,0
471,t,5,312,0,0
472,t,8,0,0,0
473,t,5,312,0,0
474,t,8,0,0,0
475,t,5,312,0,0
476,t,8,0,0,0
477,t,5,312,0,0
478,t,8,0,0,0
479,t,5,312,0,0
480,t,8,0,0,0
481,t,5,312,0,0
482,t,8,0,0,0
483,t,5,312,0,0
484,t,8,0,0,0
485,t,5,312,0,0
486,t,8,0,0,0
487,t,5,312,0,0
488,t,8,0,0,0
489,t,5,312,0,0
490,t,8,0,0,0
491,t,5,312,0,0
492,t,8,0,0,0
500,f,5,677,0,0
501,t,5,705,0,0
503,t,8,0,0,0
504,t,5,312,0,0
505,f,11,0,10,0
506,t,8,0,0,0
507,t,5,312,0,0
508,f,11,0,10,0
509,t,8,0,0,0
510,t,5,312,0,0
511,f,11,0,10,0
512,t,9,252,0,0
513,t,5,677,0,0
514,f,5,703,0,0
515,t,5,677,0,0
516,f,5,678,0,0
517,t,9,252,0,0
519,t,6,2,0,0
525,f,3,0,0,0
526,t,3,0,0,0
527,f,6,2,0,0
531,f,1,33,36,0
532,t,6,2,0,0
533,f,1,37,44,0
534,t,6,2,0,0
535,f,1,45,99,0
536,f,1,37,44,0
537,f,6,2,0,0
538,f,1,33,36,0
539,f,6,2,0,0
540,f,1,45,99,0
541,t,5,312,0,0
542,t,8,0,0,0
547,t,5,312,0,0
548,t,8,0,0,0
549,t,5,312,0,0
550,t,8,0,0,0
551,t,9,252,0,0
553,t,5,361,0,0
556,t,9,252,0,0
558,f,2,1,0,0
559,t,5,381,0,0
560,f,2,1,0,0
561,f,5,381,0,0
562,f,2,4,0,0
563,t,8,0,0,0
566,t,5,108,0,0
567,t,5,229,0,0
568,f,5,108,0,0
569,t,5,229,0,0
571,f,5,229,0,0
576,f,5,783,0,0
577,t,11,0,15,0
578,t,5,161,0,0
579,t,9,252,0,0
580,f,1,15,29,0
581,t,5,126,0,0
582,f,5,126,0,0
583,f,1,30,44,0
584,f,1,45,99,0
585,f,5,108,0,0
586,t,5,632,0,0
587,t,5,633,0,0
588,t,5,634,0,0
589,f,5,632,0,0
590,f,5,633,0,0
591,f,5,634,0,0
592,t,5,361,0,0
593,f,1,1,99,0
594,f,11,0,15,0
595,t,8,0,0,0
596,t,8,0,0,0
597,t,8,0,0,0
598,t,8,0,0,0
599,t,9,252,0,0
600,f,7,10,0,0
601,t,3,0,0,0
602,t,5,312,0,0
603,t,8,0,0,0
604,t,5,312,0,0
605,t,8,0,0,0
606,f,1,1,15,0
607,f,1,16,35,0
608,f,1,36,99,0
609,f,1,1,15,0
610,f,1,16,35,0
611,f,1,36,99,0
612,f,1,1,15,0
613,f,1,16,35,0
614,f,1,36,99,0
615,t,9,252,0,0
618,f,5,806,0,0
619,f,5,807,0,0
620,f,5,808,0,0
621,t,9,252,0,0
622,t,8,0,0,0
623,t,8,0,0,0
624,t,5,926,0,0
625,t,8,0,0,0
626,t,5,926,0,0
627,t,8,0,0,0
628,t,5,926,0,0
629,t,8,0,0,0
630,t,5,926,0,0
631,t,8,0,0,0
632,t,5,926,0,0
633,t,8,0,0,0
634,t,5,926,0,0
635,t,8,0,0,0
636,t,5,926,0,0
637,t,8,0,0,0
638,t,5,926,0,0
639,t,8,0,0,0
640,t,5,926,0,0
641,t,8,0,0,0
642,t,5,926,0,0
643,t,8,0,0,0
644,t,5,926,0,0
645,t,8,0,0,0
646,t,5,926,0,0
647,t,8,0,0,0
648,t,5,926,0,0
649,t,8,0,0,0
650,t,5,926,0,0
651,t,8,0,0,0
652,t,5,926,0,0
653,t,8,0,0,0
654,t,5,926,0,0
655,t,9,252,0,0
656,t,9,252,0,0
657,t,5,345,0,0
658,t,5,366,0,0
665,t,5,632,0,0
666,t,5,633,0,0
667,t,5,634,0,0
668,t,5,361,0,0
669,t,5,345,0,0
670,t,5,366,0,0
671,f,5,657,0,0
672,f,5,656,0,0
673,t,5,12,0,0
674,t,5,665,0,0
675,f,5,12,0,0
676,t,5,665,0,0
677,t,5,12,0,0
678,f,5,665,0,0
679,f,5,12,0,0
680,f,5,665,0,0
681,t,5,632,0,0
682,t,5,633,0,0
683,t,5,634,0,0
684,t,5,361,0,0
685,t,5,345,0,0
686,t,5,366,0,0
687,t,5,6,0,0
688,f,11,0,12,0
689,t,5,11,0,0
690,t,5,97,0,0
691,t,5,107,0,0
692,t,5,12,0,0
693,t,5,13,0,0
694,t,5,346,0,0
695,t,9,252,0,0
696,t,9,252,0,0
698,t,9,252,0,0
699,f,11,0,10,0
700,t,5,6,0,0
701,t,5,11,0,0
702,t,5,97,0,0
703,t,5,107,0,0
704,t,5,12,0,0
705,t,5,13,0,0
706,t,5,346,0,0
707,f,5,166,0,0
708,t,5,166,0,0
709,t,9,252,0,0
710,f,5,294,0,0
711,t,5,937,0,0
712,t,8,0,0,0
713,t,8,0,0,0
714,t,5,361,0,0
715,t,5,632,0,0
716,t,5,633,0,0
717,t,5,345,0,0
718,t,5,366,0,0
719,t,5,345,0,0
720,t,5,366,0,0
721,t,9,252,0,0
722,t,6,2,0,0
723,f,6,2,0,0
724,t,9,252,0,0
725,f,7,90,0,0
727,f,5,294,0,0
728,f,5,978,0,0
729,f,5,977,0,0
730,f,7,50,0,0
731,f,12,1,1,1
732,f,12,1,1,0
733,f,12,1,1,0
734,f,12,1,1,1
735,f,7,50,0,0
736,f,7,50,0,0
737,f,7,50,0,0
738,f,7,50,0,0
739,f,7,50,0,0
740,f,12,1,1,1
741,f,12,1,1,2
742,f,12,1,1,3
743,f,12,1,1,4
744,f,12,1,1,5
746,f,12,1,1,0
747,t,12,1,1,0
748,t,12,1,1,0
749,f,12,1,1,0
750,t,9,252,0,0
752,f,11,10,20,0
753,t,5,361,0,0
754,t,5,633,0,0
755,t,5,632,0,0
756,t,5,345,0,0
757,t,5,366,0,0
758,t,5,361,0,0
759,t,5,632,0,0
760,t,5,633,0,0
761,t,5,345,0,0
762,t,5,366,0,0
764,f,1,36,99,0
765,t,5,996,0,0
767,t,5,996,0,0
777,t,12,1,1,1
778,f,7,90,0,0
781,f,12,1,1,1
783,f,7,50,0,0
784,t,12,1,1,1
785,f,12,1,1,1
786,f,7,25,0,0
787,f,7,25,0,0
788,f,7,25,0,0
789,f,7,25,0,0
790,t,12,1,1,0
791,f,12,1,1,0
792,f,12,1,1,1
793,f,12,1,1,2
794,f,12,1,1,3
795,f,12,1,1,4
796,f,5,783,0,0
799,t,5,657,0,0
800,t,8,0,0,0
801,t,5,926,0,0
802,t,8,0,0,0
803,t,5,926,0,0
804,t,8,0,0,0
805,t,5,926,0,0
806,t,8,0,0,0
807,t,5,926,0,0
808,t,8,0,0,0
809,t,5,926,0,0
810,t,8,0,0,0
811,t,5,926,0,0
812,t,8,0,0,0
813,t,5,926,0,0
814,t,8,0,0,0
815,t,5,926,0,0
816,t,8,0,0,0
817,t,5,926,0,0
818,t,8,0,0,0
819,t,5,926,0,0
820,t,8,0,0,0
821,t,5,926,0,0
822,t,8,0,0,0
823,t,5,926,0,0
824,t,8,0,0,0
825,t,5,926,0,0
826,t,8,0,0,0
827,t,5,926,0,0
828,t,8,0,0,0
829,t,5,926,0,0
830,t,8,0,0,0
831,t,5,926,0,0
834,f,5,1036,0,0
835,f,5,1037,0,0
836,t,8,0,0,0
837,t,8,0,0,0
838,t,8,0,0,0
839,f,5,1020,0,0
840,f,5,1021,0,0
841,f,5,1019,0,0
842,f,5,1019,0,0
843,f,5,1022,0,0
844,f,5,1023,0,0
846,f,5,1025,0,0
847,f,5,1025,0,0
848,f,5,1021,0,0
849,f,5,1020,0,0
850,f,5,1022,0,0
851,f,5,1023,0,0
852,f,5,1025,0,0
853,f,5,1023,0,0
854,f,5,1020,0,0
855,f,5,1021,0,0
856,f,5,1022,0,0
857,f,5,1025,0,0
858,f,5,1022,0,0
859,f,5,1020,0,0
860,f,7,70,0,0
861,f,5,1021,0,0
862,f,5,1023,0,0
863,f,7,50,0,0
864,f,12,1,1,2
866,f,12,1,1,1
867,f,5,1025,0,0
868,f,5,1030,0,0
870,f,5,1020,0,0
871,f,5,1021,0,0
872,f,5,1022,0,0
873,f,5,1023,0,0
874,f,5,1030,0,0
875,f,5,1030,0,0
876,f,5,1030,0,0
877,f,5,1030,0,0
879,f,7,30,1,0
880,f,7,30,0,0
881,f,5,294,0,0
884,t,8,0,0,0
885,f,7,70,0,0
886,f,7,50,0,0
887,f,12,1,1,1
888,f,12,1,1,2
892,f,13,8,3,6000
893,f,13,8,4,6000
894,t,5,1033,0,0
895,t,5,1034,0,0
896,f,5,1034,0,0
897,f,5,1033,0,0
899,f,7,50,0,0
904,f,7,100,0,0
905,f,12,1,1,1
906,f,12,1,1,2
907,f,12,1,1,2
908,f,12,1,1,1
909,f,7,66,0,0
910,f,7,50,0,0
911,f,12,2,1,1
912,t,12,2,1,1
913,f,12,2,1,2
914,t,12,2,1,2
915,f,12,2,1,3
916,t,12,2,1,3
917,f,7,75,0,0
918,f,7,66,0,0
919,f,7,50,0,0
920,f,12,3,1,1
921,t,12,3,1,1
922,f,12,3,1,2
923,t,12,3,1,2
924,f,12,3,1,3
925,t,12,3,1,3
926,f,12,3,1,4
927,t,12,3,1,4
928,f,7,86,0,0
929,f,7,83,0,0
930,f,7,80,0,0
931,f,7,75,0,0
932,f,7,66,0,0
933,f,7,50,0,0
934,t,5,1039,0,0
935,f,12,1,1,1
936,t,12,1,1,1
937,f,12,1,1,2
938,t,12,1,1,2
939,f,12,1,1,3
940,t,12,1,1,3
941,f,12,1,1,4
942,t,12,1,1,4
943,f,12,1,1,5
944,t,12,1,1,5
945,f,12,1,1,6
946,t,12,1,1,6
947,f,12,1,1,7
948,t,12,1,1,7
949,f,5,1043,0,0
950,f,5,1050,0,0
951,f,5,1050,0,0
952,f,5,1050,0,0
958,t,5,1039,0,0
959,f,5,1050,0,0
960,f,5,1050,0,0
961,f,5,1050,0,0
962,f,5,1050,0,0
963,f,5,1050,0,0
964,t,5,701,0,0
965,t,5,1039,0,0
966,t,5,1039,0,0
968,f,5,805,0,0
970,t,5,1057,0,0
971,f,5,1057,0,0
979,t,5,937,0,0
980,f,7,25,0,0
982,f,12,1,1,1
983,f,12,1,1,0
984,t,5,361,0,0
985,t,5,345,0,0
986,t,5,366,0,0
987,t,5,632,0,0
988,t,5,633,0,0
989,t,5,634,0,0
991,f,5,1060,0,0
992,t,8,0,0,0
1002,f,5,1062,0,0
1003,t,5,657,0,0
1005,t,8,0,0,0
1007,f,5,1063,0,0
1008,f,5,1064,0,0
1009,f,5,1022,0,0
1010,f,5,1065,0,0
1011,f,5,1022,0,0
1012,f,5,1066,0,0
1013,f,5,1022,0,0
1014,f,5,1067,0,0
1015,f,5,1022,0,0
1016,f,5,1063,0,0
1017,f,5,1064,0,0
1018,f,5,1030,0,0
1019,f,5,1065,0,0
1020,f,5,1030,0,0
1021,f,5,1066,0,0
1022,f,5,1030,0,0
1023,f,5,1067,0,0
1024,f,5,1030,0,0
1025,t,8,0,0,0
1028,f,7,13,0,0
1029,f,12,1,1,1
1030,f,12,1,1,0
1031,f,7,20,0,0
1032,f,12,1,1,0
1033,f,12,1,1,1
1034,f,3,0,0,0
1038,t,8,0,0,0
1040,t,8,0,0,0
1042,t,8,0,0,0
1044,t,8,0,0,0
1046,t,8,0,0,0
1048,t,8,0,0,0
1050,t,8,0,0,0
1052,t,8,0,0,0
1054,t,8,0,0,0
1056,t,8,0,0,0
1058,t,8,0,0,0
1060,t,8,0,0,0
1062,t,8,0,0,0
1064,t,8,0,0,0
1066,t,8,0,0,0
1068,t,8,0,0,0
1070,t,8,0,0,0
1072,t,8,0,0,0
1074,t,8,0,0,0
1076,t,8,0,0,0
1078,t,8,0,0,0
1080,t,8,0,0,0
1082,t,8,0,0,0
1084,t,8,0,0,0
1086,t,8,0,0,0
1088,t,8,0,0,0
1090,t,8,0,0,0
1095,t,5,1074,0,0
1096,t,8,0,0,0
1098,t,8,0,0,0
1100,t,8,0,0,0
1102,t,5,6,0,0
1103,t,5,11,0,0
1104,t,5,97,0,0
1105,t,5,107,0,0
1106,t,5,12,0,0
1107,t,5,13,0,0
1108,t,5,346,0,0
1109,t,9,244,0,0
1110,t,5,1075,0,0
1111,f,5,1075,0,0
1112,t,8,0,0,0
1113,t,8,0,0,0
1117,t,5,1075,0,0
1118,t,5,1075,0,0
1119,t,5,1075,0,0
1120,t,5,1075,0,0
1121,f,7,15,0,0
1122,f,12,1,1,1
1123,f,12,1,1,0
1124,f,7,18,0,0
1125,f,12,1,1,1
1126,f,12,1,1,0
1127,f,7,23,0,0
1128,f,12,1,1,1
1129,f,12,1,1,0
1130,f,7,33,0,0
1131,f,12,1,1,1
1132,f,12,1,1,0
1133,t,9,252,0,0
1138,t,9,252,0,0
1139,f,5,6,0,0
1140,t,5,312,0,0
1141,t,8,0,0,0
1142,f,5,1060,0,0
1143,f,5,1060,0,0
1144,f,5,1079,0,0
1145,f,5,1080,0,0
1146,f,5,1081,0,0
1147,f,5,1082,0,0
1148,t,5,148,0,0
1149,t,5,148,0,0
1150,t,5,148,0,0
1151,t,5,148,0,0
1152,t,5,148,0,0
1153,t,5,148,0,0
1154,t,5,148,0,0
1155,t,5,148,0,0
1156,t,5,148,0,0
1157,t,5,148,0,0
1158,t,5,148,0,0
1159,t,5,148,0,0
1160,t,5,148,0,0
1161,t,5,148,0,0
1162,t,5,148,0,0
1163,t,5,148,0,0
1164,t,5,148,0,0
1165,t,5,148,0,0
1166,t,5,148,0,0
1167,t,5,148,0,0
1168,t,5,148,0,0
1169,t,5,148,0,0
1170,t,5,148,0,0
1171,t,5,148,0,0
1172,t,5,148,0,0
1173,t,5,148,0,0
1174,t,5,148,0,0
1175,t,5,148,0,0
1176,t,5,148,0,0
1177,t,5,148,0,0
1178,t,5,148,0,0
1179,t,5,148,0,0
1180,t,5,148,0,0
1181,t,5,148,0,0
1186,t,5,148,0,0
1190,f,7,100,0,0
1191,f,7,80,0,0
1192,f,7,60,0,0
1193,f,7,40,0,0
1194,f,7,20,0,0
1196,f,12,1,1,1
1197,f,12,2,1,1
1198,f,12,3,1,1
1199,f,12,4,1,1
1200,f,12,5,1,1
1201,t,5,632,0,0
1202,t,5,633,0,0
1203,t,5,634,0,0
1204,t,5,361,0,0
1205,t,5,345,0,0
1206,t,5,366,0,0
1207,t,5,996,0,0
1208,t,5,1090,0,0
1210,t,5,1090,0,0
1211,t,5,1090,0,0
1212,t,5,1090,0,0
1213,t,5,1090,0,0
1214,t,5,1090,0,0
1215,f,5,6,0,0
1216,t,5,312,0,0
1217,t,8,0,0,0
1219,f,6,3,0,0
1220,f,13,8,3,6000
1221,f,13,8,4,6000
1222,t,8,0,0,0
1224,f,6,3,0,0
1225,f,6,2,0,0
1226,f,6,3,0,0
1228,f,6,2,0,0
1229,f,6,3,0,0
1231,f,1,1,24,0
1233,f,1,25,39,0
1235,f,1,40,99,0
1236,f,6,2,0,0
1237,t,9,252,0,0
1240,t,5,312,0,0
1241,t,8,0,0,0
1242,t,8,0,0,0
1243,t,8,0,0,0
1244,f,13,8,3,6000
1245,f,13,8,5,6000
1250,t,8,0,0,0
1254,f,5,1095,0,0
1255,f,5,1095,0,0
1257,t,9,252,0,0
1258,t,5,27,0,0
1259,f,5,1097,0,0
1264,t,5,27,0,0
1265,t,9,252,0,0
1267,t,9,252,0,0
1275,f,5,1100,0,0
1276,f,5,1100,0,0
1277,t,8,0,0,0
1282,t,8,0,0,0
1286,t,8,0,0,0
1287,f,7,86,0,0
1288,f,7,83,0,0
1289,f,7,80,0,0
1290,f,12,1,1,0
1291,f,10,23,0,0
1292,f,12,1,1,1
1293,f,10,23,0,0
1294,f,12,1,1,2
1295,f,12,1,1,3
1296,f,10,23,0,0
1297,f,12,1,1,4
1298,f,10,23,0,0
1299,f,7,75,0,0
1300,f,7,66,0,0
1301,f,7,50,0,0
1302,f,12,1,1,5
1303,f,10,23,0,0
1304,f,12,1,1,6
1305,f,10,23,0,0
1306,f,10,23,0,0
1307,f,12,1,1,0
1308,f,10,21,0,0
1309,f,12,1,1,1
1310,f,10,21,0,0
1311,f,12,1,1,2
1312,f,10,21,0,0
1313,f,12,1,1,3
1314,f,10,21,0,0
1315,f,12,1,1,4
1316,f,10,21,0,0
1317,f,12,1,1,5
1318,f,10,21,0,0
1319,f,12,1,1,6
1320,f,10,21,0,0
1321,f,10,23,0,0
1322,f,12,1,1,7
1323,f,7,50,0,0
1324,f,12,1,1,7
1325,f,10,21,0,0
1326,f,11,7,50,0
1327,t,8,0,0,0
1328,f,2,5,0,0
1329,f,5,1095,0,0
1339,f,10,21,0,0
1340,f,10,23,0,0
1341,f,10,21,0,0
1342,f,10,23,0,0
1343,f,10,21,0,0
1344,f,10,23,0,0
1345,f,10,21,0,0
1346,f,10,23,0,0
1347,f,12,1,1,0
1348,f,12,1,1,1
1350,f,11,4,50,0
1351,f,11,0,4,0
1353,f,11,5,6,0
1354,t,9,252,0,0
1355,f,11,4,50,0
1356,f,11,0,4,0
1357,f,7,50,0,0
1359,t,9,252,0,0
1360,t,9,252,0,0
1361,t,8,0,0,0
1362,t,9,252,0,0
1364,f,7,33,0,0
1365,f,12,1,1,1
1366,f,12,1,1,0
1367,t,5,1090,0,0
1368,f,7,23,0,0
1369,f,12,1,1,1
1370,f,12,1,1,0
1373,t,5,1090,0,0
1374,f,5,1113,0,0
1375,f,5,1022,0,0
1376,f,5,1113,0,0
1377,f,5,1030,0,0
1379,t,9,252,0,0
1381,f,7,80,0,0
1382,f,7,80,0,0
1383,f,7,80,0,0
1384,f,14,3,3,40000
1386,f,14,3,3,30000
1387,f,14,3,3,20000
1388,f,14,3,3,10000
1389,f,14,1,3,20000
1390,f,14,1,2,30000
1391,f,14,3,2,30000
1392,f,7,95,0,0
1393,f,12,1,1,1
1394,f,12,1,1,0
1396,t,5,1117,0,0
1397,t,5,632,0,0
1398,t,5,633,0,0
1399,t,5,634,0,0
1400,t,5,361,0,0
1401,t,5,345,0,0
1402,t,5,366,0,0
1403,t,5,996,0,0
1405,f,5,1033,0,0
1408,t,8,0,0,0
1409,f,13,8,3,6000
1410,f,13,8,3,6000
1411,f,5,1034,0,0
1412,f,5,1122,0,0
1414,f,5,1120,0,0
1417,f,7,66,0,0
1429,f,7,50,0,0
1430,f,12,2,1,1
1431,f,12,2,1,2
1432,f,12,2,1,3
1433,f,7,50,0,0
1434,f,7,50,0,0
1435,f,12,1,1,1
1436,f,12,1,1,2
1437,f,12,1,1,3
1438,f,5,985,0,0
1439,f,5,985,0,0
1440,f,5,985,0,0
1441,f,5,1146,0,0
1442,f,5,1146,0,0
1443,f,5,1146,0,0
1444,f,5,1146,0,0
1445,f,5,1146,0,0
1446,f,5,1146,0,0
1448,f,3,0,0,0
1449,t,8,0,0,0
1453,f,12,2,1,1
1454,f,12,2,1,2
1455,f,12,2,1,3
1456,f,7,50,0,0
1457,f,5,985,0,0
1461,f,5,985,0,0
1462,f,5,985,0,0
1463,f,5,985,0,0
1470,f,7,80,0,0
1471,t,8,0,0,0
1473,t,8,0,0,0
1477,t,8,0,0,0
1479,t,8,0,0,0
1483,t,8,0,0,0
1484,t,8,0,0,0
1488,t,8,0,0,0
1489,t,8,0,0,0
1490,t,8,0,0,0
1491,t,8,0,0,0
1492,t,8,0,0,0
1493,t,8,0,0,0
1494,t,8,0,0,0
1495,t,8,0,0,0
1500,t,8,0,0,0
1501,f,13,64,3,5000
1502,f,13,64,4,5000
1503,f,7,50,0,0
1505,f,11,15,50,0
1510,t,8,0,0,0
1511,f,11,0,10,0
1512,f,3,0,0,0
1513,t,8,0,0,0
1514,t,5,312,0,0
1519,f,5,1177,0,0
1523,f,5,1177,0,0
1528,f,5,1177,0,0
1529,f,5,1177,0,0
1533,f,5,1177,0,0
1534,f,5,1177,0,0
1535,f,5,1177,0,0
1536,f,5,1177,0,0
1537,f,5,1177,0,0
1538,f,5,1177,0,0
1539,f,5,1177,0,0
1540,f,5,1177,0,0
1541,f,5,1177,0,0
1542,f,5,1177,0,0
1543,f,5,1177,0,0
1544,f,5,1177,0,0
1545,f,5,1177,0,0
1546,f,5,1177,0,0
1547,f,5,1177,0,0
1548,f,5,1177,0,0
1549,f,5,1177,0,0
1550,f,5,1177,0,0
1551,f,5,1177,0,0
1552,f,5,1177,0,0
1553,f,5,1177,0,0
1554,f,5,1177,0,0
1555,f,5,1177,0,0
1556,f,5,1177,0,0
1557,f,5,1177,0,0
1558,f,5,1177,0,0
1559,f,5,1177,0,0
1560,f,5,1177,0,0
1562,f,5,1177,0,0
1563,f,11,5,50,0
1568,t,9,252,0,0
1570,t,8,0,0,0
1572,t,5,148,0,0
1573,t,8,0,0,0
1575,t,5,148,0,0
1576,t,8,0,0,0
1578,t,5,148,0,0
1579,t,8,0,0,0
1581,t,5,148,0,0
1582,t,8,0,0,0
1584,t,5,148,0,0
1585,t,8,0,0,0
1587,t,5,148,0,0
1588,t,8,0,0,0
1590,t,5,148,0,0
1591,t,8,0,0,0
1593,t,5,148,0,0
1594,t,8,0,0,0
1596,t,5,148,0,0
1597,t,8,0,0,0
1599,t,5,148,0,0
1600,t,8,0,0,0
1602,t,5,148,0,0
1603,t,8,0,0,0
1605,t,5,148,0,0
1610,f,13,8,3,6500
1611,f,13,8,4,6500
1612,f,13,8,3,6500
1613,f,13,8,4,6500
1616,f,11,15,100,0
1617,f,13,8,3,6500
1618,f,13,8,4,6500
1622,t,5,1210,0,0
1623,f,13,64,3,5000
1625,f,11,10,100,0
1628,f,11,10,50,0
1629,f,7,50,0,0
1630,f,5,1194,0,0
1635,t,5,987,0,0
1636,f,7,25,0,0
1637,t,5,987,0,0
1638,f,7,25,0,0
