id,name,allow_on_floor,allow_on_wall,allow_on_ceiling,doodad_id,allow_on_garden,actability_group_id,actability_up,deco_actability_group_id
70,나무 애완동물 우리,t,f,f,1264,f,0,0,0
71,원목 약장,t,f,f,1265,f,0,0,0
72,학자의 책상,t,f,f,1266,f,0,0,0
73,학자의 가죽 소파,t,f,f,1267,f,0,0,0
74,학자의 가죽 의자,t,f,f,1268,t,,0,
75,학자의 천 의자,t,f,f,1269,t,,0,
76,학자의 대형 책장,t,f,f,1270,f,0,0,0
77,원목 유리 장식장,t,f,f,1271,f,0,0,0
78,상인의 고급 서랍장,t,f,f,1272,f,0,0,0
79,왕실의 회의 탁자,t,f,f,1273,f,0,0,0
80,왕실의 책상,t,f,f,1274,f,0,0,0
81,나무 팔걸이 의자,t,f,f,1275,t,,0,
82,하얀 모자 소녀 인형,t,f,f,1276,f,0,0,0
83,붉은 모자 소녀 인형,t,f,f,1277,f,0,0,0
84,붉은 모자 광대 인형,t,f,f,1278,f,0,0,0
85,노란 무늬 원목 마네킹,t,f,f,1279,f,0,0,0
86,원목 식탁,t,f,f,1280,t,,0,
87,곡선 나무결 탁자,t,f,f,1281,t,,0,0
88,학자의 작은 선반,t,f,f,1282,f,0,0,0
89,원목 간이 탁자,t,f,f,1283,t,,0,
90,3단 나무 서랍장,t,f,f,1284,f,0,0,0
91,작은 저울,t,f,f,1285,f,0,0,0
92,원목 주방대,t,f,f,1286,f,0,0,0
93,원목 대형 주방대,t,f,f,1287,f,0,0,0
94,원목 등받이 의자,t,f,f,1288,t,,0,
95,원목 간이 의자,t,f,f,1289,t,,0,
96,흰 곰가죽 카페트,t,f,f,1290,f,,0,0
97,황토색 곰가죽 카페트,t,f,f,1291,f,,0,0
98,귀족의 일상 액자,f,t,f,1292,f,,0,0
99,나른한 오후 풍경 액자,f,t,f,1293,f,,0,0
100,트리스테 가문의 특별한 샹들리에,f,f,t,1294,f,0,0,0
101,트리스테 가문의 샹들리에,f,f,t,1295,f,0,0,0
102,노르예트 가문의 특별한 샹들리에,f,f,t,1296,f,0,0,0
103,노르예트 가문의 샹들리에,f,f,t,1297,f,0,0,0
104,UCC 액자,f,t,f,2142,f,0,0,0
105,UCC 푯말,t,f,f,2155,f,0,0,0
106,빛나는 모루,t,f,f,1918,f,0,0,0
107,빛나는 갑옷 제작대,t,f,f,2235,f,0,0,0
108,빛나는 가죽 갑옷 제작대,t,f,f,2236,f,0,0,0
109,빛나는 천 갑옷 제작대,t,f,f,2237,f,0,0,0
110,빛나는 목공 제작대,t,f,f,2239,f,0,0,0
111,빛나는 공예품 제작대,t,f,f,2240,f,0,0,0
112,빛나는 연금 제작대,t,f,f,2241,f,0,0,0
113,진짜 같은 시계태엽 고양이 상자,t,f,f,2243,f,0,0,0
114,점술가의 수정,t,f,f,2244,f,0,0,0
115,기이한 소리를 내는 기계장치,t,f,f,2234,f,0,0,0
116,고장난 축음기,t,f,f,2245,f,0,0,0
117,어항,t,f,f,2473,f,0,0,0
118,수상한 알,t,f,f,2483,t,0,0,0
119,짧은 나무 울타리,f,f,f,2541,t,0,0,0
120,나무 두 줄 울타리,f,f,f,2542,t,,0,0
121,짧은 나무 두 줄 울타리,f,f,f,2543,t,0,0,0
122,갈색 원목 침대,t,t,t,974,t,0,0,0
123,파란색 흔들인형,t,f,f,2643,f,0,0,0
124,귤색 흔들인형,t,f,f,2644,f,0,0,0
125,주황색 흔들인형,t,f,f,2645,f,0,0,0
126,은색 흔들인형,t,f,f,2646,f,0,0,0
127,검은색 흔들인형,t,f,f,2647,f,0,0,0
128,초록색 흔들인형,t,f,f,2648,f,0,0,0
129,빨강색 흔들인형,t,f,f,2651,f,0,0,0
130,보라색 흔들인형,t,f,f,2652,f,0,0,0
131,비취색 흔들인형,t,f,f,2653,f,0,0,0
132,분홍색 흔들인형,t,f,f,2654,f,0,0,0
133,갈색 흔들인형,t,f,f,2655,f,0,0,0
134,금색 흔들인형,t,f,f,2656,f,0,0,0
135,죄수 흔들인형,t,f,f,2657,f,0,0,0
136,하녀 흔들인형,t,f,f,2658,f,0,0,0
137,물음표 흔들인형,t,f,f,2659,f,,0,0
138,명품 흔들인형,t,f,f,2661,f,0,0,0
139,장인의 대형 보관함,t,f,f,2721,f,0,0,0
140,말하는 부엉이,t,f,f,3055,t,,0,
141,말하는 닭,t,f,f,2773,t,,0,
145,마법의 콩나무,f,f,f,3082,f,0,0,0
146,빛나는 광맥,f,f,f,2597,t,0,0,0
147,도금한 바실리스크 인형,t,f,f,3135,f,0,0,0
148,도색한 바실리스크 인형,t,f,f,3136,f,0,0,0
149,바실리스크 인형,t,f,f,3137,f,0,0,0
150,도금한 거상 인형,t,f,f,3139,f,0,0,0
151,도색한 거상 인형,t,f,f,3140,f,0,0,0
152,거상 인형,t,f,f,3141,f,0,0,0
153,도금한 서큐버스 인형,t,f,f,3143,f,0,0,0
154,도색한 서큐버스 인형,t,f,f,3144,f,0,0,0
155,서큐버스 인형,t,f,f,3145,f,0,0,0
156,움직이는 서큐버스 인형,t,f,f,3146,f,0,0,0
157,도금한 가고일 인형,t,f,f,3147,f,0,0,0
158,도색한 가고일 인형,t,f,f,3148,f,0,0,0
159,가고일 인형,t,f,f,3149,f,0,0,0
160,도금한 야차 인형,t,f,f,3151,f,0,0,0
161,도색한 야차 인형,t,f,f,3152,f,0,0,0
162,야차 인형,t,f,f,3153,f,0,0,0
163,도금한 나무거인 인형,t,f,f,3155,f,0,0,0
164,도색한 나무거인 인형,t,f,f,3156,f,0,0,0
165,나무거인 인형,t,f,f,3157,f,0,0,0
166,중형 자유도 액자,f,t,f,3203,f,0,0,0
167,소형 엘프 총각 액자,t,f,f,3194,f,0,0,0
168,소형 엘프 처녀 액자,t,f,f,3195,f,0,0,0
169,소형 누이안 총각 액자,t,f,f,3196,f,0,0,0
170,소형 누이안 처녀 액자,t,f,f,3197,f,0,0,0
171,소형 하리하란 총각 액자,t,f,f,3198,f,0,0,0
172,소형 하리하란 처녀 액자,t,f,f,3199,f,0,0,0
173,소형 페레 총각 액자,t,f,f,3200,f,0,0,0
174,소형 페레 처녀 액자,t,f,f,3201,f,0,0,0
175,중형 하리하란 처녀 액자,f,t,f,3202,f,0,0,0
176,하리하란 처녀 베게,t,f,f,3243,f,0,0,0
177,무기 숙련도 테스트 가구,t,f,f,3621,t,17,100,0
178,자유도 액자,f,t,f,3262,f,0,0,0
179,눈사람 인형,t,f,f,3277,f,0,0,0
180,전나무 아가씨 축제 장화,f,t,f,3278,f,0,0,0
181,전나무 아가씨 축제 장화,f,t,f,3279,f,0,0,0
182,나무 상자,t,f,f,3333,t,,0,0
183,부엉이 우편함,f,f,f,3563,t,,0,0
184,나무 사다리,t,f,f,3596,t,0,0,0
185,공간 기록서 유저용(테스트_정덕근),f,f,f,4029,t,0,0,0
186,빛나는 조리기구,t,f,f,4250,f,0,0,0
187,귀족의 안락한 수공예 침대,t,f,f,4627,f,,0,0
188,상인의 붉은 천 장식 침대,t,f,f,4628,f,0,0,0
189,소형 빈 액자,f,t,f,5043,f,0,0,0
190,빈센시오의 일기 (테스트),t,f,f,5083,f,0,0,0
191,들소 머리 박제,f,t,f,5448,f,,0,0
192,코끼리 머리 박제,f,t,f,5449,f,,0,0
193,군주의 작은 선반,t,f,f,5479,f,,0,0
194,군주의 원형 장식장,t,f,f,5480,f,,0,0
195,군주의 계단식 서랍장,t,f,f,5481,f,,0,0
196,상인의 간이 서랍장,t,f,f,5482,f,,0,0
197,군주의 접이식 칸막이,t,f,f,5474,f,,0,0
198,원목 칸막이,t,f,f,5475,f,,0,0
199,왕실의 칸막이,t,f,f,5476,f,,0,0
200,상인의 장식 칸막이,t,f,f,5477,f,,0,0
201,학자의 수공예 칸막이,t,f,f,5478,f,,0,0
202,원목 책장,t,f,f,5469,f,,0,0
203,군주의 오래된 책장,t,f,f,5470,f,,0,0
204,원목 선반,t,f,f,5471,f,,0,0
205,귀족의 장식 수납장,t,f,f,5472,f,,0,0
206,상인의 세공 장식장,t,f,f,5473,f,,0,0
207,중형 빈 액자,f,t,f,5495,f,,0,0
208,소형 빈 화폭,f,t,f,5496,f,,0,0
209,중형 빈 화폭,f,t,f,5497,f,,0,0
210,조립식 나무 의자,t,f,f,5508,t,,0,
211,두꺼운 벽장식 촛대,f,t,f,5565,f,,0,0
212,왕실의 붉은 금자수 대형 침대,t,f,f,5558,f,,0,0
213,군주의 탁자,t,f,f,5559,f,,0,0
214,상인의 작은 탁자,t,f,f,5560,f,,0,0
215,작은 방석,t,f,f,5561,f,,0,0
216,큰 장식 방석,t,f,f,5562,f,,0,0
217,푹신한 베개,t,f,f,5563,f,,0,0
218,두툼한 방석,t,f,f,5564,f,,0,0
219,휘장,f,t,f,5551,f,,0,0
220,누이아식 가로등,f,f,f,5567,t,,0,0
221,군주의 대형 침대,t,f,f,5578,f,,0,0
222,군주의 대형 침대_미사용,t,f,f,272,f,,0,0
223,왕실의 금빛 원목 대형 침대,t,f,f,5580,f,,0,0
224,원목 세공 대형 의자,t,f,f,5581,f,,0,0
225,왕실의 백색 금자수 소파,t,f,f,5583,f,,0,0
226,왕실의 붉은 금자수 소파,t,f,f,5584,f,,0,0
227,군주의 간이 탁자,t,f,f,5582,f,,0,0
228,왕실의 금장 탁자,t,f,f,5585,f,,0,0
229,붉은 연등,t,f,f,5610,t,,0,0
230,흰 연등,t,f,f,5611,t,,0,0
231,흰 기둥 연등,t,f,f,5612,t,,0,0
232,호롱 촛불,t,f,f,5613,t,,0,0
233,둥근 갓 촛등,t,f,f,5614,t,,0,0
234,사각 종이 조명틀,t,f,f,5615,t,,0,0
235,휘어진 벽장식 촛대,f,t,f,5616,f,,0,0
236,3받침 벽장식 촛대,f,t,f,5617,f,,0,0
237,하리하라식 가로등,f,f,f,5618,t,,0,0
238,통나무 울타리,f,f,f,5619,t,,0,0
239,농장 울타리,f,f,f,5620,t,,0,0
240,날카로운 검은 울타리,f,f,f,5621,t,,0,0
241,뾰족한 기둥,f,f,f,5622,t,,0,0
242,날카로운 흰 울타리,f,f,f,5713,t,,0,0
243,키프로사 기념 주화,t,f,f,5763,f,,0,0
244,에안나 기념 주화,t,f,f,5764,f,,0,0
245,타양 기념 주화,t,f,f,5765,f,,0,0
246,진 기념 주화,t,f,f,5766,f,,0,0
247,가정교사 소환방석,t,f,f,5826,f,,0,
248,축산 숙련도 테스트 가구,f,f,f,5904,t,5,40000,0
249,미래를 보는 복조리,f,t,f,5978,f,,0,0
250,하얀 설렘의 탁자,t,f,f,5987,t,,0,0
251,돌격대장 인형,t,f,f,6016,f,,0,0
252,도금한 돌격대장 인형,t,f,f,6017,f,,0,0
253,안탈론 인형,t,f,f,6018,f,,0,0
254,도금한 안탈론 인형,t,f,f,6019,f,,0,0
255,길니어스 인형,t,f,f,6020,f,,0,0
256,도금한 길니어스 인형,t,f,f,6021,f,,0,0
257,사신 인형,t,f,f,6022,f,,0,0
258,도금한 사신 인형,t,f,f,6023,f,,0,0
259,농부의 작업대,f,f,f,6090,t,,0,0
260,말하는 개구리,t,f,f,6104,t,,0,
261,가정교사 소환방석,t,f,f,6171,f,,0,0
262,가정교사 소환방석,t,f,f,6172,f,,0,0
263,가정교사 소환방석,t,f,f,6173,f,,0,0
264,아키움 가공대,t,f,f,6201,t,,0,0
265,TEST 컷신 나오는 하우징 두다드,t,f,t,1915,t,19,0,
266,자동태엽 전축,t,f,f,6103,t,,0,0
267,끼릭끼릭 축음기,t,f,f,6219,t,,0,0
268,다채로운 소리나팔,t,f,f,6220,t,,0,0
269,기묘한 경적나팔,t,f,f,6221,t,,0,0
270,물약 거치 선반,f,t,f,6500,f,1,1000,1
271,연금 실험 도구,t,f,f,6387,f,1,1500,1
272,곤의 모래시계,t,f,f,6392,f,0,0,0
273,대요리사 쿠커의 요리비법,t,f,f,6388,f,3,1000,1
274,개량 화덕,t,f,f,6503,f,3,1500,1
275,춤추는 오르골 장식,t,f,f,6505,f,4,1000,1
276,보석 세공대,t,f,f,6501,f,4,1500,1
277,금속 투구 장식,t,f,f,6390,f,11,1000,1
278,소형 용광로,t,f,f,6443,f,11,1500,1
279,소형 구리 주괴 장식,t,f,f,6396,f,0,0,0
280,중형 구리 주괴 장식,t,f,f,6397,f,0,0,0
281,대형 구리 주괴 장식,t,f,f,6398,f,0,0,0
282,소형 은괴 장식,t,f,f,6399,f,0,0,0
283,중형 은괴 장식,t,f,f,6400,f,0,0,0
284,대형 은괴 장식,t,f,f,6401,f,0,0,0
285,소형 금괴 장식,t,f,f,6402,f,0,0,0
286,중형 금괴 장식,t,f,f,6403,f,0,0,0
287,대형 금괴 장식,t,f,f,6404,f,0,0,0
288,수습공의 재봉 세트,t,f,f,6389,f,15,1000,1
289,하리하란 재봉 기계,t,f,f,6454,f,15,1500,1
290,녹색 엘크 봉제인형,t,f,f,6510,f,0,0,0
291,보라색 엘크 봉제인형,t,f,f,6511,f,0,0,0
292,분홍색 엘크 봉제인형,t,f,f,6512,f,,0,
293,나비 넥타이 녹색 엘크,t,f,f,6513,f,0,0,0
294,빨간 모자 녹색 엘크,t,f,f,6514,f,0,0,0
295,황색갈기 눈사자 봉제인형,t,f,f,6515,f,0,0,0
296,흰색갈기 눈사자 봉제인형,t,f,f,6516,f,0,0,0
297,검은갈기 눈사자 봉제인형,t,f,f,6517,f,0,0,0
298,조끼 입은 황색갈기 눈사자,t,f,f,6518,f,0,0,0
299,쾌걸 황색갈기 눈사자,t,f,f,6519,f,,0,
300,야타 봉제인형,t,f,f,6520,f,0,0,0
301,줄무늬 야타 봉제인형,t,f,f,6521,f,0,0,0
302,검은 야타 봉제인형,t,f,f,6522,f,0,0,0
303,평상복 야타,t,f,f,6523,f,0,0,0
304,토끼인 줄 알았지 야타,t,f,f,6524,f,0,0,0
305,나라야나 봉제인형,t,f,f,6525,f,0,0,0
306,두들링 주술사 봉제인형,t,f,f,6526,f,0,0,0
307,다루 봉제인형,t,f,f,6526,f,0,0,0
308,코볼트 봉제인형,t,f,f,6526,f,0,0,0
309,범 가죽 카페트,t,f,f,6391,f,16,1000,1
310,무두 연장이 든 질긴 가죽 가방,f,t,f,6504,f,16,1500,1
311,기사의 상징,f,t,f,6395,f,17,1000,1
312,연마된 숫돌,t,f,f,6455,f,17,1500,1
313,하리하라 액막이 목각상,t,f,f,6386,t,18,1000,1
314,숙련공의 양날톱,t,f,f,6527,f,18,1500,1
315,펼쳐지는 책 테스트 두다드,t,f,f,6417,f,,0,0
316,고대 비스코니아 전쟁사,t,f,f,6497,f,,0,
317,조금 큰 녹색 엘크 봉제인형,t,f,f,6528,f,0,0,0
318,조금 큰 보라색 엘크 봉제인형,t,f,f,6529,f,0,0,0
319,조금 큰 분홍색 엘크 봉제인형,t,f,f,6530,f,0,0,0
320,조금 큰 나비 넥타이 녹색 엘크,t,f,f,6531,f,0,0,0
321,조금 큰 빨간 모자 녹색 엘크,t,f,f,6532,f,0,0,0
322,조금 큰 황색갈기 눈사자 봉제인형,t,f,f,6533,f,0,0,0
323,조금 큰 흰색갈기 눈사자 봉제인형,t,f,f,6534,f,0,0,0
324,조금 큰 검은갈기 눈사자 봉제인형,t,f,f,6535,f,0,0,0
325,조금 큰 조끼 입은 황색갈기 눈사자,t,f,f,6536,f,0,0,0
326,조금 큰 쾌걸 황색갈기 눈사자,t,f,f,6537,f,0,0,0
327,조금 큰 야타 봉제인형,t,f,f,6538,f,0,0,0
328,조금 큰 줄무늬 야타 봉제인형,t,f,f,6539,f,0,0,0
329,조금 큰 검은 야타 봉제인형,t,f,f,6540,f,0,0,0
330,조금 큰 평상복 야타,t,f,f,6541,f,0,0,0
331,조금 큰 토끼인 줄 알았지 야타,t,f,f,6542,f,0,0,0
332,조금 큰 나라야나 봉제인형,t,f,f,6543,f,0,0,0
333,조금 큰 두들링 주술사 봉제인형,t,f,f,6544,f,0,0,0
334,누이아 벽걸이 책장,f,t,f,6572,f,,0,
335,누이아 녹색 책,t,f,f,6573,f,,0,
336,누이아 자주색 책,t,f,f,6574,f,,0,
337,누이아 청녹색 책,t,f,f,6575,f,,0,
338,누이아 검정색 책,t,f,f,6576,f,,0,
339,누이아 파랑색 책,t,f,f,6577,f,,0,
340,하리하라 벽걸이 책장,f,t,f,6578,f,,0,
341,하리하라 녹색 책,t,f,f,6579,f,,0,
342,하리하라 핑크색 책,t,f,f,6580,f,,0,
343,하리하라 보라색 책,t,f,f,6581,f,,0,
344,하리하라 검정색 책,t,f,f,6582,f,,0,
345,하리하라 노랑색 책,t,f,f,6583,f,,0,
346,테스트용 녹색 엘크 봉제인형,t,f,f,6584,f,15,10,2
347,내 맘대로 그림 상자,t,f,f,6597,t,,0,
348,내 맘대로 그림 기둥,t,f,f,6601,t,,0,
349,이요르의 누이아 대륙 여행기,t,f,f,6612,f,,0,
350,그루달의 하리하라 대륙 여행기,t,f,f,6613,f,,0,
351,영원의 섬 멸망의 진실,t,f,f,6614,f,,0,
352,대형 돛새치 박제 장식,f,t,f,6621,f,,0,
353,그림 벼게,t,f,f,6629,f,,0,
354,루키우스 기념 주화,t,f,f,6634,f,,0,
355,아란제브 기념 주화,t,f,f,6635,f,,0,
356,아란제비아 기념 주화,t,f,f,6636,f,,0,
357,오키드나 기념 주화,t,f,f,6637,f,,0,
358,기념주화 모음 액자 I - 정원의 햇살 액자,f,t,f,6638,f,,0,
359,기념주화 모음 액자 II - 추억의 빛 액자,f,t,f,6639,f,,0,
360,대형 청새치 박제 장식,f,t,f,6657,f,,0,
361,대형 참다랑어 박제 장식,f,t,f,6658,f,,0,
362,대형 철갑상어 박제 장식,f,t,f,6659,f,,0,
363,중형 돛새치 박제 장식,f,t,f,6670,f,,0,
364,소형 돛새치 박제 장식,f,t,f,6671,f,,0,
365,중형 청새치 박제 장식,f,t,f,6672,f,,0,
366,소형 청새치 박제 장식,f,t,f,6673,f,,0,
367,중형 참다랑어 박제 장식,f,t,f,6674,f,,0,
368,소형 참다랑어 박제 장식,f,t,f,6675,f,,0,
369,중형 철갑상어 박제 장식,f,t,f,6676,f,,0,
370,소형 철갑상어 박제 장식,f,t,f,6677,f,,0,
371,대형 아로와나 어탁,f,t,f,6680,f,,0,
372,중형 아로와나 어탁,f,t,f,6681,f,,0,
373,소형 아로와나 어탁,f,t,f,6682,f,,0,
374,대형 잉어 어탁,f,t,f,6683,f,,0,
375,중형 잉어 어탁,f,t,f,6684,f,,0,
376,소형 잉어 어탁,f,t,f,6685,f,,0,
377,대형 전기뱀장어 어탁,f,t,f,6686,f,,0,
378,중형 전기뱀장어 어탁,f,t,f,6687,f,,0,
379,소형 전기 뱀장어 어탁,f,t,f,6688,f,,0,
380,테스트용 보관함,t,f,f,6692,f,,0,
381,빛나는 세계의 작가 우승잔 ,t,f,f,6700,f,,0,
382,세계의 작가 우승잔 ,t,f,f,6701,f,,0,
383,-,t,f,f,6702,f,,0,
384,빛나는 세기의 화가 우승잔,t,f,f,6703,f,,0,
385,세기의 화가 우승잔,t,f,f,6704,f,,0,
386,-,t,f,f,6705,f,,0,
387,빛나는 날개옷 재단사 우승잔,t,f,f,6706,f,,0,
388,날개옷 재단사 우승잔,t,f,f,6707,f,,0,
389,-,t,f,f,6708,f,,0,
390,빛나는 세계의 작가 액자,f,t,f,6709,f,,0,
391,세계의 작가 액자,f,t,f,6710,f,,0,
392,-,f,t,f,6711,f,,0,
393,빛나는 세기의 화가 액자,f,t,f,6712,f,,0,
394,세기의 화가 액자,f,t,f,6713,f,,0,
395,-,f,t,f,6714,f,,0,
396,빛나는 날개옷 재단사 액자,f,t,f,6715,f,,0,
397,날개옷 재단사 액자,f,t,f,6716,f,,0,
398,-,f,t,f,6717,f,,0,
399,크라켄의 소형 촉수 장식,t,f,f,6801,f,,0,
400,마리안의 일기,t,f,f,6804,f,,0,
401,빨강 부토 봉제인형,t,f,f,6806,f,,0,
402,노랑 부토 봉제 인형,t,f,f,6807,f,,0,
403,연두 부토 봉제인형,t,f,f,6808,f,,0,
404,파랑 부토 봉제인형,t,f,f,6809,f,,0,
405,보라 부토 봉제인형,t,f,f,6810,f,,0,
406,거상의 방석,t,f,f,6831,f,,0,
407,대형 참다랑어 박제 장식_테스트,f,t,f,6845,f,,0,
408,잡화 상인 방석,t,f,f,6849,f,,0,
409,창고 관리인 방석,t,f,f,6850,f,,0,
410,두머리 독수리 빈 간판,f,t,f,6851,f,,0,
411,미로 격자무늬 빈 간판,f,t,f,6852,f,,0,
412,구름 격자무늬 빈 간판,f,t,f,6853,f,,0,
413,황금미르 빈 간판,f,t,f,6854,f,,0,
414,꽃술 테두리 빈 간판,f,t,f,6855,f,,0,
415,토끼풀 문양 빈 간판,f,t,f,6856,f,,0,
416,푸른 물결 기사단 빈 간판,f,t,f,6857,f,,0,
417,붉은 심장 빈 간판,f,t,f,6858,f,,0,
418,빛나는 인쇄기,t,f,f,6872,f,,0,
419,코볼트 봉제인형,t,f,f,6887,f,,0,
420,다루 봉제인형,t,f,f,6888,f,,0,
421,아담한 누이아 달빛 봉제인형,t,f,f,6889,f,,0,
422,더러워도 귀엽지 젖소 봉제인형,t,f,f,6890,f,,0,
423,호박머리 봉제인형,t,f,f,6891,f,,0,
424,모르페우스 봉제인형,t,f,f,6892,f,,0,
425,조금 큰 코볼트 봉제인형,t,f,f,6893,f,,0,
426,조금 큰 다루 봉제인형,t,f,f,6894,f,,0,
427,조금 큰 아담한 누이아 달빛 봉제인형,t,f,f,6895,f,,0,
428,조금 큰 더러워도 귀엽지 젖소 봉제인형,t,f,f,6896,f,,0,
429,조금 큰 호박머리 봉제인형,t,f,f,6897,f,,0,
430,특별한 모르페우스 봉제인형,t,f,f,6898,f,,0,
431,빛나는 눈물장식 보관함,t,f,f,6958,f,,0,
432,어둠의 왼손,f,t,f,7003,f,,0,
433,크라켄의 중형 촉수 장식,t,f,f,7018,f,,0,
434,크라켄의 대형 촉수 장식,t,f,f,7019,f,,0,
435,참회의 형틀,t,f,f,6320,t,,0,
436,사죄의 형틀,t,f,f,6321,t,,0,
437,네모난 벽돌 화단,f,f,f,7053,t,,0,
438,용 사냥꾼 민레이나의 일지,t,f,f,7057,f,,0,
439,자동차 전시대,t,f,f,7058,t,,0,4
440,팔랑팔랑 나비 액자,f,t,f,7069,f,,0,
441,빨강 꽃 벽돌 화단,f,f,f,7114,t,,0,
442,파랑 꽃 벽돌 화단,f,f,f,7115,t,,0,
443,노란 꽃 벽돌 화단,f,f,f,7116,t,,0,
444,하얀 꽃 벽돌 화단,f,f,f,7117,t,,0,
445,개집 테스트,f,f,f,7135,t,,0,
446,아란제비아와 죽은 왕녀의 이야기 책,t,f,f,7139,f,,0,
447,나이마 기념 주화,t,f,f,7149,f,,0,
448,멜리사라 기념 주화,t,f,f,7152,f,,0,
449,올로 기념 주화,t,f,f,7153,f,,0,
450,이녹 기념 주화,t,f,f,7154,f,,0,
451,기억의 바람 액자,f,t,f,7155,f,,0,
452,조화의 깃발,f,t,f,7206,f,,0,
453,검은 자유의 깃발,f,t,f,7216,f,,0,
454,하얀 자유의 깃발,f,t,f,7221,f,,0,
455,파란 자유의 깃발,f,t,f,7222,f,,0,
456,풀잎 자유의 깃발,f,t,f,7223,f,,0,
457,빨간 자유의 깃발,f,t,f,7224,f,,0,
458,무지개빛 자유의 깃발,f,t,f,7228,f,,0,
459,거친 석재 기둥,t,f,f,7254,t,,0,
460,수호자의 장식 기둥,t,f,f,7255,t,,0,
461,수호자의 단단한 석판,t,f,f,7256,t,,0,
462,수호자의 장식 석병,t,f,f,7257,t,,0,
463,수호자의 장식 석판,t,f,f,7258,t,,0,
464,수호자의 날개문양 석판,t,f,f,7259,t,,0,
