id,delay,next_phase,keep_requester,show_tip,show_end_time,tip
282,1000,2161,f,f,f,
284,5000,2202,f,f,f,
285,1000,2151,f,f,f,
286,3000,2207,f,f,f,
289,40000,2181,f,f,f,
295,10000,2211,f,f,f,
298,100000,2229,f,f,f,
299,40000,2236,f,f,f,
302,5000,2269,f,f,f,
304,1000,2282,f,f,f,
305,1000,2287,f,f,f,
307,1500,2298,f,f,f,
309,20000,2310,f,f,f,
310,60000,2318,f,f,f,
311,5000,2322,f,f,f,
313,30000,2346,f,f,f,
315,30000,2360,f,f,f,
317,10000,-1,f,f,f,
318,120000,2369,f,f,f,
321,1000,3109,f,f,f,
323,7000,2279,f,f,f,
325,1000,2513,f,f,f,
326,2000,2528,f,f,f,
327,15000,2529,f,f,f,
328,2000,2526,f,f,f,
329,10000,2517,f,f,f,
330,10000,2530,f,f,f,
331,10000,2291,f,f,f,
333,5000,2303,f,f,f,
334,2000,2549,f,f,f,
338,6000,2533,f,f,f,
339,5000,2547,f,f,f,
347,18000,4553,f,f,f,
349,2000,2526,f,f,f,
350,120000,2621,f,f,f,
351,40000,2623,f,f,f,
352,3000,1897,f,f,f,
353,5000,3688,f,f,f,
354,20000,2640,f,f,f,
355,20000,2641,f,f,f,
364,5000,4199,f,f,f,
365,10000,383,f,f,f,
372,1000,2757,f,f,f,
374,10000,2759,f,f,f,
376,30000,171,f,f,f,
380,10000,6681,f,f,f,
383,345600000,2816,f,f,f,
389,10000,3014,f,f,f,
390,20000,3014,f,f,f,
391,3000,3020,f,f,f,
392,10000,2767,f,f,f,
393,5000,3038,f,f,f,
394,10000,3041,f,f,f,
397,5000,3063,f,f,f,
398,60000,3027,f,f,f,
400,1000,3107,f,f,f,
401,1000,3108,f,f,f,
403,7000,3110,f,f,f,
404,1000,2438,f,f,f,
405,3500,2395,f,f,f,
406,10000,2399,f,f,f,
407,3500,2394,f,f,f,
408,30000,2255,f,f,f,
409,5000,3114,f,f,f,
410,50000,1908,f,f,f,
411,10000,3132,f,f,f,
412,3000,3115,f,f,f,
415,40000,3143,f,f,f,
418,15000,3177,f,f,f,
420,30000,4212,f,f,f,
421,20000,2402,f,f,f,
424,10000,3202,f,f,f,
425,20000,2235,f,f,f,
426,3000,3239,f,f,f,
427,3000,3241,f,f,f,
430,30000,1398,f,f,f,
431,30000,3010,f,f,f,
433,500,3264,f,f,f,
434,30000,3277,f,f,f,
435,30000,2298,f,f,f,
436,1000,2559,f,f,f,
437,10000,3160,f,f,f,
438,30000,3282,f,f,f,
440,15000,3297,f,f,f,
442,60000,3130,f,f,f,
443,10000,3131,f,f,f,
444,120000,3320,f,f,f,
445,15000,3332,f,f,f,
446,10000,3342,f,f,f,
447,4000,3349,f,f,f,
450,10000,3341,f,f,f,
452,5000,3619,f,f,f,
453,5000,3613,f,f,f,
454,5000,3614,f,f,f,
457,10000,3640,f,f,f,
458,10000,3638,f,f,f,
460,120000,3622,f,f,f,
461,5000,3673,f,f,f,
462,5000,3689,f,f,f,
463,5000,2263,f,f,f,
464,100000,3690,f,f,f,
465,600000,3693,f,f,f,
466,600000,3696,f,f,f,
467,600000,3699,f,f,f,
468,600000,3704,f,f,f,
469,600000,3707,f,f,f,
470,600000,3710,f,f,f,
471,600000,3713,f,f,f,
472,20000,3702,f,f,f,
473,600000,3714,f,f,f,
474,600000,3715,f,f,f,
475,600000,3716,f,f,f,
476,600000,3717,f,f,f,
477,6000000,-1,f,f,f,
478,3000,201,f,f,f,
479,30000,2375,f,f,f,
480,1000,1881,f,f,f,
481,5000,3311,f,f,f,
482,60000,166,f,f,f,
483,2000,2749,f,f,f,
485,120000,3752,f,f,f,
486,1000,3840,f,f,f,
487,90000,3846,f,f,f,
491,170000,217,f,f,f,
492,3000,3921,f,f,f,
493,500,209,f,f,f,
496,1200,260,f,f,f,
497,1400,403,f,f,f,
498,1600,405,f,f,f,
501,15000,3736,f,f,f,
507,10000,3967,f,f,f,
508,120000,3968,f,f,f,
509,5000,3330,f,f,f,
510,30000,3987,f,f,f,
515,5000,182,f,f,f,
517,10000,3766,f,f,f,
518,3500,4018,f,f,f,
519,120000,4019,f,f,f,
520,3500,4016,f,f,f,
521,1000,3329,f,f,f,
522,10000,4022,f,f,f,
524,10000,2550,f,f,f,
525,180000,2335,f,f,f,
526,10000,4037,f,f,f,
527,30000,453,f,f,f,
537,1000,4362,f,f,f,
541,2000,3333,f,f,f,
542,10000,4064,f,f,f,
543,5000,4064,f,f,f,
544,5000,4050,f,f,f,
545,5000,4053,f,f,f,
546,5000,4055,f,f,f,
547,120000,3620,f,f,f,
548,60000,4070,f,f,f,
549,60000,4072,f,f,f,
550,60000,4074,f,f,f,
551,60000,4068,f,f,f,
555,1000,2298,f,f,f,
558,20000,3970,f,f,f,
559,1000,465,f,f,f,
560,1000,453,f,f,f,
561,1000,2622,f,f,f,
562,1000,2488,f,f,f,
563,3000,3941,f,f,f,
564,120000,3136,f,f,f,
565,1000,3919,f,f,f,
569,40000,2029,f,f,f,
570,40000,2042,f,f,f,
571,4000,2030,f,f,f,
572,40000,2031,f,f,f,
575,1000,2483,f,f,f,
577,1000,2284,f,f,f,
587,1000,3868,f,f,f,
588,1000,2483,f,f,f,
589,1000,2239,f,f,f,
590,1000,2483,f,f,f,
591,10000,2265,f,f,f,
593,1000,2275,f,f,f,
594,1000,2275,f,f,f,
595,1000,2275,f,f,f,
598,1000,2453,f,f,f,
600,1000,3202,f,f,f,
601,1000,2267,f,f,f,
603,1000,3332,f,f,f,
604,60000,2551,f,f,f,
605,1000,3017,f,f,f,
606,1000,242,f,f,f,
608,1000,2179,f,f,f,
609,1000,1458,f,f,f,
610,1000,1825,f,f,f,
611,1000,2316,f,f,f,
612,1000,1514,f,f,f,
617,1000,3774,f,f,f,
618,1000,3800,f,f,f,
619,1000,3348,f,f,f,
620,1000,2297,f,f,f,
622,15000,3791,f,f,f,
623,1000,3847,f,f,f,
624,1000,3850,f,f,f,
625,1000,3853,f,f,f,
626,1000,3856,f,f,f,
627,1000,3762,f,f,f,
628,1000,3842,f,f,f,
629,1000,3646,f,f,f,
630,1000,3326,f,f,f,
631,1000,3342,f,f,f,
632,1000,3341,f,f,f,
633,1000,3339,f,f,f,
634,1000,3652,f,f,f,
635,5000,3729,f,f,f,
636,1000,3656,f,f,f,
637,1000,3658,f,f,f,
638,1000,3991,f,f,f,
640,1000,3023,f,f,f,
641,1000,4024,f,f,f,
643,1000,4171,f,f,f,
644,5000,4172,f,f,f,
649,10000,2555,f,f,f,
650,10000,2610,f,f,f,
651,1000,460,f,f,f,
652,1000,1629,f,f,f,
653,3000,392,f,f,f,
657,4000,2282,f,f,f,
658,1000,2289,f,f,f,
659,1000,2306,f,f,f,
660,1000,2308,f,f,f,
661,1000,3322,f,f,f,
662,1000,3733,f,f,f,
663,1000,3735,f,f,f,
664,1000,1193,f,f,f,
665,1000,3023,f,f,f,
666,1000,2433,f,f,f,
667,1000,2436,f,f,f,
668,1000,2602,f,f,f,
669,1000,2602,f,f,f,
670,1000,2034,f,f,f,
671,1000,2034,f,f,f,
672,1000,2385,f,f,f,
673,1000,4199,f,f,f,
674,1000,307,f,f,f,
675,1000,4202,f,f,f,
676,1000,4203,f,f,f,
677,1000,4204,f,f,f,
678,1000,4205,f,f,f,
679,1000,4206,f,f,f,
680,1000,4207,f,f,f,
681,1000,4208,f,f,f,
682,1000,4209,f,f,f,
683,1000,4210,f,f,f,
684,1000,4211,f,f,f,
685,1000,4212,f,f,f,
686,1000,4213,f,f,f,
687,1000,1831,f,f,f,
688,1000,4216,f,f,f,
689,1000,1725,f,f,f,
690,1000,1727,f,f,f,
691,1000,1729,f,f,f,
692,1000,1731,f,f,f,
693,1000,4221,f,f,f,
694,1000,4222,f,f,f,
695,1000,4223,f,f,f,
696,1000,4224,f,f,f,
697,1000,4225,f,f,f,
698,1000,4226,f,f,f,
699,1000,4227,f,f,f,
700,1000,4228,f,f,f,
701,1000,4229,f,f,f,
702,1000,4230,f,f,f,
703,1000,4231,f,f,f,
704,1000,4232,f,f,f,
705,1000,4233,f,f,f,
706,1000,4234,f,f,f,
707,1000,4235,f,f,f,
708,1000,4239,f,f,f,
709,40000,465,f,f,f,
710,1000,2559,f,f,f,
711,1000,2331,f,f,f,
712,1000,4121,f,f,f,
713,1000,453,f,f,f,
714,1000,164,f,f,f,
716,1000,4248,f,f,f,
717,1000,4250,f,f,f,
719,180000,4253,f,f,f,
720,3000,4255,f,f,f,
721,1000,4258,f,f,f,
722,1000,4259,f,f,f,
723,1000,4260,f,f,f,
726,180000,3601,f,f,f,
727,1000,4264,f,f,f,
728,1000,4265,f,f,f,
729,1000,4266,f,f,f,
730,1000,4267,f,f,f,
731,1000,4267,f,f,f,
740,500,4257,f,f,f,
741,1000,4281,f,f,f,
742,1000,4280,f,f,f,
743,1000,1390,f,f,f,
746,3000,3969,f,f,f,
748,1000,4262,f,f,f,
749,2000,4285,f,f,f,
750,1000,4288,f,f,f,
751,1000,4289,f,f,f,
752,1000,4290,f,f,f,
753,1000,4291,f,f,f,
754,1000,4292,f,f,f,
755,1000,4293,f,f,f,
756,1000,4294,f,f,f,
757,1000,4295,f,f,f,
758,1000,4296,f,f,f,
759,1000,4286,f,f,f,
762,500,3043,f,f,f,
763,6200,4338,f,f,f,
764,2100,4338,f,f,f,
765,5100,4338,f,f,f,
766,500,4334,f,f,f,
768,2000,4286,f,f,f,
769,1000,880,f,f,f,
770,1000,1170,f,f,f,
771,1000,965,f,f,f,
772,6000,177,f,f,f,
774,1000,3983,f,f,f,
775,2000,1265,f,f,f,
776,1000,4346,f,f,f,
777,1000,1299,f,f,f,
779,1000,1191,f,f,f,
780,1000,1358,f,f,f,
781,1000,1356,f,f,f,
783,1000,4349,f,f,f,
784,1000,4349,f,f,f,
785,5000,4358,f,f,f,
786,5000,4358,f,f,f,
787,5000,4358,f,f,f,
788,1000,4360,f,f,f,
789,1000,1126,f,f,f,
791,1000,2023,f,f,f,
792,1000,177,f,f,f,
793,10000,1151,f,f,f,
794,1000,4553,f,f,f,
795,1000,1267,f,f,f,
796,1000,468,f,f,f,
797,1000,3272,f,f,f,
798,1000,4581,f,f,f,
799,1000,4581,f,f,f,
800,1000,4582,f,f,f,
803,10000,4587,f,f,f,
804,1000,4588,f,f,f,
805,1000,4592,f,f,f,
806,10000,4591,f,f,f,
807,1000,4596,f,f,f,
808,30000,4595,f,f,f,
809,1000,4616,f,f,f,
810,30000,4622,f,f,f,
811,20000,4619,f,f,f,
812,1000,4614,f,f,f,
813,1000,4612,f,f,f,
814,1000,4610,f,f,f,
815,1000,4606,f,f,f,
816,1000,4604,f,f,f,
817,1000,4602,f,f,f,
818,8000,4629,f,f,f,
819,8000,4632,f,f,f,
820,5000,4580,f,f,f,
821,3000,4641,f,f,f,
822,30000,4651,f,f,f,
823,30000,4654,f,f,f,
824,30000,4656,f,f,f,
825,60000,4644,f,f,f,
826,1000,4668,f,f,f,
832,1000,4702,f,f,f,
833,60000,4623,f,f,f,
834,60000,4624,f,f,f,
835,500,4723,f,f,f,
836,120000,4720,f,f,f,
837,1000,2358,f,f,f,
838,1000,2357,f,f,f,
839,1000,2354,f,f,f,
840,10000,4733,f,f,f,
841,500,3224,f,f,f,
842,500,3225,f,f,f,
843,500,3226,f,f,f,
844,500,3227,f,f,f,
845,500,3228,f,f,f,
846,500,3229,f,f,f,
847,500,3230,f,f,f,
848,500,3231,f,f,f,
849,500,4744,f,f,f,
850,500,4746,f,f,f,
851,500,4748,f,f,f,
852,500,4750,f,f,f,
853,500,4752,f,f,f,
854,500,4754,f,f,f,
855,500,4756,f,f,f,
856,500,4758,f,f,f,
857,500,4760,f,f,f,
858,500,4762,f,f,f,
859,500,4764,f,f,f,
860,500,4766,f,f,f,
861,500,4768,f,f,f,
862,500,4770,f,f,f,
863,500,4772,f,f,f,
864,500,4774,f,f,f,
865,500,4777,f,f,f,
866,1000,4689,f,f,f,
867,1000,4780,f,f,f,
872,1000,4794,f,f,f,
873,1000,2246,f,f,f,
874,1000,2242,f,f,f,
876,1000,4805,f,f,f,
877,1000,2240,f,f,f,
878,1000,4815,f,f,f,
879,120000,4781,f,f,f,
881,1633,4840,f,f,f,
882,20000,4841,f,f,f,
883,1666,4838,f,f,f,
884,259200000,935,f,f,f,
887,1000,4850,f,f,f,
888,1666,4850,f,f,f,
890,1000,4865,f,f,f,
891,24000,4869,f,f,f,
893,60000,4871,f,f,f,
894,1000,4876,f,f,f,
895,1000,4734,f,f,f,
898,10000,4880,f,f,f,
899,300000,4906,f,f,f,
900,1000,1392,f,f,f,
903,10000,1394,f,f,f,
904,5000,1412,f,f,f,
905,5000,1475,f,f,f,
906,1000,1457,f,f,f,
907,30000,4988,f,f,f,
908,30000,4989,f,f,f,
909,60000,4707,f,f,f,
910,60000,4708,f,f,f,
911,1000,1457,f,f,f,
913,500,6312,f,f,f,
914,1000,4998,f,f,f,
918,500,6303,f,f,f,
919,500,6314,f,f,f,
920,500,6310,f,f,f,
921,1000,1439,f,f,f,
922,60000,4636,f,f,f,
923,60000,4637,f,f,f,
924,60000,4634,f,f,f,
925,60000,4635,f,f,f,
926,60000,4710,f,f,f,
928,60000,4709,f,f,f,
930,60000,4944,f,f,f,
931,60000,4943,f,f,f,
932,60000,4962,f,f,f,
933,60000,4961,f,f,f,
934,60000,4706,f,f,f,
935,60000,4705,f,f,f,
936,60000,4946,f,f,f,
937,60000,4945,f,f,f,
938,60000,4948,f,f,f,
939,60000,4947,f,f,f,
940,60000,4950,f,f,f,
941,60000,4949,f,f,f,
942,60000,4952,f,f,f,
943,60000,4951,f,f,f,
944,60000,4954,f,f,f,
945,60000,4953,f,f,f,
946,60000,4956,f,f,f,
947,60000,4955,f,f,f,
948,60000,4958,f,f,f,
949,60000,4957,f,f,f,
950,60000,4960,f,f,f,
951,60000,4959,f,f,f,
952,60000,4968,f,f,f,
953,60000,4967,f,f,f,
954,60000,4970,f,f,f,
955,60000,4969,f,f,f,
956,60000,4972,f,f,f,
957,60000,4971,f,f,f,
958,60000,4974,f,f,f,
959,60000,4973,f,f,f,
960,60000,4964,f,f,f,
961,60000,4963,f,f,f,
962,60000,4966,f,f,f,
963,60000,4965,f,f,f,
964,60000,4927,f,f,f,
965,60000,4926,f,f,f,
966,60000,4929,f,f,f,
967,60000,4928,f,f,f,
968,60000,4934,f,f,f,
969,60000,4933,f,f,f,
970,60000,4936,f,f,f,
971,60000,4935,f,f,f,
972,60000,4938,f,f,f,
973,60000,4937,f,f,f,
974,60000,4942,f,f,f,
975,60000,4941,f,f,f,
976,60000,4601,f,f,f,
977,60000,4600,f,f,f,
978,1000,5087,f,f,f,
979,1000,1476,f,f,f,
980,30000,5092,f,f,f,
982,1000,5096,f,f,f,
983,1000,5102,f,f,f,
984,4000,5102,f,f,f,
986,1000,5110,f,f,f,
987,1000,5107,f,f,f,
988,20000,5113,f,f,f,
989,1000,5118,f,f,f,
990,1000,5115,f,f,f,
991,500,5121,f,f,f,
992,1000,2231,f,f,f,
994,20000,5125,f,f,f,
995,50000,5127,f,f,f,
998,1000,5131,f,f,f,
999,2500,5131,f,f,f,
1000,30000,5134,f,f,f,
1001,30000,5136,f,f,f,
1002,30000,5138,f,f,f,
1003,30000,5140,f,f,f,
1004,5000,4622,f,f,f,
1007,1000,7130,f,f,f,
1008,1000,2592,f,f,f,
1009,10000,3073,f,f,f,
1012,1000,5189,f,f,f,
1013,1000,5185,f,f,f,
1014,1000,5196,f,f,f,
1015,1000,5194,f,f,f,
1016,1000,5004,f,f,f,
1017,1000,5181,f,f,f,
1018,20000,2757,f,f,f,
1019,1000,5217,f,f,f,
1020,1000,5227,f,f,f,
1021,1000,4800,f,f,f,
1024,1000,5173,f,f,f,
1027,40000,5252,f,f,f,
1028,40000,5248,f,f,f,
1029,60000,5255,f,f,f,
1030,60000,5256,f,f,f,
1031,60000,5259,f,f,f,
1032,60000,5260,f,f,f,
1033,10000,5277,f,f,f,
1034,2000,5279,f,f,f,
1035,6000,5279,f,f,f,
1036,10000,5290,f,f,f,
1037,5000,4815,f,f,f,
1038,4000,5122,f,f,f,
1039,3000,5312,f,f,f,
1042,2000,1263,f,f,f,
1043,30000,5325,f,f,f,
1044,1000,5323,f,f,f,
1045,10000,2655,f,f,f,
1046,4000,5346,f,f,f,
1048,2000,3065,f,f,f,
1049,1000,3067,f,f,f,
1051,4800,5371,f,f,f,
1052,4800,5369,f,f,f,
1053,5000,5391,f,f,f,
1054,30000,5395,f,f,f,
1055,7000,3076,f,f,f,
1057,3000,5403,f,f,f,
1060,10000,4976,f,f,f,
1062,1000,5421,f,f,f,
1065,30000,5427,f,f,f,
1066,30000,5429,f,f,f,
1067,30000,5431,f,f,f,
1068,90000,5435,f,f,f,
1069,6000,5441,f,f,f,
1070,30000,5431,f,f,f,
1072,10000,5271,f,f,f,
1073,1000,5102,f,f,f,
1074,4000,5102,f,f,f,
1075,30000,5451,f,f,f,
1076,180000000,10095,f,f,f,
1078,10000,1324,f,f,f,
1079,1000,5472,f,f,f,
1080,15000,1322,f,f,f,
1081,20000,5492,f,f,f,
1082,1000,5494,f,f,f,
1083,1000,5497,f,f,f,
1086,50000,5509,f,f,f,
1087,120000,5519,f,f,f,
1088,10000,5521,f,f,f,
1089,10000,5520,f,f,f,
1090,3000,5532,f,f,f,
1091,5000,5537,f,f,f,
1092,10000,5538,f,f,f,
1094,25000,5539,f,f,f,
1095,1000,-1,f,f,f,
1097,1000,5537,f,f,f,
1098,3600000,5570,f,f,f,
1099,0,5563,f,f,f,
1100,1000,3033,f,f,f,
1101,1000,3029,f,f,f,
1102,1000,4724,f,f,f,
1103,2000,2543,f,f,f,
1104,1000,4699,f,f,f,
1105,1000,4678,f,f,f,
1106,1000,5207,f,f,f,
1107,1000,5210,f,f,f,
1108,1000,5213,f,f,f,
1109,1000,5292,f,f,f,
1110,1000,5295,f,f,f,
1111,1000,5578,f,f,f,
1112,1000,5583,f,f,f,
1113,1000,5581,f,f,f,
1114,1800000,5584,f,f,f,
1115,1000,2401,f,f,f,
1116,1000,5462,f,f,f,
1117,1000,2511,f,f,f,
1118,1000,5465,f,f,f,
1119,1000,3203,f,f,f,
1120,1000,4821,f,f,f,
1121,1000,4829,f,f,f,
1122,1000,4832,f,f,f,
1123,1000,4835,f,f,f,
1124,10000,5595,f,f,f,
1127,60000,5605,f,f,f,
1128,60000,5606,f,f,f,
1134,5000,5610,f,f,f,
1135,5000,5610,f,f,f,
1136,1000,5619,f,f,f,
1138,30000,5622,f,f,f,
1139,1000,5629,f,f,f,
1140,1800000,5630,f,f,f,
1141,1000,5626,f,f,f,
1142,30000,5613,f,f,f,
1143,30000,5614,f,f,f,
1149,1000,5641,f,f,f,
1150,3000,5643,f,f,f,
1151,1000,5263,f,f,f,
1156,31000,5647,f,f,f,
1157,31000,5651,f,f,f,
1159,300000,2147,f,f,f,
1160,180000,2131,f,f,f,
1161,180000,2133,f,f,f,
1162,300000,2135,f,f,f,
1164,1000,5654,f,f,f,
1165,10000,5654,f,f,f,
1166,600000,5657,f,f,f,
1167,600000,5658,f,f,f,
1168,600000,5659,f,f,f,
1169,600000,5660,f,f,f,
1170,600000,5661,f,f,f,
1171,600000,5657,f,f,f,
1172,30000,5683,f,f,f,
1173,1000,5684,f,f,f,
1174,120000,4713,f,f,f,
1178,1000,5284,f,f,f,
1179,10000,5691,f,f,f,
1181,120000,5698,f,f,f,
1182,60000,5706,f,f,f,
1183,6500,5722,f,f,f,
1184,6500,5693,f,f,f,
1185,6500,5694,f,f,f,
1186,6500,5695,f,f,f,
1187,6500,5696,f,f,f,
1188,6500,5697,f,f,f,
1189,6500,5729,f,f,f,
1190,6500,5713,f,f,f,
1191,6500,5714,f,f,f,
1192,6500,5715,f,f,f,
1193,6500,5716,f,f,f,
1194,6500,5717,f,f,f,
1195,6500,5718,f,f,f,
1196,6500,5719,f,f,f,
1197,6500,5720,f,f,f,
1198,1000,5745,f,f,f,
1199,10000,5745,f,f,f,
1200,10000,5745,f,f,f,
1201,1000,5752,f,f,f,
1203,1000,5763,f,f,f,
1205,70000,5641,f,f,f,
1206,5000,5299,f,f,f,
1207,1000,5706,f,f,f,
1208,1000,5723,f,f,f,
1209,10000,5769,f,f,f,
1210,5000,5706,f,f,f,
1211,30000,5772,f,f,f,
1212,5000,2287,f,f,f,
1213,5000,5775,f,f,f,
1214,300000,5779,f,f,f,
1220,24696000,5782,f,f,f,
1240,5000,3963,f,f,f,
1242,1800000,5745,f,f,f,
1243,2000,5903,f,f,f,
1244,1000,5900,f,f,f,
1245,1000,2556,f,f,f,
1248,120000,5937,f,f,f,
1249,8000,5940,f,f,f,
1250,1000,5776,f,f,f,
1251,300000,5946,f,f,f,
1252,30000,5949,f,f,f,
1253,30000,5947,f,f,f,
1254,30000,5951,f,f,f,
1255,30000,5953,f,f,f,
1256,30000,5955,f,f,f,
1257,30000,5957,f,f,f,
1258,30000,5959,f,f,f,
1259,30000,5961,f,f,f,
1260,30000,5963,f,f,f,
1261,30000,5965,f,f,f,
1262,30000,5967,f,f,f,
1263,3000,5969,f,f,f,
1265,20000,5981,f,f,f,
1266,1000,5971,f,f,f,
1267,1000,5971,f,f,f,
1268,1000,3031,f,f,f,
1269,5000,3031,f,f,f,
1270,10000,5830,f,f,f,
1271,1000,5995,f,f,f,
1272,1000,3075,f,f,f,
1273,30000,6004,f,f,f,
1274,30000,5995,f,f,f,
1275,1000,6052,f,f,f,
1276,1000,6053,f,f,f,
1277,1000,6054,f,f,f,
1278,5000,5994,f,f,f,
1279,2000,6051,f,f,f,
1280,5000,6042,f,f,f,
1281,2000,6059,f,f,f,
1282,1000,6060,f,f,f,
1283,1000,6061,f,f,f,
1284,1000,6062,f,f,f,
1285,20000,6055,f,f,f,
1286,2000,6065,f,f,f,
1287,1000,6066,f,f,f,
1288,1000,6067,f,f,f,
1289,1000,6068,f,f,f,
1290,5000,6043,f,f,f,
1291,1000,3078,f,f,f,
1292,172800000,4527,f,t,f,소멸 예정: 
1295,175200000,10100,f,f,f,
1296,172800000,4523,f,t,f,소멸 예정: 
1297,180000000,10104,f,f,f,
1298,172800000,4515,f,t,f,소멸 예정: 
1299,201600000,10127,f,f,f,
1300,172800000,4499,f,t,f,소멸 예정: 
1301,187200000,10113,f,f,f,
1302,172800000,4503,f,t,f,소멸 예정: 
1303,201600000,10131,f,f,f,
1304,172800000,4511,f,t,f,소멸 예정: 
1305,201600000,10122,f,f,f,
1306,172800000,4519,f,t,f,소멸 예정: 
