id,owner_id,owner_type,attach_point_id,doodad_id
249,204,Housing,57,2392
250,204,Housing,36,4566
251,204,Housing,38,4568
252,204,Housing,37,4568
253,204,Housing,41,4566
254,204,Housing,42,4567
255,205,Housing,57,2392
256,205,Housing,36,4561
257,205,Housing,37,4565
258,205,Housing,38,4565
259,205,Housing,41,4561
260,205,Housing,42,4564
261,206,Housing,57,2392
262,206,Housing,36,4566
263,206,Housing,37,4568
264,206,Housing,38,4568
265,206,Housing,41,4566
266,206,Housing,42,4567
267,207,Housing,57,2392
268,207,Housing,36,4278
269,207,Housing,37,4322
270,207,Housing,38,4322
271,207,Housing,41,4278
272,207,Housing,42,4321
273,208,Housing,57,2392
274,208,Housing,36,4566
275,208,Housing,37,4568
276,208,Housing,38,4568
277,208,Housing,41,4566
278,208,Housing,42,4567
279,209,Housing,57,2392
280,209,Housing,36,4278
281,209,Housing,37,4322
282,209,Housing,38,4322
283,209,Housing,41,4278
284,209,Housing,42,4321
285,210,Housing,57,2392
286,210,Housing,36,4561
287,210,Housing,37,4565
288,210,Housing,38,4565
289,210,Housing,41,4561
290,210,Housing,42,4564
291,211,Housing,57,2392
292,211,Housing,36,4278
293,211,Housing,37,4322
294,211,Housing,38,4322
295,211,Housing,39,4322
296,211,Housing,40,4322
297,212,Housing,57,2392
298,212,Housing,36,4561
299,212,Housing,37,4565
300,212,Housing,38,4565
301,212,Housing,39,4565
302,212,Housing,40,4565
303,213,Housing,57,2392
304,213,Housing,36,4566
305,213,Housing,37,4568
306,213,Housing,38,4568
307,213,Housing,39,4568
308,213,Housing,40,4568
309,214,Housing,57,2392
310,214,Housing,36,4561
311,214,Housing,37,4565
312,214,Housing,38,4565
313,214,Housing,39,4565
314,214,Housing,40,4565
315,215,Housing,57,2392
316,215,Housing,36,4278
317,215,Housing,37,4322
318,215,Housing,38,4322
319,215,Housing,39,4322
320,215,Housing,40,4322
321,216,Housing,57,2392
322,216,Housing,36,4566
323,216,Housing,37,4568
324,216,Housing,38,4568
325,216,Housing,39,4568
326,216,Housing,40,4568
327,217,Housing,57,2392
328,217,Housing,36,4566
329,217,Housing,37,4568
330,217,Housing,38,4568
331,217,Housing,39,4568
332,217,Housing,40,4568
333,218,Housing,57,2392
334,218,Housing,36,4278
335,218,Housing,37,4322
336,218,Housing,38,4322
337,218,Housing,39,4322
338,218,Housing,40,4322
339,219,Housing,57,2392
340,219,Housing,36,4561
341,219,Housing,37,4565
342,219,Housing,38,4565
343,219,Housing,39,4565
344,219,Housing,40,4565
345,220,Housing,57,2392
346,220,Housing,36,4278
347,220,Housing,37,4322
348,220,Housing,38,4322
349,221,Housing,57,2392
350,221,Housing,36,4566
351,221,Housing,37,4568
352,221,Housing,38,4568
354,222,Housing,36,4561
355,222,Housing,37,4565
356,222,Housing,38,4565
357,223,Housing,57,2392
358,223,Housing,36,4561
359,223,Housing,37,4565
360,223,Housing,38,4565
361,224,Housing,57,2392
362,224,Housing,36,4566
363,224,Housing,37,4568
364,224,Housing,38,4568
365,225,Housing,57,2392
366,225,Housing,36,4278
367,225,Housing,37,4322
368,225,Housing,38,4322
369,226,Housing,57,2392
370,226,Housing,36,4566
371,226,Housing,37,4568
372,226,Housing,38,4568
373,227,Housing,57,2392
374,227,Housing,36,4561
375,227,Housing,37,4565
376,227,Housing,38,4565
377,228,Housing,57,2392
378,228,Housing,36,4278
379,228,Housing,37,4322
380,228,Housing,38,4322
382,229,Housing,36,4278
383,229,Housing,37,4321
384,229,Housing,38,4322
385,229,Housing,39,4322
387,230,Housing,36,4566
388,230,Housing,37,4567
389,230,Housing,38,4568
390,230,Housing,39,4568
391,231,Housing,57,2392
392,231,Housing,36,4561
393,231,Housing,37,4564
394,231,Housing,38,4565
395,231,Housing,39,4565
396,232,Housing,57,2392
397,232,Housing,36,4561
398,232,Housing,37,4564
399,232,Housing,38,4565
400,232,Housing,39,4565
401,233,Housing,57,2392
402,233,Housing,36,4566
403,233,Housing,37,4567
404,233,Housing,38,4568
405,233,Housing,39,4568
406,234,Housing,57,2392
407,234,Housing,36,4278
408,234,Housing,37,4321
409,234,Housing,38,4322
410,234,Housing,39,4322
411,235,Housing,57,2392
412,235,Housing,36,4566
413,235,Housing,37,4567
414,235,Housing,38,4568
415,235,Housing,39,4568
416,236,Housing,57,2392
417,236,Housing,36,4561
418,236,Housing,37,4564
419,236,Housing,38,4565
420,236,Housing,39,4565
421,237,Housing,57,2392
422,237,Housing,36,4278
423,237,Housing,37,4321
424,237,Housing,38,4322
425,237,Housing,39,4322
426,238,Housing,57,2392
427,238,Housing,36,4278
428,238,Housing,37,4321
429,238,Housing,38,4322
430,238,Housing,39,4322
431,239,Housing,57,2392
432,239,Housing,36,4561
433,239,Housing,37,4564
434,239,Housing,38,4565
435,239,Housing,39,4565
436,240,Housing,57,2392
437,240,Housing,36,4566
438,240,Housing,37,4567
439,240,Housing,38,4568
440,240,Housing,39,4568
441,241,Housing,57,2392
442,241,Housing,36,4561
443,241,Housing,37,4564
444,241,Housing,38,4565
445,241,Housing,39,4565
446,242,Housing,57,2392
447,242,Housing,36,4566
448,242,Housing,37,4567
449,242,Housing,38,4568
450,242,Housing,39,4568
451,243,Housing,57,2392
452,243,Housing,36,4278
453,243,Housing,37,4321
454,243,Housing,38,4322
455,243,Housing,39,4322
456,244,Housing,57,2392
457,244,Housing,36,4566
458,244,Housing,37,4567
459,244,Housing,38,4568
460,244,Housing,39,4568
461,245,Housing,57,2392
462,245,Housing,36,4278
463,245,Housing,37,4321
464,245,Housing,38,4322
465,245,Housing,39,4322
466,246,Housing,57,2392
467,246,Housing,36,4561
468,246,Housing,37,4564
469,246,Housing,38,4565
470,246,Housing,39,4565
471,247,Housing,57,2392
472,247,Housing,36,4278
473,247,Housing,37,4322
474,247,Housing,38,4322
475,247,Housing,39,4322
476,247,Housing,40,4322
477,247,Housing,41,4322
478,247,Housing,42,4322
479,247,Housing,43,4322
480,247,Housing,44,4322
481,248,Housing,57,2392
482,248,Housing,36,4278
483,248,Housing,37,4322
484,248,Housing,39,4322
485,248,Housing,38,4322
486,248,Housing,40,4322
487,248,Housing,41,4322
488,248,Housing,42,4322
489,248,Housing,43,4322
490,248,Housing,44,4322
491,249,Housing,57,2392
492,249,Housing,36,4561
493,249,Housing,37,4565
494,249,Housing,38,4565
495,249,Housing,39,4565
496,249,Housing,40,4565
497,249,Housing,41,4565
498,249,Housing,42,4565
499,249,Housing,43,4565
500,249,Housing,44,4565
501,250,Housing,57,2392
502,250,Housing,36,4561
503,250,Housing,37,4565
504,250,Housing,38,4565
505,250,Housing,39,4565
506,250,Housing,40,4565
507,250,Housing,41,4565
508,250,Housing,42,4565
509,250,Housing,43,4565
510,250,Housing,44,4565
511,251,Housing,57,2392
512,251,Housing,36,4566
513,251,Housing,37,4568
514,251,Housing,38,4568
515,251,Housing,39,4568
516,251,Housing,40,4568
517,251,Housing,41,4568
518,251,Housing,42,4568
519,251,Housing,43,4568
520,251,Housing,44,4568
521,252,Housing,57,2392
522,252,Housing,36,4566
523,252,Housing,37,4568
524,252,Housing,38,4568
525,252,Housing,39,4568
526,252,Housing,40,4568
527,252,Housing,41,4568
528,252,Housing,42,4568
529,252,Housing,43,4568
530,252,Housing,44,4568
531,253,Housing,57,2392
532,253,Housing,36,4278
533,253,Housing,37,4322
534,253,Housing,38,4322
535,253,Housing,39,4322
536,253,Housing,40,4322
537,253,Housing,41,4278
538,253,Housing,42,4321
539,253,Housing,43,4322
540,253,Housing,44,4322
541,254,Housing,57,2392
542,254,Housing,36,4561
543,254,Housing,37,4565
544,254,Housing,38,4565
545,254,Housing,39,4565
546,254,Housing,40,4565
547,254,Housing,41,4561
548,254,Housing,42,4564
549,254,Housing,43,4565
550,254,Housing,44,4565
551,255,Housing,57,2392
552,255,Housing,36,4566
553,255,Housing,37,4568
554,255,Housing,38,4568
555,255,Housing,39,4568
556,255,Housing,40,4568
557,255,Housing,41,4566
558,255,Housing,42,4567
559,255,Housing,43,4568
560,255,Housing,44,4568
561,256,Housing,57,2392
562,256,Housing,36,4561
563,256,Housing,37,4565
564,256,Housing,38,4565
565,256,Housing,39,4565
566,256,Housing,40,4565
567,256,Housing,41,4561
568,256,Housing,42,4564
569,256,Housing,43,4565
570,256,Housing,44,4565
571,257,Housing,57,2392
572,257,Housing,36,4561
573,257,Housing,37,4565
574,257,Housing,38,4565
575,257,Housing,39,4565
576,257,Housing,40,4565
577,257,Housing,41,4561
578,257,Housing,42,4564
579,257,Housing,43,4565
580,257,Housing,44,4565
581,258,Housing,57,2392
582,258,Housing,36,4566
583,258,Housing,37,4568
584,258,Housing,38,4568
585,258,Housing,39,4568
586,258,Housing,40,4568
587,258,Housing,41,4566
588,258,Housing,42,4567
589,258,Housing,43,4568
590,258,Housing,44,4568
591,259,Housing,57,2392
592,259,Housing,36,4566
593,259,Housing,37,4568
594,259,Housing,39,4568
595,259,Housing,38,4568
596,259,Housing,40,4568
597,259,Housing,41,4566
598,259,Housing,42,4567
599,259,Housing,43,4568
600,259,Housing,44,4568
601,260,Housing,57,2392
602,260,Housing,36,4278
603,260,Housing,37,4322
604,260,Housing,38,4322
605,260,Housing,39,4322
606,260,Housing,40,4322
607,260,Housing,41,4278
608,260,Housing,42,4321
609,260,Housing,43,4322
610,260,Housing,44,4322
611,261,Housing,57,2392
612,261,Housing,36,4278
613,261,Housing,37,4322
614,261,Housing,38,4322
615,261,Housing,39,4322
616,261,Housing,40,4322
617,261,Housing,41,4278
618,261,Housing,42,4321
619,261,Housing,43,4322
620,261,Housing,44,4322
621,262,Housing,57,2392
622,262,Housing,36,4561
623,262,Housing,37,4565
624,262,Housing,38,4565
625,262,Housing,39,4565
626,262,Housing,40,4565
627,262,Housing,41,4561
628,262,Housing,42,4564
629,262,Housing,43,4565
630,262,Housing,44,4565
631,263,Housing,57,2392
632,263,Housing,36,4561
633,263,Housing,37,4565
634,263,Housing,38,4565
635,263,Housing,39,4565
636,263,Housing,40,4565
637,263,Housing,41,4561
638,263,Housing,42,4564
639,263,Housing,43,4565
640,263,Housing,44,4565
641,264,Housing,57,2392
642,264,Housing,36,4566
643,264,Housing,37,4568
644,264,Housing,38,4568
645,264,Housing,39,4568
646,264,Housing,40,4568
647,264,Housing,41,4566
648,264,Housing,42,4567
649,264,Housing,43,4568
650,264,Housing,44,4568
651,265,Housing,57,2392
652,265,Housing,36,4566
653,265,Housing,37,4568
654,265,Housing,38,4568
655,265,Housing,39,4568
656,265,Housing,40,4568
657,265,Housing,41,4566
658,265,Housing,42,4567
659,265,Housing,43,4568
660,265,Housing,44,4568
661,229,Housing,57,2392
662,222,Housing,57,2392
663,230,Housing,57,2392
664,171,Housing,36,4278
665,171,Housing,38,4322
666,171,Housing,37,4322
667,92,Housing,1,560
668,92,Housing,57,2392
671,171,Housing,1,4922
672,172,Housing,1,4922
673,173,Housing,1,4922
674,174,Housing,1,4922
675,175,Housing,1,4922
676,176,Housing,1,4922
677,177,Housing,1,4922
678,178,Housing,1,4922
679,179,Housing,1,4922
680,180,Housing,1,4922
681,181,Housing,1,4916
682,182,Housing,1,4918
683,183,Housing,1,4919
684,193,Housing,1,4925
685,194,Housing,1,4925
686,195,Housing,1,4925
687,196,Housing,1,4925
688,197,Housing,1,4925
689,198,Housing,1,4925
690,199,Housing,1,4925
691,200,Housing,1,4925
692,201,Housing,1,4925
693,202,Housing,1,4925
694,203,Housing,1,4925
695,204,Housing,1,4925
696,205,Housing,1,4925
697,206,Housing,1,4925
698,207,Housing,1,4925
699,208,Housing,1,4925
700,209,Housing,1,4925
701,210,Housing,1,4925
702,211,Housing,1,4921
703,212,Housing,1,4921
704,213,Housing,1,4921
705,214,Housing,1,4921
706,215,Housing,1,4921
707,216,Housing,1,4921
708,217,Housing,1,4921
709,218,Housing,1,4921
710,219,Housing,1,4921
711,220,Housing,1,4921
712,221,Housing,1,4921
713,222,Housing,1,4921
714,223,Housing,1,4921
715,224,Housing,1,4921
716,225,Housing,1,4921
717,226,Housing,1,4921
718,227,Housing,1,4921
719,228,Housing,1,4921
720,229,Housing,1,4921
721,230,Housing,1,4921
722,231,Housing,1,4921
723,232,Housing,1,4921
724,233,Housing,1,4921
725,234,Housing,1,4921
726,235,Housing,1,4921
727,236,Housing,1,4921
728,237,Housing,1,4921
729,238,Housing,1,4921
730,239,Housing,1,4921
731,240,Housing,1,4921
732,241,Housing,1,4921
733,242,Housing,1,4921
734,243,Housing,1,4921
735,244,Housing,1,4921
736,245,Housing,1,4921
737,246,Housing,1,4921
738,247,Housing,1,4920
739,248,Housing,1,4920
740,249,Housing,1,4920
741,250,Housing,1,4920
742,251,Housing,1,4920
743,252,Housing,1,4920
744,253,Housing,1,4920
745,254,Housing,1,4920
746,255,Housing,1,4920
747,256,Housing,1,4920
748,257,Housing,1,4920
749,258,Housing,1,4920
750,259,Housing,1,4920
751,260,Housing,1,4920
752,261,Housing,1,4920
753,262,Housing,1,4920
754,263,Housing,1,4920
755,264,Housing,1,4920
756,265,Housing,1,4920
757,171,Housing,9,5539
766,136,Housing,1,5716
767,137,Housing,1,5716
768,138,Housing,1,5716
769,89,Housing,57,5767
770,270,Housing,57,2392
771,270,Housing,36,4859
772,270,Housing,37,4860
773,270,Housing,38,4860
774,270,Housing,1,4922
775,155,Housing,36,4859
776,155,Housing,37,4860
777,155,Housing,38,4860
778,155,Housing,24,315
780,172,Housing,24,6885
781,181,Housing,24,6885
782,173,Housing,24,6885
783,174,Housing,24,6885
784,175,Housing,24,6885
785,176,Housing,24,6885
786,177,Housing,24,6885
787,178,Housing,24,6885
788,179,Housing,24,6885
789,180,Housing,24,6885
790,270,Housing,25,6991
792,273,Housing,57,7308
793,270,Housing,24,6115
794,273,Housing,11,7262
795,273,Housing,12,7262
796,273,Housing,13,7264
797,273,Housing,14,7262
798,273,Housing,15,7251
799,273,Housing,10,7305
800,273,Housing,9,7263
801,273,Housing,17,320
802,275,Housing,57,7340
803,276,Housing,57,7341
804,277,Housing,57,7342
