id,fx_group_id,fx_item_id
267,81,304
268,281,348
269,282,350
270,283,351
271,284,352
272,285,353
273,273,354
274,273,355
275,287,357
276,287,288
277,288,361
278,288,362
279,289,360
280,291,358
281,290,359
282,63,105
283,251,304
284,280,347
285,141,339
286,277,338
287,277,340
288,55,29
289,294,367
290,296,369
291,297,370
292,298,371
293,300,373
294,264,317
295,264,326
296,302,375
297,219,271
298,219,378
299,304,379
301,307,384
302,308,385
303,309,386
304,311,388
305,312,389
306,313,390
307,313,391
309,316,395
310,317,396
311,318,398
312,318,397
314,319,400
315,323,406
316,320,401
317,321,402
318,321,403
319,322,405
320,322,404
321,324,408
322,324,407
323,324,409
324,325,410
325,325,411
326,326,412
327,326,413
328,329,417
329,330,418
331,331,420
332,331,421
333,332,422
334,332,423
335,333,424
336,334,425
337,334,426
338,335,427
339,336,428
340,337,429
341,338,430
342,339,431
343,340,432
344,341,433
345,342,434
346,343,435
347,346,439
348,345,438
349,347,441
350,348,442
351,349,443
352,350,444
353,351,447
354,351,445
355,351,446
356,352,448
357,353,449
358,354,450
359,355,451
360,355,452
361,355,453
362,357,456
363,359,458
364,360,459
365,361,460
366,362,461
367,364,455
368,226,284
369,365,462
370,310,387
371,310,466
372,370,469
373,371,470
374,372,471
375,373,472
376,374,473
377,247,338
378,247,340
379,376,474
380,377,475
381,124,139
382,124,80
383,106,142
384,106,158
385,106,80
386,303,376
387,303,244
388,199,243
389,199,80
390,230,290
391,305,105
393,382,485
394,383,486
395,386,488
396,379,482
397,379,272
398,138,329
399,387,492
400,388,491
401,388,490
402,389,493
403,389,494
404,380,483
405,384,271
406,384,272
407,392,500
408,392,501
409,392,502
410,396,508
411,399,511
412,399,512
413,402,515
414,225,282
415,406,519
416,407,520
417,408,521
418,299,520
419,11,88
420,409,523
421,410,524
422,411,525
423,168,211
424,369,467
425,369,468
426,369,80
427,275,328
428,413,536
429,413,537
430,414,538
431,415,539
432,416,540
433,417,541
434,417,542
435,429,559
436,427,555
437,427,556
438,430,560
439,431,561
440,431,562
441,393,507
442,393,568
443,435,573
444,436,572
445,438,576
446,441,578
447,441,579
448,443,580
449,437,574
450,437,571
451,444,570
452,445,582
453,446,583
454,454,591
455,455,592
456,447,584
457,447,600
458,466,603
459,467,606
460,469,607
461,442,581
462,442,610
463,474,616
464,473,614
465,473,615
466,473,618
467,476,621
468,477,620
469,428,557
470,428,558
471,428,628
472,483,630
473,468,605
474,468,633
475,485,636
476,486,637
477,487,638
478,432,563
479,432,639
480,248,301
481,482,632
482,482,630
483,481,629
484,481,631
485,481,643
486,439,575
487,439,644
488,403,516
489,403,645
490,448,585
491,448,646
492,449,586
493,449,646
494,450,587
495,450,646
496,451,588
497,451,646
498,452,589
499,452,646
500,453,590
501,453,646
502,457,594
503,457,647
504,458,595
505,458,647
506,459,596
507,459,647
508,460,597
509,460,647
510,461,598
511,461,647
512,462,599
513,462,647
514,418,543
515,418,648
516,419,544
517,419,648
518,420,545
519,420,648
520,421,546
521,421,648
522,422,547
523,422,648
524,423,548
525,423,648
526,491,650
527,491,651
528,491,652
529,492,649
530,358,457
532,235,293
533,235,658
534,478,622
535,478,623
536,478,659
537,292,363
538,292,364
539,292,660
540,496,661
541,497,662
542,498,663
543,499,663
544,500,662
545,501,661
546,502,664
547,385,665
548,434,565
549,434,487
550,128,166
551,128,666
552,504,478
553,506,667
554,507,668
555,508,669
556,509,670
557,510,671
558,426,553
559,511,672
560,306,381
561,306,382
562,475,617
563,475,678
564,356,454
567,378,342
568,378,343
569,243,477
570,179,477
571,147,343
572,147,342
573,344,437
576,328,416
577,328,415
578,517,683
579,517,684
580,518,685
581,518,686
582,70,288
583,519,693
584,210,260
585,210,697
586,214,266
587,214,345
588,214,694
589,214,702
590,215,267
591,215,351
592,215,703
593,224,280
594,224,705
595,222,278
596,7,276
597,7,275
598,7,380
599,7,277
600,479,625
601,480,624
602,480,626
603,521,319
604,200,245
605,200,246
606,200,714
607,217,298
608,217,297
609,524,265
610,213,264
611,213,696
612,525,715
613,527,719
614,526,716
615,526,720
616,526,721
617,526,722
618,528,723
619,531,728
620,531,729
621,532,731
622,532,732
623,534,736
624,535,734
625,535,735
626,533,733
627,512,673
628,512,674
629,512,737
630,512,738
634,538,745
635,538,746
636,538,747
637,539,748
638,544,757
639,544,758
640,545,760
641,545,763
642,536,741
643,536,762
644,546,761
645,546,742
646,547,764
647,366,463
648,366,765
650,549,767
651,223,279
652,223,701
653,223,771
654,223,772
655,253,306
656,253,773
657,530,726
658,530,727
659,530,730
660,530,776
661,252,305
662,550,777
663,412,533
664,412,534
665,412,535
666,412,779
667,286,326
668,286,355
669,286,480
670,286,778
671,286,780
672,551,781
673,551,782
674,260,313
675,260,784
676,552,785
677,552,786
678,553,787
679,553,788
680,554,789
681,542,753
682,542,756
683,542,790
684,465,604
685,465,634
686,465,791
687,465,795
688,557,801
689,557,800
690,557,799
691,558,802
692,559,803
693,559,804
694,559,805
695,405,281
696,405,283
697,405,806
698,560,807
699,560,808
700,561,809
701,563,813
702,537,743
703,537,814
704,463,601
705,463,639
706,463,815
707,566,820
708,566,503
709,567,822
710,567,821
711,201,247
716,201,823
717,569,830
718,571,828
719,433,564
720,433,567
721,433,823
722,404,517
723,404,518
724,404,823
725,83,522
726,83,823
727,572,301
733,556,794
734,556,823
735,556,81
736,503,667
737,503,832
738,503,823
739,184,81
740,184,823
741,575,834
742,575,833
743,576,837
744,577,838
745,578,840
746,578,839
747,579,841
748,580,842
749,581,843
750,582,844
751,582,845
752,584,847
753,585,848
754,586,849
755,587,850
756,588,851
757,589,321
758,268,321
759,268,744
760,268,852
761,590,853
762,231,299
763,231,346
764,565,818
765,565,817
766,564,816
767,564,819
768,456,593
769,456,639
770,456,854
771,258,311
772,258,639
773,258,854
774,301,639
775,301,854
776,592,856
777,592,857
778,257,310
779,257,356
782,594,862
783,596,863
784,596,864
785,597,865
786,597,866
787,598,867
788,599,868
789,574,835
790,574,869
791,232,300
792,232,870
793,562,810
794,606,874
795,607,876
796,604,874
797,604,689
798,610,880
799,601,872
800,601,881
801,600,872
802,600,882
803,612,883
804,611,884
805,611,883
806,613,885
807,614,886
808,615,887
809,609,872
810,617,888
811,605,875
812,605,880
813,603,874
814,603,881
815,608,877
816,608,879
817,608,878
818,608,881
819,602,873
820,602,880
821,618,880
822,620,892
823,621,893
824,622,883
825,623,894
826,625,895
827,624,896
829,626,898
830,627,899
831,629,901
832,630,902
833,631,903
834,632,904
835,632,905
836,633,906
837,633,907
838,634,908
839,636,910
840,637,912
841,638,913
842,640,916
843,641,918
844,644,920
845,645,923
846,645,924
847,646,922
848,647,925
849,648,925
850,648,926
851,649,927
853,651,928
854,652,930
855,653,931
856,654,932
857,654,823
858,655,933
859,656,934
860,657,935
861,659,936
862,593,859
863,593,939
864,660,940
865,662,943
866,663,941
867,520,842
868,664,944
869,665,945
870,665,946
871,666,947
872,668,948
873,668,949
874,115,154
875,669,953
876,670,952
877,672,956
878,673,959
879,674,960
880,675,961
881,675,962
882,676,964
883,676,965
884,677,966
885,678,963
886,398,510
887,398,509
888,398,871
896,267,320
897,267,531
898,267,791
899,267,795
900,267,634
901,680,969
902,228,698
903,228,700
904,228,699
905,228,740
906,681,971
907,683,973
908,682,972
909,682,973
910,570,829
911,570,974
912,684,975
913,685,977
914,686,978
915,689,982
916,690,984
917,690,985
918,691,987
919,691,986
920,694,989
921,694,990
922,694,991
923,695,992
924,696,993
925,692,988
926,692,80
927,697,994
928,697,995
929,700,998
930,699,997
931,701,999
932,702,1000
933,703,1001
934,667,950
935,667,976
936,667,1002
937,667,1003
938,698,996
939,698,1004
940,688,980
941,688,1005
942,705,1007
943,706,1008
944,708,1010
945,708,1012
946,710,1015
947,710,1014
948,711,1016
949,712,1017
950,713,1018
952,714,1020
953,709,1011
954,709,1013
955,716,1022
956,693,988
957,693,1023
958,717,1023
959,671,954
961,671,957
962,679,968
963,679,978
964,687,981
965,704,1006
966,704,981
967,722,747
968,722,1027
969,725,1028
970,725,345
971,725,702
972,726,1029
973,727,1030
974,727,1032
976,728,1031
977,730,1035
978,212,262
979,212,1026
980,729,1034
981,729,263
983,568,825
985,65,79
986,65,1025
987,65,1036
988,583,846
989,732,1038
990,736,1042
991,736,1044
992,737,1043
993,737,1044
994,734,1040
995,367,464
996,368,465
997,516,682
998,740,1046
999,741,1047
1000,742,1048
1001,743,1049
1002,744,1050
1003,738,1051
1004,739,1049
1005,4,271
1006,4,378
1007,4,272
1008,4,274
1009,5,273
1010,745,1052
1011,746,271
1012,746,272
1013,746,378
1014,746,1053
1015,747,271
1016,747,272
1017,747,378
1018,747,1054
1019,748,1055
1020,642,917
1021,731,978
1022,749,817
1023,753,1063
1024,754,1064
1025,750,1056
1026,750,1057
1027,751,1058
1028,752,1059
1030,755,1065
1032,756,1067
1033,758,1070
1034,759,1073
1037,761,1074
1038,762,1075
1039,763,1076
1040,765,1078
1041,767,1079
1042,768,1080
1043,769,1081
1044,770,1082
1045,771,1083
1046,772,1084
1047,764,1077
1048,764,1086
1049,774,1087
1050,775,1088
1051,776,1090
1052,776,1089
1053,777,1091
1054,777,1092
1055,778,1093
1056,779,1094
1057,780,1095
1058,781,1096
1059,781,1097
1060,782,1098
1061,783,1099
1062,400,513
1063,400,798
1064,401,608
1065,401,514
1066,784,1101
1067,785,1102
1068,786,1103
1069,787,1104
1070,788,1105
1071,773,1085
1072,773,1106
1073,789,1108
1074,790,1107
1075,424,549
1076,425,550
1077,791,1115
1078,792,1113
1079,792,1114
1080,793,1110
1081,793,1111
1082,793,1112
1083,794,1116
1084,795,1117
1085,795,1118
1086,796,1119
1087,796,1120
1088,797,1124
1089,797,1125
1090,798,1126
1091,798,1127
1092,799,1128
1093,543,754
1094,543,755
1095,543,1129
1096,395,504
1097,395,566
1098,395,1130
1099,800,1132
1100,801,1134
1101,801,1133
1102,802,1135
1103,802,1137
1104,803,1136
1105,381,484
1106,394,503
1107,394,95
1108,804,1138
1109,805,1139
1110,806,1140
1111,807,1141
1112,808,1142
1113,809,1143
1114,314,392
1115,495,653
1116,495,1144
1117,493,655
1118,494,654
1119,494,656
1120,494,1145
1121,810,1146
1122,811,1147
1123,812,1148
1124,595,861
1125,595,1131
1126,595,1149
1127,216,695
1128,216,1151
1129,813,1152
1130,591,855
1131,591,858
1132,591,1153
1133,815,1154
1134,815,1156
1135,817,1157
1136,817,1159
1137,816,1158
1138,814,1155
1139,818,1161
1140,819,1160
1141,819,1162
1142,820,1164
1143,821,1163
1144,821,1165
1147,822,1166
1148,823,1167
1149,824,1168
1150,825,1169
1151,826,1170
1152,827,1171
1153,198,242
1154,198,80
1156,198,823
1157,472,613
1158,472,80
1159,472,228
1160,472,627
1161,472,823
1162,828,1172
1163,829,1173
1164,831,1174
1165,470,611
1166,470,80
1167,470,228
1168,470,619
1169,470,678
1170,470,823
1171,471,612
1172,471,80
1173,471,228
1174,471,678
1175,471,823
1176,832,1176
1177,833,1178
1178,833,1177
1179,834,1179
1180,835,1180
1181,836,1181
1182,837,1182
1183,838,1183
1184,839,1184
1185,840,1185
1186,841,1186
1187,842,1187
1188,843,1188
1189,844,1189
1190,845,1190
1191,845,1191
1192,846,1192
1193,848,1193
1194,847,1194
1195,849,1195
1196,850,1196
1197,851,1197
1198,852,1198
1199,853,1199
1200,854,1200
1201,855,1201
1202,856,1202
1203,857,1203
1204,858,1204
1205,859,1205
1206,860,1206
1207,861,1207
1208,862,1209
1209,863,1208
1210,865,1211
1211,866,1212
1212,867,1213
1213,868,1195
1214,869,1215
1215,870,1216
1216,871,1217
1217,872,1218
1218,873,1219
1219,874,1220
1220,874,1221
1221,875,1222
1222,876,1224
1223,876,1225
1224,877,1226
1225,878,1227
1226,879,1228
1227,880,1229
1228,881,1231
1229,881,1232
1230,882,1235
1231,883,1234
1232,884,1236
1233,885,1237
1234,885,889
1235,885,891
1236,886,1238
1237,886,826
1238,886,827
1239,887,1239
1241,619,890
1244,888,1241
1245,888,1242
1246,888,1244
1247,889,1243
1248,864,1210
1249,227,286
1250,890,1245
1251,890,1247
1252,890,1246
1253,892,1249
1254,893,1251
1255,757,1068
1256,757,1069
1257,757,1252
1258,894,1253
1259,895,1254
1260,895,1255
1261,897,1256
1262,897,1257
1263,897,1258
1264,897,1259
1265,897,1261
1266,898,1262
1267,898,1263
1268,899,1264
1269,896,1260
1270,896,1031
1271,896,1265
1272,229,365
1273,229,481
1274,229,1266
1275,522,712
1276,522,775
1277,522,713
1278,523,717
1279,523,718
1280,523,770
1281,901,1270
1282,902,1272
1283,903,1273
1284,904,1274
1285,905,1275
1286,908,1278
1287,908,1279
1288,766,1100
1289,766,1250
1290,766,1280
1291,909,1281
1292,910,1282
1293,911,1283
1294,911,1285
1295,912,1286
1296,912,1287
1297,913,1288
1298,913,1289
1299,915,1292
1300,918,1295
1301,920,1297
1302,922,1299
1303,923,1300
1304,924,1303
1305,924,1301
1306,924,1302
1307,916,1293
1308,916,1291
1309,917,1294
1310,917,1291
1311,919,1296
1312,919,1291
1313,921,1298
1314,921,1291
1315,925,1304
1316,914,1290
1317,540,750
1318,540,749
1319,541,751
1320,541,752
1321,927,1307
1322,907,1277
1324,900,1267
1325,900,1269
1326,900,1268
1327,900,1311
1328,926,1306
1329,926,1305
1330,930,1312
1331,931,1314
1332,295,551
1333,259,312
1334,259,783
1335,933,708
1336,932,1313
1337,932,1315
1338,484,635
1339,936,711
1340,488,640
1341,937,710
1342,489,641
1343,490,642
1344,464,602
1345,938,709
1346,939,1316
1347,140,183
1348,157,184
1349,157,1317
1350,440,577
1351,440,823
1352,940,1318
1353,940,823
1354,940,80
1355,891,1248
1356,942,1320
1357,941,1319
1358,941,1321
1359,943,1322
1360,945,1324
1361,945,1326
1362,948,1329
1363,949,1328
1364,946,1325
1365,950,1330
1368,951,1333
1369,952,1334
1370,952,1335
1371,953,1337
1372,954,1336
1373,954,1338
1374,955,1339
1375,955,1341
1376,956,1340
1377,957,1342
1378,116,823
1379,116,155
1381,46,691
1382,46,692
1383,46,823
1384,46,81
1388,391,505
1389,505,81
1390,505,627
1391,505,823
1392,958,1344
1393,958,1343
1394,959,1345
1395,960,1347
1396,961,1346
1397,962,1344
1398,964,1350
1399,963,1349
1400,963,1272
1401,963,271
1402,965,1351
1403,966,1352
1404,967,1353
1405,968,1354
1406,969,1355
1407,944,1323
1408,944,1356
1409,970,1357
1410,971,1358
1411,971,295
1412,972,1359
1413,973,1360
1414,974,1361
1415,975,1362
1416,977,1364
1417,978,1365
1418,979,1366
1419,980,1371
1420,981,1372
1421,982,1373
1422,983,1374
1423,986,1377
1424,986,639
1425,986,854
1426,984,1375
1427,987,80
1428,987,1378
1429,67,96
1430,985,1376
1431,985,1379
1432,976,1363
1433,976,666
1434,989,1380
1435,990,1381
1436,990,1382
1437,991,1383
1438,992,1384
1439,992,1385
1440,993,533
1441,993,534
1442,993,535
1443,993,779
1444,993,1386
1445,994,1387
1446,995,1388
1447,996,1389
1448,998,1390
1449,999,1392
1450,1000,1391
1451,1001,1393
1452,1002,97
1453,1002,1394
1454,1003,1395
1455,928,1308
1456,928,1309
1457,928,1396
1458,928,1397
1459,928,1398
1460,928,1399
1461,830,1175
1462,830,1400
1463,830,1401
1464,1004,1402
1465,293,366
1466,293,1403
1467,1005,1404
1468,1005,1407
1469,1005,1408
1470,1006,1405
1471,1008,1410
1472,1009,1411
1473,1009,241
1474,1009,823
1478,1010,1412
1479,555,792
1480,555,823
1481,555,1413
1483,639,914
1484,639,915
1486,661,942
1487,661,1416
1488,658,937
1489,658,1419
1490,1012,1417
1491,1012,1418
1492,1012,1420
1494,643,1421
1495,635,909
1496,635,911
1499,1014,1423
1500,1015,1424
1501,1016,1425
1502,1017,1426
1503,1018,1427
1504,628,900
1505,650,929
1506,650,1428
1507,1019,1429
1508,1020,1430
1509,1021,1431
1510,1022,1432
1513,1023,1433
1514,1023,1431
1515,1024,1434
1516,1024,331
1518,1025,1435
1519,1026,1436
1521,1028,1437
1522,1027,1438
1523,532,1439
1524,532,1440
1525,1030,1442
1526,1031,1443
1527,1032,1444
1529,1033,1445
1530,1033,1446
1531,257,1447
1533,257,1449
1534,1034,1450
1535,929,1451
1536,255,80
1537,255,228
1538,548,1452
1539,548,1453
1540,229,1454
1541,229,1455
1542,83,301
1543,1035,1456
1544,1035,1457
1545,1036,1458
1546,1037,1459
1547,1037,1460
1548,1038,1461
1551,1039,1462
1552,1040,1463
1553,1041,1070
1555,1041,1464
1556,1042,1465
1557,1043,1466
1558,1043,1467
1559,1044,1468
1560,1045,768
1569,1050,1
1570,1051,1469
1571,1052,1470
1572,1053,1471
1573,1054,1472
1574,1055,1473
1575,1056,1474
1576,1056,1475
1577,1057,1476
1578,1057,1477
1579,1058,1478
1580,1058,1479
1581,1059,1480
1582,1060,1481
1583,1029,1441
1584,1061,1482
1585,1062,1483
1586,1063,1484
1587,1063,1485
1588,1064,1486
1589,1065,1487
1590,1066,1488
1591,1066,1489
1592,1067,1490
1593,1068,1491
1594,1069,1493
1595,1069,1492
1596,1070,1494
1597,1071,1495
1598,1072,1496
1599,1073,1497
1600,1074,1498
1601,1075,1499
1602,1076,1500
1603,1077,1501
1604,1078,1502
1605,1079,1503
1606,1080,1504
1607,1081,1510
1608,1082,1511
1609,1083,1512
1610,1084,1513
1611,1085,1514
1612,1086,1515
1613,1087,1516
1614,1046,1518
1615,1046,1517
1616,1047,1519
1617,1047,1520
1618,1048,1521
1619,1048,1522
1620,1049,1523
1621,1049,1524
1622,1088,1525
1623,1089,1526
1624,1090,1527
1625,1091,1528
1626,1088,1174
1627,1092,726
1628,1092,727
1629,1092,730
1630,1092,776
1631,1092,325
1635,1095,80
1636,1094,80
1637,507,1531
1638,1094,1532
1639,1050,1533
1640,1050,1534
1641,1096,1535
1644,1098,1538
1645,426,639
1647,979,639
1648,1099,1539
1649,1100,1540
1650,1101,900
1652,1101,1541
1653,216,1542
1657,1102,1545
1658,671,1546
1659,1103,955
1660,1104,1547
1661,1105,1548
1662,1105,380
1663,1105,276
1664,1105,275
1665,1106,1549
1666,1106,380
1667,1106,275
1668,1106,276
1669,1107,1550
1670,1108,1551
1671,317,1552
1672,197,241
1673,197,823
1675,1109,1553
1676,1109,823
1678,1110,1554
1679,1110,823
1681,1111,1555
1682,197,1556
1683,1109,1557
1684,1110,1558
1685,766,1559
1686,1112,1560
1687,1113,1561
1688,1114,1562
1689,1115,1563
1690,1116,1564
1691,1110,1564
1692,326,1565
1694,390,505
1695,1117,1566
1696,1117,823
1697,1117,1413
1698,1118,1567
1699,1118,1413
1700,1118,823
1701,1119,1568
1702,1119,823
1703,1119,80
1704,1120,1569
1705,1120,823
1706,1120,80
1708,1121,1571
1709,1121,823
1712,1122,1572
1713,1122,823
1716,1123,1573
1717,1123,697
1718,1124,1574
1719,1124,697
1721,201,1576
1722,1121,1577
1723,1122,1578
1725,1125,1580
1727,1126,1570
1728,1127,1581
1729,1128,1582
1730,1129,1583
1731,1129,823
1732,1129,1585
1733,1130,1584
1734,1130,1586
1735,1130,823
1736,1131,1587
1737,1132,1588
1738,1133,1589
1739,846,1590
1740,1134,1591
1741,1134,335
1742,1135,1592
1743,1135,335
1744,1136,1594
1749,1137,1596
1750,1138,1597
1751,201,1560
1754,1139,1598
1755,1140,1599
1756,555,1564
1757,1117,1564
1758,1118,1564
1759,199,1564
1760,556,1560
1761,255,1560
1762,257,1564
1763,1141,1600
1764,1142,1601
1765,1143,1602
1766,1144,1603
1767,1145,1604
1768,1146,1605
1769,1147,1606
1770,1148,1607
1771,1149,1608
1772,1150,1609
1773,1151,1610
1774,1152,1611
1775,1153,1612
1776,1154,1614
1777,1155,1613
1778,1156,1615
1779,639,1415
1780,635,1422
1782,727,1033
1784,1158,1617
1785,1159,1618
1786,1160,1619
1787,1161,1620
1788,1161,1621
1789,1162,1622
1790,1163,1623
1791,1158,1616
1793,1164,908
1794,1164,1624
1795,1165,1625
1797,1165,1626
1799,1165,1560
1800,1126,1560
1801,1166,1627
1802,1166,1628
1803,1167,1629
1804,1168,1630
1805,1169,1631
1806,1170,1632
1807,529,724
1808,529,725
1809,529,739
1810,1171,725
1811,1171,739
1812,1171,1633
1813,1172,725
1814,1172,739
1815,1172,1634
1816,1173,761
1817,1173,1635
1818,1174,1636
1819,1174,761
1820,266,677
1821,266,319
1822,266,769
1823,266,796
1824,266,797
1825,266,967
1826,1175,677
1827,1175,769
1828,1175,796
1829,1175,797
1830,1175,967
1831,1175,1637
1832,1176,967
1833,1176,1638
1834,1176,677
1835,1176,769
1836,1176,796
1837,1176,797
1838,512,1639
1839,512,1640
1842,1177,1641
1845,1178,1642
1848,1179,1643
1851,1180,1644
1856,1181,1645
1859,1182,1646
1862,1183,1647
1865,1184,1648
1868,1185,1649
1871,1186,1650
1874,1187,1651
1877,1188,1652
1880,1189,1653
1883,1190,1654
1884,1191,1654
1885,1192,1655
1886,1193,1656
1887,1194,1659
1888,1195,1657
1889,1195,1658
1890,1196,1660
1891,1197,1661
1892,907,1662
1893,1198,1663
1894,1199,1664
1897,1200,1665
1898,1201,1667
1899,1201,1668
1900,1202,1669
1901,627,1670
1902,1203,1671
1903,1204,1672
1904,1205,1673
1905,1205,1674
1908,1207,1675
1909,1208,1676
1910,428,1677
1914,1210,1060
1915,1211,1678
1916,1211,1679
1920,1213,1680
1921,1196,1681
1922,1214,1682
1923,1214,1683
1924,1215,1684
1925,1216,1685
1928,1209,1686
1929,327,1687
1930,1218,1689
1931,1218,1071
1932,1219,1690
1933,1220,1691
1934,1220,1692
1935,1220,1693
1936,1221,455
1937,356,455
1938,344,436
1940,515,1595
1943,1222,1694
1944,644,921
1945,1223,1695
1946,1223,683
1947,1223,684
1948,759,1071
1949,1224,1696
1950,1225,1697
1951,1224,1698
1952,1226,1699
1953,1227,1700
1954,1228,1701
1955,1229,1702
1956,1229,1703
1957,1230,1704
1958,1231,1705
1959,1232,1706
1960,1233,1707
1961,667,1708
1962,1234,1709
1967,404,1563
1968,83,1564
1969,940,1564
1971,1235,1564
1974,573,1710
1975,573,1711
1977,1236,1712
1979,1237,1713
1980,1235,1714
1981,1238,1716
1986,1239,1715
1987,1240,1719
1988,1241,1721
1989,1242,1717
1990,1243,1720
1991,1244,1722
1992,1245,1718
1993,1246,1723
1996,1247,1724
1997,1248,1725
1998,1249,1726
1999,1250,1727
2000,1251,1729
2001,1252,1730
2002,1253,1731
2003,253,1732
2004,1254,1733
2005,1097,1734
2007,1177,1734
2009,1178,1734
2013,1180,1734
2015,1181,1734
2017,1182,1734
2019,1183,1734
2021,1184,1734
2023,1185,1734
2025,1186,1734
2027,1187,1734
2029,1188,1734
2031,1190,1734
2033,1212,1734
2035,1222,1734
2037,1238,1734
2039,1239,1734
2041,1246,1734
2043,1255,796
2044,1255,797
2045,1255,769
2046,1255,967
2047,1255,319
2048,1255,677
2049,1255,1734
2051,1256,407
2052,1256,408
2053,1256,409
2054,1256,1734
2056,1257,1736
2057,1258,1737
2058,1259,1738
2059,1260,1739
2060,1261,1740
2061,1262,1741
2062,1263,1742
2063,1263,1744
2064,1264,1743
2065,1264,1745
2066,1265,1746
2067,1266,1747
2068,1212,1680
2069,1267,1748
2070,1268,1749
2071,1269,1750
2072,1270,1751
2073,1271,1752
2074,1271,1753
2075,1272,1754
2076,1273,1755
2077,802,1756
2078,1274,1757
2079,1276,1758
2080,1276,1734
2082,1275,1759
2083,1263,1760
2084,1264,1760
2089,1277,1763
2090,1277,1764
2091,1278,1765
2092,1279,1766
2093,1280,1767
2094,1281,1768
2095,1282,1769
2096,1283,1770
2097,1284,1771
2098,1285,1772
2099,1286,384
2100,1286,1773
2101,1287,1774
2102,1288,1775
2103,583,1776
2104,1289,1777
2105,1289,1778
2106,1290,912
2107,1290,1510
2108,1291,1779
2109,1291,1780
2111,1292,1782
2112,1293,1783
2113,1294,1784
2114,1295,1785
2115,1291,1786
2116,1291,1787
2137,1297,1797
2138,1297,1796
2139,1298,1798
2140,1292,1799
2141,1292,1800
2142,401,1801
2143,1299,1802
2144,1300,1803
2145,1301,1805
2146,1301,1804
2147,1302,1806
2148,1303,1807
2149,1303,1808
2150,1303,1810
2151,1304,1809
2154,1296,1795
2157,1296,1791
2159,315,394
2160,1305,1811
2161,1306,1814
2162,1307,1815
2163,1308,1816
2164,1309,1812
2165,1309,1813
2168,1310,1817
2169,1310,1818
2171,1312,1820
2172,1313,1821
2173,1314,1822
2174,1309,1786
2175,1309,1787
2176,1315,1823
2177,1316,1824
2178,1317,1825
2179,1318,330
2180,1318,1826
