id,wi_id,quest_id
1044,0,3644
1045,0,3197
1046,19,3742
1047,19,3761
1048,19,3735
1050,19,3701
1053,19,3701
1054,19,3701
1055,0,3078
1057,19,3675
1058,19,3675
1060,19,3600
1061,19,3675
1062,19,3699
1064,19,3709
1065,19,3451
1067,19,3076
1068,19,2386
1069,19,2388
1070,19,3870
1081,19,3870
1082,19,2015
1083,19,1996
1084,19,1991
1086,19,2976
1087,19,1334
1088,19,28
1089,19,28
1090,19,264
1091,19,253
1093,19,286
1094,19,175
1095,19,307
1096,19,343
1097,19,337
1098,19,2023
1099,19,2041
1100,19,3903
1101,19,338
1102,19,187
1103,0,3961
1104,0,3963
1105,19,3913
1106,19,3966
1107,19,3966
1108,19,3918
1109,19,3793
1110,19,3971
1111,19,1817
1112,0,3974
1114,19,200
1115,19,3814
1116,19,3929
1117,19,3929
1118,19,3929
1119,19,3424
1121,19,3430
1122,0,3984
1123,19,3916
1124,19,3764
1125,19,3780
1126,19,3780
1127,19,3781
1128,19,3431
1130,19,3928
1131,19,3820
1132,19,3799
1133,19,2354
1134,19,3523
1135,19,3815
1136,19,3519
1137,19,2302
1138,19,2302
1139,19,2302
1140,19,2302
1141,19,3439
1142,19,3447
1143,19,3923
1144,0,2082
1145,19,4036
1146,19,4035
1150,19,2264
1151,0,3508
1152,19,1172
1153,19,1063
1154,19,3442
1157,19,3530
1158,19,3537
1159,19,4194
1160,19,4194
1161,19,4194
1162,19,2921
1163,19,4198
1164,19,4201
1165,19,4203
1166,19,4248
1167,19,4210
1168,19,4235
1169,19,4253
1170,19,4247
1171,19,4246
1173,19,4214
1174,19,4214
1175,19,4214
1176,19,4249
1177,19,4220
1179,19,2281
1180,19,900
1181,0,4116
1182,19,4199
1183,19,3464
1184,19,1145
1185,0,648
1186,19,3475
1187,19,4225
1188,0,2470
1189,19,2467
1190,19,2492
1192,19,2334
1193,19,3551
1194,0,1213
1200,19,3888
1201,0,1571
1206,19,4086
1207,0,548
1208,19,4273
1209,19,4273
1210,19,4273
1211,19,128
1212,19,4243
1213,19,776
1214,19,1679
1215,19,3921
1216,19,4232
1218,19,2935
1219,19,2926
1220,19,2916
1221,19,1050
1222,19,1050
1223,19,1050
1224,19,4233
1226,19,1445
1227,19,2698
1228,19,4248
1229,19,867
1230,19,884
1231,19,886
1232,19,3532
1233,19,4313
1234,19,4313
1235,19,4317
1236,19,4318
1237,19,4324
1238,19,4327
1239,19,4352
1240,19,4331
1241,19,4333
1242,19,4339
1243,19,3449
1244,19,4345
1245,19,4343
1246,19,4349
1247,19,4362
1248,19,4356
1249,19,4358
1250,19,4359
1251,19,4364
1252,19,4367
1253,19,4370
1255,19,4371
1257,19,4386
1258,19,4314
1263,19,1668
1264,19,3900
1265,0,4479
1266,19,4410
1267,19,4404
1269,19,1310
1270,19,1342
1271,19,2067
1275,0,4122
1276,19,1233
1277,19,1135
1281,19,18
1282,19,1135
1283,19,1218
1284,19,1169
1285,19,1218
1287,19,1239
1288,19,4778
1290,19,1966
1291,19,4783
1292,19,3887
1294,0,1595
1295,19,1100
1296,19,3483
1297,19,4787
1298,19,4783
1299,19,4877
1300,19,871
1301,19,1984
1302,19,3438
1303,19,1059
1304,19,859
1305,19,3378
1306,0,3616
1307,0,3384
1308,0,2041
1309,19,4376
1310,0,3402
1311,19,4389
1312,19,3395
1315,0,3410
1316,0,3410
1317,0,3410
1318,0,3410
1319,0,3414
1320,0,3585
1321,0,3587
1322,0,3587
1323,0,3590
1324,19,3090
1325,19,3195
1328,19,5032
1329,19,4967
1330,0,2994
1331,19,1988
1332,0,3010
1333,19,5052
1334,19,5052
1335,19,5052
1336,19,2271
1337,19,2271
1338,19,1984
1339,19,1984
1340,19,343
1341,19,343
1342,0,1507
1343,19,2041
1344,19,1507
1345,19,2271
1347,19,882
1348,19,869
1349,19,869
1350,19,869
1351,19,868
1352,19,868
1353,19,868
1354,19,868
1355,19,868
1356,19,5077
1357,19,5078
1358,19,5089
1359,19,5089
1360,19,5091
1361,19,5090
1362,0,5091
1363,19,5090
1364,19,5092
1365,0,5132
1367,19,5103
1369,19,5102
1370,19,3357
1371,19,5099
1372,19,5104
1373,19,5105
1375,19,4892
1376,19,3333
1377,19,5105
1378,19,5170
1379,19,4274
1380,19,5169
1381,19,5173
1382,19,5169
1383,19,5173
1384,19,5194
1385,19,5175
1386,19,5198
1387,0,5266
1388,0,5266
1389,0,5271
1390,0,5271
1391,19,5280
1392,0,5296
1396,0,5296
1397,0,5296
1398,0,5291
1399,0,5291
1400,0,5291
1401,0,5172
1402,19,5285
1403,19,5417
1404,19,5403
1405,0,5534
1407,19,5404
1409,19,1056
1410,19,5442
1411,19,5443
1412,19,5449
1413,0,5320
1414,19,5440
1415,19,5407
1417,19,5447
1418,0,5486
1419,0,5488
1422,0,5501
1423,0,5502
1424,0,5503
1425,0,5504
1426,0,5505
1427,0,5506
1428,0,5507
1429,0,5508
1430,0,5509
1431,0,5510
1432,0,5511
1433,0,5512
1434,0,5513
1435,0,5514
1436,0,5515
1437,0,5516
1438,0,5517
1439,0,5518
1440,0,5519
1441,0,5520
1442,0,5521
1443,0,5522
1444,19,5459
1445,0,5533
1446,19,5539
1447,19,5541
1448,0,5497
1449,19,5320
1450,0,5498
1451,19,5558
1452,19,5562
1453,19,5649
1454,19,5565
1455,0,5699
1456,19,5698
1457,19,5695
1459,19,5715
1460,19,5717
1463,19,5490
1464,19,5490
1465,19,5490
1467,0,5718
1468,19,5776
1472,0,5955
1473,0,5966
