id,normal,velocity,mass,mass_center_x,mass_center_y,mass_center_z,mass_box_size_x,mass_box_size_y,mass_box_size_z,water_damping,water_density,water_resistance,damaged50,dead,damaged25,damaged75,tube_length,tube_radius,tube_offset_z,keel_length,keel_height,keel_offset_z,steer_vel,accel,reverse_accel,reverse_velocity,turn_accel
11,prefab://Prefabs/speedboat.xml/speedboat_a.speedboat_hwang,20.0,5000.0,0.0,0.0,0.3,4.0,8.0,2.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,0.5,5.0,1.0
12,prefab://Prefabs/interaction_c.xml/galleon.galleon_test_body,12.6,45000.0,0.0,-4.0,-1.0,6.5,30.0,14.5,0.0,1.0,1.0,prefab://Prefabs/galleon01.xml/galleon01.damaged25,prefab://Prefabs/galleon01.xml/galleon01.dead,prefab://Prefabs/galleon01.xml/galleon01.damaged25,prefab://Prefabs/galleon01.xml/galleon01.damaged75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,5.0,1.0
13,prefab://Prefabs/cruise.xml/cruise.cruise_a,12.6,120000.0,0.0,0.0,0.0,40.0,90.0,16.0,0.0,0.8,2.0,prefab://prefabs/cruise.xml/cruise.cruise_a_damage25,prefab://prefabs/cruise.xml/cruise.cruise_a_dead,prefab://prefabs/cruise.xml/cruise.cruise_a_damage25,prefab://prefabs/cruise.xml/cruise.cruise_a_damage75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,5.0,1.5
14,prefab://prefabs/boxship.xml/boxship.boxship_normal,13.0,45000.0,0.0,0.0,-2.0,6.5,30.0,14.5,0.0,1.0,1.0,prefab://Prefabs/boxship.xml/boxship.boxship_damage25,prefab://prefabs/boxship.xml/boxship.boxship_dead,prefab://prefabs/boxship.xml/boxship.boxship_damage25,prefab://prefabs/boxship.xml/boxship.boxship_damage75,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,0.5,5.0,1.0
15,prefab://prefabs/boardship.xml/boardship.step_10boardship_normal,12.6,45000.0,0.0,2.0,-4.0,6.5,30.0,14.5,0.0,1.0,1.0,prefab://Prefabs/boardship.xml/boardship.boardship_damage25,prefab://prefabs/boardship.xml/boardship.boardship_dead,prefab://prefabs/boardship.xml/boardship.boardship_damage25,prefab://prefabs/boardship.xml/boardship.boardship_damage75,19.0,5.0,4.0,0.0,0.2,0.0,1.0,1.0,0.5,5.0,1.0
16,prefab://prefabs/boardship.xml/boardship.step_10boardship_normal,12.6,45000.0,0.0,-4.0,-2.0,6.5,30.0,14.5,0.0,1.0,1.0,prefab://prefabs/boardship.xml/boardship.step_10boardship_normal,prefab://prefabs/boardship.xml/boardship.step_10boardship_normal,prefab://prefabs/boardship.xml/boardship.step_10boardship_normal,prefab://prefabs/boardship.xml/boardship.step_10boardship_normal,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,0.5,5.0,1.0
17,prefab://prefabs/coupleduckship.xml/coupleduckship.coupleduckship_body,8.0,800.0,0.0,0.0,0.0,1.0,3.0,0.5,0.0,0.7,1.0,prefab://prefabs/coupleduckship.xml/coupleduckship.coupleduckship_damage50,prefab://prefabs/coupleduckship.xml/coupleduckship.coupleduckship_dead,prefab://prefabs/coupleduckship.xml/coupleduckship.coupleduckship_body,prefab://prefabs/coupleduckship.xml/coupleduckship.coupleduckship_damage50,3.0,0.6,1.3,3.3,0.8,0.0,6.0,1.0,1.0,3.5,9.9
18,prefab://prefabs/soloship.xml/soloship.soloship_a_body,10.0,800.0,0.0,0.0,0.0,1.0,3.0,0.5,0.0,0.7,1.0,prefab://prefabs/soloship.xml/soloship.soloship_a_damage50,prefab://prefabs/soloship.xml/soloship.soloship_a_dead,prefab://prefabs/soloship.xml/soloship.soloship_a_body,prefab://prefabs/soloship.xml/soloship.soloship_a_damage50,3.3,0.6,1.1,6.5,0.17,0.0,6.0,1.0,1.0,3.5,9.9
19,prefab://prefabs/fishboat.xml/fishboat.fishboat_body,13.0,12000.0,0.0,0.0,-3.3,5.0,11.0,10.0,0.0,1.0,1.0,prefab://prefabs/fishboat.xml/fishboat.damage25_green,prefab://prefabs/fishboat.xml/fishboat.dead_green,prefab://prefabs/fishboat.xml/fishboat.damage25_green,prefab://prefabs/fishboat.xml/fishboat.damage75_green,0.0,2.0,2.2,0.0,0.1,0.0,0.8,1.0,0.5,5.0,0.75
20,prefab://prefabs/fishboat.xml/fishboat.fishboat_body_white,13.0,12000.0,0.0,0.0,-3.3,5.0,11.0,10.0,0.0,1.0,1.0,prefab://prefabs/fishboat.xml/fishboat.damage25_white,prefab://prefabs/fishboat.xml/fishboat.dead_white,prefab://prefabs/fishboat.xml/fishboat.damage25_white,prefab://prefabs/fishboat.xml/fishboat.damage75_white,0.0,2.0,2.2,0.0,0.1,0.0,0.8,1.0,0.5,5.0,0.75
21,prefab://prefabs/fishboat.xml/fishboat.fishboat_body_pink,13.0,12000.0,0.0,0.0,-3.3,5.0,11.0,10.0,0.0,1.0,1.0,prefab://prefabs/fishboat.xml/fishboat.damage25_pink,prefab://prefabs/fishboat.xml/fishboat.dead_pink,prefab://prefabs/fishboat.xml/fishboat.damage25_pink,prefab://prefabs/fishboat.xml/fishboat.damage75_pink,0.0,2.0,2.2,0.0,0.1,0.0,0.8,1.0,0.5,5.0,0.75
22,prefab://prefabs/boxship_old.xml/boxship_old.boxship_old_normal,13.0,45300.0,0.0,0.0,-2.0,6.5,30.0,14.5,0.0,1.0,1.0,prefab://prefabs/boxship_old.xml/boxship_old.boxship_old_demage75,prefab://prefabs/boxship.xml/boxship.boxship_dead,prefab://prefabs/boxship_old.xml/boxship_old.boxship_old_demage75,prefab://prefabs/boxship_old.xml/boxship_old.boxship_old_demage75,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,0.5,5.0,1.0
23,prefab://prefabs/boxship_old.xml/boxship_old.boxship_old_normal_6f,13.0,45300.0,0.0,0.0,-2.0,6.5,30.0,14.5,0.0,1.0,1.0,prefab://prefabs/boxship_old.xml/boxship_old.boxship_old_normal_6f,prefab://prefabs/boxship_old.xml/boxship_old.boxship_old_normal_6f,prefab://prefabs/boxship_old.xml/boxship_old.boxship_old_normal_6f,prefab://prefabs/boxship_old.xml/boxship_old.boxship_old_normal_6f,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,0.5,5.0,1.0
24,prefab://prefabs/boxship_old.xml/boxship_old.boxship_old_normal_2f,13.0,45300.0,0.0,0.0,-2.0,6.5,30.0,14.5,0.0,1.0,1.0,prefab://prefabs/boxship_old.xml/boxship_old.boxship_old_normal_2f,prefab://prefabs/boxship_old.xml/boxship_old.boxship_old_normal_2f,prefab://prefabs/boxship_old.xml/boxship_old.boxship_old_normal_2f,prefab://prefabs/boxship_old.xml/boxship_old.boxship_old_normal_2f,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,0.5,5.0,1.0
25,prefab://prefabs/galleon01.xml/galleon01.step_10boardship_normal,12.6,45000.0,0.0,2.0,-4.0,6.5,30.0,14.5,0.0,1.0,1.0,prefab://Prefabs/boardship.xml/boardship.boardship_damage25,prefab://prefabs/boardship.xml/boardship.boardship_dead,prefab://Prefabs/boardship.xml/boardship.boardship_damage25,prefab://prefabs/boardship.xml/boardship.boardship_damage75,19.0,5.0,4.0,0.0,0.2,0.0,1.0,1.0,0.5,5.0,1.0
