id,buff_id,effect_id,target_buff_tag_id,target_nobuff_tag_id
1279,3570,18797,,
1280,3571,18798,,
1281,3577,18865,,
1282,3579,18885,,
1283,3597,18972,,206
1284,3597,18973,206,
1285,3598,18980,,
1288,3635,19374,,
1290,3649,19463,,
1292,3657,19543,,
1293,835,19553,,
1294,835,19554,,
1297,1287,19636,,
1298,3667,19639,,483
1299,3667,19640,483,
1300,3668,19645,,
1301,1405,19649,,
1302,3669,19743,,623
1304,3671,20067,,
1306,1781,20187,,
1308,2911,20228,,
1311,3141,20408,,
1313,3128,20413,,
1315,3649,20440,,
1316,3675,20441,,
1318,3675,20446,,
1320,3743,20499,,12
1321,1522,20577,290,
1322,3745,20597,,
1323,1096,20599,,
1324,3764,20675,,
1327,3778,20803,,
1328,3803,20900,,
1330,3813,20951,,
1332,3822,20988,,
1333,3818,20999,,
1334,3833,21009,,
1335,3834,21016,,
1337,834,21077,,
1338,834,21078,,
1339,833,21080,,
1340,833,21081,,
1341,3697,21088,,
1344,629,21098,,
1362,3849,21172,,
1363,3849,21175,,
1364,3865,21183,,
1367,3741,21233,,
1369,3741,21251,,
1370,1079,21253,,
1372,1079,21267,,
1374,3872,21279,,
1375,3875,21290,,
1380,3888,21372,,
1382,3897,21387,,
1383,3900,21412,,
1386,3910,21465,,
1391,3931,21507,,
1393,3932,21512,,
1394,3935,21524,,
1395,3937,21539,,
1396,3936,21540,,
1398,3946,21592,,
1400,3980,21651,,
1401,3981,21657,,
1402,3984,21674,,
1403,3987,21698,,104
1404,3987,21699,,
1406,3994,21758,,
1407,3996,21768,,
1409,4027,21858,,
1411,4032,21873,,
1415,4043,21894,,
1416,3864,21955,718,
1418,4052,21958,,
1422,3864,21971,718,
1423,4059,21985,,
1424,4063,22003,,
1425,4063,22004,,
1426,4063,22006,,
1429,4063,22012,,
1431,4070,22026,,
1432,4073,22039,,
1433,4084,22080,,
1435,2007,22164,,
1441,4116,22200,,
1442,4120,22201,,
1443,4130,22232,,
1446,4135,22242,,
1447,4142,22266,,
1449,4147,22275,,
1450,3938,22292,,
1451,4124,22295,,727
1454,3744,22346,,
1455,4170,22347,,
1456,3895,22356,,
1457,3877,22367,,
1462,3987,22403,716,
1463,4179,22406,,
1464,4163,22427,,
1466,4191,22446,,
1467,4113,22466,,
1468,4200,22471,,744
1469,4200,22472,,
1475,4208,22492,,
1476,3839,22543,,
1477,4202,22553,,
1478,4217,22580,,
1481,4225,22591,,
1482,4233,22645,,766
1488,4244,22678,,
1490,4273,22768,,
1491,4276,22774,,
1496,1058,22824,,
1497,4289,22832,,
1499,4290,22836,,
1500,4291,22842,,
1501,4292,22847,,
1502,4292,22869,,
1503,4292,22870,,
1504,4321,22955,703,705
1505,4233,22966,766,
1509,4333,23011,,107
1510,4333,23012,,107
1511,4293,23089,,
1512,4354,23101,,
1513,4362,23138,,
1515,4364,23145,,
1516,4365,23149,,
1520,4367,23159,,
1521,4371,23183,,
1524,4140,23223,,
1525,4386,23281,,359
1526,4387,23282,,359
1527,4390,23290,,
1532,4435,23579,,
1533,4439,23620,781,
1535,4448,23659,,
1537,4456,23683,,
1539,4465,23744,,
1540,4483,23869,,
1542,4518,24258,,
1543,4540,24340,,
1544,4541,24341,,
1545,4541,24342,,
1547,4543,24352,,
1548,4544,24353,,
1550,4553,24388,,
1552,4558,24399,,
1553,4558,24400,,
1554,4558,24401,,
1557,4573,24549,,
1559,4595,24735,,
1560,1834,24737,,
1562,4596,24768,,
1565,4608,24776,,
1567,4613,24829,,
1573,3781,24885,,
1574,4632,24946,,
1577,4649,25019,,
1580,4656,25101,,
1581,4656,25102,,
1582,4656,25103,,
1586,4681,25308,,
1587,4664,25309,,
1588,4683,25325,,
1589,4685,25336,,
1591,4696,25392,,
1592,4200,25445,743,716
1593,4712,25501,,
1595,4718,25527,,
1596,4739,25625,,
1598,4124,25781,917,
1599,4755,25815,,
1600,4756,25857,,
1601,3116,25859,,
1605,4076,25922,,
1606,4775,25955,,
1608,4775,25957,,
1615,3743,26172,12,
1616,3743,26173,12,
1617,1226,26174,,12
1619,4813,26177,,
1623,4814,26181,,
1627,4819,26197,,
1628,4820,26198,,
1633,4838,26265,,
1634,4620,26273,,
1635,4844,26283,,
1637,2440,26367,,
1642,4880,26425,,
1643,4893,26516,,
1647,1402,26688,,
1648,1410,26705,,
1649,4874,26724,,
1652,4926,26854,,
1658,4948,27007,,
1661,4956,27066,956,
1665,4958,27079,,
1671,5020,27382,,
1673,4955,27424,960,
1674,5040,27437,,
1675,5040,27438,,
1676,5040,27439,,
1679,4995,27694,,
1680,5056,27698,,
1682,5060,27816,,
1683,5059,27817,,
1684,5066,27854,,
1685,5082,27924,,
1687,1226,27938,12,
1688,5098,27941,,
1691,5054,28041,,
1692,5156,28043,,
1694,5160,28089,,
1701,5170,28147,,
1702,5169,28164,,
1703,5173,28165,,
1705,5167,28208,,
1706,5168,28212,,
1707,5185,28260,,
1710,5252,28381,,
1712,3738,28416,,
1713,5296,28427,,
1714,5296,28428,,
1715,5296,28429,,
1717,5322,28443,,
1718,5321,28444,,1017
1722,5351,28520,,744
1723,5351,28521,,
1724,5351,28522,743,716
1725,5352,28524,,
1729,5374,28610,,
1730,5377,28627,,727
1731,5377,28628,917,
1732,5386,28639,,
1733,5387,28643,,136
1734,5387,28644,,136
1735,5389,28648,,
1736,5411,28793,718,
1737,5411,28794,718,
1738,5412,28795,,
1740,5476,28805,,
1741,5476,28806,,
1742,5476,28807,,
1743,5476,28808,,
1744,5491,28868,,
1747,5510,28910,,
1748,5512,28932,,
1749,5518,28946,,
1752,5520,28955,,104
1753,5520,28956,,
1755,5518,28958,,
1756,5518,28959,,
1757,5341,28981,,
1758,5529,28983,,
1760,5542,29036,,
1761,5545,29050,,
1762,5551,29074,,
1763,5552,29075,,
1764,5587,29235,,
1765,5597,29322,,136
1766,5597,29323,,136
1769,5653,29534,,
1770,5655,29537,,
1775,5662,29576,,
1776,5673,29582,,
1777,5683,29647,,
1779,3693,29690,,
1783,5749,29903,,
1785,5757,29913,,
1787,5760,29928,,
1788,5766,29962,,
1790,5766,29964,,
1791,5013,29966,,
1792,5639,30021,,
1800,5832,30287,,
1801,5847,30293,,104
1802,5847,30294,,
1804,5746,30318,,
1805,5850,30324,,
1806,5869,30389,,
1807,5852,30390,,
1809,5882,30409,,
1810,5884,30419,,
1811,5886,30435,,
1812,5887,30436,,
1813,5891,30460,,1119
1818,5899,30481,,
1819,5905,30498,,
1820,5836,30510,,
1821,5911,30529,,
1822,5226,30566,,
1823,5925,30569,,
1824,702,30613,1119,
1825,703,30616,1119,
1826,704,30617,1119,
1827,705,30618,1119,
1828,5891,30620,1119,
1829,1888,30622,1119,
1830,1889,30623,1119,
1831,5940,30626,,
1832,1890,30627,1119,
1833,1891,30628,1119,
1838,5990,30782,,
1839,5991,30783,,
1840,5992,30784,,
1845,6045,30974,,
1846,6049,30988,,
1853,6057,31064,,
1854,6062,31065,,
1856,6115,31156,1185,1184
1857,5225,31157,,
1858,6124,31175,,
1860,6142,31230,,
1862,6146,31241,,
1864,6150,31251,,
1866,4764,31261,,
1869,6153,31267,,
1872,6160,31296,,
1876,6171,31345,1193,1341
1877,3086,31355,,136
1878,6178,31356,,136
1879,6178,31357,,136
1881,6180,31361,,136
1882,6180,31362,,136
1884,4764,31381,,
1892,5730,31610,1071,
1895,6276,31708,,173
1896,6273,31710,1218,
1898,6286,31731,,
1900,6287,31736,,
1901,6292,31743,,
1904,6293,31746,,
1907,6299,31798,,
1909,6301,31831,,
1910,6311,31839,,938
1911,6313,31848,,
1912,6312,31859,,
1915,6321,31876,,
1918,6339,31898,,
1920,6345,31931,,
1922,6365,31968,,
1923,6371,31987,,
1924,6372,31989,,
1925,6373,31992,,136
1926,6373,31993,,136
1931,6393,32042,,
1935,6410,32122,,
1936,6411,32126,,
1938,6454,32169,,
1941,6466,32223,,
1942,6393,32225,,
1944,6473,32247,,
1949,6501,32446,,
1951,6503,32459,,
1952,6516,32488,,
1953,5840,32497,1273,
1956,6524,32511,,
1957,6524,32512,,
1958,6525,32513,,
1959,6525,32514,,
1960,6526,32515,,
1961,6526,32516,,
1962,6527,32519,,
1963,6527,32520,,
1968,6550,32613,,
1969,6550,32614,,
1975,6574,32696,,
1977,6607,32812,,
1979,6620,32875,,
1980,6464,32883,,
1981,6464,32884,,
1982,6464,32885,,
1983,6464,32886,,
1984,6464,32887,,
1985,6652,32968,,
1986,6660,33011,,
1987,6670,33023,,
1988,6677,33053,,136
1989,6677,33054,,136
1990,6702,33187,341,
1991,6702,33188,341,
1992,6707,33194,,
1994,6728,33259,,
1995,6738,33318,,
1996,6739,33320,,
1997,6753,33404,,
1999,6787,33703,294,1290
2000,6791,33708,294,1290
2001,6801,33782,,
2005,6830,33863,,1325
2010,6835,33868,155,
2011,6836,33869,,1325
2016,6841,33874,155,
2017,6850,33893,,
2020,6891,34060,,
2021,6903,34091,,
2024,6925,34142,,
2032,6945,34206,,
2035,6955,34286,,
2038,6959,34338,,
2041,6962,34347,,
2042,6964,34357,,
2043,6965,34358,,
2044,6966,34360,,
2046,6978,34446,,
2048,6958,34473,,
2049,6986,34508,,
2052,6991,34572,,
2053,6971,34601,,
2054,7005,34626,,
2058,7039,34707,,
2059,7042,34737,,
