id,name,play_once
250,fist_ba_relaxed_idle,f
251,fist_ba_relaxed_idle_rand,f
252,fist_ba_relaxed_idle_rand,f
253,fist_em_bad,f
254,fist_em_happy,f
255,all_re_combat_stun_loop,f
262,all_re_combat_hit,f
263,all_co_sk_spell_launch_d,f
264,fist_ba_relaxed_idle,f
265,all_re_combat_struggle,f
266,all_re_combat_stun_loop,f
267,dead_01,f
268,fist_ba_relaxed_idle,f
277,fist_ba_relaxed_idle,f
278,fist_ba_relaxed_idle,f
279,fist_ba_relaxed_idle,f
280,fist_ba_relaxed_idle,f
281,fist_em_hungry,f
282,fist_em_happy,f
283,fist_em_sick,f
301,opened,t
302,open,t
303,open,t
304,opened,t
305,all_co_sk_spell_launch_d,t
306,open,t
307,opened,t
308,close,t
309,default,t
310,default,t
311,all_co_sk_spell_launch_d,t
312,onehand_ba_relaxed_idle,t
313,default,t
315,open,t
316,opened,t
317,close,t
318,open,t
319,default,f
320,opened,f
321,close,t
322,fist_ba_relaxed_idle,f
323,fist_ba_combat_idle,f
324,fist_ba_relaxed_idle_rand,f
325,start,t
326,opened,t
327,opened,t
328,opened,t
329,close,t
330,opened,t
331,open,t
332,close,t
333,null,t
334,all_co_sk_spell_launch_d,t
335,opened,t
336,close,t
337,default,t
338,fist_ba_relaxed_idle_rand,f
339,default,t
340,opened,t
342,open,t
343,default,t
345,close,t
347,all_co_sk_spell_launch_d,t
348,fist_ba_relaxed_idle,t
349,fist_ba_combat_idle,f
353,default,f
354,open,t
355,opened,f
356,close,t
357,fist_ba_relaxed_idle,f
358,open,t
359,closed,t
360,open,t
361,closed,t
362,open,t
363,opened,t
364,close,t
365,open,t
366,opened,t
367,close,t
368,folded,f
369,spread,t
370,spreaded,f
371,fold,t
372,folded,f
373,spread,t
374,spreaded,f
375,fold,t
376,folded,f
377,spread,t
378,spreaded,f
379,fold,t
380,on,t
381,open,t
382,play,f
383,off,t
384,off,t
385,on,t
386,open,t
387,play,f
388,off,t
389,on,t
390,open,t
392,play,f
393,play,f
395,off,t
396,play,f
397,play,f
398,play,f
399,default,t
400,open,t
401,start,t
402,play,t
403,reload,t
404,stop,t
406,open,t
407,default,t
408,open,t
409,close,t
410,default,t
411,default,t
412,fist_ba_combat_idle,f
413,all_co_sk_spell_cast_d,f
414,fist_ba_combat_idle,f
415,fist_ba_combat_idle,f
416,open,t
417,opened,t
418,close,t
419,on,t
420,open,t
421,play,f
422,off,t
424,dead_02,f
425,open,t
428,opened,t
429,opened ,t
430,close,t
431,dead_02,f
441,all_re_combat_knockback,t
442,opened,t
443,opened,t
444,close,t
445,fist_em_happy,f
446,fist_ba_relaxed_idle_rand,f
447,fist_ba_relaxed_idle_rand,f
448,fist_em_bad,f
449,all_re_combat_stun_loop,f
450,fist_ba_relaxed_idle_rand,f
451,fist_ba_relaxed_idle,f
452,fist_ba_relaxed_idle,f
454,fist_ba_relaxed_idle_rand,f
455,fist_em_bad,f
456,fist_ba_relaxed_idle_rand,f
457,all_re_combat_stun_loop,f
458,fist_ba_relaxed_idle_rand,f
459,fist_em_happy,f
462,fist_ba_relaxed_idle,f
463,fist_ba_relaxed_idle,f
464,fist_ba_relaxed_idle,f
465,fist_ba_relaxed_idle_rand,f
466,fist_em_sick,f
467,fist_em_happy,f
468,fist_ba_relaxed_idle,f
469,fist_ba_relaxed_idle,f
470,fist_ba_relaxed_idle,f
471,fist_ba_relaxed_idle,f
472,fist_em_sick,f
473,fist_ba_relaxed_idle,f
474,fist_em_happy,f
475,fist_em_hungry,f
476,fist_em_hungry,f
477,fist_ba_relaxed_idle,f
478,fist_ba_relaxed_idle,f
479,fist_ba_relaxed_idle,f
480,fist_ba_relaxed_idle,f
481,fist_ba_relaxed_idle,f
482,fist_ba_relaxed_idle,f
483,fist_ba_relaxed_idle,f
484,fist_ba_relaxed_idle,f
485,fist_em_hungry,f
486,fist_em_sick,f
487,fist_em_happy,f
488,fist_ba_relaxed_idle,f
489,fist_ba_relaxed_idle,f
490,fist_ba_relaxed_idle,f
491,fist_ba_relaxed_idle_rand,f
492,fist_ba_relaxed_idle_rand,f
493,fist_em_happy,f
494,all_re_combat_stun_loop,f
495,fist_em_bad,f
496,fist_ba_relaxed_idle_rand,f
497,fist_ac_feeding,f
498,fist_ba_relaxed_idle,f
499,fist_ba_relaxed_idle_rand,f
501,fist_ba_relaxed_idle,f
502,fist_ba_relaxed_idle,f
503,fist_ba_relaxed_idle_rand,f
504,fist_em_bad,f
505,all_re_combat_stun_loop,f
506,fist_ba_relaxed_idle_rand,f
507,fist_em_happy,f
508,fist_ba_relaxed_idle_rand,f
509,dead_02,f
510,fist_ba_relaxed_idle_rand,f
511,fist_ba_relaxed_idle,f
512,fist_ba_relaxed_idle,f
514,fist_ac_feeding,f
515,fist_ba_relaxed_idle,f
516,fist_ba_relaxed_idle_rand,f
517,fist_ba_relaxed_idle,f
519,fist_ba_relaxed_idle,f
521,default,t
523,fist_ba_relaxed_idle,f
525,open,t
526,opened,t
528,close,t
529,default,t
530,open,t
531,opened,t
532,open,t
533,opened,t
534,default,t
535,open,t
536,opened,t
538,closed,t
539,close,t
540,closed,t
543,default,t
544,default,t
545,uped,t
546,down,t
547,default,t
548,up,t
549,default,t
550,default,t
551,default,t
552,default,t
556,open,t
557,opened,t
559,close,t
560,default,f
561,open,t
562,opened,f
563,close,t
565,open,t
566,opened,t
567,close,t
568,default,t
569,open,t
570,open,t
571,opened,f
572,opened,f
573,close,t
574,close,t
575,open,t
576,open,t
577,open,t
578,opened,f
579,opened,f
580,opened,f
581,close,t
582,close,t
583,close,t
584,open,t
585,opened,t
586,close,t
587,default,t
588,default,t
589,start,t
590,play,t
591,reload,t
592,default,t
593,start,t
594,play,t
595,reload,t
596,fist_ba_relaxed_idle,f
597,open,t
598,closed,t
599,open,t
600,open,t
601,open,t
602,opened,f
603,opened,f
604,opened,f
605,close,t
606,close,t
607,close,t
608,fist_ba_relaxed_idle,f
609,fist_em_bad,t
610,fist_em_happy,t
611,fist_em_hungry,t
612,open,t
613,opened,t
614,close,t
615,fist_ba_relaxed_idle,f
616,fist_em_bad,t
617,fist_em_happy,t
618,fist_em_hungry,t
619,name: fist_ba_relaxed_idle,f
620,fist_ba_relaxed_idle,f
621,fist_em_hungry,f
622,dead_01,t
623,fist_em_happy,f
624,fist_ac_feeding,f
625,fist_ba_relaxed_idle,f
626,fist_em_dance,f
627,fist_em_hungry,f
628,fist_ac_feeding,f
629,fist_ac_feeding,f
630,fist_ac_feeding,f
631,fist_ba_relaxed_idle,f
632,fist_ba_relaxed_idle,f
633,fist_ba_relaxed_idle,f
634,dead_01,t
635,fist_em_hungry,f
636,fist_ac_feeding,f
637,fist_ac_feeding,f
638,fist_em_dance,f
639,fist_ba_relaxed_idle,f
640,fist_em_hungry,f
641,fist_ac_feeding,f
642,fist_ac_feeding,f
643,fist_em_happy,f
644,dead_01,t
645,fist_ba_relaxed_idle,f
646,fist_em_hungry,f
647,fist_ac_feeding,f
648,fist_em_happy,f
649,fist_ba_relaxed_idle,f
650,fist_em_hungry,f
651,fist_ac_feeding,f
652,fist_em_happy,f
653,fist_ba_relaxed_idle,f
654,fist_ba_relaxed_idle,f
655,fist_em_dance,f
656,fist_em_happy,f
657,default,f
658,open,t
659,opend,t
663,fist_ba_relaxed_idle,f
665,default,t
667,default,f
668,default,f
669,default,f
670,default,f
671,default,f
672,default,f
673,open,t
674,open,t
675,open,t
676,open,t
677,open,t
678,open,t
679,opened,f
680,opened,f
681,opened,f
682,opened,f
683,opened,f
684,opened,f
685,close,t
686,close,t
687,close,t
688,close,t
689,close,t
690,close,t
691,stopsail,f
692,fold,t
693,folded,f
694,spread,t
695,stopsail,f
696,fold,t
697,folded,f
698,spread,t
699,fist_ba_relaxed_idle,f
700,fist_ac_feeding,f
701,fist_em_happy,f
702,fist_ba_relaxed_idle,f
703,fist_ac_feeding,f
704,fist_em_happy,f
705,fist_ba_relaxed_idle,f
706,fist_ba_relaxed_idle,f
707,fist_em_dance,f
708,fist_ba_relaxed_idle,f
709,dead_01,t
710,fist_em_happy,f
711,fist_em_hungry,f
712,fist_em_hungry,f
713,fist_ba_relaxed_idle,f
714,fist_em_hungry,f
715,fist_ac_feeding,f
716,fist_em_happy,f
717,fist_ba_relaxed_idle,f
718,fist_em_hungry,f
719,fist_ac_feeding,f
720,fist_em_happy,f
721,fist_ba_relaxed_idle,f
722,fist_ba_relaxed_idle,f
723,fist_em_dance,f
724,fist_em_happy,f
725,fist_ba_relaxed_idle,f
726,dead_01,t
727,open,t
728,opened,t
729,close,t
730,fist_ba_relaxed_idle,f
731,fist_ba_relaxed_idle,f
732,fist_ba_relaxed_idle,f
733,fist_ba_relaxed_idle,f
734,fist_ba_relaxed_idle,f
735,fist_ba_relaxed_idle,f
736,fist_em_hungry,f
737,fist_em_hungry,f
738,fist_ac_feeding,f
739,fist_ac_feeding,f
740,fist_em_happy,f
741,fist_em_happy,f
742,fist_em_happy,f
743,dead_01,t
744,fist_ba_relaxed_idle,f
745,fist_ba_relaxed_idle,f
746,fist_ba_relaxed_idle,f
747,fist_ba_relaxed_idle,f
748,fist_ba_relaxed_idle,f
749,fist_em_hungry,f
750,fist_em_hungry,f
751,fist_ac_feeding,f
752,fist_ac_feeding,f
753,fist_em_happy,f
754,fist_em_happy,f
755,fist_ba_relaxed_idle,f
756,fist_em_dance,f
757,dead_01,f
758,fist_em_happy,f
759,fist_ba_relaxed_idle,f
760,fist_ba_relaxed_idle,f
761,fist_ba_relaxed_idle,f
762,fist_ba_relaxed_idle,f
763,fist_ba_relaxed_idle,f
764,fist_em_hungry,f
765,fist_ac_feeding,f
766,fist_em_happy,f
767,fist_ba_relaxed_idle,f
768,fist_em_hungry,f
769,fist_ac_feeding,f
770,fist_em_happy,f
771,fist_ba_relaxed_idle,f
772,fist_ba_relaxed_idle,f
773,fist_em_dance,f
774,fist_em_happy,f
775,fist_ba_relaxed_idle,f
776,dead_01,t
777,fist_ba_relaxed_idle,f
778,fist_em_hungry,f
779,fist_ac_feeding,f
780,fist_em_happy,f
781,fist_ba_relaxed_idle,f
782,fist_em_hungry,f
783,fist_ac_feeding,f
784,fist_em_happy,f
785,fist_ba_relaxed_idle,f
786,fist_ba_relaxed_idle,f
787,fist_em_dance,f
788,fist_em_happy,f
789,fist_ba_relaxed_idle,f
790,fist_ba_relaxed_idle,f
791,dead_01,t
792,fist_ba_relaxed_idle,f
793,fist_em_hungry,f
794,fist_ac_feeding,f
795,fist_em_happy,f
796,fist_ba_relaxed_idle,f
797,fist_em_hungry,f
798,fist_ac_feeding,f
799,fist_em_happy,f
800,fist_ba_relaxed_idle,f
801,fist_ba_relaxed_idle,f
802,fist_em_dance,f
803,fist_em_happy,f
804,fist_ba_relaxed_idle,f
805,dead_01,t
806,fist_ba_relaxed_idle,f
807,fist_em_hungry,f
808,fist_ac_feeding,f
809,fist_em_happy,f
810,fist_ba_relaxed_idle,f
811,fist_ac_feeding,f
812,fist_em_hungry,f
813,fist_em_happy,f
814,fist_ba_relaxed_idle,f
815,fist_ba_relaxed_idle,f
816,fist_em_dance,f
817,fist_em_happy,f
818,fist_ba_relaxed_idle,f
819,dead_01,t
820,fist_ba_relaxed_idle,f
821,fist_em_hungry,f
822,fist_ac_feeding,f
823,fist_em_happy,f
824,fist_ba_relaxed_idle,f
825,fist_em_hungry,f
826,fist_ac_feeding,f
827,fist_em_happy,f
828,fist_ba_relaxed_idle,f
829,fist_ba_relaxed_idle,f
830,fist_em_dance,f
831,fist_em_happy,f
832,fist_ba_relaxed_idle,f
833,dead_01,t
834,fist_ba_relaxed_idle,f
835,fist_em_hungry,f
836,fist_ac_feeding,f
837,fist_em_happy,f
838,fist_ba_relaxed_idle,f
839,fist_em_hungry,f
840,fist_ac_feeding,f
841,fist_em_happy,f
842,fist_ba_relaxed_idle,f
843,fist_ba_relaxed_idle,f
844,fist_em_dance,f
845,fist_em_happy,f
846,fist_ba_relaxed_idle,f
847,dead_01,t
848,fist_ba_relaxed_idle,f
849,fist_em_hungry,f
850,fist_ac_feeding,f
851,fist_em_happy,f
852,fist_ba_relaxed_idle,f
853,fist_em_hungry,f
854,fist_ac_feeding,f
855,fist_em_happy,f
856,fist_ba_relaxed_idle,f
857,fist_ba_relaxed_idle,f
858,fist_em_dance,f
859,fist_em_happy,f
860,fist_ba_relaxed_idle,f
861,dead_01,f
862,fist_ba_relaxed_idle,f
863,fist_em_hungry,f
864,fist_ac_feeding,f
865,fist_em_happy,f
866,fist_ba_relaxed_idle,f
867,fist_em_hungry,f
868,fist_ac_feeding,f
869,fist_em_happy,f
870,fist_ba_relaxed_idle,f
871,fist_ba_relaxed_idle,f
872,fist_em_dance,f
873,fist_em_happy,f
874,fist_ba_relaxed_idle,f
875,dead_01,t
876,fist_ba_relaxed_idle,f
877,fist_em_hungry,f
878,fist_ac_feeding,f
879,fist_em_happy,f
880,fist_ba_relaxed_idle,f
881,fist_em_hungry,f
882,fist_ac_feeding,f
883,fist_em_happy,f
884,fist_ba_relaxed_idle,f
885,fist_ba_relaxed_idle,f
886,fist_em_dance,f
887,fist_em_happy,f
888,fist_ba_relaxed_idle,f
889,dead_01,t
890,default,f
891,default,f
892,open,t
893,open,t
894,opened,f
895,opened,f
896,close,t
897,close,t
898,fist_ba_relaxed_idle,f
899,fist_ba_relaxed_idle,f
900,fist_em_hungry,f
901,fist_ac_feeding,f
902,fist_em_happy,f
903,fist_ba_relaxed_idle,f
904,fist_em_hungry,f
905,fist_ac_feeding,f
906,fist_em_happy,f
907,fist_ba_relaxed_idle,f
908,fist_ba_relaxed_idle,f
909,fist_em_dance,f
910,fist_em_happy,f
911,fist_ba_relaxed_idle,f
912,dead_01,t
913,fist_ba_relaxed_idle,f
914,fist_em_hungry,f
915,fist_ac_feeding,f
916,fist_em_happy,f
917,fist_ba_relaxed_idle,f
918,fist_em_hungry,f
919,fist_ac_feeding,f
920,fist_em_happy,f
921,fist_ba_relaxed_idle,f
922,fist_ba_relaxed_idle,f
923,fist_em_dance,f
924,fist_em_happy,f
925,fist_ba_relaxed_idle,f
926,dead_01,t
928,fist_em_hungry,f
929,fist_ac_feeding,f
930,fist_em_happy,f
931,fist_ba_relaxed_idle,f
932,fist_em_hungry,f
933,fist_ac_feeding,f
934,fist_em_happy,f
935,fist_ba_relaxed_idle,f
936,fist_ba_relaxed_idle,f
937,fist_em_dance,f
938,fist_em_happy,f
939,fist_ba_relaxed_idle,f
940,dead_01,t
941,fist_ba_relaxed_idle,f
942,fist_ba_relaxed_idle,f
944,opened,t
946,open,t
947,close,t
949,default,f
950,open,t
951,opend,t
952,rotate,f
953,galleon_telescope_rotate,f
954,fist_ba_relaxed_idle,f
955,fist_em_hungry,f
956,fist_ac_feeding,f
957,fist_em_happy,f
958,fist_ba_relaxed_idle,f
959,fist_em_hungry,f
960,fist_ac_feeding,f
961,fist_em_happy,f
962,fist_ba_relaxed_idle,f
963,fist_ba_relaxed_idle,f
964,fist_em_dance,f
965,fist_em_happy,f
966,dead_01,t
967,fist_ba_relaxed_idle,f
968,fist_em_hungry,f
969,fist_ac_feeding,f
970,fist_em_happy,f
971,fist_ba_relaxed_idle,f
972,fist_em_hungry,f
973,fist_ac_feeding,f
974,fist_em_happy,f
975,fist_ba_relaxed_idle,f
976,fist_ba_relaxed_idle,f
977,fist_em_dance,f
978,fist_em_happy,f
979,fist_ba_relaxed_idle,f
980,dead_01,t
981,fist_ba_relaxed_idle,f
982,fist_em_hungry,f
983,fist_ac_feeding,f
984,fist_em_happy,f
985,fist_ba_relaxed_idle,f
986,fist_em_hungry,f
987,fist_ac_feeding,f
988,fist_em_happy,f
989,fist_ba_relaxed_idle,f
990,fist_ba_relaxed_idle,f
991,fist_em_dance,f
992,fist_em_happy,f
993,fist_ba_relaxed_idle,f
994,dead_01,t
995,fist_ba_relaxed_idle,f
996,fist_em_hungry,f
997,fist_ac_feeding,f
998,fist_em_happy,f
999,fist_ba_relaxed_idle,f
1000,fist_em_hungry,f
1001,fist_ac_feeding,f
1002,fist_em_happy,f
1003,fist_ba_relaxed_idle,f
1004,fist_ba_relaxed_idle,f
1005,fist_em_happy,f
1006,fist_ba_relaxed_idle,f
1007,dead_01,t
1008,fist_ba_relaxed_idle,f
1009,galleon_telescope_rotate,f
1010,fist_ba_relaxed_idle,f
1011,fist_ba_relaxed_idle,f
1012,fist_ba_relaxed_idle,f
1014,fist_ba_relaxed_idle,f
1015,fist_ba_relaxed_idle,f
1016,fist_ba_relaxed_idle,f
1017,fist_ba_relaxed_idle,f
1018,galleon_telescope_rotate,f
1019,fist_ba_relaxed_idle,f
1021,default,t
1022,open,t
1023,opened,t
1024,opened,t
1025,default,t
1026,fist_ba_relaxed_idle,f
1027,fist_em_happy,f
1028,fist_em_hungry,f
1029, fist_ba_relaxed_idle,f
1030,fist_ba_relaxed_idle,f
1031,fist_em_hungry,f
1032,fist_em_bad,t
1033,fist_em_happy,f
1034,fist_ba_relaxed_idle,f
1035,fist_em_hungry,f
1036,fist_ba_relaxed_idle,f
1037,fist_em_hungry,f
1038,fist_ac_feeding,f
1039,fist_em_happy,f
1040,fist_ba_relaxed_idle,f
1041,fist_ba_relaxed_idle,f
1042,fist_em_dance,f
1043,fist_em_happy,f
1044,fist_ba_relaxed_idle,f
1046,dead_01,t
1047,fist_em_hungry,f
1048,fist_ac_feeding,f
1049,fist_em_happy,f
1050,fist_ba_relaxed_idle,f
1051,fist_ba_relaxed_idle,f
1052,fist_ba_relaxed_idle,f
1053,fist_em_hungry,f
1054,fist_ac_feeding,f
1055,fist_em_happy,f
1056,fist_ba_relaxed_idle,f
1057,fist_ac_feeding,f
1058,fist_ba_relaxed_idle,f
1059,fist_em_bad,t
1060,fist_em_happy,f
1061,fist_ba_relaxed_idle,f
1062,fist_em_dance,f
1063,fist_em_happy,f
1065,fist_ba_relaxed_idle,f
1066,dead_01,t
1067,dead_01,t
1068,fist_ba_relaxed_idle,f
1069,fist_em_hungry,f
1070,fist_ac_feeding,f
1071,fist_em_happy,f
1072,fist_ba_relaxed_idle,f
1073,fist_em_hungry,f
1074,fist_ba_relaxed_idle,f
1075,fist_em_bad,f
1076,fist_em_happy,f
1077,fist_ba_relaxed_idle,f
1078,fist_ba_relaxed_idle,f
1079,fist_em_dance,f
1080,fist_em_happy,f
1081,fist_ba_relaxed_idle,f
1082,dead_01,f
1083,dead_01,f
1084,fist_ba_relaxed_idle,f
1085,fist_em_hungry,f
1086,fist_ac_feeding,f
1087,fist_em_happy,f
1088,fist_ba_relaxed_idle,f
1089,fist_em_hungry,f
1090,fist_ba_relaxed_idle,f
1091,fist_em_bad,f
1092,fist_em_happy,f
1093,fist_ba_relaxed_idle,f
1094,fist_ba_relaxed_idle,f
1095,fist_em_dance,f
1096,fist_em_happy,f
1097,fist_ba_relaxed_idle,f
1098,dead_01,f
1099,dead_01,f
1100,fist_ba_relaxed_idle,f
1101,fist_em_hungry,f
1102,fist_ac_feeding,f
1103,fist_em_happy,f
1104,fist_ba_relaxed_idle,f
1105,fist_em_hungry,f
1106,fist_ba_relaxed_idle,f
1107,fist_em_bad,f
1108,fist_em_happy,f
1109,fist_ba_relaxed_idle,f
1110,fist_ba_relaxed_idle,f
1111,fist_em_dance,f
1112,fist_em_happy,f
1113,fist_ba_relaxed_idle,f
1114,dead_01,f
1115,dead_01,f
1116,dead_01,t
1117,dead_01,t
1118,fist_ba_relaxed_idle,f
1119,fist_em_hungry,f
1120,fist_ac_feeding,f
1121,fist_em_happy,f
1122,fist_ba_relaxed_idle,f
1123,fist_em_hungry,f
1124,fist_ba_relaxed_idle,f
1125,fist_em_bad,f
1126,fist_em_happy,f
1128,fist_ba_relaxed_idle,f
1129,fist_ba_relaxed_idle,f
1130,fist_em_dance,f
1131,fist_em_happy,f
1132,fist_ba_relaxed_idle,f
1133,dead_01,t
1134,dead_01,t
1135,fist_ba_relaxed_idle,f
1136,fist_em_hungry,f
1137,fist_ac_feeding,f
1138,fist_em_happy,f
1139,fist_ba_relaxed_idle,f
1140,fist_em_hungry,f
1141,fist_ba_relaxed_idle,f
1142,fist_em_bad,t
1143,fist_em_happy,f
1144,fist_ba_relaxed_idle,f
1145,fist_ba_relaxed_idle,f
1146,fist_em_dance,f
1147,fist_em_happy,f
1148,fist_ba_relaxed_idle,f
1149,fist_ba_relaxed_idle,f
1150,fist_em_hungry,f
1151,fist_ac_feeding,f
1152,fist_em_happy,f
1153,fist_ba_relaxed_idle,f
1154,fist_em_hungry,f
1155,fist_ba_relaxed_idle,f
1156,fist_em_bad,f
1157,fist_em_happy,f
1158,fist_ba_relaxed_idle,f
1159,fist_ba_relaxed_idle,f
1160,fist_em_dance,f
1161,fist_em_happy,f
1162,fist_ba_relaxed_idle,f
1163,dead_01,t
1164,dead_01,t
1165,fist_ba_relaxed_idle,f
1166,fist_em_hungry,f
1167,fist_ac_feeding,f
1168,fist_em_happy,f
1169,fist_ba_relaxed_idle,f
1170,fist_em_hungry,f
1171,fist_ba_relaxed_idle,f
1172,fist_em_bad,f
1173,fist_em_happy,f
1174,fist_ba_relaxed_idle,f
1175,fist_ba_relaxed_idle,f
1176,fist_em_dance,f
1177,fist_em_happy,f
1178,fist_ba_relaxed_idle,f
1179,dead_01,t
1180,dead_01,t
1181,fist_ba_relaxed_idle,f
1182,fist_em_hungry,f
1183,fist_ac_feeding,f
1184,fist_em_happy,f
1185,fist_ba_relaxed_idle,f
1186,fist_em_hungry,f
1187,fist_ba_relaxed_idle,f
1188,fist_em_bad,f
1189,fist_em_happy,f
1190,fist_ba_relaxed_idle,f
1191,fist_ba_relaxed_idle,f
1192,fist_em_dance,f
1193,fist_em_happy,f
1194,fist_ba_relaxed_idle,f
1195,dead_01,t
1196,dead_01,t
1197,fist_ba_relaxed_idle,f
1198,fist_em_hungry,f
1199,fist_ac_feeding,f
1200,fist_em_happy,f
1201,fist_ba_relaxed_idle,f
1202,fist_em_hungry,f
1203,fist_ba_relaxed_idle,f
1204,fist_em_bad,f
1205,fist_em_happy,f
1206,fist_ba_relaxed_idle,f
1207,fist_ba_relaxed_idle,f
1208,fist_em_dance,f
1209,fist_em_happy,f
1210,fist_ba_relaxed_idle,f
1211,dead_01,t
1212,dead_01,t
1213,fist_ba_relaxed_idle,f
1214,fist_em_hungry,f
1215,fist_ac_feeding,f
1216,fist_em_happy,f
1217,fist_ba_relaxed_idle,f
1218,fist_em_hungry,f
1219,fist_ba_relaxed_idle,f
1220,fist_em_bad,t
1221,fist_em_happy,f
1222,fist_ba_relaxed_idle,f
1223,fist_ba_relaxed_idle,f
1224,fist_em_dance,f
1225,fist_em_happy,f
1226,fist_ba_relaxed_idle,f
1227,dead_01,t
1228,dead_01,t
1229,fist_ba_relaxed_idle,f
1230,fist_em_hungry,f
1231,fist_ac_feeding,f
1232,fist_em_happy,f
1233,fist_ba_relaxed_idle,f
1234,fist_em_hungry,f
1235,fist_ba_relaxed_idle,f
1236,fist_em_bad,f
1237,fist_em_happy,f
1238,fist_ba_relaxed_idle,f
1239,fist_ba_relaxed_idle,f
1240,fist_em_dance,f
1241,fist_em_happy,f
1242,fist_ba_relaxed_idle,f
1243,dead_01,t
1244,dead_01,t
1245,dead_01,t
1246,dead_01,t
1247,fist_ba_relaxed_idle,f
1248,fist_ba_relaxed_idle,f
1249,fist_em_hungry,f
1250,fist_ac_feeding,f
1251,fist_em_happy,f
1252,fist_ba_relaxed_idle,f
1253,fist_em_hungry,f
1254,fist_ba_relaxed_idle,f
1255,fist_em_bad,f
1256,fist_em_happy,f
1257,fist_ba_relaxed_idle,f
1258,fist_ba_relaxed_idle,f
1259,fist_em_dance,f
1260,fist_em_happy,f
1261,fist_ba_relaxed_idle,f
1262,fist_em_hungry,f
1263,fist_ac_feeding,f
1264,fist_em_happy,f
1265,fist_ba_relaxed_idle,f
1266,fist_em_hungry,f
1267,fist_ba_relaxed_idle,f
1268,close,t
1269,fist_em_bad,f
1270,fist_em_happy,f
1271,fist_ba_relaxed_idle,f
1272,fist_ba_relaxed_idle,f
1273,fist_em_dance,f
1274,fist_em_happy,f
1275,fist_ba_relaxed_idle,f
1276,dead_01,t
1277,dead_01,t
1278,fist_ba_relaxed_idle,f
1279,fist_em_hungry,f
1280,fist_ac_feeding,f
1281,fist_em_happy,f
1282,fist_ba_relaxed_idle,f
1283,fist_em_hungry,f
1284,fist_ba_relaxed_idle,f
1285,fist_em_bad,t
1286,fist_em_happy,f
1287,fist_ba_relaxed_idle,f
1288,fist_ba_relaxed_idle,f
