id,name,kind_id,quest_category_id
71,푸른 안개 숲 무덤,2,4
72,가라앉은만 무덤,2,4
73,파수 마을 무덤,2,4
74,초승달 왕좌 무덤,2,4
75,백월만 무덤,2,4
76,우윳빛강 마을 무덤,2,4
77,일벌백계의 폐허 무덤,2,4
78,눈사자 훈련소 무덤,2,22
79,탄생의 절벽 무덤,2,22
80,큰매바위 무덤,2,22
81,잿빛안개 부락 무덤,2,22
82,옥시언 상단 무덤,2,22
83,매발톱 기슭 무덤,2,22
84,회색 병풍 무덤,2,22
85,흰구름결 부락 무덤,2,22
86,바이암 소굴 무덤,2,22
87,무덤:릴리엇 바람그늘마을,2,24
88,무덤:릴리엇 갈라진대지,2,24
89,무덤:릴리엇 가리여울마을,2,24
90,무덤:릴리엇 동론반광산 앞,2,24
91,무덤:릴리엇 서론반광산 앞,2,24
92,무덤:그위오니드 하르파,2,9
101,무덤_동틀녘 반도 십자로,2,14
102,무덤_햇무리 언덕,2,14
103,무덤_마하데비약초,2,17
105,무덤 : 하얀 숲 나루터,2,6
106,이니스 섬 무덤,2,4
107,별똥비 마을,1,20
108,안델프,1,20
109,검독수리 마루 마을,1,20
110,맨발고개 역,1,20
111,순록드워프 야영지,1,20
112,무덤 : 별똥비 마을,2,20
113,무덤 : 안델프,2,20
114,무덤 : 검독수리 마루 마을,2,20
115,무덤 : 맨발고개 역,2,20
116,무덤 : 순록드워프 야영지,2,20
117,비파 항구,1,16
118,무덤 : 신기루 언덕,2,35
119,무덤 : 루비 광산촌,2,35
120,무덤 : 염원의 강,2,35
121,무덤 : 카어 노르드,2,35
122,무덤 : 진혼 곷,2,35
123,무덤 : 고인돌 평야,2,35
124,카어 노르드,1,35
125,루비 광산촌,1,35
126,해오름 마을,1,33
127,해질녘 마을,1,33
128,흰너울 해변 무덤,2,33
129,동부 황금 평야 무덤,2,33
130,서부 황금 평야 무덤,2,33
131,용사의 벌판 무덤,2,33
134,시차일드 부두,1,13
135,성지기 언덕 무덤,2,13
137,도망자들의 길 무덤,2,13
138,보름 분화구 무덤,2,13
139,갯바람 해안 무덤,2,13
141,불탄성 무덤,2,13
142,무덤: 자운의 농장,2,16
143,무덤: 비파노래 언덕,2,16
144,무덤: 술취한 논,2,16
145,무덤: 뱀밭,2,16
146,무덤: 눈물 젖은 언덕,2,16
147,무덤: 재회의 사당,2,16
148,무덤: 횃불만,2,16
149,무덤: 비파 항구,2,16
150,술향기 마을,1,16
151,징병소,1,16
152,숲의 수호자 부락,1,26
153,사냥꾼 마을,1,26
154,수호자 야영지,1,26
157,무덤 : 수호자의 숲 부락,2,26
158,무덤 : 안식의 숲 끝자락,2,26
159,무덤 : 수호자 야영지 근교,2,26
161,리턴드 야영지,1,26
162,세바스티안 백작의 휴양지,1,26
163,하토라,1,23
164,마른 볕 쉼터,1,23
165,정화의 웅덩이,1,23
166,너른 소매 마을,1,23
167,핫산의 야영지,1,23
168,무덤: 첫번째 무덤,2,23
169,무덤: 화강암 채석장,2,23
170,무덤: 인적없는 모래언덕,2,23
171,무덤: 마른 들판,2,23
172,무덤: 정화의 웅덩이,2,23
173,무덤: 뱀의 틈,2,23
174,무덤: 마른 길목,2,23
175,무덤: 뱀족 바이암 소굴,2,23
182,하리하란 시작지점,1,23
183,하리하란 시작지점2,2,23
184,페레시작,1,22
185,페레시작2,2,22
186,그위오니드 시작지점,1,9
187,그위오니드 시작지점/무덤,2,9
190,무덤 : 드워프 시작지점,2,20
191,드워프 시작지점,1,20
192,흙먼지 구릉 용병단,2,15
193,안식의 숲,2,15
194,오색 들판,2,15
195,악마전쟁의 흉터 앞뜰,2,15
196,악마전쟁의 흉터 뒷뜰,2,15
198,숲의 인도자,1,9
200,여왕의약초농장,1,17
201,마하데비 항구,1,17
202,백월만_피묻은속야영지근처,2,4
203,불탄성 감시 야영지 ,1,13
204,그믐녘 마을,1,15
205,검투 경기장,1,15
206,이즈나,1,15
207,이즈나 외곽,2,15
208,보름 거주지,1,15
211,자유도 무덤,2,72
214,무덤:그위오니드_영혼의안식처,2,9
215,무덤:릴리엇구릉지 자야상단,2,24
217,살피마리 무덤,2,74
219,누이마리 무덤,2,73
221,무덤 여왕의언덕,2,14
224,해적섬 귀환지,1,72
226,해적섬 무덤,2,72
235,수행자의 마을,1,35
236,서녁마리 무덤,2,75
239,안식의 땅 무덤,2,76
242,무덤: 금지된 해안,2,14
243,무덤 : 버려진 해적섬,2,35
244,무덤:파도가부서지는바위섬,2,71
247,무덤 : 황금 혀 항구,2,36
248,무덤 : 푸른 모래톱 휴양지,2,36
249,무덤 : 녹색 늑대 마을,2,36
250,녹색 늑대 마을,1,36
251,푸른 모래톱 휴양지,1,36
252,황금 혀 항구,1,36
253,무법 마을,1,54
254,수호의 야영지,1,54
255,트리스테 극단 야영지,1,54
256,무덤: 악명의 골짜기,2,54
258,무덤: 저주받은 습지,2,54
260,무덤: 무자비한 수렁,2,54
261,무덤: 황금바다 해적 은신처,2,54
262,무덤: 고대 신앙자의 성,2,54
263,모링가 나무숲 부활지,2,53
264,갈대 숲 부활지,2,53
265,바오밥 나무길 부활지,2,53
266,마하데비 양조장,2,17
267,마하데비 여행자의 쉼터,2,17
268,대초원 부활지,2,53
269,마하데비_채석장,2,17
270,바람돌 유적 부활지,2,53
271,초원의 심장 부활지,2,53
272,눈사자 바위 야영지,1,53
273,붉은발톱 부락,1,53
274,불숨결 부락,1,53
275,푸른송곳니 부락,1,53
276,숨은 용의 협곡,2,59
277,테미캣 부락,1,59
278,테미의 흔적 무덤,2,59
279,하늘정원 마을,1,59
280,하늘 계단 농경지 무덤,2,59
281,저주받은 마을 무덤,2,59
282,비취 마을,1,59
283,베로에,1,59
284,베로에 무덤,2,59
285,비취계곡 무덤,2,59
289,로카_황혼마을,2,52
290,로카_물안개,2,52
291,로카_솔롱고스,2,52
292,로카_눈사자,2,52
293,로카_은거자,2,52
295,황혼노을부락,1,52
296,은거자 마을,1,52
297,물안개 마을,1,52
298,페레 정찰대 야영지,1,52
299,솔롱고스 야영지,1,52
300,석공마을,1,60
301,고고학자 마을,1,60
302,약초꾼 야영지,1,60
303,무덤:검은나무 장벽,2,60
305,무덤:폐허도시,2,60
306,무덤:하리하랄라야의 폐허,2,60
307,무덤:가루다서식지,2,60
308,무덤:옛처형터,2,60
310,고대의 숲 이니스테르 가는길,2,26
313,무덤 : 결투장,2,9
314,동틀녘 감시초소,2,14
316,가랑돌 평원 드워프 야영지,2,2
318,농가,1,33
319,양조장,1,33
320,말라붙은 저수지,2,68
321,용 가슴뼈,2,68
322,용의 심장,2,68
323,천둥소리 요새,2,68
324,붉은 대지,2,68
325,용 꼬리뼈,2,68
326,용 머리뼈,2,68
327,유리 해안,2,68
329,작은 보름분화구,2,13
330,하얀 숲 동부,2,6
331,파괴의 요람 무덤 부활,2,80
332,비취 마을 사냥터 무덤,2,59
333,말라붙은 저수지 야영지,1,68
334,메마른 섬,1,68
335,아이오나 마을,1,68
336,갈색비늘 에키혼 야영지,1,68
337,라비스 마을,1,68
338,뼈 울타리 야영지,1,68
339,뼈 웅덩이 야영지,1,68
340,붉은 흙 야영지,1,68
341,안식의 땅,1,76
342,누이안 시작지점,1,4
343,누이안 시작지점2,2,4
346,무지개 벌판 호박머리 텃밭,1,23
347,마하데비 호박머리 텃밭,1,17
348,그위오니드 숲 호박머리 텃밭,1,9
349,솔즈리드 호박머리 텃밭,1,4
350,태양의 들녘,2,91
351,심연의 입구,2,92
352,자유도 근해 누이아 거점,1,72
353,자유도 무덤 부활,2,72
354,자유도 근해 하리하라 거점,1,72
355,자유도 근해 해적 거점,1,72
356,버려진 훈련소,1,59
357,살피마리 거점,1,74
358,심연의 입구 거점,1,92
359,누이마리 귀환 구역,1,73
360,서녘마리 귀환 구역,1,75
361,태양의 들녘 귀환 구역,1,91
362,솔즈리드 반도 기간제 텃밭,1,4
363,그위오니드 숲 기간제 텃밭,1,9
364,매사냥 고원 기간제 텃밭,1,22
365,무지개 벌판 기간제 텃밭,1,23
