id,comment,sub_id,sub_type,dying_time,sound_material_id,big,target_decal_size,use_target_decal,use_target_silhouette,use_target_highlight,name,camera_distance,show_name_tag,name_tag_offset,sound_pack_id,despawn_doodad_on_collision,play_mount_animation
23,returned_female,14,ActorModel,0.0,10,f,0.0,t,t,f,returned_female,12.0,t,0.6,,f,f
24,warborn_male,15,ActorModel,0.0,10,f,0.0,t,t,f,warborn_male,12.0,t,0.6,,f,f
25,warborn_female,16,ActorModel,0.0,10,f,0.0,t,t,f,warborn_female,12.0,t,0.6,,f,f
26,colossus,17,ActorModel,0.0,10,f,0.0,t,t,f,colossus,12.0,t,0.0,,f,f
27,ogre,18,ActorModel,0.0,10,f,0.0,t,t,f,ogre,12.0,t,0.0,353,f,f
28,orc,19,ActorModel,0.0,10,f,0.0,t,t,f,orc,12.0,t,0.0,334,f,f
29,skeleton_c,20,ActorModel,0.0,14,f,0.0,t,t,f,skeleton_c,12.0,t,0.0,311,f,f
30,skeleton_p,21,ActorModel,0.0,14,f,0.0,t,t,f,skeleton_p,12.0,t,0.0,311,f,f
31,skeleton_r,22,ActorModel,0.0,14,f,0.0,t,t,f,skeleton_r,12.0,t,0.0,311,f,f
32,oak_tree_1,4,PrefabModel,0.0,7,f,0.0,t,t,f,oak_tree_1,12.0,t,0.0,,f,f
33,oak_tree_2,5,PrefabModel,0.0,7,f,0.0,t,t,f,oak_tree_2,12.0,t,0.0,,f,f
34,oak_tree_3,6,PrefabModel,0.0,7,f,0.0,t,t,f,oak_tree_3,12.0,t,0.0,,f,f
35,castle,7,PrefabModel,0.0,0,f,0.0,t,t,f,castle,12.0,t,0.0,,f,f
36,farmFieldTest1,8,PrefabModel,0.0,7,f,0.0,t,t,f,farmfieldtest1,12.0,t,0.0,,f,f
37,gnoll,23,ActorModel,0.0,10,f,0.0,t,t,f,gnoll,12.0,t,0.0,231,f,f
38,goblin,24,ActorModel,0.0,10,f,0.0,t,t,f,goblin,12.0,t,0.0,294,f,f
39,ogre_bulky,25,ActorModel,0.0,10,f,0.0,t,t,f,ogre_bulky,12.0,t,0.0,353,f,f
40,orc_flathead,26,ActorModel,0.0,10,f,0.0,t,t,f,orc_flathead,12.0,t,0.0,334,f,f
41,farmFieldTest2,9,PrefabModel,0.0,7,f,0.0,t,t,f,farmfieldtest2,12.0,t,0.0,,f,f
42,fir_tree_1,10,PrefabModel,0.0,7,f,0.0,t,t,f,fir_tree_1,12.0,t,0.0,,f,f
43,fir_tree_2,11,PrefabModel,0.0,7,f,0.0,t,t,f,fir_tree_2,12.0,t,0.0,,f,f
44,fir_tree_3,12,PrefabModel,0.0,7,f,0.0,t,t,f,fir_tree_3,12.0,t,0.0,,f,f
45,pine_tree_1,13,PrefabModel,0.0,7,f,0.0,t,t,f,pine_tree_1,12.0,t,0.0,,f,f
46,pine_tree_2,14,PrefabModel,0.0,7,f,0.0,t,t,f,pine_tree_2,12.0,t,0.0,,f,f
47,pine_tree_3,15,PrefabModel,0.0,7,f,0.0,t,t,f,pine_tree_3,12.0,t,0.0,,f,f
48,seafolk_female,27,ActorModel,0.0,10,f,0.0,t,t,f,seafolk_female,12.0,t,0.0,64,f,f
49,house_design_1 main,16,PrefabModel,10.0,7,t,0.0,t,t,f,house_design_1_main,12.0,t,0.0,,f,f
50,house_design_1 1,17,PrefabModel,10.0,7,t,0.0,t,t,f,house_design_1_1,12.0,t,0.0,,f,f
51,house_design_1 2,18,PrefabModel,10.0,7,t,0.0,t,t,f,house_design_1_2,12.0,t,0.0,,f,f
52,house_design_2 main,19,PrefabModel,10.0,7,t,0.0,t,t,f,house_design_2_main,12.0,t,0.0,,f,f
53,house_design_2 1,20,PrefabModel,10.0,7,t,0.0,t,t,f,house_design_2_1,12.0,t,0.0,,f,f
54,house_design_2 2,21,PrefabModel,10.0,7,t,0.0,t,t,f,house_design_2_2,12.0,t,0.0,,f,f
55,house_design_3 main,22,PrefabModel,10.0,7,t,0.0,t,t,f,house_design_3_main,12.0,t,0.0,,f,f
56,tower 1 main,22,PrefabModel,10.0,8,f,0.0,t,t,f,tower_1_main,12.0,t,0.0,,f,f
57,tower 1 door,23,PrefabModel,10.0,8,f,0.0,t,t,f,tower_1_door,12.0,t,0.0,,f,f
58,tower 2 main,24,PrefabModel,10.0,8,f,0.0,t,t,f,tower_2_main,12.0,t,0.0,,f,f
59,tower 2 door,25,PrefabModel,10.0,8,f,0.0,t,t,f,tower_2_door,12.0,t,0.0,,f,f
60,tower 3 main,26,PrefabModel,10.0,8,f,0.0,t,t,f,tower_3_main,12.0,t,0.0,,f,f
61,tower 3 door,27,PrefabModel,10.0,8,f,0.0,t,t,f,tower_3_door,12.0,t,0.0,,f,f
62,tower 4 main,28,PrefabModel,10.0,8,f,0.0,t,t,f,tower_4_main,12.0,t,0.0,,f,f
63,tower 4 door,29,PrefabModel,10.0,8,f,0.0,t,t,f,tower_4_door,12.0,t,0.0,,f,f
64,tower 5 main,30,PrefabModel,10.0,8,f,0.0,t,t,f,tower_5_main,12.0,t,0.0,,f,f
65,tower 5 door,31,PrefabModel,10.0,8,f,0.0,t,t,f,tower_5_door,12.0,t,0.0,,f,f
66,wall main,32,PrefabModel,10.0,8,f,0.0,t,t,f,wall_main,12.0,t,0.0,,f,f
67,wall_slope_1 main,33,PrefabModel,10.0,8,f,0.0,t,t,f,wall_slope_1_main,12.0,t,0.0,,f,f
68,wall_slope_1_m main,34,PrefabModel,10.0,8,f,0.0,t,t,f,wall_slope_1_m_main,12.0,t,0.0,,f,f
69,wall_slope_2 main,35,PrefabModel,10.0,8,f,0.0,t,t,f,wall_slope_2_main,12.0,t,0.0,,f,f
70,wall_slope_2_m main,36,PrefabModel,10.0,8,f,0.0,t,t,f,wall_slope_2_m_main,12.0,t,0.0,,f,f
71,wall_slope_3 main,37,PrefabModel,10.0,8,f,0.0,t,t,f,wall_slope_3_main,12.0,t,0.0,,f,f
72,wall_slope_3_m main,38,PrefabModel,10.0,8,f,0.0,t,t,f,wall_slope_3_m_main,12.0,t,0.0,,f,f
73,wall_m main,39,PrefabModel,10.0,8,f,0.0,t,t,f,wall_m_main,12.0,t,0.0,,f,f
74,wall_diagonal main,40,PrefabModel,10.0,8,f,0.0,t,t,f,wall_diagonal_main,12.0,t,0.0,,f,f
75,wall_diagonal_slope_1 main,41,PrefabModel,10.0,8,f,0.0,t,t,f,wall_diagonal_slope_1_main,12.0,t,0.0,,f,f
76,wall_diagonal_slope_1_m main,42,PrefabModel,10.0,8,f,0.0,t,t,f,wall_diagonal_slope_1_m_main,12.0,t,0.0,,f,f
77,wall_diagonal_slope_2 main,43,PrefabModel,10.0,8,f,0.0,t,t,f,wall_diagonal_slope_2_main,12.0,t,0.0,,f,f
78,wall_diagonal_slope_2_m main,44,PrefabModel,10.0,8,f,0.0,t,t,f,wall_diagonal_slope_2_m_main,12.0,t,0.0,,f,f
79,wall_diagonal_slope_3 main,45,PrefabModel,10.0,8,f,0.0,t,t,f,wall_diagonal_slope_3_main,12.0,t,0.0,,f,f
80,wall_diagonal_slope_3_m main,46,PrefabModel,10.0,8,f,0.0,t,t,f,wall_diagonal_slope_3_m_main,12.0,t,0.0,,f,f
81,wall_diagonal_m main,47,PrefabModel,10.0,8,f,0.0,t,t,f,wall_diagonal_m_main,12.0,t,0.0,,f,f
82,wall gap main,48,PrefabModel,10.0,8,f,0.0,t,t,f,wall_gap_main,12.0,t,0.0,,f,f
83,stair main,49,PrefabModel,10.0,8,f,0.0,t,t,f,stair_main,12.0,t,0.0,,f,f
84,stair_m main,50,PrefabModel,10.0,8,f,0.0,t,t,f,stair_m_main,12.0,t,0.0,,f,f
85,gate main,51,PrefabModel,10.0,0,f,0.0,t,t,f,gate_main,12.0,t,0.0,,f,f
86,gate door,52,PrefabModel,10.0,0,f,0.0,t,t,f,gate_door,12.0,t,0.0,,f,f
87,gate_diagonal main,53,PrefabModel,10.0,0,f,0.0,t,t,f,gate_diagonal_main,12.0,t,0.0,,f,f
88,stronghold main,54,PrefabModel,10.0,0,f,0.0,t,t,f,stronghold_main,12.0,t,0.0,,f,f
89,stronghold door,55,PrefabModel,10.0,0,f,0.0,t,t,f,stronghold_door,12.0,t,0.0,,f,f
90,hs_house_a main,56,PrefabModel,0.0,7,f,0.0,t,t,f,hs_house_a_main,12.0,t,0.0,,f,f
91,hs_house_a_brown main,57,PrefabModel,10.0,7,f,0.0,t,t,f,hs_house_a_brown_main,12.0,t,0.0,,f,f
92,hs_house_b main,58,PrefabModel,0.0,7,f,0.0,t,t,f,hs_house_b_main,12.0,t,0.0,,f,f
93,hs_house_b_brown main,59,PrefabModel,10.0,7,f,0.0,t,t,f,hs_house_b_brown_main,12.0,t,0.0,,f,f
94,hs_house_c main,60,PrefabModel,0.0,7,f,0.0,t,t,f,hs_house_c_main,12.0,t,0.0,,f,f
95,hs_sawmill_a main,61,PrefabModel,10.0,7,f,0.0,t,t,f,hs_sawmill_a_main,12.0,t,0.0,,f,f
96,hs_stable_a main,62,PrefabModel,10.0,7,f,0.0,t,t,f,hs_stable_a_main,12.0,t,0.0,,f,f
97,hs_stonemasonshop_a main,63,PrefabModel,10.0,7,f,0.0,t,t,f,hs_stonemasonshop_a_main,12.0,t,0.0,,f,f
98,hs_barrackhouse_a main,64,PrefabModel,10.0,7,f,0.0,t,t,f,hs_barrackhouse_a_main,12.0,t,0.0,,f,f
99,hs_farmhouse1 main,65,PrefabModel,10.0,7,f,0.0,t,t,f,hs_farmhouse1_main,12.0,t,0.0,,f,f
100,hs_house_a_block main,66,PrefabModel,10.0,7,f,0.0,t,t,f,hs_house_a_block_main,12.0,t,0.0,,f,f
101,hs_house_b_block main,67,PrefabModel,10.0,7,f,0.0,t,t,f,hs_house_b_block_main,12.0,t,0.0,,f,f
102,hs_house_c_block main,68,PrefabModel,10.0,7,f,0.0,t,t,f,hs_house_c_block_main,12.0,t,0.0,,f,f
103,housing_farmhouse_a main,69,PrefabModel,10.0,7,f,0.0,t,t,f,housing_farmhouse_a_main,12.0,t,0.0,,f,f
104,housing_farmhouse_a 1,70,PrefabModel,10.0,7,f,0.0,t,t,f,housing_farmhouse_a_1,12.0,t,0.0,,f,f
105,housing_farmhouse_a 2,71,PrefabModel,10.0,7,f,0.0,t,t,f,housing_farmhouse_a_2,12.0,t,0.0,,f,f
106,carriage,7,VehicleModel,0.0,7,f,0.0,f,f,t,carriage,12.0,t,0.0,175,t,f
107,troll,28,ActorModel,0.0,10,f,4.0,t,t,f,troll,12.0,t,0.0,296,f,f
110,sheep_03,31,ActorModel,0.0,10,f,0.9,t,t,f,sheep_03,12.0,t,0.0,,f,f
112,performance_tft,33,ActorModel,0.0,10,f,0.0,t,t,f,performance_tft,12.0,t,0.0,,f,f
115,갤리온,1,ShipModel,0.0,12,f,0.0,t,t,f,model115,12.0,t,0.0,144,f,f
116,ferryboat,9,VehicleModel,0.0,7,f,0.0,f,f,t,ferryboat,12.0,t,0.0,145,f,f
117,Cannon,10,VehicleModel,0.0,13,f,0.0,t,t,f,cannon,20.0,f,0.0,,f,f
120,caravel_hwang,2,ShipModel,0.0,12,f,0.0,t,t,f,caravel_hwang,12.0,t,0.0,,f,f
121,hook,13,VehicleModel,0.0,0,f,0.0,t,t,f,hook,12.0,t,0.0,,f,f
122,treasure,72,PrefabModel,0.0,7,f,0.0,t,t,f,treasure,12.0,t,0.0,,f,f
123,ha_f_performance_animation,35,ActorModel,0.0,10,f,0.0,t,t,f,ha_f_performance_animation,12.0,t,0.0,,f,f
124,blackbird,36,ActorModel,0.0,10,f,0.0,t,t,f,blackbird,12.0,t,1.5,278,f,f
125,wood_elemental,37,ActorModel,0.0,7,f,0.0,t,t,f,wood_elemental,12.0,t,0.0,251,f,f
126,bomb,73,PrefabModel,0.0,0,f,0.0,t,t,f,bomb,12.0,t,0.0,,f,f
127,황의날틀,14,VehicleModel,0.0,7,f,0.0,t,t,f,model127,12.0,t,0.0,,f,f
128,쾌속정,3,ShipModel,0.0,12,t,0.0,f,f,t,model128,30.0,t,0.0,146,t,f
129,나룻배,4,ShipModel,0.0,12,t,0.0,f,f,t,model129,12.0,f,0.0,145,t,t
130,가오리,5,ShipModel,0.0,12,f,0.0,t,t,f,model130,12.0,t,0.0,,f,f
131,housing_mass_test_l,74,PrefabModel,0.0,7,f,0.0,t,t,f,housing_mass_test_l,12.0,t,0.0,,f,f
132,housing_mass_test_m_a,75,PrefabModel,0.0,7,f,0.0,t,t,f,housing_mass_test_m_a,12.0,t,0.0,,f,f
133,housing_mass_test_m_b,76,PrefabModel,0.0,7,f,0.0,t,t,f,housing_mass_test_m_b,12.0,t,0.0,,f,f
134,housing_mass_test_s,77,PrefabModel,0.0,7,f,0.0,t,t,f,housing_mass_test_s,12.0,t,0.0,,f,f
135,maledeer,38,ActorModel,0.0,10,f,0.0,t,t,f,maledeer,12.0,t,0.0,240,f,f
136,sarracenia,39,ActorModel,0.0,10,f,0.0,t,t,f,sarracenia,12.0,t,0.0,307,f,f
137,fepee,40,ActorModel,0.0,10,f,0.0,t,t,f,fepee,12.0,t,0.0,277,f,f
138,waterelemental,41,ActorModel,0.0,5,f,0.0,t,t,f,waterelemental,12.0,t,0.0,269,f,f
139,horse,42,ActorModel,0.0,10,f,0.0,t,f,t,horse,15.0,t,0.6,21,f,f
141,orc_warrior,44,ActorModel,0.0,10,f,0.0,t,t,f,orc_warrior,12.0,t,0.0,334,f,f
142,porcupineslime,45,ActorModel,0.0,10,f,0.0,t,t,f,porcupineslime,12.0,t,0.0,365,f,f
143,wall_hi,78,PrefabModel,0.0,8,f,0.0,t,t,f,wall_hi,12.0,t,0.0,,f,f
144,castle.wall_hi,79,PrefabModel,10.0,8,f,0.0,t,t,f,castle_wall_hi,12.0,t,0.0,,f,f
145,castle.wall_hi_m,80,PrefabModel,10.0,8,f,0.0,t,t,f,castle_wall_hi_m,12.0,t,0.0,,f,f
146,castle.wall_hi_slope_2,81,PrefabModel,10.0,8,f,0.0,t,t,f,castle_wall_hi_slope_2,12.0,t,0.0,,f,f
147,castle.wall_hi_slope_2_m,82,PrefabModel,10.0,8,f,0.0,t,t,f,castle_wall_hi_slope_2_m,12.0,t,0.0,,f,f
148,castle.wall_hi_slope_4,83,PrefabModel,10.0,8,f,0.0,t,t,f,castle_wall_hi_slope_4,12.0,t,0.0,,f,f
149,castle.wall_hi_slope_4_m,84,PrefabModel,10.0,8,f,0.0,t,t,f,castle_wall_hi_slope_4_m,12.0,t,0.0,,f,f
150,castle.wall_hi_slope_6,85,PrefabModel,10.0,8,f,0.0,t,t,f,castle_wall_hi_slope_6,12.0,t,0.0,,f,f
151,castle.wall_hi_slope_6_m,86,PrefabModel,10.0,8,f,0.0,t,t,f,castle_wall_hi_slope_6_m,12.0,t,0.0,,f,f
152,castle.wall_hi_diagonal,87,PrefabModel,10.0,8,f,0.0,t,t,f,castle_wall_hi_diagonal,12.0,t,0.0,,f,f
153,castle.wall_hi_diagonal_m,88,PrefabModel,10.0,8,f,0.0,t,t,f,castle_wall_hi_diagonal_m,12.0,t,0.0,,f,f
154,castle.wall_hi_diagonal_slope_2,89,PrefabModel,10.0,8,f,0.0,t,t,f,castle_wall_hi_diagonal_slope_2,12.0,t,0.0,,f,f
155,castle.wall_hi_diagonal_slope_2m,90,PrefabModel,10.0,8,f,0.0,t,t,f,castle_wall_hi_diagonal_slope_2m,12.0,t,0.0,,f,f
156,castle.wall_hi_diagonal_slope_4,91,PrefabModel,10.0,8,f,0.0,t,t,f,castle_wall_hi_diagonal_slope_4,12.0,t,0.0,,f,f
157,castle.wall_hi_diagonal_slope_4m,92,PrefabModel,10.0,8,f,0.0,t,t,f,castle_wall_hi_diagonal_slope_4m,12.0,t,0.0,,f,f
158,castle.wall_hi_diagonal_slope_6,93,PrefabModel,10.0,8,f,0.0,t,t,f,castle_wall_hi_diagonal_slope_6,12.0,t,0.0,,f,f
159,castle.wall_hi_diagonal_slope_6m,94,PrefabModel,10.0,8,f,0.0,t,t,f,castle_wall_hi_diagonal_slope_6m,12.0,t,0.0,,f,f
160,castle.tower_hi_1,95,PrefabModel,10.0,8,f,0.0,t,t,f,castle_tower_hi_1,12.0,t,0.0,,f,f
161,castle.tower_hi_2,96,PrefabModel,10.0,8,f,0.0,t,t,f,castle_tower_hi_2,12.0,t,0.0,,f,f
162,stonegolem,46,ActorModel,0.0,8,f,0.0,t,t,f,stonegolem,12.0,t,0.0,324,f,f
163,spider_ring,47,ActorModel,0.0,10,f,0.0,t,t,f,spider_ring,12.0,t,0.0,322,f,f
164,거인1,97,PrefabModel,0.0,10,f,0.0,t,t,f,model164,12.0,t,0.0,,f,f
165,말하는 거인2,98,PrefabModel,0.0,8,f,0.0,t,t,f,model165,12.0,t,0.0,,f,f
166,말하는 거인1,99,PrefabModel,0.0,8,f,0.0,t,t,f,model166,12.0,t,0.0,,f,f
167,monster_warborn,48,ActorModel,0.0,10,f,0.0,t,t,f,monster_warborn,12.0,t,0.0,,f,f
168,가랑돌 평원 땅의 핏자국,100,PrefabModel,0.0,10,f,0.0,t,t,f,model168,12.0,t,0.0,,f,f
169,60_housing step1,101,PrefabModel,0.0,7,f,0.0,t,t,f,model169,12.0,t,0.0,,f,f
170,60_housing step2,102,PrefabModel,0.0,7,f,0.0,t,t,f,model170,12.0,t,0.0,,f,f
171,60_housing step3,103,PrefabModel,0.0,7,f,0.0,t,t,f,model171,12.0,t,0.0,,f,f
172,60_housing step4,104,PrefabModel,0.0,7,f,0.0,t,t,f,model172,12.0,t,0.0,,f,f
173,60_housing step5,105,PrefabModel,0.0,7,f,0.0,t,t,f,model173,12.0,t,0.0,,f,f
174,60_housing step6,106,PrefabModel,0.0,7,f,0.0,t,t,f,model174,12.0,t,0.0,,f,f
175,60_housing_noani step1 ,107,PrefabModel,0.0,7,f,0.0,t,t,f,model175,12.0,t,0.0,,f,f
180,60_housing_noani step2,112,PrefabModel,0.0,7,f,0.0,t,t,f,model180,12.0,t,0.0,,f,f
181,60_housing_noani step3,113,PrefabModel,0.0,7,f,0.0,t,t,f,model181,12.0,t,0.0,,f,f
182,60_housing_noani step4,114,PrefabModel,0.0,7,f,0.0,t,t,f,model182,12.0,t,0.0,,f,f
183,60_housing_noani step5,115,PrefabModel,0.0,7,f,0.0,t,t,f,model183,12.0,t,0.0,,f,f
184,60_housing_noani step6,116,PrefabModel,0.0,7,f,0.0,t,t,f,model184,12.0,t,0.0,,f,f
185,60_housing_hideani step1 ,117,PrefabModel,0.0,7,f,0.0,t,t,f,model185,12.0,t,0.0,,f,f
186,60_housing_hideani step2,118,PrefabModel,0.0,7,f,0.0,t,t,f,model186,12.0,t,0.0,,f,f
187,60_housing_hideani step3,119,PrefabModel,0.0,7,f,0.0,t,t,f,model187,12.0,t,0.0,,f,f
188,60_housing_hideani step4,120,PrefabModel,0.0,7,f,0.0,t,t,f,model188,12.0,t,0.0,,f,f
189,60_housing_hideani step5,121,PrefabModel,0.0,7,f,0.0,t,t,f,model189,12.0,t,0.0,,f,f
190,60_housing_hideani step6,122,PrefabModel,0.0,7,f,0.0,t,t,f,model190,12.0,t,0.0,,f,f
191,dog_yellow,49,ActorModel,0.0,10,f,0.0,t,t,f,dog_yellow,12.0,t,0.0,249,f,f
192,pig_black,50,ActorModel,0.0,10,f,0.0,t,t,f,pig_black,12.0,t,0.0,390,f,f
193,rabbit_brown,51,ActorModel,0.0,10,f,0.0,t,t,f,rabbit_brown,12.0,t,0.0,387,f,f
194,biarm_reedhq,52,ActorModel,0.0,10,f,0.0,t,t,f,biarm_reedhq,12.0,t,0.0,74,f,f
195,waterelemental_big,53,ActorModel,0.0,5,f,0.0,t,f,t,waterelemental_big,12.0,t,0.3,271,f,f
196,skeleton_worrior,54,ActorModel,0.0,14,f,0.0,t,t,f,skeleton_worrior,12.0,t,0.0,311,f,f
197,kobold_spotted_thrower,55,ActorModel,0.0,10,f,0.0,t,t,f,kobold_spotted_thrower,12.0,t,0.0,317,f,f
198,ant,56,ActorModel,0.0,10,f,0.0,t,t,f,ant,12.0,t,0.0,3,f,f
199,twoheadsnake_rockscale,57,ActorModel,0.0,10,f,0.0,t,t,f,twoheadsnake_rockscale,12.0,t,0.0,298,f,f
200,windelemental_big,58,ActorModel,0.0,9,t,0.0,t,t,f,windelemental_big,12.0,t,0.0,257,f,f
201,windelemental_small,59,ActorModel,0.0,9,f,0.0,t,t,f,windelemental_small,12.0,t,0.0,256,f,f
203,goblin_illusionist,61,ActorModel,0.0,10,f,0.0,t,t,f,goblin_illusionist,12.0,t,0.0,294,f,f
204,goblin_archer,62,ActorModel,0.0,10,f,0.0,t,t,f,goblin_archer,12.0,t,0.0,294,f,f
205,goblin_warrior,63,ActorModel,0.0,10,f,0.0,t,t,f,goblin_warrior,12.0,t,0.0,294,f,f
206,ogre_porter,64,ActorModel,0.0,10,f,0.0,t,t,f,ogre_porter,12.0,t,0.0,353,f,f
207,orc_investigator,65,ActorModel,0.0,10,f,0.0,t,t,f,orc_investigator,12.0,t,0.0,334,f,f
208,orc_hunter,66,ActorModel,0.0,10,f,0.0,t,t,f,orc_hunter,12.0,t,0.0,334,f,f
209,orc_foreman,67,ActorModel,0.0,10,f,0.0,t,t,f,orc_foreman,12.0,t,2.5,334,f,f
210,orc_shaman,68,ActorModel,0.0,10,f,0.0,t,t,f,orc_shaman,12.0,t,0.0,334,f,f
214,fleshgolem,72,ActorModel,0.0,10,t,0.0,t,t,f,fleshgolem,12.0,t,0.0,285,f,f
215,crab,73,ActorModel,0.0,14,f,0.0,t,t,f,crab,12.0,t,0.0,79,f,f
216,kobold_spotted_warrior,74,ActorModel,0.0,10,f,0.0,t,t,f,kobold_spotted_warrior,12.0,t,0.0,317,f,f
217,(잘못된 등록명. 224번이 맞음)phantom_nuian,75,ActorModel,0.0,10,f,0.8,t,t,f,model217,12.0,t,0.0,,f,f
218,mudgolem,76,ActorModel,0.0,8,f,0.0,t,t,f,mudgolem,12.0,t,0.0,220,f,f
219,bear_brown,77,ActorModel,0.0,10,f,0.0,t,t,f,bear_brown,12.0,t,1.0,70,f,f
220,bloodyarmy_commander,78,ActorModel,0.0,10,f,0.0,t,t,f,bloodyarmy_commander,12.0,t,0.0,234,f,f
221,bloodyarmy_infantry,79,ActorModel,0.0,10,f,0.0,t,t,f,bloodyarmy_infantry,12.0,t,0.0,234,f,f
222,bloodyarmy_soldier,80,ActorModel,0.0,10,f,0.0,t,t,f,bloodyarmy_soldier,12.0,t,0.0,234,f,f
223,doppelganger,81,ActorModel,0.0,10,f,0.0,t,t,f,doppelganger,12.0,t,0.0,253,f,f
224,nuian_ghost,82,ActorModel,0.0,9,f,0.8,t,t,f,nuian_ghost,12.0,t,0.0,62,f,f
238,stone_bros,83,ActorModel,0.0,8,f,0.0,t,t,f,stone_bros,12.0,t,0.0,,f,f
239,four_fingers_bandits,84,ActorModel,0.0,6,f,0.0,t,t,f,four_fingers_bandits,12.0,t,0.0,,f,f
240,black_beard,85,ActorModel,0.0,10,f,0.0,t,t,f,black_beard,12.0,t,0.0,,f,f
241,slum_robbers,86,ActorModel,0.0,10,f,0.0,t,t,f,slum_robbers,12.0,t,0.0,,f,f
242,kyrios_admirers,87,ActorModel,0.0,10,f,0.0,t,t,f,kyrios_admirers,12.0,t,0.0,,f,f
243,phantom_nuianguard,88,ActorModel,0.0,10,f,0.0,t,t,f,phantom_nuianguard,12.0,t,0.0,,f,f
244,mountainsheep_ash,89,ActorModel,0.0,10,f,0.0,t,t,f,mountainsheep_ash,12.0,t,0.0,341,f,f
245,femaledeer,90,ActorModel,0.0,10,f,0.0,t,t,f,femaledeer,12.0,t,0.0,276,f,f
246,brokencorpse,91,ActorModel,0.0,10,f,0.0,t,t,f,brokencorpse,12.0,t,0.0,236,f,f
247,headstand,92,ActorModel,0.0,10,f,0.0,t,t,f,headstand,12.0,t,0.0,303,f,f
248,horse_skeleton,93,ActorModel,0.0,10,f,0.0,t,t,f,horse_skeleton,12.0,t,0.0,305,f,f
249,armourdslime_bark,94,ActorModel,0.0,10,f,0.0,t,t,f,armourdslime_bark,12.0,t,0.0,12,f,f
250,armourdslime_ironpiece,95,ActorModel,0.0,10,f,0.0,t,t,f,armourdslime_ironpiece,12.0,t,0.0,14,f,f
251,armourdslime_pebble,96,ActorModel,0.0,10,f,0.0,t,t,f,armourdslime_pebble,12.0,t,0.0,16,f,f
252,crawlingslime_drain,97,ActorModel,0.0,10,f,0.0,t,t,f,crawlingslime_drain,12.0,t,0.0,82,f,f
254,ogre_warrior,99,ActorModel,0.0,10,f,0.0,t,t,f,ogre_warrior,12.0,t,0.0,353,f,f
257,gnoll_thrower,102,ActorModel,0.0,10,f,0.0,t,t,f,gnoll_thrower,12.0,t,0.0,231,f,f
258,gnoll_stalker,103,ActorModel,0.0,10,f,0.0,t,t,f,gnoll_stalker,12.0,t,0.0,231,f,f
259,gnoll_warrior,104,ActorModel,0.0,10,f,0.0,t,t,f,gnoll_warrior,12.0,t,0.0,231,f,f
271,skeleton_monger,105,ActorModel,0.0,14,f,0.0,t,t,f,skeleton_monger,12.0,t,0.0,311,f,f
