id,name,pick_num
492,군주의 사냥터 / 녹색 늑대 언덕,3
493,지옥 늪지대 / 녹색 늑대의 숲,1
494,군주의 사냥터,2
495,녹색 늑대 언덕,3
496,녹색 늑대의 숲 / 녹색 늑대 마을,1
497,푸른 모래톱 휴양지,2
498,젖은 모래톱,3
499,젖은 모래톱 / 녹색 늑대 마을,1
500,요정의 장막,2
501,베고니아 언덕/ 물레노래 들판,3
502,푸른 모래톱 휴양지,1
503,야자주 장인의 오두막,2
504,물레노래 들판,3
505,푸른 모래톱 휴양지,1
506,황금언덕 고블린 부락,2
507,물레노래 들판,3
508,목화구름 농장,1
509,일꾼 숙소,2
510,황금 혀 항구,3
511,물레노래 들판,1
512,레귤루스의 연회장,2
513,황금 혀 항구 / 산호초 평원,3
514,물레노래 들판,1
515,황금 혀 항구 등대,2
516,산호초 평원,3
517,산호초 평원 별장,1
518,황금 혀 항구,2
519,주거 지역 이정표,1
520,가랑돌 평원,2
521,그위오니드 숲,3
522,솔즈리드 반도,1
523,여관,0
524,여관,0
525,여관,0
526,여관,0
527,여관,0
