id,book_page_id,text,illust
11,9,"<tr><td>정원에 들어가 권능의 의자에 앉은 자는 누구든지 신의 권능을 얻을 수 있다는 전설은, 운명을 언제든 바꿀 수 있다는 뜻이 아닐까?</td></tr>",
12,10,"<tr><td>홍수를 일으키는 자, 불화의 흰 여자, 세발솥의 주인, 숲지기의 딸. 그녀가 세상에 다시 나타나서 힘을 잃고 은둔할 때 우리의 배가 원대륙으로 갈 수 있으리라.</td></tr>",
13,11,"<tr><td>누이 여신의 고결한 희생을 본받아 모두 함께 하고자 <b>누이아 공동체</b>를 만들었지만, 엘프와 페레 같은 종족들이 뜻을 같이하지 않아 점점 유명무실해졌다.</td></tr>",
14,12,<tr><td>요즘 젊은이들은 누이 여신의 고결한 희생을 망각한 채 청춘 남녀가 시시덕거리면서 놀기에 바쁘다. 버릇없는 젊은이들 때문에 미래가 걱정된다.</td></tr>,
15,13,"<tr><td>이니스테르로 떠나는 형제들이여, 새로운 땅에서도 누이안의 긍지를 잃지 말고 이니스테르를 더욱 흥하게 하라.</td></tr>",
16,14,<tr><td>초승달 왕좌의 위엄에 도전한 자. 그 무례한 교만에 마땅한 징벌을 했도다. <b>일벌백계의 폐허</b>라는 이름을 역사에 남기니 후대는 이것을 기억하라.</td></tr>,
17,15,<tr><td>바다의 여신 다후타는 한 인간에 대한 사랑이 집착으로 변해서 결국 스스로 파멸하여 물속에 잠겼다는 전설이 있다. 전지전능한 권능을 지닌 신도 불완전한 존재에 불과한 것인가?</td></tr>,
18,16,<tr><td>초승달 왕좌 왕의 아들 <b>일리온</b>이 일식전쟁에서 승리를 거두었다. 살리움 왕가는 멸망하고 일부 생존자는 바다 건너 동부의 땅으로 달아났다. 일리온은 새 왕국 <b>두 왕관</b>을 세웠다.</td></tr>,
19,17,<tr><td>초승달 왕좌 지하에는 미로가 있다. <b>미로의 시험</b>을 통과하는 자만이 초승달 왕좌의 왕이 될 수 있다. 초승달 왕좌의 왕이 된다는 것은 미로를 통과할 지혜와 용기가 있다는 뜻이다.</td></tr>,
20,18,<tr><td>위대한 왕 솔즈리언을 기념하는 솔즈리언의 문. 하지만 그것이 생긴 유래에 대해서는 다들 다르게 알고 있다. 이 선돌에는 가장 정확한 진실을 기록하고 싶었건만...</td></tr>,
21,19,"<tr><td>내 평생을 바쳐 선돌에 역사를 새겼다. 나는 마지막 선돌 기록자, 앞으로 선돌에 역사가 기록되는 일은 없을 것이다. 연구가들이 우리의 기록을 헛되이 여기지 않기를.</td></tr>",
23,20,<tr><td><b>사랑하는 동생 아민</b><br/><br/>형이 오랫동안 소식을 전하지 못하였구나. 형은 네가 잘 알고 있듯이 동 테미 제국의 유물을 발굴하기 위해 일하고 있단다. 현재 우리는 하리하란에게 테미캣이라 놀림당하며 노예와 다름없는 삶을 살고 있지.</td></tr>,
24,21,<tr><td><b>지난주 아사지 님께 보낸 물품목록</b><br/><br/>알맞게 자란 죽순<br/>450개<br/>산양의 뿔<br/>400개</td></tr>,
25,22,"<tr><td><b>존경하는 학림 대학사님</b><br/><br/>아사지 공은 베로에에서 무소불위의 권력을 휘두르고 있고, 이에 폐하께서는 지금 베로에를 떠나 선왕의 정자에 머무르고 계십니다. 저희는 누구보다도 폐하의 복권을 원하며 이에 유능한 젊은이를 보내니 부디 아사지 공과 면담할 수 있도록 추천서를 써주셨으면 합니다.<br/><br/><b>지소례 올림</b></td></tr>",
26,23,"<tr><td><b>존경하는 폐하</b><br/><br/>최근 하슬라에 유행하는 전염병은 페레와 무관합니다. 오히려 저희는 치료 약을 만들 수 있으며 이 문제를 조속히 해결할 수 있습니다. 따라서 전염병을 이유로 저희를 마을에서 쫓아내 격리 수용하는 것은 불필요한 처사입니다. 부디 예전처럼 마을에서 함께 살 수 있도록 선처해주시길 간절히 바라나이다.<br/><br/><b>모든 페레를 대신하여, 보말다 올림</b></td></tr>",
27,24,<tr><td>드디어 때가 되었도다!<br/>짐이 이 나라를 통치하며 그동안 우리 하리하란이 본래 있었던 땅인 원대륙으로 발길을 옮기기 위해 무던히도 노력을 해왔노라.<br/><br/>그동안 많은 이들의 노력 끝에 드디어 원대륙으로 향하는 원정대를 꾸릴 준비가 끝났노라.<br/><br/>여왕의 자비호 선장 세하트는 짐의 어명을 받아 달포 안에 원정대가 원대륙으로 향할 수 있도록 만반의 준비를 끝내도록 하여라!</td></tr>,
28,25,"<tr><td>남쪽 코산 마라 순수비<br/><br/>하슬라는 맑은 물이 흐르고 기후가 따뜻해서 살기 적합하다. 탈리 마라는 바람을 따라 이동하자고 했지만, 이런 좋은 땅을 버리고 떠날 수 없다. 나는 코산 마라. 이제 하슬라의 지배자다. 이곳을 나와 형제들의 제국 남쪽 경계로 정한다.<br/><br/>하늘이 높고 푸른 날, 코산 마라</td></tr>",
29,26,"<tr><td>동쪽 코산 마라 순수비<br/><br/>하슬라의 동쪽. 우리에게는 낯선 이곳에 대해 괴소문이 돌았다. 위대한 페레 용사들조차 두려워하기에 내가 직접 이곳에 왔다. 소문이 거짓임을 확인했으니 이제 이곳을 나와 형제들의 제국 동쪽 경계로 정한다.<br/><br/>바람이 차갑게 부는 날, 코산 마라</td></tr>",
30,27,"<tr><td>서쪽 코산 마라 순수비<br/><br/>하슬라를 동 테미 제국으로 선포한 지 2년, 아직도 하리하란들이 동방의 비취를 뺏으려고 헛된 도발을 한다. 전장에 머무르는 페레 전사들을 격려하러 친히 이곳을 돌아보며 국경으로 확고히 한다.<br/><br/>물이 깊고 맑은 날, 코산 마라</td></tr>",
31,28,<tr><td>영원히 함께 하기로 했던 연인이 죽었다는 사실을 그는 받아들일 수 없었다. 림페로다는 그에게 모래성을 쌓으면 소원을 이루어 주겠다는 거짓말을 했다...</td></tr>,
32,29,<tr><td>눈사자 위에 올라 초원을 다시 달리고 싶다.<br/>이제는 그 시절이 다 꿈만 같다.</td></tr> ,
33,30,<tr><td>누런들소<br/>내가 타본 최고의 눈사자였다.<br/>그 이름을 남긴다.</td></tr>,
34,38,<tr><td>마음을 비웠다.<br/>이제 태양 아버지의 품으로 돌아갈 때다.</td></tr>,
35,31,<tr><td>나는 태어나서 단 한 번 울었다.<br/>눈사자를 더 이상 타지 못하게 되었을 때.<br/>나의 망가진 다리가 그리도 증오스러울 줄 몰랐다.</td></tr>,
36,32,"<tr><td>나는 세상에서 제일 빠른 사슴을 잡은 사냥꾼이다.<br/> - 불숨결 부족 우르가나<br/><br/>어느 날 비쩍 곯은 사슴 하나 잡아와서 몇 년을 떠들더니 여기에도 적었냐.<br> - 불숨결 부족 마이, 우르가나의 동생.</td></tr> ",
37,33,"<tr><td>나는 하슬라에서 테미캣으로 태어났다.<br/>하지만 페레의 전사로서 초원을 달렸다.<br/>여한이 없다. 이제 초원의 끝, 여기에 잠든다.</td></tr>",
38,34,"<tr><td>아바란, 분명 그놈이다.<br/>내 안장 밑에 바늘을 넣어서 떨어지게 한 건.<br/>아바란 마라, 네놈도 나처럼 될 것이다.<br/>호수 어머니의 이름을 걸고 말한다.</td></tr>",
39,35,<tr><td>요즘 어린 페레들은 활을 더 잘 쏘기 위한 노력도 칼을 잘 다루기 위한 노력도 눈사자를 얻기 위한 노력도 하질 않아. 미래가 걱정이다. 쯧쯧.</td></tr>,
40,36,<tr><td>불꽃서슬 부족 마지막 소리꾼<br/>노래를 혀 밑에 삼키고 이곳에 잠들다.</td></tr>,
41,37,"<tr><td>나, 바람을 따라 여기 영원히 머문다.<br/>하늘매 부족의 마라였던 어르터트가 말하다.</td></tr> ",
42,39,"<tr><td><b>친애하는 벗 가움바여</b><br/><br/>우리가 초원에서 함께 눈사자를 타고 어깨를 나란히 했던 때가 바로 어제 같은데, 벌써 백 년이 넘는 세월이 흘렀네.<br/>자연의 품으로 돌아가기 전 마지막으로 마음에 걸리는 게 있어 이렇게 편지를 남기네. 부디, 내가 자네에게 저질렀던 지난날의 과오를 용서해 주게나.<br/><br/>부디 자연의 품에서 예전처럼 함께할 수 있길 바라네.</td> </tr>
",
43,40,"<tr><td>고대 신앙자의 성이 지어진 지 육십이 일째 되는 밤<br/><br/>예상되는 장소는 다 찾아봤지만 없었다. 요즘 고대 신앙자들도 내 정체를 눈치챈 거 같다.
<br/>도망치고 싶은 기분이 들지만, 고대 신앙자들이 하리하랄라야의 폐허에 계신 전하에게 훔친 그림으로 사람들을 현혹하고 스스로를 잊혀진 옛 신의 화신으로 꾸미는 것을 생각하면 반드시 가져가야겠다.</td></tr>",
44,41,"<tr><td>죽음을 맞이한 지 삼 일째 되는 밤<br/><br/>
전하의 그림을 되찾으려다 고대 신앙자들에게 들키고만 그날 아침.<br/>나의 사지는 분리되어 늪지에 뿌려졌다.
<br/>나의 목은 저주받은 습지를 돌아다니던 먹깨비에게 먹혔다.<br/>죽음이 가르쳐 준 것은 피의 기록을 남기는 방법이었다.</td></tr>",
45,42,"<tr><td>죽음을 맞이한 지 육 일째 되는 밤<br/><br/>
나의 육신이 찢어진 지 오래지만, 나의 영혼은 잠들지 않았다.<br/>내 몸통은 팔다리와 떨어져 눈알 괴물의 입속으로 들어갔다.<br/>몸을 먹은 눈알 괴물에게 눈이 하나 더 생겼다.<br/>나는 눈알 괴물이 돌아다니는 곳의 이름을 저주받은 습지라고 지었다. 내 육신을 찾을 때까지 그곳에는 저주가 내리리라.</td> </tr>",
46,43,"<tr><td>죽음을 맞이한 지 구 일째 되는 밤<br/><br/>
한 무리의 엘프들이 고대 신앙자들을 따르지 않다가 늪에 묻혔다. 그들은 익사체가 되어 되살아났다. 나는 그곳을 죽음의 늪이라 부르기로 했다.<br/>익사체 중 하나가 늪에 박혀 썩어가던 나의 두 팔을 집어삼켰다. 전하의 공양은 고대 신앙자들의 성 깊은 곳으로 사라졌지만 나는 아무것도 할 수 없었다.</td></tr>",
47,44,"<tr><td>죽음을 맞이한 지 십이 일째 되는 밤<br/><br/>
전하의 공양이 성 깊숙한 곳으로 사라진 후 나는 몸을 되찾기 위해 나섰다.<br/>호수 근처에서 마침내 마주한 나의 두 다리! 하지만 재버워키의 입속으로 들어가고 말았다.<br/>손에 쥐는 것 없이 무기력한 나는 화장터로 숨어들었다. 이곳에서 죽은 자들의 부러진 팔과 다리에 영혼을 안착시키려 했지만 소용없었다.</td></tr>",
48,45,"<tr><td>죽음을 맞이한 지 십오 일째 되는 밤<br/><br/>
마침내 고대 신앙자들은 하리하란 공학자를 데려와 차원을 여는 장치를 만들었다. 고대 신앙자는 그들이 원하는 존재가 나타날 것이라 했다.<br/>하지만 그 장치는 하리하란 공학자가 엘프들에게 죽으면서 완성되지 못했다.<br/>황금 평원을 넘어온 오크 한 무리가 장치 중 하나를 들고 골짜기로 올라갔다.</td></tr>",
49,46,<tr><td>죽음을 맞이한 지 삼백 일째 되는 밤<br/><br/>하리하란 공학자가 죽은 후 고대 신앙자들의 계획은 멈췄다.<br/>기계 장치는 버려졌다. 그중 하나는 그림자 숲으로 빨려 들어갔다.<br/>무법 마을이 오크 소굴 근처에 차려졌다. 마을을 세운 건 마리아노플에서 서른세 번의 살인을 저지른 자였다.<br/>나는 또 밤새 울부짖었다.</td></tr>,
50,47,"<tr><td>죽음을 맞이한 지 사백 일째 되는 밤<br/><br/>
먼 곳까지 기계 장치에 대한 소문이 퍼졌다. 살인자를 뒤쫓아 늪지대로 왔던 자들이 대도시로 돌아가 소문을 퍼뜨렸다. 트리스테 극단이라는 자들이 소문으로 극을 만들었다.<br/>저주받은 습지에 고대 신앙자의 눈이 되는 눈알 괴물이 나타났다.<br/>그리고 엘프들이 되살아났다. 아니, 그들은 도플갱어다.</td></tr>",
51,48,"<tr><td>죽음을 맞이한 지 사백오십 일째 되는 밤<br/><br/>오래된 기계 장치가 버려진 곳에 해적들이 들어왔다.<br/>고대 신앙자와 황금바다 해적들은 거래했다.<br/>어린아이들을 사고파는 일이었다. 죽은 자의 이름 열 개를 모은 아이들은 고대 신앙의 제물이 된다고 했다.<br/>
누군가 오래된 기계 장치 중 하나를 작동시킬 줄 안다는 소문이 들려온 후였다.</td></tr>",
52,49,"<tr><td>죽음을 맞이한 지 천사백 일째 되는 밤.<br/><br/>고대 기계 장치를 작동시키는 일은 실패했다. 비틀린 문으로 괴기한 것이 튀어나왔다.<br/>고대 신앙자들은 실패하였지만 나는 비틀린 문의 조각을 발견했다. 조각을 모아 비틀린 문의 기운을 만들면 차원을 넘어온 그것을 약화시킬 수 있었다.<br/>하지만 나에겐 손과 발이 없었다. 나는 죽은 지 너무 오래되었다.</td></tr>
",
53,56,"<tr><td>아! 내가 잡았다! 세상에서 제일 빠른 사슴을.<br/> - 불숨결 부족 우르가나<br/><br/>어느날 비쩍 곯은 사슴 하나 잡아와서 몇 년을 떠들더니 여기에도 적었냐.<br/> - 불숨결 부족 마이, 우르가나의 동생.</td></tr>",
54,50,"<tr><td>안개 동굴에 안개 괴물은 원래 없었다.<br/>고대 주술의 사악한 존재, 안개 괴물을 다시 깨워낸 건 분명 실수다.<br/>이흐테 마라는 비밀을 숨기기 위해 내 다리를 망가뜨리고 혀를 잘라 추방했다.<br/>하지만 손은 남아서 이렇게 글을 남긴다.</td></tr>",
55,51,"<tr><td>우리는 매사냥 고원에서 밤의 눈과 낮의 눈에 단검을 던져 맹세했다.<br/>태어난 때는 다르지만, 초원을 함께 누볐고 이제 죽음을 함께 새긴다.<br/><br/> - 잿빛안개 부족 파이야트, 불숨결 부족 마이</td></tr> ",
56,52,"<tr><td>첫 번째 사랑이 기억난다. 유독 먼 곳을 잘 보고 눈사자를 잘 타던 그녀.<br/>그녀와 부족장의 결혼식 날, 나는 부락을 떠났다.<br/>내가 더 강한 전사였다면 지금 후회할 일이 없었겠지.<br/>그녀의 아들, 아논 마라에게 영광과 행복이 있기를.</td></tr> ",
57,53,"<tr><td>짐승의 목을 자를 때는 매우 빠르게 한 번에 그어야 한다.<br/>그것이 사냥의 예의다.<br/>자연을 함부로 대하는 젊은 것들아, 명심해라.</td></tr> ",
58,54,"<tr><td>바람의 신은 파괴의 신을 돕기 위해 검은 밤을 달렸네.<br/>파괴의 신은 바람의 신을 죽이려고 붉은 칼을 휘둘렀네.<br/>페레여, 이 노래를 잊지 마라. 신의를 무시하는 적은 곳곳에 있나니.</td></tr> ",
59,55,"<tr><td>내 아들은 성인식 도중 죽었고 영혼은 대지에 흩어졌다.<br/>그가 떨어진 절벽에서 나는 나약한 녀석이라 욕하고 이름을 잊었다.<br/>그런데 이제 와서 선명하게 기억난다.<br/>마카리, 아들의 이름이다.</td></tr> ",
60,57,<tr><td>그때 못 잡은 늑대가 꿈에서 나를 쫓아온다.<br/>때가 된 듯하다.</td></tr> ,
61,58,<tr><td>옛 대륙에는 초원의 띠보다 넓은 초원과 로카의 장기말들보다 높은 절벽이 있다고 했다.<br/>거기 한 번 못 가보고 여기 머무르게 된 내가 한심하다.</td></tr>,
62,59,"<tr><td>긴말은 적지 않겠다. 후회없이 살았다. - 잿빛노을 부족 마크첸<br/><br/>이런 건 뭐하는 돌멩이야? 페레놈들 낙서판 같은 건가? 나도 적자. 내가 파괴신이다아아아아!<br/><br/>황혼석의 주인아, 네 황혼석을 제멋대로 낙서하고 훼손한 하리하란은 내가 쫓아가서 처치했다. 편히 잠들라.</td></tr>",
63,60,<tr><td>곧 세계에 큰 변화가 온다. 잠든 땅이 깨어나고 하늘에 불길한 틈이 열린다. 모두가 대비하라.<br/>그걸 내 눈으로 못 보고 이렇게 수명이 다하는 게 아쉽다.</td></tr>,
64,62,<tr><td>살려주세요. 저는 검은자갈단에 납치된 누크입니다. 이들이 저를 동대륙으로 팔아넘긴다는 이야기를 들었어요. 동틀녘 반도로 간다고 했어요. 너무 무서워요. 제발 누이 여신의 가호로 이 편지가 누군가에게 전달되기를.</td></tr>,
65,63,<tr><td>내가 태어났을 때<br/>나는 울음을 터뜨렸지만 <br/>다른 이들은 기뻐했다.<br/><br/>내가 죽을 때에는 <br/>다른 이들은 울음을 터뜨리지만<br/>나는 기뻐하고 싶다.<br/><br/>지금 <br/>눈시울을 촉촉이 적신<br/>이 눈물에 슬퍼하지 않고<br/>기쁨에 노래하며 춤추고 싶다.<br/><br/> - 가온달 부족 소리꾼 프즈시</td></tr>,
66,64,<tr><td>뜨겁게 타오르던 태양이<br/>차가운 바닷속에 가라앉아도<br/>어두운 밤이 지나면<br/>다시 태양은 바다를 가르고 떠오른다.<br/><br/>청춘의 봄이 지나고<br/>황혼의 겨울 끝자락에서<br/>뜨거운 태양처럼<br/>타오르고 싶다.<br/><br/>이글거리는 불꽃을<br/>가슴에 품은 채<br/>흙으로 돌아갈 육신은<br/>춤추고 싶다.</td></tr>,
81,66,"<tr><td><b>사랑하는 시로마니에게</b><br/><br/>위험을 감수하고 편지를 보냅니다.<br/>처음 그곳에 파견된 이름을 보았을 때 매우 놀랐어요.<br/>햇무리 상단 측에서 알려온 이야기에 의하면 샤프란이 아닌 다른 무언가가 그곳에서 재배되어 금지된 해안가로 옮겨지고 있다고 했어요. 해적들과 관계된듯하니 꼭 조심하세요.<br/><br/><b>다음에 볼 날을 기약하며, 당신의 반쪽 아이샤</b></td></tr>",
82,67,<tr><td><b>친애하는 벗 타타트여</b><br/><br/>요즘 나는 삶이 황혼의 끝에 다다랐다는 생각을 자주 한다네. 눈사자를 타고 자네와 어깨를 나란히 했던 그 시절이 생각나네. 이제 삶이 얼마 남지 않은 것을 실감하고 있네. 자네는 어떻게 지내고 있나?<br/>자연의 품으로 돌아가기 전에 자네를 만나 회포를 풀고 싶네.</td></tr>,
83,68,"<tr><td><b>토르쉬 님</b><br/><br/>산사태가 발생하면서 많은 주민이 다쳤습니다. 최근 들어 지진이 자주 발생하고 있는데, 이번에 발생한 산사태는 규모가 몹시 커서 생존자를 찾기가 어려울 지경입니다.<br/>물안개 마을 주민분들의 도움이 필요합니다. 약초와 식량이 떨어져서 이곳의 환자들이 죽어가고 있습니다.<br/>부디 도와주십시오.</td></tr>",
84,69,"<tr><td>나움드 님, 눈사자 휴식처의 눈사자들이 페레를 피하고 있습니다.<br/>바이암 부족의 덩치가 갑작스럽게 커졌다는 소식을 들었습니다.<br/>눈사자 휴식처에 나타난 거미들도 덩치가 몹시 커졌습니다.<br/>요즘 지진이 계속 발생하는 것에서부터 이상한 일이 너무 많이 발생하고 있습니다.</td></tr>",
85,70,<tr><td><b>호라흐 님께</b><br/><br/>로카의 장기말들에서 발생한 일련의 사태를 모두 해결했습니다.<br/>파괴의 신을 숭배하는 아카네스 학파의 무리가 로카의 장기말들에서 모종의 마법 실험을 벌이면서 일련의 사태가 발생했던 것입니다.<br/><br/>아카네스 학파의 마법 매개물인 파괴의 신 석상을 파괴하고 대지를 정화하고 있으니 곧 이곳은 평화를 되찾을 것입니다.</td></tr>,
86,71,"<tr><td><b>나의 아름다운 친구 엘렉</b><br/><br/>그대가 말했던 안개 괴물을 처치할 용사가 드디어 나타난 것 같네.<br/>이 서신을 가져가는 자를 겉보기로 판단하지 말게.<br/>바람의 신에게 선택받은 자이니, 안개 괴물에게로 인도해주게나.</td></tr>",
87,72,"<tr><td>나 오나흐가 우리의 주인을 대신해서 명령을 전한다.<br/>@PC_NAME(0), 적의 이름이다.<br/>떠돌이 페레 녀석이 우리의 모습을 보았다. 그리고 피를 흘리게 했다.<br/>찾아내는 대로 죽여라.</td></tr>",
88,73,<tr><td><b>그렐에게<b><br/>왜 더 이상 연락을 주지 않으십니까?<br/>당신이 죽었다는 소식을 듣고는 한동안의 울음 끝에<br/>체념했었습니다.<br/>얼마 전 흰구름결 부락에 들렀다가 저를 보지도 않고 떠나셨다는 말에 서운했습니다.<br/>이제 저를 다시 볼 생각은 없으십니까?<br/>초원의 스승이시여. 호수의 어머니 같은 분이여. 여기서 기다리고 있겠습니다.</td></tr>,
89,74,<tr><td><b>햇무리 상단 대금 청구서</b><br/><br/>절인 고등어 - 1은 40동<br/>소금 - 2은<br/>은색 아키인형 - 1은 12동<br/>하리하란 처녀 베개 - 2은 6동<br/>도서: 악마 3 - 2은 15동<br/><br/><b>총 8은 73동</b></td></tr>,
90,78,"<tr><td><b>얼굴 빼앗긴 망자 제조법</b><br/><br/>먼저 건강한 인간이 필요하다. 이니스테르에 거주하는 하리하란 농부들이라면 충분할 것이다.<br/>인간이 준비되었다면, 이제 독말풀 용액을 구해야 한다. 독말풀을 빻은 후, 가마솥에 넣어 팔팔 끓인다.<br/>독말풀 용액이 끓어오르면, 우리 푸른 피 일족의 피를 한 방울 가마솥에 떨어트려야 한다. 그렇다면 모든 준비는 끝난 것이다.<br/></tr></td>",
91,76,"<tr><td>지금 급하게 이걸 쓰고 있어요.<br/>매 모양 문신을 한 사람들이 집을 부수고 상단의 짐을 불태우고 있어요.<br/><br/>@PC_NAME(0), 도망쳐요. 저 사람들을 피해서 먼 곳으로.<br/>그리고 성인식 무사히 마친 걸 축하해요. 원래 이 상자 안에 선물을 넣으려고 했는데...<br/>지금 내 운명이 어떻게 될지 모르겠지만, 어디서건 응원할게요.</td></tr>",
92,79,<tr><td><b>파비트라 대여제 기념비 보고서</b><br/>1. 이미 우려했던 대로 그들이 직접적인 행동을 시작함.<br/>2. 지난번 계획은 실패하였음.<br/>3. @PC_NAME(0) 님을 보내주신 초소의 빠른 판단에 감사드림.<br/> - 기념비를 파괴하려는 음모를 막아냄.<br/> - 문제였던 유령을 성공적으로 퇴치함.<br/>적절한 보상을 해주셨으면 합니다.<br/>- 오스먼트 -</td></tr>,
93,80,"<tr><td>어두울만큼 하얀돌이 생명에 관여하는 힘에 대해서는 일단 알았다. 죽어있는 시체를 되살릴 뿐 아니라 되살아난 시체를 죽일 수도 있다. 산 자와 죽은 자를 구분하는 힘. 어두울만큼 하얀돌은 다양한 힘을 가지고 있지만, 그중에서 우리에게 필요한 건 바로 이 힘이다.<br/>
옮겨라, 박사에게로. 박사가 직접 연구하면 더 좋은 힘을 발견할지도 모른다.</td></tr>",
94,81,"<tr> <td>술 취한 논에 있는 천 년 뿌리와 만 년 뿌리는 특별한 술이 없으면 깨울 수 없다.<br/>왕궁에는 각종 술이 보관되어 있는데, 그중에 천년주와 만년주라 불리는 술도 있다.<br/>실제로 그만큼 오래된 술인지는 모르나, 그게 있으면 뿌리들을 불러낼 수 있다.<br/>천 년 뿌리와 만 년 뿌리는 특별한 비밀을 누설한 죄로 저주를 입었다고 하는데, 그 비밀엔 연인과 사랑을 이루는...</td> </tr>
",
95,82,<tr><td>떠도는 소문을 쫓아 이곳을 찾아 헤맨 지도 벌써 1년이 지났다.<br/>이제 겨우 소문의 실체를 찾아 끝났다 생각했다.<br/>하지만 지금 눈앞에 있는 이 거대한 문은 꿈쩍도 하지 않는다.<br/>그저 헛된 꿈이었을까?</td></tr> ,
96,83,"<tr><td>찾았다. 이건 기적일 것이다.<br/>우연히 누군가에 의해 죽은 안개 괴물의 몸에서 저주 서린 물건을 찾은 것이다.<br/>처음 그것을 발견했을 때는 허탕인가 했지만, 문득 뇌리를 스치는 생각이 있었다.<br/>저주를 풀 수 있는 호수. 그 중심에 답이 있을 것이다. 이제 남은 시간이 얼마 없다. 서둘러야 한다.</td></tr> ",
97,84,"<tr><td>저주받은 물건 5개를 모두 찾아 정화하였지만, 이것이 끝이 아니었다.<br/>무엇이 더 필요한 걸까? 5개의 정화된 물건. 그리고...<br/>움직여야 한다. 이젠 고민할 시간조차 나에게 남아 있지 않다.<br/></td></tr> ",
98,86,"<tr><td>내란이 끝날 무렵, 파비트라 대여제를 섬겼던 네 명의 위대한 장군인 류이진, 나디르, 메레디스, 알키미를 중심으로 하리하랄라야 제국은 네 나라로 분열되고 말았다.<br/>황제 대신 봉토를 다스린다는 개념에 입각하여 각 나라를 ‘군주’라는 의미의 ‘이슈바라’라고 불렀고 각자의 위치에 따라 동방 이슈바라, 서방 이슈바라, 남방 이슈바라, 북방 이슈바라라는 이름이 생겼다.  <br/>-역사가 베누메네스</td></tr>",
99,85,"<tr><td>파비트라 대여제가 승하한 이후, 적통 계승자인 황태자가 행방불명되었다. 여제를 섬겼던 네 명의 위대한 장군들은 처음에는 힘을 합쳐 황태자의 행방을 추적했으나 얼마 안 가 서로 의심하게 되었다.<br/>서로 황태자를 숨기고 있다고 생각한 그들은 반목했고, 불화는 결국 내란으로 이어졌다. - 역사가 베누메네스</td></tr>

",
