id,item_id,count,cinema,highlight_doodad_id,use_alias,quest_act_obj_alias_id,drop_when_destroy
258,14383,1,,,t,501,f
259,14403,1,,,f,,f
262,14079,1,,,f,,f
263,14402,1,,,f,,f
264,7738,1,,,f,,f
266,14087,1,,,f,,f
268,14405,1,,,f,,f
270,14484,1,,,f,,f
272,14487,1,,,f,,f
273,14389,1,,,f,,f
274,14522,1,,,t,283,f
275,14156,3,,,f,,f
276,15724,3,,,t,290,f
277,13935,1,,,t,728,f
278,14578,3,,,f,,f
279,14068,1,,,f,,f
280,14601,1,,,f,,f
281,14051,1,,,f,,f
282,14614,1,,,f,,f
283,14633,1,,,f,,f
285,14079,1,,,f,,f
289,1843,1,,1352,t,1676,f
290,14792,3,,,f,,f
292,14845,1,,,f,,f
293,14855,5,,,f,,f
297,15610,8,,,f,,f
298,14871,1,,,f,,f
299,15565,1,,,f,,f
301,14865,1,,,f,,f
302,14866,1,,,f,,f
303,5005,1,,,f,,f
304,14393,1,,,f,,f
305,14393,1,,,f,,f
312,14893,1,,,f,,f
314,1841,1,,,f,,f
316,15060,5,,,t,716,f
317,14611,1,,1478,f,,f
322,14683,1,,,f,,f
324,1844,1,,,f,,f
325,15573,1,,,f,,f
326,15613,1,,,f,,f
329,15703,1,,,t,284,f
330,15705,1,,,t,285,f
331,15706,1,,,t,286,f
332,15708,1,,,f,,f
333,5118,5,,,t,197,f
335,5116,1,,,f,,f
336,5281,1,,,t,133,f
337,15802,1,,1081,t,134,f
342,5145,1,,,f,,f
344,15836,1,,,t,94,f
345,15830,3,,,f,,f
346,15829,1,,,f,,f
347,15814,1,,1081,t,107,f
349,16160,1,,,t,111,f
350,5215,3,,,t,113,t
352,15859,1,,,t,224,f
355,13975,1,,,t,123,f
360,13997,1,,,t,476,f
361,13996,1,,,t,478,f
362,14009,1,,,f,,f
363,14019,1,,,f,,f
366,15876,1,,,t,138,f
367,13977,1,,,t,142,f
369,15899,3,,,t,701,f
371,15904,1,,,t,270,f
374,15922,1,,,t,301,f
375,15951,1,,3635,t,225,f
376,20148,3,,3776,t,1096,f
377,15957,1,,,f,,f
379,15961,1,,,t,176,f
380,15914,1,,,t,281,f
381,5142,5,,,t,180,f
382,5140,3,,,t,181,f
383,4959,1,,924,f,188,f
384,14018,1,,,f,,f
386,19797,1,,,t,1118,f
387,15970,1,,,t,192,f
389,16016,1,,,t,227,f
391,16019,1,,,t,234,f
392,16149,1,,,f,,f
394,15947,1,,,f,,f
395,5129,1,,,t,266,f
396,16174,3,,,t,313,f
397,16178,1,,,t,317,f
398,15839,6,,,t,326,f
399,14068,1,,,t,343,f
400,16244,1,,,t,347,f
401,15701,1,,,t,351,f
402,16214,1,,,t,355,f
403,16293,1,,,f,,f
404,14068,1,,1461,t,379,f
405,16299,1,,,f,,f
406,16308,1,,,f,,f
409,16274,1,,,t,400,f
410,14045,1,,,t,417,f
411,16401,1,,,t,435,f
415,16420,3,,,t,678,f
417,16425,1,,,f,,f
418,16578,1,,,t,497,f
419,14001,1,,,t,499,f
420,16752,5,,,t,675,f
423,17162,1,,1430,f,,f
425,17594,3,,,t,1936,t
427,14928,1,,,t,552,f
429,17638,3,,,t,587,f
430,17634,1,,,t,668,f
431,17635,1,,,t,669,t
432,17661,1,,,f,,f
433,17650,1,,,f,,f
434,17682,1,,,f,,f
435,17691,1,,,f,,f
436,17802,1,,,t,657,t
437,17812,1,,,t,661,f
438,5137,1,,1073,t,662,f
442,4000,5,,,t,717,f
443,15613,1,,,t,719,f
445,4856,1,,,t,747,f
447,4856,1,,,t,749,f
448,13726,1,,,t,753,f
450,13726,1,,,t,755,f
451,4865,1,,,t,756,f
452,4865,1,,,t,757,f
453,15665,1,,,t,758,f
455,15665,1,,,t,761,f
456,15655,1,,,t,763,f
457,15655,1,,,t,765,f
458,14327,1,,,t,804,f
459,18478,1,,,t,806,f
460,4949,1,,1301,t,807,f
463,14007,1,,,f,,f
464,14006,1,,,f,,f
466,18638,1,,3339,t,827,f
468,18646,5,,,t,845,f
469,18865,1,,,t,847,f
470,18655,3,,,t,851,f
471,18659,1,,,t,854,f
472,18671,3,,,t,863,f
473,18672,1,,,t,870,f
474,18673,5,,,t,877,f
476,18720,3,,,t,909,f
477,18726,1,,,t,918,f
479,18735,3,,,t,920,f
480,18744,1,,,f,,f
481,17419,1,,,t,922,f
482,18758,1,,,f,,f
483,18864,1,,,t,972,f
484,18965,1,,,f,,f
485,18966,1,,,t,1350,f
486,18967,1,,,t,977,f
487,18972,1,,,t,978,f
488,19028,1,,,f,,f
489,18987,3,,,f,,f
490,18994,1,,,f,,f
491,19082,1,,,f,,f
493,18632,1,,3398,t,998,f
494,19546,1,,,t,1001,f
495,19561,3,,3806,t,2174,t
496,19562,1,,,f,,f
499,14027,1,,,t,1263,f
500,14013,1,,,f,,f
504,19525,1,,,t,1036,f
506,19662,5,,,f,,f
508,19665,1,,3807,t,1019,f
509,19685,3,,,t,1160,f
512,19786,3,,,t,2217,f
513,19750,1,,,t,1112,f
515,19752,1,,,t,1135,f
517,19829,3,,,t,1139,f
518,19880,1,,4122,t,1159,t
519,14013,3,,3760,t,1165,f
520,19849,3,,,t,1169,f
522,19707,1,,,t,1174,f
523,19844,1,,,t,1175,f
524,19860,5,,,t,1180,f
526,19872,1,,4014,t,1197,f
527,19875,1,,,f,,f
528,19880,1,,,f,,f
529,19881,1,,4042,t,1212,f
530,19958,1,,4103,t,1220,f
531,19971,1,,4077,t,1230,f
532,20021,3,,,t,1267,f
533,20019,1,,,t,1274,f
534,20022,3,,,t,1278,f
535,19989,5,,,t,1285,f
537,20076,1,,,t,1300,f
538,20075,1,,,t,1301,f
539,20074,1,,,t,1302,f
540,20073,1,,,t,1303,f
541,20137,1,,,t,1323,f
542,17470,1,,,t,1326,f
543,5126,1,,,t,1330,f
544,20156,1,,,f,,f
545,20157,1,,,t,2561,f
547,14736,1,,,t,1337,f
548,20146,1,,4281,t,1338,f
550,21178,1,,3647,t,1362,f
552,21258,1,,,t,2209,t
553,21114,1,,,f,,f
554,14938,1,,,f,,f
555,21303,1,,,t,1403,f
557,21342,1,,4499,t,1422,f
560,21506,1,,2548,t,1438,f
562,21507,1,,,f,,f
563,21507,1,,,t,1632,f
565,21508,1,,,t,1440,f
566,21516,5,,,f,,f
567,17697,1,,2991,f,,f
568,21351,1,,,t,1441,f
570,21499,1,,,t,1451,f
572,21310,1,,,f,,f
573,21578,5,,,f,,f
574,19776,1,,3951,t,1464,f
575,15659,1,,,t,1465,f
576,15664,1,,,t,1466,f
577,15661,1,,,t,1470,f
578,15663,1,,,t,1471,f
579,16230,1,,,t,1476,f
580,16339,1,,,t,1480,f
581,15659,1,,,t,1484,f
582,15664,1,,,t,1485,f
583,15661,1,,,t,1489,f
584,15663,1,,,t,1490,f
585,16230,1,,,t,1494,f
586,4865,1,,,t,1497,f
587,14677,1,,,t,1514,f
588,16280,1,,,t,1686,f
590,4862,1,,,t,1523,f
591,13728,1,,,t,1524,f
592,13724,1,,,t,1525,f
593,4856,1,,,t,1526,f
594,4862,1,,,t,1527,f
595,13728,1,,,t,1528,f
596,13724,1,,,t,1529,f
597,4856,1,,,t,1530,f
598,16293,1,,,f,,f
599,14145,1,,,f,,f
600,14677,1,,,t,1563,f
602,23567,1,,,t,1572,f
604,17255,3,,,t,1633,t
605,23595,5,,,t,1576,f
608,23419,3,,,t,1596,f
609,17800,1,,,t,1631,f
610,23621,1,,,t,2575,f
611,23624,1,,,t,1637,f
615,23692,1,,4760,t,1655,f
619,23728,1,,,t,1663,f
620,23707,1,,,t,1665,f
621,23708,1,,,t,1666,f
622,23709,1,,,t,1667,f
623,23680,1,,,t,1672,f
624,23681,1,,,t,1673,f
625,23682,1,,,t,1674,f
627,21847,1,,,t,1701,f
628,23614,1,,,t,1703,f
629,23615,1,,,t,1702,f
631,24125,1,,,t,1684,f
632,17585,1,,,t,1690,f
633,24165,1,,4614,t,1959,f
634,23415,5,,4553,t,1718,t
635,24196,1,,,t,1722,f
636,24267,1,,,t,1765,t
638,24271,1,,,t,1766,t
640,24321,1,,,t,1768,f
641,24278,1,,,f,,t
642,24281,1,,,f,,t
643,24291,1,,,t,1773,t
644,24296,1,,,t,1775,f
645,24312,1,,,f,,t
646,24314,1,,,t,1780,f
647,15652,1,,,t,1785,f
648,15646,1,,,t,1786,f
650,15659,1,,,t,1788,f
651,16230,1,,,t,1794,f
652,15661,1,,,t,1795,f
653,15663,1,,,t,1796,f
654,15676,1,,,t,1797,f
655,15675,1,,,t,1798,f
656,15676,1,,,t,1812,f
657,15675,1,,,t,1813,f
658,15664,1,,,t,1823,f
659,14903,5,,,t,1903,f
660,14903,5,,,t,1904,f
661,13728,5,,,t,1905,f
662,13728,5,,,t,1906,f
663,4859,5,,,t,1907,f
664,17670,3,,,t,1909,f
665,4859,5,,,t,1910,f
666,16334,5,,,t,1911,f
667,16334,5,,,t,1912,f
668,4858,5,,,t,1913,f
669,4858,5,,,t,1914,f
672,24969,1,,,t,1922,t
674,24976,1,,,f,,t
675,25056,1,,,t,1974,f
676,16420,5,,,t,2069,t
679,23635,1,,,t,2096,f
680,23635,1,,,t,2103,f
681,23635,1,,,t,2105,f
682,23635,1,,,t,2107,f
683,21336,5,,,t,2108,f
684,21325,1,,,t,2110,f
685,19742,1,,,f,,f
686,26023,1,,,t,2134,f
688,18983,10,,3532,t,2177,f
689,19039,1,,,t,2227,f
691,26095,5,,3561,t,2201,f
692,20047,1,,,t,2208,f
693,18704,3,,3458,f,,t
695,21253,1,,,t,2219,t
696,25737,1,,,t,2224,f
697,25737,1,,,t,2225,f
698,26399,1,,,f,,f
699,26597,1,,,t,2246,f
700,26598,1,,,t,2248,f
701,26599,1,,,t,2250,f
702,26600,1,,,t,2252,f
703,26503,1,,,t,2257,f
704,26603,1,,,t,2264,f
705,26601,1,,,t,2265,f
706,26602,1,,,t,2266,f
707,26606,1,,,t,2267,f
708,26604,1,,,t,2268,f
709,26605,1,,,t,2269,f
718,26713,1,,6119,t,2347,t
719,26860,1,,,t,2349,t
720,25295,1,,,f,,f
721,27214,1,,,t,2359,t
722,27277,5,,,t,2363,f
723,27304,1,,,t,2370,f
724,27305,1,,,t,2371,f
725,27306,1,,,t,2372,f
729,27371,1,,,t,2378,t
730,27493,1,,,t,2385,f
731,27550,7,,,f,,t
735,28850,1,,6982,t,2503,f
737,27620,1,,,f,,f
738,29108,1,,,t,2518,t
740,29154,3,,,f,,f
741,29102,1,,,t,2543,t
743,29193,3,,,t,2547,f
744,29755,3,,,t,2574,t
746,30000,1,,,t,2705,t
747,29996,1,,,f,,f
