id,plot_id,position,name,source_update_method_id,target_update_method_id,target_update_method_param1,target_update_method_param2,target_update_method_param3,tickets,target_update_method_param4,target_update_method_param5,target_update_method_param6,target_update_method_param7,aoe_diminishing,target_update_method_param8,target_update_method_param9
326,28,1,시전,3,4,0,0,0,1,0,0,0,0,f,0,0
327,28,2,채널링 런치,3,5,1183,0,0,1,0,0,0,0,f,4,127
344,31,1,도약하기,2,5,1184,0,20000,1,40,-3000,0,0,f,4,127
347,31,2,날틀 타기,3,2,0,0,50000,1,-105,23000,0,0,f,0,0
351,32,1,튕기기,3,5,1185,0,5000,10,0,0,0,0,f,4,127
352,33,1,점화1,3,5,1186,0,5000,1,0,10000,0,0,f,4,127
354,33,2,애니스톱,3,4,0,0,0,1,0,0,0,0,f,0,0
355,34,2,멀리 던지기,3,5,1187,0,7000,1,0,0,0,0,f,4,127
356,34,3,퐁당1,1,5,1188,0,9000,1,0,0,0,0,f,4,127
357,34,4,퐁당2,1,5,1189,0,10500,1,0,0,0,0,f,4,127
358,34,5,퐁당3,1,5,1190,0,11500,1,0,0,0,0,f,4,127
359,34,6,퐁당4,1,5,1191,0,12000,1,0,0,0,0,f,4,127
360,34,7,Copy of 퐁당1,1,5,1192,0,12500,1,0,0,0,0,f,4,127
361,34,1,발동,3,4,0,0,0,1,0,0,0,0,f,0,0
364,35,2,첫째 - 소스 대상 지정,1,2,0,0,0,6,0,0,0,0,f,0,0
365,35,4,첫째 - 지역,4,7,1193,1,1000,6,5000,0,0,4,f,127,0
366,35,5,첫째 - 높이 추가,4,5,1194,1,0,6,0,1000,0,0,f,4,127
367,35,3,첫째 - 한번 앞으로,3,5,1195,1,3000,6,0,0,0,0,f,4,127
368,35,1,난사 발동,3,4,0,0,0,1,0,0,0,0,f,0,0
369,35,6,둘째 - 소스 대상 지정,1,2,0,0,0,10,0,0,0,0,f,0,0
370,35,7,둘째 - 한번 앞으로,3,5,1196,1,6000,10,0,0,0,0,f,4,127
371,35,8,둘째 - 지역,4,7,1197,1,1000,10,5000,0,0,4,f,127,0
372,35,9,둘째 - 높이 추가,4,5,1198,1,0,10,0,1000,0,0,f,4,127
373,35,10,셋째 - 소스 대상 지정,1,2,0,0,0,6,0,0,0,0,f,0,0
374,35,11,셋째 - 한번 앞으로,3,5,1199,1,9000,6,0,0,0,0,f,4,127
375,35,12,셋째 - 지역,4,7,1200,1,1000,6,5000,0,0,4,f,127,0
376,35,13,셋째 - 높이 추가,4,5,1201,10,0,6,0,1000,0,0,f,4,127
377,35,14,첫째 - 데미지,4,5,1202,1,0,6,0,0,0,0,f,4,127
378,35,15,둘째 - 데미지,4,5,1203,1,0,6,0,0,0,0,f,4,127
379,35,16,셋째 - 데미지,4,5,1204,1,0,6,0,0,0,0,f,4,127
388,38,1,부스터,3,5,1205,0,10000,1,0,10000,0,0,f,4,127
389,39,1,Start,3,4,0,0,0,1,0,0,0,0,f,0,0
390,39,2,Right,1,5,1206,10,19000,2,350,0,0,0,f,4,127
392,39,3,Left,1,5,1207,10,19000,2,10,0,0,0,f,4,127
396,39,4,RB,1,5,1208,10,21000,2,135,-3000,0,0,f,4,127
397,39,5,LB,1,5,1209,10,21000,2,225,-3000,0,0,f,4,127
399,36,1,발동,3,4,0,0,0,1,0,0,0,0,f,0,0
400,36,2,처음 - 소스 대상 지정,1,2,0,0,0,5,0,0,0,0,f,0,0
401,36,3,처음 - 앞으로 이동,3,5,1210,0,30000,5,0,-3000,0,0,f,4,127
402,36,4,처음 - 범위 지정,3,7,1211,10,2000,5,3000,0,0,4,f,127,0
404,36,5,2 - 소스 대상 지정,1,2,0,0,0,5,0,0,0,0,f,0,0
405,36,6,2 - 앞으로 이동,3,5,1212,0,25000,5,0,-3000,0,0,f,4,127
406,36,7,2 - 범위 지정,3,7,1213,10,2000,5,3000,0,0,4,f,127,0
408,36,8,3 - 소스 대상 지정,1,2,0,0,0,5,0,0,0,0,f,0,0
409,36,9,3 - 앞으로 이동,3,5,1214,0,20000,5,0,-3000,0,0,f,4,127
410,36,10,3 - 범위 지정,3,7,1215,10,2000,5,3000,0,0,4,f,127,0
417,36,11,4 - 소스 대상 지정,1,2,0,0,0,5,0,0,0,0,f,0,0
418,36,12,4 - 앞으로 이동,3,5,1216,0,15000,5,0,-3000,0,0,f,4,127
419,36,13,4 - 범위 지정,3,7,1217,10,2000,5,3000,0,0,4,f,127,0
420,36,14,1 - 데미지,3,5,1218,5,0,5,0,0,0,0,f,4,127
421,36,15,2 - 데미지,3,5,1219,5,0,5,0,0,0,0,f,4,127
422,36,16,3 - 데미지,3,5,1220,5,0,5,0,0,0,0,f,4,127
423,36,17,4 - 데미지,3,5,1221,5,0,5,0,0,0,0,f,4,127
424,28,3,모션 지정,1,2,0,0,0,1,0,0,0,0,f,0,0
425,28,4,소스 대상 지정,1,2,0,0,0,40,0,0,0,0,f,0,0
426,28,5,대상 떨굼,3,6,1222,1,4,40,127,0,0,0,f,0,0
427,28,6,대상 뛰움,3,4,10000,0,0,40,0,0,0,0,f,0,0
428,28,9,채널링 종료,3,4,0,0,0,1,0,0,0,0,f,0,0
429,28,8,이펙트 반복,3,5,1223,0,0,20,0,0,0,0,f,4,127
430,28,7,다시 소스 대상 지정,1,2,0,0,0,20,0,0,0,0,f,0,0
435,18,1,시전,3,4,0,0,0,1,0,0,0,0,f,0,0
436,18,2,채널링 런치,3,5,1224,0,0,1,0,0,0,0,f,4,127
437,18,3,소스 대상 지정,1,2,0,0,0,33,0,0,0,0,f,0,0
438,18,4,대상 뛰움,3,6,1225,1,4,33,127,0,0,0,f,0,0
439,18,6,이펙트 반복,1,5,1226,0,0,1,0,0,0,0,f,4,127
440,18,7,채널링 종료,3,4,0,0,0,1,0,0,0,0,f,0,0
441,18,5,이펙트용 지정,1,2,0,0,0,1,0,0,0,0,f,0,0
448,42,1,Start,3,4,0,0,0,1,0,0,0,0,f,0,0
450,42,6,Move,3,4,0,0,0,1,0,0,0,0,f,0,0
451,42,2,Damage,3,5,1227,5,0,1,0,0,0,0,f,4,127
452,42,5,Slow Area 1,3,5,1228,10,3000,1,0,0,0,0,f,4,127
453,43,1,Start,3,4,0,0,0,1,0,0,0,0,f,0,0
455,43,2,Damage1,3,5,1229,5,7000,1,0,0,0,0,f,4,127
456,43,4,Damage2,3,5,1230,10,12000,1,0,0,0,1,f,4,127
458,43,3,Move,3,4,0,0,0,1,0,0,0,0,f,0,0
459,44,1,Start,3,4,0,0,0,1,0,0,0,0,f,0,0
460,44,2,Stone Draw Damage,3,5,1231,5,5000,1,0,0,0,0,f,4,127
464,7,7,의기충전 해지,1,2,0,0,0,1,0,0,0,0,f,0,0
465,20,1,시전,3,4,0,0,0,1,0,0,0,0,f,0,0
466,20,2,런치,3,4,0,0,0,1,0,0,0,0,f,0,0
467,20,3,공중 지역,3,5,1232,0,0,1,0,7000,0,0,f,4,127
468,20,4,공중 폭발,3,4,0,0,0,1,0,0,0,0,f,0,0
469,20,6,지면,1,7,1233,5,5000,10,5000,0,0,4,f,127,0
470,20,5,소스 대상 지정,1,2,0,0,0,10,0,0,0,0,f,0,0
471,20,7,데미지,3,5,1234,5,0,1,0,0,0,0,f,4,127
488,46,1,Start,3,4,0,0,0,1,0,0,0,0,f,0,0
489,46,4,Hit,3,5,1235,3,5000,1,0,0,0,0,f,4,127
490,46,3,Hit_Animation,3,3,0,0,0,1,0,0,0,0,f,0,0
500,49,1,시전,3,4,0,0,0,1,0,0,0,0,f,0,0
501,49,2,발사,3,4,0,0,0,1,0,0,0,0,f,0,0
502,49,3,소스 대상 지정,1,2,0,0,0,50,0,0,0,0,f,0,0
503,49,4,유지,3,5,1236,5,5000,50,0,0,3000,0,f,4,127
504,49,5,높이 추가,4,5,1237,0,0,50,0,1000,0,0,f,4,127
505,49,7,데미지,4,5,1238,10,500,10,0,0,2000,0,f,4,127
506,49,6,처음 앞으로,3,5,1239,0,600,50,0,0,2000,0,f,4,127
507,49,8,데미지 높이 추가,4,5,1240,10,0,10,0,1000,0,0,f,4,127
508,49,9,애니메이션 정지,3,4,0,0,0,1,0,0,0,0,f,0,0
517,50,1,시작,3,4,0,0,0,1,0,0,0,0,f,0,0
518,49,10,버프 준다,3,4,0,0,0,1,0,0,0,0,f,0,0
519,50,2,발사,3,4,0,0,0,1,0,0,0,0,f,0,0
520,50,3,버프,3,4,0,0,0,1,0,0,0,0,f,0,0
521,50,4,소스 대상 지정,1,2,0,0,0,50,0,0,0,0,f,0,0
522,50,5,처음 앞으로,3,5,1241,0,600,50,0,0,2000,0,f,4,127
523,50,6,반복 앞으로,4,5,1242,10,500,10,0,0,2000,0,f,4,127
524,50,7,데미지 높이 추가,4,5,1243,10,0,10,0,1000,0,0,f,4,127
525,50,8,애니메이션 정지,3,4,0,0,0,1,0,0,0,0,f,0,0
526,51,1,start,3,4,0,0,0,1,0,0,0,0,f,0,0
527,51,2,move,3,4,0,0,0,4,0,0,0,0,f,0,0
530,52,1,발동,3,5,1244,0,1000,1,0,7000,0,0,f,4,127
531,51,3,squidink,3,5,1245,0,0,4,0,0,0,0,f,4,127
532,53,1,점프 발동,3,5,1246,0,1000,1,0,7000,0,0,f,4,127
533,54,1,처음 도약,3,5,1247,0,10000,1,0,0,3000,0,f,4,127
537,46,2,Draw,3,2,0,0,0,1,0,0,0,0,f,0,0
554,59,1,부스터,3,5,1248,0,10000,1,0,50000,0,0,f,4,127
555,61,1,발동,3,4,0,0,0,1,0,0,0,0,f,0,0
556,61,2,처음 - 소스 대상 지정,1,2,0,0,0,5,0,0,0,0,f,0,0
557,61,3,처음 - 앞으로 이동,3,5,1249,0,35000,5,0,0,0,0,f,4,127
558,61,4,처음 - 범위 지정,3,7,1250,10,2000,5,10000,0,0,4,f,127,0
568,61,14,1 - 데미지,3,5,1251,5,0,1,0,0,0,0,f,4,127
573,61,5,2 - 소스 대상 지정,1,2,0,0,0,5,0,0,0,0,f,0,0
574,61,6,2- 앞으로 이동,3,5,1252,0,30000,5,0,0,0,0,f,4,127
575,61,7,2 - 범위 지정,3,7,1253,10,2000,5,10000,0,0,4,f,127,0
576,61,8,3 - 소스 대상 지정,1,2,0,0,0,5,0,0,0,0,f,0,0
577,61,9,3 - 앞으로 이동,3,5,1254,0,25000,5,0,0,0,0,f,4,127
578,61,10,3 - 범위 지정,3,7,1255,10,2000,5,10000,0,0,4,f,127,0
579,61,11,4 - 소스 대상 지정,1,2,0,0,0,5,0,0,0,0,f,0,0
580,61,13,4 - 앞으로 이동,3,5,1256,0,20000,5,0,0,0,0,f,4,127
581,61,12,4 - 범위 지정,3,7,1257,10,2000,5,10000,0,0,4,f,127,0
582,61,15,2 - 데미지,3,5,1258,5,0,1,0,0,0,0,f,4,127
583,61,16,3 - 데미지,3,5,1259,5,0,1,0,0,0,0,f,4,127
584,61,17,4 - 데미지,3,5,1260,5,0,1,0,0,0,0,f,4,127
585,62,1,추락,3,5,1261,0,1000,1,0,-80000,0,0,f,4,127
621,65,1,Start,3,5,1262,0,0,1,0,14000,0,0,f,4,127
622,65,2,sniff far location,3,5,1263,0,10000,1,0,-93000,0,0,f,4,127
623,65,3,Sniff far,3,5,1264,20,0,3,0,0,0,0,f,4,127
624,65,5,Sniff Near,3,5,1265,10,0,5,0,0,0,0,f,4,127
625,65,4,Sniff Near Location,3,5,1266,0,10000,1,0,-45000,0,0,f,4,127
626,65,6,Sniff Damage,3,5,1267,5,0,5,0,0,0,0,f,4,127
627,65,7,Breath 1,3,5,1268,10,10000,1,0,3000,0,0,f,4,127
628,65,8,Breath 2,3,5,1269,15,23000,1,0,3000,0,1,f,4,127
629,65,9,Breath 3,3,5,1270,15,33000,1,0,3000,0,1,f,4,127
641,70,1,Start,3,5,1271,0,0,1,0,14000,0,0,f,4,127
644,70,2,Jump Impect ,3,4,0,0,0,1,0,0,0,0,f,0,0
646,70,3,Advance,3,4,0,0,0,1,0,0,0,0,f,0,0
647,70,4,inner wave 1,3,5,1272,10,65000,1,0,0,0,1,f,4,127
649,70,5,inner wave 2,3,5,1273,10,65000,1,45,0,0,1,f,4,127
650,70,6,inner wave 3,3,5,1274,10,65000,1,90,0,0,1,f,4,127
651,70,7,inner wave 4,3,5,1275,10,65000,1,135,0,0,1,f,4,127
652,70,8,inner wave 5,3,5,1276,10,65000,1,180,0,0,1,f,4,127
653,70,9,inner wave 6,3,5,1277,10,65000,1,225,0,0,1,f,4,127
654,70,10,inner wave 7,3,5,1278,10,65000,1,270,0,0,1,f,4,127
655,70,11,inner wave 8,3,5,1279,10,65000,1,315,0,0,1,f,4,127
656,70,12,Center wave,1,5,1280,30,0,1,0,0,0,1,f,4,127
658,70,14,Outer wave 1,3,5,1281,10,60000,1,0,0,0,1,f,4,127
676,73,1,시전,3,4,0,0,0,1,0,0,0,0,f,0,0
677,73,2,발사,3,4,0,0,0,1,0,0,0,0,f,0,0
678,73,3,소스 대상 지정,1,2,0,0,0,5,0,0,0,0,f,0,0
679,73,4,실 대상 적용,3,7,1282,5,1000,5,3000,0,0,4,f,127,0
680,73,5,높이 추가,4,5,1283,0,0,5,0,1000,0,0,f,4,127
681,73,6,데미지,4,6,1284,0,4,5,127,0,0,0,f,0,0
682,73,7,모션 정지,3,4,0,0,0,1,0,0,0,0,f,0,0
683,74,1,Start,3,5,1285,0,0,1,0,14000,0,0,f,4,127
684,74,2,Sniff Location,3,5,1286,0,15000,1,0,-94000,0,0,f,4,127
685,74,3,Sniff,3,5,1287,30,0,5,0,0,0,0,f,4,127
686,74,4,Sniff Damage,3,5,1288,5,0,5,0,0,0,0,f,4,127
687,74,5,Breath 1,3,5,1289,10,25000,1,0,6000,0,0,f,4,127
688,74,6,Breath 2,3,5,1290,10,20000,1,0,-3000,0,1,f,4,127
689,74,7,Breath 3 Rpeat,3,5,1291,10,-16000,3,0,0,0,1,f,4,127
690,74,8,Move 1,3,4,0,0,0,1,0,0,0,0,f,0,0
691,74,9,Move 2,3,4,0,0,0,1,0,0,0,0,f,0,0
693,75,1,Start,3,5,1292,0,0,1,0,14000,0,0,f,4,127
694,75,2,Move 1,3,4,0,0,0,1,0,0,0,0,f,0,0
695,75,4,Move 2,3,4,0,0,0,1,0,0,0,0,f,0,0
696,75,5,Move 3,3,4,0,0,0,1,0,0,0,0,f,0,0
697,75,7,Left Wave Start,3,5,1293,10,30000,1,-90,0,0,0,f,4,127
698,75,8,Right Wave Start,3,5,1294,10,30000,1,90,0,0,0,f,4,127
699,75,9,Wave 1,3,5,1295,10,30000,1,-60,0,0,0,f,4,127
700,75,10,Wave 2,3,5,1296,10,30000,1,0,0,0,0,f,4,127
701,75,11,Wave 3,3,5,1297,10,30000,1,60,0,0,0,f,4,127
702,75,12,Wave 4,3,5,1298,10,40000,1,0,0,0,0,f,4,127
706,77,2,1,3,5,1299,0,15000,1,0,0,5000,0,f,4,127
709,76,1,1,3,7,1300,3,2500,1,3000,0,5000,4,f,127,0
712,78,1,Start,3,4,0,0,0,1,0,0,0,0,f,0,0
713,78,2,Cloud - Center,3,5,1301,0,0,1,0,0,0,0,f,4,127
725,70,13,Advence Buff,3,4,0,0,0,3,0,0,0,0,f,0,0
726,74,10,Move Buff,3,4,0,0,0,3,0,0,0,0,f,0,0
727,75,3,Move Buff,3,4,0,0,0,5,0,0,0,0,f,0,0
728,79,1,1,3,5,1302,0,500,1,0,2000,0,0,f,4,127
729,79,2,2,1,2,0,0,0,1,0,0,0,0,f,0,0
730,79,3,3,3,5,1303,0,7000,1,0,0,5000,0,f,4,127
731,40,1,Start,3,4,0,0,0,1,0,0,0,0,f,0,0
