id,name,owner_npc_id,kind_id
213,PvP FGT 무기 상인,0,0
214,PvP FGT 천 방어구 상인,0,0
215,PvP FGT 가죽 방어구 상인,0,0
216,PvP FGT 판금 방어구 상인,0,0
217,PvP FGT 장신구 상인,0,0
218,PvP FGT 전쟁 물자 상인,0,0
219,<방어구 01-20>,0,0
220,<떠돌이 01-40>,0,0
221,<대장장이>,0,0
222,npc.2739,2739,0
223,수성측 기본 판매 상품,0,0
224,수성측 공성 시 판매 상품,0,2
225,공성측 공성 시 판매 상품,0,2
227,<도박 상인>,0,0
228,OBT_DungeonTestMerchant_20LV,0,0
229,OBT_DungeonTestMerchant_33LV,0,0
230,OBT_DungeonTestMerchant_43LV,0,0
231,OBT_DungeonTestMerchant_48LV,0,0
232,npc.12062,12062,0
233,npc.5535,5535,0
234,npc.12391,12391,0
235,npc.12392,12392,0
236,npc.12393,12393,0
237,초보존 이벤트 상품 test 상인,0,0
238,Test Server 전용 상인 #73807,0,0
239,LiveDungeonTestMerchant_50LV_Cloth,0,0
240,LiveDungeonTestMerchant_50LV_Leather,0,0
241,LiveDungeonTestMerchant_50LV_Plate,0,0
242,LiveDungeonTestMerchant_50LV_Weapon,0,0
243,LiveDungeonTestMerchant_50LV_Accessory,0,0
244,LiveDungeonTestMerchant_50LV_Misc,0,0
245,npc.12803,12803,0
247,npc.12702,12702,0
248,npc.13041,13041,0
249,밤의 이야기 보따리 - 하리하라 연합,0,0
250,밤의 이야기 보따리 - 누이아 연합,0,0
251,하슬라 버려진 훈련소 상인,0,0
252,npc.13251,13251,0
253,npc.13312,13312,0
254,npc.13313,13313,0
255,npc.13128,13128,0
257,거상의 방석 중개인,0,0
258,델피나드의 유산 상인,0,0
259,npc.13630,13630,0
260,npc.13631,13631,0
261,npc.13987,13987,0
262,낚시 애호가,0,0
