id,name,model_id,hair_color_id,face_id,hair_id,beard_id,skin_color_id,body_diffuse_map_id
54,shader_test(nu_f03),11,0,5268,4082,0,0,0
55,8905 마크바(nu_m),10,306,18958,4085,0,21,0
56,B일반 - 타카 얼굴,20,38,8141,8152,564,10,0
57,B일반 - 노트 얼굴,10,65,4083,4084,0,2,0
58,A중요 - 타양 얼굴,20,36,8141,4984,0,10,0
59,3497 불한당 벨포의 수하 (nu_m) 솔즈리드,10,258,419,2536,0,1,0
60,B일반 - 벨포 얼굴,10,7,4083,4084,0,0,0
61,3615 론반공작 (nu_m),10,65,18497,4084,0,2,0
62,shader_test(el_f01),17,384,1130,19026,0,0,0
63,shader_test(el_f03),17,348,18013,18728,0,0,0
64,B일반 - 두그렌,16,33,8154,4088,0,5,0
65,7675 불한당 벨포의 심복 (nu_m) 솔즈리드,10,307,419,2536,0,2,0
66,shader_test(nu_f02),11,359,18007,19025,0,0,0
67,B일반 - 록,10,7,419,2536,0,0,0
68,B일반 - 베라이오,16,33,1143,4088,0,6,0
69,B일반 - 리드린,17,48,8175,8555,0,7,0
70,로그인 스테이지 - 하리하란 남,18,264,551,552,0,13,0
71,로그인 스테이지 - 하리하란 여,19,183,410,411,0,15,0
72,nu_f_face101,11,0,17605,17607,0,4,0
73,nu_f_face102,11,0,17606,8181,0,4,0
74,CutScene 여선장,968,0,17713,17772,0,0,0
75,0 - null,10,0,0,0,0,0,0
76,shader_test(el_f02),17,88,8175,1133,0,0,0
77,el_f_face04,17,0,18011,0,0,0,0
78,el_f_face05,17,0,18012,0,0,0,0
79,el_f_face06,17,0,18013,0,0,0,0
80,el_f_face07,17,0,18014,0,0,0,0
81,el_f_face08,17,0,18015,0,0,0,0
82,el_f_face09,17,0,18016,0,0,0,0
83,el_f_face10,17,0,18017,0,0,0,0
84,el_f_face100,17,0,17986,0,0,0,0
85,el_f_face101,17,0,17987,0,0,0,0
86,el_f_face102,17,0,17988,0,0,0,0
87,el_f_face103,17,0,17989,0,0,0,0
88,el_f_face104,17,0,17990,0,0,0,0
89,el_f_face105,17,0,17991,0,0,0,0
90,el_f_face106,17,0,17992,0,0,0,0
91,el_f_face107,17,0,17993,0,0,0,0
92,el_f_face108,17,0,17994,0,0,0,0
93,nu_f_face05,11,0,18004,0,0,0,0
94,nu_f_face06,11,0,18005,0,0,0,0
95,nu_f_face07,11,0,18006,0,0,0,0
96,nu_f_face08,11,0,18007,0,0,0,0
97,nu_f_face09,11,0,18008,0,0,0,0
98,nu_f_face10,11,0,18009,0,0,0,0
99,nu_f_face100,11,0,17604,0,0,0,0
100,nu_f_face103,11,0,17978,0,0,0,0
101,nu_f_face104,11,0,17979,0,0,0,0
102,nu_f_face105,11,0,17980,0,0,0,0
103,nu_f_face106,11,0,17981,0,0,0,0
104,nu_f_face107,11,0,17982,0,0,0,0
105,fe_f_face01,21,0,408,0,0,0,0
106,fe_f_face02,21,0,8157,0,0,0,0
107,fe_m_face01,20,0,563,0,0,0,0
108,fe_m_face02,20,0,8141,0,0,0,0
109,ha_f_face01,19,0,410,0,0,0,0
110,ha_f_face02,19,0,18018,0,0,0,0
111,ha_f_face03,19,0,18019,0,0,0,0
112,ha_f_face04,19,0,18020,0,0,0,0
113,ha_f_face05,19,0,18021,0,0,0,0
114,ha_f_face06,19,0,18022,0,0,0,0
115,ha_f_face07,19,0,18023,0,0,0,0
116,ha_f_face08,19,0,18024,0,0,0,0
117,ha_f_face09,19,0,18025,0,0,0,0
118,ha_f_face10,19,0,18026,0,0,0,0
119,ha_f_face100,19,0,17973,0,0,0,0
120,ha_f_face101,19,0,17974,0,0,0,0
121,ha_f_face102,19,0,17975,0,0,0,0
122,ha_f_face103,19,0,17976,0,0,0,0
123,ha_f_face104,19,0,17977,0,0,0,0
124,ha_m_face01,18,0,551,0,0,0,0
125,ha_m_face02,18,0,16038,0,0,0,0
126,cut 여선장_피묻은,968,0,18064,17772,0,0,0
127,cut 인트로_하리하란_남,979,0,18119,18120,0,0,0
128,cut 인트로_누이안_남,980,0,18122,18123,0,0,0
129,cut - 엘프남 선원1,16,0,1143,4088,0,0,0
130,cut - 누이안남 선원2,10,0,4083,4085,0,0,0
131,el_f_face109,17,0,18100,0,0,0,0
132,el_f_face110,17,0,18101,0,0,0,0
133,el_f_face111,17,0,18102,0,0,0,0
134,el_f_face112,17,0,18103,0,0,0,0
135,el_f_face113,17,0,18104,0,0,0,0
136,el_f_face114,17,0,18105,0,0,0,0
137,el_f_face115,17,0,18106,0,0,0,0
138,el_f_face116,17,0,18107,0,0,0,0
139,el_f_face117,17,0,18108,0,0,0,0
140,el_f_face118,17,0,18109,0,0,0,0
141,el_f_face119,17,0,18110,0,0,0,0
142,ha_f_face105,19,0,18111,0,0,0,0
143,ha_f_face106,19,0,18112,0,0,0,0
144,ha_f_face107,19,0,18113,0,0,0,0
145,ha_f_face108,19,0,18114,0,0,0,0
146,ha_f_face109,19,0,18115,0,0,0,0
147,ha_f_face110,19,0,18116,0,0,0,0
148,ha_f_face111,19,0,18117,0,0,0,0
149,ha_f_face112,19,0,18095,0,0,0,0
150,nu_f_face108,11,0,18086,0,0,0,0
151,nu_f_face109,11,0,18087,0,0,0,0
152,nu_f_face110,11,0,18088,0,0,0,0
153,nu_f_face111,11,0,18089,0,0,0,0
154,nu_f_face112,11,0,18090,0,0,0,0
155,nu_f_face113,11,0,18091,0,0,0,0
156,nu_f_face114,11,0,18092,0,0,0,0
157,nu_f_face115,11,0,18093,0,0,0,0
158,nu_f_face116,11,0,18094,0,0,0,0
159,ha_m_face03,18,0,18126,0,0,0,0
160,ha_m_face100,18,0,18158,552,0,0,0
161,3515 로나 (nu_f),11,139,18007,4082,0,3,0
162,nu_f_ghost,11,0,18453,0,0,0,0
163,8214 푸른진주호 선원 터너(nu_m),10,306,8104,4085,0,1,0
164,3486 웃는 얼굴 만크스(nu_m),10,307,18500,2536,0,1,0
165,1885 바르웬 (el_f),17,89,17993,1133,0,7,0
166,3667 이프나의 후예 크로즈 (el_m),16,221,8154,8475,0,6,0
167,1884 세라하 (el_m),16,30,1143,4088,0,6,0
168,1870 베어 (nu_m),10,23,18498,2536,0,1,0
169,1919 오즈마 (nu_m),10,247,4083,4084,0,1,0
170,1918 카시우스 (el_m),16,227,4087,1144,0,6,0
171,679 경비대장 그론 (nu_m),10,0,18498,4085,0,21,0
172,390 교관 하르파 (el_f),17,421,17986,19360,0,7,0
173,576 네서틴 (el_f),17,122,18101,8555,0,7,0
174,714 흉터난 제이콥 (nu_m),10,0,18500,4085,0,1,0
175,790 검은 수염 개리엇 (nu_m),10,248,18497,4084,0,1,0
176,shader_test(ha_m02),18,296,16038,18028,0,0,0
177,shader_test(ha_m03),18,284,551,18027,0,0,0
178,shader_test(ha_f01),19,183,410,411,0,0,0
179,shader_test(ha_f02),19,191,410,19027,0,0,0
180,shader_test(ha_f03),19,191,18020,18745,0,0,0
181,1456 여급 지수,11,368,18087,19025,0,3,0
182,"8806,1478 잉에보리 (ha_f)",19,407,18114,19385,0,15,0
183,1443 광산대표 아르네 (nu_m),10,0,8104,4085,0,21,0
184,1449 토성 영주 이샨 (nu_m),10,0,8104,4085,0,1,0
185,1394 1434 이니스테르 왕자 울쏘우 (nu_m),10,247,4083,4084,0,1,0
186,1396 이니스테르 왕자 잉그바드 (nu_m),10,256,8100,2536,0,21,0
187,1395 이니스테르 국왕 소르켈 (nu_m),10,0,8104,4085,0,1,0
188,1463 은자 예스타 (nu_m),10,0,8104,4085,0,1,0
189,5698 굽은 등 상단 행수 무스타인 (ha_m),18,292,18503,18028,0,19,0
190,1458 엘리자베트 (nu_f),11,167,17979,8181,0,3,0
191,5666 늙은 모레 (ha_m),18,858,18501,18028,0,13,0
192,614 신관 에피파니 (el_f),17,391,18016,19026,0,8,0
193,8777 8818 정신을 잃은/기운을 차린 농부 (nu_m),10,249,419,4084,0,1,0
194,453 벌거숭이 파수꾼 대장 리네리프 (nu_m),10,260,18497,2536,0,21,0
195,6550 다후타의 종 이그니어스 (elf_m),16,219,8154,1144,0,6,0
196,6973 마법사 에르딜 (elf_m),16,63,1143,8475,0,5,0
197,8104 다후타의 대사제 뤼산델 (elf_m) ,16,233,18957,4088,0,6,0
198,2104 테베즈 (nu_m),10,260,18499,2536,0,1,0
199,2107 리누스 (nu_m),10,251,18496,4084,0,1,0
200,2115 제이시 (nu_m),10,306,18497,4085,0,21,0
201,2074 말라키 (nu_m),10,0,8104,4085,0,2,0
202,2082 가려진 달의 알란나 (nu_f),11,160,18092,8181,0,3,0
203,2108 디아무이드 (nu_m),10,306,419,4085,0,21,0
204,2109 카에목 (nu_m),10,246,4083,4084,0,1,0
205,2087 기술고문 퍼시 (nu_m),10,253,18958,4084,0,1,0
206,2042 강령술사 에밀리오 (nu_m),10,20,4083,4084,0,1,0
207,헤어테스트 nu_f_hair001,11,0,0,413,0,0,0
208,헤어테스트 nu_f_hair002,11,0,0,4082,0,0,0
209,헤어테스트 nu_f_hair003,11,0,0,8181,0,0,0
210,헤어테스트 nu_f_hair004,11,0,0,15612,0,0,0
211,헤어테스트 nu_f_hair005,11,0,0,17607,0,0,0
212,헤어테스트 nu_f_hair006,11,0,0,19025,0,0,0
213,헤어테스트 nu_f_hair007,11,0,0,19359,0,0,0
214,헤어테스트 nu_m_hair001,10,0,0,2536,0,0,0
215,헤어테스트 nu_m_hair002,10,0,0,4084,0,0,0
216,헤어테스트 nu_m_hair003,10,0,0,4085,0,0,0
217,헤어테스트 elf_f_hair001,17,0,0,0,0,0,0
218,헤어테스트 elf_f_hair002,17,0,0,4932,0,0,0
219,헤어테스트 elf_f_hair003,17,0,0,8554,0,0,0
220,헤어테스트 elf_f_hair004,17,0,0,0,0,0,0
221,헤어테스트 elf_f_hair005,17,0,0,18728,0,0,0
222,헤어테스트 elf_f_hair006,17,0,0,19026,0,0,0
223,헤어테스트 elf_f_hair007,17,0,0,19360,0,0,0
224,헤어테스트 nu_m_hair004,10,0,0,15605,0,0,0
225,2806 도로시 (nu_f),11,357,4081,19025,0,3,0
226,2896 백병전 훈련 교관 (nu_m),10,255,18500,2536,0,2,0
227,2741 루크레시아 (nu_f),11,403,5268,19359,0,4,0
228,예쁜누이안여자긴머리01,11,165,18087,8181,0,3,0
229,예쁜누이안여자긴머리02,11,138,18088,19025,0,3,0
230,누이안남자긴머리01,10,19,419,4084,0,2,0
231,누이안남자짧은머리01,10,307,18497,2536,0,2,0
232,1569 과수원 노예 야곱 (ha_m),18,281,18956,18027,0,13,0
233,하리하란 노인팩 (임시용),18,0,18503,24194,0,13,0
234,1727 지도자 크라우스 (ha_m),18,264,551,552,0,13,0
235,8088 목소리 큰 해적 시지포스 (nu_m),10,306,18498,4085,0,21,0
236,7984 브락키오의 왼팔 오웬팔 (nu_m),10,65,18958,4084,0,1,0
237,7985 브락키오의 오른팔 오르파르 (nu_m),10,306,18496,4085,0,2,0
238,7773 황금바다 해적단 사천왕 브락키오 (nu_m),10,247,419,4084,0,1,0
239,7944 7804 붉은 구월단 우두머리 아모텍 (ha_m),18,282,16038,18028,0,14,0
240,7918 노예 율리우스 (ha_m),18,288,551,24194,0,13,0
241,2423 탈영병 퀸투스 (nu_m),10,313,18958,15605,0,21,0
242,2427 부두 자치회 대표 에르티나 (nu_f),11,170,17980,8181,0,4,0
243,5038 비파 연주가 샤오 (ha_m),18,289,18503,18028,0,14,0
244,5066 퇴역 장군 콰우 (ha_m),18,265,18502,552,0,19,0
245,3138 클리페 (nu_f),11,159,5268,8181,0,0,0
246,3137 페데르센 (nu_m),10,0,18497,4085,0,21,0
247,3289 헬마이어 (nu_m),10,251,8100,4084,0,0,0
248,3288 마르센 (nu_m),10,0,4083,4085,0,0,0
249,3287 프리센 (nu_m),10,0,419,4085,0,0,0
250,컨셉 - 극단영희 - 아빠,10,251,419,2536,0,0,0
251,컨셉 - 극단영희 - 엄마,11,135,18007,413,0,0,0
252,9796 전투 훈련교관 투샨 (ha_m),18,274,18502,18028,0,13,0
253,9797 살피라의 화신 아크미트 (ha_m),18,270,18956,18028,0,19,0
254,9809 정화를 꿈꾸는 멜키나 (ha_f),19,190,18020,19385,0,15,0
255,1407 환락가 접대부 (ha_f),19,416,0,19385,0,0,0
256,1408 환락가 윤락녀 (nu_f),11,162,0,8181,0,0,0
257,9252 고대 신앙 신도 크림 (nu_f),11,403,18086,19359,0,3,0
258,9258 고대 신앙 신도 밀터 (nu_m),10,254,18958,4084,0,1,0
259,9261 고대 신앙 사제 일 (nu_m),10,255,419,4084,0,1,0
260,9272 헤이루 (ha_f),19,183,18022,17543,0,20,0
261,1324 아카네스 학파의 수석 마법사 레기오스 (ha_m),18,264,18126,18028,0,13,0
262,1322 히페리온 (ha_m),18,264,18956,18028,0,14,0
263,1305 아키네스 학파 우두머리 코르토스 (ha_m),18,273,18126,552,0,13,0
264,6023 아이세 (fe_f),21,300,8157,409,0,11,0
265,10066/10069 노파 벨라르 (ha_f),19,208,17977,17543,0,20,0
266,9792/10065/10070 푸른 피의 지주 벨라르 (el_f),17,88,18101,19360,0,7,0
267,1266 아삼 (hu_m),18,267,18956,18028,0,13,0
268,아동 남자 - 001,355,0,5072,21177,0,0,0
269,10116/10155 관광객/소매치기 (ha_f),19,195,410,17251,0,15,0
270,10117/10154 관광객/소매치기 (ha_m),18,298,551,18028,0,19,0
271,10168/10172 관광객/소매치기 (ha_f),19,380,18023,19027,0,20,0
272,10170/10174 관광객/소매치기 (ha_m),18,276,18956,18027,0,13,0
273,10169/10173 관광객/소매치기 (fe_f),21,40,8157,409,0,11,0
274,10171/10175 관광객/소매치기 (fe_m),20,39,563,8152,0,9,0
275,10166/10167/8770/ 하디르 (elf_male_리턴드),16,16,4087,4088,0,5,0
276,2962 아이샤 (ha_f),19,207,18020,17543,0,0,0
277,9268 무명배우 로라 (nu_f),11,144,18089,8181,0,4,0
278,9829 클라시크 (nu_f),11,140,18666,413,0,4,0
279,9250 맬 (nu_f),11,144,18087,4082,0,3,0
280,8973 네미아 (nu_f),11,140,18007,8181,0,3,0
281,8980 8981 8982 용감한 프라피룬 (fe_f),21,302,8157,16245,0,11,0
282,10576 살피라 여신 (ha_f),19,411,18116,19385,0,15,0
283, (nu_m),10,248,18958,4084,0,2,0
284,9051 노르예트 조사단 발타스 (nu_m),10,0,18496,4085,0,21,0
285,9025 탐험 대장 달루스 (nu_m),10,0,18497,4085,0,21,0
286,9048 사랑스러운 린제이 (nu_f),11,151,17978,19025,0,3,0
287,9003 늙지 않는 여인 아이델 (nu_f),11,166,18087,8181,0,3,0
288,9172 시모네타 트리스테 (nu_f),11,140,18005,8181,0,3,0
289,8990 마틸다 트리스테 (nu_f),11,150,17606,413,0,3,0
290,8986 모래성 쌓는 시데로스 (nu_m),10,317,18958,4084,0,2,0
291,8992 기억을 지우고 싶은 오필리어 (nu_f),11,167,17979,8181,0,3,0
292,9046 어설픈 고블린 연구가 샐리,11,170,18088,8181,0,3,0
293,9127 과거를 후회하던 벤들라 (nu_f),11,368,4081,19025,0,3,0
294,8874 살리흐 (fe_m),20,79,8141,8152,0,9,0
295,8936 검은 상아 밀렵단 두목 베단타 (ha_f),19,1059,18022,19385,0,20,0
296,3218 숲지기 안드레센 (nu_m),10,0,18497,2536,0,0,0
297,9447 칼레일 교 교주 라크타라 (nu_m),10,20,4083,4084,0,2,0
298,9006 핸섬한 크루거 (nu_m),10,314,419,15605,0,2,0
299,엘프 메인퀘스트 - 에오카드 델토킨  (el_m),16,242,8154,8475,0,18,0
300,엘프 메인퀘스트 - 의원 벨리온 (el_m),16,235,18957,4088,0,5,0
301,페레 메인퀘스트 - 엘테르 (fe_f),21,303,8157,16245,0,11,0
302,페레 메인퀘스트 - 나린 (fe_f),21,42,8157,409,0,12,0
303,하리하란 메인퀘스트 - 바그바트 (fe_m),20,81,8141,15821,0,9,0
304,하리하란 메인퀘스트 - 유엘리 (ha_f),19,374,410,19027,0,15,0
305,하리하란 메인퀘스트 - 하만 (ha_m),18,0,18956,24194,0,13,0
306, 하리하란 메인퀘스트 - 문신 장인 오르페 (ha_m),18,265,18503,552,0,19,0
307,7634 수이란 (ha_f),19,0,18111,19385,0,0,0
308,3597 몰 (nu_f),11,367,17978,19025,0,3,0
309,7653 에이미 (nu_f),11,170,18087,8181,0,3,0
310,페레 메인퀘스트 - 루브크라프스 박사 (ha_m),18,0,18502,18028,0,14,0
311,0000_메인퀘_585 국왕 안드리온 (nu_m),10,251,18496,4084,0,1,0
312,0000_메인퀘_321 그라일렌트 경 (nu_m),10,263,18499,2536,0,1,0
313,0000_메인퀘_3611 고바논 장군 (nu_m),10,0,8104,4085,0,2,0
314,0000_메인퀘_10636 론반 공작 성 아주머니 (nu_f),11,134,17605,413,0,4,0
315,10655 루브크라프스의 조교 (ha_f),19,0,0,17251,0,0,0
316,0000_메인퀘_10581 마리안 (nu_f),11,359,17978,19025,0,3,0
317,0000_메인퀘_10564 루키우스 (nu_m),10,318,4083,15605,0,2,0
318,0000_메인퀘_3630 마엘와스 (nu_m),10,0,8104,4085,0,21,0
319,0000_메인퀘_10586 맬컴 (nu_m),10,23,18500,2536,0,21,0
320,0000_메인퀘_10644 숨이 끊어진 스콧 (nu_m),10,0,8104,4085,0,21,0
321,0000_메인퀘_10559 아탈란시아 (nu_f),11,137,18009,413,0,22,0
322,0000_메인퀘_4248 주술사 그렐 (fe_m),20,80,8141,15821,0,10,0
323,0000_메인퀘_4240 오나흐 (fe_m),20,35,563,4984,0,9,0
324,0000_메인퀘_9811 바람의 신 (fe_m),20,35,8141,4984,0,9,0
325,ha_f_face001_hair004,19,1064,410,24081,0,15,0
326,10901 컨셉 - 극단영희 - 날틀 (el_f),17,479,17986,24042,0,7,0
327,ferre_male_hair01(cbt5),20,0,0,4984,0,0,0
328,ferre_male_hair02(cbt5),20,0,0,8152,0,0,0
329,ferre_male_hair03(cbt5),20,0,0,15821,0,0,0
330,ferre_male_hair04(cbt5),20,0,0,24145,0,0,0
331,ferre_female_hair01(cbt5),21,0,0,409,0,0,0
332,ferre_female_hair02(cbt5),21,0,0,15577,0,0,0
333,ferre_female_hair03(cbt5),21,0,0,16245,0,0,0
334,ferre_female_hair04(cbt5),21,0,0,24141,0,0,0
335,아동 남자 - 002,355,0,5072,24201,0,0,0
336,아동 남자 - 003,355,0,5072,24202,0,0,0
337,2854 실베스테르의 어머니 (nu_f),11,0,17981,0,0,0,0
338,5193 수석 배우 베아트리체(nu_f),11,164,4081,8181,0,0,0
339,nu_m_old,10,0,8104,0,0,0,0
340,아동 남자 - 004,355,0,5072,25681,0,0,0
341,nuian_female_f001_h01_gol,11,0,412,24024,0,4,0
342,nuian_female_f100_h02_bro,11,140,17604,24025,0,4,0
343,nuian_female_f102_h03_kha,11,0,17606,8181,0,4,0
344,nuian_male_f103_h02_cho,10,65,18499,4084,0,1,0
345,nuian_male_f001_h01_gol,10,19,419,2536,0,1,0
346,7954 시녀 다미닌,19,198,18019,24080,0,0,0
347,10122 프라시미 (ha_f),19,334,17976,18745,0,0,0
348,10121 라즈무시 (ha_m),18,265,18501,552,0,0,0
349,7892 키다리 에르힌 (fe_m),20,38,0,8152,0,0,0
350,3078 붉은 수염의 하비엘 (ha_m),18,282,18502,18027,0,0,0
351,아동 여자 - 004,355,0,5072,25682,0,0,0
352,아동 남자 - 005,355,0,5072,25833,0,0,0
353,두억시니 (구 아스트라),448,0,8571,8572,0,0,0
354,해제,355,0,5072,24202,0,0,0
355,5659 모레의 부인 맘브 (ha_f),19,334,18665,18745,0,0,0
356,7763 상단 연합 보안관 아그나 (ha_f),19,200,18018,17251,0,0,0
357,5670 바람 띠 상단원 행수 자히르(ha_f),19,213,18022,17543,0,0,0
358,3402 비쥬 (ha_f),19,411,18114,19385,0,0,0
359,ha_m_face102,18,0,18502,0,0,0,0
360,ha_m_hair003_blk,18,849,551,18028,0,0,0
361,ha_m_hair001_red,18,270,0,552,0,0,0
362,아동 여자 - 002,355,0,5072,25680,0,0,0
363,아동 여자 - 003,355,0,5072,25780,0,0,0
364,테스트,10,0,0,0,0,0,1
