id,delay,start_scale,end_scale,next_phase
175,8228572,650,1000,897
176,10285715,800,1000,898
177,5148000,700,1000,903
178,20592000,275,450,904
179,25740000,800,1000,7986
180,514286,800,1000,924
181,2057143,700,800,925
182,2571429,850,1000,926
183,92580000,500,1000,5009
184,24690000,800,1000,939
185,98760000,400,800,940
186,123450000,700,1000,8078
187,5142858,700,1000,948
188,20571429,700,1000,949
189,25714286,500,1000,950
194,1028572,760,1000,1490
195,4114286,700,1000,1491
196,5142858,700,1000,1492
197,10000,500,1000,1546
198,10000,500,1000,1549
199,2057143,900,1000,1705
200,10000,500,1000,1551
201,420000,500,1000,1556
202,420000,500,1000,1548
203,10285715,800,1000,1707
204,8228572,300,600,1706
205,4116000,750,1000,1743
206,16464000,900,1000,6304
207,20580000,750,1000,8058
208,1028572,800,1000,1766
209,4114286,800,1000,1767
210,5142858,950,1000,1768
211,18516000,800,1000,1773
212,74064000,400,700,6315
213,92580000,750,1000,7966
214,514286,800,1000,1780
215,2057143,650,800,1781
216,2571429,850,1000,1782
217,12342858,900,1000,1791
218,49371429,700,1000,1792
219,61714286,600,1000,1793
220,2057143,900,1000,1800
221,8228572,500,700,1801
222,10285715,750,1000,1802
223,7000,1000,1000,1829
225,5000,1500,1000,995
226,100,1000,1000,1920
227,100000,400,700,1917
230,100000,500,800,1923
231,100000,500,1000,1924
233,100000,300,500,1930
234,100000,500,1000,1930
236,100000,500,1000,2072
238,30000,1,1000,2215
239,10000,500,1000,2214
240,10000,500,1000,2215
241,10000,750,800,2292
242,10000,750,850,2293
243,10000,850,1000,2294
244,1000,500,1000,2576
245,1000,500,1000,2577
247,18516000,700,1000,2595
248,74064000,700,1000,2596
249,92580000,600,1000,8074
250,5000,1000,1000,2619
251,5000,500,1000,2620
252,9258000,750,1000,2632
253,37032000,600,1000,2633
254,46290000,700,1000,8062
256,100000,500,1000,2658
257,100000,500,1000,2659
258,2057143,600,1000,2671
260,8228572,500,1000,2672
261,10285715,700,1000,2673
262,9258000,700,1000,2682
263,37032000,500,900,2683
264,46290000,750,1000,8010
265,12342858,800,1000,2691
266,49371429,600,800,2692
267,61714286,850,1000,2693
268,24690000,700,1000,2700
269,98760000,700,800,2704
270,123450000,850,1000,8082
272,100000,500,1000,2711
273,100000,500,1000,2712
275,420000,500,1000,2719
276,100000,500,1000,2720
277,720000,700,800,2730
279,420000,500,1000,2730
280,4114286,700,1000,2738
281,16457143,600,1000,2739
282,20571429,700,1000,2740
283,12342858,700,1000,2769
284,61714286,850,1000,2771
286,5142858,800,1000,2778
287,20571429,500,700,6381
288,25714286,750,1000,2780
289,2058000,500,750,2789
290,100000,500,1000,2789
291,18522000,750,1000,10257
293,100000,500,1000,2795
294,100000,500,1000,2796
296,100000,500,1000,2801
297,100000,500,1000,2802
298,100,500,500,2811
299,100000,500,1000,2808
301,24690000,700,1000,2813
302,98760000,600,1000,6313
303,123450000,400,1000,7970
304,100000,500,1000,2824
305,100000,500,1000,2824
306,100000,500,1000,2825
307,5148000,500,700,2830
308,100000,500,1,2830
309,46332000,700,1000,10141
310,514286,800,1000,2835
311,2057143,850,900,2836
312,2571429,950,1000,2837
313,9258000,600,1000,2848
314,37032000,600,800,2849
315,46290000,600,1000,7945
316,1440000,600,1000,2855
317,5760000,600,1000,2856
318,7200000,600,1000,2857
320,100000,500,1000,2863
321,100000,500,1000,2864
323,100000,500,1000,2869
324,100000,500,1000,2870
326,100000,500,1000,2875
327,100000,800,1000,2876
329,100000,500,1000,2881
330,100000,500,1000,2882
331,18516000,700,1000,2886
332,74064000,400,1000,2887
333,92580000,900,1000,8022
335,100000,500,1000,2894
336,100000,500,1000,2895
338,100000,500,1000,2900
339,100000,500,1000,2901
340,12348000,600,1000,2905
341,49392000,400,1000,2906
342,61740000,800,1000,8070
343,12348000,700,1000,2912
344,49392000,450,650,2913
345,61740000,700,1000,8014
346,12348000,800,1000,2919
347,49392000,600,1000,2920
348,61740000,800,1000,7990
349,5142858,600,1000,2926
350,20571429,700,850,2927
351,25714286,850,1000,2928
352,4114286,700,1000,2933
353,16457143,600,1000,2934
354,20571429,800,1000,2935
356,100000,500,1000,2941
357,100000,500,1000,2942
359,100000,500,1000,2947
360,100000,500,1000,2948
361,2057143,750,1000,2952
362,8228572,800,1000,2953
363,10285715,700,1000,2954
364,12348000,500,800,2962
365,100000,500,1000,2962
366,111132000,800,1000,10249
367,9258000,700,1000,2967
368,37032000,600,1000,6311
369,46290000,800,1000,8006
371,100000,500,1000,2975
372,100000,500,1000,2976
373,4114286,800,1000,2981
374,16457143,600,1000,8018
375,20571429,600,1000,2983
377,100000,500,1000,2992
378,100000,500,1000,2993
379,86400000,500,1000,10340
381,420000,500,1000,2998
382,87480000,500,1000,2999
384,100000,500,1000,3004
385,100000,500,1000,3005
386,5000,500,1000,3129
388,2500,500,1000,2580
390,5000,500,1000,3141
392,10000,400,1000,3168
395,5000,500,1000,3182
396,100000,500,1000,1924
399,5000,1000,1000,3318
400,5000,500,1000,3319
401,30000,750,800,2522
402,30000,750,850,2523
403,30000,850,1000,3345
404,100000,500,1000,3377
405,100000,500,1000,3378
406,100000,500,1000,3381
407,100000,500,1000,3382
408,100000,500,1000,3386
409,100000,500,1000,3387
410,100000,500,1000,3389
411,100000,500,1000,3390
412,100000,500,1000,3392
413,100000,500,1000,3393
414,100000,500,1000,3395
415,100000,500,1000,3396
416,100000,500,1000,3398
417,100000,500,1000,3399
418,100000,500,1000,3401
419,100000,500,1000,3402
421,100000,500,1000,3405
422,100000,500,1000,3407
423,100000,500,1000,3408
424,100000,500,1000,3410
425,100000,500,1000,3411
426,100000,500,1000,3413
427,100000,500,1000,3414
428,100000,500,1000,3416
429,100000,500,1000,3417
430,100000,500,1000,3419
431,100000,500,1000,3420
432,100000,500,1000,3422
433,100000,500,1000,3423
434,100000,500,1000,3425
435,100000,500,1000,3426
436,100000,500,1000,3428
437,100000,500,1000,3429
438,100000,500,1000,3431
439,100000,500,1000,3432
440,100000,500,1000,3434
441,100000,500,1000,3435
442,100000,500,1000,3437
443,100000,500,1000,3438
444,100000,500,1000,3440
445,100000,500,1000,3441
446,1032000,500,750,3443
447,9288000,750,1000,10120
448,100000,500,1000,3446
449,100000,500,1000,3447
450,10000,500,1000,3449
451,10000,500,1000,3450
452,100000,500,1000,3452
453,100000,500,1000,3453
454,100000,500,1000,3455
455,100000,500,1000,3456
456,100000,500,1000,3458
457,100000,500,1000,3459
458,100000,500,1000,3461
459,100000,500,1000,3462
461,100000,500,1000,3465
462,100000,500,1000,3469
463,100000,500,1000,3470
464,100000,500,1000,3472
465,100000,500,1000,3473
466,100000,500,1000,3475
467,100000,500,1000,3476
468,100000,500,1000,3478
469,100000,500,1000,3479
470,100000,500,1000,3481
471,100000,500,1000,3482
472,100000,500,1000,3484
473,100000,500,1000,3485
474,100000,500,1000,3487
475,100000,500,1000,3488
476,100000,500,1000,3490
477,100000,500,1000,3491
478,100000,500,1000,3493
479,100000,500,1000,3494
480,100000,500,1000,3496
481,100000,500,1000,3497
482,100000,500,1000,3499
483,100000,500,1000,3500
484,100000,500,1000,3506
485,100000,500,1000,3507
486,100000,500,1000,3509
487,100000,500,1000,3510
488,100000,500,1000,3512
489,100000,500,1000,3513
490,100000,500,1000,3515
491,100000,500,1000,3516
492,100000,500,1000,3518
493,100000,500,1000,3519
494,100000,500,1000,3521
495,100000,500,1000,3522
496,100000,500,1000,3524
497,100000,500,1000,3525
498,100000,500,1000,3527
499,100000,500,1000,3528
500,100000,500,1000,3531
501,100000,500,1000,3532
502,100000,500,1000,3534
503,100000,500,1000,3535
504,100000,500,1000,3537
505,100000,500,1000,3538
506,100000,500,1000,3541
507,100000,500,1000,3542
508,100000,500,1000,3544
509,100000,500,1000,3545
510,100000,500,1000,3547
511,100000,500,1000,3548
512,100000,500,1000,3550
513,100000,500,1000,3551
514,100000,500,1000,3553
515,100000,500,1000,3554
516,100000,500,1000,3560
517,100000,500,1000,3561
518,100000,500,1000,3563
519,100000,500,1000,3564
520,100000,500,1000,3566
521,100000,500,1000,3567
522,100000,500,1000,3569
523,100000,500,1000,3570
524,100000,500,1000,3572
525,100000,500,1000,3573
526,100000,500,1000,3576
527,100000,500,1000,3575
528,100000,500,1000,3579
529,100000,500,1000,3580
530,100000,500,1000,3583
531,100000,500,1000,3584
532,100000,500,1000,3586
533,100000,500,1000,3587
534,100000,500,1000,3589
535,100000,500,1000,3590
536,1000,120,120,3155
537,4000,120,300,3168
538,60000,1,1000,3662
539,60000,1,1000,3664
540,60000,1,1000,3666
541,60000,1,1000,3668
542,60000,1,1000,3670
543,60000,1,1000,3692
544,60000,1,1000,3695
545,60000,1,1000,3698
546,60000,1,1000,3701
547,60000,1,1000,3706
548,60000,1,1000,3709
549,60000,1,1000,3712
551,100000,500,1000,3720
556,100000,500,1000,3976
557,1032000,500,750,4403
558,9288000,750,1000,10156
559,1548000,500,750,4407
560,13932000,750,1000,10173
561,1032000,500,750,4411
562,9288000,750,1000,10161
563,100,500,500,4419
565,9258000,500,750,4420
566,83322000,750,1000,10196
567,1548000,500,750,4424
568,13932000,750,1000,10169
569,258000,500,750,4428
570,2322000,750,1000,10145
571,1032000,500,750,4432
572,9288000,750,1000,10165
573,9258000,500,750,4436
574,83322000,750,1000,10192
575,4116000,500,750,4440
576,37044000,750,1000,10177
577,4116000,500,750,4444
578,37044000,750,1000,10182
579,1548000,500,750,4448
580,13932000,750,1000,10081
581,100,500,500,4455
583,60000,500,750,4456
584,540000,750,1000,4457
585,1548000,500,750,4460
586,13932000,750,1000,10089
587,258000,500,750,4464
588,2322000,750,1000,10060
589,516000,500,750,4468
590,4644000,750,1000,10076
591,258000,500,750,4472
592,2322000,750,1000,10064
593,60000,500,750,4476
594,540000,750,1000,4477
595,516000,500,750,4480
596,4644000,750,1000,10072
598,13932000,750,1000,10085
599,516000,500,750,4488
600,4644000,750,1000,10215
601,1080000,500,750,4492
602,9720000,750,1000,4493
603,2058000,500,750,4496
604,18522000,750,1000,10130
605,1032000,500,750,4500
606,9288000,750,1000,10116
607,1440000,500,750,4504
608,12960000,750,1000,4505
609,2058000,500,750,4508
610,18522000,750,1000,10134
611,516000,500,750,4512
612,4644000,750,1000,10107
613,1440000,500,750,4516
614,12960000,750,1000,4517
615,174000,500,750,4520
616,1566000,750,1000,10103
617,360000,500,750,4524
618,3240000,750,1000,4525
619,516000,500,750,4528
620,4644000,750,1000,10111
621,516000,500,750,4532
622,4644000,750,1000,10211
623,100,500,500,4539
625,12348000,500,750,4540
626,111132000,750,1000,10245
627,100,500,500,4544
629,1548000,500,750,4548
630,13932000,750,1000,10220
631,420000,500,1000,4672
632,420000,450,1000,4674
633,420000,500,1000,4673
634,420000,500,1000,4684
635,420000,500,1000,-1
637,20000,1000,3000,383
640,420000,500,1000,4888
641,420000,500,1000,4889
642,420000,500,1000,4890
643,420000,200,350,4901
644,420000,180,300,4902
645,420000,500,1000,4903
655,500000000,2000,2000,-1
656,50000000,2000,2000,-1
657,5000,500,1000,5184
658,15000,500,1000,5185
659,5000,500,1000,5188
660,15000,500,1000,5189
661,10000,500,1000,5200
662,0,1000,1000,5200
665,1548000,500,750,4484
666,5000,1000,1000,5517
667,5000,500,1000,5518
673,42000,100,1000,5678
674,42000,500,1000,5679
675,42000,500,1000,5680
676,10800000,900,1000,8508
681,100000,500,1000,5703
682,10000,500,1000,5706
683,10000,500,1000,5728
684,100000,500,1000,5723
685,3000,500,2000,5124
686,0,2000,2000,-1
687,2058000,500,750,5998
688,18522000,750,1000,10233
689,5148000,500,500,6002
690,46332000,800,800,10237
691,5148000,400,500,6006
692,46332000,500,600,10241
693,4116000,600,700,6017
694,37044000,700,800,10093
695,5148000,600,700,6022
696,46332000,700,1000,10265
697,100,200,200,6031
699,12348000,700,800,6033
700,111132000,800,900,10271
701,18516000,500,750,6038
702,166644000,750,1000,10276
703,100,750,1000,829
704,22680000,750,1000,400
705,100,750,1000,856
706,12342858,750,1000,6178
707,49371429,600,800,6179
708,61714286,700,800,6180
709,10000,500,1000,6555
710,5000,500,1000,6555
711,6480000,800,1000,2731
715,5000,500,1000,7261
716,10000,100,100,4932
717,25000,750,1000,7434
718,25000,750,1000,7435
721,49371429,650,800,2770
722,5000,600,1000,7610
723,10800000,800,1000,7615
724,10800000,600,800,7614
731,36000000,950,950,7617
733,1200,500,1000,-1
734,5000,500,1000,8231
738,2160000,600,1000,8369
740,1000,990,1000,13279
742,4116000,500,800,8439
743,37044000,800,1000,10283
744,4116000,500,800,8445
745,37044000,800,1000,10287
746,1548000,500,800,8450
747,13932000,800,1000,10203
748,1548000,500,800,8455
749,13932000,800,1000,10207
750,3600000,500,800,8460
751,32400000,800,1000,8461
752,3600000,500,800,8465
753,32400000,800,1000,8466
754,9258000,500,800,8470
755,83322000,800,1000,10308
756,8640000,500,800,8475
757,77760000,800,1000,10312
758,9258000,500,800,8480
759,83322000,800,1000,10304
760,12348000,500,800,8485
761,111132000,800,1000,10316
762,5616000,500,1000,8513
764,2000,600,1000,9035
766,2000,650,1000,9040
767,16848000,900,1000,-1
773,1032000,1000,1000,5793
774,9288000,1000,1000,12444
775,516000,1000,1000,4692
776,4644000,1000,1000,12445
777,1032000,1000,1000,6804
778,9288000,1000,1000,12446
779,2058000,1000,1000,6740
780,18522000,1000,1000,12442
781,2058000,1000,1000,6784
782,18522000,1000,1000,12443
783,5148000,1000,1000,5841
784,46332000,1000,1000,12775
785,5148000,1000,1000,5807
786,46332000,1000,1000,12772
787,12348000,1000,1000,6794
788,111132000,1000,1000,12773
789,12348000,1000,1000,6729
790,111132000,1000,1000,12776
791,12348000,1000,1000,5781
792,111132000,1000,1000,12774
794,1800000,1000,1000,4693
795,3600000,1000,1000,5794
796,3600000,1000,1000,6805
797,10800000,1000,1000,6741
798,10800000,1000,1000,6785
799,28800000,1000,1000,5842
800,28800000,1000,1000,5808
801,54000000,1000,1000,13437
802,36000000,1000,1000,15436
803,36000000,1000,1000,5782
804,36000000,1000,1000,6730
805,5142858,700,1000,632
806,20571429,700,1000,633
807,25714286,700,1000,6374
808,500,1000,1000,694
809,100,1000,1000,720
810,100,1000,1000,2999
811,100,1000,1000,10342
812,100,1000,1000,8492
813,100,1000,1000,1917
814,100,500,500,4536
815,100,500,500,2808
816,100,500,500,4416
817,100,500,500,4452
818,100,200,200,6131
819,32400000,200,200,6030
820,100,1000,1000,10346
822,100,1000,1000,8490
823,100,1000,1000,10348
824,100,1000,1000,8528
825,100,1000,1000,6086
826,100,1000,1000,4401
827,100,200,200,6028
828,15428572,1000,1000,7672
829,15428572,1000,1000,7648
830,15428572,1000,1000,7690
831,41142858,1000,1000,7646
832,41142858,1000,1000,7695
833,51428572,1000,1000,7677
834,20571429,1000,1000,7958
835,51428572,1000,1000,10322
837,92571429,1000,1000,7668
838,92571429,1000,1000,7675
839,123428572,1000,1000,8054
840,123428572,1000,1000,7773
841,51428572,1000,1000,6902
842,51428572,1000,1000,6903
843,92571429,1000,1000,6904
844,92571429,1000,1000,6905
845,123428572,1000,1000,6906
846,123428572,1000,1000,7770
847,123428572,1000,1000,6908
848,123428572,1000,1000,6909
849,246857143,1000,1000,6910
850,246857143,1000,1000,6911
851,500,1000,1000,1744
852,500,1000,1000,2968
853,500,1000,1000,2814
854,500,1000,1000,1774
855,500,1000,1000,2982
856,500,1000,1000,634
867,32400000,500,500,4538
868,32400000,500,500,4454
869,32400000,500,500,4418
870,32400000,500,500,2810
871,32400000,1000,1000,4546
872,32400000,1000,1000,1919
873,2000,500,4000,10728
874,3000,50,200,10729
875,18000,200,250,10730
876,5000,1000,1000,-1
882,60000,500,700,12101
883,60000,700,1000,12096
885,1200000,1000,1000,12191
886,2400000,1000,1000,12196
887,1800000,1000,1000,12201
888,1200000,1000,1000,11194
889,2400000,1000,1000,11183
891,2400000,1000,1000,11591
892,3600000,1000,1000,11598
893,4800000,1000,1000,11607
894,2400000,1000,1000,11757
895,3600000,1000,1000,11761
896,4800000,1000,1000,11765
897,2400000,1000,1000,11740
898,3600000,1000,1000,11744
899,4800000,1000,1000,11748
900,120000,1000,1000,12123
901,120000,1000,1000,12128
902,120000,1000,1000,12132
903,120000,1000,1000,11193
904,120000,1000,1000,11070
905,120000,1000,1000,11074
906,120000,1000,1000,11078
907,120000,1000,1000,11242
908,120000,1000,1000,11248
909,120000,1000,1000,11252
910,120000,1000,1000,12032
911,1200000,1000,1000,12036
912,2400000,1000,1000,12040
913,120000,1000,1000,11323
914,120000,1000,1000,11327
915,120000,1000,1000,11331
916,120000,1000,1000,11340
917,120000,1000,1000,11344
918,600000,1000,1000,11348
919,120000,1000,1000,11399
920,120000,1000,1000,11403
921,120000,1000,1000,11407
922,120000,1000,1000,11776
923,120000,1000,1000,11780
924,120000,1000,1000,11784
925,120000,1000,1000,12066
926,1200000,1000,1000,12070
927,2400000,1000,1000,12074
928,120000,1000,1000,12049
929,1200000,1000,1000,12053
930,2400000,1000,1000,12057
931,120000,1000,1000,12141
932,120000,1000,1000,12145
933,120000,1000,1000,12161
934,120000,1000,1000,12170
935,120000,1000,1000,12174
936,120000,1000,1000,12178
937,120000,1000,1000,12187
939,120000,1000,1000,11652
940,120000,1000,1000,11656
942,120000,1000,1000,11672
943,120000,1000,1000,11676
944,120000,1000,1000,11680
945,120000,1000,1000,11723
946,120000,1000,1000,11727
947,120000,1000,1000,11731
948,60000,1000,1000,11433
949,60000,1000,1000,11437
950,60000,1000,1000,11441
951,120000,1000,1000,11660
952,30000,1000,1000,12290
953,30000,1000,1000,12296
954,30000,1000,1000,12296
955,30000,1000,1000,12307
956,52000,1000,1000,12322
957,50000,1000,1000,12319
959,100,1000,1000,12423
960,50000,1000,1000,12428
961,52000,1000,1000,12433
962,50000,1000,1000,12482
963,50000,1000,1000,12487
964,50000,1000,1000,12544
965,50000,1000,1000,12549
966,50000,1000,1000,12563
967,52000,1000,1000,12568
968,50000,1000,1000,12582
969,50000,1000,1000,12587
970,50000,1000,1000,12604
971,50000,1000,1000,12623
972,50000,1000,1000,12628
973,50000,1000,1000,12643
974,53000,1000,1000,12648
975,15000,500,1000,12715
976,10000,800,1000,12763
977,10000,650,800,12764
978,1000,850,1000,12765
980,10000,700,1000,12813
981,10000,700,1000,12814
985,180000,750,750,1748
986,180000,800,800,890
987,180000,700,700,910
988,180000,700,700,2972
989,180000,700,700,2687
991,180000,800,800,2924
992,180000,600,600,937
993,180000,700,700,2891
994,180000,700,700,2818
996,180000,750,750,2639
997,180000,700,700,1913
998,180000,600,600,2910
999,180000,700,700,2600
1000,180000,800,800,1778
1001,180000,800,800,946
1002,180000,700,700,2708
1003,180000,800,800,1809
1004,180000,800,800,931
1005,180000,800,800,1785
1006,180000,800,800,2840
1007,180000,900,900,1805
1008,180000,800,800,1771
1009,180000,760,760,1713
1010,180000,750,750,922
1011,180000,800,800,2986
1012,180000,750,750,2957
1013,180000,600,600,2676
1014,180000,800,800,2783
1015,180000,600,600,2931
1016,180000,700,700,2743
1017,180000,700,700,2938
1018,180000,700,700,901
1019,180000,900,900,1762
1020,180000,700,700,959
1021,180000,700,700,4792
1022,180000,700,700,2774
1023,180000,900,900,1796
1024,180000,800,800,2696
1025,180000,750,750,6183
1026,180000,500,500,3001
1027,180000,200,200,6030
1028,50000,1000,1000,12838
1029,50000,1000,1000,12843
1030,50000,1000,1000,12857
1031,50000,1000,1000,12862
1032,50000,1000,1000,12879
1033,50000,1000,1000,12884
1034,50000,1000,1000,12898
1035,50000,1000,1000,12903
1038,50000,1000,1000,12917
1039,50000,1000,1000,12922
1040,50000,1000,1000,12940
1041,50000,1000,1000,12945
1042,50000,1000,1000,12962
1043,50000,1000,1000,12967
1044,50000,1000,1000,12981
1045,50000,1000,1000,12986
1047,30000,300,1000,13150
1048,10,500,500,-1
1049,3000,500,900,13172
1050,30000,900,900,13169
1051,5000,1000,1000,8358
1052,50000,1000,1000,13333
1053,50000,1000,1000,13338
1054,50000,1000,1000,13365
1055,50000,1000,1000,13372
1056,50000,1000,1000,13392
1057,50000,1000,1000,13397
1058,30000,500,1000,11307
1059,5000,300,1000,13818
1060,5000,1000,0,13819
1061,3600000,1000,1000,13684
1062,3600000,1000,1000,13686
1063,3600000,1000,1000,13688
1064,3600000,1000,1000,13690
1065,1800000,1000,1000,9649
1066,10800000,1000,1000,13746
1067,51000,1000,1000,14200
1068,51000,1000,1000,14205
1069,51000,1000,1000,14220
1070,51000,1000,1000,14225
1071,51000,1000,1000,14257
1072,51000,1000,1000,14262
1073,51000,1000,1000,14280
1074,51000,1000,1000,14286
1075,51000,1000,1000,14329
1076,51000,1000,1000,14336
1077,180000,600,600,6292
1078,180000,600,600,2860
1079,180000,700,700,6308
1080,180000,700,700,915
1081,500,1000,1000,2779
1082,2000,1000,1500,9439
1083,1000,1000,1500,9440
1084,2000,1500,1500,
1087,50000,1000,1000,12408
1088,50000,1000,1000,12413
1089,50000,1000,1000,12520
1090,50000,1000,1000,12525
1091,50000,1000,1000,12341
1092,50000,1000,1000,12346
1093,50000,1000,1000,12379
1094,50000,1000,1000,12384
1095,50000,1000,1000,12360
1096,50000,1000,1000,12365
1097,5148000,1000,1000,14811
1098,46332000,1000,1000,14977
1099,28800000,1000,1000,14812
1100,54000000,1000,1000,14812
1102,6000,600,750,12811
1103,6000,750,1000,15051
1104,5000,1000,500,12727
1105,5000,750,1000,15051
1106,5000,500,750,15057
1107,5000,750,1000,15058
1108,5148000,500,700,15212
1109,20592000,700,800,15213
1110,25740000,800,1000,15214
1111,9258000,500,700,15225
1112,37032000,700,800,15226
1113,46290000,800,1000,15227
1115,500,300,1000,7128
1116,3600000,1000,1000,15408
1117,3600000,1000,1000,15414
1118,36000000,1000,1000,6795
1119,30000,1000,1000,15471
1120,30000,1000,1000,15486
1121,30000,1000,1000,15518
1122,30000,1000,1000,15531
1123,30000,1000,1000,15553
1124,30000,1000,1000,15566
1125,5148000,300,600,15606
1126,20592000,600,800,15615
1127,25740000,600,1000,15608
1128,500,1000,1000,15607
1129,30000,1000,1000,15583
1130,30000,1000,1000,15596
1131,180000,300,300,15614
1132,4320000,500,1000,15629
1133,17280000,400,800,15638
1135,21600000,800,1000,15632
1136,180000,500,500,15637
1137,500,1000,1000,15630
1138,1800000,1000,1000,15781
1139,1800000,1000,1000,15894
1140,1800000,1000,1000,15898
1141,2880000,500,700,15685
1142,11520000,700,1000,15687
1143,2880000,500,700,15693
1144,11520000,700,1000,15695
1145,4116000,500,700,15701
1146,16464000,700,1000,15702
1147,4116000,500,700,15709
1148,16464000,700,1000,15710
1149,4116000,500,700,15717
1150,16464000,700,1000,15718
1151,4116000,500,700,15725
1152,16464000,700,1000,15726
1153,8232000,500,700,15733
1154,32928000,700,1000,15734
1155,8232000,500,700,15741
1156,32928000,700,1000,15742
1157,8232000,500,700,15749
1158,32928000,900,1000,15750
1159,8232000,500,700,15757
1160,32928000,700,1000,15758
1161,8232000,500,700,15765
1162,32928000,700,1000,15766
1163,2880000,500,700,15773
1164,11520000,700,1000,15775
1165,4116000,500,700,15783
1166,16464000,700,1000,15784
1167,4116000,500,700,15791
1168,16464000,700,1000,15792
1169,4116000,500,700,15799
1170,16464000,700,1000,15800
1171,8232000,500,700,15807
1172,32928000,700,1000,15808
1173,8232000,500,700,15815
1174,32928000,700,1000,15816
1175,5760000,500,700,15824
1176,23040000,700,1000,15828
1177,8232000,500,700,15826
1178,32928000,700,1000,15827
1179,4116000,500,700,15840
1180,16464000,700,1000,15841
1181,4116000,500,700,15849
1182,16464000,700,1000,15850
1183,8232000,500,700,15857
1184,32928000,700,1000,15858
1185,5760000,500,700,15865
1186,23040000,700,1000,15867
1187,5760000,500,700,15873
1188,23040000,700,1000,15875
1189,8232000,500,700,15881
1190,32928000,700,1000,15882
1191,100,1000,1000,15945
1192,50000,1000,1000,15950
1193,52000,1000,1000,15955
1194,10000,1000,1000,16007
1195,10000,1000,1000,16008
1196,100,1000,1000,16033
1197,50000,1000,1000,16038
1198,50000,1000,1000,16043
1199,100,1000,1000,16053
1200,50000,1000,1000,16058
1201,50000,1000,1000,16063
1202,12348000,800,900,16075
1203,111132000,900,1000,16076
1204,100,1000,1000,16077
1205,61200000,1000,1000,16085
1206,61200000,1000,1000,16078
1207,61200000,1000,1000,16093
1208,61200000,1000,1000,16086
1209,61200000,1000,1000,16108
1210,100,1000,1000,16114
1211,50000,1000,1000,16119
1212,50000,1000,1000,16124
1214,100,500,500,-1
1215,100,500,500,-1
1216,60000,1000,1000,16323
1217,43200000,1000,1000,16344
1218,43200000,1000,1000,16344
1219,2000,1000,1000,16342
1222,300000,1000,1000,8261
1233,600000,1000,1000,16607
1234,5000,300,1000,16611
1235,3600000,800,1000,16660
1236,3000000,600,1000,16885
1237,180000,1000,1000,16954
1239,3600000,1000,1000,17100
1250,10800000,1000,1000,17414
1251,5000,0,0,-1
