id,item_id,book_page_id,book_id
282,25577,335,
283,25578,336,
284,25579,337,
285,25580,338,
286,25581,339,
287,25582,340,
288,25583,341,
289,25584,342,
290,25585,343,
291,25586,344,
292,25587,345,
293,25588,346,
294,25589,347,
295,25590,348,
296,25591,349,
297,25592,350,
298,25593,351,
299,25594,352,
300,25595,353,
301,25596,354,
302,25597,355,
303,25598,356,
305,25605,357,
306,25609,358,
307,25610,359,
308,25611,360,
309,25612,361,
310,25613,362,
311,25614,363,
312,25615,364,
313,25616,365,
314,25617,366,
315,25618,367,
316,25619,368,
317,25620,369,
318,25621,370,
319,25622,371,
320,25623,372,
321,25624,373,
322,25625,374,
323,25626,375,
324,25627,376,
325,25628,377,
326,25629,378,
327,25630,379,
328,25631,380,
329,25632,381,
330,25633,382,
331,25634,383,
332,25635,384,
333,25636,385,
334,25637,386,
335,25638,387,
336,25639,388,
337,25640,389,
338,25641,390,
339,25642,391,
340,25643,392,
341,25644,393,
342,25645,394,
343,25646,395,
344,25647,396,
345,25648,397,
346,25649,398,
347,25650,399,
348,25651,400,
349,25652,401,
350,25653,402,
351,25654,403,
352,25655,404,
353,25697,405,
354,25752,406,
355,25846,416,
356,25847,417,
357,25848,418,
358,25849,419,
359,25896,421,
360,26007,427,
361,26008,428,
362,26009,429,
363,26010,430,
364,26086,431,
365,26106,432,
366,26108,433,
367,26270,434,
368,26308,435,
369,26383,436,
370,26429,437,
371,26663,446,
372,26664,447,
373,26665,447,
374,26666,449,
375,26667,450,
379,26680,438,
380,26686,439,
381,26689,440,
382,26691,441,
383,26692,442,
384,26693,443,
385,26694,444,
386,26697,445,
387,26786,451,
388,26787,452,
389,26826,456,
390,27202,448,
391,27303,460,
392,27364,466,
393,27378,462,
394,27495,463,
395,27505,464,
396,27507,465,
397,27508,465,
398,27509,465,
399,27515,461,
400,27570,471,
401,27571,472,
402,27572,469,
403,27573,470,
404,27574,474,
405,27575,475,
406,27577,550,
407,27578,,
408,27579,551,
409,27616,476,
410,27617,477,
411,27812,478,
412,27813,479,
413,27814,480,
414,27815,481,
415,27816,482,
416,27817,483,
417,27818,484,
418,27819,485,
419,27820,486,
420,27821,487,
421,27822,488,
422,27823,489,
423,27824,490,
424,27825,491,
425,27826,492,
426,27827,493,
427,27828,494,
428,27829,495,
429,27830,496,
430,27831,497,
431,27832,498,
432,27833,499,
433,27834,500,
434,27835,501,
435,27836,502,
436,27837,503,
437,27838,504,
438,27839,505,
439,27840,506,
440,27841,507,
441,27842,508,
442,27843,509,
443,27844,510,
444,27845,511,
445,27846,512,
446,27847,513,
447,27848,514,
448,27849,515,
449,27850,516,
450,27851,517,
451,27852,518,
452,27853,519,
453,27854,520,
454,27855,521,
455,27856,522,
456,27857,523,
457,27858,524,
458,27859,525,
459,27860,526,
460,27861,527,
461,27862,528,
462,27863,529,
463,27864,530,
464,27865,531,
465,27866,532,
466,27867,533,
467,27868,534,
468,27869,535,
469,27870,536,
470,27871,537,
471,27872,538,
472,27873,539,
473,27874,540,
474,27875,541,
475,27876,542,
476,27877,543,
477,27878,544,
478,27879,545,
479,27880,546,
480,28137,639,
481,28205,,1
482,28223,553,
483,28248,562,
484,28249,563,
485,28250,564,
486,28251,565,
487,28252,566,
488,28253,567,
489,28254,568,
490,28255,569,
491,28256,570,
492,28257,571,
493,28258,572,
494,28259,573,
495,28260,574,
496,28261,575,
497,28262,576,
498,28263,577,
499,28264,578,
500,28265,579,
501,28266,580,
502,28267,581,
503,28268,582,
504,28269,583,
505,28270,584,
506,28271,585,
507,28272,586,
508,28273,587,
509,28274,588,
510,28275,589,
511,28276,590,
512,28277,591,
513,28278,592,
514,28279,593,
515,28280,594,
516,28281,604,
517,28282,605,
518,28283,606,
519,28284,607,
520,28285,608,
521,28286,609,
522,28287,610,
523,28331,613,
524,28379,614,
525,28381,615,
526,28383,616,
527,28680,617,
528,28838,618,
529,28888,552,
531,29236,,10
532,29237,,11
533,29436,669,
537,30108,688,
538,30109,689,
