id,buff_id,event_id,effect_on_source,effect_id,use_damage_amount,use_original_source,target_buff_tag_id,target_no_buff_tag_id,synergy
518,1204,6,f,5857,f,f,,,f
520,1204,6,f,5863,f,f,,,f
521,1143,6,t,5933,f,f,,,f
529,1222,6,t,6009,f,f,,,f
530,1223,6,f,6010,f,f,,,f
533,1228,6,t,6072,f,f,,,f
534,1229,6,t,6073,f,f,,,f
535,1230,6,t,6074,f,f,,,f
536,1231,6,t,6083,f,f,,,f
538,1233,6,t,6090,f,f,,,f
540,1029,11,t,6108,f,f,,,f
544,1170,6,t,6117,f,f,,,f
548,1180,6,f,6141,f,f,,,f
550,1251,6,t,6212,f,f,,,f
551,1256,6,f,6229,f,f,,,f
552,1257,6,f,6231,f,f,,,f
556,1288,6,t,6299,f,f,,,f
557,978,11,t,6318,f,f,,,f
558,1254,11,t,6319,f,f,,,f
559,1255,11,t,6320,f,f,,,f
560,1253,11,t,6321,f,f,,,f
561,1293,6,t,6326,f,f,,,f
563,1309,6,t,6377,f,f,,,f
564,1310,6,f,6388,f,f,,,f
565,1313,6,t,6400,f,f,,,f
566,1314,6,t,6402,f,f,,,f
567,1315,6,t,6404,f,f,,,f
568,1316,6,t,6405,f,f,,,f
572,548,6,t,6549,f,t,,,f
573,980,6,t,6569,f,f,,,f
574,980,6,t,6570,f,f,,,f
575,980,6,t,6571,f,f,,,f
578,979,6,f,6614,f,f,,,f
579,1339,6,t,6730,f,f,,,f
580,525,6,f,6732,f,f,,,f
581,1340,6,t,6734,f,f,,,f
582,1340,6,t,6735,f,f,,,f
583,1341,6,t,6737,f,f,,,f
585,1344,6,t,6759,f,f,,,f
586,1345,6,t,6762,f,f,,,f
587,1133,6,f,6763,f,f,,,f
591,1348,6,t,6781,f,f,,,f
592,1349,6,t,6782,f,f,,,f
593,1348,6,t,6783,f,f,,,f
596,1355,6,t,6827,f,f,,,f
597,253,6,f,6832,f,f,,,f
598,1358,6,t,6839,f,f,,,f
603,1367,6,t,6896,f,f,,,f
604,1370,6,t,6899,f,f,,,f
605,1370,6,t,6900,f,f,,,f
606,1371,11,t,6907,f,f,,,f
607,1372,6,t,6913,f,f,,,f
608,1372,6,t,6914,f,f,,,f
611,1376,6,t,6953,f,f,,,f
612,1376,6,t,6954,f,f,,,f
613,975,6,f,6967,f,f,,,f
615,1380,6,t,6990,f,f,,,f
619,497,1,f,7048,f,f,,,f
620,1389,6,t,7077,f,f,,,f
623,1392,11,f,7105,f,f,,,f
626,1400,6,f,7134,f,f,,,f
627,1394,6,t,7137,f,f,,,f
628,1393,6,t,7138,f,f,,,f
629,1395,6,t,7139,f,f,,,f
630,1396,6,t,7140,f,f,,,f
631,1397,6,t,7141,f,f,,,f
632,1398,6,t,7142,f,f,,,f
637,1413,11,t,7211,f,f,,,f
638,1415,6,f,7220,f,f,,,f
639,1415,1,t,7221,f,f,,,f
643,1417,4,f,7252,t,f,,,f
644,1418,4,f,7253,t,f,,,f
645,1419,4,f,7254,t,f,,,f
646,1420,4,f,7255,t,f,,,f
647,1422,4,f,7256,t,f,,,f
652,1426,4,f,7277,t,f,,,f
653,1427,4,f,7278,t,f,,,f
654,1428,4,f,7279,t,f,,,f
655,1429,4,f,7280,t,f,,,f
661,1391,6,t,7316,f,f,,,f
669,1437,6,f,7356,f,f,,,f
670,1436,6,t,7361,f,f,,,f
671,1436,6,t,7364,f,f,,,f
675,1443,11,t,7408,f,f,,,f
679,1452,6,f,7438,f,f,,,f
688,1458,11,t,7498,f,f,,,f
689,1460,11,t,7501,f,f,,,f
690,1461,11,t,7502,f,f,,,f
691,1463,11,t,7504,f,f,,,f
692,1465,6,t,7537,f,f,,,f
709,1488,6,f,7700,f,f,,,f
710,1488,6,f,7701,f,f,,,f
711,1488,6,f,7702,f,f,,,f
712,1489,6,t,7709,f,f,,,f
713,1490,6,f,7723,f,f,,,f
714,1490,6,t,7724,f,f,,,f
715,1492,6,f,7731,f,f,,,f
718,1493,6,f,7742,f,f,,,f
719,1493,6,f,7743,f,f,,,f
720,1494,6,f,7749,f,f,,,f
722,1410,6,f,7759,f,f,,,f
725,1509,6,f,7842,f,f,,,f
726,1511,6,t,7847,f,f,,,f
727,1514,11,t,7853,f,f,,,f
728,1517,6,t,7860,f,f,,,f
729,1517,6,t,7861,f,f,,,f
730,1518,6,f,7865,f,f,,,f
732,1518,6,f,7867,f,f,,,f
733,1520,6,f,7871,f,f,,,f
737,641,6,t,7892,f,f,,,f
738,1523,6,f,7893,f,f,,,f
742,1483,6,f,7900,f,f,,,f
745,1530,6,f,7930,f,f,,,f
746,1530,6,f,7931,f,f,,,f
747,1532,6,t,7949,f,f,,,f
749,1538,6,f,7988,f,f,,,f
750,1538,6,f,7989,f,f,,,f
751,1541,6,t,8001,f,f,,,f
755,1542,6,f,8015,f,f,,,f
757,768,6,f,8026,f,f,,,f
760,1544,6,f,8034,f,f,,,f
761,1544,6,f,8035,f,f,,,f
762,1545,6,t,8038,f,f,,,f
763,1545,6,t,8039,f,f,,,f
764,1546,6,t,8045,f,f,,,f
765,1546,6,t,8046,f,f,,,f
766,1547,6,t,8047,f,f,,,f
769,1405,6,f,8129,f,f,,,f
771,1562,6,t,8144,f,f,,,f
772,1564,6,t,8147,f,f,,,f
776,973,6,f,8169,f,f,,,f
777,1570,6,f,8180,f,f,,,f
778,1572,6,f,8184,f,f,,,f
779,1572,6,t,8185,f,f,,,f
780,1572,6,t,8186,f,f,,,f
781,1437,6,f,8200,f,f,,,f
783,1509,6,f,8220,f,f,,,f
786,973,6,f,8233,f,f,,,f
787,973,6,f,8234,f,f,,,f
798,1580,6,f,8258,f,f,,,f
804,1587,6,t,8354,f,f,,,f
805,1587,6,t,8355,f,f,,,f
806,1588,6,t,8356,f,f,,,f
807,1588,6,t,8357,f,f,,,f
808,1589,6,t,8359,f,f,,,f
810,1370,6,f,8405,f,f,,,f
817,1607,6,f,8459,f,f,,,f
818,1598,6,f,8460,f,f,,,f
819,1599,6,f,8461,f,f,,,f
825,1601,10,f,8471,f,f,,,f
833,1608,11,t,8490,f,f,,,f
836,1600,6,f,8503,f,f,,,f
839,82,6,f,8547,f,t,,,f
841,1621,6,f,8576,f,f,,,f
843,1624,6,t,8605,f,f,,,f
844,1628,6,t,8647,f,f,,,f
845,1629,6,t,8653,f,f,,,f
846,1630,6,t,8659,f,f,,,f
851,1640,6,t,8717,f,f,,,f
855,1645,11,t,8761,f,f,,,f
856,1645,6,f,8762,f,f,,,f
860,938,6,f,8783,f,f,,,f
861,872,6,t,8786,f,f,,,f
862,872,6,t,8789,f,f,,,f
871,1650,1,t,8845,f,f,,,f
875,1655,6,t,8874,f,f,,,f
876,1655,6,f,8879,f,f,,,f
878,1655,6,f,8892,f,f,,,f
880,1657,11,t,8903,f,f,,,f
882,1659,6,t,8917,f,f,,,f
883,1660,6,f,8950,f,f,,,f
887,1674,6,f,9037,f,f,,,f
889,1675,6,t,9043,f,f,,,f
896,1480,6,f,9135,f,t,,,f
900,1689,6,t,9154,f,f,,,f
908,1691,6,t,9198,f,f,,,f
909,1693,6,t,9219,f,f,,,f
910,1697,6,f,9229,f,f,,,f
914,1705,6,f,9325,f,f,,,f
916,1713,6,t,9366,f,f,,,f
917,1713,6,t,9367,f,f,,,f
920,1712,11,t,9425,f,f,,,f
924,1521,6,f,9466,f,f,,,f
930,1728,6,f,9530,f,f,,,f
931,1699,6,f,9533,f,f,,,f
933,1733,6,f,9563,f,f,,,f
934,1733,6,f,9565,f,f,,,f
936,1734,6,f,9570,f,f,,,f
938,1734,6,f,9576,f,f,,,f
940,1743,6,t,9642,f,f,,,f
949,1764,6,f,9770,f,f,,,f
950,1764,6,f,9771,f,f,,,f
951,1146,6,f,9807,f,f,,,f
955,1778,6,f,9842,f,f,,,f
956,1778,1,f,9843,f,f,,,f
961,1789,6,t,9927,f,f,,,f
962,1790,6,t,9941,f,f,,,f
963,1792,3,f,9950,f,f,,,f
965,1795,6,f,9958,f,f,,,f
967,1798,6,f,9963,f,f,,,f
968,1795,12,t,9965,f,f,,,f
973,1807,6,t,10102,f,f,,,f
974,1809,6,t,10110,f,f,,,f
990,724,6,f,10219,f,f,,,f
991,724,6,t,10220,f,f,,,f
992,724,6,t,10221,f,f,,,f
993,1843,6,f,10224,f,f,,,f
994,1749,6,t,10236,f,f,,,f
996,1856,6,f,10254,f,f,,,f
1000,1873,6,f,10395,f,f,,,f
1006,419,6,f,10440,f,f,,,f
1007,1754,6,t,10455,f,f,,,f
1009,1521,6,f,10489,f,f,,,f
1012,1899,6,f,10524,f,f,,,f
1017,1902,6,f,10545,f,f,,,f
1019,1902,6,f,10555,f,f,,,f
1020,1699,6,f,10557,f,f,,,f
1021,1907,6,f,10579,f,f,,,f
1022,1908,6,f,10581,f,f,,,f
1023,1908,6,f,10586,f,f,,,f
1032,1919,6,f,10667,f,f,,,f
1035,1925,6,f,10732,f,f,,,f
1036,1734,6,f,10736,f,f,,,f
1038,1928,6,f,10753,f,f,,,f
1040,1128,6,f,10763,f,f,,,f
1047,1941,6,f,10870,f,f,,,f
1048,1943,6,f,10906,f,f,,,f
1052,1948,6,f,10924,f,f,,,f
1056,1912,6,f,10948,f,f,,,f
1057,617,6,f,10951,f,f,,,f
1058,1951,6,f,10956,f,f,,,f
1059,1954,6,f,10983,f,f,,,f
1060,1956,6,f,10996,f,f,,,f
1062,1873,6,t,11017,f,f,,,f
1063,1645,6,f,11034,f,f,,,f
1064,1958,6,f,11037,f,f,,,f
1065,1958,11,t,11040,f,f,,,f
1068,1963,6,f,11105,f,f,,,f
1069,1963,6,t,11110,f,t,,,f
1073,1957,6,t,11124,f,f,,,f
1081,744,6,t,11192,f,t,,,f
1082,744,6,f,11193,f,f,,,f
1088,1964,6,t,11273,f,f,,,f
1090,1970,6,t,11288,f,f,,,f
1091,1970,6,t,11289,f,f,,,f
1106,1995,4,f,11408,f,f,,,f
1107,1997,6,f,11415,f,f,,,f
1108,1999,6,f,11419,f,f,,,f
1109,1998,6,f,11422,f,f,,,f
1110,1998,6,f,11423,f,f,,,f
1113,1406,6,f,11427,f,f,,,f
1115,768,6,f,11438,f,f,,,f
1120,2010,6,f,11463,f,f,,,f
1122,2012,5,f,11510,f,f,,,f
1123,2012,6,f,11511,f,f,,,f
1124,1133,6,f,11514,f,f,,,f
1125,1133,6,f,11515,f,f,,,f
1126,1537,5,f,11542,f,f,,,f
1127,2021,6,f,11544,f,f,,,f
1128,2028,6,f,11573,f,f,,,f
1131,2032,6,f,11626,f,f,,,f
1132,2033,6,f,11627,f,f,,,f
1133,1870,6,f,11636,f,f,,,f
1134,1039,6,f,11665,f,f,,,f
1138,1874,6,f,11712,f,f,,,f
1139,2049,6,t,11734,f,f,,,f
1146,2052,6,t,11758,f,f,,,f
1149,2055,6,t,11766,f,f,,,f
1150,2056,6,f,11769,f,t,,,f
1154,2060,6,f,11796,f,f,,,f
1155,2061,6,f,11798,f,f,,,f
1156,2056,6,f,11801,f,f,,,f
1157,2062,4,f,11819,f,f,,,f
1158,2064,6,f,11834,f,f,,,f
1160,2072,6,f,11843,f,f,,,f
1161,2067,6,f,11854,f,f,,,f
1164,2075,6,f,11859,f,f,,,f
1165,2097,11,t,11871,f,f,,,f
1166,2098,11,t,11872,f,f,,,f
1167,2099,11,t,11873,f,f,,,f
1171,1109,6,f,12021,f,f,,,f
1176,2163,6,f,12087,f,f,,,f
1177,2163,6,f,12089,f,f,,,f
1180,1970,6,t,12105,f,f,,,f
1181,1970,6,t,12106,f,f,,,f
1183,2202,6,f,12220,f,f,,,f
1184,1873,6,t,12222,f,f,,,f
1189,182,9,f,12280,t,f,,,f
1191,2229,4,f,12383,f,f,,,f
1192,2234,6,f,12404,f,t,,,f
1193,2235,6,t,12405,f,f,,,f
1194,2229,6,f,12507,f,f,,,f
1198,2254,6,f,12549,f,f,,,f
1203,2256,6,f,12565,f,f,,,f
1205,2257,6,t,12571,f,f,,,f
1206,2265,6,f,12616,f,f,,,f
1207,2266,6,f,12622,f,f,,,f
1213,2275,6,f,12689,f,t,,,f
1216,2278,6,f,12694,f,f,,,f
1217,2279,6,f,12709,f,t,,,f
1218,2279,6,f,12710,f,f,,,f
1221,2281,6,f,12717,f,f,,,f
1222,2282,6,f,12718,f,f,,,f
1223,2283,6,f,12725,f,f,,,f
1224,2285,6,f,12729,f,f,,,f
1225,2286,6,f,12730,f,f,,,f
1234,2289,6,t,12789,f,f,,,f
1236,2290,6,f,12793,f,f,,,f
1238,2254,6,f,12841,f,f,,,f
1239,2254,1,f,12842,f,f,,,f
1240,2297,6,f,12848,f,f,,,f
1241,2218,6,t,12868,f,f,,,f
1242,2226,6,f,12900,f,f,,,f
1244,2307,6,f,12939,f,f,,,f
1249,182,6,f,13034,f,f,,,f
1252,2339,6,f,13062,f,f,,,f
1254,2353,6,f,13110,f,f,,,f
1255,2352,6,f,13111,f,f,,,f
1257,857,9,f,13140,t,f,,,f
1259,2355,2,f,13144,f,f,,,f
1260,745,9,f,13146,t,f,,,f
1262,854,9,f,13148,t,f,,,f
1264,855,9,f,13150,t,f,,,f
1266,856,9,f,13152,t,f,,,f
1271,1109,2,f,13200,f,f,,,f
1272,2370,6,f,13220,f,f,,,f
1273,2370,6,t,13221,f,f,,,f
1274,2370,6,t,13222,f,f,,,f
1275,2372,6,f,13254,f,f,,,f
1278,2352,6,f,13259,f,f,,,f
1282,2375,6,f,13283,f,f,,,f
1283,1356,11,f,13337,f,f,,,f
1284,2378,6,f,13366,f,f,,,f
1288,2391,6,f,13443,f,f,,,f
1293,2412,6,f,13558,f,f,,,f
1294,2415,6,f,13600,f,f,,,f
1304,2439,6,f,13887,f,f,,,f
1308,2443,6,f,13961,f,f,,,f
1310,2445,8,f,13989,f,f,,,f
1313,2446,8,f,13992,f,f,,,f
1318,2447,6,f,13999,f,f,,,f
1319,2447,6,f,14000,f,f,,,f
1321,2456,6,f,14060,f,f,,,f
1322,2457,6,f,14063,f,f,,,f
1324,2457,6,t,14067,f,t,,,f
1327,2479,6,f,14344,f,t,,,f
1328,2492,6,t,14383,f,f,,,f
1332,2497,6,t,14417,f,t,,,f
1338,2526,6,f,14573,f,f,,,f
1339,2550,6,f,14666,f,f,,,f
1340,2552,1,f,14689,f,f,,,f
1345,2564,6,f,14760,f,f,,,f
1352,2575,6,f,14811,f,f,,,f
1355,2577,6,t,14831,f,f,,,f
1358,2598,6,f,14961,f,f,,,f
1360,2603,6,t,14974,f,f,,,f
1361,2603,6,t,14975,f,f,,,f
1366,2607,6,f,14993,f,f,,,f
1369,1658,6,f,14998,f,f,,,f
1374,2611,6,t,15008,f,f,,,f
1375,1774,6,f,15009,f,f,,,f
1377,2611,6,t,15027,f,f,,,f
1378,2611,6,t,15028,f,f,,,f
1379,2611,6,t,15029,f,f,,,f
1380,2611,6,t,15030,f,f,,,f
1381,2611,6,t,15031,f,f,,,f
1382,2611,6,t,15032,f,f,,,f
1383,2611,6,t,15033,f,f,,,f
1384,2611,6,t,15034,f,f,,,f
1385,2612,6,f,15041,f,f,,,f
1390,2622,6,f,15055,f,f,,,f
1391,2629,6,f,15067,f,f,,,f
1394,2636,1,f,15103,f,f,,,f
1395,2623,6,f,15128,f,f,,,f
1403,2647,6,f,15168,f,f,,,f
1404,2647,6,f,15169,f,f,,,f
1408,2657,6,f,15210,f,f,,,f
1410,2661,6,f,15235,f,f,,,f
1411,2668,6,t,15248,f,f,,,f
1412,2668,6,t,15249,f,f,,,f
1414,2676,6,f,15282,f,f,,,f
1417,2680,6,t,15315,f,f,,,f
1422,2692,1,f,15404,f,f,,,f
1423,2692,1,f,15407,f,f,,,f
1424,2695,6,f,15413,f,f,,,f
1425,2705,6,f,15443,f,f,,,f
1428,2713,6,t,15493,f,f,,,f
1429,2713,6,t,15494,f,f,,,f
1432,2716,6,f,15505,f,f,,,f
1435,2640,6,f,15538,f,f,,,f
1436,2648,6,f,15547,f,f,,,f
1437,2648,6,f,15548,f,f,,,f
1438,2623,6,f,15551,f,f,,,f
1444,2741,6,f,15600,f,f,,,f
1445,2725,6,f,15635,f,t,,,f
1452,2586,6,f,15703,f,f,,,f
1454,2751,6,f,15733,f,f,,,f
1458,2717,6,f,15770,f,f,,,f
1459,2755,6,f,15771,f,f,,,f
1460,2643,1,f,15779,f,f,,,f
1473,2787,6,f,15928,f,f,,,f
1479,2782,6,f,15965,f,f,,,f
1480,2800,6,f,15966,f,f,,,f
1483,2801,6,f,15969,f,f,,,f
1484,2800,6,f,15970,f,f,,,f
1485,2782,6,f,15972,f,f,,,f
1489,2803,6,f,15988,f,f,,,f
1499,2492,6,t,16140,f,f,,,f
1503,2855,6,f,16203,f,f,,,f
1518,2878,6,f,16328,f,f,,,f
1519,2878,6,f,16329,f,f,,,f
1520,2879,6,f,16330,f,f,,,f
1521,2879,6,f,16331,f,f,,,f
1532,2882,6,f,16398,f,f,,,f
1534,2863,6,f,16410,f,f,,,f
1535,2864,6,f,16414,f,f,,,f
1536,2887,6,f,16415,f,f,,,f
1537,2863,6,f,16426,f,f,,,f
1541,2897,6,t,16477,f,f,,,f
1542,2897,6,t,16478,f,f,,,f
1544,2559,3,f,16503,f,f,,,f
1553,2913,6,f,16565,f,f,,,f
1555,2911,6,f,16578,f,f,,,f
1558,2911,6,f,16582,f,f,,,f
1560,2919,4,f,16609,f,f,,,f
1561,2553,4,t,16610,f,f,,,f
1562,2919,4,t,16611,f,f,,,f
1563,2920,4,t,16612,f,f,,,f
1565,2900,6,f,16621,f,f,,,f
1566,2922,6,f,16640,f,f,,,f
1572,2929,6,f,16735,f,f,,,f
1586,2930,6,f,16807,f,f,,,f
1594,2962,4,f,16822,f,f,,,f
1595,2962,4,f,16823,f,f,,,f
1601,2966,6,f,16835,f,f,,,f
1602,2964,1,f,16839,f,f,,,f
1607,1410,6,f,16852,f,f,,,f
1609,2981,6,t,16875,f,f,,,f
1610,2981,6,f,16876,f,f,,,f
1611,2982,6,t,16880,f,f,,,f
1612,2982,6,f,16881,f,f,,,f
1613,2900,6,f,16883,f,f,,,f
1614,1412,6,f,16885,f,f,,,f
1615,1412,6,f,16886,f,f,,,f
1616,2980,6,f,16889,f,f,,,f
1619,2991,2,f,16916,f,f,,,f
1620,2995,2,f,16928,f,f,,,f
1621,2931,6,f,16931,f,f,,,f
1622,2931,6,f,16932,f,f,,,f
1623,2931,6,f,16933,f,f,,,f
1624,2931,6,f,16934,f,f,,,f
1626,2931,6,f,16936,f,f,,,f
1627,2931,6,f,16937,f,f,,,f
1628,2931,6,f,16938,f,f,,,f
1629,2931,6,f,16939,f,f,,,f
1630,2931,6,f,16940,f,f,,,f
1631,2931,6,f,16941,f,f,,,f
1632,2931,6,f,16942,f,f,,,f
1633,2932,6,f,16943,f,f,,,f
1634,2932,6,f,16944,f,f,,,f
1635,2932,6,f,16945,f,f,,,f
1636,2932,6,f,16946,f,f,,,f
1637,2932,6,f,16947,f,f,,,f
1638,2932,6,f,16948,f,f,,,f
1639,2932,6,f,16949,f,f,,,f
1640,2932,6,f,16950,f,f,,,f
1641,2932,6,f,16951,f,f,,,f
1642,2932,6,f,16952,f,f,,,f
1643,2932,6,f,16953,f,f,,,f
1644,2933,6,f,16955,f,f,,,f
1645,2933,6,f,16956,f,f,,,f
1646,2933,6,f,16957,f,f,,,f
1647,2933,6,f,16958,f,f,,,f
1648,2933,6,f,16959,f,f,,,f
1649,2933,6,f,16960,f,f,,,f
1650,2933,6,f,16961,f,f,,,f
1651,2933,6,f,16962,f,f,,,f
1652,2933,6,f,16963,f,f,,,f
1653,2933,6,f,16964,f,f,,,f
1654,2933,6,f,16965,f,f,,,f
1655,2934,6,f,16966,f,f,,,f
1656,2934,6,f,16967,f,f,,,f
1657,2934,6,f,16968,f,f,,,f
1658,2934,6,f,16969,f,f,,,f
1659,2934,6,f,16970,f,f,,,f
1661,2934,6,f,16972,f,f,,,f
1662,2934,6,f,16973,f,f,,,f
1663,2934,6,f,16974,f,f,,,f
1664,2934,6,f,16975,f,f,,,f
1665,2934,6,f,16976,f,f,,,f
1666,2934,6,f,16977,f,f,,,f
1667,2935,6,f,16978,f,f,,,f
1668,2935,6,f,16986,f,f,,,f
1669,2994,2,f,16996,f,f,,,f
1672,2994,2,f,17001,f,f,,,f
1673,2936,6,f,17002,f,f,,,f
1674,2936,6,f,17003,f,f,,,f
1675,2948,6,f,17019,f,f,,,f
1676,2980,12,f,17038,f,f,,,f
1680,2984,6,t,17047,f,f,,,f
