id,name,comment,category_id
274,crushmachine,,4
275,faceless,,4
276,femaledeer,,4
277,fepee,,4
278,crow_blackbird,,4
279,eagle,,4
280,earthelemental_big,,4
281,earthelemental_small,,4
282,fireelemental_big,,4
283,fireelemental_small,,4
284,flamingo,,4
285,fleshgolem,,4
286,flyhell,,4
287,fox,,4
288,frog,,4
289,gargoyle,,4
290,gargoyle_big,,4
291,garuda,,4
292,gorgon,,4
293,fogmonster,,4
294,goblin,,4
295,tiger,,4
296,troll,,4
297,turtle_rock,,4
298,twoheadsnake_rockscale,,4
299,gorilla,,4
300,griffin,,4
301,harpy,,4
302,hawk,,4
303,headstand,,4
304,horse_monster,,4
305,horse_skeleton,,4
306,bat,,4
307,sarracenia,,4
308,scorpion,,4
309,seabug,,4
310,shark,,4
311,skeleton_warrior,,4
312,imp,,4
313,incubus,,4
314,irongolem,,4
315,juggernaut,,4
316,snowlion_ghost,,4
317,kobold,,4
318,kraken,,4
319,lizard,,4
320,lobster,,4
321,snowlion_yellomane,탈것,4
322,spider,,4
323,stitchedcorps,,4
324,stonegolem,,4
325,stonegolem_small,,4
326,goblin_big,,4
327,brokencorpse_big,,4
328,succubus,,4
329,basilisk,,4
330,fepee_big,,4
331,rafflesia,,4
332,rat,,4
333,rabbit_boss,,4
334,orc,,4
335,run_duckboat,ShipUnitModel,
336,wraith_big,,4
337,mandragora,,4
338,mantis,,4
339,mimic,,4
340,minotaurs,,4
341,mountain_sheep,,4
342,nymph,,4
343,ostrich_spotted,,4
344,enshaka,,4
345,모닥불연주_도,,1
346,모닥불연주_레,,1
347,모닥불연주_미,,1
348,모닥불연주_파,,1
349,모닥불연주_솔,,1
350,모닥불연주_라,,1
351,모닥불연주_시,,1
352,모닥불연주_도2,,1
353,ogre,,4
354,owl,,4
355,run_speedcar,VehicleUnitModel,
356,pet_smallgiant,,4
357,pet_gargoyle,,4
358,smallgiant_small,,4
359,pet_yaksa_warrior,,4
360,pet_fireelemental,,4
361,pet_windelemental,,4
362,phantom_hariharan,,4
363,spartoi_big,,4
364,phantom_nuian,,4
365,porcupineslime,,4
366,pumpkinhead,,4
367,amoredspecter,,4
368,pet_fepee,,4
369,pet_woodgiant,,4
370,voice,채팅 버블 음성 모음,
371,banshee,,4
372,bloodsucker,,4
373,밤의 이야기꾼_여자,,3
374,조합장_여자,,3
375,soundmood_o_land_of_sunlights,BGM,
376,soundmood_o_ruins_of_gold,BGM,
377,soundmood_o_abyss_gate,BGM,
378,soundmood_o_shining_shore,BGM,
379,pet_turtle_rock,,4
380,pet_demisnake_female,,4
381,run_fishboat,ShipUnitModel,
382,livingsword,,4
383,livingaxe,,4
384,soundmood_인던_나차쉬가르,BGM,
385,soundmood_인던보스_나차쉬가르,BGM,
386,ostrich_spotted_big,,4
387,rabbit,,4
388,rabbit_big,,4
389,crow_blackbird_big,,4
390,pig,,4
391,pig_big,,4
392,harpy_big,,4
393,lizard_big,,4
394,대체사용,,
395,anthalon_(nuian_male),,4
396,pet_fox,,4
397,lion_monster,,4
398,pet_detectmachine,,4
399,pet_werespider,,4
400,drowned_big,,4
401,polarbear,탈것,4
402,pet_polarbear,,4
403,dragon,,4
404,event_dragon,,4
405,aranzebia,,4
406,lobster_big,,4
407,centauros_big,,4
408,snake,,4
409,snake_big,,4
410,please_remove,실수로 만들었음,6
411,soundmood_인던_영원의섬,BGM,
412,soundmood_인던보스_영원의섬,BGM,
413,fireegg,,4
414,kraken_small,,4
415,pet_cat,,4
416,calf,,4
417,bear_ghost,,4
418,garuda_ghost,,4
419,gorilla_ghost,,4
420,ostrich_spotted_ghost,,4
421,twoheadsnake_rockscale_ghost,,4
422,donkey,탈것,4
423,pet_cat_baby,,4
424,leopard,,4
425,dog_guard,,4
426,run_tractor_b,VehicleUnitModel,
427,gorgon_big,,4
428,dwarf_male,,2
429,dwarf_female,,2
430,dwarf_npc_male,,4
431,dwarf_npc_female,,4
432,sealion,,4
