id,skill_id,desc,condition_buffkind,condition_icon_id,result_buffkind,result_icon_id,unit_selection_id,buff_tag_id,web_desc
54,16210,[느려짐] 적대상을 [기절] 시킴,f,1784,f,1790,2,,
55,10752,[얼음화] 적대상에게 12% 피해 추가 ,f,1839,t,0,2,,
56,10752,[불 붙은] 적대상에게 [강력한 화염] 발생,f,1836,f,6911,2,,
57,10752,[정신파괴] 적대상에게 준 피해량의 20%를 활력으로 흡수,f,1801,t,0,2,,
58,10667,[불 붙은] 적대상에게 15% 피해 추가,f,1836,t,0,2,,
59,10667,[얼음화] 적대상에게 30초 동안 [강력한 동결] 발생(PvP 시 유지 시간이 50% 감소),f,1839,t,0,2,,
60,10667,[수면] 적대상에게 34% 피해 추가,f,1799,t,0,2,,
61,10670,[창에 꽂힌] 적대상에게 45% 피해 추가,f,1825,t,0,2,,
62,10670,[감전된] 적대상에게 43% 피해 추가,f,1834,t,0,2,,
63,11939,[얼음화] 적대상에게 44% 피해 추가,f,1839,t,0,2,120,
64,10151,[불 붙은] 적대상에게 26% 피해 추가,f,1836,t,0,2,,
65,10151,[얼음화] 적대상에게 100% 확률로 [얼음 파편] 발생,f,1839,t,0,2,,
66,11967,[창에 꽂힌] 적대상에게 30% 피해 추가,f,1825,t,0,2,13,
67,14774,[얼음화] 적대상에게 41% 피해 추가,f,1839,t,0,2,120,
68,10664,[얼음화] 적대상에게 30% 피해 추가,f,1839,t,0,2,,
69,11435,[독걸린] 적대상에게 13% 피해 추가,f,1827,t,0,2,,
70,11435,[기절한] 적대상에게 17% 피해 추가,f,1790,t,0,2,,
71,12029,[위축된] 적대상에게 11% 피해 추가,f,1809,t,0,2,,
72,14835,[느려짐] 적대상에게 24% 피해 추가,f,1784,t,0,2,,
73,10648,[표식된] 적대상을 [넘어트림],f,1832,t,0,2,,
74,10648,[표식된] 적대상에게 77% 피해 추가,f,1832,t,0,2,,
75,10648,"[정신 파괴] 적대상은 [기절], [넘어짐] 지속 시간이 30% 증가",f,1801,t,0,2,373,
76,13344,[출혈] 적대상에게 35% 피해 추가,f,1842,t,0,2,,
77,10496,[기절한] 적대상을 [넘어트림],f,1790,t,0,2,,
80,11973,"[매혹된] 적대상에게 [공포] 발생, 이후 매혹됨 해제",f,1850,t,0,2,,
81,10723,[매혹된] 적대상에게 [느려짐] 발생,f,1850,f,1784,2,155,
82,11943,"[매혹된] 적대상에게 37% 피해 추가, 매혹 상태 해제",f,1850,t,0,2,155,
83,10724,[매혹된] 적대상에게 1초당 #{min_damage}~#{max_damage}지속적인 마법 피해,f,1850,t,0,2,155,[매혹된] 적대상에게 1초당 [피해량]지속적인 마법 피해
84,10727,[매혹된] 적대상의 모든 공격력을 30% 감소,f,1850,t,0,2,155,
85,11396,[매혹된] 적대상의 방어도와 마법저항 무력화,f,1850,t,0,2,155,
86,11946,[느려짐] 적대상에게 49% 피해 추가,f,1784,t,0,2,,
87,11946,[정신 파괴]  적대상은 넘어짐 지속 시간이 30% 증가,f,1801,t,0,2,,
88,10534,자신이 [의기 충전] 효과 시 [빛과 어둠] 재사용 시간 0.6초 감소,t,1818,t,0,2,,
92,10534,자신이 [활력 방패] 효과 시 [빛과 어둠] 즉시 시전,t,1817,t,0,2,,
93,10534,우호적 대상이 [샘솟는 생명력] 효과 시 16% 회복량 증가,t,1862,t,0,2,,
94,10534,"[매혹된] 적대상에게 26% 피해 추가, 매혹 상태 해제",f,1850,t,0,2,,
95,13286,[창에 꽂힌] 적대상에게 45% 피해 추가,f,6910,t,0,2,,
96,10720,자신이 [의기 충전] 효과 시 [모두 치유] 재사용 시간 2.1초 감소,t,1818,t,0,2,,
97,10720,우호적 대상이 [샘솟는 생명력] 효과 시 30% 회복량 증가,t,1862,t,0,2,,
98,16783,자신이 [의기 충전] 효과 시 [활력 주기] 재사용 시간 0.9초 감소,t,1818,t,0,2,,
99,14929,자신이 [의기 충전] 효과 시 재사용 시간 1.2초 감소 ,t,1818,t,0,2,,
100,10712,[침묵] 상태 적대상은 #{buff_duration} 동안 [물리 기술 봉쇄],f,1796,f,1812,2,,[침묵] 상태 적대상은 [유지 시간] 동안 [물리 기술 봉쇄]
101,10710,[도발된] 적대상에게 위협 수치 3배 적용,f,1806,t,0,2,,
102,14495,[넘어진] 적대상을 공격시 피해량 3배,f,1781,t,0,2,,
103,12139,[독걸린] 적대상에게 38% 피해 추가,f,1827,t,0,2,,
104,14376,[발묶인] 적대상에게 #{min_damage}~#{max_damage} 즉시 마법 피해 추가,f,1830,t,0,2,,[발묶인] 적대상에게 [피해량] 즉시 마법 피해 추가
105,17395,[불 붙은] 적대상에게 50% 피해 추가,f,1836,t,0,2,,
107,17394,[불 붙은] 적대상에게 50% 피해 추가,f,1836,t,0,2,,
108,18131,,t,0,t,0,2,,
109,18131,,t,0,t,0,2,,
111,18222,"자신의 [의기 충전] 효과 1회 당 47% 피해 추가, 이후 의기 소멸",t,1818,t,0,2,,
112,18132,첫번째 공격 [발묶인] 적대상을 [넘어트림],f,1830,f,1781,2,,
113,18132,두번째 공격 [넘어진] 적대상에게 48% 피해 추가,f,1781,t,0,2,,
114,13282,[위축된] 적대상에게 12% 피해 추가,f,1809,t,0,2,,
115,14376,[정신 파괴] 적대상에게 41%의 마법 피해를 주며 생명력으로 흡수,f,1801,t,0,2,,
116,18757,[느려짐] 적대상에게 44% 피해 추가,f,1784,t,0,2,161,
117,18912,[출혈] 적대상에게 60% 피해 추가,f,1842,t,0,2,,
118,19238,자신이 [의기 충전] 효과 시 [빛과 어둠] 재사용 시간 0.6초 감소,t,1818,t,0,2,,
119,19238,자신이 [활력 방패] 효과 시 [빛과 어둠] 즉시 시전,t,1817,t,0,2,,
120,19238,우호적 대상이 [샘솟는 생명력] 효과 시 16% 회복량 증가,t,1862,t,0,2,,
121,19238,"[매혹된] 적대상에게 40% 피해 추가, 매혹 상태 해제",f,1850,t,0,2,,
122,19263,[출혈] 적대상에게 상위 출혈 효과,f,1842,f,1842,2,,
123,11425,[출혈] 적대상에게 상위 출혈 효과,f,1842,f,1842,2,,
124,18126,[넘어진] 적대상에게 23% 피해 추가,f,1781,t,0,2,,
125,18127,[넘어진] 적대상에게 23% 피해 추가,f,1781,t,0,2,,
126,14832,[공포] 적대상에게 [강력한 위축] 발생,f,1793,f,6908,2,,
127,14811,[공포] 적대상에게 [강력한 위축] 발생,f,1793,f,6908,2,,
128,14836,[느려짐] 적대상에게 24% 피해 추가,f,1784,t,0,2,,
129,14837,[느려짐] 적대상에게 24% 피해 추가,f,1784,t,0,2,,
130,18134,[넘어진] 적대상에게 48% 피해 추가,f,1781,t,0,2,,
132,10455,,t,0,t,0,1,116,
134,10496,[기절한] 적대상에게 33% 피해 추가(살기 피해 제외) ,f,1790,t,0,2,,
135,10496,자신이 [은신] 효과 시 은신 기술 재사용 시간 초기화 ,t,1844,t,0,1,,
136,22961,[느려짐] 적대상에게 24% 피해 추가 ,f,1784,t,0,2,,
138,10667,자신이 [차가운 발걸음] 효과 시 얼음 화살 즉시 시전,t,1840,t,0,2,,자신이 [차가운 발걸음] 효과 시 얼음 화살 즉시 시전
139,23587,[발묶인] 적대상을 [강력한 위축],t,1830,t,6908,2,,
140,23593,[얼음화] 적대상에게 5초 동안 [치유량 감소] 발생,f,1839,f,10378,2,,
