id,model20,model40,model60,model80
24,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_oil01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_oil01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_oil01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_oil01.cgf
25,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_dyeing01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_dyeing01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_dyeing01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_dyeing01.cgf
26,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_do_cooker03.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_do_cooker03.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_do_cooker04.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_do_cooker04.cgf
28,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_printing01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_printing01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_printing01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_printing01.cgf
29,cgf://game/objects/env/06_unit/01_ship/galleon/galleon_board.cgf,cgf://game/objects/env/06_unit/01_ship/galleon/galleon_board.cgf,cgf://game/objects/env/06_unit/01_ship/galleon/galleon_board.cgf,cgf://game/objects/env/06_unit/01_ship/galleon/galleon_board.cgf
32,prefab://Prefabs/galleon01.xml/galleon01.step_02,prefab://Prefabs/galleon01.xml/galleon01.step_03,prefab://Prefabs/galleon01.xml/galleon01.step_04,prefab://Prefabs/galleon01.xml/galleon01.step_05
33,prefab://Prefabs/galleon02.xml/galleon02.step_02,prefab://Prefabs/galleon02.xml/galleon02.step_03,prefab://Prefabs/galleon02.xml/galleon02.step_04,prefab://Prefabs/galleon02.xml/galleon02.step_05
34,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_dyeing01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_dyeing01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_dyeing01.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_dyeing01.cgf
36,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_dyeing03.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_dyeing03.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_dyeing04.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_dyeing04.cgf 
37,cgf://objects/Env/01_nuia/001_ndeco/ndeco_forge_dummy_01.cgf,cgf://objects/Env/01_nuia/001_ndeco/ndeco_forge_dummy_01.cgf,cgf://objects/Env/01_nuia/001_ndeco/ndeco_forge_dummy_01.cgf,cgf://objects/Env/01_nuia/001_ndeco/ndeco_forge_dummy_01.cgf
39,cgf://objects/Env/01_nuia/001_ndeco/ndeco_forge_dummy_01.cgf,cgf://objects/Env/01_nuia/001_ndeco/ndeco_forge_dummy_01.cgf,cgf://objects/Env/01_nuia/001_ndeco/ndeco_forge_dummy_01.cgf,cgf://objects/Env/01_nuia/001_ndeco/ndeco_forge_dummy_01.cgf
40,cgf://objects/Env/01_nuia/001_ndeco/ndeco_leather_table01.cgf,cgf://objects/Env/01_nuia/001_ndeco/ndeco_leather_table01.cgf,cgf://objects/Env/01_nuia/001_ndeco/ndeco_leather_table01.cgf,cgf://objects/Env/01_nuia/001_ndeco/ndeco_leather_table01.cgf 
42,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_sewing03.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_sewing03.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_sewing04.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_sewing04.cgf
43,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_furniture03.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_furniture03.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_furniture04.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_furniture04.cgf 
44,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_glass03cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_glass03.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_glass04.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_glass04.cgf
45,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_crystal03.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_crystal03.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_crystal04.cgf,cgf://objects/Env/01_nuia/001_ndeco/making/ndeco_making_crystal04.cgf 
46,prefab://prefabs/making.xml/making.cooking,prefab://prefabs/making.xml/making.cooking,prefab://prefabs/making.xml/making.cooking,prefab://prefabs/making.xml/making.cooking
