id,craft_id,count,use_alias,quest_act_obj_alias_id,highlight_doodad_id
139,2658,1,f,0,568
140,2819,1,f,0,568
141,2659,1,f,0,
144,2654,1,f,0,
145,2654,1,f,0,
146,2659,1,f,0,
147,2820,1,f,0,
148,4002,1,f,0,525
149,2637,1,f,0,525
150,4288,1,f,0,568
151,4288,1,f,0,568
152,4292,1,f,0,568
153,4292,1,f,0,568
154,4296,1,f,0,568
155,4296,1,f,0,568
156,2,1,f,0,4220
157,5,1,f,0,4221
158,11,1,f,0,4226
159,15,1,f,0,4229
160,7,1,f,0,4223
161,9,1,f,0,4224
162,13,1,f,0,4228
163,16,1,f,0,4230
164,2622,1,f,0,525
165,2626,1,f,0,525
166,2630,1,f,0,525
167,2634,1,f,0,525
168,3999,1,f,0,525
169,2642,1,f,0,525
170,2638,1,f,0,525
171,4003,1,f,0,525
172,2623,1,f,0,
173,2627,1,f,0,
174,2631,1,f,0,
175,2635,1,f,0,
176,4000,1,f,0,
177,2643,1,f,0,
178,2639,1,f,0,
179,4004,1,f,0,
180,5384,1,t,2242,564
181,5385,1,t,2243,525
182,5384,1,t,2245,564
183,5385,1,f,0,525
184,2662,1,f,0,
185,2662,1,f,0,
186,5445,1,f,0,6156
187,5450,1,f,0,6156
188,5446,1,f,0,6156
189,5451,1,f,0,6156
190,5447,1,f,0,6156
191,5448,1,f,0,6156
192,5449,1,f,0,6156
193,5452,1,f,0,6157
194,5453,1,f,0,6157
195,5454,1,f,0,6157
197,5438,1,f,0,
198,5439,1,f,0,
199,5598,1,f,0,
200,5476,1,f,0,
201,5536,1,f,0,
202,5537,1,f,0,
203,118,3,f,0,
204,4374,1,f,0,
205,4401,1,f,0,
206,4428,1,f,0,
207,4455,1,f,0,
208,4482,1,f,0,
209,4563,1,f,0,
210,4590,1,f,0,
211,4671,1,f,0,
212,4644,1,f,0,
213,4617,1,f,0,
214,4752,1,f,0,
215,4779,1,f,0,
216,4806,1,f,0,
217,4833,1,f,0,
218,4860,1,f,0,
219,5034,1,f,0,
220,5235,1,f,0,
221,5539,1,f,0,
222,5208,1,f,0,
223,5167,1,f,0,
224,5438,1,f,0,
225,5439,1,f,0,
226,5598,1,f,0,
227,5476,1,f,0,
228,5536,1,f,0,
229,5537,1,f,0,
230,5539,1,f,0,
231,5034,1,f,0,
232,5235,1,f,0,
233,118,3,f,0,
234,4374,1,f,0,
235,4401,1,f,0,
236,4428,1,f,0,
237,4455,1,f,0,
238,4482,1,f,0,
239,4563,1,f,0,
240,4590,1,f,0,
241,4617,1,f,0,
242,4644,1,f,0,
243,4671,1,f,0,
244,4752,1,f,0,
245,4779,1,f,0,
246,4806,1,f,0,
247,4833,1,f,0,
248,4860,1,f,0,
249,5208,1,f,0,
250,5167,1,f,0,
251,5511,1,f,0,532
252,5511,1,f,0,532
253,5515,1,f,0,564
254,5515,1,f,0,564
255,5553,3,f,0,525
256,5553,3,f,0,525
257,5745,1,f,0,7118
258,5759,1,f,0,7118
259,5773,1,f,0,7118
260,5746,1,f,0,7118
261,5760,1,f,0,7118
262,5774,1,f,0,7118
263,5747,1,f,0,7118
264,5761,1,f,0,7118
265,5775,1,f,0,7118
266,5748,1,f,0,7118
267,5762,1,f,0,7118
268,5776,1,f,0,7118
269,5749,1,f,0,7118
270,5763,1,f,0,7118
271,5777,1,f,0,7118
272,5750,1,f,0,7118
273,5764,1,f,0,7118
274,5778,1,f,0,7118
275,5751,1,f,0,7118
276,5765,1,f,0,7118
277,5779,1,f,0,7118
278,5752,1,f,0,7119
279,5766,1,f,0,7119
280,5780,1,f,0,7119
281,5753,1,f,0,7119
282,5767,1,f,0,7119
283,5781,1,f,0,7119
284,5754,1,f,0,7119
285,5768,1,f,0,7119
286,5782,1,f,0,7119
287,5755,1,f,0,7119
288,5769,1,f,0,7119
289,5783,1,f,0,7119
290,5756,1,f,0,7119
291,5770,1,f,0,7119
292,5784,1,f,0,7119
293,5757,1,f,0,7119
294,5771,1,f,0,7119
295,5785,1,f,0,7119
296,5758,1,f,0,7119
297,5772,1,f,0,7119
298,5786,1,f,0,7119
