id,item_id,asset_id,base_enchantable,holdable_id,mod_set_id,eiset_id,or_unit_reqs,repairable,durability_multiplier,base_equipment,drawn_scale,worn_scale,recharge_buff_id,charge_lifetime,charge_count,useAsStat,skin_kind_id,fixed_visual_effect_id
89,1264,1315,t,3,,,f,t,100,t,1.2,0.94,,0,0,t,3,
90,1277,3293,t,3,,,f,t,100,t,1.22,0.95,,0,0,t,3,
91,1278,3307,t,3,,,f,t,100,t,1.35,1.1,,0,0,t,3,
92,1279,3291,t,3,,,f,t,100,t,1.23,0.97,,0,0,t,3,
93,1280,3311,t,3,,,f,t,100,t,1.0,1.0,,0,0,t,3,
94,1281,3311,t,3,,,f,t,100,t,1.0,1.0,,0,0,t,3,
95,1282,3183,t,7,,,f,t,100,t,1.07,0.74,,0,0,t,3,
96,1283,3177,t,9,,,f,t,100,t,1.0,1.0,,0,0,t,3,
97,1284,3187,t,7,,,f,t,100,t,0.88,0.61,,0,0,t,3,
98,1285,3177,t,9,,,f,t,100,t,1.0,1.0,,0,0,t,3,
99,1286,1275,t,7,,,f,t,100,t,1.15,0.79,,0,0,t,3,
100,1287,3177,t,9,,,f,t,100,t,1.0,1.0,,0,0,t,3,
101,1288,3199,t,7,,,f,t,100,t,1.07,0.74,,0,0,t,3,
102,1289,3177,t,9,,,f,t,100,t,1.0,1.0,,0,0,t,3,
103,1290,3180,t,7,,,f,t,100,t,1.12,0.78,,0,0,t,3,
104,1291,3177,t,9,,,f,t,100,t,1.0,1.0,,0,0,t,3,
105,1292,3199,t,7,,,f,t,100,t,1.07,0.74,,0,0,t,3,
106,1293,3177,t,9,,,f,t,100,t,1.0,1.0,,0,0,t,3,
107,1294,4529,t,7,,,f,t,100,t,0.99,0.65,,0,0,t,3,
108,1295,3177,t,9,,,f,t,100,t,1.0,1.0,,0,0,t,3,
113,1300,1271,t,7,,,f,t,100,t,1.0,1.0,,0,0,t,3,
114,1301,1310,t,8,,,f,t,100,t,1.46,1.19,,0,0,t,3,
115,1302,1306,t,8,,,f,t,100,t,1.18,0.88,,0,0,t,3,
116,1303,1308,t,8,,,f,t,100,t,1.18,0.88,,0,0,t,3,
117,1304,3258,t,8,,,f,t,100,t,1.47,1.2,,0,0,t,3,
118,1305,1307,t,8,,,f,t,100,t,1.18,0.89,,0,0,t,3,
119,1306,3259,t,8,,,f,t,100,t,1.47,1.2,,0,0,t,3,
121,1308,3262,t,8,,,f,t,100,t,1.44,1.13,,0,0,t,3,
123,1310,3260,t,8,,,f,t,100,t,1.47,1.2,,0,0,t,3,
124,1311,3257,t,8,,,f,t,100,t,1.31,1.05,,0,0,t,3,
125,1312,3289,t,8,,,f,t,100,t,1.22,0.97,,0,0,t,3,
126,1313,3263,t,8,,,f,t,100,t,1.0,1.0,,0,0,t,3,
127,1314,1282,t,10,,,f,t,100,t,1.0,1.0,,0,0,t,3,
128,1315,3141,t,10,,,f,t,100,t,0.94,0.76,,0,0,t,3,
153,1547,1282,t,10,,,f,t,100,t,1.0,1.0,,0,0,t,3,
154,1552,1286,t,10,,,f,t,100,t,1.0,0.81,,0,0,t,3,
155,1553,1282,t,10,,,f,t,100,t,1.0,1.0,,0,0,t,3,
156,1554,3147,t,10,,,f,t,100,t,0.99,0.8,,0,0,t,3,
157,1555,1282,t,10,,,f,t,100,t,1.0,1.0,,0,0,t,3,
158,1556,1284,t,10,,,f,t,100,t,0.99,0.86,,0,0,t,3,
159,1557,1282,t,10,,,f,t,100,t,1.0,1.0,,0,0,t,3,
160,1558,3153,t,10,,,f,t,100,t,0.72,0.67,,0,0,t,3,
161,1559,1282,t,10,,,f,t,100,t,1.0,1.0,,0,0,t,3,
162,1560,3140,t,10,,,f,t,100,t,0.84,0.73,,0,0,t,3,
163,1561,1282,t,10,,,f,t,100,t,1.0,1.0,,0,0,t,3,
164,1562,3167,t,10,,,f,t,100,t,0.96,0.78,,0,0,t,3,
165,1563,1282,t,10,,,f,t,100,t,1.0,1.0,,0,0,t,3,
166,1564,1319,t,11,,,f,t,100,t,1.07,0.95,,0,0,t,3,
167,1565,4021,t,11,,,f,t,100,t,1.01,0.64,,0,0,t,3,
168,1566,4028,t,11,,,f,t,100,t,1.01,0.64,,0,0,t,3,
169,1567,1319,t,11,,,f,t,100,t,1.07,0.95,,0,0,t,3,
170,1568,4019,t,11,,,f,t,100,t,1.07,0.95,,0,0,t,3,
171,1569,4028,t,11,,,f,t,100,t,1.01,0.64,,0,0,t,3,
172,1570,1319,t,11,,,f,t,100,t,1.07,0.95,,0,0,t,3,
176,1603,1316,t,11,,,f,t,100,t,1.03,0.81,,0,0,t,3,
177,1604,4020,t,11,,,f,t,100,t,1.07,0.95,,0,0,t,3,
178,1605,1316,t,11,,,f,t,100,t,1.03,0.81,,0,0,t,3,
179,1606,4018,t,11,,,f,t,100,t,1.06,0.95,,0,0,t,3,
180,1607,1289,t,12,,,f,t,100,t,1.0,1.0,,0,0,t,3,
181,1608,1292,t,12,,,f,t,100,t,0.99,0.74,,0,0,t,3,
182,1609,1289,t,12,,,f,t,100,t,1.0,1.0,,0,0,t,3,
185,1612,3330,t,12,,,f,t,100,t,0.81,0.59,,0,0,t,3,
186,1613,1289,t,12,,,f,t,100,t,1.0,1.0,,0,0,t,3,
187,1614,3332,t,12,,,f,t,100,t,0.75,0.56,,0,0,t,3,
188,1615,1289,t,12,,,f,t,100,t,1.0,1.0,,0,0,t,3,
190,1617,3328,t,12,,,f,t,100,t,0.86,0.63,,0,0,t,3,
191,1618,1289,t,12,,,f,t,100,t,1.0,1.0,,0,0,t,3,
192,1619,3324,t,12,,,f,t,100,t,0.87,0.64,,0,0,t,3,
193,1620,1289,t,12,,,f,t,100,t,1.0,1.0,,0,0,t,3,
194,1621,3337,t,12,,,f,t,100,t,0.75,0.55,,0,0,t,3,
195,1622,1289,t,12,,,f,t,100,t,1.0,1.0,,0,0,t,3,
196,1623,3340,t,12,,,f,t,100,t,0.75,0.56,,0,0,t,3,
197,1624,1289,t,12,,,f,t,100,t,1.0,1.0,,0,0,t,3,
198,1625,1322,t,13,,,f,t,100,t,0.93,0.8,,0,0,t,3,
199,1626,3882,t,13,,,f,t,100,t,1.02,0.86,,0,0,t,3,
200,1627,1324,t,13,,,f,t,100,t,1.02,0.86,,0,0,t,3,
201,1628,1321,t,13,,,f,t,100,t,1.0,1.0,,0,0,t,3,
202,1629,3881,t,13,,,f,t,100,t,1.02,0.86,,0,0,t,3,
203,1630,1320,t,13,,,f,t,100,t,0.93,0.8,,0,0,t,3,
204,1631,3887,t,13,,,f,t,100,t,1.04,0.85,,0,0,t,3,
205,1632,1321,t,13,,,f,t,100,t,0.93,0.8,,0,0,t,3,
206,1633,3893,t,13,,,f,t,100,t,1.04,0.85,,0,0,t,3,
207,1634,3926,t,13,,,f,t,100,t,0.92,0.78,,0,0,t,3,
208,1635,1321,t,13,,,f,t,100,t,1.0,1.0,,0,0,t,3,
209,1636,1299,t,15,,,f,t,100,t,1.0,1.0,,0,0,t,3,
210,1637,1298,t,15,,,f,t,100,t,1.38,1.24,,0,0,t,3,
215,1642,1299,t,15,,,f,t,100,t,1.0,1.0,,0,0,t,3,
216,1643,3380,t,15,,,f,t,100,t,1.33,1.14,,0,0,t,3,
217,1644,1299,t,15,,,f,t,100,t,1.0,1.0,,0,0,t,3,
218,1645,3382,t,15,,,f,t,100,t,1.34,1.21,,0,0,t,3,
219,1646,1299,t,15,,,f,t,100,t,1.0,1.0,,0,0,t,3,
220,1647,1297,t,15,,,f,t,100,t,1.15,1.06,,0,0,t,3,
221,1648,1299,t,15,,,f,t,100,t,1.0,1.0,,0,0,t,3,
223,1650,3373,t,15,,,f,t,100,t,1.38,1.24,,0,0,t,3,
225,1652,1299,t,15,,,f,t,100,t,1.0,1.0,,0,0,t,3,
226,1653,1295,t,15,,,f,t,100,t,1.27,1.09,,0,0,t,3,
227,1654,1299,t,15,,,f,t,100,t,1.0,1.0,,0,0,t,3,
228,1655,3371,t,15,,,f,t,100,t,1.15,1.06,,0,0,t,3,
230,1657,1299,t,15,,,f,t,100,t,1.0,1.0,,0,0,t,3,
231,1658,3605,t,16,,,f,t,100,t,1.14,0.96,,0,0,t,3,
232,1659,1325,t,16,,,f,t,100,t,1.03,0.85,,0,0,t,3,
233,1660,1328,t,16,,,f,t,100,t,1.14,0.96,,0,0,t,3,
234,1661,1326,t,16,,,f,t,100,t,1.03,0.85,,0,0,t,3,
235,1662,1327,t,16,,,f,t,100,t,1.03,0.85,,0,0,t,3,
236,1663,3604,t,16,,,f,t,100,t,1.14,0.96,,0,0,t,3,
237,1664,3606,t,16,,,f,t,100,t,1.16,0.96,,0,0,t,3,
238,1665,1329,t,16,,,f,t,100,t,1.08,0.9,,0,0,t,3,
239,1666,3608,t,16,,,f,t,100,t,1.16,0.96,,0,0,t,3,
240,1667,3607,t,16,,,f,t,100,t,1.16,0.96,,0,0,t,3,
241,1668,1325,t,16,,,f,t,100,t,1.0,1.0,,0,0,t,3,
242,1669,1301,t,14,,,f,t,100,t,1.16,0.86,,0,0,t,3,
243,1670,4245,t,18,,,f,t,100,t,1.01,0.77,,0,0,t,3,
244,1671,1302,t,14,,,f,t,100,t,1.16,0.86,,0,0,t,3,
245,1672,4245,t,18,,,f,t,100,t,1.01,0.77,,0,0,t,3,
246,1673,1304,t,14,,,f,t,100,t,0.92,0.68,,0,0,t,3,
247,1674,4248,t,18,,,f,t,100,t,1.01,0.77,,0,0,t,3,
248,1675,4241,t,14,,,f,t,100,t,0.92,0.68,,0,0,t,3,
249,1676,4244,t,18,,,f,t,100,t,1.25,0.96,,0,0,t,3,
250,1677,4240,t,14,,,f,t,100,t,0.92,0.68,,0,0,t,3,
255,1682,4247,t,18,,,f,t,100,t,1.25,0.96,,0,0,t,3,
256,1683,1304,t,14,,,f,t,100,t,1.0,1.0,,0,0,t,3,
257,1684,1303,t,18,,,f,t,100,t,1.0,1.0,,0,0,t,3,
258,1685,1330,t,17,,,f,t,100,t,1.1,0.93,,0,0,t,3,
259,1686,1331,t,17,,,f,t,100,t,0.97,0.82,,0,0,t,3,
260,1687,1330,t,17,,,f,t,100,t,1.1,0.93,,0,0,t,3,
261,1688,4267,t,17,,,f,t,100,t,1.27,1.13,,0,0,t,3,
263,1690,1270,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
264,1691,1331,t,17,,,f,t,100,t,0.97,0.82,,0,0,t,3,
266,1693,1330,t,17,,,f,t,100,t,1.1,0.93,,0,0,t,3,
267,1694,4267,t,17,,,f,t,100,t,1.27,1.13,,0,0,t,3,
268,1695,1330,t,17,,,f,t,100,t,1.0,1.0,,0,0,t,3,
269,1696,1332,t,17,,,f,t,100,t,0.97,0.82,,0,0,t,3,
271,1698,1332,t,17,,,f,t,100,t,0.97,0.82,,0,0,t,3,
272,1699,1330,t,17,,,f,t,100,t,1.0,1.0,,0,0,t,3,
273,1700,1330,t,17,,,f,t,100,t,1.0,1.0,,0,0,t,3,
274,1701,1335,t,19,,,f,t,100,t,1.05,0.91,,0,0,t,3,
275,1702,1336,t,19,,,f,t,100,t,1.05,0.91,,0,0,t,3,
276,1703,4145,t,19,,,f,t,100,t,1.03,0.87,,0,0,t,3,
277,1704,4152,t,19,,,f,t,100,t,1.18,1.0,,0,0,t,3,
278,1705,1339,t,19,,,f,t,100,t,1.09,0.96,,0,0,t,3,
279,1706,4144,t,19,,,f,t,100,t,1.03,0.87,,0,0,t,3,
280,1707,4154,t,19,,,f,t,100,t,1.09,0.96,,0,0,t,3,
281,1708,4158,t,19,,,f,t,100,t,1.03,0.91,,0,0,t,3,
282,1709,4306,t,19,,,f,t,100,t,1.03,0.91,,0,0,t,3,
283,1710,4165,t,19,,,f,t,100,t,1.16,1.01,,0,0,t,3,
284,1711,4169,t,19,,,f,t,100,t,1.0,1.0,,0,0,t,3,
285,1712,4169,t,19,,,f,t,100,t,1.0,1.0,,0,0,t,3,
286,1713,1346,t,21,,,f,t,100,t,1.08,0.91,,0,0,t,3,
287,1714,1346,t,21,,,f,t,100,t,1.08,0.91,,0,0,t,3,
288,1715,1347,t,21,,,f,t,100,t,1.08,0.91,,0,0,t,3,
289,1716,1345,t,21,,,f,t,100,t,1.08,0.91,,0,0,t,3,
290,1717,1347,t,21,,,f,t,100,t,1.08,0.91,,0,0,t,3,
291,1718,1346,t,21,,,f,t,100,t,1.08,0.91,,0,0,t,3,
296,1723,1348,t,21,,,f,t,100,t,1.05,0.93,,0,0,t,3,
297,1724,1347,t,21,,,f,t,100,t,1.08,0.91,,0,0,t,3,
298,1725,4275,t,21,,,f,t,100,t,1.05,0.93,,0,0,t,3,
299,1726,1346,t,21,,,f,t,100,t,1.08,0.91,,0,0,t,3,
300,1727,4275,t,21,,,f,t,100,t,1.05,0.93,,0,0,t,3,
301,1728,1354,t,23,,,f,t,100,t,1.41,1.28,,0,0,t,3,
302,1729,1353,t,23,,,f,t,100,t,1.41,1.28,,0,0,t,3,
304,1731,1354,t,23,,,f,t,100,t,1.41,1.28,,0,0,t,3,
306,1733,1353,t,23,,,f,t,100,t,1.41,1.28,,0,0,t,3,
307,1734,1356,t,23,,,f,t,100,t,1.2,1.2,,0,0,t,3,
308,1735,1354,t,23,,,f,t,100,t,1.41,1.28,,0,0,t,3,
309,1736,1356,t,23,,,f,t,100,t,1.12,1.12,,0,0,t,3,
310,1737,1353,t,23,,,f,t,100,t,1.41,1.28,,0,0,t,3,
311,1738,1354,t,23,,,f,t,100,t,1.41,1.28,,0,0,t,3,
312,1739,1353,t,23,,,f,t,100,t,1.41,1.28,,0,0,t,3,
313,1740,1354,t,23,,,f,t,100,t,1.0,1.0,,0,0,t,3,
314,1741,1350,t,22,,,f,t,100,t,1.19,0.95,,0,0,t,3,
315,1742,1350,t,22,,,f,t,100,t,1.19,0.95,,0,0,t,3,
316,1743,1350,t,22,,,f,t,100,t,1.19,0.95,,0,0,t,3,
317,1744,1349,t,22,,,f,t,100,t,1.19,0.95,,0,0,t,3,
318,1745,1352,t,22,,,f,t,100,t,0.94,0.7,,0,0,t,3,
319,1746,1351,t,22,,,f,t,100,t,1.19,0.95,,0,0,t,3,
320,1747,1350,t,22,,,f,t,100,t,1.19,0.95,,0,0,t,3,
321,1748,1350,t,22,,,f,t,100,t,1.19,0.95,,0,0,t,3,
322,1749,1349,t,22,,,f,t,100,t,1.19,0.95,,0,0,t,3,
323,1750,1352,t,22,,,f,t,100,t,0.94,0.7,,0,0,t,3,
324,1751,1350,t,22,,,f,t,100,t,1.0,1.0,,0,0,t,3,
325,1752,9607,t,24,,,f,t,100,t,1.06,0.77,,0,0,t,3,
330,1757,1342,t,24,,,f,t,100,t,1.06,0.77,,0,0,t,3,
331,1758,1344,t,24,,,f,t,100,t,1.22,0.89,,0,0,t,3,
332,1759,4214,t,24,,,f,t,100,t,1.15,0.83,,0,0,t,3,
333,1760,4343,t,24,,,f,t,100,t,0.85,0.62,,0,0,t,3,
334,1761,1344,t,24,,,f,t,100,t,1.22,0.89,,0,0,t,3,
335,1762,4354,t,24,,,f,t,100,t,0.75,0.55,,0,0,t,3,
336,1763,1341,t,24,,,f,t,100,t,1.06,0.77,,0,0,t,3,
338,1765,4348,t,24,,,f,t,100,t,0.85,0.62,,0,0,t,3,
340,1767,1340,t,24,,,f,t,100,t,1.0,1.0,,0,0,t,3,
341,1768,1348,t,21,,,f,t,100,t,1.0,1.0,,0,0,t,3,
342,1769,1352,t,22,,,f,t,100,t,1.0,1.0,,0,0,t,3,
343,1770,1356,t,23,,,f,t,100,t,1.0,1.0,,0,0,t,3,
345,1772,1344,t,24,,,f,t,100,t,1.0,1.0,,0,0,t,3,
346,1773,1343,t,24,,,f,t,100,t,1.0,1.0,,0,0,t,3,
347,1774,1276,t,1,44,,f,t,100,t,1.0,1.0,,0,0,t,3,
348,1775,1264,t,2,,,f,t,100,t,1.0,1.0,,0,0,t,3,
349,1776,1320,t,13,,,f,t,100,t,1.0,1.0,,0,0,t,3,
350,1777,1288,t,12,,,f,t,100,t,0.78,0.56,,0,0,t,3,
351,1778,1320,t,13,,,f,t,100,t,1.0,1.0,,0,0,t,3,
352,1779,1300,t,14,,,f,t,100,t,1.0,1.0,,0,0,t,3,
357,1784,1294,t,15,,,f,t,100,t,1.0,1.0,,0,0,t,3,
358,1785,1325,t,16,,,f,t,100,t,1.0,1.0,,0,0,t,3,
359,1786,1325,t,16,,,f,t,100,t,1.0,1.0,,0,0,t,3,
360,1787,1325,t,16,,,f,t,100,t,1.0,1.0,,0,0,t,3,
361,1788,1330,t,17,,,f,t,100,t,1.0,1.0,,0,0,t,3,
362,1789,1300,t,18,,,f,t,100,t,1.0,1.0,,0,0,t,3,
363,1790,1334,t,19,46,,f,t,100,t,1.0,1.0,,0,0,t,3,
365,1792,563,t,20,,,f,t,100,t,1.0,1.0,,0,0,t,3,
367,1794,563,t,20,,,f,t,100,t,1.0,1.0,,0,0,t,3,
368,1795,1345,t,21,,,f,t,100,t,1.0,1.0,,0,0,t,3,
369,1796,1349,t,22,,,f,t,100,t,1.0,1.0,,0,0,t,3,
370,1797,1353,t,23,,,f,t,100,t,1.0,1.0,,0,0,t,3,
372,1799,1340,t,24,,,f,t,100,t,1.0,1.0,,0,0,t,3,
373,1800,1340,t,24,,,f,t,100,t,1.0,1.0,,0,0,t,3,
374,1801,1273,t,7,,,f,t,100,t,1.0,1.0,,0,0,t,3,
375,1802,1276,t,5,,,f,t,100,t,1.0,1.0,,0,0,t,3,
376,1803,1270,t,7,,,f,t,100,t,1.0,1.0,,0,0,t,3,
377,1804,1270,t,7,,,f,t,100,t,1.0,1.0,,0,0,t,1,
378,1805,1282,t,10,,,f,t,100,t,1.0,1.0,,0,0,t,1,
379,1806,1282,t,10,,,f,t,100,t,1.0,1.0,,0,0,t,3,
380,1807,1291,t,12,,,f,t,100,t,1.0,1.0,,0,0,t,3,
382,1811,1325,t,16,,,f,t,100,t,1.0,1.0,,0,0,t,3,
383,1814,1330,t,17,,,f,t,100,t,1.0,1.0,,0,0,t,3,
384,1818,1334,t,19,,,f,t,100,t,1.0,1.0,,0,0,t,3,
385,1825,563,t,20,,,f,t,100,t,1.0,1.0,,0,0,t,3,
386,1828,1264,t,4,,,f,t,100,t,1.0,1.0,,0,0,t,3,
387,1829,1264,t,4,,,f,t,100,t,1.0,1.0,,0,0,t,3,
388,1830,1270,t,9,,,f,t,100,t,1.02,0.69,,0,0,t,3,
389,1831,563,t,20,,,f,t,100,t,1.0,1.0,,0,0,t,3,
392,1850,1277,t,5,,,f,t,100,t,1.0,1.0,,0,0,t,3,
393,1851,1268,t,2,,,f,t,100,t,1.0,1.0,,0,0,t,3,
394,1852,4251,t,18,,,f,t,100,t,1.11,0.83,,0,0,t,3,
395,1853,1314,t,3,,,f,t,100,t,1.0,1.0,,0,0,t,3,
396,1854,1348,t,21,,,f,t,100,t,1.0,1.0,,0,0,t,3,
402,2645,1276,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
404,2666,458,t,1,,,f,t,100,t,1.0,0.9,,0,0,t,3,
405,2667,455,t,13,,,f,t,100,t,0.85,0.85,,0,0,t,3,
406,2668,6617,t,1,,,f,t,100,t,0.7,0.7,,0,0,t,3,
407,2669,459,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
408,2670,457,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
409,2671,456,t,1,,,f,t,100,t,0.8,0.8,,0,0,t,3,
410,2674,1264,t,2,,,f,t,100,t,0.88,0.69,,0,0,t,3,
411,2675,356,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
412,2679,311,t,1,,,f,t,100,t,0.8,0.7,,0,0,t,3,
413,2680,341,t,15,,,f,t,100,t,1.0,1.0,,0,0,t,3,
415,2682,360,t,1,,,f,t,100,t,0.8,0.7,,0,0,t,3,
416,2683,363,t,1,,,f,t,100,t,0.8,0.7,,0,0,t,3,
417,2684,364,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
418,2685,340,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
440,2817,1311,t,3,,,f,t,100,t,1.0,1.0,,0,0,t,3,
441,2818,1264,t,4,,,f,t,100,t,1.0,1.0,,0,0,t,3,
442,2819,1270,t,7,,,f,t,100,t,1.0,1.0,,0,0,t,3,
443,2820,1316,t,11,,,f,t,100,t,1.0,1.0,,0,0,t,3,
444,2821,1288,t,12,,,f,t,100,t,1.0,1.0,,0,0,t,3,
445,2822,1330,t,17,,,f,t,100,t,1.0,1.0,,0,0,t,3,
446,2823,1334,t,19,,,f,t,100,t,1.0,1.0,,0,0,t,3,
447,2824,1311,t,3,,,f,t,100,t,1.0,1.0,,0,0,t,3,
448,2825,1264,t,4,,,f,t,100,t,1.0,1.0,,0,0,t,3,
449,2826,1270,t,7,,,f,t,100,t,1.0,1.0,,0,0,t,3,
450,2827,1316,t,11,,,f,t,100,t,1.0,1.0,,0,0,t,3,
451,2828,1288,t,12,,,f,t,100,t,1.0,1.0,,0,0,t,3,
452,2829,1330,t,17,,,f,t,100,t,1.0,1.0,,0,0,t,3,
453,2830,1334,t,19,,,f,t,100,t,1.0,1.0,,0,0,t,3,
