id,name,desc
84,431_skill_깃털의 노래,431_skill_깃털의 노래
85,432_skill_추적자의 본능,432_skill_추적자의 본능
86,432_skill_재빠른 움직임,432_skill_재빠른 움직임
87,432_skill_빠름의 노래,432_skill_빠름의 노래
88,433_skill_부유방울,433_skill_부유방울
89,433_skill_도발,433_skill_도발
90,433_skill_유체이탈,433_skill_유체이탈
91,441_skill_순간이동,441_skill_순간이동
92,442_skill_은신,442_skill_은신
93,442_skill_투명구,442_skill_투명구
94,443_skill_소환,443_skill_소환
95,443_skill_포획하기,443_skill_포획하기
96,444_skill_마나생성,444_skill_마나생성
97,수면 ,수면상태
98,소용돌이면역,썅
99,침묵,스킬 사용 불가 상태
100,은신,은신 상태
101,질병,전염성질병
103,자연발화,자연발화
104,감전,감전
105,전투불능,"무장해제, 침묵"
106,각성으로 면역,수면과 공포에 저항
107,넘어짐,기절 상태이며 자빠져있는 경우
108,의기 충전,의기가 충전된 상태
109,야성원거리타겟,야성의 타겟형 활 스킬
110,야성원거리광역,야성 원거리 광역 스킬
111,출혈(2레벨),추혈에 의한 지속 피해
112,출혈(3레벨),출혈에 의한 지속피해
113,출혈(4레벨),출혈에 의한 지속피해
114,출혈(5레벨),출혈에 의한 지속피해
115,출혈(1레벨),출혈에 의한 지속피해
116,죽은자의 주문,죽은자의 주문이 걸린 상태
117,두 왕관 면역,두 왕관  존퀘스트용
119,불 붙음,화염 피해 상태
120,얼음피해,얼음 피해 상태
121,벼락 피해,벼락 피해 상태
122,채권추심,마하데비존퀘스트용
123,용역,마하데비존퀘스트용
124,기절한도마뱀,Q44_부상자치료
125,부식,Q134_살덩어리 퀘스트용
126,도발,도발에 걸렸다
128,평온한나무정령,배회하는나무정령평온화
129,저주받은류트,저주받은류트아이템버프
130,인지능력 상실,인지능력 상실
131,화상,화상피해를 준다.
132,정령의분노,그위오니드숲퀘스트
136,돌파충격,돌파충격
137,돛 접기 1,1
138,돛 접기 2,2
139,닻,닻 접기 해제용
140,베일,엘프메인퀘스트
141,경쾌한 행진곡,경쾌한 행진곡
142,치유의 무곡,치유의 무곡
143,활기찬 광시곡,활기찬 광시곡
144,방어 물약,즉시 2배의 방어력 증가 대신 짧다.
145,방어구 버프,방어구 재질에 따른 특성 보정용 버프들
146,살리움으로변신,살리움으로변신
147,일리온으로변신,일리온으로변신
148,회귀 상태,회귀상태에 걸리는 버프
149,오염,그위오니드침묵의숲오염
150,염력,염력에 지배중인 대상
154,마상베기,마상베기쿨타임공유
155,매혹됨,노래에 매혹되었다..
156,장비 아이템 버프,장비 아이템 장착시 passive 버프
157,악기 기술,악기에 붙어있는 기술
158,무방비,무방비 상태
159,경직,사지가 뻣뻣히 굳었다
160,속박,"이속감소, 발묶임, 띄워짐 통합"
161,이동속도감소,이동속도를 감소시키는 버프
165,살기,살기다!
166,표식,사냥꾼의 표식
167,분노한 정령,분노한 마른 나무정령
168,흉측한생명체,흉측한생명체
169,정령저주풀림,그위오니드 배회하는나무정령용
170,순간이동연마,순간이동연마패시브
171,정령 정화,땅의 정령을 정화합니다.
172,영매,그위오니드 숲을 방비하는 영매의 의식
173,방귀,방귀
174,스탕달신드롬,스탕달신드롬
175,길들인야타,길들인야타
176,마법원거리타겟,마법 스킬 중 타겟형 원거리 기술
177,마법광역타겟,마법 스킬 중 광역형 기술
178,오염된여우,오염된여우_그위오니드숲
179,모라의 원한,하얀숲 퀘스트
180,갈색산양제거,갈색산양제거
181,주문 강화,마법 능력의 강화 태그
182,공무집행 중,관리의 명 받은자를 보면 능력 하향
183,정령해방,정령해방중
184,해방된 정령,해방된 바람 정령
185,거친 바람,거친 바람 자살
186,성난 파도,성난 파도 자살
187,정탐꾼,들키면 작살이 날지도!
188,지배의 보주,지배의 보주
189,폭발 피해,폭발 피해를 입음
201,맹독,맹독
202,바이암 알 옮기기,Q1436_바이암 알 옮기기
203,정말구역질,정말구역질납니다
204,kill streak,kill streak용 skill. player가 배우면 안 됨.
206,마법증폭,마법증폭상태
207,릴리엇샛바람,릴리엇샛바람정령
208,뒤치기,퀘스트에 사용
209,노래 효과,낭만 노래 4종 효과
210,밥벌이,워본 용병이 밥벌이 중입니다.
211,서론반광산,서론반광산몬스터
212,하버중독,폭력성버프에 걸리게 된다.
213,결투 준비,npc 결투시키는 용도
214,후광,퀘스트에서 사용
215,이동 제어,대상을 이동 시키는 기술류
216,무적 면역,모든 디버프 면역
217,재생물약,재생물약 재사용시간그룹
218,용광로해제,호랑이등뼈산맥의 제련소에 있는 용광로에서 벗어났을때
219,잡아던지기,잡아던지기호출기술
220,NPC타이머,퀘스트용NPC타이머버프
221,생선비린내,비린내
222,고르곤눈빛,고르곤의눈빛에면역
223,저주,고대의 숲
224,혼란,혼란 상태
226,주머니 괴물,주머니 괴물 소환에 사용
227,나무에는불,불붙이면 나무정령이 약화됨
228,숲의 저주,숲의 저주 퀘스트에서 사용
229,활력 방패,활력 방패 상태
230,강인한 의지,강인한 의지 버프 태그
231,전투 불능 방어,전투 불능 방어 버프 태그
232,밀착 방어,밀착 방어 버프 태그
233,혼이 빠짐,노래의땅 재회의 사당에서
234,멍해짐,멍해진 효과
235,mate_horse,탈것 말
236,램프의 악마,인터랙션_램프의 악마
237,수상한 점술가,인터랙션_수상한 점술가
238,인간형NPC,모든 인간형 NPC에 붙여야되는 태그
239,노래의땅,노래의땅퀘스트진행형
240,거대 몬스터,이 태그 버프에 걸린 몬스터는 거대 몬스터로 취급됩니다. 거대 몬스터는 PC의 공격이 초래하는 디버프에 거의 걸리지 않지만 공성병기에 공격받을시 추가적인 디버프를 받게 됩니다.
241,고대의숲세여자,이 태그는 고대의숲에서 사용하는 태그
242,야영지 원혼,십자별 평원 야영지 원혼
243,마리아의 원혼,마리아의 원혼
244,마리아의 원혼2,마리아의 원혼2
245,깊은 상처,해적에게 당한 깊은 상처
246,사교도,사교도의 하수인
248,혼란에 빠진 페트로이누스,혼란에 빠진 페트로이누스
249,루푸스의 아내,루푸스의 아내
250,굶주린 늑대,굶주린 늑대
251,죽음을 맞이한 원혼,죽음을 맞이한 원혼
252,십자별 유령감지,십자별 유령감지
253,병참장교 마우스,병참장교 마우스
254,부사령관 시쿨로스,부사령관 시쿨로스
255,사령관 멜리키우스,사령관 멜리키우스
256,스카디,스킬로 대사를(테스트겸)
257,야차의 석화,야차의 석화
258,살기 2배,살기가 2배로 충전되는 패시브
259,피묻은손배신자,피묻은손배신자
260,조교라이안,조교라이안
261,자므라트의광기,자므라트의 피조물에게 적용
262,짙은 안개,저주받은 안개괴물 태그
263,저주받은검사,저주받은검사의태그
264,지독한 똥냄새,너무 지독해서 전염이 되는 지독한 똥냄새
265,거대몬스터 -  공성무기 충격,강화 : 지속시간동안 다른 공성무기에 맞으면  경직과 쓰러짐에 걸릴 확률이 높아집니다.
266,거대몬스터 - 공성무기 효과에 면역,강화 : 공성병기에 의한 충격/경직/쓰러짐에 면역됩니다.
267,거대몬스터 - [보류],공성무기에 맞고 나서 0.5초후 발동되는 효과. 더 높은단계일수록 경직과 쓰러짐에 걸릴 확률이 높아집니다.
268,거대몬스터 - 경직됨,거대몬스터가 공성무기에 맞아 경직되었습니다. 
269,거대몬스터 - 쓰러짐,강화 : 거대몬스터가 공성무기에 맞아 쓰러졌습니다. 지속시간동안 PC 기술 중 상태이상시 추가되는 연계 데미지가 모두 적용됩니다.
270,거대몬스터 - 경직 면역,강화 : 공성병기에 의한 경직에 면역됩니다.
271,거대 몬스터 - 쓰러짐 면역,강화 : 공성병기에 의한 쓰러짐에 면역됩니다.
272,술기운,술기운 1단계
273,만취,술기운 2단계
274,인사불성,술기운 3단계
275,술기운2~3,술기운2~3단계
276,알카란의 저주,알카란의 저주
277,약품상인,약품상인에게 태그를 걸어 상점 물건 만질때 대사를 합니다.
278,잡화상인,잡화상인에게 태그를 걸어 상점 물건 만질때 대사를 합니다.
279,음식상인,음식상인에게 태그를 걸어 상점 물건 만질때 대사를 합니다.
280,무기 상인,무기 상인에게 태그를 걸어 상점 물건 만질때 대사를 합니다.
281,일꾼,사금 채취장의 일꾼
282,나무정령,나무 정령류 NPC에 붙어있는 식별자
283,방어구 상인,방어구 상인에게 태그를 걸어 상점 물건 만질때 대사를 합니다.
284,화가 남,퀘스트 아이템 사용 효과 태그
285,거대 몬스터 - 크라켄의 촉수,크라켄의 촉수와 관련된 버프및 크리쳐타입을 위한 태그
286,무지개벌판,무지개벌판 퀘스트에서 사용됩니다.
287,작살에 맞음,수중 거대몬스터가 작살에 맞으면 도망치는 종류의 기술을 사용하지 못하게 됩니다.
288,수호신등장,은신된 수호신을 감지합니다.
289,타양,타양의 환영이 보입니다.
290,죽어가는거인,가랑돌죽어가는거인입니다.
291,구름속으로,구름속으로 날아가는 디버프
292,생존본능,야성 스킬 버프 태그
293,민간인 위장,민간인으로 위장한 그림자 매
294,날틀 비행중,날틀 상태를 정의하는 태그
295,두왕관,두왕관 올리비아 과수원  태그
296,날틀 기술 태그,날틀의 전역 재사용대기 시간 과 스타트
297,주술사 코이,밤의 눈 연출용 NPC
299,null,더 이상 안씀. 아무나 쓰세요.
300,산들바람,산들바람용 숨겨진 버프
301,석화,버프 : 석화 - 근접공격에 얻어맞으면 해제될 확률이 있습니다.
302,원정대원들,엘프 메인퀘스트에서 사용. 원정대원들 표시.
303,사로잡힌바이암노예,매사냥바이암두번째마을저거너트용
304,바람 군주,바람군주와 졸개들 서로를 해치지 않습니다.
305,생존본능X2,살기2배 특성 시 생존본능
306,등짐,등짐을 짊어진 상태
307,감독관 아비마르,동틀녘 모험 컨텐츠
310,A급 면역,A급 몬스터의 면역 효과
311,B급 C급 면역,"B급 몬스터의 면역 효과, OBT에 C급 보스도 B급 면역 적용함"
312,C급 면역 (사용 안함 B급C급 사용하세요),C급 몬스터의 면역 효과
313,비누,교도소 비누용
314,고립된광부,호랑이 등뼈 산맥 철광산에 고립된 광부
315,번개의 장벽 봉인,매사냥 고원 거친 바람 노토스의 기술을 봉인
316,바람의 장벽 봉인,매사냥 고원 거친 바람 노토스의 기술을 봉인
317,전하응집 봉인,매사냥 고원 거친 바람 노토스의 기술을 봉인
318,잿빛안개전사,잿빛안개전사강화버프
319,돼지새끼,낮의눈돼지
320,루키우스,NPC 루키우스에 사용
321,춤,춤추는 상태
322,(테스트)LF턴언데드,테스트용
323,혼미한 정신,퀘스트 용 기절 태그
324,깨어난 야차,깨어난 야차
331,감정표현,시스템 사용 (수정 / 삭제 금지)
332,폭죽,폭죽 쿨타임용
335,삭제,다른거로 쓰시오
336,성탄절남자,성탄절축제용
337,성탄절여자,성탄절축제용
338,성탄절남녀,성탄절축제용
339,야광버섯의 향기,하얀 숲 퀘스트 용
340,막대 사탕,막대 사탕
341,기다림의 기운,기다림의 기운
342,위압감,위압감
343,샤호전의 망치,샤호전의 망치에 면역
344,수감자,수감자
345,싸우지 마세요,싸우지 마세요
346,방울방울,방울방울
347,강인한 의지 면역,강인한 의로 면역되는 기술들
348,폭주,폭주상태
349,선택받은자,선택받은자 q2895_칼의노래
350,무중력,무중력
351,정신을 되찾은,정신을 되찾은 케빈
352,염동력 면역,염동력 면역
353,무중력 면역,무중력 면역
354,수면 면역,수면 면역
356,인터렉션 기술,인터렉션 기술
357,등짐 내려놓기,등짐을 내려놓는 기술
358,탈것 소환,탈것을 소환하는 기술
359,대지의 찬가,대지의 찬가
360,연주의 대가,연주의 대가
361,무적 기술,"무적 기술에 붙은 태그, 만든 용도는 당기기, 진공폭발같이 플롯에서 바로 스킬컨트롤러는 적용하는 거에 적용받지 않도록 하기 위해 사용함"
362,근접 공격력 증가,근접 공격력 증가
363,발차기,발차기중
364,저녁 어스름,저녁 어스름 기술
365,저녁 어스름 면역,저녁 어스름 면역
366,공성 부활 영역,공성전에서 사용하는 싸우지마세요
367,등짐 슬롯 사용중,등짐 슬롯 사용중
368,발굴,발굴
369,해적,해적
370,전쟁 기록관,전쟁 기록관-CBT4 웹진기자지급용 깃발
371,말 부상 넘어짐,말이 부상 상태로 넘어져 있습니다.
372,건물 면역 (사용안함),건물 면역 
373,정신 파괴,정신 파괴 버프
374,폭발물,폭발물
375,인터랙션,두다드 인터랙션중
376,안탈론 염동력 효과 지역,안탈론 염동력 효과 지역
377,쓰러진 말,황금 평원 퀘스트에서 사용
378,플레이어 스킬,플레이어가 사용하는 스킬들 태그
379,축복과 저주,축복과 저주
380,장미장원농부,농부들에게만 걸립니다.
381,샘솟는생명력,샘솟는 생명력
383,디버프감쇄삭제,디버프 감쇄 삭제용 태그
384,신명 ,신명 버프의 태그
385,기절과 수면,기절과 수면
386,깊은 수면,스산한 자장가 디버프 효과
387,낭만 캐스팅 기술,낭만에 캐스팅 있는 기술
388,방울방울 면역,방울 방울 면역
389,공포 면역,공포 면역 태그
390,황금평원존퀘스트,황금평원존퀘스트면역
391,불멸의 사랑,nact와 란제루스의새 결혼식 망친거 보상
392,쇼블의 땅울림,쇼블의 땅울림일격
393,쇼블의 석화,쇼블의 석화
394,투척기,스킬용
395,충전됨,농업용 달구지에 물이 찼다
396,휴대용 공성작살포,휴대용 공성작살포 착용한 상태
398,이동하면풀림,"고정 사격, 제자리 반격 기술 태그"
399,영혼구슬,불탄성 인던 3넴 스탯증폭 버프
400,초원의 띠,초원의 띠 면역
402,평화 지역 가능,부활 포인트에서 사용 가능한 기술
403,포획당한 코끼리,초원의 띠에서 사용합니다.
404,강력한 동결,강력한 동결 전용
406,TD스포너2,TD스포너2
407,출혈가능,특정 버프에 걸린 대상을 때리면 출혈 버프에 걸릴 수 있습니다(암사자).
408,새끼의 피,새끼의 피가 뭍은 후에 맞으면 좀 더 아파요
409,결혼식,결혼식 중 입니다
410,불개미 공격,불개미 이몰레이션 공격
411,살덩이 골렘의 충격,물약 사용 불가
412,분노,"공격속도, 공격력 증가"
414,사교도 제물,사교도 제물
415,격투공격기술,격투 능력의 공격 기술
416,지옥 늪지대,지옥 늪지대 퀘스트용
417,불의 화신,마하데비 인스턴스 던전 보스 몬스터 강화효과
418,긴 모래톱 해변가의 연인들,스킬 16234의 효과가 걸리는 NPC들
419,하디르보스1독액폭발,하디르보스1독액폭발
420,뒤틀린 자,지옥 늪지대의 뒤틀린 자
430,지옥개,지옥개를 도발 합니다.
434,전염병,로카의 장기말들 전염병
450,전장 관련,전장 사용 불가 설정 테그
451,위축,위축된 상태
452,하디르의농장_썩은고깃덩이,하디르의 농장 1번째 보스 썩은 고깃덩이
453,돌개바람,돌개바람
454,경비병 각성 1단계,가랑돌 평원의 농땡이치는 경비병을 각성시킵니다.
455,경비병 각성 2단계,가랑돌 평원의 농땡이치는 경비병을 각성시킵니다.
456,경비병 각성 3단계,가랑돌 평원의 농땡이치는 경비병을 각성시킵니다.
457,경비병 각성 공통,가랑돌 평원의 농땡이치는 경비병을 각성시킵니다.
458,하디르_농부,하디르의 농장 연출용 NPC
459,하디르_아낙,하디르의 농장 연출용 NPC
460,하디르_벨라르,하디르의 농장 연출용 NPC
461,하디르_망자,하디르의 농장 연출용 NPC
462,하디르_농장관리인사그라쓰,하디르의 농장 연출용 NPC
463,하디르_사로잡힘,하디르의 농장 연출용 NPC
464,유혹하는 자,무법 마을에서 약을 팝니다.
465,코끼리의 분노,코끼리가 분노한 상태입니다.
466,유혹 당하는 자,무법 마을에서 약에 유혹 당합니다.
467,마하데비_멜키나,인스턴스 던전_서방 이슈바라 지하궁전_연출용
468,하디르_변이,하디르의 농장 연출용 NPC
469,하디르_스폰노예1,하디르의 농장 연출용 NPC
470,마하데비_화염술사,인스턴스 던전_서방 이슈바라 지하궁전_불의 의식을 진행한다.
471,summon_mate,탈 것 소환 아이템에 붙는 태그
472,summon_slave,슬레이브 소환 아이템에 붙는 태그
473,마하데비_살피라 신도,인스턴스 던전_마하데비_투샨에게 죽임을 당함.
474,마하데비_투샨,인스턴스 던전_마하데비_탈퇴하려는 신도를 죽이는 연출
475,마하데비_전투 훈련교관 투샨,덫에 걸린자의 발악으로 연계 기술 호출
476,하디르_보스3광폭화,하디르 보스3 광폭화
477,하디르_보스3타워버프,하디르 보스3 타워버프
479,마하데비_짐꾼수도사,인스턴스 던전_짐꾼 수도사가 짐을 옮깁니다.
480,베히모스 혼자 잡기,베히모스 혼자 잡기
481,마하데비_아크미트,인스턴스 던전_짐꾼에게 역정을 내고 계획 실천중
482,몬스터 스킬 평타 보정,몬스터 스킬 평타 보정
483,강력한 위축,강력한 위축
484,죽음 기술,죽음 능력 기술
485,넘어짐 면역,넘어짐 면역
486,켄타우로스의갈기털,해제됨
488,전투 훈련 교관 도발,전투 훈련 교관을 도발 합니다.
490,마하데비_투명멜키나,멜키나가 설파합니다.
491,마하데비_멜키나설파,멜키나가 설파합니다
492,관광객 여성,동틀녘 반도 실비나 온천의 여성 관광객
493,관광객 남성,동틀녘 반도 실비나 온천의 남성 관광객
494,관광객의 경계심,이상한 사람이 다가와서 경계심을 갖습니다.
495,축복,축복 대상
496,하디르_스폰노예2,하디르의 농장 연출용 NPC
497,하디르_피의감시자1,하디르의 농장 연출용 NPC
498,보물도굴꾼,보물도굴꾼용
499,하디르_NPC,하디르의 농장 NPC
500,번개보호막,번개보호막해제1
501,번개 보호막,번개보호막해제2
502,번 개 보호막,번개보호막해제3
503,관광객 여성 2,동틀녘 반도 실비나 온천의 여성 관광객 2
504,관광객 여성 3,동틀녘 반도 실비나 온천의 여성 관광객 3
505,관광객 남성 2,동틀녘 반도 실비나 온천의 남성 관광객 2
506,관광객 남성 3,동틀녘 반도 실비나 온천의 남성 관광객 3
508,실험 중인 피의 마법사,하디르의 농장 인던 연출용 NPC
509,썩은 고깃덩이,하디르의 농장 인던 보스
510,토끼,파리지옥이 잡아먹는 토끼
511,하디르_썩은고깃덩이독극물,하디르_썩은고깃덩이독극물
512,하디르_보스2_비석소환,하디르 보스2의 비석소환
513,켄타우로스의 독날,로카의 장기말들
514,마하데비_마지막연출,"인스턴스 던전_아크미트, 수도사, 연출용수도사 태그"
515,버프3033태그,버프3033태그
516,곰의 맷집,곰의 맷집 패시브 태그
517,하디르_썩은고깃덩이맹독,하디르 보스 스킬
518,하디르_약화된마르마스,하디르_약화된마르마스
519,마하데비_면역,살피라의 신성한 불꽃과 얼음함정을 면역합니다.
520,사용 효과 기술,아이템에서 사용효과로 사용되는 기술
521,불탄성 인던_도입부 연출_로라의 도움 요청,불탄성 인던_도입부 연출_로라의 도움 요청
523,원상복귀,로카의 장기말들 하얀놀
524,불탄_스폰 노예_00,불탄_스폰 노예_00
525,사냥터의 경비병,군주의 사냥터 경비병
526,햇발나무,고블린에게 영향을 끼칩니다.
527,하디르_연출기절,하디르_연출기절
528,불탄성 인던_도입부 연출_히에로니무스의 아들 등장,불탄성 인던_도입부 연출_히에로니무스의 아들 등장
529,잡아 던지기 띄워짐,잡아 던지기 띄워짐
530,성가대원남,황금평원_성가대원 남자 아이
531,성가대원여,황금평원_성가대원 여자 아이
532,불탄성 인던_연출 NPC (도입부),불탄성 인던_연출 NPC (도입부)
533,불탄성 인던_히에로니무스 아들 사라짐,불탄성 인던_히에로니무스 아들 사라짐
534,어둠의 갑옷,어둠의 갑옷 해제
535,불탄성 인던_도입부 연출_리차드 전투 종료,불탄성 인던_도입부 연출_리차드 전투 종료
537,불탄성 인던_도입부 연출_레오나드 전투 종료,불탄성 인던_도입부 연출_레오나드 전투 종료
538,수석사제,황금평원_수석사제
539,불탄성 인던_3번째 보스 연출_히에로니무스의 아들 등장,불탄성 인던_3번째 보스 연출_히에로니무스의 아들 등장
540,불탄성 인던_연출 NPC (3번째 보스_아들 등장용),불탄성 인던_연출 NPC (3번째 보스_아들 등장용)
541,불탄성 인던_3번째 보스 연출_히에로니무스의 등장,불탄성 인던_3번째 보스 연출_히에로니무스의 등장
542,불탄성 인던_연출 NPC (3번째 보스_연출용보스 등장용),불탄성 인던_연출 NPC (3번째 보스_연출용 보스 등장용)
543,오스카극단,마리아노플의 오크카극단배우들
544,거부,마리아노플의 거부쟁이들
545,불탄성 인던_연출 NPC 3번째 보스_진짜 보스 등장용,불탄성 인던_연출 NPC 3번째 보스_보스 등장용
546,불탄성 인던_1번째 보스 연출_쇼블 등장,불탄성 인던_1번째 보스 연출_쇼블 등장
547,불탄성 인던_1번째 보스 연출_원터스의 정령 소환,불탄성 인던_1번째 보스 연출_원터스의 정령 소환
548,불탄성 인던_연출 NPC (쇼블 등장용),불탄성 인던_연출 NPC (쇼블 등장용)
549,불탄성 인던_연출 NPC (원터스 등장용),불탄성 인던_연출 NPC (원터스 등장용)
550,불탄성 인던_히에로니무스 투명(3번째 보스 등장 연출),불탄성 인던_히에로니무스 투명(3번째 보스 등장 연출)
551,불탄성 인던_투명인간(3번째 보스 등장 연출),불탄성 인던_투명인간(3번째 보스 등장 연출)
552,불탄성 인던_연출 NPC (3번째 보스_피묻은손 투사 등장용),불탄성 인던_연출 NPC (3번째 보스_피묻은손 투사 등장용)
553,불탄성 인던_2번째 보스 종료 후연출_히에로니무스의 아들 등장,불탄성 인던_2번째 보스 종료 후연출_히에로니무스의 아들 등장
554,불탄성 인던_연출 NPC (2번째 보스 종료 후_아들 등장용),불탄성 인던_연출 NPC (2번째 보스 종료 후_아들 등장용)
555,마하데비_살피라여신,비활성화 상태의 살피라 여신 npc를 활성상태로 변경
556,불탄성 인던_3번째 보스 연출_히에로니무스의 등장(팩션),불탄성 인던_3번째 보스 연출_히에로니무스의 등장(팩션)
557,불탄성 인던_연출 NPC (3번째 보스_연출용보스 등장용)_팩션,불탄성 인던_연출 NPC (3번째 보스_연출용보스 등장용)_팩션
558,불탄성 인던_도입부 연출_대문 열리고 투사 등장,불탄성 인던_도입부 연출_대문 열리고 투사 등장
559,불탄성 인던_도입부 연출_대문 열리고 검투사 등장,불탄성 인던_도입부 연출_대문 열리고 검투사 등장
560,불탄성 인던_2번째 보스_쇼블의 등장,불탄성 인던_2번째 보스_쇼블의 등장
561,불탄성 인던_도입부 연출_레오나드 퇴장,불탄성 인던_도입부 연출_레오나드 퇴장
562,하버에취함,하버향에 취한 일꾼들
563,마하데비_돌소환사,불타는 돌을 소환합니다.
564,마하데비_아크미트의 갑옷,퀘스트용_아크미트의 갑옷에 불을 붙이는 연출입니다.
565,세트 아이템 강화,세트 아이템 강화
566,결투,엘프 메인퀘스트의 결투 상태 표시
567,쓰러짐,엘프 메인퀘스트에서 사용. 기절해서 쓰러진 상태
568,하버향에 면역,하버향 면역
569,치유량 증가,치유량 증가 패시브 태그
570,액세서리 패시브,액세서리 패시브
571,마상불붙음,불붙은 상태
572,마하데비_쥐,쥐의 슬픈 죽음이 주변 npc를 불쾌하게 합니다.
573,용의자,엘프 메인퀘스트에서 용의자 표시
575,건방진 수련사,이니스테르
576,불탄성 인던_3번 보스 연출_엔딩신,불탄성 인던_3번 보스 연출_엔딩신
577,뒤틀린 거울의 표면,거울과 바위 스왑
578,원거리 피해,표식에서 사용되는 원거리 피해
579,뒤틀린 바위의 결정,거울과 바위 스왑
580,마하데비_제인스 번드,연출용_제인스 번드가 pc를 부릅니다.
581,말리카족 예술가,이니스테르 말리카 부락
582,마하데비_베니드 좀스,연출용_가짜 불의 화신 버프
584,취객,취객
587,마하데비_아크미트의 함성,"암살자, 수도사 도발"
588,타락자의 영혼구슬,불탄성 인던 타락자의 영혼 구슬
590,마하데비_아홉 불길 정령왕의 포효,포효 해제
591,강력한 도발,강력한 도발
593,히에로니무스의 즉사,히에로니무스의 즉사
594,하디르_스폰노예3,하디르의 농장 연출용 NPC
595,하디르_스폰노예4,하디르의 농장 연출용 NPC
596,하디르_스폰노예5,하디르의 농장 연출용 NPC
597,하디르_스폰노예6,하디르의 농장 연출용 NPC
598,하디르_스폰노예7,하디르의 농장 연출용 NPC
599,하디르_스폰노예8,하디르의 농장 연출용 NPC
600,하디르_스폰노예9,하디르의 농장 연출용 NPC
601,하리하랄라야_아니드연출_아니드,하리하랄라야의폐허 아니드 처형대 연출
602,하리하랄라야_아니드연출_처형자1,하리하랄라야의폐허 아니드 처형대 연출
603,하리하랄라야_아니드연출_처형집행인,하리하랄라야의폐허 아니드 처형대 연출
604,하리하랄라야_아니드연출_처형자3,하리하랄라야의폐허 아니드 처형대 연출
605,히에로니무스의 아들 보호막,히에로니무스의 아들 보호막
606,하디르_하디르1,하디르의 농장 연출용 NPC
607,히에로니무스 아들의 보호막 생성,히에로니무스 아들의 보호막 생성
