id,doodad_func_group_id,actual_func_id,actual_func_type
173,241,48,DoodadFuncFinal
174,239,16,DoodadFuncTimer
180,261,51,DoodadFuncFinal
181,240,17,DoodadFuncTimer
182,263,52,DoodadFuncFinal
184,266,53,DoodadFuncFinal
187,276,22,DoodadFuncRequireQuest
190,277,30,DoodadFuncRequireItem
191,280,23,DoodadFuncRequireQuest
193,283,24,DoodadFuncRequireQuest
196,285,25,DoodadFuncRequireQuest
197,286,56,DoodadFuncFinal
205,307,59,DoodadFuncFinal
209,297,61,DoodadFuncFinal
210,308,30,DoodadFuncRequireQuest
211,309,62,DoodadFuncFinal
213,311,63,DoodadFuncFinal
214,312,32,DoodadFuncRequireQuest
215,312,35,DoodadFuncRequireItem
217,315,64,DoodadFuncFinal
218,316,34,DoodadFuncRequireQuest
219,317,65,DoodadFuncFinal
220,318,35,DoodadFuncRequireQuest
221,318,36,DoodadFuncRequireItem
222,319,36,DoodadFuncRequireQuest
224,320,66,DoodadFuncFinal
225,321,38,DoodadFuncRequireItem
226,321,37,DoodadFuncRequireQuest
227,322,67,DoodadFuncFinal
228,323,38,DoodadFuncRequireQuest
229,325,39,DoodadFuncRequireQuest
231,326,40,DoodadFuncRequireQuest
233,328,68,DoodadFuncFinal
234,329,69,DoodadFuncFinal
235,331,70,DoodadFuncFinal
236,333,71,DoodadFuncFinal
237,332,42,DoodadFuncRequireQuest
238,334,43,DoodadFuncRequireQuest
239,335,72,DoodadFuncFinal
240,336,44,DoodadFuncRequireQuest
241,337,73,DoodadFuncFinal
243,340,12,DoodadFuncClout
244,339,46,DoodadFuncRequireQuest
246,342,74,DoodadFuncFinal
248,344,75,DoodadFuncFinal
249,346,76,DoodadFuncFinal
250,347,49,DoodadFuncRequireQuest
251,347,39,DoodadFuncRequireItem
253,349,77,DoodadFuncFinal
254,350,56,DoodadFuncGrowth
255,351,57,DoodadFuncGrowth
257,353,79,DoodadFuncFinal
258,354,51,DoodadFuncRequireQuest
259,355,80,DoodadFuncFinal
264,360,41,DoodadFuncRequireItem
265,363,82,DoodadFuncFinal
266,366,42,DoodadFuncRequireItem
267,370,43,DoodadFuncRequireItem
268,372,83,DoodadFuncFinal
269,374,44,DoodadFuncRequireItem
270,376,84,DoodadFuncFinal
272,379,85,DoodadFuncFinal
275,382,86,DoodadFuncFinal
277,393,88,DoodadFuncFinal
289,408,95,DoodadFuncFinal
291,410,20,DoodadFuncTimer
292,411,96,DoodadFuncFinal
296,433,98,DoodadFuncFinal
297,438,99,DoodadFuncFinal
298,446,100,DoodadFuncFinal
304,205,58,DoodadFuncRequireQuest
312,313,107,DoodadFuncFinal
314,459,108,DoodadFuncFinal
317,462,110,DoodadFuncFinal
320,214,15,DoodadFuncClout
321,214,51,DoodadFuncRequireItem
322,467,111,DoodadFuncFinal
324,469,112,DoodadFuncFinal
325,358,16,DoodadFuncClout
326,358,22,DoodadFuncTimer
327,593,113,DoodadFuncFinal
328,426,114,DoodadFuncFinal
329,442,115,DoodadFuncFinal
330,445,116,DoodadFuncFinal
331,429,117,DoodadFuncFinal
333,436,119,DoodadFuncFinal
334,472,120,DoodadFuncFinal
335,475,121,DoodadFuncFinal
336,478,122,DoodadFuncFinal
337,481,123,DoodadFuncFinal
338,485,124,DoodadFuncFinal
339,488,125,DoodadFuncFinal
340,491,126,DoodadFuncFinal
341,494,127,DoodadFuncFinal
342,497,128,DoodadFuncFinal
343,500,129,DoodadFuncFinal
344,588,130,DoodadFuncFinal
345,592,131,DoodadFuncFinal
346,607,132,DoodadFuncFinal
347,611,133,DoodadFuncFinal
348,615,134,DoodadFuncFinal
349,619,135,DoodadFuncFinal
350,623,136,DoodadFuncFinal
351,504,137,DoodadFuncFinal
352,508,138,DoodadFuncFinal
353,512,139,DoodadFuncFinal
354,516,140,DoodadFuncFinal
355,520,141,DoodadFuncFinal
356,524,142,DoodadFuncFinal
357,528,143,DoodadFuncFinal
358,532,144,DoodadFuncFinal
359,536,145,DoodadFuncFinal
360,540,146,DoodadFuncFinal
361,544,147,DoodadFuncFinal
362,548,148,DoodadFuncFinal
363,552,149,DoodadFuncFinal
364,556,150,DoodadFuncFinal
365,560,151,DoodadFuncFinal
367,630,153,DoodadFuncFinal
370,636,156,DoodadFuncFinal
371,641,157,DoodadFuncFinal
372,626,23,DoodadFuncTimer
373,637,24,DoodadFuncTimer
374,639,25,DoodadFuncTimer
375,650,158,DoodadFuncFinal
376,644,26,DoodadFuncTimer
377,646,27,DoodadFuncTimer
378,648,28,DoodadFuncTimer
379,602,159,DoodadFuncFinal
380,653,160,DoodadFuncFinal
381,656,161,DoodadFuncFinal
382,659,162,DoodadFuncFinal
383,662,163,DoodadFuncFinal
385,667,164,DoodadFuncFinal
387,672,166,DoodadFuncFinal
389,675,168,DoodadFuncFinal
390,679,169,DoodadFuncFinal
392,455,66,DoodadFuncRequireQuest
393,418,170,DoodadFuncFinal
394,396,171,DoodadFuncFinal
395,421,172,DoodadFuncFinal
396,682,173,DoodadFuncFinal
397,685,174,DoodadFuncFinal
398,676,67,DoodadFuncRequireQuest
399,686,175,DoodadFuncFinal
400,689,176,DoodadFuncFinal
401,692,177,DoodadFuncFinal
404,698,180,DoodadFuncFinal
405,703,181,DoodadFuncFinal
406,706,182,DoodadFuncFinal
407,709,183,DoodadFuncFinal
408,712,184,DoodadFuncFinal
409,715,185,DoodadFuncFinal
410,718,186,DoodadFuncFinal
413,724,188,DoodadFuncFinal
414,277,69,DoodadFuncRequireQuest
415,727,189,DoodadFuncFinal
416,730,190,DoodadFuncFinal
417,733,191,DoodadFuncFinal
418,736,192,DoodadFuncFinal
419,739,193,DoodadFuncFinal
420,424,194,DoodadFuncFinal
421,744,195,DoodadFuncFinal
422,747,196,DoodadFuncFinal
424,304,18,DoodadFuncClout
434,464,24,DoodadFuncClout
435,756,198,DoodadFuncFinal
438,594,59,DoodadFuncGrowth
440,760,61,DoodadFuncGrowth
441,596,201,DoodadFuncFinal
442,599,202,DoodadFuncFinal
444,762,63,DoodadFuncGrowth
445,763,64,DoodadFuncGrowth
446,765,203,DoodadFuncFinal
448,769,66,DoodadFuncGrowth
449,770,67,DoodadFuncGrowth
451,774,69,DoodadFuncGrowth
452,775,70,DoodadFuncGrowth
454,777,72,DoodadFuncGrowth
455,778,73,DoodadFuncGrowth
457,787,75,DoodadFuncGrowth
458,788,76,DoodadFuncGrowth
460,790,78,DoodadFuncGrowth
461,791,79,DoodadFuncGrowth
463,793,81,DoodadFuncGrowth
464,794,82,DoodadFuncGrowth
466,796,84,DoodadFuncGrowth
467,797,85,DoodadFuncGrowth
469,799,87,DoodadFuncGrowth
470,800,88,DoodadFuncGrowth
471,801,89,DoodadFuncGrowth
473,803,91,DoodadFuncGrowth
475,805,93,DoodadFuncGrowth
476,806,94,DoodadFuncGrowth
478,808,96,DoodadFuncGrowth
479,809,97,DoodadFuncGrowth
481,811,99,DoodadFuncGrowth
482,812,100,DoodadFuncGrowth
484,814,102,DoodadFuncGrowth
485,816,103,DoodadFuncGrowth
487,818,105,DoodadFuncGrowth
488,819,106,DoodadFuncGrowth
490,821,108,DoodadFuncGrowth
491,822,109,DoodadFuncGrowth
493,824,111,DoodadFuncGrowth
494,825,112,DoodadFuncGrowth
496,827,114,DoodadFuncGrowth
497,828,115,DoodadFuncGrowth
501,832,119,DoodadFuncGrowth
503,834,121,DoodadFuncGrowth
505,836,123,DoodadFuncGrowth
506,837,124,DoodadFuncGrowth
508,839,126,DoodadFuncGrowth
509,840,127,DoodadFuncGrowth
511,842,129,DoodadFuncGrowth
512,843,130,DoodadFuncGrowth
514,845,132,DoodadFuncGrowth
515,846,133,DoodadFuncGrowth
517,848,135,DoodadFuncGrowth
518,849,136,DoodadFuncGrowth
520,851,138,DoodadFuncGrowth
521,852,139,DoodadFuncGrowth
523,854,141,DoodadFuncGrowth
524,855,142,DoodadFuncGrowth
527,858,145,DoodadFuncGrowth
529,860,147,DoodadFuncGrowth
530,861,148,DoodadFuncGrowth
532,863,150,DoodadFuncGrowth
533,864,151,DoodadFuncGrowth
535,866,153,DoodadFuncGrowth
536,867,154,DoodadFuncGrowth
538,869,156,DoodadFuncGrowth
539,870,157,DoodadFuncGrowth
541,872,159,DoodadFuncGrowth
542,873,160,DoodadFuncGrowth
544,875,162,DoodadFuncGrowth
545,876,163,DoodadFuncGrowth
547,878,165,DoodadFuncGrowth
548,879,166,DoodadFuncGrowth
552,882,167,DoodadFuncGrowth
553,883,168,DoodadFuncGrowth
554,884,169,DoodadFuncGrowth
555,890,205,DoodadFuncFinal
556,891,170,DoodadFuncGrowth
560,895,174,DoodadFuncGrowth
561,896,175,DoodadFuncGrowth
562,897,176,DoodadFuncGrowth
563,901,206,DoodadFuncFinal
564,902,177,DoodadFuncGrowth
565,903,178,DoodadFuncGrowth
566,904,179,DoodadFuncGrowth
567,910,207,DoodadFuncFinal
568,915,208,DoodadFuncFinal
569,456,26,DoodadFuncClout
570,919,27,DoodadFuncClout
571,918,30,DoodadFuncTimer
572,922,209,DoodadFuncFinal
573,923,180,DoodadFuncGrowth
574,924,181,DoodadFuncGrowth
575,925,182,DoodadFuncGrowth
576,928,31,DoodadFuncTimer
577,931,210,DoodadFuncFinal
578,180,183,DoodadFuncGrowth
579,937,211,DoodadFuncFinal
580,938,184,DoodadFuncGrowth
581,939,185,DoodadFuncGrowth
582,940,186,DoodadFuncGrowth
583,946,212,DoodadFuncFinal
584,947,187,DoodadFuncGrowth
585,948,188,DoodadFuncGrowth
586,949,189,DoodadFuncGrowth
587,952,32,DoodadFuncTimer
588,956,33,DoodadFuncTimer
589,959,213,DoodadFuncFinal
594,753,36,DoodadFuncTimer
596,961,38,DoodadFuncTimer
600,960,39,DoodadFuncTimer
602,968,217,DoodadFuncFinal
609,973,218,DoodadFuncFinal
610,975,45,DoodadFuncTimer
611,976,219,DoodadFuncFinal
612,981,28,DoodadFuncClout
613,982,29,DoodadFuncClout
614,983,30,DoodadFuncClout
615,984,31,DoodadFuncClout
616,985,32,DoodadFuncClout
617,986,33,DoodadFuncClout
618,988,34,DoodadFuncClout
619,189,46,DoodadFuncTimer
625,992,222,DoodadFuncFinal
631,994,52,DoodadFuncTimer
633,919,53,DoodadFuncTimer
635,996,223,DoodadFuncFinal
636,1014,73,DoodadFuncRequireQuest
637,330,74,DoodadFuncRequireQuest
638,1016,54,DoodadFuncTimer
639,1017,224,DoodadFuncFinal
641,1018,56,DoodadFuncTimer
648,1020,58,DoodadFuncTimer
649,995,75,DoodadFuncRequireQuest
650,447,35,DoodadFuncClout
652,449,60,DoodadFuncTimer
654,1023,226,DoodadFuncFinal
655,281,227,DoodadFuncFinal
656,1024,228,DoodadFuncFinal
659,1030,61,DoodadFuncTimer
660,1031,62,DoodadFuncTimer
661,1032,63,DoodadFuncTimer
664,1035,66,DoodadFuncTimer
665,1037,67,DoodadFuncTimer
666,1039,68,DoodadFuncTimer
667,1041,69,DoodadFuncTimer
676,1049,234,DoodadFuncFinal
677,1054,68,DoodadFuncRequireItem
678,1055,235,DoodadFuncFinal
680,970,78,DoodadFuncRequireQuest
681,991,79,DoodadFuncRequireQuest
682,1111,72,DoodadFuncTimer
683,1112,236,DoodadFuncFinal
685,1115,73,DoodadFuncTimer
686,348,80,DoodadFuncRequireQuest
687,1116,74,DoodadFuncTimer
688,1117,75,DoodadFuncTimer
690,319,69,DoodadFuncRequireItem
692,1119,238,DoodadFuncFinal
693,1121,239,DoodadFuncFinal
694,288,77,DoodadFuncTimer
695,1123,240,DoodadFuncFinal
696,413,78,DoodadFuncTimer
698,175,80,DoodadFuncTimer
702,1128,243,DoodadFuncFinal
705,1133,82,DoodadFuncTimer
706,1116,39,DoodadFuncClout
707,1117,40,DoodadFuncClout
709,1137,246,DoodadFuncFinal
711,1143,81,DoodadFuncRequireQuest
712,1144,248,DoodadFuncFinal
718,1149,84,DoodadFuncRequireQuest
719,1150,252,DoodadFuncFinal
722,1154,254,DoodadFuncFinal
723,1151,85,DoodadFuncRequireQuest
725,325,41,DoodadFuncClout
727,377,86,DoodadFuncRequireQuest
728,378,255,DoodadFuncFinal
729,222,87,DoodadFuncRequireQuest
730,222,43,DoodadFuncClout
731,1165,256,DoodadFuncFinal
735,1145,88,DoodadFuncRequireQuest
736,1146,89,DoodadFuncRequireQuest
737,1167,257,DoodadFuncFinal
738,1168,258,DoodadFuncFinal
748,452,85,DoodadFuncTimer
749,1173,263,DoodadFuncFinal
751,168,93,DoodadFuncRequireQuest
752,1174,264,DoodadFuncFinal
753,1176,265,DoodadFuncFinal
754,1053,86,DoodadFuncTimer
755,1177,87,DoodadFuncTimer
756,1178,88,DoodadFuncTimer
757,1050,89,DoodadFuncTimer
758,1179,90,DoodadFuncTimer
759,1180,91,DoodadFuncTimer
760,323,50,DoodadFuncClout
761,1181,51,DoodadFuncClout
762,971,92,DoodadFuncTimer
763,974,93,DoodadFuncTimer
764,1142,94,DoodadFuncTimer
765,1113,95,DoodadFuncTimer
766,319,96,DoodadFuncTimer
767,1184,266,DoodadFuncFinal
773,383,1,DoodadFuncAnimate
774,383,2,DoodadFuncAnimate
775,383,3,DoodadFuncAnimate
776,626,4,DoodadFuncAnimate
777,626,5,DoodadFuncAnimate
778,626,6,DoodadFuncAnimate
780,1190,52,DoodadFuncClout
781,407,53,DoodadFuncClout
783,1192,267,DoodadFuncFinal
789,1255,56,DoodadFuncClout
791,1258,101,DoodadFuncTimer
792,1259,57,DoodadFuncClout
793,1260,102,DoodadFuncTimer
794,1261,271,DoodadFuncFinal
795,1262,58,DoodadFuncClout
799,1271,103,DoodadFuncTimer
800,1272,274,DoodadFuncFinal
803,1274,275,DoodadFuncFinal
805,1276,105,DoodadFuncTimer
806,1275,60,DoodadFuncClout
808,1277,61,DoodadFuncClout
809,1280,276,DoodadFuncFinal
811,1281,100,DoodadFuncRequireQuest
812,1282,107,DoodadFuncTimer
816,1284,108,DoodadFuncTimer
817,1285,109,DoodadFuncTimer
818,1286,110,DoodadFuncTimer
822,1287,102,DoodadFuncRequireQuest
823,1288,277,DoodadFuncFinal
825,1290,7,DoodadFuncAnimate
827,1291,111,DoodadFuncTimer
832,1296,280,DoodadFuncFinal
840,1303,112,DoodadFuncTimer
842,964,113,DoodadFuncTimer
843,1304,109,DoodadFuncRequireQuest
845,1306,110,DoodadFuncRequireQuest
847,1308,286,DoodadFuncFinal
848,1309,287,DoodadFuncFinal
849,1310,111,DoodadFuncRequireQuest
853,1317,114,DoodadFuncRequireQuest
854,1318,289,DoodadFuncFinal
864,1316,64,DoodadFuncClout
866,1326,292,DoodadFuncFinal
873,1330,122,DoodadFuncRequireQuest
874,1331,293,DoodadFuncFinal
875,1332,123,DoodadFuncRequireQuest
880,1336,114,DoodadFuncTimer
881,1337,296,DoodadFuncFinal
884,1340,125,DoodadFuncRequireQuest
885,1341,126,DoodadFuncRequireQuest
886,1342,298,DoodadFuncFinal
887,1346,127,DoodadFuncRequireQuest
888,1345,128,DoodadFuncRequireQuest
889,1344,129,DoodadFuncRequireQuest
890,1343,130,DoodadFuncRequireQuest
894,1354,68,DoodadFuncClout
896,1355,69,DoodadFuncClout
901,1362,115,DoodadFuncTimer
902,1363,116,DoodadFuncTimer
903,1360,117,DoodadFuncTimer
904,1361,118,DoodadFuncTimer
907,1365,135,DoodadFuncRequireQuest
909,1366,70,DoodadFuncClout
910,1367,120,DoodadFuncTimer
911,1368,137,DoodadFuncRequireQuest
915,1371,302,DoodadFuncFinal
924,1400,74,DoodadFuncClout
925,1401,305,DoodadFuncFinal
927,1401,76,DoodadFuncClout
930,1404,1,DoodadFuncTod
931,1405,2,DoodadFuncTod
932,1407,123,DoodadFuncTimer
935,1410,79,DoodadFuncClout
940,1416,143,DoodadFuncRequireQuest
941,1417,308,DoodadFuncFinal
942,1419,309,DoodadFuncFinal
944,1421,310,DoodadFuncFinal
947,1424,146,DoodadFuncRequireQuest
948,1425,311,DoodadFuncFinal
951,1427,312,DoodadFuncFinal
954,1430,150,DoodadFuncRequireQuest
955,1431,314,DoodadFuncFinal
956,1395,126,DoodadFuncTimer
958,1433,151,DoodadFuncRequireQuest
959,1434,316,DoodadFuncFinal
973,1447,128,DoodadFuncTimer
974,1449,321,DoodadFuncFinal
978,1451,322,DoodadFuncFinal
995,1465,328,DoodadFuncFinal
1002,465,172,DoodadFuncRequireQuest
1006,1355,330,DoodadFuncFinal
1015,1481,136,DoodadFuncTimer
1017,1483,332,DoodadFuncFinal
1022,1487,138,DoodadFuncTimer
1023,1488,333,DoodadFuncFinal
1025,1489,194,DoodadFuncGrowth
1026,1490,195,DoodadFuncGrowth
1027,1491,196,DoodadFuncGrowth
1032,1496,84,DoodadFuncClout
1033,1497,334,DoodadFuncFinal
1036,1499,335,DoodadFuncFinal
1040,1500,336,DoodadFuncFinal
1042,1502,337,DoodadFuncFinal
1044,1503,187,DoodadFuncRequireQuest
1048,1508,86,DoodadFuncClout
1049,1509,339,DoodadFuncFinal
1050,1510,140,DoodadFuncTimer
1053,1513,340,DoodadFuncFinal
1055,1287,88,DoodadFuncClout
1058,1516,141,DoodadFuncTimer
1059,1501,90,DoodadFuncClout
1062,1518,92,DoodadFuncClout
1069,1528,195,DoodadFuncRequireQuest
1070,1529,143,DoodadFuncTimer
1071,1527,93,DoodadFuncClout
1072,1531,94,DoodadFuncClout
1075,1532,144,DoodadFuncTimer
1079,1535,200,DoodadFuncRequireQuest
1080,1536,343,DoodadFuncFinal
1081,1540,4,DoodadFuncTod
1082,1541,5,DoodadFuncTod
1085,1543,8,DoodadFuncTod
1086,1542,9,DoodadFuncTod
1087,1545,197,DoodadFuncGrowth
1088,1546,198,DoodadFuncGrowth
1089,1547,199,DoodadFuncGrowth
1090,1549,200,DoodadFuncGrowth
1091,1553,344,DoodadFuncFinal
1092,1554,345,DoodadFuncFinal
1093,1555,201,DoodadFuncGrowth
1094,1551,145,DoodadFuncTimer
1095,1556,202,DoodadFuncGrowth
1096,1560,346,DoodadFuncFinal
1098,1569,348,DoodadFuncFinal
1099,1564,10,DoodadFuncTod
1100,1565,11,DoodadFuncTod
1101,1566,12,DoodadFuncTod
1102,1570,13,DoodadFuncTod
1103,1573,14,DoodadFuncTod
1104,1574,15,DoodadFuncTod
1105,1575,16,DoodadFuncTod
1106,1576,17,DoodadFuncTod
1107,1577,18,DoodadFuncTod
1108,1578,19,DoodadFuncTod
1109,1579,20,DoodadFuncTod
1110,1580,21,DoodadFuncTod
1111,1581,22,DoodadFuncTod
1112,1582,23,DoodadFuncTod
1113,1583,24,DoodadFuncTod
1114,1584,25,DoodadFuncTod
1115,1585,26,DoodadFuncTod
1116,1586,27,DoodadFuncTod
1118,1587,29,DoodadFuncTod
1119,1588,30,DoodadFuncTod
1120,1589,31,DoodadFuncTod
1121,1590,32,DoodadFuncTod
1122,1591,33,DoodadFuncTod
1123,1593,34,DoodadFuncTod
1124,1594,35,DoodadFuncTod
1125,1596,36,DoodadFuncTod
1126,1599,37,DoodadFuncTod
1127,1600,38,DoodadFuncTod
1128,1601,39,DoodadFuncTod
1129,1602,40,DoodadFuncTod
1130,1603,41,DoodadFuncTod
1131,1604,42,DoodadFuncTod
1132,1605,43,DoodadFuncTod
1133,1606,44,DoodadFuncTod
1134,1607,45,DoodadFuncTod
1135,1608,46,DoodadFuncTod
1136,1609,47,DoodadFuncTod
1137,1610,48,DoodadFuncTod
1138,1611,49,DoodadFuncTod
1139,1612,50,DoodadFuncTod
1140,1613,51,DoodadFuncTod
1141,1614,52,DoodadFuncTod
1142,1615,53,DoodadFuncTod
1143,1616,54,DoodadFuncTod
1144,1617,55,DoodadFuncTod
1145,1618,56,DoodadFuncTod
1146,1619,57,DoodadFuncTod
1147,1620,58,DoodadFuncTod
1148,1621,59,DoodadFuncTod
1149,1622,60,DoodadFuncTod
1150,1623,61,DoodadFuncTod
1151,1624,349,DoodadFuncFinal
1152,1625,350,DoodadFuncFinal
1153,1626,351,DoodadFuncFinal
1154,1118,352,DoodadFuncFinal
1156,1129,354,DoodadFuncFinal
1163,1632,359,DoodadFuncFinal
1164,1633,96,DoodadFuncClout
1165,1634,97,DoodadFuncClout
1166,1635,98,DoodadFuncClout
1167,1636,99,DoodadFuncClout
1175,1403,205,DoodadFuncRequireQuest
1176,1641,100,DoodadFuncClout
1178,1645,62,DoodadFuncTod
1179,1646,63,DoodadFuncTod
1180,1647,64,DoodadFuncTod
1181,1648,65,DoodadFuncTod
1182,1649,66,DoodadFuncTod
1183,1650,67,DoodadFuncTod
1184,1651,68,DoodadFuncTod
1185,1652,69,DoodadFuncTod
1186,1653,70,DoodadFuncTod
1187,1654,71,DoodadFuncTod
1188,1655,72,DoodadFuncTod
1189,1656,73,DoodadFuncTod
1190,1657,74,DoodadFuncTod
1191,1658,75,DoodadFuncTod
1192,1659,76,DoodadFuncTod
1193,1660,77,DoodadFuncTod
1194,1661,78,DoodadFuncTod
1195,1662,79,DoodadFuncTod
1196,1663,80,DoodadFuncTod
1198,1694,365,DoodadFuncFinal
1199,1693,146,DoodadFuncTimer
1200,1592,8,DoodadFuncAnimate
1201,1592,147,DoodadFuncTimer
1202,1597,9,DoodadFuncAnimate
1203,1597,148,DoodadFuncTimer
1204,1664,81,DoodadFuncTod
1205,1665,82,DoodadFuncTod
1206,1666,83,DoodadFuncTod
1207,1667,84,DoodadFuncTod
1208,1668,85,DoodadFuncTod
1209,1669,86,DoodadFuncTod
1210,1670,87,DoodadFuncTod
1211,1671,88,DoodadFuncTod
1212,1672,89,DoodadFuncTod
1213,1673,90,DoodadFuncTod
1214,1674,91,DoodadFuncTod
1215,1675,92,DoodadFuncTod
1216,1676,93,DoodadFuncTod
1217,1698,366,DoodadFuncFinal
1218,1677,94,DoodadFuncTod
1220,1678,95,DoodadFuncTod
1221,1679,96,DoodadFuncTod
1222,1680,97,DoodadFuncTod
1223,1681,98,DoodadFuncTod
1224,1682,99,DoodadFuncTod
1225,1683,100,DoodadFuncTod
1226,1684,101,DoodadFuncTod
1227,1685,102,DoodadFuncTod
1228,1686,103,DoodadFuncTod
1229,1687,104,DoodadFuncTod
1230,1688,105,DoodadFuncTod
1231,1689,106,DoodadFuncTod
1232,1695,10,DoodadFuncAnimate
1233,1690,107,DoodadFuncTod
1234,1691,108,DoodadFuncTod
1235,1692,109,DoodadFuncTod
1236,1695,149,DoodadFuncTimer
1237,1697,11,DoodadFuncAnimate
1238,1697,150,DoodadFuncTimer
1242,1701,208,DoodadFuncRequireQuest
1243,1703,368,DoodadFuncFinal
1244,1698,209,DoodadFuncRequireQuest
1245,1704,152,DoodadFuncTimer
1248,1706,203,DoodadFuncGrowth
1249,1705,204,DoodadFuncGrowth
1252,1714,210,DoodadFuncRequireQuest
1254,1383,211,DoodadFuncRequireQuest
1256,1382,212,DoodadFuncRequireQuest
1257,1717,373,DoodadFuncFinal
1258,1718,101,DoodadFuncClout
1261,1726,375,DoodadFuncFinal
1263,1728,376,DoodadFuncFinal
1265,1730,377,DoodadFuncFinal
1267,1732,378,DoodadFuncFinal
1277,1740,156,DoodadFuncTimer
1279,1741,157,DoodadFuncTimer
1280,1742,205,DoodadFuncGrowth
1281,1743,206,DoodadFuncGrowth
1282,1744,207,DoodadFuncGrowth
1284,1748,383,DoodadFuncFinal
1285,1749,86,DoodadFuncRequireItem
1286,1749,222,DoodadFuncRequireQuest
1287,1750,159,DoodadFuncTimer
1288,1527,110,DoodadFuncTod
1289,1751,111,DoodadFuncTod
1290,1531,112,DoodadFuncTod
1291,1752,113,DoodadFuncTod
1294,1333,384,DoodadFuncFinal
1295,1760,12,DoodadFuncAnimate
1296,1762,385,DoodadFuncFinal
1297,1761,13,DoodadFuncAnimate
1298,1765,208,DoodadFuncGrowth
1299,1766,209,DoodadFuncGrowth
1300,1767,210,DoodadFuncGrowth
1301,1759,102,DoodadFuncClout
1302,1771,386,DoodadFuncFinal
1303,1629,224,DoodadFuncRequireQuest
1304,1772,211,DoodadFuncGrowth
1305,1773,212,DoodadFuncGrowth
1306,1774,213,DoodadFuncGrowth
1307,1778,387,DoodadFuncFinal
1308,1779,214,DoodadFuncGrowth
1309,1780,215,DoodadFuncGrowth
1310,1781,216,DoodadFuncGrowth
