id,name,enter_or_leave,sphere_detail_id,sphere_detail_type,trigger_condition_id,trigger_condition_time,team_msg,category_id,or_unit_reqs,is_personal_msg
110,Q13_고블린의습격_고블린스폰3,t,110,SphereQuest,0,0,,1,f,f
111,Q321_방목장을지켜라_양방목장,t,111,SphereQuest,2,0,,1,f,f
112,Q176_미심쩍은목소리_목소리나는곳,t,112,SphereQuest,0,0,,1,f,f
113,Q176_미심쩍은목소리_수상한남자들,t,113,SphereQuest,3,0,,1,f,f
114,Q179_끔찍한고목_하피동굴,t,114,SphereQuest,3,0,,10,f,f
115,Q179_끔찍한고목_끔찍한고목,t,115,SphereQuest,2,0,,1,f,f
116,Q182_하피동굴조사_퀘스트시작,t,116,SphereQuest,2,0,,1,f,f
117,Q182_하피동굴조사_동굴안쪽,t,117,SphereQuest,0,0,,1,f,f
120,Q340_암습_퀘스트시작,t,120,SphereQuest,3,0,,10,f,f
121,Q341_사건의해결사_진입,t,121,SphereQuest,3,0,,10,f,f
122,Q339_유리구두의주인_진입,t,122,SphereQuest,3,0,,10,f,f
123,Q524_사령관막사,f,123,SphereQuest,0,0,,1,f,f
125,Q522_야영지앞,t,125,SphereQuest,3,0,,13,f,f
126,Q531_절벽이있는해안,t,126,SphereQuest,0,0,,1,f,f
127,Q541_부두먼바다,t,127,SphereQuest,0,0,,1,f,f
128,Q547_테세나변신장소,t,128,SphereQuest,0,0,,1,f,f
130,Q574_두번째별무덤,t,130,SphereQuest,0,0,,1,f,f
131,Q562_세번째별무덤,t,131,SphereQuest,0,0,,1,f,f
132,Q567_케르트너의 흔적,t,132,SphereQuest,0,0,,1,f,f
134,Q554_일리온마법진,t,134,SphereQuest,0,0,,1,f,f
135,Q571_네번째별무덤,t,135,SphereQuest,0,0,,1,f,f
136,Q533_절벽,t,136,SphereQuest,0,0,,1,f,f
137,Q548_비밀서재의방,t,137,SphereQuest,0,0,,1,f,f
139,Q549_불의손길을내릴장소,t,139,SphereQuest,0,0,,1,f,f
140,Q558_불의선물을내릴장소,t,140,SphereQuest,0,0,,1,f,f
148,Q578_테세나가갇혀있는감옥앞,t,148,SphereQuest,0,0,,1,f,f
149,Q578_테세나가감금된감옥근처,t,149,SphereQuest,0,0,,1,f,f
150,Q595_마법사로스토프근처,t,150,SphereQuest,0,0,,1,f,f
155,Q173_마리아노플의경비병_벌거숭이도적스폰,t,155,SphereQuest,0,0,,1,f,f
156,Q172_슬픔에잠긴노인_퀘스트완료,t,156,SphereQuest,2,0,,1,f,f
157,Q374_이름없는부랑자_진입,t,157,SphereQuest,3,0,,10,f,f
163,Q536_이그러진공간,t,163,SphereQuest,0,0,,1,f,f
164,Q171_지원요청_퀘스트완료,t,164,SphereQuest,2,0,,1,f,f
165,Q386_하두브란트에게_퀘스트시작,t,165,SphereQuest,0,0,,1,f,f
166,Q554_살리움마법진,t,166,SphereQuest,0,0,,1,f,f
167,Q556_수상한흙더미,t,167,SphereQuest,0,0,,1,f,f
170,Q605_에스테반의_마을_도착,t,170,SphereQuest,0,0,,1,f,f
171,Q618_올리비아_일가족의_무덤,t,171,SphereQuest,0,0,,1,f,f
172,Q626_용병대장_부관_스폰_지역,t,172,SphereQuest,0,0,,1,f,f
173,Q628_바닷가_도착,t,173,SphereQuest,0,0,,1,f,f
174,Q630_보물찾기,t,174,SphereQuest,0,0,,1,f,f
175,Q633_왕의_농장_저수지_도착,t,175,SphereQuest,0,0,,1,f,f
176,Q640_오크_주둔지_진입,t,176,SphereQuest,0,0,,1,f,f
177,Q644_불탄_야영지_진입,t,177,SphereQuest,0,0,,1,f,f
178,Q648_생존자_발견,t,178,SphereQuest,0,0,,1,f,f
179,Q649_오크족장,t,179,SphereQuest,0,0,,1,f,f
180,Q656_마법실험을_당한_광인을_만나다,t,180,SphereQuest,0,0,,1,f,f
181,Q653_보름_마법사_사르디온,t,181,SphereQuest,0,0,,1,f,f
182,Q658_이즈나_입구,t,182,SphereQuest,0,0,,1,f,f
183,Q660_커다란_상자,t,183,SphereQuest,0,0,,1,f,f
184,Q659_노예_탐문_시작,t,184,SphereQuest,0,0,,1,f,f
185,Q661_율리우스에게 도착,t,185,SphereQuest,0,0,,1,f,f
186,Q614_광산_관리인_처단,t,186,SphereQuest,0,0,,1,f,f
187,Q344_폐허가된농장의사연_베스의무덤,t,187,SphereQuest,3,0,,1,f,f
189,Q646_오크_족장의_비밀문서,t,189,SphereQuest,0,0,,1,f,f
190,Q655_보름_마법사_사르디온의_실험실_밖,t,190,SphereQuest,0,0,,1,f,f
191,Q137_지체되고있는보급품_요셉주변,t,191,SphereQuest,2,0,,1,f,f
192,Q425_상황알리기_안델프복도,t,192,SphereQuest,0,0,,1,f,f
194,Q431_미래의 결정_안델프 카페테리아,t,194,SphereQuest,0,0,,1,f,f
195,Q799_칼미라2세왕궁,t,195,SphereQuest,3,0,,16,f,f
196,Q1435_구름의탑안,t,196,SphereQuest,3,0,,16,f,f
197,Q1463_비의탑입구,t,197,SphereQuest,3,0,,16,f,f
198,Q856_하루뿌리1,t,198,SphereQuest,3,0,,16,f,f
199,Q906_하루뿌리2,t,199,SphereQuest,3,0,,16,f,f
200,Q813_거래현장의집,t,200,SphereQuest,3,0,,16,f,f
201,Q821_물댄논,t,201,SphereQuest,0,0,,1,f,f
202,Q800_선율의나무,t,202,SphereQuest,3,0,,16,f,f
203,Q802_선율의나무2,t,203,SphereQuest,3,0,,16,f,f
204,Q1858_목장주자운주변,f,204,SphereQuest,3,0,,16,f,f
205,Q837_하얀날개동굴,t,205,SphereQuest,3,0,,16,f,f
206,Q820_술먹는땅1,t,206,SphereQuest,3,0,,16,f,f
207,Q1852_눈물젖은언덕입구,t,207,SphereQuest,3,0,,16,f,f
208,Q1851_눈물젖은언덕,t,208,SphereQuest,3,0,,16,f,f
209,Q849_페피있는곳,t,209,SphereQuest,3,0,,16,f,f
210,Q805_왕궁연회실,t,210,SphereQuest,3,0,,16,f,f
211,Q815_술먹는땅2,t,211,SphereQuest,3,0,,16,f,f
212,Q834_도구가있는곳,t,212,SphereQuest,3,0,,16,f,f
213,Q838_눈물젖은숲2,t,213,SphereQuest,0,0,,1,f,f
214,Q838_눈물젖은숲3,t,214,SphereQuest,0,0,,1,f,f
215,Q836_솟아오르는폭포,t,215,SphereQuest,3,0,,16,f,f
216,Q856_눈물젖은숲으로가는다리,t,216,SphereQuest,0,0,,1,f,f
219,누이안메인퀘스트 더미3,t,219,SphereQuest,0,0,,1,f,f
247,Q136_겁에질린수습생_퀘스트시작,t,247,SphereQuest,0,0,,1,f,f
256,Q631_해적의_엄마,t,256,SphereQuest,0,0,,1,f,f
259,Q865_그림자탑_앞에_도착,t,259,SphereQuest,0,0,,1,f,f
260,Q866_크리스나가_납치된_안가_앞,t,260,SphereQuest,0,0,,1,f,f
261,안전지대,t,261,SphereQuest,3,0,,1,f,f
262,Q872_고무나무_농장_도착,t,262,SphereQuest,0,0,,1,f,f
263,안전한 지역,t,263,SphereQuest,3,0,,1,f,f
264,Q887_두리얀의_집_도착,t,264,SphereQuest,0,0,,1,f,f
265,Q898_쥐가_숨어_있는_두다드_앞,t,265,SphereQuest,0,0,,1,f,f
266,Q912_전설의한연구_만신전기도실,t,266,SphereQuest,0,0,,1,f,f
267,Q411_실종된현인의딸_순록마을입구,t,267,SphereQuest,0,0,,1,f,f
268,Q884_연결된_검은_모래탑_잠입,t,268,SphereQuest,0,0,,1,f,f
271,Q708_마리안왕비를위하여,t,271,SphereQuest,0,0,,1,f,f
272,Q872_우르나가_감금된_창고_앞,t,272,SphereQuest,0,0,,1,f,f
273,세르잔의 집,t,273,SphereQuest,3,0,,1,f,f
275,Q361_타이님 첫번째,t,275,SphereQuest,0,0,,1,f,f
276,Q361_타이님 두번째,t,276,SphereQuest,0,0,,1,f,f
277,Q361_타이님 세번째,t,277,SphereQuest,0,0,,1,f,f
279,Q452_릴리엇초원의상점_골동품점주인근처,t,279,SphereQuest,0,0,,1,f,f
280,Q14_먼여정을위한준비_방목장,t,280,SphereQuest,0,0,,1,f,f
281,Q559_일리온야영지주변,t,281,SphereQuest,0,0,,1,f,f
282,Q559_살리움야영지주변,t,282,SphereQuest,0,0,,1,f,f
283,Q91_내통자의증거_퀘스트완료,t,283,SphereQuest,0,0,,1,f,f
284,Q82_결탁_퀘스트시작,t,284,SphereQuest,0,0,,1,f,f
285,Q858_수리야의_집앞,t,285,SphereQuest,0,0,,1,f,f
289,Q63_닫혀버린입술과피로물든편지_퀘스트완료,t,289,SphereQuest,0,0,,1,f,f
293,Q79_침울한마을_퀘스트시작,t,293,SphereQuest,0,0,,1,f,f
296,용암 지역,t,1,SphereSkill,0,0,,1,f,f
297,Q570_불탄성외성,t,296,SphereQuest,0,0,,1,f,f
298,암살자 습격지역,t,297,SphereQuest,3,0,,1,f,f
299,Q934_릴리엇강을건너는방법_퀘스트시작,t,298,SphereQuest,0,0,,1,f,f
300,Q935_은둔자의절벽을넘는방법_퀘스트시작,t,299,SphereQuest,0,0,,1,f,f
302,Q531_피묻은손배신자집,t,300,SphereQuest,0,0,,1,f,f
303,Q41_정령이지키고있는것_돌풍스킬,t,3,SphereSkill,0,0,,1,f,f
304,(test) 두대드 페이즈 바꾸기,t,1,SphereDoodadInteract,0,0,,1,f,f
305,Q288_노인의편지_해자,t,301,SphereQuest,0,0,,1,f,f
306,벨포,t,302,SphereQuest,0,0,,1,f,f
307,Q291_브리짓구출_브리짓감옥,t,303,SphereQuest,3,0,,1,f,f
309,Q347_인도자의열매따기_성장,t,3,SphereDoodadInteract,0,0,,1,f,f
311,Q776_은밀한제안_달라소환지역,t,305,SphereQuest,3,0,,1,f,f
314,Q592_테세나변신직전장소,t,308,SphereQuest,0,0,,1,f,f
315,Q936_변신,f,309,SphereQuest,0,0,,1,f,f
316,마리아노플 수련의 탑 이동,t,4,SphereSkill,0,0,,1,f,f
319,Q798_샤오주변,t,312,SphereQuest,3,0,,1,f,f
320,Q455_만프레드의부탁_공작성발코니,t,313,SphereQuest,0,0,,1,f,f
321,간헐천,t,5,SphereSkill,0,0,,1,f,f
323,Q590_살리움지역감옥탈출장소,f,315,SphereQuest,0,0,,1,f,f
324,Q756_애니의행방_애니가갇힌곳,t,316,SphereQuest,0,0,,1,f,f
325,Q908_현상범_라샤를 _찾아라,t,317,SphereQuest,3,0,,1,f,f
326,마리아노플 수련의탑 내려가기,t,6,SphereSkill,0,0,,1,f,f
327,Q455_만프레드의부탁_드워프야영지망루앞,t,318,SphereQuest,0,0,,1,f,f
328,Q455_만프레드의부탁_드워프광산입구,t,319,SphereQuest,0,0,,1,f,f
329,Q559_일리온지역감옥탈출장소,f,320,SphereQuest,0,0,,1,f,f
330,Q457_오슬라방문_오슬라의집입구,t,321,SphereQuest,0,0,,1,f,f
331,Q458_여신의손톱자국_무너진폐허,t,322,SphereQuest,0,0,,1,f,f
333,집정관 카론의 감옥 탈출,t,324,SphereQuest,0,0,,1,f,f
335,지하 수로 두 번째 방 탈출 지역,t,326,SphereQuest,0,0,,1,f,f
338,4번방 퀘스트 시작,t,329,SphereQuest,0,0,,1,f,f
340,신비한 방,t,331,SphereQuest,0,0,,1,f,f
341,hookgun,t,4,SphereDoodadInteract,0,0,,1,f,f
345,물 속,t,335,SphereQuest,0,0,,1,f,f
346,진입시 다리 무너짐,t,5,SphereDoodadInteract,0,0,,1,f,f
347,공성순간이동,t,7,SphereSkill,0,0,,1,f,f
352,지스타_수성밖으로,t,340,SphereQuest,0,0,,1,f,f
357,Q993_괴한 소환,t,345,SphereQuest,0,0,,1,f,f
358,Q994_아스트라의 시체 발견,t,346,SphereQuest,0,0,,1,f,f
359,Q1000_아파트,t,347,SphereQuest,0,0,,1,f,f
360,Q1006_과수원,t,348,SphereQuest,0,0,,1,f,f
361,Q1011_그나데를 심기 위한 장소,t,349,SphereQuest,3,0,,20,f,f
362,Q1012_폐광 깊숙한 곳,t,350,SphereQuest,0,0,,1,f,f
363,Q1014_검독수리마루 마을의 여관,t,351,SphereQuest,0,0,,1,f,f
364,Q1017_만년눈꽃의 서식지,t,352,SphereQuest,0,0,,1,f,f
365,Q1019_마티아스 발견,t,353,SphereQuest,0,0,,1,f,f
366,Q1020_마티아스 호위,t,354,SphereQuest,0,0,,1,f,f
367,Q1022_태양초 서식지,t,355,SphereQuest,0,0,,1,f,f
368,Q1024_찬바람동굴 내부,t,356,SphereQuest,0,0,,1,f,f
369,Q1026_베커의 시체 주변,t,357,SphereQuest,0,0,,1,f,f
370,Q1028_버나비의 토끼인형 근처 ,t,358,SphereQuest,3,0,,1,f,f
371,Q1034_묘목을 심는 장소,t,359,SphereQuest,0,0,,1,f,f
372,Q1040_무너진 통로 앞,t,360,SphereQuest,0,0,,1,f,f
373,Q1042_얼음 깰 장소,t,361,SphereQuest,0,0,,1,f,f
374,Q1042_폭탄이 설치된 장소,t,362,SphereQuest,0,0,,1,f,f
375,Q1043_빛나는 물체 주변,t,363,SphereQuest,3,0,,20,f,f
376,테스트_조규석,t,6,SphereDoodadInteract,0,0,,1,f,f
379,Q1011_그나데를 심을 장소,t,365,SphereQuest,1,0,,1,f,f
386,Q1236_아버지의단검_낮의눈,t,372,SphereQuest,3,0,,1,f,f
387,Q1237_맹세의단검_밤의눈,t,373,SphereQuest,3,0,,1,f,f
388,Q1239_실종된광부_코볼트동굴,t,374,SphereQuest,3,0,,1,f,f
389,Q420_광산의맹세_옛광도길,t,375,SphereQuest,1,0,,1,f,f
390,Q1051_기계혼삽입기안,t,376,SphereQuest,3,0,,21,f,f
391,Q1071_푸른전나무회일원이있는곳,t,377,SphereQuest,3,0,,21,f,f
392,Q1105_폭포아래동굴,t,378,SphereQuest,3,0,,21,f,f
393,Q1106_할하파입구,t,379,SphereQuest,3,0,,21,f,f
394,Q1108_선생님있는곳,t,380,SphereQuest,3,0,,21,f,f
395,Q1051_기계혼삽입기안2,f,381,SphereQuest,3,0,,21,f,f
396,Q1241코볼트처치_코볼트동굴,t,382,SphereQuest,3,0,,1,f,f
397,Q1066_기원의폭포,t,383,SphereQuest,3,0,,21,f,f
399,Q1073_안전한곳,t,385,SphereQuest,3,0,,21,f,f
401,Q1102_야타방목지,t,387,SphereQuest,3,0,,21,f,f
402,Q1085_수정호수,t,388,SphereQuest,3,0,,21,f,f
403,Q1101_호랑이눈호수,t,389,SphereQuest,3,0,,21,f,f
411,메인퀘스트 더미,t,397,SphereQuest,1,0,,1,f,f
413,Q1182_습격당한상인근처,t,399,SphereQuest,3,0,,23,f,f
414,Q1192_집안,t,400,SphereQuest,3,0,,23,f,f
415,Q1113_모래언덕3,t,401,SphereQuest,1,0,,1,f,f
420,Q1137_부서진마차주변,t,406,SphereQuest,3,0,,23,f,f
421,Q1141_땅벌레구덩이,t,407,SphereQuest,3,0,,23,f,f
422,Q1137_너른소매마을입구1,t,408,SphereQuest,3,0,,23,f,f
424,Q1193_베리야프주변,t,410,SphereQuest,3,0,,23,f,f
425,Q1115_채석장가는길,t,411,SphereQuest,3,0,,23,f,f
429,진입시 무너지는 바닥,t,7,SphereDoodadInteract,3,11000,,1,f,f
430,Q1154_네우로스와귀환석앞,t,415,SphereQuest,1,0,,1,f,f
431,Q1157_바위둥지입구,t,416,SphereQuest,1,0,,1,f,f
432,Q1167_정화의오아시스,t,417,SphereQuest,1,0,,1,f,f
433,Q1421_양떼몰기_양떼도착지역,t,418,SphereQuest,3,0,,1,f,f
434,Q1170_울음소리가들리는마차,t,419,SphereQuest,1,0,,1,f,f
435,Q1173_상단원과의접촉장소,t,420,SphereQuest,1,0,,1,f,f
436,Q1183_땅벌레서식처,t,421,SphereQuest,1,0,,1,f,f
437,Q1183_은신처로가는길,t,422,SphereQuest,1,0,,1,f,f
438,Q1183_은신처입구,t,423,SphereQuest,1,0,,1,f,f
439,Q1184_은신처입구2,t,424,SphereQuest,1,0,,1,f,f
440,Q1184_은신처입구,t,425,SphereQuest,1,0,,1,f,f
441,Q1186_나라야나정화소,t,426,SphereQuest,1,0,,1,f,f
442,Q1207_마을게시판,t,427,SphereQuest,1,0,,1,f,f
443,Q1208_뱀의틈입구,t,428,SphereQuest,1,0,,1,f,f
444,Q1428안개동굴조사_안개동굴,t,429,SphereQuest,3,0,,1,f,f
447,Q1436에그머니나_소각장,t,432,SphereQuest,3,0,,1,f,f
449,Q1437가온달부족원구출_바이암본거지,t,433,SphereQuest,3,0,,1,f,f
450,Q1441말하는기계_부서진기계장치가있는곳,t,434,SphereQuest,3,0,,1,f,f
456,무지개 상승 기류,t,8,SphereSkill,3,0,,23,f,f
457,수배범이 목격된 곳,t,440,SphereQuest,3,30000,,27,f,f
460,Q1312_클리페의 흔적,t,443,SphereQuest,3,0,,26,f,f
461,Q1313_페데르센에게 도착,t,444,SphereQuest,3,0,,26,f,f
462,Q3611_하피의 알을 깨라,t,445,SphereQuest,3,0,,52,f,f
464,Q1315_함정 설치 위치,t,447,SphereQuest,3,0,,26,f,f
465,Q1316_방화 지역,t,448,SphereQuest,3,0,,26,f,f
466,Q1317_나무를 심는 장소,t,449,SphereQuest,3,0,,26,f,f
467,Q1323_벌목지 나무 심기,t,450,SphereQuest,3,0,,26,f,f
469,Q1329_클리페의 흔적,t,452,SphereQuest,3,0,,26,f,f
470,Q1325_호수 밑바닥의 시체,t,453,SphereQuest,3,0,,26,f,f
471,Q1327_고대인의 유물,t,454,SphereQuest,3,0,,26,f,f
472, Q1332_리세 호위,t,455,SphereQuest,3,0,,1,f,f
473, Q1339_달 그림자 마을,t,456,SphereQuest,3,0,,26,f,f
474,Q1341_프리센의 흔적,t,457,SphereQuest,3,0,,26,f,f
475,Q1343_마르센의 흔적,t,458,SphereQuest,3,0,,26,f,f
476, Q5718_겁화의 대정령 소환,t,459,SphereQuest,3,0,,97,f,f
477, Q1352_수중동굴 입구,t,460,SphereQuest,3,0,,26,f,f
478,Q1353_고르곤 발견,t,461,SphereQuest,3,0,,26,f,f
479,Q1354_헬마이어의 시신 발견,t,462,SphereQuest,3,0,,26,f,f
480,Q1355_페데르센 호위,t,463,SphereQuest,3,0,,26,f,f
481,Q1358_호박석,t,464,SphereQuest,3,160000,,26,f,f
485,Q1311_정화의 터,t,468,SphereQuest,3,0,정화의 터,26,f,t
486,Q1337_꺼져가는 모닥불,t,469,SphereQuest,3,160000,,26,f,f
488,테스트,t,471,SphereQuest,1,0,,1,f,f
489,Q1351_왕릉의 뼛조각,t,472,SphereQuest,3,160000,,26,f,f
490,Q1375_꼬마드워프사이의소문_어린거인의무덤,t,473,SphereQuest,1,0,,1,f,f
492,Q1392_열차를지켜라_골렘공장,t,475,SphereQuest,1,0,,1,f,f
493,Q1479_ 연극 장소,t,476,SphereQuest,3,0,,1,f,f
495,수정호수 오염된 물,t,9,SphereSkill,3,0,악취가 나는 물 때문에 정신력에 치명적인 피해를 입었습니다.,21,f,t
497,Q1483_도둑의 흔적,t,479,SphereQuest,3,0,,1,f,f
499,Q1398_거인호위_골렘공장,t,481,SphereQuest,1,0,,1,f,f
500,Q1400_동굴입구막기_고르곤동굴,t,482,SphereQuest,1,0,,1,f,f
501,Q1076_거미숲자취1,t,8,SphereDoodadInteract,3,600000,아슈레이가 찾던 남자의 첫 번째 표식입니다. 이쪽 길로 지나간 듯합니다.,21,f,t
504,Q251멧돼지의습격_컷신영역,f,484,SphereQuest,3,0,,1,f,f
505,Q255제니의부탁_컷신,t,485,SphereQuest,2,0,,1,f,f
508,Q1488_토미가 배회하는 장소,t,488,SphereQuest,3,0,,26,f,f
509,Q1491_동반자의 터,t,489,SphereQuest,3,0,,26,f,f
510,Q1492_만월의 숨결 서식지,t,490,SphereQuest,3,0,,26,f,f
511,솔즈리드반도_ 몰의첫대사,t,4,SphereBubble,2,0,,4,f,f
512,Q681_퀘스트이탈,f,491,SphereQuest,1,0,,1,f,f
513,Q1076_거미숲자취2,t,9,SphereDoodadInteract,3,600000,아슈레이가 찾던 남자의 두 번째 흔적입니다. 거미 숲 안으로 이동한 듯 보입니다.,21,f,t
514,Q1076_거미숲자취3,t,10,SphereDoodadInteract,3,600000,아슈레이가 찾던 남자의 세 번째 흔적입니다. 숲을 벗어나 악어가 있는 쪽으로 사라진 모양입니다.,21,f,t
515,가랑돌평원_로이스터야영지,t,5,SphereBubble,2,0,,2,f,f
517,Q1099_코볼트동굴1,t,11,SphereDoodadInteract,3,600000,헤루스의 표식이 우두머리 코볼트가 있는 길을 가리키며 반짝이고 있습니다.,21,f,t
518,Q1099_코볼트동굴2,t,12,SphereDoodadInteract,3,600000,헤루스의 표식이 우두머리 코볼트가 있는 길을 가리키며 반짝이고 있습니다.,21,f,t
519,레세브,t,6,SphereBubble,2,, ,9,f,f
520,에우로스,t,7,SphereBubble,2,0,,9,f,f
521,테판,t,8,SphereBubble,2,0,,9,f,f
522,미리아네,t,9,SphereBubble,2,0,,9,f,f
523,하르파,t,10,SphereBubble,2,0,,9,f,f
524,바이엘,t,11,SphereBubble,2,0,,1,f,f
525,Q893_보물의 흔적,t,493,SphereQuest,1,0,,1,f,f
526,Q1502_마룬의 흔적,t,494,SphereQuest,1,0,,1,f,f
527,Q1504_인어의 둥지,t,495,SphereQuest,1,0,,1,f,f
528,Q1517_아스트라의 동굴 입구,t,496,SphereQuest,1,0,,1,f,f
530,베아르인근,f,497,SphereQuest,3,0,,1,f,f
531,셀레스트,t,13,SphereBubble,2,0,,9,f,f
532,Q1652_위험에처한선돌연구자_시작,t,498,SphereQuest,3,0,,1,f,f
533,라이오,t,14,SphereBubble,2,0,,9,f,f
535,드리이나,t,16,SphereBubble,2,0,,9,f,f
538,누잔,t,19,SphereBubble,2,0,,9,f,f
539,루크,t,20,SphereBubble,2,0,,1,f,f
542,Q420_광산의 맹세_아스트라의 첫 등장,t,501,SphereQuest,1,0,,1,f,f
544,Q440_돌아가는 길_호위완료,t,502,SphereQuest,1,0,,1,f,f
545,Q440_돌아가는 길_오크스폰,t,503,SphereQuest,1,0,,1,f,f
546,슈몰러의 잡담,t,22,SphereBubble,1,0,,1,f,f
548,Q431_미래의 결정_안델프 카페테리아,t,504,SphereQuest,1,0,,1,f,f
549,Q434_사고 현장 재조사_오이겐만남,t,505,SphereQuest,1,0,,1,f,f
550,Q435_독이든 맥주_외부통로,t,506,SphereQuest,1,0,,1,f,f
551,Q437_상황정리_아스트라회견,t,507,SphereQuest,1,0,,1,f,f
552,Q423_아키움 정제소의 스파이_누이안,t,508,SphereQuest,1,0,,1,f,f
553,Q425_현재 상황 보고_안델프경비소환,t,509,SphereQuest,1,0,,1,f,f
554,Q425_현재 상황 보고_안델프경비소환,t,510,SphereQuest,1,0,,1,f,f
