id,npc_id,count,use_alias,quest_act_obj_alias_id
668,8800,20,t,951
670,8013,16,t,959
671,8038,12,t,964
672,1250,5,f,
673,1251,1,f,
674,1261,1,f,
677,2860,1,f,
679,1309,8,f,
680,1311,1,f,
681,1316,8,f,
683,1208,3,f,
685,1288,8,f,
686,1289,15,f,
687,1033,1,f,
689,1103,5,f,
693,1305,1,f,
695,1058,5,f,
696,1041,1,f,
697,1099,8,f,
698,1055,8,f,
700,8937,8,f,
702,8933,5,f,
703,8936,1,f,
705,2760,3,f,
706,1013,1,f,
707,1070,1,f,
708,2819,1,f,
711,1009,8,f,
712,1101,8,f,
713,1,3,t,1002
714,9201,8,f,
715,9199,1,f,
716,9200,8,f,
717,9322,12,t,1006
718,9322,1,t,1007
719,9210,1,f,
720,9206,5,f,
721,9211,12,f,
722,9213,8,f,
723,9215,5,f,
724,9217,8,f,
725,9218,5,f,
726,9221,8,f,
728,9220,8,f,
729,9219,8,f,
730,9224,8,f,
732,9226,8,f,
734,9241,5,f,
735,9233,8,f,
736,9240,1,f,
742,9277,1,f,
743,9232,8,f,
744,9240,1,t,1035
745,9205,8,t,1038
746,9288,5,f,
747,9363,12,f,
748,9447,1,t,1050
749,2499,1,f,
750,1229,1,f,
751,9400,5,t,1068
752,9448,1,t,1074
754,9397,4,t,1079
756,9391,8,t,1082
757,9386,1,t,1083
758,9387,1,t,1084
760,9805,5,f,
761,2504,12,f,
762,9807,1,f,
763,9712,8,f,
764,9549,8,t,1133
767,9624,2,f,
774,9623,2,t,1148
775,9424,5,t,1150
776,9425,5,t,1151
777,1012,8,f,
778,9389,5,t,1156
779,9426,6,f,1157
780,9692,15,f,
782,9570,1,f,
783,9694,1,f,
785,9240,5,t,1170
786,985,5,f,
788,9422,3,t,1177
789,9421,3,t,1178
790,9449,5,t,1184
791,9449,8,t,1185
792,9449,8,t,1186
793,9843,1,f,
794,2916,12,t,1216
795,2927,8,t,1221
797,2912,8,t,1240
798,2939,1,t,1245
799,9998,1,f,
800,9999,1,f,
801,840,1,f,
803,9924,5,t,1255
804,9997,1,f,
805,1847,3,f,
806,786,5,f,
807,10004,15,f,
808,7812,3,f,1288
809,10072,5,t,1296
810,9368,5,t,1297
811,10005,3,f,
812,10002,3,f,
813,980,12,f,
815,1332,8,f,
817,2952,15,f,
818,2916,30,f,
819,2912,15,f,
820,711,4,f,
822,10137,30,f,
825,5031,1,t,1329
826,9797,1,t,1332
827,10302,1,f,
828,5090,5,t,1349
830,655,1,f,
831,548,1,f,
833,8606,8,f,
834,3150,8,f,
836,4943,1,f,
837,8171,1,f,
838,9713,1,f,
839,5152,12,f,
840,10356,1,f,
841,10357,1,f,
842,10359,1,f,
843,10074,5,f,
844,2333,5,f,
846,9408,10,t,1372
847,9437,10,t,1376
848,9426,12,t,1381
849,9394,18,t,1385
850,9384,18,t,1387
851,9386,5,t,1388
852,9371,10,t,1389
853,610,1,f,
854,10446,8,t,1399
855,2385,5,f,
856,3705,5,f,
858,10144,3,t,1566
859,2314,3,f,
862,4972,1,f,
863,10458,1,f,
864,4956,1,f,
867,4956,1,f,
869,5127,8,t,1435
870,10450,1,t,1437
871,10083,8,f,
874,3692,1,f,
877,3700,12,f,
879,10084,8,f,
882,10369,2,f,
884,3720,5,f,
885,3718,8,f,
886,3717,8,f,
887,1242,15,f,
888,1243,12,f,
889,1258,16,f,
890,1269,10,f,
891,1288,18,f,
892,1289,18,f,
893,1250,12,f,
896,1316,1,f,
897,1332,15,f,
898,1315,15,f,
899,1316,16,f,
900,1208,6,f,
901,1328,18,f,
903,980,30,f,
904,8002,5,f,
905,8606,12,f,
906,1596,12,f,
907,1606,1,f,
909,7783,1,f,
911,10715,1,f,
912,1876,5,f,
913,8800,8,f,
915,10513,1,f,
916,10743,10,f,
917,1457,1,t,1575
918,10759,1,t,1923
921,1772,3,f,
922,10592,16,t,1587
923,10598,8,t,1588
924,10597,8,t,1589
925,10600,12,t,1590
926,10601,16,t,1591
927,8089,5,f,
928,8085,1,f,
930,10635,1,t,1598
931,8084,5,f,
932,10743,18,f,
933,10596,8,t,1611
934,10594,1,f,
935,10593,1,t,1619
936,10599,1,f,
939,10600,8,t,1624
940,2058,1,f,
941,10605,8,t,1636
942,10634,1,t,1638
943,10538,8,t,1639
944,10604,1,f,
945,10592,8,t,1645
946,1204,12,f,
948,8962,1,f,
949,8770,1,f,
950,7781,6,f,
953,7927,5,f,
954,10886,1,f,
955,4227,1,t,1677
956,9798,1,t,1682
961,10144,3,t,1723
962,2761,3,t,1727
967,1984,5,f,
968,1988,8,f,
969,1989,12,f,
970,1990,12,f,
971,1923,8,f,
973,1992,1,f,
974,1991,12,f,
975,1993,8,f,
976,1994,1,f,
977,1996,12,f,
978,1997,1,f,
979,1998,12,f,
980,1999,12,f,
982,2001,12,f,
983,2002,1,f,
986,2215,5,f,
989,5731,0,f,1898
990,7625,5,f,
991,11955,3,f,
992,6529,20,f,
993,2231,5,f,
994,513,5,f,
995,11961,20,t,1973
996,12010,20,t,1971
997,11959,20,t,2210
998,11962,10,f,
1001,11954,1,f,
1002,1896,30,f,
1004,7547,1,f,
1005,7547,1,f,
1006,3354,20,f,
1007,5008,10,t,2026
1008,2705,5,f,
1009,2874,20,f,
1010,9220,8,t,2050
1013,5124,20,f,
1015,548,50,f,
1016,4943,30,f,
1018,532,10,t,2062
1019,2310,12,f,
1020,1581,20,f,
1024,1587,20,f,
1025,1580,1,f,
1026,9201,20,f,
1027,4201,3,f,
1028,11195,1,f,
1029,2900,10,f,
1030,9847,10,f,
1031,10022,5,f,
1032,9888,10,f,
1033,10334,1,t,2085
1034,1987,12,f,
1036,4567,1,f,
1038,9724,3,f,
1039,9755,1,t,2116
1040,4551,12,f,
1042,1972,18,f,
1043,1974,18,f,
1044,1976,18,f,
1045,1979,18,f,
1046,1980,15,f,
1047,1981,15,f,
1048,1982,18,f,
1049,10993,12,f,
1050,1984,25,f,
1051,1985,18,f,
1052,1986,18,f,
1053,1987,18,f,
1054,1988,18,f,
1055,1989,20,f,
1056,1990,18,f,
1057,10992,12,f,
1058,1923,18,f,
1059,1991,20,f,
1060,1993,20,f,
1061,1995,18,f,
1062,1996,18,f,
1063,1998,18,f,
1064,1999,18,f,
1065,2001,18,f,
1066,2004,18,f,
1067,1375,10,t,2144
1068,2002,1,f,
1069,2004,12,f,
1070,4563,1,f,
1071,9543,8,f,
1072,9712,18,f,
1073,9727,30,f,
1074,9553,20,f,
1075,8868,5,f,
1076,1281,10,t,2152
1077,8925,1,t,2157
1078,1251,15,f,2161
1079,3695,1,f,
1080,1005,8,f,
1081,8924,5,f,
1083,8932,8,f,
1084,1273,15,t,2175
1085,1296,15,t,2181
1087,3724,5,f,
1088,12363,1,f,
1090,1273,10,t,2192
1091,10343,1,t,2193
1092,2003,1,f,
1093,2333,10,f,
1094,11962,10,f,
1095,6563,30,f,
1097,10144,2,t,2214
1099,9918,1,t,2228
1100,12403,1,f,
1101,12446,2,f,
1102,12446,2,f,
1103,12446,2,f,
1107,12473,5,f,
1108,12473,5,f,
1109,12473,5,f,
1110,8962,3,f,
1111,9798,3,f,
1112,11195,3,f,
1113,12508,1,f,
1114,12509,1,f,
1116,12508,1,f,
1117,12509,1,f,
1120,12916,5,f,
1121,12758,1,f,
1124,8753,3,f,
1125,8753,3,f,
1134,13354,20,f,
1135,13300,10,f,
1138,4829,3,f,
1139,4865,12,f,
1140,4861,8,f,
1141,4832,5,f,
1142,4835,5,f,
1144,13208,1,t,2520
1145,4830,3,f,
1147,13680,1,f,
1148,13712,1,f,
1149,13712,1,f,
1150,13703,5,f,
1154,13712,1,f,
1155,13712,5,f,
1156,13854,50,t,2609
1157,13856,30,t,2641
1158,13857,30,t,2642
1159,13858,10,t,2643
1160,37,20,f,
1161,38,20,f,
1162,39,20,f,
1163,13889,10,f,
1164,8766,1,t,2637
1168,2312,1,f,
