id,quest_name_kind_id,quest_context_id,name
2911,2,1937,언덕 위 야영지
2913,2,1938,언덕 위 야영지
2915,2,1939,아키움의 기적
2919,2,1963,나는 누구인가
2957,1,1998,긴 모래톱
2958,2,1998,뜻밖의 위협
2963,1,1996,긴 모래톱
2964,2,1996,뜻밖의 위협
2969,1,2004,긴 모래톱
2970,2,2004,잃어버린 기억
2976,2,2081,심심한 역무원
2979,1,1991,긴 모래톱
2980,2,1991,황금 바다 해적단
2983,1,1989,긴 모래톱
2984,2,1989,젖은 모래톱의 모래성
2989,1,1995,긴 모래톱
2990,2,1995,고래의 저주
2991,1,1997,긴 모래톱
2992,2,1997,뜻밖의 위협
2994,2,1999,뜻밖의 위협
2999,1,2003,긴 모래톱
3000,2,2003,잃어버린 기억
3003,1,2006,긴 모래톱
3004,2,2006,지우고 싶은 기억
3005,1,2007,긴 모래톱
3006,2,2007,지우고 싶은 기억
3008,2,2094,행운의 상징
3011,1,2012,긴 모래톱
3012,2,2012,다리 건설의 어려움
3013,1,2013,긴 모래톱
3014,2,2013,다리 건설의 어려움
3021,1,2020,긴 모래톱
3022,2,2020,바닷바람이 지은 술
3023,1,2021,긴 모래톱
3024,2,2021,이상한 연구가
3025,1,2022,긴 모래톱
3026,2,2022,고마움을 담아
3033,1,2010,긴 모래톱
3034,2,2010,고블린 습격
3035,1,2016,긴 모래톱
3036,2,2016,고블린 연구가
3064,1,2030,긴 모래톱
3065,2,2030,크루거의 정체
3072,1,2026,긴 모래톱
3073,2,2026,늙지 않는 여인
3074,1,2027,긴 모래톱
3075,2,2027,늙지 않는 여인
3076,1,2028,긴 모래톱
3077,2,2028,늙지 않는 여인
3078,1,2029,긴 모래톱
3079,2,2029,늙지 않는 여인
3080,1,2040,긴 모래톱
3081,2,2040,크라켄 대결전
3092,1,2230,무지개 벌판
3093,1,2255,솔즈리드 반도
3094,1,2256,솔즈리드 반도
3095,1,2257,솔즈리드 반도
3096,1,2258,솔즈리드 반도
3097,1,2259,솔즈리드 반도
3098,1,2260,솔즈리드 반도
3099,1,2261,솔즈리드 반도
3100,1,2262,솔즈리드 반도
3101,1,2263,솔즈리드 반도
3102,1,2264,솔즈리드 반도
3103,1,2265,솔즈리드 반도
3104,1,2266,솔즈리드 반도
3107,1,2270,Alias 처리 테스트
3108,2,2270,NPC 대화
3109,1,2300,매사냥 고원
3110,1,2302,매사냥 고원
3112,1,2309,매사냥 고원
3113,1,2315,매사냥 고원
3114,1,2318,매사냥 고원
3115,1,2319,매사냥 고원
3116,1,2321,매사냥 고원
3118,1,2324,매사냥 고원
3119,1,2326,매사냥 고원
3120,1,2328,매사냥 고원
3122,1,2330,매사냥 고원
3123,1,2357,Alias 처리 테스트 
3124,2,2357,아이템 수집
3125,1,2358,Alias 처리 테스트 
3126,1,2358,몹그룹사냥
3127,1,2359,Alias 처리 테스트 
3128,2,2359,아이템 사용
3129,1,2360,Alias 처리 테스트
3130,2,2360,인터랙션
3131,1,2361,Alias 처리 테스트
3132,2,2361,위치
3133,1,2362,Alias 처리 테스트
3134,1,2362,거리
3135,1,2363,Alias 처리 테스트
3136,1,2363,상태
3137,1,2364,Alias 처리 테스트
3138,2,2364,존몹 사냥
3139,1,2365,Alias 처리 테스트
3140,2,2365,이펙트 발동
3141,1,2366,Alias 처리 테스트
3142,2,2366,아이템 그룹 수집
3143,1,2367,Alias 처리 테스트
3144,1,2367,아이템 그룹 사용
3145,1,2368,Alias 처리 테스트
3146,2,2368,감정표현
3147,1,2369,Alias 처리 테스트
3148,1,2369,그룹 대화
3149,1,2377,task type quest test 
3150,2,2377,아이템 그룹 수집 목표
3153,1,2379,task type quest test 
3154,2,2379,그룹 대화
3157,1,2381,task type quest test
3158,2,2381,노동력 제공
3159,1,2382,task type quest test
3160,2,2382,수집 아이템 제거 안함
3161,2,2383,precomplete_quest_context
3162,1,2383,QA Test
3163,1,2384,QA Test
3164,2,2384,effect fire quest objective
3165,1,2385,그위오니드 숲
3166,1,2386,그위오니드 숲
3167,1,2387,그위오니드 숲
3168,1,2388,그위오니드 숲
3169,1,2389,그위오니드 숲
3171,1,2391,그위오니드 숲
3172,1,2392,그위오니드 숲
3173,1,2394,그위오니드 숲
3175,1,2396,그위오니드 숲
3176,1,2397,그위오니드 숲
3177,1,2398,그위오니드 숲
3178,1,2399,그위오니드 숲
3179,1,2401,그위오니드 숲
3181,1,2403,그위오니드 숲
3185,1,2406,매사냥 고원
3195,1,2419,호랑이 등뼈 산맥
3196,1,2420,호랑이 등뼈 산맥
3197,1,2421,호랑이 등뼈 산맥
3198,1,2422,호랑이 등뼈 산맥
3199,1,2423,호랑이 등뼈 산맥
3200,1,2424,호랑이 등뼈 산맥
3201,1,2425,호랑이 등뼈 산맥
3202,1,2426,호랑이 등뼈 산맥
3203,1,2427,호랑이 등뼈 산맥
3204,1,2428,호랑이 등뼈 산맥
3205,1,2429,호랑이 등뼈 산맥
3212,2,2438,왕의 농경지
3215,1,2347,매사냥 고원
3240,1,2485,릴리엇 구릉지
3241,1,2486,릴리엇 구릉지
3243,1,2488,릴리엇 구릉지
3244,1,2489,릴리엇 구릉지
3245,1,2490,릴리엇 구릉지
3246,1,2491,가랑돌 평원
3247,1,2492,가랑돌 평원
3249,1,2494,가랑돌 평원
3250,1,2495,가랑돌 평원
3251,1,2496,가랑돌 평원
3253,1,2498,하얀 숲
3257,1,2231,무지개 벌판
3258,1,2234,무지개 벌판
3259,1,2233,무지개 벌판
3260,1,2349,무지개 벌판
3261,1,2350,무지개 벌판
3262,1,2351,무지개 벌판
3263,1,2352,무지개 벌판
3267,1,2518,릴리엇 구릉지
3268,1,2519,릴리엇 구릉지
3269,1,2522,릴리엇 구릉지
3271,1,2520,가랑돌 평원
3272,1,2505,릴리엇 구릉지
3273,1,2506,릴리엇 구릉지
3274,1,2507,릴리엇 구릉지
3275,1,2508,릴리엇 구릉지
3276,1,2524,릴리엇 구릉지
3277,1,2525,릴리엇 구릉지
3278,1,2526,가랑돌 평원
3279,1,2527,릴리엇 구릉지
3283,1,2531,솔즈리드 반도
3284,1,2532,솔즈리드 반도
3293,1,2356,무지개 벌판
3294,1,2355,무지개 벌판
3295,1,2354,무지개 벌판
3296,1,2353,무지개 벌판
3300,1,2451,호랑이 등뼈 산맥
3301,1,2452,호랑이 등뼈 산맥
3302,1,2453,호랑이 등뼈 산맥
3303,1,2454,호랑이 등뼈 산맥
3304,1,2456,호랑이 등뼈 산맥
3305,1,2458,호랑이 등뼈 산맥
3311,1,2445,호랑이 등뼈 산맥
3312,1,2446,호랑이 등뼈 산맥
3313,1,2444,호랑이 등뼈 산맥
3314,1,2443,호랑이 등뼈 산맥
3315,1,2442,호랑이 등뼈 산맥
3316,1,2449,호랑이 등뼈 산맥
3317,1,2447,호랑이 등뼈 산맥
3318,1,2450,호랑이 등뼈 산맥
3319,1,2448,호랑이 등뼈 산맥
3501,1,3655,문제 없음
3502,2,3655,문제 없음
3505,1,3874,마하데비 인던 입장을 위한 준비.
3508,1,3883,가랑돌 평원
3509,1,3882,가랑돌 평원
3510,1,3993,두 왕관
3511,1,3985,하얀 숲
3512,1,3986,하얀 숲
3513,1,3987,하얀 숲
3514,1,3988,마리아노플
3515,1,3989,마리아노플
3516,1,3990,두 왕관
3517,1,3991,두 왕관
3521,1,4269,가랑돌 평원
3522,1,3881,가랑돌 평원
3523,1,3884,하얀 숲
3524,1,3885,하얀 숲
3525,1,3886,하얀 숲
3526,1,3887,하얀 숲
3527,1,3888,하얀 숲
3528,1,3889,하얀 숲
3532,1,3893,하얀 숲
3533,1,3902,두 왕관
3534,1,3894,마리아노플
3535,1,3896,마리아노플
3536,1,3897,마리아노플
3538,1,3899,마리아노플
3539,1,3900,마리아노플
3540,1,3901,마리아노플
3541,1,3895,마리아노플
3543,1,3992,태초의 요람
3544,1,3503,솔즈리드 반도
3547,1,3520,호랑이 등뼈 산맥
3549,1,4393,릴리엇 구릉지
3550,1,4394,릴리엇 구릉지
3552,1,4396,릴리엇 구릉지
3553,1,4397,가랑돌 평원
3554,1,4398,가랑돌 평원
3555,1,4399,하얀 숲
3556,1,4400,하얀 숲
3558,1,4402,마리아노플
3559,1,4403,마리아노플
3560,1,4404,마리아노플
3561,1,4405,마리아노플
3562,1,4406,마리아노플
3563,1,4407,마리아노플
3564,1,4408,두 왕관
3565,1,4409,마리아노플
3566,1,4410,마리아노플
3567,1,4411,마리아노플
3572,1,3448,호랑이 등뼈 산맥
3573,1,3513,무지개 벌판
3574,1,3505,무지개 벌판
3575,1,3506,무지개 벌판
3576,1,3507,무지개 벌판
3577,1,3508,무지개 벌판
3578,1,3509,무지개 벌판
3579,1,3510,무지개 벌판
3580,1,3511,무지개 벌판
3581,1,3512,무지개 벌판
3582,1,3514,무지개 벌판
3583,1,3515,무지개 벌판
3584,1,3516,무지개 벌판
3585,1,3517,무지개 벌판
3586,1,3436,매사냥 고원
3587,1,3435,매사냥 고원
3589,1,3437,매사냥 고원
3590,1,3438,매사냥 고원
3591,1,3439,매사냥 고원
3592,1,3440,매사냥 고원
3593,1,3442,매사냥 고원
3594,1,3443,매사냥 고원
3595,1,3444,매사냥 고원
3596,1,3445,매사냥 고원
3597,1,3518,호랑이 등뼈 산맥
3598,1,3519,호랑이 등뼈 산맥
3599,1,3521,호랑이 등뼈 산맥
3600,1,3541,호랑이 등뼈 산맥
3601,1,3542,호랑이 등뼈 산맥
3602,1,3522,호랑이 등뼈 산맥
3603,1,3523,호랑이 등뼈 산맥
3604,1,3524,호랑이 등뼈 산맥
3605,1,3527,호랑이 등뼈 산맥
3606,1,3526,호랑이 등뼈 산맥
3607,1,3525,호랑이 등뼈 산맥
3608,1,3528,호랑이 등뼈 산맥
3609,1,3529,호랑이 등뼈 산맥
3610,1,3538,호랑이 등뼈 산맥
3611,1,3531,마하데비
3612,1,3530,마하데비
3613,1,3532,마하데비
3614,1,3533,마하데비
3615,1,3534,마하데비
3616,1,3561,마하데비
3617,1,3536,마하데비
3618,1,3535,마하데비
3619,1,3537,마하데비
3620,1,3539,마하데비
3621,1,3540,마하데비
3622,1,3543,마하데비
3623,1,3544,동틀녘 반도
3624,1,3547,동틀녘 반도
3626,1,3546,동틀녘 반도
3627,1,3549,동틀녘 반도
3628,1,3550,노래의 땅
3629,1,3548,동틀녘 반도
3630,1,3551,노래의 땅
3631,1,3552,노래의 땅
3632,1,3553,노래의 땅
3633,1,3554,노래의 땅
3634,1,3555,노래의 땅
3635,1,3556,노래의 땅
3636,1,3557,노래의 땅
3637,1,3558,고대의 숲
3638,1,3559,고대의 숲
3639,1,3560,고대의 숲
3640,1,1574,매사냥 고원
3641,1,1222,매사냥 고원
3642,1,3460,마하데비
3643,1,3462,마하데비
3644,1,3461,마하데비
3645,1,3463,마하데비
3646,1,3459,마하데비
3647,1,3457,마하데비
3648,1,3456,마하데비
3649,1,3464,동틀녘 반도
3650,1,3466,동틀녘 반도
3651,1,3450,동틀녘 반도
3652,1,3467,동틀녘 반도
3653,1,3468,동틀녘 반도
3654,1,3471,동틀녘 반도
3655,1,3472,동틀녘 반도
3656,1,3470,동틀녘 반도
3657,1,3469,동틀녘 반도
3658,1,3473,노래의 땅
3659,1,3474,노래의 땅
3660,1,3475,노래의 땅
3661,1,3476,노래의 땅
3662,1,3477,노래의 땅
3663,1,3478,노래의 땅
3664,1,3479,노래의 땅
3665,1,3480,고대의 숲
3666,1,3481,고대의 숲
3667,1,3482,고대의 숲
3668,1,3483,고대의 숲
3669,1,3446,호랑이 등뼈 산맥
3670,1,3447,호랑이 등뼈 산맥
3671,1,3449,호랑이 등뼈 산맥
3672,1,3451,호랑이 등뼈 산맥
3673,1,3452,호랑이 등뼈 산맥
3674,1,3453,마하데비
3675,1,3454,마하데비
3676,1,3455,마하데비
3677,1,4490,릴리엇 구릉지
3678,1,4503,가랑돌 평원
3679,1,4507,하얀 숲
3680,1,4518,두 왕관
3681,1,4519,두 왕관
3682,1,3573,릴리엇 구릉지
3683,1,3574,하얀 숲
3684,1,3504,마리아노플
3685,2,2509,다후타 교단에게 붙잡힌 페피 삼총사 구출
3686,2,92,가시덩굴 숲 은신처의 다후타 교단 섬멸
3687,2,1445,거미숲의 거미들 몰아내기
3688,2,1086,물안개 숲 살리기
3689,2,1135,하토라로 가는 길 정리
3690,2,1169,바람 띠 상단 섬멸
3692,2,1595,자야 상단 돕기
3697,2,1233,시치미 약탈단을 물리치고 짐 되찾기
3701,2,854,진혼제의 시작 돕기
3703,2,2921,너도밤나무 숲 기근 해결
3704,2,1811,불길한 징조의 그리핀 섬멸
3705,1,4863,매사냥 고원
3706,1,3564,노래의 땅
3707,2,4203,수행자의 마을 구하기
3708,2,1992,요리 재료 구하기
3709,2,3761,트리스테의 부탁 들어주기
3710,2,1633,다후타 교단 본거지 습격
3711,2,3136,저주받은 습지 정화
3712,2,179,토라니 정원의 하피 서식지 정리
3713,2,13,요셉 상단 돕기
3714,2,266,양치기 리암의 부탁 들어주기
3715,2,562,유해 발굴 작업 돕기
3716,2,650,공동묘지 정화
3717,2,4465,이렇게등록하면 서머리가되나보다
3718,2,535,길을 가로막는 악마들 정리
3719,2,614,흐느끼는 노천광산의 노예 해방 돕기
3720,2,3307,밀렵단 저지
3721,2,874,비비디의 부탁 들어주기
3722,2,1334,낚시꾼 빈캐리 돕기
3723,2,754,고릴라 버섯 연구 돕기
3724,2,3658,만드라고라 박멸
3725,2,3680,바람 정령 퇴치
3726,2,774,검은자갈단 저지
3727,2,777,경비대원의 부탁 들어주기
3728,2,4343,반인반사 뿌리 뽑기
3730,2,3076,사마귀 위협으로부터 목축장 구하기
3731,2,3005,켄타우로스 부락의 위협 저지
3732,2,3089,불길한 징후 지우기
3733,2,3625,바람의 방향 바꾸기
3735,1,3491,마하데비
3736,2,3970,아사지의 근위대 섬멸
3737,2,2990,은거자의 골짜기 하피 처치 및 깨달음의 약초 채집
3739,2,3026,거대 바이암 무리 퇴치 및 나라야나 상단의 짐 회수
3740,2,5034,으르렁거리는 섬 토벌
3741,2,3010,하얀놀 무리 처치 및 양에게 먹이주기
3742,2,5062,만드라고라 잡기
3743,2,5063,만드라고라 잡기
3744,2,899,상어 인간 요리 재료 수집
3745,2,1510,회오리 해안의 요리 재료 수집
3746,2,5064,만드라고라 잡기
3747,2,5060,배심원 자격 다시 획득하기
3748,2,5059,배심원 자격 다시 획득하기
3750,1,3484,청동 바위산
3751,1,3485,청동 바위산
3752,1,3486,청동 바위산
3753,1,3487,청동 바위산
3754,1,3488,청동 바위산
3755,1,3489,청동 바위산
3756,1,3490,청동 바위산
3757,1,3492,청동 바위산
3758,1,3494,청동 바위산
3759,1,3493,청동 바위산
3760,1,3495,청동 바위산
3761,1,3496,청동 바위산
3762,1,3497,청동 바위산
3763,1,3498,청동 바위산
3764,1,3500,청동 바위산
3765,1,3501,청동 바위산
3766,1,3502,청동 바위산
3767,1,3562,청동 바위산
3768,1,3563,청동 바위산
3769,1,3565,청동 바위산
3770,2,5541,초원의 불꽃 꺼트리기
3772,1,3499,청동 바위산
3773,1,3566,태초의 요람
3774,1,3567,태초의 요람
3775,1,3568,태초의 요람
3776,1,5040,태초의 요람
3777,1,5773,태초의 요람
3778,1,5781,태초의 요람
3779,1,5782,태초의 요람
3780,1,5783,태초의 요람
3781,1,5784,태초의 요람
3782,1,5785,태초의 요람
3783,1,5786,태초의 요람
3784,1,5787,태초의 요람
3785,1,5788,가랑돌 평원
3786,1,5789,가랑돌 평원
3787,1,5790,가랑돌 평원
3788,1,5791,가랑돌 평원
3789,1,5792,가랑돌 평원
3790,1,5793,가랑돌 평원
3791,1,5794,가랑돌 평원
3792,1,5795,가랑돌 평원
3793,1,5796,가랑돌 평원
3794,1,5797,가랑돌 평원
3795,1,5798,하얀 숲
3796,1,5799,하얀 숲
3797,1,5800,하얀 숲
3798,1,5801,마리아노플
3799,1,5802,마리아노플
3800,1,5803,마리아노플
3801,1,5804,마리아노플
3802,1,5805,마리아노플
3803,1,5806,마리아노플
3804,1,5807,두 왕관
3805,1,5808,청동 바위산
3806,1,5809,청동 바위산
3807,1,5810,청동 바위산
3808,1,5811,두 왕관
3809,1,5980,청동 바위산
