id,ratio,next_phase
385,4000,5788
386,5500,5787
387,500,6733
388,4000,6734
389,5500,6732
390,5000,2451
391,5000,9202
392,10,6894
393,9990,1744
394,30,7664
395,9970,2968
396,90,7670
397,9910,2814
398,72,7643
399,9928,1774
400,5000,10009
401,5000,9870
402,44,6382
403,9956,2779
404,50,6375
405,9950,634
406,19,8019
407,9981,2982
408,5000,4457
409,5000,6112
410,5000,4477
411,5000,6114
412,5000,6115
413,5000,4465
414,5000,6126
415,5000,4473
416,5000,4481
417,5000,6128
418,5000,4469
419,5000,6117
420,5000,4449
421,5000,6127
422,5000,4485
423,5000,5506
424,5000,4461
425,5000,6116
426,5000,6018
427,5000,6129
428,1000,4525
429,9000,5458
430,1000,4521
431,9000,6076
432,1000,4513
433,9000,6077
434,1000,4529
435,9000,6085
436,1000,4501
437,9000,6079
438,1000,3444
439,9000,6546
440,1000,4517
441,9000,6083
442,1000,4497
443,9000,6078
444,1000,4509
445,9000,6080
446,1000,2831
447,9000,6088
448,5000,4429
449,5000,6138
450,5000,4404
451,5000,6143
452,5000,4412
453,5000,6145
454,5000,4433
455,5000,6140
456,5000,4425
457,5000,6137
458,5000,4408
459,5000,6144
460,5000,4441
461,5000,6141
462,5000,4445
463,5000,6142
464,5000,4437
465,5000,6139
466,3000,9922
467,7000,10221
468,5000,4421
469,5000,6147
470,5000,8451
471,5000,8452
472,5000,8456
473,5000,8457
474,2500,4533
475,7500,6098
476,2500,4489
477,7500,6099
478,2500,4549
479,7500,6100
480,2500,4493
481,7500,6101
482,2500,4505
483,7500,6102
484,2500,5999
485,7500,6103
486,2500,6010
487,7500,6104
488,2500,6007
489,7500,6105
490,2500,4541
491,7500,6106
492,2500,2963
493,7500,6107
494,5000,2731
495,5000,6667
496,5000,2790
497,5000,6148
498,5000,6023
499,5000,6130
500,8500,9867
501,500,10267
502,5000,6034
503,5000,6149
504,5000,6039
505,5000,6150
506,500,10277
507,8000,8440
508,2000,8441
509,8000,8446
510,2000,8447
511,8000,8461
512,2000,8462
513,8000,8466
514,2000,8467
515,8000,8481
516,2000,8482
517,8000,8471
518,2000,8472
519,8000,8476
520,2000,8477
521,8000,8486
522,2000,8487
526,500,10352
527,2500,10930
528,2500,10936
529,2500,10938
530,2500,10940
531,5000,10961
532,5000,1299
533,5000,11213
534,2500,11216
535,2500,11218
536,4000,11281
537,3000,11282
538,3000,11283
547,5000,13008
548,5000,13009
549,3333,13018
550,5000,13019
551,10000,13020
552,2500,6985
553,2500,13036
554,2500,13037
555,2500,13038
561,3300,13043
562,5000,13044
563,10000,13045
564,3333,13058
565,5000,13059
566,10000,13060
567,1000,13078
568,2000,13079
569,500,13080
570,1000,13096
571,2000,13097
572,500,13098
573,5500,13116
574,2700,13119
575,1400,13122
576,300,13125
577,100,13128
580,5000,13237
581,5000,13249
585,1000,13278
586,2000,13282
587,500,13283
603,2000,13084
604,300,13085
605,2000,13086
606,10,13087
607,2190,13088
633,3333,13076
634,3333,13094
635,3333,13276
636,5000,13475
637,5000,13698
638,5000,13703
639,5000,13721
640,5000,13703
641,5000,13700
642,5000,13743
643,4500,13751
644,9000,13076
645,900,13094
646,100,13276
647,9000,13076
648,900,13094
649,100,13276
650,9000,13076
651,900,13094
652,100,13276
653,9000,13076
654,900,13094
655,100,13276
656,9000,13076
657,900,13094
658,100,13276
659,2000,13099
660,300,13100
661,2000,13101
662,10,13102
663,2190,13103
664,9000,13076
665,900,13094
666,100,13276
667,9000,13076
668,900,13094
669,100,13276
670,9000,13076
671,900,13094
672,100,13276
673,9000,13076
674,900,13094
675,100,13276
676,9000,13076
677,900,13094
678,100,13276
679,9000,13076
680,900,13094
681,100,13276
682,9000,13076
683,900,13094
684,100,13276
685,9000,13076
686,900,13094
687,100,13276
688,2000,13284
689,300,13285
690,2000,13286
691,10,13287
692,2190,13288
696,5000,9215
697,5000,9897
698,5000,9897
699,5000,9828
700,5000,9828
701,5000,9897
702,5000,14385
703,5000,14386
704,5000,14463
705,5000,14464
707,2000,14710
709,8000,14791
712,2880,2853
713,7120,6292
714,3670,2637
715,6330,2639
716,4560,1912
717,5440,1913
718,4560,2909
719,5440,2910
720,4800,2599
721,5200,2600
722,4800,1777
723,5200,1778
724,4195,945
725,5805,946
726,4195,2707
727,5805,2708
728,5280,1808
729,4720,1809
730,2592,2859
731,7408,2860
732,3600,914
733,6400,915
734,3840,1789
735,6160,6308
736,2688,1747
737,7312,1748
738,2784,889
739,7216,890
740,2784,909
741,7216,910
742,2880,2971
743,7120,2972
744,2880,2686
745,7120,2687
746,2976,2923
747,7024,2924
748,4800,936
749,5200,937
750,3072,2890
751,6928,2891
752,4195,2817
753,5805,2818
754,2976,2916
755,7024,2917
756,3120,930
757,6880,931
758,3120,1784
759,6880,1785
760,3456,2839
761,6544,2840
762,3300,1804
763,6700,1805
764,3600,1770
765,6400,1771
766,3600,1712
767,6400,1713
768,3360,2742
769,6640,2743
770,4032,920
771,5968,922
772,4981,2985
773,5019,2986
774,5400,2956
775,4600,2957
776,5400,2675
777,4600,2676
778,3888,1710
779,6112,1762
780,6120,2782
781,3880,2783
782,5244,2930
783,4756,2931
784,5244,958
785,4756,959
786,3360,2937
787,6640,2938
788,4719,900
789,5281,901
790,5244,893
791,4756,4792
792,6840,2773
793,3160,2774
794,4464,1795
795,5536,1796
796,6840,2695
797,3160,2696
798,4464,6182
799,5536,6183
800,500,14969
801,4000,14814
802,5500,14813
807,2500,14999
808,2500,15000
809,2500,15001
810,2500,15002
811,3333,15047
812,3333,15048
813,3334,15049
819,3300,9408
820,3300,9409
821,3400,9410
822,3300,9309
823,3300,9310
824,3400,9311
825,2500,6084
826,2500,15402
827,2500,15403
828,2500,15404
829,9160,4693
830,560,6829
831,280,6831
832,9160,5794
833,560,5796
834,280,5797
835,9160,6805
836,560,6807
837,280,6808
838,9160,6741
839,560,9881
840,280,6742
841,9160,6785
842,560,6787
843,280,6788
844,9160,5842
845,560,5846
846,280,5845
847,9160,5808
848,560,5809
849,280,5810
850,9160,6795
851,560,6797
852,280,6799
853,9160,5782
854,560,5787
855,280,5788
856,9160,6730
857,560,6732
858,280,6734
859,9160,14812
860,560,14813
861,280,14814
862,9160,6795
863,560,6797
864,9160,5808
865,560,5809
869,5500,15470
870,1500,15461
871,1500,15464
872,1500,15467
873,5200,15485
874,1200,15471
875,1200,15474
876,1200,15477
877,1200,15482
878,9990,8476
879,1,10310
880,280,5810
881,280,6799
882,9500,13171
883,5500,15517
884,1500,15511
885,1500,15514
886,1500,15508
887,5200,15530
888,1200,15518
889,1200,15521
890,1200,15524
891,1200,15527
892,5500,15552
893,1500,15543
894,1500,15546
895,1500,15549
896,5200,15565
897,1200,15553
898,1200,15556
899,1200,15559
900,1200,15562
901,5500,15582
902,1500,15573
903,1500,15576
904,1500,15579
905,2784,15613
906,7216,15614
907,14,15616
908,9986,15607
909,5200,15595
910,1200,15583
911,1200,15586
912,1200,15589
913,1200,15592
914,2784,15636
915,7216,15637
916,11,15640
917,9989,15630
918,5000,15657
919,5000,15658
920,5000,9895
921,5000,10527
922,5000,15902
923,5000,15903
924,500,13201
925,5000,16009
926,5000,16010
927,5000,16012
928,5000,16010
929,7000,16009
930,1000,16016
931,1000,16017
932,1000,16018
933,4000,16072
934,3000,16073
935,3000,15982
936,9500,16077
937,500,16086
938,9160,16078
939,560,16081
940,280,16082
941,500,16080
942,4000,16082
943,5500,16081
944,9160,16078
945,560,16081
946,280,16082
947,500,16088
948,4000,16090
949,5500,16089
950,8660,16086
951,560,16089
952,280,16090
953,500,16109
954,9500,16078
955,500,16106
961,20,16153
962,80,16152
963,8000,16152
964,2000,16153
978,10000,16186
980,2500,16202
981,2500,16203
982,2500,16204
983,2500,16205
984,8000,16274
985,2000,16275
989,8000,16331
990,2000,16332
993,500,16349
994,9500,16350
995,500,16349
996,9500,16375
999,5000,17534
1000,5000,16573
1001,8000,16552
1002,2000,16579
1003,5000,8356
1004,5000,16620
1005,2500,16622
1006,7500,16713
1016,2500,16864
1017,2500,16865
1018,2500,16866
1019,2500,16867
1020,700,16774
1021,2000,16776
1022,1000,16886
1023,9000,16882
1024,4195,16955
1025,5850,16954
1026,300,17040
1027,9700,17043
1028,1500,17045
1029,8500,17047
1030,3000,17056
1031,7000,17058
1032,7000,17065
1033,300,17067
1034,1200,17071
1035,8800,17070
1036,4146,3056
1039,9500,17091
1040,500,17093
1045,3400,17089
1046,3300,17098
1048,4000,17136
1051,3000,17137
1052,3000,17138
1053,3800,17118
1054,1250,17119
1055,420,17120
1056,164,17121
1057,64,17122
1058,64,17123
1059,36,17124
1060,36,17125
1061,20,17126
1062,4000,17231
1063,1500,17233
1064,1000,17235
1065,3500,17237
1066,3400,17243
1067,3300,17246
1068,3300,17248
1072,3300,17362
1073,3300,17363
1074,3400,17364
1078,500,17413
1097,5000,17516
1098,5000,17517
1101,3000,17549
1102,3000,17569
1104,9160,5782
1105,560,5787
1106,280,5788
1119,3300,17466
1120,3300,17467
1121,3400,17477
1122,1000,17465
1123,9000,17797
1124,9,17660
1125,17,17801
1126,9,17802
1127,17,17803
1128,5,17804
1129,39,17805
1130,1900,17806
1131,2169,17807
1132,625,17808
1133,210,17809
1134,9,17770
1135,17,17823
1136,9,17824
1137,17,17825
1138,5,17826
1139,39,17827
1140,1900,17828
1141,2169,17829
1142,625,17830
1143,210,17831
1144,5000,17869
1145,5000,17872
1146,1000,17775
1147,9000,17789
1148,3300,17776
1149,3300,17777
1150,3400,17778
1151,3000,18081
1152,3000,18079
1153,4000,18080
1154,4000,17570
1164,1000,18130
1165,9000,18137
1166,3300,18131
1167,3300,18132
1168,3400,18133
1169,3000,18130
1170,7000,18137
1171,7000,17877
1172,3000,18310
1173,1700,17659
1174,1700,18313
1175,1700,18314
1176,1700,18315
1177,1700,18316
1178,1500,18317
1179,1700,17769
1180,1700,18320
1181,1700,18321
1182,1700,18322
1183,1700,18323
1184,1500,18324
1185,5,2
1186,3300,17088
1194,3300,18517
1195,3300,18518
1196,3300,18531
1197,3300,18532
1198,3400,18533
1199,5000,18551
1200,5000,18566
1201,4000,18553
1202,3000,18637
1203,3000,18639
1204,2500,18686
1205,2500,18697
1206,2500,18698
1207,2500,18699
1208,3400,18516
1209,2000,18741
1214,8000,18748
1215,6000,18792
1216,4000,18787
1217,120,18806
1218,9880,18807
1219,5000,18804
1220,5000,18811
1221,238,18806
1222,9762,18817
1223,2500,18811
1224,7500,18804
1225,714,18806
1226,9286,18822
1227,1250,18811
1228,8750,18804
1229,2000,18844
1230,8000,18850
1231,2000,18853
1232,8000,18859
1233,2000,18862
1234,8000,18868
1236,4000,18966
1237,3000,18967
1238,2000,18968
1239,1000,18969
1240,9200,18966
1241,500,18982
1242,300,18978
1243,9200,18967
1244,500,18983
1245,300,18979
1246,9200,18968
1247,500,18984
1248,300,18980
1249,9200,18969
1250,500,18985
1251,300,18981
1252,9500,18982
1253,500,18994
1254,9500,18983
1255,500,18995
1256,9500,18984
1257,500,18996
1258,9500,18985
1259,500,18997
1261,5000,19094
1262,3000,19114
1263,1500,19106
1264,500,19110
1265,5000,19095
1266,3000,19115
1267,1500,19107
1268,500,19111
1269,5000,19096
1270,3000,19116
1271,1500,19108
1272,500,19112
1273,5000,19097
1274,3000,19117
1275,1500,19109
1276,500,19113
1277,9500,19137
1278,500,19138
1279,9500,19143
1280,500,19146
1281,9500,19149
1282,500,19152
1283,9350,18664
1284,650,19167
1285,9160,18665
1286,560,19162
1287,280,19163
1288,500,18667
1289,4000,19163
1290,5500,19162
1291,9160,18665
1292,560,19162
1293,280,19163
1294,500,19169
1295,4000,19171
1296,5500,19170
1297,8510,19167
1298,560,19170
1299,280,19171
1300,650,19187
1301,500,19190
1302,9500,18665
1303,200,19226
1304,9800,19225
1305,9700,19217
1306,300,19229
1312,3000,19132
1313,2500,19241
1314,2000,19243
1315,2000,19245
1316,500,19247
1317,3300,18470
1318,3400,18469
1319,3300,19054
1320,600,19023
1321,2400,19384
1322,7000,19556
1323,3300,19975
1324,3300,19976
1325,3400,19977
1326,3400,20004
1327,3300,20006
1328,3300,20008
1329,3300,20038
1330,3300,20039
1331,3400,20040
