id,dispel_count,cure_count,buff_tag_id
615,10,10,886
616,1,1,434
617,0,1,891
619,1,1,287
620,1,1,907
621,1,0,10
622,1,1,784
623,1,1,27
627,1,1,923
629,0,10,
630,1,0,434
631,1,1,10
632,0,20,
633,1,1,931
634,1,1,931
636,1,1,932
640,1,1,10
645,1,0,10
648,0,1,10
650,1,0,294
653,1,1,943
656,1,1,294
659,1,0,10
660,1,0,10
661,1,1,566
665,1,0,10
666,1,1,951
667,1,1,964
668,1,1,953
669,1,1,953
670,1,1,953
672,1,1,958
674,1,1,867
675,1,1,10
676,1,1,971
677,1,1,971
679,0,10,6
680,0,10,107
683,0,10,13
689,1,0,294
690,1,1,979
691,1,1,951
692,1,1,964
694,1,1,982
699,10,10,983
700,10,10,983
702,1,1,988
703,1,1,988
704,1,0,10
706,1,1,991
710,1,1,957
711,0,20,
712,1,1,1000
713,1,1,1001
714,1,1,957
715,0,10,97
717,0,10,12
723,0,10,11
726,0,10,160
727,0,1,1013
728,0,20,216
729,0,10,99
730,1,0,10
731,1,1,1018
733,0,10,
734,1,1,754
735,0,1,746
736,1,1,769
737,1,1,10
738,0,1,362
740,1,1,719
741,1,1,710
742,1,0,10
744,1,1,1033
745,1,0,740
746,0,1,1035
749,0,20,216
750,1,1,1040
751,0,1,1035
753,1,1,1041
754,1,1,1049
755,1,1,1309
756,1,1,1045
757,1,1,1046
758,1,1,1047
759,1,1,1051
760,1,1,1052
761,1,1,1052
762,1,1,985
763,1,1,1040
764,1,1,1041
766,1,1,677
767,1,1,827
768,1,1,701
770,1,1,694
771,0,20,6
772,0,20,107
773,0,20,13
779,1,1,10
783,1,1,761
784,1,1,761
785,1,1,761
786,1,1,761
791,1,1,1025
792,1,1,1048
793,1,1,1070
794,1,1,1071
797,0,1,10
798,0,1,653
799,0,1,652
800,0,1,1077
801,0,1,1077
802,1,1,867
803,0,1,1060
804,1,0,1078
805,1,1,1086
806,1,1,1086
807,1,1,1086
808,1,1,1086
809,1,1,1086
810,1,1,1086
811,1,1,1086
812,1,1,1086
813,1,1,1086
814,1,1,1086
815,1,1,1086
816,1,1,1086
817,1,1,1086
818,1,1,1089
819,1,1,1089
823,0,1,10
824,0,1,10
825,10,10,1093
827,1,1,388
828,1,1,1098
829,1,1,1098
830,1,1,867
832,1,1,867
834,1,0,10
835,0,1,1104
837,0,1,1104
838,0,1,1104
839,0,1,1104
840,0,1,1104
841,0,1,1104
842,0,1,1104
843,0,1,1104
844,0,1,1104
845,1,1,1105
846,1,1,1105
847,1,1,1105
848,1,1,1105
849,1,1,1105
850,1,1,1105
851,1,1,1105
852,1,1,1105
855,1,1,495
856,1,1,1107
859,1,1,1098
860,1,1,867
861,1,1,1105
862,1,1,1105
863,1,1,1086
864,1,1,1086
869,1,1,1105
870,0,20,
871,1,1,1124
873,1,1,1145
875,1,1,1145
876,1,1,1101
882,10,10,1154
883,1,1,1155
885,1,1,1161
886,0,10,1162
887,0,10,1162
888,0,10,1162
889,0,10,1162
890,0,10,1162
894,2,0,
897,2,0,
898,1,1,1185
899,10,10,1186
901,1,1,1191
902,1,1,1191
906,0,1,1104
909,1,1,1202
910,3,3,1114
911,1,1,1206
912,1,1,1207
913,1,1,1207
914,1,1,1207
915,1,1,1207
918,3,3,1114
919,0,1,10
920,1,1,992
921,1,1,1211
922,1,1,1211
923,1,1,1211
924,1,1,1068
925,1,1,1045
926,1,1,1046
927,1,1,1047
928,1,1,1048
929,1,1,1309
931,1,1,1071
932,1,1,1071
933,1,1,1202
935,1,1,1091
936,1,1,1091
937,0,10,894
939,1,1,1228
940,1,1,1236
941,1,1,1236
942,1,1,1236
943,1,1,1236
944,1,1,1236
945,0,10,894
946,1,1,1056
947,1,1,1243
948,0,10,1244
951,1,1,1237
952,1,1,1261
955,0,1,294
957,1,1,1261
958,1,1,1261
959,0,10,1257
961,1,1,1060
962,1,1,1097
963,1,1,1060
964,1,1,1097
965,1,1,1060
966,1,1,1060
967,1,1,1243
969,1,1,1060
970,1,1,1097
971,1,1,1060
973,1,1,1270
976,5,0,104
977,1,1,10
978,0,1,294
980,1,1,1279
983,10,10,1281
985,10,10,1282
986,10,10,1282
987,10,10,1282
988,10,10,1282
993,10,10,1281
995,0,1,1300
996,0,1,1300
997,0,1,1300
998,10,10,294
999,10,10,294
1000,10,10,294
1001,10,10,294
1002,1,1,1270
1003,1,1,1270
1004,1,1,1270
1005,1,0,294
1006,1,1,1307
1007,1,1,1068
1008,1,1,1068
1009,10,10,1280
1012,0,1,1300
1013,0,1,1300
1014,0,1,1206
1015,5,0,10
1018,1,1,1327
1019,10,10,1328
1020,1,1,1329
1021,1,1,1329
1022,1,1,1329
1023,1,1,1329
1024,1,1,1329
1025,1,1,1329
1026,0,1,515
1027,1,0,6
1028,10,10,983
1029,10,10,983
1030,0,1,
1031,1,1,1327
1032,0,1,10
1033,1,1,10
1034,0,1,10
1035,0,1,362
1037,0,1,10
1038,5,0,27
1039,5,0,10
1040,1,1,
1041,0,1,640
1044,10,10,1333
1047,1,0,6
1048,5,5,10
1050,0,10,160
1051,1,1,1335
1053,0,10,1346
1056,0,10,1349
1057,0,10,1349
1058,1,1,1354
1059,1,1,1355
1060,1,1,1356
1062,1,1,1361
