id,doodad_func_craft_start_id,craft_id
625,36,2
626,37,2815
627,37,2815
628,37,2815
630,34,2811
636,39,38
637,39,39
638,39,35
639,39,40
646,41,2816
648,22,2652
649,22,2653
650,22,2654
651,22,2655
653,22,2657
654,22,2658
655,22,2659
656,22,2660
657,22,2661
658,22,2662
2185,23,214
2186,22,2817
2187,22,2818
2188,22,2819
2189,22,2820
2333,42,1101
2622,48,2663
2623,48,2664
2624,48,2665
2625,48,2666
2626,48,2667
2627,48,2668
2628,48,2669
2629,48,2670
2630,48,2671
2631,48,2672
2632,48,2673
2633,48,2674
2634,48,2675
2635,48,2676
2636,48,2677
2637,48,2678
2638,48,2679
2639,48,2680
2640,48,2677
2641,48,2821
2643,48,2822
2644,48,2823
2645,48,2824
2646,48,2825
2647,48,2826
2664,28,2841
2665,28,2842
2666,28,2843
2669,47,1127
2670,47,1128
2671,47,1129
2672,47,1130
2673,47,1131
2674,47,1132
2675,47,1133
2676,47,1134
2677,47,1135
2678,47,1136
2679,47,1137
2680,47,1138
2681,47,1139
2682,47,1140
2683,47,1141
2684,47,1142
2685,47,1143
2686,47,1144
2687,49,111
2688,50,111
2696,52,2845
2697,52,2846
2698,52,2847
2699,52,2854
2700,52,2855
2701,52,2856
2702,52,2857
2703,52,2859
2704,52,2860
2705,52,2863
2706,52,2862
2707,54,2864
2708,54,2865
2709,54,2866
2710,54,2868
2711,53,2869
2712,53,2870
2713,53,2867
2714,55,2869
2715,55,2870
2716,53,2871
2717,55,2872
2718,55,2873
2720,55,2874
2721,52,2875
2722,20,2876
2723,20,2877
2724,20,2878
2725,20,2879
2726,20,2880
2727,20,2881
2728,20,2882
2729,20,2883
2730,20,2884
2731,6,2885
2732,6,2886
2733,6,2887
2734,6,2888
2735,6,2889
2736,6,2890
2737,6,2891
2738,6,2892
2739,6,2893
2740,6,2894
2741,6,2895
2742,6,2896
2743,6,2897
2744,6,2898
2745,6,2899
2746,6,2900
2747,6,2901
2748,6,2902
2749,6,2903
2750,6,2904
2751,6,2905
2752,6,2906
2753,6,2907
2754,6,2908
2755,6,2909
2756,6,2910
2757,6,2911
2758,6,2912
2759,6,2913
2760,6,2914
2761,6,2915
2762,6,2916
2763,6,2917
2764,6,2918
2765,6,2919
2766,6,2920
2767,6,2921
2768,6,2922
2769,6,2923
2770,6,2924
2771,6,2925
2772,6,2926
2773,6,2927
2774,6,2928
2775,6,2929
2776,6,2930
2777,6,2931
2778,6,2932
2779,6,2933
2780,6,2934
2781,6,2935
2782,6,2936
2783,6,2937
2784,6,2938
2785,6,2939
2786,6,2940
2787,6,2959
2788,6,2960
2789,6,2961
2790,6,2962
2791,6,2963
2792,6,2964
2793,6,2965
2794,6,2966
2795,6,2967
2796,6,2968
2797,6,2969
2798,6,2970
2799,6,2971
2800,6,2972
2801,6,2973
2802,6,2974
2803,6,2975
2804,6,2976
2805,6,2977
2806,6,2978
2807,6,2979
2808,6,2980
2809,6,2981
2810,6,2982
2811,6,2983
2812,6,2984
2813,6,2985
2814,6,2986
2815,6,2987
2816,6,2988
2817,6,2989
2818,6,2990
2819,6,2991
2820,6,2992
2821,6,2993
2822,6,2994
2823,6,2995
2824,6,2996
2825,6,2997
2826,6,2998
2827,6,2999
2828,6,3000
2829,6,3001
2830,6,3002
2831,6,3003
2832,6,3004
2833,6,3005
2834,6,3006
2835,6,3007
2836,6,3008
2837,6,3009
2838,6,3010
2839,6,3011
2840,6,3012
2841,6,3013
2842,6,3014
2843,6,3015
2844,6,3016
2845,6,3017
2846,6,3018
2847,6,3019
2848,6,3020
2849,6,3021
2850,6,3022
2851,6,3023
2852,6,3024
2853,6,3025
2854,6,3026
2855,6,3027
2856,6,3028
2857,6,3029
2858,6,3030
2859,6,3031
2860,6,3032
2861,6,3033
2862,6,3034
2863,6,3035
2864,6,3036
2865,6,3037
2866,6,3038
2867,6,3039
2868,6,3040
2869,6,3041
2870,6,3042
2871,6,3043
2872,6,3044
2873,6,3045
2874,6,3046
2875,6,3047
2876,6,3048
2877,6,3049
2878,6,3050
2879,6,3051
2880,6,3052
2881,6,3053
2882,6,3054
2883,6,3055
2884,6,3056
2885,6,3057
2886,6,3058
2887,6,3059
2888,6,3060
2889,6,3061
2890,6,3062
2891,6,3063
2892,6,3064
2893,6,3065
2894,6,3066
2895,6,3067
2896,6,3068
2897,6,3069
2898,6,3070
2899,6,3071
2900,6,3072
2901,6,3073
2902,6,3074
2903,6,3075
2904,6,3076
2905,6,3077
2906,6,3078
2907,6,3079
2908,6,3080
2909,6,3081
2910,6,3082
2911,6,3083
2912,6,3084
2913,6,3085
2914,6,3086
2915,6,3087
2916,6,3088
2917,6,3089
2918,6,3090
2919,6,3091
2920,6,3092
2921,6,3093
2922,6,3094
2923,6,3095
2924,6,3096
2925,6,3097
2926,6,3098
2927,6,3099
2928,6,3100
2929,6,3101
2930,6,3102
2931,6,3103
2932,6,3104
2933,6,3105
2934,6,3106
2935,6,3107
2936,6,3108
2937,6,3109
2938,6,3110
2939,6,3111
2940,6,3112
2941,6,3113
2942,6,3114
2943,6,3115
2944,6,3116
2945,6,3117
2946,6,3118
2947,6,3119
2948,6,3120
2949,6,3121
2950,6,3122
2951,6,3123
2952,6,3124
2953,6,3125
2954,6,3126
2955,6,3127
2956,6,3128
2957,6,3129
2958,6,3130
2959,6,3131
2960,6,3132
2961,6,3133
2962,6,3134
2963,6,3135
2964,6,3136
2965,6,3137
2966,6,3138
2967,6,3139
2968,6,3140
2969,6,3141
2970,6,3142
2971,6,3143
2972,6,3144
2973,6,3145
2974,6,3146
2975,6,3147
2976,6,3148
2977,6,3149
2978,6,3150
2979,6,3151
2980,6,3152
2981,6,3153
2982,6,3154
2983,6,3155
2984,6,3156
2985,6,3157
2986,6,3158
2987,6,3159
2989,6,3161
2990,6,3162
2991,6,3163
2992,6,3164
3033,6,3259
3034,6,3260
3035,6,3261
3036,6,3262
3037,6,3263
3038,6,3264
3039,6,3265
3040,6,3266
3041,6,3267
3042,6,3268
3043,6,3269
3044,6,3270
3045,6,3271
3046,6,3272
3047,6,3273
3048,6,3274
3049,6,3275
3050,6,3276
3051,6,3277
3052,6,3278
3053,6,3279
3054,6,3280
3055,6,3281
3056,6,3282
3057,6,3283
3058,6,3284
3059,6,3285
3060,6,3286
3061,6,3287
3062,6,3288
3063,6,3289
3064,6,3290
3065,6,3291
3066,6,3292
3067,6,3293
3068,6,3294
3069,6,3295
3070,6,3296
3071,6,3297
3072,6,3298
3073,6,3299
3074,6,3300
3075,6,3301
3076,6,3302
3077,6,3303
3078,6,3304
3079,6,3305
3080,6,3306
3081,6,3307
3082,6,3308
3083,6,3309
3084,6,3310
3085,6,3311
3086,6,3312
3087,6,3313
3088,6,3314
3089,8,3795
3090,8,3796
3091,8,3797
3092,8,3798
3093,8,3799
3094,8,3800
3095,8,3801
3096,8,3802
3097,8,3803
3098,8,3804
3099,8,3805
3100,8,3806
3101,8,3807
3102,8,3808
3103,8,3809
3104,8,3810
3105,8,3811
3106,8,3812
3107,8,3813
3108,8,3814
3109,8,3815
3110,8,3816
3118,8,3824
3119,8,3825
3120,8,3826
3121,8,3827
3122,8,3828
3123,8,3829
3124,8,3830
3125,8,3831
3126,8,3832
3127,8,3833
3128,8,3834
3129,8,3835
3130,8,3836
3131,8,3837
3132,8,3838
3133,8,3839
3134,8,3840
3135,8,3841
3136,8,3842
3137,8,3843
3138,8,3844
3139,8,3845
3147,8,3853
3148,8,3854
3149,8,3855
3150,8,3856
3151,8,3857
3152,8,3858
3153,8,3859
3154,8,3860
3155,8,3861
3156,8,3862
3157,8,3863
3158,8,3864
3159,8,3865
3160,8,3866
3161,8,3867
3162,8,3868
3163,8,3869
3164,8,3870
3165,8,3871
3166,8,3872
3167,8,3873
3168,8,3874
3176,8,3882
3177,8,3883
3178,8,3884
3179,8,3885
3180,8,3886
3181,8,3887
3182,8,3888
3183,8,3889
3184,8,3890
3185,8,3891
3186,8,3892
3187,8,3893
3188,8,3894
3189,8,3895
3190,8,3896
3191,8,3897
3192,8,3898
3193,8,3899
3194,8,3900
3195,8,3901
3196,8,3902
3197,8,3903
3205,8,3911
3206,8,3912
3207,8,3913
3208,8,3914
3209,8,3915
3210,8,3916
3211,8,3917
3212,8,3918
3213,8,3919
3214,8,3920
3215,8,3921
3216,8,3922
3217,8,3923
3218,8,3924
3219,8,3925
3220,8,3926
3221,8,3927
3222,8,3928
3223,8,3929
3224,8,3930
3225,8,3931
3226,8,3932
3234,8,3940
3235,8,3941
3236,8,3942
3237,8,3943
3238,8,3944
3239,8,3945
3240,8,3946
3241,8,3947
3242,8,3948
3243,8,3949
3245,8,3950
3246,8,3951
3247,8,3952
3248,8,3953
3249,8,3954
3250,8,3955
3251,8,3956
3252,8,3957
3253,8,3958
3254,8,3959
3255,8,3960
3256,8,3961
3264,8,3969
3265,8,3970
3266,8,3971
3267,8,3972
3268,8,3973
3269,8,3974
3270,8,3975
3271,8,3976
3272,8,3977
3273,8,3978
3274,8,3979
3275,8,3980
3276,8,3981
3277,8,3982
3278,8,3983
3279,8,3984
3280,8,3985
3281,8,3986
3282,8,3987
3283,8,3988
3284,8,3989
3285,8,3990
3293,32,3592
3294,32,3593
3295,32,3594
3296,32,3595
3297,32,3596
3298,32,3597
3299,32,3598
3300,32,3599
3301,32,3600
3302,32,3601
3303,32,3602
3304,32,3603
3305,32,3604
3306,32,3605
3307,32,3606
3308,32,3607
3309,32,3608
3310,32,3609
3311,32,3610
3312,32,3611
3313,32,3612
3314,32,3613
3322,32,3621
3323,32,3622
3324,32,3623
3325,32,3624
3326,32,3625
3327,32,3626
3328,32,3627
3329,32,3628
3330,32,3629
3331,32,3630
3332,32,3631
3333,32,3632
3334,32,3633
3335,32,3634
3336,32,3635
3338,32,3636
3339,32,3637
3340,32,3638
3341,32,3639
3342,32,3640
3343,32,3641
3344,32,3642
3352,32,3650
3353,32,3651
3354,32,3652
3355,32,3653
3356,32,3654
3357,32,3655
3358,32,3656
3359,32,3657
3360,32,3658
3361,32,3659
3362,32,3660
3363,32,3661
3364,32,3662
3365,32,3663
3366,32,3664
3367,32,3665
3368,32,3666
3369,32,3667
3370,32,3668
3371,32,3669
3372,32,3670
3373,32,3671
3381,32,3679
3382,32,3680
3383,32,3681
3384,32,3682
3385,32,3683
3386,32,3684
3387,32,3685
3388,32,3686
3389,32,3687
3390,32,3688
3391,32,3689
3392,32,3690
3393,32,3691
3394,32,3692
3395,32,3693
3396,32,3694
3397,32,3695
3398,32,3696
3399,32,3697
3400,32,3698
3401,32,3699
3403,32,3700
3411,32,3708
3412,32,3709
3413,32,3710
3414,32,3711
3415,32,3712
3416,32,3713
3417,32,3714
3418,32,3715
3419,32,3716
3420,32,3717
3421,32,3718
3422,32,3719
3423,32,3720
3424,32,3721
3425,32,3722
3426,32,3723
3427,32,3724
3428,32,3725
3429,32,3726
3430,32,3727
3431,32,3728
3432,32,3729
3440,32,3737
3441,32,3738
3442,32,3739
3443,32,3740
3444,32,3741
3445,32,3742
3446,32,3743
3447,32,3744
3448,32,3745
3449,32,3746
3450,32,3747
3451,32,3748
3452,32,3749
3453,32,3750
3454,32,3751
3455,32,3752
3456,32,3753
3457,32,3754
3458,32,3755
3459,32,3756
3460,32,3757
3461,32,3758
3469,32,3766
3470,32,3767
3471,32,3768
3472,32,3769
3473,32,3770
3474,32,3771
3475,32,3772
3476,32,3773
3477,32,3774
3478,32,3775
3479,32,3776
3480,32,3777
3481,32,3778
3482,32,3779
3483,32,3780
3484,32,3781
3485,32,3782
3486,32,3783
3487,32,3784
3488,32,3785
3489,32,3786
3490,32,3787
3498,40,3389
3499,40,3390
3500,40,3391
3501,40,3392
3502,40,3393
3503,40,3394
3504,40,3395
3505,40,3396
3506,40,3397
3507,40,3398
3508,40,3399
3509,40,3400
3510,40,3401
3511,40,3402
3512,40,3403
3513,40,3404
3514,40,3405
3515,40,3406
3516,40,3407
3517,40,3408
3518,40,3409
3519,40,3410
3527,40,3418
3528,40,3419
3529,40,3420
3530,40,3421
3531,40,3422
3532,40,3423
3533,40,3424
3534,40,3425
3535,40,3426
3536,40,3427
3537,40,3428
3538,40,3429
3539,40,3430
3540,40,3431
3541,40,3432
3542,40,3433
3543,40,3434
3544,40,3435
3545,40,3436
3546,40,3437
3547,40,3438
3548,40,3439
3556,40,3447
3557,40,3448
3558,40,3449
3559,40,3450
3560,40,3451
3561,40,3452
3562,40,3453
3563,40,3454
3564,40,3455
3565,40,3456
3566,40,3457
3567,40,3458
3568,40,3459
3569,40,3460
3570,40,3461
3571,40,3462
3572,40,3463
3573,40,3464
3574,40,3465
3575,40,3466
3576,40,3467
3577,40,3468
3585,40,3476
3586,40,3477
3587,40,3478
3588,40,3479
3589,40,3480
3590,40,3481
3591,40,3482
3592,40,3483
3593,40,3484
3594,40,3485
3595,40,3486
3596,40,3487
3597,40,3488
3598,40,3489
3599,40,3490
3600,40,3491
3601,40,3492
3602,40,3493
3603,40,3494
3604,40,3495
3605,40,3496
3606,40,3497
3614,40,3505
3615,40,3506
3616,40,3507
3617,40,3508
3618,40,3509
3619,40,3510
3620,40,3511
3621,40,3512
3622,40,3513
3623,40,3514
3624,40,3515
3625,40,3516
3626,40,3517
3627,40,3518
3628,40,3519
3629,40,3520
3630,40,3521
3631,40,3522
3632,40,3523
3633,40,3524
3634,40,3525
3635,40,3526
3643,40,3534
3644,40,3535
3645,40,3536
3646,40,3537
3647,40,3538
3648,40,3539
3649,40,3540
3650,40,3541
3651,40,3542
3652,40,3543
3653,40,3544
3654,40,3545
3655,40,3546
3656,40,3547
3657,40,3548
3658,40,3549
3659,40,3550
3660,40,3551
3661,40,3552
3662,40,3553
3663,40,3554
3664,40,3555
3672,40,3563
3673,40,3564
3674,40,3565
3675,40,3566
3676,40,3567
3677,40,3568
3678,40,3569
3679,40,3570
3680,40,3571
3681,40,3572
3682,40,3573
3683,40,3574
3684,40,3575
3685,40,3576
3686,40,3577
3687,40,3578
3688,40,3579
3689,40,3580
3690,40,3581
3691,40,3582
3692,40,3583
3693,40,3584
3701,18,2941
3702,18,2942
3703,18,2943
3704,18,2944
3705,18,2945
3706,18,2946
3707,18,2947
3708,18,2948
3709,18,2949
3710,18,2950
3711,18,2951
3712,18,2952
3713,18,2953
3714,18,2954
3715,18,2955
3716,18,2956
3717,18,2957
3718,18,2958
3719,18,3315
3720,18,3316
3721,18,3317
3722,18,3318
3723,18,3319
3724,18,3320
3725,18,3321
3726,18,3322
3727,18,3323
3728,18,3324
3729,18,3325
3730,18,3326
3731,18,3327
3732,18,3328
3733,18,3329
3734,18,3330
3735,18,3331
3736,18,3332
3737,18,3333
3738,18,3334
3739,18,3335
3740,18,3336
3741,18,3337
3742,18,3338
3743,18,3339
3744,18,3340
3745,18,3341
3746,18,3342
3747,18,3343
3748,18,3344
3749,18,3345
3750,18,3346
3751,18,3347
3752,18,3348
3753,18,3349
3754,18,3350
3755,6,3160
3756,8,3165
3757,8,3166
3758,8,3167
3759,8,3168
3760,8,3169
3761,8,3170
3762,8,3171
3763,8,3172
3764,8,3173
3765,8,3174
3766,8,3175
3767,8,3176
3768,8,3177
3769,8,3178
3770,8,3179
3771,8,3180
3772,8,3181
3773,8,3182
3774,8,3183
3775,8,3184
3776,8,3185
3777,8,3186
3778,8,3187
3779,8,3188
3780,8,3189
3781,8,3190
3782,8,3191
3783,8,3192
3784,8,3193
3785,8,3194
3786,8,3195
3787,8,3196
3788,8,3197
3789,8,3198
3790,8,3199
3791,8,3200
3792,8,3201
3793,8,3202
3794,10,3203
3795,10,3204
3796,10,3205
3797,10,3206
3798,10,3207
3799,10,3208
3800,10,3209
3801,10,3210
3802,10,3211
3803,10,3212
3804,10,3213
3805,10,3214
3806,10,3215
3807,10,3216
3808,10,3217
3809,10,3218
3810,10,3219
3811,10,3220
3812,10,3221
3813,10,3222
3814,10,3223
3815,10,3224
3816,10,3225
3817,10,3226
3818,10,3227
3819,10,3228
3820,10,3229
3821,10,3230
3822,10,3231
3823,10,3232
3824,10,3233
3825,10,3234
3826,10,3235
3827,10,3236
3828,10,3237
3829,10,3238
3830,10,3239
3831,10,3240
3832,10,3241
3833,10,3242
3834,10,3243
3835,10,3244
3836,10,3245
3837,10,3246
3838,10,3247
3839,10,3248
3840,10,3249
3841,10,3250
3842,10,3251
3843,10,3252
3844,10,3253
3845,10,3254
3846,10,3255
3847,10,3256
3848,10,3257
3849,10,3258
3852,10,3351
3853,10,3352
3854,10,3353
3855,10,3354
3856,10,3355
3857,10,3356
3858,10,3357
3859,10,3358
3860,10,3359
3861,10,3360
3862,10,3361
3863,10,3362
3864,10,3363
3865,10,3364
3866,10,3365
3867,10,3366
3868,10,3367
3869,10,3368
3870,10,3369
3871,10,3370
3872,10,3371
3873,10,3372
3874,10,3373
3875,10,3374
3876,10,3375
3877,10,3376
3878,10,3377
3879,10,3378
3880,10,3379
3881,10,3380
3882,10,3381
3883,10,3382
3884,10,3383
3885,10,3384
3886,10,3385
3887,10,3386
3888,10,3387
3889,10,3388
3890,27,4004
3891,27,4005
3896,12,83
3897,12,84
3898,12,85
3899,12,4008
3900,15,2831
3901,15,2833
3902,15,2832
3903,15,4010
3904,15,4011
3905,15,4009
3906,14,122
3907,14,123
3908,14,124
3909,14,125
3910,13,115
3911,13,116
3912,13,117
3913,13,118
3914,13,4007
3916,11,77
3917,11,2836
3918,11,78
3919,11,80
3920,11,2838
3921,11,82
3922,11,2837
3925,11,4006
3927,20,79
3928,20,2834
3929,20,4012
3930,18,4013
3931,18,4014
3933,18,4016
3935,18,4018
3936,18,4019
3937,18,4020
3938,18,4021
3939,18,4022
3940,18,4023
3941,18,4024
3942,18,4025
3943,18,4026
3944,18,4027
3945,18,4028
3946,18,4029
3947,18,4030
3948,18,4031
3949,18,4032
3950,18,4033
3951,18,4034
3952,18,4035
3953,18,4036
3954,18,4037
3955,18,4038
3956,18,4039
3957,18,4040
3958,18,4041
3959,18,4042
3960,18,4043
3961,18,4044
3962,18,4045
3963,18,4046
3964,18,4047
3965,22,2821
3967,10,2824
3968,15,2674
3969,6,4048
3970,27,3998
3971,6,4049
3972,6,4050
3973,6,4051
3974,6,4052
3975,6,4053
3976,6,4054
3977,6,4055
3978,6,4056
3979,6,4057
3982,6,4060
3983,6,4061
3984,10,4058
3985,10,4059
3986,10,4062
3987,8,4063
3988,10,86
3989,56,87
3990,56,2621
3992,57,3004
3993,57,3507
3994,10,4064
3995,10,4065
3996,12,4066
3997,27,4069
3998,27,4070
3999,27,4071
4000,27,4072
4005,20,4093
4006,8,4092
4007,18,4077
4008,18,4078
4009,18,4079
4010,18,4080
4011,18,4081
4012,18,4082
4013,18,4083
4014,18,4084
4015,18,4085
4016,18,4086
4017,18,4087
4018,18,4088
4019,18,4089
4020,18,4090
4021,18,4091
4022,14,4094
4023,22,4095
4024,22,4096
4025,22,4097
4026,27,4073
4027,27,4074
4028,27,4075
4029,27,4076
4030,10,4098
4031,22,4099
4032,58,4100
4033,58,4102
4034,58,4094
4035,58,4103
4036,58,4104
4037,58,4105
4038,58,4106
4039,58,4107
4040,58,86
4041,10,4102
4042,10,4103
4043,10,4104
4044,10,4105
4045,10,4106
4046,10,4107
4047,8,4100
4048,10,4101
4049,20,5314
4050,20,5315
4051,20,5316
