id,stance_id,normal_speed,max_speed,height_collider,height_pivot,size_x,size_y,size_z,model_offset_x,model_offset_y,model_offset_z,view_offset_x,view_offset_y,view_offset_z,name,use_capsule,actor_model_id,ai_move_speed_slow,ai_move_speed_walk,ai_move_speed_run,ai_move_speed_sprint,weapon_offset_x,weapon_offset_y,weapon_offset_z
102,6,0.6,5.4,1.0,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,4,1.8,1.8,5.4,5.4,,,
103,7,0.5,3.0,1.4,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,4,1.8,1.8,5.4,5.4,,,
104,8,0.5,1.0,0.5,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,4,1.8,1.8,5.4,5.4,,,
105,1,1.0,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,5,1.8,1.8,5.4,5.4,,,
106,2,1.5,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,5,1.8,1.8,5.4,5.4,,,
107,3,1.0,3.0,0.9,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,5,1.8,1.8,3.0,3.0,,,
108,4,1.0,3.0,0.9,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,5,1.8,1.8,3.0,3.0,,,
109,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,5,1.8,1.8,5.4,5.4,,,
110,6,0.6,5.4,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,5,1.8,1.8,5.4,5.4,,,
111,7,0.5,3.0,1.4,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,5,1.8,1.8,5.4,5.4,,,
112,8,0.5,1.0,0.5,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,5,1.8,1.8,5.4,5.4,,,
113,1,1.0,5.4,0.85,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,6,1.8,1.8,5.4,5.4,,,
114,2,1.5,5.4,1.05,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,6,1.8,1.8,5.4,5.4,,,
115,3,1.0,3.0,0.9,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,6,1.8,1.8,3.0,3.0,,,
116,4,1.0,3.0,0.9,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,6,1.8,1.8,3.0,3.0,,,
117,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,6,1.8,1.8,5.4,5.4,,,
118,6,0.6,5.4,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,6,1.8,1.8,5.4,5.4,,,
119,7,0.5,3.0,1.4,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,6,1.8,1.8,5.4,5.4,,,
120,8,0.5,1.0,0.5,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,6,1.8,1.8,5.4,5.4,,,
121,1,1.0,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,7,1.8,1.8,5.4,5.4,,,
122,2,1.5,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,7,1.8,1.8,5.4,5.4,,,
123,3,1.0,3.0,1.2,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,7,1.8,1.8,3.0,3.0,,,
124,4,1.0,3.0,1.2,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,7,1.8,1.8,3.0,3.0,,,
125,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,7,1.8,1.8,5.4,5.4,,,
126,6,0.6,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,7,1.8,1.8,5.4,5.4,,,
127,7,0.5,3.0,1.2,0.0,0.4,0.4,0.25,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,7,1.8,1.8,5.4,5.4,,,
128,8,0.5,1.0,1.2,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,7,1.8,1.8,5.4,5.4,,,
129,1,1.0,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,8,1.8,1.8,5.4,5.4,,,
130,2,1.5,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,8,1.8,1.8,5.4,5.4,,,
131,3,1.0,3.0,1.2,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,8,1.8,1.8,3.0,3.0,,,
132,4,1.0,3.0,1.2,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,8,1.8,1.8,3.0,3.0,,,
133,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,8,1.8,1.8,5.4,5.4,,,
134,6,0.6,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,8,1.8,1.8,5.4,5.4,,,
135,7,0.5,3.0,1.2,0.0,0.4,0.4,0.25,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,8,1.8,1.8,5.4,5.4,,,
136,8,0.5,1.0,1.2,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,8,1.8,1.8,5.4,5.4,,,
137,1,1.0,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,9,1.8,1.8,5.4,5.4,,,
138,2,1.5,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,9,1.8,1.8,5.4,5.4,,,
139,3,1.0,3.0,1.2,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,9,1.8,1.8,3.0,3.0,,,
140,4,1.0,3.0,1.2,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,9,1.8,1.8,3.0,3.0,,,
141,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,9,1.8,1.8,5.4,5.4,,,
142,6,0.6,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,9,1.8,1.8,5.4,5.4,,,
143,7,0.5,3.0,1.2,0.0,0.4,0.4,0.25,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,9,1.8,1.8,5.4,5.4,,,
144,8,0.5,1.0,1.2,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,9,1.8,1.8,5.4,5.4,,,
145,1,1.0,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,10,1.8,1.8,5.4,5.4,,,
146,2,1.5,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,10,1.8,1.8,5.4,5.4,,,
147,3,1.0,3.0,1.2,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,10,1.8,1.8,3.0,3.0,,,
148,4,1.0,3.0,1.2,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,10,1.8,1.8,3.0,3.0,,,
149,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,10,1.8,1.8,5.4,5.4,,,
150,6,0.6,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,10,1.8,1.8,5.4,5.4,,,
151,7,0.5,3.0,1.2,0.0,0.4,0.4,0.25,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,10,1.8,1.8,5.4,5.4,,,
152,8,0.5,1.0,1.2,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,10,1.8,1.8,5.4,5.4,,,
153,1,1.0,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,11,1.8,1.8,5.4,5.4,,,
154,2,1.5,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,11,1.8,1.8,5.4,5.4,,,
155,3,1.0,3.0,1.2,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,11,1.8,1.8,3.0,3.0,,,
156,4,1.0,3.0,1.2,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,11,1.8,1.8,3.0,3.0,,,
157,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,11,1.8,1.8,5.4,5.4,,,
158,6,0.6,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,11,1.8,1.8,5.4,5.4,,,
159,7,0.5,3.0,1.2,0.0,0.2,0.2,0.25,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,11,1.8,1.8,5.4,5.4,,,
160,8,0.5,1.0,1.2,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,11,1.8,1.8,5.4,5.4,,,
161,1,1.0,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,12,1.8,1.8,5.4,5.4,,,
162,2,1.5,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,12,1.8,1.8,5.4,5.4,,,
163,3,1.0,3.0,1.2,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,12,1.8,1.8,3.0,3.0,,,
164,4,1.0,3.0,1.3,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,12,1.8,1.8,3.0,3.0,,,
165,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,12,1.8,1.8,5.4,5.4,,,
166,6,0.6,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,12,1.8,1.8,5.4,5.4,,,
167,7,0.5,3.0,1.2,0.0,0.2,0.2,0.25,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,12,1.8,1.8,5.4,5.4,,,
168,8,0.5,1.0,1.2,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,12,1.8,1.8,5.4,5.4,,,
169,1,1.0,5.4,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,13,1.8,1.8,5.4,5.4,,,
170,2,1.5,5.4,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,13,1.8,1.8,5.4,5.4,,,
171,3,1.0,3.0,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,13,1.8,1.8,3.0,3.0,,,
172,4,1.0,3.0,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,13,1.8,1.8,3.0,3.0,,,
173,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,13,1.8,1.8,5.4,5.4,,,
174,6,0.6,5.4,1.0,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,13,1.8,1.8,5.4,5.4,,,
175,7,0.5,3.0,1.4,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,13,1.8,1.8,5.4,5.4,,,
176,8,0.5,1.0,0.5,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,13,1.8,1.8,5.4,5.4,,,
177,1,1.0,4.4,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,14,1.8,1.8,5.4,5.4,,,
178,2,1.5,4.4,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,14,1.8,1.8,5.4,5.4,,,
179,3,1.0,3.8,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,14,1.8,1.8,5.4,5.4,,,
180,4,1.0,3.8,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,14,1.8,1.8,5.4,5.4,,,
181,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,14,1.8,1.8,5.4,5.4,,,
182,6,0.6,3.0,1.0,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,14,1.8,1.8,5.4,5.4,,,
183,7,0.5,3.0,1.4,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,14,1.8,1.8,5.4,5.4,,,
184,8,0.5,1.0,0.5,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,14,1.8,1.8,5.4,5.4,,,
185,1,1.0,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,15,1.8,1.8,5.4,5.4,,,
186,2,1.5,5.4,1.2,0.0,0.4,0.4,0.32,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,15,1.8,1.8,5.4,5.4,,,
187,3,1.0,3.0,0.9,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,15,1.8,1.8,3.0,3.0,,,
188,4,1.0,3.0,0.9,0.0,0.65,0.65,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,15,1.8,1.8,3.0,3.0,,,
189,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,15,1.8,1.8,5.4,5.4,,,
190,6,0.6,5.4,1.0,0.0,0.4,0.4,0.15,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,15,1.8,1.8,5.4,5.4,,,
191,7,0.5,3.0,1.4,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,15,1.8,1.8,5.4,5.4,,,
192,8,0.5,1.0,0.5,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,15,1.8,1.8,5.4,5.4,,,
193,1,1.0,4.4,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,16,1.8,1.8,5.4,5.4,,,
194,2,1.5,4.4,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,16,1.8,1.8,5.4,5.4,,,
195,3,1.0,3.8,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,16,1.8,1.8,5.4,5.4,,,
196,4,1.0,3.8,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,16,1.8,1.8,5.4,5.4,,,
197,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,16,1.8,1.8,5.4,5.4,,,
198,6,0.6,3.0,1.0,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,16,1.8,1.8,5.4,5.4,,,
199,7,0.5,3.0,1.4,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,16,1.8,1.8,5.4,5.4,,,
200,8,0.5,1.0,0.5,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,16,1.8,1.8,5.4,5.4,,,
201,1,1.0,5.0,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,17,1.8,1.8,5.4,5.4,,,
202,2,1.5,4.5,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,17,1.8,1.8,5.4,5.4,,,
203,3,1.0,3.8,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,17,1.8,1.8,5.4,5.4,,,
204,4,1.0,3.8,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,17,1.8,1.8,5.4,5.4,,,
205,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,17,1.8,1.8,5.4,5.4,,,
206,6,0.6,3.0,1.0,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,17,1.8,1.8,5.4,5.4,,,
207,7,0.5,3.0,1.4,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,17,1.8,1.8,5.4,5.4,,,
208,8,0.5,1.0,0.5,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,17,1.8,1.8,5.4,5.4,,,
209,1,1.0,5.0,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,18,1.8,1.8,5.4,5.4,,,
210,2,1.5,4.5,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,18,1.8,1.8,5.4,5.4,,,
211,3,1.0,3.8,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,18,1.8,1.8,5.4,5.4,,,
212,4,1.0,3.8,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,18,1.8,1.8,5.4,5.4,,,
213,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,18,1.8,1.8,5.4,5.4,,,
214,6,0.6,3.0,1.0,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,18,1.8,1.8,5.4,5.4,,,
215,7,0.5,3.0,1.4,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,18,1.8,1.8,5.4,5.4,,,
216,8,0.5,1.0,0.5,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,18,1.8,1.8,5.4,5.4,,,
217,1,1.0,5.0,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,19,1.8,1.8,5.4,5.4,,,
218,2,1.5,4.5,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,19,1.8,1.8,5.4,5.4,,,
219,3,1.0,3.8,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,19,1.8,1.8,5.4,5.4,,,
220,4,1.0,3.8,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,19,1.8,1.8,5.4,5.4,,,
221,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,19,1.8,1.8,5.4,5.4,,,
222,6,0.6,3.0,1.0,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,19,1.8,1.8,5.4,5.4,,,
223,7,0.5,3.0,1.4,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,19,1.8,1.8,5.4,5.4,,,
224,8,0.5,1.0,0.5,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,19,1.8,1.8,5.4,5.4,,,
225,1,1.0,5.0,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,20,1.8,1.8,5.4,5.4,,,
226,2,1.5,4.5,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,20,1.8,1.8,5.4,5.4,,,
227,3,1.0,3.8,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,20,1.8,1.8,5.4,5.4,,,
228,4,1.0,3.8,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,20,1.8,1.8,5.4,5.4,,,
229,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,20,1.8,1.8,5.4,5.4,,,
230,6,0.6,3.0,1.0,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,stealth,t,20,1.8,1.8,5.4,5.4,,,
231,7,0.5,3.0,1.4,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,1.4,crouch,t,20,1.8,1.8,5.4,5.4,,,
232,8,0.5,1.0,0.5,0.0,0.4,0.4,0.01,0.0,0.0,0.0,0.0,0.5,0.5,prone,t,20,1.8,1.8,5.4,5.4,,,
233,1,1.0,5.0,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,combat,t,21,1.8,1.8,5.4,5.4,,,
234,2,1.5,4.5,1.2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.7,relaxed,t,21,1.8,1.8,5.4,5.4,,,
235,3,1.0,3.8,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,swim,t,21,1.8,1.8,5.4,5.4,,,
236,4,1.0,3.8,0.9,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.7,coswim,t,21,1.8,1.8,5.4,5.4,,,
237,5,1.8,3.8,1.2,1.0,0.4,0.4,0.6,0.0,0.0,-1.0,0.0,0.0,1.7,combat,t,21,1.8,1.8,5.4,5.4,,,
