id,model_id,name,normal,specular,npc_only
63,20,login_stage010,objects\Characters\ferre\male\face\normal_custom\fe_m_face_normal010_ddn.dds,,f
64,21,login_stage000,objects\Characters\ferre\female\face\normal_custom\fe_f_face_normal000_ddn.dds,,f
65,21,login_stage001,objects\Characters\ferre\female\face\normal_custom\fe_f_face_normal001_ddn.dds,,f
66,21,login_stage002,objects\Characters\ferre\female\face\normal_custom\fe_f_face_normal002_ddn.dds,,f
67,21,login_stage003,objects\Characters\ferre\female\face\normal_custom\fe_f_face_normal003_ddn.dds,,f
68,21,login_stage004,objects\Characters\ferre\female\face\normal_custom\fe_f_face_normal004_ddn.dds,,f
69,21,login_stage005,objects\Characters\ferre\female\face\normal_custom\fe_f_face_normal005_ddn.dds,,f
70,21,login_stage006,objects\Characters\ferre\female\face\normal_custom\fe_f_face_normal006_ddn.dds,,f
71,21,login_stage007,objects\Characters\ferre\female\face\normal_custom\fe_f_face_normal007_ddn.dds,,f
72,21,login_stage008,objects\Characters\ferre\female\face\normal_custom\fe_f_face_normal008_ddn.dds,,f
73,21,login_stage009,objects\Characters\ferre\female\face\normal_custom\fe_f_face_normal009_ddn.dds,,f
74,21,login_stage010,objects\Characters\ferre\female\face\normal_custom\fe_f_face_normal010_ddn.dds,,f
75,21,login_stage011,objects\Characters\ferre\female\face\normal_custom\fe_f_face_normal011_ddn.dds,,f
76,10,login_stage012,objects\Characters\nuian\male\face\normal_custom\nu_m_face_normal012_ddn.dds,,f
77,10,login_stage013,objects\Characters\nuian\male\face\normal_custom\nu_m_face_normal013_ddn.dds,,f
78,10,login_stage014,objects\Characters\nuian\male\face\normal_custom\nu_m_face_normal014_ddn.dds,,f
79,10,login_stage015,objects\Characters\nuian\male\face\normal_custom\nu_m_face_normal015_ddn.dds,,f
80,10,login_stage016,objects\Characters\nuian\male\face\normal_custom\nu_m_face_normal016_ddn.dds,,f
81,11,login_stage009,objects\Characters\nuian\female\face\normal_custom\nu_f_face_normal009_ddn.dds,,f
82,11,login_stage010,objects\Characters\nuian\female\face\normal_custom\nu_f_face_normal010_ddn.dds,,f
83,11,login_stage011,objects\Characters\nuian\female\face\normal_custom\nu_f_face_normal011_ddn.dds,,f
84,11,login_stage012,objects\Characters\nuian\female\face\normal_custom\nu_f_face_normal012_ddn.dds,,f
85,11,login_stage013,objects\Characters\nuian\female\face\normal_custom\nu_f_face_normal013_ddn.dds,,f
86,18,login_stage005,objects\Characters\hariharan\male\face\normal_custom\ha_m_face_normal005_ddn.dds,,f
87,18,login_stage006,objects\Characters\hariharan\male\face\normal_custom\ha_m_face_normal006_ddn.dds,,f
88,18,login_stage007,objects\Characters\hariharan\male\face\normal_custom\ha_m_face_normal007_ddn.dds,,f
89,18,login_stage008,objects\Characters\hariharan\male\face\normal_custom\ha_m_face_normal008_ddn.dds,,f
90,18,login_stage009,objects\Characters\hariharan\male\face\normal_custom\ha_m_face_normal009_ddn.dds,,f
91,19,login_stage008,objects\Characters\hariharan\female\face\normal_custom\ha_f_face_normal008_ddn.dds,,f
92,19,login_stage009,objects\Characters\hariharan\female\face\normal_custom\ha_f_face_normal009_ddn.dds,,f
93,19,login_stage010,objects\Characters\hariharan\female\face\normal_custom\ha_f_face_normal010_ddn.dds,,f
94,19,login_stage011,objects\Characters\hariharan\female\face\normal_custom\ha_f_face_normal011_ddn.dds,,f
95,19,login_stage012,objects\Characters\hariharan\female\face\normal_custom\ha_f_face_normal012_ddn.dds,,f
96,16,login_stage008,objects\Characters\elf\male\face\normal_custom\el_m_face_normal008_ddn.dds,,f
97,16,login_stage009,objects\Characters\elf\male\face\normal_custom\el_m_face_normal009_ddn.dds,,f
98,20,login_stage011,objects\Characters\ferre\male\face\normal_custom\fe_m_face_normal011_ddn.dds,,f
99,16,login_stage010,objects\Characters\elf\male\face\normal_custom\el_m_face_normal010_ddn.dds,,f
100,20,login_stage012,objects\Characters\ferre\male\face\normal_custom\fe_m_face_normal012_ddn.dds,,f
101,20,login_stage013,objects\Characters\ferre\male\face\normal_custom\fe_m_face_normal013_ddn.dds,,f
102,16,login_stage011,objects\Characters\elf\male\face\normal_custom\el_m_face_normal011_ddn.dds,,f
103,21,login_stage012,objects\Characters\ferre\female\face\normal_custom\fe_f_face_normal012_ddn.dds,,f
104,21,login_stage013,objects\Characters\ferre\female\face\normal_custom\fe_f_face_normal013_ddn.dds,,f
105,16,login_stage012,objects\Characters\elf\male\face\normal_custom\el_m_face_normal012_ddn.dds,,f
106,21,login_stage014,objects\Characters\ferre\female\face\normal_custom\fe_f_face_normal014_ddn.dds,,f
107,17,login_stage007,objects\Characters\elf\female\face\normal_custom\el_f_face_normal007_ddn.dds,,f
108,17,login_stage008,objects\Characters\elf\female\face\normal_custom\el_f_face_normal008_ddn.dds,,f
109,17,login_stage009,objects\Characters\elf\female\face\normal_custom\el_f_face_normal009_ddn.dds,,f
110,17,login_stage010,objects\Characters\elf\female\face\normal_custom\el_f_face_normal010_ddn.dds,,f
111,17,login_stage011,objects\Characters\elf\female\face\normal_custom\el_f_face_normal011_ddn.dds,,f
