id,event_id,position,next_event_id,per_target,casting,delay,speed,channeling,casting_inc,add_anim_cs_time,casting_delayable,casting_cancelable,cancel_on_big_hit,use_exe_time,fail
211,176,1,25,f,f,0,0,f,0,f,f,f,f,f,f
212,178,1,176,f,f,0,0,f,0,f,f,f,f,f,f
237,197,1,198,f,f,1790,0,f,0,f,f,f,f,f,f
238,197,2,199,f,f,1800,0,f,0,f,f,f,f,f,f
239,197,3,200,f,f,1810,0,f,0,f,f,f,f,f,f
240,197,4,201,f,f,1820,0,f,0,f,f,f,f,f,f
247,209,1,210,f,t,2000,0,f,40,f,t,f,f,f,f
249,210,1,211,f,f,0,0,f,0,f,f,f,f,f,f
250,211,2,212,f,f,200,0,f,0,f,f,f,f,f,f
256,221,1,215,f,f,3000,0,f,0,f,f,f,f,f,f
257,221,2,219,f,f,3300,0,f,0,f,f,f,f,f,f
258,221,3,220,f,f,3600,0,f,0,f,f,f,f,f,f
259,222,1,223,f,f,1250,0,f,0,f,f,f,f,f,f
260,222,2,224,f,f,1100,0,f,0,f,f,f,f,f,f
261,225,1,227,f,f,1100,0,f,0,f,f,f,f,f,f
262,225,2,226,f,f,1250,0,f,0,f,f,f,f,f,f
264,229,2,231,f,f,200,0,f,0,f,f,f,f,f,f
268,210,2,229,f,f,200,0,f,0,f,f,f,f,f,f
272,235,2,237,f,f,200,0,f,0,f,f,f,f,f,f
276,210,3,235,f,f,400,0,f,0,f,f,f,f,f,f
277,25,2,177,f,f,1000,0,f,0,f,f,f,f,f,f
278,25,3,464,f,f,1500,0,f,0,f,f,f,f,f,f
286,2,1,247,f,f,0,0,f,0,f,f,f,f,f,f
288,246,1,246,f,f,500,0,f,0,f,f,f,f,f,f
289,246,2,1159,f,f,0,0,f,0,f,f,f,f,f,f
290,247,1,246,f,f,0,0,f,0,f,f,f,f,f,f
291,247,2,248,f,f,7000,0,t,0,f,f,f,f,f,f
302,257,1,258,f,f,0,0,f,0,f,f,f,f,f,f
308,265,1,259,f,f,0,0,f,0,f,f,f,f,f,f
309,266,1,260,f,f,0,0,f,0,f,f,f,f,f,f
311,258,1,265,f,f,500,0,f,0,f,f,f,f,f,f
312,259,1,266,f,f,500,0,f,0,f,f,f,f,f,f
313,260,1,263,f,f,500,0,f,0,f,f,f,f,f,f
314,268,1,264,f,f,500,0,f,0,f,f,f,f,f,f
315,263,1,268,f,f,0,0,f,0,f,f,f,f,f,f
317,264,1,269,f,f,0,0,f,0,f,f,f,f,f,f
318,271,1,270,f,f,0,0,f,0,f,f,f,f,f,f
319,269,1,271,f,f,500,0,f,0,f,f,f,f,f,f
320,270,1,272,f,f,500,0,f,0,f,f,f,f,f,f
325,279,1,280,f,f,500,0,f,0,f,f,f,f,f,f
326,279,2,281,f,f,1000,0,f,0,f,f,f,f,f,f
329,284,1,285,f,f,0,0,f,0,f,f,f,f,f,f
330,285,2,286,f,f,0,0,f,0,f,f,f,f,f,f
331,285,1,284,f,f,500,0,f,0,f,f,f,f,f,f
334,289,1,290,f,f,1200,0,f,0,f,f,f,f,f,f
338,285,3,294,f,f,500,0,f,0,f,f,f,f,f,f
362,318,1,319,f,f,2000,0,f,0,f,f,f,f,f,f
363,319,1,320,f,f,0,0,f,0,f,f,f,f,f,f
364,318,2,318,f,f,500,0,f,0,f,f,f,f,f,f
365,321,1,322,f,f,0,0,f,0,f,f,f,f,f,f
366,318,3,321,f,f,3000,0,f,0,f,f,f,f,f,f
368,318,4,323,f,f,1500,0,f,0,f,f,f,f,f,f
371,326,1,327,f,t,2000,0,f,0,f,f,f,f,f,f
398,309,1,310,f,f,0,0,f,0,f,f,f,f,f,f
399,313,1,314,f,f,0,0,f,0,f,f,f,f,f,f
400,316,1,309,f,f,2000,0,f,0,f,f,f,f,f,f
401,316,2,316,f,f,500,0,f,0,f,f,f,f,f,f
402,316,3,313,f,f,3000,0,f,0,f,f,f,f,f,f
403,316,4,315,f,f,1500,0,f,0,f,f,f,f,f,f
405,344,1,347,f,f,700,0,f,0,f,f,f,f,f,f
408,351,1,351,f,f,500,0,f,0,f,f,f,f,f,f
410,352,1,354,f,f,1000,0,f,0,f,f,f,f,f,f
411,355,1,356,f,f,250,0,f,0,f,f,f,f,f,f
412,356,1,357,f,f,200,0,f,0,f,f,f,f,f,f
413,357,1,358,f,f,150,0,f,0,f,f,f,f,f,f
414,359,1,360,f,f,50,0,f,0,f,f,f,f,f,f
415,358,1,359,f,f,100,0,f,0,f,f,f,f,f,f
416,361,1,355,f,f,700,0,f,0,f,f,f,f,f,f
421,364,1,367,f,f,0,0,f,0,f,f,f,f,f,f
422,365,1,366,f,f,0,0,f,0,f,f,f,f,f,f
423,366,1,364,f,f,100,0,f,0,f,f,f,f,f,f
425,367,1,365,f,f,0,0,f,0,f,f,f,f,f,f
430,368,1,364,f,f,0,0,f,0,f,f,f,f,f,f
431,369,1,370,f,f,0,0,f,0,f,f,f,f,f,f
432,370,1,371,f,f,0,0,f,0,f,f,f,f,f,f
433,371,1,372,f,f,0,0,f,0,f,f,f,f,f,f
434,372,1,369,f,f,100,0,f,0,f,f,f,f,f,f
436,373,1,374,f,f,0,0,f,0,f,f,f,f,f,f
437,374,1,375,f,f,0,0,f,0,f,f,f,f,f,f
438,375,1,376,f,f,0,0,f,0,f,f,f,f,f,f
439,376,1,373,f,f,100,0,f,0,f,f,f,f,f,f
441,366,2,377,f,f,100,0,f,0,f,f,f,f,f,f
442,368,2,369,f,f,500,0,f,0,f,f,f,f,f,f
443,368,3,373,f,f,1000,0,f,0,f,f,f,f,f,f
444,376,2,379,f,f,100,0,f,0,f,f,f,f,f,f
445,372,2,378,f,f,100,0,f,0,f,f,f,f,f,f
462,389,3,390,f,f,1900,0,f,0,f,f,f,f,f,f
463,389,1,392,f,f,1300,0,f,0,f,f,f,f,f,f
465,289,2,291,f,f,1300,0,f,0,f,f,f,f,f,f
466,289,3,292,f,f,1400,0,f,0,f,f,f,f,f,f
467,289,4,293,f,f,2400,0,f,0,f,f,f,f,f,f
470,389,5,396,f,f,900,0,f,0,f,f,f,f,f,f
472,389,7,397,f,f,1700,0,f,0,f,f,f,f,f,f
474,389,2,392,f,f,2600,0,f,0,f,f,f,f,f,f
475,389,4,390,f,f,3300,0,f,0,f,f,f,f,f,f
476,389,6,396,f,f,2300,0,f,0,f,f,f,f,f,f
477,389,8,397,f,f,2900,0,f,0,f,f,f,f,f,f
480,399,1,400,f,f,0,0,f,0,f,f,f,f,f,f
481,400,1,401,f,f,0,0,f,0,f,f,f,f,f,f
482,401,1,402,f,f,0,0,f,0,f,f,f,f,f,f
485,404,1,405,f,f,0,0,f,0,f,f,f,f,f,f
486,405,1,406,f,f,0,0,f,0,f,f,f,f,f,f
489,408,1,409,f,f,0,0,f,0,f,f,f,f,f,f
490,409,1,410,f,f,0,0,f,0,f,f,f,f,f,f
498,399,2,404,f,f,50,0,f,0,f,f,f,f,f,f
499,399,3,408,f,f,100,0,f,0,f,f,f,f,f,f
501,402,1,400,f,f,25,0,f,0,f,f,f,f,f,f
502,406,1,404,f,f,25,0,f,0,f,f,f,f,f,f
503,410,1,408,f,f,25,0,f,0,f,f,f,f,f,f
504,417,1,418,f,f,0,0,f,0,f,f,f,f,f,f
505,418,1,419,f,f,0,0,f,0,f,f,f,f,f,f
506,419,1,417,f,f,25,0,f,0,f,f,f,f,f,f
507,399,4,417,f,f,150,0,f,0,f,f,f,f,f,f
508,402,2,420,f,f,25,0,f,0,f,f,f,f,f,f
509,406,2,421,f,f,25,0,f,0,f,f,f,f,f,f
510,410,2,422,f,f,25,0,f,0,f,f,f,f,f,f
511,419,2,423,f,f,25,0,f,0,f,f,f,f,f,f
513,424,1,425,f,f,0,0,f,0,f,f,f,f,f,f
514,327,1,424,f,f,0,0,f,0,f,f,f,f,f,f
515,424,2,428,f,f,10000,0,t,0,f,f,f,f,f,f
516,425,1,426,f,f,0,0,f,0,f,f,f,f,f,f
517,426,1,427,f,f,0,0,f,0,f,f,f,f,f,f
522,425,2,425,f,f,300,0,f,0,f,f,f,f,f,f
523,430,1,429,f,f,0,0,f,0,f,f,f,f,f,f
526,424,3,430,f,f,0,0,f,0,f,f,f,f,f,f
530,429,1,430,f,f,1000,0,f,0,f,f,f,f,f,f
535,435,1,436,f,t,2000,0,f,0,f,f,f,f,f,f
536,436,1,437,f,f,0,0,f,0,f,f,f,f,f,f
537,437,1,438,f,f,0,0,f,0,f,f,f,f,f,f
538,436,2,440,f,f,10000,0,t,0,f,f,f,f,f,f
539,437,2,437,f,f,100,0,f,0,f,f,f,f,f,f
541,441,1,439,f,f,0,0,f,0,f,f,f,f,f,f
542,436,3,441,f,f,0,0,f,0,f,f,f,f,f,f
551,448,1,451,f,t,2000,0,f,0,f,f,f,f,f,f
553,448,2,450,f,t,2800,0,f,0,f,f,f,f,f,f
555,453,1,455,f,t,2000,0,f,0,f,f,f,f,f,f
560,459,1,460,f,f,1000,0,f,0,f,f,f,f,f,f
564,464,1,179,f,f,0,0,f,0,f,f,f,f,f,f
565,465,1,466,f,t,2000,0,f,0,f,f,f,f,f,f
566,466,1,467,f,f,0,0,f,0,f,f,f,f,f,f
567,467,1,468,f,f,900,0,f,0,f,f,f,f,f,f
568,468,1,470,f,f,300,0,f,0,f,f,f,f,f,f
569,470,1,469,f,f,0,0,f,0,f,f,f,f,f,f
570,470,2,470,f,f,10,0,f,0,f,f,f,f,f,f
571,469,1,471,f,f,100,0,f,0,f,f,f,f,f,f
600,500,1,501,f,f,0,0,f,0,f,f,f,f,f,f
601,501,1,502,f,f,0,0,f,0,f,f,f,f,f,f
602,502,1,503,f,f,0,0,f,0,f,f,f,f,f,f
603,503,1,504,f,f,0,0,f,0,f,f,f,f,f,f
605,502,2,502,f,f,100,0,f,0,f,f,f,f,f,f
606,502,3,506,f,f,100,0,f,0,f,f,f,f,f,f
607,506,1,505,f,f,0,0,f,0,f,f,f,f,f,f
609,505,1,507,f,f,0,0,f,0,f,f,f,f,f,f
610,505,2,505,f,f,0,0,f,0,f,f,f,f,f,f
611,501,3,508,f,f,5000,0,f,0,f,f,f,f,f,f
621,501,2,518,f,f,0,0,f,0,f,f,f,f,f,f
622,517,1,519,f,f,0,0,f,0,f,f,f,f,f,f
623,519,1,521,f,f,0,0,f,0,f,f,f,f,f,f
624,519,2,520,f,f,0,0,f,0,f,f,f,f,f,f
625,519,3,525,f,f,5000,0,f,0,f,f,f,f,f,f
626,521,1,522,f,f,100,0,f,0,f,f,f,f,f,f
627,522,1,523,f,f,0,0,f,0,f,f,f,f,f,f
628,523,1,524,f,f,0,0,f,0,f,f,f,f,f,f
629,521,2,521,f,f,100,0,f,0,f,f,f,f,f,f
630,523,2,523,f,f,0,0,f,0,f,f,f,f,f,f
631,526,1,527,f,f,0,0,f,0,f,f,f,f,f,f
632,527,1,531,f,f,2000,0,f,0,f,f,f,f,f,f
633,531,1,527,f,f,0,0,f,0,f,f,f,f,f,f
638,488,1,537,f,f,0,0,f,0,f,f,f,f,f,f
639,537,1,490,f,t,1000,0,f,0,f,f,f,f,f,f
640,490,1,489,f,f,700,0,f,0,f,f,f,f,f,f
655,96,1,108,f,f,1000,0,f,0,f,f,f,f,f,f
656,96,2,109,f,f,1200,0,f,0,f,f,f,f,f,f
657,96,3,110,f,f,1400,0,f,0,f,f,f,f,f,f
658,96,4,111,f,f,1600,0,f,0,f,f,f,f,f,f
659,96,5,97,f,f,1800,0,f,0,f,f,f,f,f,f
660,555,1,556,f,f,0,0,f,0,f,f,f,f,f,f
664,556,1,557,f,f,0,0,f,0,f,f,f,f,f,f
665,557,1,558,f,f,0,0,f,0,f,f,f,f,f,f
666,558,1,556,f,f,25,0,f,0,f,f,f,f,f,f
667,558,2,568,f,f,25,0,f,0,f,f,f,f,f,f
668,573,1,574,f,f,0,0,f,0,f,f,f,f,f,f
669,574,1,575,f,f,0,0,f,0,f,f,f,f,f,f
670,575,1,573,f,f,25,0,f,0,f,f,f,f,f,f
671,575,2,582,f,f,25,0,f,0,f,f,f,f,f,f
672,576,1,577,f,f,0,0,f,0,f,f,f,f,f,f
673,577,1,578,f,f,0,0,f,0,f,f,f,f,f,f
674,578,1,576,f,f,25,0,f,0,f,f,f,f,f,f
675,578,2,583,f,f,25,0,f,0,f,f,f,f,f,f
676,579,1,580,f,f,0,0,f,0,f,f,f,f,f,f
677,580,1,581,f,f,0,0,f,0,f,f,f,f,f,f
678,581,1,579,f,f,25,0,f,0,f,f,f,f,f,f
679,581,2,584,f,f,25,0,f,0,f,f,f,f,f,f
680,555,2,573,f,f,50,0,f,0,f,f,f,f,f,f
681,555,3,576,f,f,100,0,f,0,f,f,f,f,f,f
682,555,4,579,f,f,150,0,f,0,f,f,f,f,f,f
719,623,1,623,f,t,500,0,f,0,f,f,f,f,f,f
720,624,1,624,f,t,500,0,f,0,f,f,f,f,f,f
721,621,1,622,f,t,1500,0,f,0,f,f,f,f,f,f
722,621,2,625,f,t,1000,0,f,0,f,f,f,f,f,f
723,622,1,623,f,f,0,0,f,0,f,f,f,f,f,f
724,625,1,624,f,f,0,0,f,0,f,f,f,f,f,f
725,626,1,626,f,t,600,0,f,0,f,f,f,f,f,f
727,621,3,627,f,t,4300,0,f,0,f,f,f,f,f,f
728,627,1,628,f,f,300,0,f,0,f,f,f,f,f,f
729,628,1,629,f,f,300,0,f,0,f,f,f,f,f,f
742,641,1,644,f,t,2800,0,f,0,f,f,f,f,f,f
743,644,2,656,f,t,200,0,f,0,f,f,f,f,f,f
744,656,1,647,f,f,2000,0,f,0,f,f,f,f,f,f
745,656,2,649,f,f,2000,0,f,0,f,f,f,f,f,f
746,656,3,650,f,f,2000,0,f,0,f,f,f,f,f,f
747,656,4,651,f,f,2000,0,f,0,f,f,f,f,f,f
748,656,5,652,f,f,2000,0,f,0,f,f,f,f,f,f
749,656,6,653,f,f,2000,0,f,0,f,f,f,f,f,f
750,656,7,654,f,f,2000,0,f,0,f,f,f,f,f,f
751,656,8,655,f,f,2000,0,f,0,f,f,f,f,f,f
760,647,1,658,f,f,2000,0,f,0,f,f,f,f,f,f
761,649,1,658,f,f,2000,0,f,0,f,f,f,f,f,f
762,650,1,658,f,f,2000,0,f,0,f,f,f,f,f,f
763,651,1,658,f,f,2000,0,f,0,f,f,f,f,f,f
764,652,1,658,f,f,2000,0,f,0,f,f,f,f,f,f
765,653,1,658,f,f,2000,0,f,0,f,f,f,f,f,f
766,654,1,658,f,f,2000,0,f,0,f,f,f,f,f,f
767,655,1,658,f,f,2000,0,f,0,f,f,f,f,f,f
799,676,1,677,f,f,1500,0,f,0,f,f,f,f,f,f
800,677,1,678,f,f,0,0,f,0,t,f,f,f,f,f
801,678,1,679,f,f,0,0,f,0,f,f,f,f,f,f
802,679,1,680,f,f,0,0,f,0,f,f,f,f,f,f
803,680,1,678,f,f,100,0,f,0,f,f,f,f,f,f
804,680,2,681,f,f,1000,0,f,0,f,f,f,f,f,f
806,685,1,685,f,t,500,0,f,0,f,f,f,f,f,f
807,684,1,685,f,f,0,0,f,0,f,f,f,f,f,f
808,683,1,684,f,t,1000,0,f,0,f,f,f,f,f,f
809,686,1,686,f,t,600,0,f,0,f,f,f,f,f,f
812,683,5,687,f,t,5000,0,f,0,f,f,f,f,f,f
813,687,1,688,f,t,300,0,f,0,f,f,f,f,f,f
814,683,4,690,f,t,4800,0,f,0,f,f,f,f,f,f
815,690,1,691,f,t,2800,0,f,0,f,f,f,f,f,f
816,689,1,689,f,t,600,0,f,0,f,f,f,f,f,f
817,687,2,689,f,t,300,0,f,0,f,f,f,f,f,f
820,693,1,694,f,t,1000,0,f,0,f,f,f,f,f,f
821,694,2,695,f,t,900,0,f,0,f,f,f,f,f,f
822,695,1,696,f,t,2900,0,f,0,f,f,f,f,f,f
823,694,3,697,f,t,1000,0,f,0,f,f,f,f,f,f
824,694,4,698,f,t,1000,0,f,0,f,f,f,f,f,f
825,697,1,699,f,f,1000,0,f,0,f,f,f,f,f,f
826,697,2,700,f,f,1000,0,f,0,f,f,f,f,f,f
827,697,3,701,f,f,1000,0,f,0,f,f,f,f,f,f
831,698,1,699,f,f,1000,0,f,0,f,f,f,f,f,f
832,698,2,700,f,f,1000,0,f,0,f,f,f,f,f,f
833,698,3,701,f,f,1000,0,f,0,f,f,f,f,f,f
834,699,1,702,f,f,1000,0,f,0,f,f,f,f,f,f
835,700,1,702,f,f,1000,0,f,0,f,f,f,f,f,f
836,701,1,702,f,f,1000,0,f,0,f,f,f,f,f,f
841,712,1,713,f,f,0,0,f,0,f,f,f,f,f,f
853,725,1,725,f,f,1000,0,f,0,f,f,f,f,f,f
854,644,1,725,f,f,0,0,f,0,f,f,f,f,f,f
855,726,1,726,f,f,1000,0,f,0,f,f,f,f,f,f
856,683,3,726,f,t,4500,0,f,0,f,f,f,f,f,f
857,727,1,727,f,t,1000,0,f,0,f,f,f,f,f,f
858,694,1,727,f,t,0,0,f,0,f,f,f,f,f,f
862,728,1,729,f,f,200,0,f,0,f,f,f,f,f,f
863,729,1,730,f,f,0,0,f,0,f,f,f,f,f,f
864,731,2,732,f,t,1400,0,f,0,f,f,f,f,f,f
865,731,1,733,f,f,200,0,f,0,f,f,f,f,f,f
866,732,1,734,f,f,0,0,f,0,f,f,f,f,f,f
867,450,1,735,f,t,800,0,f,0,f,f,f,f,f,f
868,451,1,736,f,f,0,0,f,0,f,f,f,f,f,f
869,451,2,452,f,f,0,0,f,0,f,f,f,f,f,f
870,735,1,737,f,f,0,0,f,0,f,f,f,f,f,f
871,455,1,456,f,f,300,0,f,0,f,f,f,f,f,f
872,456,1,738,f,f,300,0,f,0,f,f,f,f,f,f
873,738,1,738,f,f,300,0,f,0,f,f,f,f,f,f
874,453,2,458,f,t,2500,0,f,0,f,f,f,f,f,f
875,739,1,740,f,f,3000,0,f,0,f,f,f,f,f,f
877,712,2,742,f,f,0,0,f,0,f,f,f,f,f,f
878,712,3,743,f,f,0,0,f,0,f,f,f,f,f,f
879,712,4,744,f,f,0,0,f,0,f,f,f,f,f,f
880,712,5,745,f,f,0,0,f,0,f,f,f,f,f,f
881,712,6,746,f,f,0,0,f,0,f,f,f,f,f,f
882,712,7,747,f,f,0,0,f,0,f,f,f,f,f,f
883,712,8,748,f,f,0,0,f,0,f,f,f,f,f,f
884,712,9,749,f,f,0,0,f,0,f,f,f,f,f,f
886,750,1,751,f,f,0,0,f,0,f,f,f,f,f,f
888,752,1,752,f,f,5,0,f,0,f,f,f,f,f,f
890,750,2,706,f,f,0,0,f,0,f,f,f,f,f,f
891,751,1,752,f,f,0,0,f,0,f,f,f,f,f,f
930,786,1,787,f,t,1000,0,f,0,f,f,f,f,f,f
932,790,1,791,f,t,2000,0,f,0,f,f,f,f,f,f
933,791,1,792,f,f,200,0,f,0,f,f,f,f,f,f
934,792,1,793,f,f,0,0,f,0,f,f,f,f,f,f
935,793,1,794,f,f,0,0,f,0,f,f,f,f,f,f
936,794,1,792,f,f,100,0,f,0,f,f,f,f,f,f
937,794,2,795,f,f,1000,0,f,0,f,f,f,f,f,f
938,794,3,796,f,f,0,0,f,0,f,f,f,f,f,f
939,797,1,798,f,f,500,0,f,0,f,f,f,f,f,f
941,798,1,799,f,f,50,0,f,0,f,f,f,f,f,f
942,799,1,800,f,f,100,0,f,0,f,f,f,f,f,f
945,802,1,797,f,f,0,0,f,0,f,f,f,f,f,f
947,803,1,803,f,f,300,0,f,0,f,f,f,f,f,f
956,809,1,811,f,t,1200,0,f,0,f,f,f,f,f,f
957,809,2,813,f,t,1600,0,f,0,f,f,f,f,f,f
958,809,3,811,f,t,2000,0,f,0,f,f,f,f,f,f
959,809,4,814,f,t,2400,0,f,0,f,f,f,f,f,f
960,809,5,811,f,t,2700,0,f,0,f,f,f,f,f,f
961,809,6,814,f,t,2900,0,f,0,f,f,f,f,f,f
962,809,7,811,f,t,3200,0,f,0,f,f,f,f,f,f
971,822,1,825,f,t,1500,0,f,0,f,f,f,f,f,f
974,829,1,832,f,f,500,0,f,0,f,f,f,f,f,f
979,832,1,831,f,f,0,0,f,0,f,f,f,f,f,f
981,833,1,834,f,f,500,0,f,0,f,f,f,f,f,f
982,834,1,835,f,f,0,0,f,0,f,f,f,f,f,f
983,836,1,837,f,f,500,0,f,0,f,f,f,f,f,f
984,837,1,838,f,f,0,0,f,0,f,f,f,f,f,f
985,621,4,839,f,f,0,0,f,0,f,f,f,f,f,f
986,839,1,626,f,t,1200,0,f,0,f,f,f,f,f,f
987,840,1,686,f,t,1200,0,f,0,f,f,f,f,f,f
988,683,2,840,f,f,0,0,f,0,f,f,f,f,f,f
990,843,1,843,f,f,500,0,f,0,f,f,f,f,f,f
991,841,1,842,f,f,2200,0,f,0,f,f,f,f,f,f
992,842,1,843,f,f,0,0,f,0,f,f,f,f,f,f
996,825,1,827,f,f,500,0,f,0,f,f,f,f,f,f
997,826,1,827,f,f,0,0,f,0,f,f,f,f,f,f
998,827,1,826,f,f,300,0,f,0,f,f,f,f,f,f
999,827,2,847,f,f,300,0,f,0,f,f,f,f,f,f
1000,853,1,854,f,f,1000,0,f,0,f,f,f,f,f,f
1007,862,1,863,f,t,2000,0,f,0,f,f,f,f,f,f
1008,863,1,864,f,f,200,0,f,0,f,f,f,f,f,f
1009,864,1,865,f,f,100,0,f,0,f,f,f,f,f,f
1010,865,1,866,f,f,100,0,f,0,f,f,f,f,f,f
1011,861,1,873,f,f,50,0,f,0,f,f,f,f,f,f
1012,851,1,887,f,t,5000,0,f,0,f,f,f,f,f,f
1013,873,1,874,f,f,50,0,f,0,f,f,f,f,f,f
1014,874,1,875,f,f,50,0,f,0,f,f,f,f,f,f
1015,875,1,876,f,f,50,0,f,0,f,f,f,f,f,f
1016,876,1,877,f,f,50,0,f,0,f,f,f,f,f,f
1017,877,1,879,f,f,50,0,f,0,f,f,f,f,f,f
1018,879,1,878,f,f,50,0,f,0,f,f,f,f,f,f
1019,878,1,880,f,f,50,0,f,0,f,f,f,f,f,f
1021,882,1,885,f,f,0,0,f,0,f,f,f,f,f,f
1022,96,6,884,f,f,3000,0,f,0,f,f,f,f,f,f
1023,108,1,883,f,f,3000,0,f,0,f,f,f,f,f,f
1024,109,1,883,f,f,3000,0,f,0,f,f,f,f,f,f
1025,110,1,883,f,f,3000,0,f,0,f,f,f,f,f,f
1026,111,1,883,f,f,3000,0,f,0,f,f,f,f,f,f
1027,97,1,884,f,f,3000,0,f,0,f,f,f,f,f,f
1029,885,1,882,f,f,500,0,f,0,f,f,f,f,f,f
1030,887,1,861,f,f,0,0,f,0,f,f,f,f,f,f
1031,888,1,889,f,f,5000,0,f,0,f,f,f,f,f,f
1034,889,1,891,f,f,2500,0,f,0,f,f,f,f,f,f
1035,891,1,892,f,f,2500,0,f,0,f,f,f,f,f,f
1049,905,1,906,f,t,1500,0,f,0,f,f,f,f,f,f
1050,906,1,907,f,f,1000,0,f,0,t,f,f,f,f,f
1052,907,1,908,f,f,0,0,f,0,f,f,f,f,f,f
1053,908,1,909,f,f,500,0,f,0,f,f,f,f,f,f
1054,907,2,907,f,f,0,0,f,0,f,f,f,f,f,f
