id,name,command_id,command_type,skill_id
170,wave,12,ExpressText,14451
171,애절,9,ExpressText,14459
172,간절,9,ExpressText,14459
173,바이,12,ExpressText,14451
174,안녕,12,ExpressText,14451
175,하이,12,ExpressText,14451
176,손인사,12,ExpressText,14451
177,손짓,12,ExpressText,14451
178,손,12,ExpressText,14451
179,laugh,13,ExpressText,14463
180,chuckle,13,ExpressText,14463
181,giggle,13,ExpressText,14463
182,하하,13,ExpressText,14463
183,웃어,13,ExpressText,14463
184,ㅋㅋ,13,ExpressText,14463
185,ㅎㅎ,13,ExpressText,14463
186,키득,13,ExpressText,14463
187,웃음,13,ExpressText,14463
188,웃기,13,ExpressText,14463
189,fear,14,ExpressText,14464
190,cower,14,ExpressText,14464
191,cringe,14,ExpressText,14464
192,겁,14,ExpressText,14464
193,움츠리기,14,ExpressText,14464
194,움찔,14,ExpressText,14464
195,공포,14,ExpressText,14464
196,무서워,14,ExpressText,14464
197,eat,40,ExpressText,0
198,feast,40,ExpressText,0
199,음식,40,ExpressText,0
200,냠냠,40,ExpressText,0
201,먹기,40,ExpressText,0
202,drink,41,ExpressText,0
203,건배,41,ExpressText,0
204,마시기,41,ExpressText,0
205,음료,41,ExpressText,0
206,꿀꺽,41,ExpressText,0
207,no,15,ExpressText,14465
208,veto,15,ExpressText,14465
209,아니,15,ExpressText,14465
210,손사래,15,ExpressText,14465
211,노,15,ExpressText,14465
212,부정,15,ExpressText,14465
213,거절,15,ExpressText,14465
214,point,16,ExpressText,14466
215,저기,16,ExpressText,14466
216,저쪽,16,ExpressText,14466
217,멀리,16,ExpressText,14466
218,loud,17,ExpressText,14467
219,roar,17,ExpressText,14467
220,야유,18,ExpressText,14469
221,응원,17,ExpressText,14467
222,고함,32,ExpressText,14484
223,fight,18,ExpressText,14469
224,도발,18,ExpressText,14469
225,격투,18,ExpressText,14469
226,결투,18,ExpressText,14469
227,싸우기,18,ExpressText,14469
228,shy,19,ExpressText,14470
229,부끄,19,ExpressText,14470
230,아잉,19,ExpressText,14470
231,쑥쓰,19,ExpressText,14470
232,부끄럼,19,ExpressText,14470
233,수줍,19,ExpressText,14470
234,kneel,22,ExpressText,14473
235,무릎꿇기,22,ExpressText,14473
236,기침,42,ExpressText,14489
237,cough,42,ExpressText,14489
238,콜록,42,ExpressText,14489
239,만세,43,ExpressText,22978
240,hurray,43,ExpressText,0
241,절하기,20,ExpressText,14471
242,절,20,ExpressText,14471
243,worship,20,ExpressText,14471
244,give,44,ExpressText,0
245,물건주기,44,ExpressText,0
246,주기,44,ExpressText,0
247,내밀기,44,ExpressText,0
248,받기,45,ExpressText,0
249,receive,45,ExpressText,0
250,기절,46,ExpressText,0
251,faint,46,ExpressText,0
252,비틀,47,ExpressText,0
253,stumble,47,ExpressText,0
254,쉿,21,ExpressText,14472
255,조용히,21,ExpressText,14472
256,hush,21,ExpressText,14472
257,앉기,48,ExpressText,13734
258,sit,48,ExpressText,13734
259,꿇기,49,ExpressText,0
260,괴로움,23,ExpressText,14474
261,pain,23,ExpressText,14474
262,위,24,ExpressText,14475
263,위쪽,24,ExpressText,14475
264,upper,24,ExpressText,14475
265,줍기,50,ExpressText,0
266,닦기,51,ExpressText,0
267,clean,51,ExpressText,0
268,긁기,52,ExpressText,0
269,scratch,52,ExpressText,0
270,엿듣기,53,ExpressText,0
271,eavesdrop,53,ExpressText,0
272,한숨,25,ExpressText,14476
273,sigh,25,ExpressText,14476
274,기지개,26,ExpressText,14477
275,stretch,26,ExpressText,14477
276,하품,27,ExpressText,14478
277,yawn,27,ExpressText,14478
278,졸기,54,ExpressText,0
279,doze,54,ExpressText,0
280,답답,28,ExpressText,14479
281,stuffy,28,ExpressText,14479
282,묵념,29,ExpressText,14480
283,tribute,29,ExpressText,14480
284,도리도리,30,ExpressText,14482
285,shake,30,ExpressText,14482
286,이리와,55,ExpressText,0
287,여기로,55,ExpressText,0
288,come,55,ExpressText,0
289,발구르기,56,ExpressText,0
290,stamp,56,ExpressText,0
291,반대,31,ExpressText,14483
292,hold,31,ExpressText,14483
293,코막기,57,ExpressText,14490
294,stink,57,ExpressText,14490
295,토하기,58,ExpressText,14491
296,구토,58,ExpressText,14491
297,vomit,58,ExpressText,14491
298,허리안마,59,ExpressText,22979
299,massage,59,ExpressText,0
300,야호,32,ExpressText,14484
301,hooray,32,ExpressText,14484
302,명상,60,ExpressText,0
303,meditation,60,ExpressText,0
304,물뜨기,61,ExpressText,0
305,세수,61,ExpressText,0
306,scoop,61,ExpressText,0
307,끄덕,33,ExpressText,14485
308,nod,33,ExpressText,14485
309,꽃가루,62,ExpressText,14492
310,정화,62,ExpressText,14492
311,celebrate,62,ExpressText,14492
312,가위,34,ExpressText,14486
313,scissors,34,ExpressText,14486
314,바위,35,ExpressText,14487
315,rock,35,ExpressText,14487
316,보,36,ExpressText,14488
317,paper,36,ExpressText,14488
318,아래,63,ExpressText,0
319,pointdown,63,ExpressText,0
320,뒤,64,ExpressText,0
321,back,64,ExpressText,0
322,두리번,65,ExpressText,0
323,책,66,ExpressText,0
324,책읽기,66,ExpressText,0
325,read,66,ExpressText,0
326,excuse,67,ExpressText,0
327,화,8,ExpressText,14458
328,사랑,68,ExpressText,14493
329,heart,68,ExpressText,14493
330,돌격,69,ExpressText,14494
331,앞으로,69,ExpressText,14494
332,rush,69,ExpressText,14494
333,불량,70,ExpressText,16941
334,건들,70,ExpressText,16941
335,gang,70,ExpressText,16941
336,최고,71,ExpressText,0
337,힘내,72,ExpressText,0
338,파이팅,72,ExpressText,0
339,fighting,72,ExpressText,0
340,호호,73,ExpressText,0
341,머뭇,74,ExpressText,0
342,hesitate,74,ExpressText,0
343,주저,75,ExpressText,0
344,제발,76,ExpressText,0
345,please,76,ExpressText,0
346,긁적,77,ExpressText,0
347,팔짱,78,ExpressText,0
348,저리가,79,ExpressText,0
349,따짐,80,ExpressText,0
350,명령,81,ExpressText,0
351,거만,82,ExpressText,0
352,비밀,83,ExpressText,0
353,고민,84,ExpressText,0
354,말다툼,85,ExpressText,0
355,칭찬,86,ExpressText,0
356,결론,87,ExpressText,0
357,주장,67,ExpressText,0
358,변명,88,ExpressText,0
359,사실,89,ExpressText,0
360,애원,90,ExpressText,0
361,roll,7,SlashFunction,0
362,send,5,ChatCommand,0
363,t,5,ChatCommand,0
364,tell,5,ChatCommand,0
365,y,7,ChatCommand,0
366,거래,8,ChatCommand,0
367,교환,8,ChatCommand,0
368,partyinvite,26,SlashFunction,0
369,pinvite,26,SlashFunction,0
370,파티초대,26,SlashFunction,0
371,partyleave,27,SlashFunction,0
372,pleave,27,SlashFunction,0
373,파티탈퇴,27,SlashFunction,0
374,파티추방,28,SlashFunction,0
375,partykick,28,SlashFunction,0
376,pkick,28,SlashFunction,0
377,ccreate,4,SlashFunction,0
378,cjoin,5,SlashFunction,0
379,channel,5,SlashFunction,0
380,cleave,6,SlashFunction,0
381,cexit,6,SlashFunction,0
382,raidinvite,23,SlashFunction,0
383,rainvite,23,SlashFunction,0
384,공격대초대,23,SlashFunction,0
385,공격대탈퇴,24,SlashFunction,0
386,raleave,24,SlashFunction,0
387,raidleave,24,SlashFunction,0
388,raidkick,25,SlashFunction,0
389,rakick,25,SlashFunction,0
390,공격대추방,25,SlashFunction,0
391,expeditioninvite,12,SlashFunction,0
392,exinvite,12,SlashFunction,0
393,원정대초대,12,SlashFunction,0
394,expeditionleave,13,SlashFunction,0
395,exleave,13,SlashFunction,0
396,원정대탈퇴,13,SlashFunction,0
397,2,8,ChatCommand,0
398,내가최고야,70,ExpressText,16941
399,캐,8,SlashFunction,0
400,cast,8,SlashFunction,0
401,일,1,ChatCommand,0
402,귓,5,ChatCommand,0
403,귀,5,ChatCommand,0
404,파,2,ChatCommand,0
405,공,3,ChatCommand,0
406,원,4,ChatCommand,0
407,연,15,ChatCommand,
408,거,8,ChatCommand,0
409,파티찾기,9,ChatCommand,0
410,ㅕ,15,ChatCommand,
411,연합세력,15,ChatCommand,
412,dlfqks,1,ChatCommand,0
413,ㄴㅁㅅ,1,ChatCommand,0
414,dlf,1,ChatCommand,0
415,vkxl,2,ChatCommand,0
416,vk,2,ChatCommand,0
417,ㅔㅁㄱ쇼,2,ChatCommand,0
418,rhdrureo,3,ChatCommand,0
419,rhd,3,ChatCommand,0
420,ㄱㅁ,3,ChatCommand,0
421,ㄱ먕,3,ChatCommand,0
422,dnjswjdeo,4,ChatCommand,0
423,ㄷㅌ,4,ChatCommand,0
424,g,4,ChatCommand,0
425,ㄷ텓야샤ㅐㅜ,4,ChatCommand,0
426,dnjs,4,ChatCommand,0
427,rnltthrakf,5,ChatCommand,0
428,조ㅑ넫ㄱ,5,ChatCommand,0
429,ㄴ둥,5,ChatCommand,0
430,ㅅ,5,ChatCommand,0
431,rnlt,5,ChatCommand,0
432,rnl,5,ChatCommand,0
433,d,15,ChatCommand,
434,rnrrk,6,ChatCommand,
435,rnr,6,ChatCommand,
436,dusgkq,15,ChatCommand,
437,vortus,15,ChatCommand,
438,vor,15,ChatCommand,
439,tpfur,15,ChatCommand,
440,tp,15,ChatCommand,
441,ㄷ,15,ChatCommand,
442,ㅕㅜㅑㅅㄷ,15,ChatCommand,
443,ㅜㅁ샤ㅐㅜ,6,ChatCommand,
444,ㅜ,6,ChatCommand,
445,ㄻㅊ샤ㅐㅜ,15,ChatCommand,
446,ㄹ,15,ChatCommand,
447,ㅑㅜ려둧ㄷ,15,ChatCommand,
448,dusgkqtpfur,15,ChatCommand,
449,dhlcla,7,ChatCommand,0
450,dhlclrl,7,ChatCommand,0
451,dhl,7,ChatCommand,0
452,ㅛ디ㅣ,7,ChatCommand,0
453,놰ㅕㅅ,7,ChatCommand,0
454,ㅅㄱㅁㅇㄷ,8,ChatCommand,0
455,rjfo,8,ChatCommand,0
456,ryghks,8,ChatCommand,0
457,rj,8,ChatCommand,0
458,vkxlckwrl,9,ChatCommand,0
459,파찾,9,ChatCommand,0
460,vkckw,9,ChatCommand,0
461,block,15,SlashFunction,0
462,차단,15,SlashFunction,0
463,unblock,16,SlashFunction,0
464,차단해제,16,SlashFunction,0
467,family_invite,18,SlashFunction,0
468,가족추가,18,SlashFunction,0
469,가족초대,18,SlashFunction,0
470,family_leave,19,SlashFunction,0
471,가족떠나기,19,SlashFunction,0
472,가족탈퇴,19,SlashFunction,0
476,구걸,91,ExpressText,15229
477,거지,91,ExpressText,15229
478,family_kick,21,SlashFunction,0
479,가족추방,21,SlashFunction,0
480,family_title,22,SlashFunction,0
481,가족호칭,22,SlashFunction,0
482,r,10,ChatCommand,0
483,ㄱ,10,ChatCommand,0
484,답장,10,ChatCommand,0
485,답,10,ChatCommand,0
486,회신,10,ChatCommand,0
487,회,10,ChatCommand,0
488,fa,11,ChatCommand,0
489,가,11,ChatCommand,0
490,가족,11,ChatCommand,0
491,ㄻ,11,ChatCommand,0
492,rkwhr,11,ChatCommand,0
493,서대륙,29,SlashFunction,0
494,서,29,SlashFunction,0
495,west,29,SlashFunction,0
496,누이안,30,SlashFunction,0
497,누,30,SlashFunction,0
498,nuian,30,SlashFunction,0
499,엘프,31,SlashFunction,0
500,엘,31,SlashFunction,0
501,elf,31,SlashFunction,0
502,드워프,32,SlashFunction,0
503,드,32,SlashFunction,0
504,dwarf,32,SlashFunction,0
505,페어리,33,SlashFunction,0
507,fairy,33,SlashFunction,0
508,동대륙,34,SlashFunction,0
509,동,34,SlashFunction,0
510,east,34,SlashFunction,0
511,하리하란,35,SlashFunction,0
512,하,35,SlashFunction,0
513,hariharan,35,SlashFunction,0
514,페레,36,SlashFunction,0
515,ferre,36,SlashFunction,0
516,워본,37,SlashFunction,0
517,워,37,SlashFunction,0
518,warborn,37,SlashFunction,0
519,리턴드,38,SlashFunction,0
520,리,38,SlashFunction,0
521,returned,38,SlashFunction,0
522,뒷짐,93,ExpressText,
523,무릎,22,ExpressText,14473
524,페,36,SlashFunction,0
525,jury,39,SlashFunction,0
526,배심원차단,39,SlashFunction,0
527,배심원,39,SlashFunction,0
528,배,39,SlashFunction,0
529,지휘,12,ChatCommand,0
530,채,12,ChatCommand,0
531,co,12,ChatCommand,0
532,재판,13,ChatCommand,0
533,재,13,ChatCommand,0
534,trial,13,ChatCommand,0
535,tr,13,ChatCommand,0
536,키프로사의빛,96,ExpressText,20608
537,에안나의눈물,97,ExpressText,20692
538,타양의포효,98,ExpressText,20698
539,진의위엄,99,ExpressText,20699
540,원정대추방,41,SlashFunction,0
541,expedition_kick,41,SlashFunction,0
542,관심대상추가,42,SlashFunction,0
543,친구추가,42,SlashFunction,0
544,관심대상삭제,43,SlashFunction,0
545,친구삭제,43,SlashFunction,0
546,탈출,40,SlashFunction,20297
547,주시,44,SlashFunction,0
548,wntl,44,SlashFunction,0
549,watch,44,SlashFunction,0
550,주시대상,44,SlashFunction,0
551,주시대상설정,44,SlashFunction,0
552,주시해제,45,SlashFunction,0
553,주시대상해제,45,SlashFunction,0
554,타겟,46,SlashFunction,0
555,xkrpt,46,SlashFunction,0
556,target,46,SlashFunction,0
557,선택,46,SlashFunction,0
558,tjsxor,46,SlashFunction,0
559,select,46,SlashFunction,0
560,pl,14,ChatCommand,0
561,play,14,ChatCommand,0
562,연주,14,ChatCommand,0
563,enable_play_music,47,SlashFunction,0
564,연주허용,47,SlashFunction,0
565,disable_play_music,48,SlashFunction,0
566,연주금지,48,SlashFunction,0
567,루키우스의찬가,100,ExpressText,22180
568,아란제브의명상,101,ExpressText,22181
569,아란제비아의미소,102,ExpressText,22182
570,오키드나의꿈,103,ExpressText,22183
571,race,6,ChatCommand,
572,별주먹밥5개주기,108,ExpressText,23489
573,나이마의춤,104,ExpressText,23494
574,멜리사라의그림자,105,ExpressText,23496
575,올로의풍요,106,ExpressText,23497
576,이녹의신념,107,ExpressText,23501
