id,utf8str,bytes,check_name,check_chat,partial_match
111,병어신,9,t,t,t
112,보G,4,t,t,t
113,보z,4,t,t,t
114,보오지,9,t,t,t
115,보쥐,6,t,t,t
116,보지,6,t,f,t
117,보짓,6,t,t,t
118,봉알,6,t,t,t
119,부랄,6,t,t,t
120,불알,6,t,t,t
121,붕알,6,t,t,t
122,뷩쉰,6,t,t,t
123,뷩신,6,t,t,t
124,뷰웅시나,12,t,t,t
125,뷰웅신,9,t,t,t
126,븅쉰,6,t,t,t
127,븅싄,6,t,t,t
128,븅시나,9,t,t,t
129,븅신,6,t,t,t
130,븡딱,6,t,t,t
131,븽신,6,t,t,t
132,비잉신,9,t,t,t
133,빙쉰,6,t,t,t
134,빙시,6,t,t,t
135,빙시나,9,t,t,t
136,빙신,6,t,t,t
137,빠가,6,t,t,f
138,빠구뤼,9,t,t,t
139,빠구리,9,t,t,t
140,빠굴,6,t,t,t
141,빠돌이,9,t,t,t
142,빠순이,9,t,t,t
143,빠큐,6,t,t,t
144,빡촌,6,t,t,t
145,빡큐,6,t,t,t
146,빨아줘,9,t,t,t
147,빨통,6,t,t,t
148,뻐르너,9,t,t,t
149,뻐르노,9,t,t,t
150,뻐큐,6,t,t,t
151,뻐킹,6,t,t,t
152,뻑큐,6,t,t,t
153,뽀르나,9,t,t,t
154,뽀르너,9,t,t,t
155,뽀르노,9,t,t,t
156,뽀지,6,t,t,t
157,뽀큐,6,t,t,t
158,뽁큐,6,t,t,t
159,뽕알,6,t,t,t
160,뿡알,6,t,t,t
161,삐꾸,6,t,t,t
162,사까쉬,9,t,t,t
163,사까시,9,t,t,t
164,사창가,9,t,t,t
165,사카시,9,t,t,t
166,삿까시,9,t,t,t
167,상넘,6,t,t,t
168,상년,6,t,t,t
169,상노무,9,t,t,t
170,상놈,6,t,t,t
171,상늠,6,t,t,t
172,새꺄,6,t,t,t
173,새뀌,6,t,t,t
174,새끼,6,t,t,f
175,새캬,6,t,t,t
176,새퀴,6,t,t,t
177,새키,6,t,t,t
178,색스,6,t,t,t
179,색쑤,6,t,t,t
180,색쓰,6,t,t,t
181,생아다,9,t,t,t
182,생퀴,6,t,t,t
183,생키,6,t,t,t
184,샤앙년,9,t,t,t
185,샹넘,6,t,t,t
186,샹년,6,t,t,t
187,샹놈,6,t,t,t
188,샹뇬,6,t,t,t
189,샹늠,6,t,t,t
190,성관계,9,t,t,t
191,성매매,9,t,t,t
192,섹e스,7,t,t,t
193,섹S,4,t,t,t
194,섹스,6,t,t,t
195,쉬바,6,t,t,t
196,쉬박,6,t,t,t
197,쉬발,6,t,t,t
198,쉬방,6,t,t,t
199,쉬밸,6,t,t,t
200,쉬벌,6,t,t,t
201,쉬벨,6,t,t,t
202,쉬불,6,t,t,t
203,스와핑,9,t,t,t
204,시끼,6,t,t,t
205,시댕,6,t,t,t
206,시발,6,t,t,t
207,시방,6,t,f,f
208,시뱅,6,t,t,t
209,시벌,6,t,t,t
210,시부럴,9,t,t,t
211,시불,6,t,t,t
212,시붕,6,t,t,t
213,시팍,6,t,t,t
214,시팔,6,t,t,t
215,십새꺄,9,t,t,t
216,십새끼,9,t,t,t
217,십새키,9,t,t,t
218,십색끼,9,t,t,t
219,십색히,9,t,t,t
220,십쉐,6,t,t,t
221,십쉐리,9,t,t,t
222,십쉐이,9,t,t,t
223,십쉑,6,t,t,t
224,십쉑히,9,t,t,t
225,십쌔,6,t,t,t
226,십쌔꺄,9,t,t,t
227,십쌔끼,9,t,t,t
228,십쌔키,9,t,t,t
229,십쎄끼,9,t,t,t
230,십씨키,9,t,t,t
231,십알,6,t,t,t
232,십창,6,t,t,t
233,싸까쉬,9,t,t,t
234,싸까시,9,t,t,t
235,싸앙넘,9,t,t,t
236,싸앙년,9,t,t,t
237,싸앙눔,9,t,t,t
238,싸앙늠,9,t,t,t
239,쌍넘,6,t,t,t
240,쌍녀언,9,t,t,t
241,쌍년,6,t,t,t
242,쌍노무,9,t,t,t
243,쌍놈,6,t,t,t
244,쌍뇬,6,t,t,t
245,쌍눔,6,t,t,t
246,쌍늠,6,t,t,t
247,썅,3,t,t,t
248,썩을년,9,t,t,t
249,쎅스,6,t,t,t
250,쓰바,6,t,t,t
251,쓰발,6,t,t,t
252,쓰방,6,t,t,t
253,쓰벌,6,t,t,t
254,씨8,4,t,t,t
255,씨bal,6,t,t,t
256,씨댕,6,t,t,t
257,씨바,6,t,t,t
258,씨발,6,t,t,t
259,씨방,6,t,t,t
260,씨밸,6,t,t,t
261,씨뱅,6,t,t,t
262,씨봉,6,t,t,t
263,씨부랄,9,t,t,t
264,씨부럴,9,t,t,t
265,씨불,6,t,t,t
266,씨붕,6,t,t,t
267,씨파,6,t,t,t
268,씨팍,6,t,t,t
269,씨팔,6,t,t,t
270,씨펄,6,t,t,t
271,씨퐁,6,t,t,t
272,씹8,4,t,t,t
273,씹새,6,t,t,t
274,씹숑,6,t,t,t
275,씹쌔,6,t,t,t
276,씹알,6,t,t,t
277,씹창,6,t,t,t
278,씹탱,6,t,t,t
279,씹팔,6,t,t,t
280,아가리,9,t,t,t
281,아구창,9,t,t,t
282,아구통,9,t,t,t
283,애널,6,t,t,t
284,애무,6,t,t,t
285,애미,6,t,t,t
286,애비,6,t,t,t
287,애자,6,t,t,t
288,엄창,6,t,t,t
289,염병,6,t,t,t
290,엿가튼,9,t,t,t
291,엿같은,9,t,t,t
292,엿같이,9,t,t,t
293,엿머거,9,t,t,t
294,엿먹어,9,t,t,t
295,옘병,6,t,t,t
296,오랄,6,t,t,t
297,오럴,6,t,t,t
298,오르가슴,12,t,t,t
299,오르가줌,12,t,t,t
300,오르가즘,12,t,t,t
301,오입,6,t,t,t
302,우라질,9,t,t,t
303,원조교,9,t,t,t
304,원조녀,9,t,t,t
305,원조알바,12,t,t,t
306,원조하자,12,t,t,t
307,월경,6,t,t,t
308,유두,6,t,t,t
309,유방,6,t,t,t
310,육갑,6,t,t,t
311,윤간,6,t,t,t
312,음경,6,t,t,t
313,음부,6,t,t,t
314,이명박호로,15,t,t,t
315,자ji,5,t,t,t
316,자위,6,t,t,t
317,자지,6,t,t,t
318,잠지,6,t,t,t
319,장애자,9,t,t,t
320,젓,3,t,t,f
321,정액,6,t,t,t
322,젖,3,t,t,t
323,조까,6,t,t,t
324,조또,6,t,t,t
325,존나,6,t,t,t
326,존니,6,t,t,t
327,졸라,6,t,t,t
328,좀물,6,t,f,t
329,좁밥,6,t,t,t
330,좃,3,t,t,t
331,좆,3,t,t,t
332,쥐랄,6,t,t,t
333,쥐럴,6,t,t,t
334,쥐롤,6,t,t,t
335,즤랄,6,t,t,t
336,지랄,6,t,t,t
337,지럴,6,t,t,t
338,지롤,6,t,t,t
339,지룰,6,t,t,t
340,지미랄,9,t,t,t
341,지미럴,9,t,t,t
342,지이랄,9,t,t,t
343,지이럴,9,t,t,t
344,질알,6,t,t,t
345,쪼다,6,t,t,t
346,찐따,6,t,t,t
347,창녀,6,t,t,t
348,창년,6,t,t,t
349,창뇬,6,t,t,t
350,처녀막,9,t,t,t
351,쳐먹,6,t,t,t
352,쳐죽,6,t,t,t
353,카섹,6,t,t,t
354,콘돔,6,t,t,t
355,패니스,9,t,t,t
356,패티쉬,9,t,t,t
357,패티시,9,t,t,t
358,팰라치오,12,t,t,t
359,퍽큐,6,t,t,t
360,페티쉬,9,t,t,t
361,페티시,9,t,t,t
362,펠라치오,12,t,t,t
363,펠라티오,12,t,t,t
364,펨돔,6,t,t,t
365,펨섭,6,t,t,t
366,포로노,9,t,t,t
367,포루노,9,t,t,t
368,포르나,9,t,t,t
369,포르너,9,t,t,t
370,포르노,9,t,t,t
371,폰섹,6,t,t,t
372,핥아,6,t,t,t
373,핥어,6,t,t,t
374,호로,6,t,t,f
375,호로개자슥,15,t,t,t
376,호로개자식,15,t,t,t
377,호로개잡놈,15,t,t,t
378,호로개잡늠,15,t,t,t
379,호로년,9,t,t,t
380,호로막강한넘,18,t,t,t
381,호로새,9,t,t,t
382,호로새끼,12,t,t,t
383,호로색,9,t,t,t
384,호로색히,12,t,t,t
385,호로세끼,12,t,t,t
386,호로쉐끼,12,t,t,t
387,호로쉑,9,t,t,t
388,호로오,9,t,t,t
389,호로이명박,15,t,t,t
390,호로자,9,t,t,t
391,호로자식,12,t,t,t
392,호로잡것,12,t,t,t
393,화냥년,9,t,t,t
394,화양년,9,t,t,t
395,후래자식,12,t,t,t
396,후레자식,12,t,t,t
397,후장,6,t,t,t
398,18뇽,5,t,t,t
399,18럼,5,t,t,t
400,18세퀴,8,t,t,t
401,개새끼,9,t,t,t
402,개호로,9,t,t,t
403,게이,6,t,f,f
404,볍신,6,t,t,t
405,보ji,5,t,t,t
406,보zi ,6,t,t,t
407,쉬부럴,9,t,t,t
408,씹새끼,9,t,t,t
409,이반,6,t,t,f
410,이새끼,9,t,t,t
411,저새끼,9,t,t,t
412,호로개이,12,t,t,t
413,admin,5,t,f,f
414,administrator ,14,t,f,t
415,archage,7,t,f,t
416,archeage,8,t,f,t
417,Arche에이즈,14,t,f,t
418,Arche에이지,14,t,f,t
419,arch에이지,13,t,f,t
420,eventmanager,12,t,f,t
421,eventmaster,11,t,f,t
422,gamemanager,11,t,f,t
423,gamemaster,10,t,f,t
424,game관리팀,13,t,f,t
425,game마스터,13,t,f,t
426,game매니저,13,t,f,t
427,gm,2,t,f,t
428,jake,4,t,f,f
429,jakesong,8,t,f,t
430,jake송,7,t,f,t
431,pm,2,t,f,f
432,xlgame,6,t,f,t
433,xlgames,7,t,f,t
434,xlgamez,7,t,f,t
435,xl게임,8,t,f,t
436,xl게임즈,11,t,f,t
437,xl겜즈,8,t,f,t
438,개발,6,t,f,f
439,개발실,9,t,f,f
440,개발실장,12,t,f,t
441,개발자,9,t,f,t
442,개발팀,9,t,f,t
443,게임master,12,t,f,t
444,게임마스터,15,t,f,t
445,게임매니저,15,t,f,t
446,공지,6,t,f,f
447,관리,6,t,f,f
448,관리자,9,t,f,t
449,관리팀,9,t,f,t
450,기획실장,12,t,f,f
451,기획자,9,t,f,f
452,기획팀,9,t,f,f
453,기획팀장,12,t,f,f
454,담당자,9,t,f,f
455,도우미,9,t,f,f
456,마스터,9,t,f,f
457,서버운영자,15,t,f,t
458,서버운영진,15,t,f,t
459,서비스,9,t,f,f
460,송사장,9,t,f,t
461,송재경,9,t,f,t
462,송쟤경,9,t,f,t
463,송제경,9,t,f,t
464,아케이지,12,t,f,t
465,아크에이지,15,t,f,t
466,아키age,9,t,f,t
467,아키gm,8,t,f,t
468,아키개발자,15,t,f,t
469,아키개발팀,15,t,f,t
470,아키기획자,15,t,f,t
471,아키기획팀,15,t,f,t
472,아키도우미,15,t,f,t
473,아키사장,12,t,f,t
474,아키에이즈,15,t,f,t
475,아키에이지,15,t,f,t
476,아키운영자,15,t,f,t
477,액샐게임,12,t,f,t
478,액샐게임즈,15,t,f,t
479,액샐겜즈,12,t,f,t
480,액셀games,11,t,f,t
481,액셀게임,12,t,f,t
482,액셀게임즈,15,t,f,t
483,액셀겜즈,12,t,f,t
484,액스앨게임,15,t,f,t
485,액스앨게임즈,18,t,f,t
486,액스앨겜즈,15,t,f,t
487,액스엘games,14,t,f,t
488,액스엘게임,15,t,f,t
489,액스엘게임즈,18,t,f,t
490,액스엘겜즈,15,t,f,t
491,어드민,9,t,f,t
492,에스엘games,14,t,f,t
493,에스엘게임즈,18,t,f,t
494,에스엘겜즈,15,t,f,t
495,엑샐겜즈,12,t,f,t
496,엑셀게임,12,t,f,t
497,엑셀게임즈,15,t,f,t
498,엑셀겜즈,12,t,f,t
499,엑스앨게임,15,t,f,t
500,엑스앨게임즈,18,t,f,t
501,엑스앨겜즈,15,t,f,t
502,엑스엘game,13,t,f,t
503,엑스엘games,14,t,f,t
504,엑스엘게임,15,t,f,t
505,엑스엘게임즈,18,t,f,t
506,엑스엘겜즈,15,t,f,t
507,영자,6,t,f,t
508,운영,6,t,f,t
509,운영자,9,t,f,t
510,운영진,9,t,f,t
511,운영팀,9,t,f,t
512,운영팀장,12,t,f,t
513,운용자,9,t,f,t
514,은영자,9,t,f,t
515,이벤트,9,t,f,t
516,이벤트담당자,18,t,f,t
517,전민희,9,t,f,t
518,제이크송,12,t,f,t
519,쥐앰,6,t,f,f
520,쥐엠,6,t,f,f
521,지앰,6,t,f,f
522,지엠,6,t,f,t
523,직원,6,t,f,f
524,5월의그왈흐,16,t,f,f
525,aier,4,t,f,f
526,alexander,9,t,f,f
527,anthalon,8,t,f,f
528,aranzeb,7,t,f,f
529,aranzebia,9,t,f,f
530,archium,7,t,f,f
531,astra,5,t,f,f
532,austera,7,t,f,f
533,calleil,7,t,f,f
534,clonid,6,t,f,f
535,cyprusa,7,t,f,f
536,cyprusadaeior,13,t,f,f
537,dahuta,6,t,f,f
538,damian,6,t,f,f
539,daru,4,t,f,f
540,delpinad,8,t,f,f
541,dragon,6,t,f,f
542,dunn,4,t,f,f
543,dwarf,5,t,f,f
544,eanad,5,t,f,f
545,eanna,5,t,f,f
546,eannanimush,11,t,f,f
547,elf,3,t,f,f
548,enoa,4,t,f,f
549,ezi,3,t,f,f
550,ezna,4,t,f,f
551,fairy,5,t,f,f
552,ferre,5,t,f,f
553,gene,4,t,f,f
554,geneebonight,12,t,f,f
555,giant,5,t,f,f
556,gollog,6,t,f,f
557,gon,3,t,f,f
558,haje,4,t,f,f
559,harihara,8,t,f,f
560,hariharan,9,t,f,f
561,hasla,5,t,f,f
562,hata,4,t,f,f
563,inoch,5,t,f,f
564,ipna,4,t,f,f
565,kapernaum,9,t,f,f
566,kyrios,6,t,f,f
567,lucius,6,t,f,f
568,luciusquinto,12,t,f,f
569,luke,4,t,f,f
570,mahadevi,8,t,f,f
571,malika,6,t,f,f
572,marianople,10,t,f,f
573,melisara,8,t,f,f
574,mimetan,7,t,f,f
575,nachash,7,t,f,f
576,naima,5,t,f,f
577,narayana,8,t,f,f
578,noryette,8,t,f,f
579,nui,3,t,f,f
580,nuia,4,t,f,f
581,nuian,5,t,f,f
582,nuimari,7,t,f,f
583,nuon,4,t,f,f
584,ollo,4,t,f,f
585,orc,3,t,f,f
586,orchidna,8,t,f,f
587,peran,5,t,f,f
588,raveda,6,t,f,f
589,raven,5,t,f,f
590,returned,8,t,f,f
591,sal,3,t,f,f
592,salpila,7,t,f,f
593,shatigon,8,t,f,f
594,snowlion,8,t,f,f
595,tahyang,7,t,f,f
596,tahyangkahlzit,14,t,f,f
597,temi,4,t,f,f
598,triste,6,t,f,f
599,warborn,7,t,f,f
600,weirdwind,9,t,f,f
601,ynystere,8,t,f,f
602,가고일,9,t,f,f
603,가니하리,12,t,f,f
604,가루다,9,t,f,f
605,가루트만,12,t,f,f
606,가르가츠,12,t,f,f
607,가선,6,t,f,f
608,가시도치슬라임,21,t,f,f
609,가온달부족,15,t,f,f
610,가이우스,12,t,f,f
611,갈데르,9,t,f,f
612,갈색그리핀,15,t,f,f
613,갈색깃털하피,18,t,f,f
614,갈색까마귀,15,t,f,f
615,갈색말,9,t,f,f
616,갈색산양,12,t,f,f
617,갤리스,9,t,f,f
618,거대개미,12,t,f,f
619,거대게,9,t,f,f
620,거대나비,12,t,f,f
621,거대벌,9,t,f,f
622,거대사마귀,15,t,f,f
623,거대사슴벌레,18,t,f,f
624,거대전갈,12,t,f,f
625,거대지네,12,t,f,f
626,거미인간,12,t,f,f
627,거인,6,t,f,f
628,검독수리,12,t,f,f
629,검붉은얼룩슬라임,24,t,f,f
630,검은가재,12,t,f,f
631,검은갈기눈사자,21,t,f,f
632,검은갈기켄타우로스,27,t,f,f
633,검은까마귀,15,t,f,f
634,검은눈아르스,18,t,f,f
635,검은말,9,t,f,f
636,검은모래,12,t,f,f
637,검은모래괴물,18,t,f,f
638,검은바실리스크,21,t,f,f
639,검은사막,12,t,f,f
640,검은색그리핀,18,t,f,f
641,검은수염개리엇,21,t,f,f
642,검은야우스,15,t,f,f
643,게게테,9,t,f,f
644,게레츠,9,t,f,f
645,고대신앙자,15,t,f,f
646,고드프리,12,t,f,f
647,고르곤,9,t,f,f
648,고리무늬거대거미,24,t,f,f
649,고블린,9,t,f,f
650,고요한비취,15,t,f,f
651,고장난변신기계,21,t,f,f
652,고장난소형기계,21,t,f,f
653,고장난투박한기계,24,t,f,f
654,곤,3,t,f,f
655,골로그,9,t,f,f
656,공작,6,t,f,f
657,과묵한나무거인,21,t,f,f
658,구경꾼로드웬,18,t,f,f
659,구경꾼벨리올든,21,t,f,f
660,구경꾼타리온,18,t,f,f
661,군나르,9,t,f,f
662,굶주린늑대,15,t,f,f
663,귄터,6,t,f,f
664,규리에,9,t,f,f
665,그라시엘,12,t,f,f
666,그라일렌트,15,t,f,f
667,그리거,9,t,f,f
668,그림스,9,t,f,f
669,그림자매,12,t,f,f
670,그림자매의쌍검,21,t,f,f
671,그왈흐,9,t,f,f
672,그위오니드의수호자,27,t,f,f
673,그위오니드페피,21,t,f,f
674,금빛이끼숲,15,t,f,f
675,금의현인,12,t,f,f
676,기네브,9,t,f,f
677,기슬리,9,t,f,f
678,기억술사,12,t,f,f
679,기억술사델리아,21,t,f,f
680,기억술사레오티스,24,t,f,f
681,기억술사로시엔,21,t,f,f
682,기억술사리미온,21,t,f,f
683,기억술사세파티아,24,t,f,f
684,기억술사엘라니데,24,t,f,f
685,기억술사티드리온,24,t,f,f
686,기워붙인시체,18,t,f,f
687,긴가시도치슬라임,24,t,f,f
688,긴모래톱,12,t,f,f
689,길의현인,12,t,f,f
690,길잡이고래,15,t,f,f
691,나라야나,12,t,f,f
692,나린,6,t,f,f
693,나무껍질슬라임,21,t,f,f
694,나무정령,12,t,f,f
695,나뭇잎거대사마귀,24,t,f,f
696,나비도마뱀,15,t,f,f
697,나사니엘,12,t,f,f
698,나이마,9,t,f,f
699,나차쉬,9,t,f,f
700,나츠빌,9,t,f,f
701,나츠빌마라,15,t,f,f
702,나틀,6,t,f,f
703,난아,6,t,f,f
704,난폭한사라세니아,24,t,f,f
705,날쌘도마뱀,15,t,f,f
706,날썐엘프도적,18,t,f,f
707,낡은미믹,12,t,f,f
708,남방이슈바라,18,t,f,f
709,네미,6,t,f,f
710,네서틴,9,t,f,f
711,넬빈,6,t,f,f
712,넷사,6,t,f,f
713,노란애벌레,15,t,f,f
714,노란열대어,15,t,f,f
715,노르예트,12,t,f,f
716,노르예트가문,18,t,f,f
717,노비아,9,t,f,f
718,노스,6,t,f,f
719,노츨락,9,t,f,f
720,노타그,9,t,f,f
721,노트,6,t,f,f
722,노흐,6,t,f,f
723,놀,3,t,f,f
724,농부기든스,15,t,f,f
725,누온,6,t,f,f
726,누이,6,t,f,f
727,누이아,9,t,f,f
728,누이안,9,t,f,f
729,누이안원혼,15,t,f,f
730,누이안유령,15,t,f,f
731,누잔,6,t,f,f
732,누하이,9,t,f,f
733,눈밝은기스,15,t,f,f
734,눈사자,9,t,f,f
735,눈사자유령,15,t,f,f
736,눈알괴물,12,t,f,f
737,늑대인간,12,t,f,f
738,늪지눈알괴물,18,t,f,f
739,늪지사라세니아,21,t,f,f
740,늪지쌍두사,15,t,f,f
741,니나,6,t,f,f
742,니네르,9,t,f,f
743,니아르코스,15,t,f,f
744,니콜,6,t,f,f
745,님로사,9,t,f,f
746,다나,6,t,f,f
747,다루,6,t,f,f
748,다미안,9,t,f,f
749,다사크,9,t,f,f
750,다스갈,9,t,f,f
751,다후타,9,t,f,f
752,다후타여신의추종자,27,t,f,f
753,달범부족,12,t,f,f
754,달의뒷면,12,t,f,f
755,답초,6,t,f,f
756,대머리야와,15,t,f,f
757,대머리콘라드,18,t,f,f
758,대장장이기번,18,t,f,f
759,데어데릭시차일드,24,t,f,f
760,데이어,9,t,f,f
761,데키우스,12,t,f,f
762,데피,6,t,f,f
763,델피나드,12,t,f,f
764,도깨비불,12,t,f,f
765,도를라,9,t,f,f
766,도미니크,12,t,f,f
767,도크메크,12,t,f,f
768,도플갱어,12,t,f,f
769,독도마뱀,12,t,f,f
770,독향기라플레시아,24,t,f,f
771,돌개바람부족,18,t,f,f
772,돌골렘,9,t,f,f
773,돌골렘소형,15,t,f,f
774,돌도끼대장바이암,24,t,f,f
775,돌도끼바이암,18,t,f,f
776,돌의현인,12,t,f,f
777,돌츠,6,t,f,f
778,돌츠마라,12,t,f,f
779,동방이슈바라,18,t,f,f
780,되살아난야우스,21,t,f,f
781,두들링,9,t,f,f
782,둔,3,t,f,f
783,듀,3,t,f,f
784,듀라나,9,t,f,f
785,듀이,6,t,f,f
786,드래곤,9,t,f,f
787,드워프,9,t,f,f
788,드워프모험가,18,t,f,f
789,드워프유령,15,t,f,f
790,디디에,9,t,f,f
791,디메인,9,t,f,f
792,디오시네스,15,t,f,f
793,디우나,9,t,f,f
794,딘카인,9,t,f,f
795,땅벌레,9,t,f,f
796,떠도는섬,12,t,f,f
797,라고데이,12,t,f,f
798,라레이,9,t,f,f
799,라베다,9,t,f,f
800,라비스,9,t,f,f
801,라샤,6,t,f,f
802,라완알렉산데르,21,t,f,f
803,라울,6,t,f,f
804,라톤,6,t,f,f
805,라플레시아,15,t,f,f
806,라흐마디,12,t,f,f
807,람슈타인,12,t,f,f
808,랜달,6,t,f,f
809,레리엔,9,t,f,f
810,레미오나,12,t,f,f
811,레비아탄,12,t,f,f
812,레세브,9,t,f,f
813,레오니,9,t,f,f
814,레오크라스,15,t,f,f
815,레오폴딘,12,t,f,f
816,레오폴트,12,t,f,f
817,레이널드,12,t,f,f
818,레이니온,12,t,f,f
819,레이븐,9,t,f,f
820,렌스,6,t,f,f
821,로레누스,12,t,f,f
822,로스키,9,t,f,f
823,로스톺토프,15,t,f,f
824,로아넨,9,t,f,f
825,로완,6,t,f,f
826,로이스터경의전령,24,t,f,f
827,로이스터야영지,21,t,f,f
828,로자,6,t,f,f
829,로제로,9,t,f,f
830,로즈엔드,12,t,f,f
831,로즈엔드경비병,21,t,f,f
832,로즈엔드초소,18,t,f,f
833,로카의장기말들,21,t,f,f
834,로칼로카,12,t,f,f
835,로칼로카산맥,18,t,f,f
836,로케타,9,t,f,f
837,로크새,9,t,f,f
838,로투엔,9,t,f,f
839,로프츠,9,t,f,f
840,론다멜,9,t,f,f
841,론디로,9,t,f,f
842,루브크라프스,18,t,f,f
843,루실리스,12,t,f,f
844,루이즈,9,t,f,f
845,루카,6,t,f,f
846,루카로,9,t,f,f
847,루카트리스테,18,t,f,f
848,루크,6,t,f,f
849,루크레티아,15,t,f,f
850,루키우스,12,t,f,f
851,루키우스퀸토,18,t,f,f
852,루푸스시차일드,21,t,f,f
853,뤼크,6,t,f,f
854,리그몰,9,t,f,f
855,리네리프,12,t,f,f
856,리만,6,t,f,f
857,리메이,9,t,f,f
858,리모딘,9,t,f,f
859,리버위드,12,t,f,f
860,리베든,9,t,f,f
861,리비우스,12,t,f,f
862,리쇼나,9,t,f,f
863,리아나,9,t,f,f
864,리아니아,12,t,f,f
865,리젤라,9,t,f,f
866,리키니우스,15,t,f,f
867,리턴드,9,t,f,f
868,리턴드말,12,t,f,f
869,리헤이,9,t,f,f
870,린노르예트,15,t,f,f
871,린드크베,12,t,f,f
872,린사이,9,t,f,f
873,마낭,6,t,f,f
874,마두렐,9,t,f,f
875,마레네,9,t,f,f
876,마르가나,12,t,f,f
877,마르셀,9,t,f,f
878,마르스,9,t,f,f
879,마르켈루스,15,t,f,f
880,마르크,9,t,f,f
881,마르트,9,t,f,f
882,마리안,9,t,f,f
883,마리안노르예트,21,t,f,f
884,마리안느,12,t,f,f
885,마리안위어드윈드,24,t,f,f
886,마리안트리스테,21,t,f,f
887,마부르네,12,t,f,f
888,마야,6,t,f,f
889,마엘와스,12,t,f,f
890,마우르,9,t,f,f
891,마을청년,12,t,f,f
892,마이아,9,t,f,f
893,마틴,6,t,f,f
894,마하데비고릴라,21,t,f,f
895,만다르,9,t,f,f
896,만드라고라,15,t,f,f
897,만프레드,12,t,f,f
898,말라다스,12,t,f,f
899,말러,6,t,f,f
900,말리카,9,t,f,f
901,망가진시체,15,t,f,f
902,매머드,9,t,f,f
903,맥널티,9,t,f,f
904,맹한야우스,15,t,f,f
905,머리없는검사,18,t,f,f
906,머리없는기사,18,t,f,f
907,먼지구름대장바이암,27,t,f,f
908,먼지구름바이암,21,t,f,f
909,메다드,9,t,f,f
910,메드리아나,15,t,f,f
911,메렐,6,t,f,f
912,메르간,9,t,f,f
913,메아넬,9,t,f,f
914,메어,6,t,f,f
915,메이프,9,t,f,f
916,메트,6,t,f,f
917,멘디,6,t,f,f
918,멜리사라,12,t,f,f
919,멜리키우스,15,t,f,f
920,모니카,9,t,f,f
