id,skill_id,effect_id,weight,start_level,end_level,friendly,non_friendly,target_buff_tag_id,target_nobuff_tag_id,source_buff_tag_id,source_nobuff_tag_id,chance,front,back,target_npc_tag_id,application_method_id,synergy_text,consume_source_item,consume_item_id,consume_item_count,always_hit
330,10198,326,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
333,10200,329,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
360,10260,358,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
393,10235,393,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
540,10390,545,0,1,99,t,t,,,,,100,t,t,,1,f,f,,1,f
551,10399,556,0,1,99,t,t,,,,229,100,t,t,,1,f,f,,1,f
603,10431,615,0,1,99,f,t,,,,,100,t,t,,1,f,f,,1,f
606,10433,618,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
635,10455,660,0,1,99,t,t,,,,,100,t,t,,1,f,f,,1,f
670,10473,708,0,1,99,t,t,,,,,100,t,t,,1,f,f,,1,f
671,10474,709,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
673,10475,711,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
679,10481,720,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
699,10496,747,0,1,99,t,t,,,165,,100,t,t,,1,t,f,,1,f
708,10499,756,0,1,99,f,t,,,,,100,t,t,,1,f,f,,1,f
712,10502,760,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
715,10492,763,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
717,10503,765,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
722,10505,772,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
729,10487,781,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
733,10502,787,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
734,10502,788,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
738,10510,794,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
739,10511,795,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
740,10512,796,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
741,10513,797,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
742,10514,798,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
744,10515,800,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
745,10515,801,100,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
746,10514,802,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
749,10517,805,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
750,10518,806,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
751,10521,807,100,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
752,10522,808,100,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
754,10103,810,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
756,10526,812,0,1,99,t,t,,,,,100,t,t,,1,f,f,,1,f
770,10546,826,0,15,24,t,t,,,,,100,t,t,,1,f,f,,1,f
780,10547,839,0,1,99,t,t,,,,569,100,t,t,,1,f,f,,1,f
788,10534,847,0,1,99,t,f,,381,,,100,t,t,,1,f,f,,1,t
804,10568,869,100,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
811,10569,876,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
812,10576,877,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
813,10577,878,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
819,10580,889,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
820,10581,890,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
822,10582,892,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
823,10583,893,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
825,10583,895,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
831,10586,902,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
832,10587,903,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
833,10588,904,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
835,10589,906,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
836,10590,907,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
837,10575,908,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
845,10594,916,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
848,10602,919,0,0,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
849,10603,920,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
851,10605,922,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
866,10385,937,0,1,99,t,t,,107,,,100,t,t,,1,f,f,,1,f
872,10501,943,0,1,99,t,t,,,,,100,t,t,,1,f,f,,1,f
875,10645,946,0,5,14,t,t,,,,516,100,t,t,,1,f,f,,1,f
882,10648,958,0,1,99,t,t,,,,,100,t,t,,1,f,f,,1,f
886,10648,962,0,1,99,t,t,,166,,,100,t,t,,1,f,f,0,1,f
891,10652,968,0,19,23,f,t,,,,,100,t,t,,1,f,f,,1,f
893,10654,970,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
897,10656,977,0,1,99,t,t,,107,,,100,t,t,,1,f,f,0,1,f
900,10660,980,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
906,10635,986,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
907,10636,987,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
908,10636,988,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
909,10636,989,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
910,10663,990,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
911,10663,991,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
912,10664,992,0,1,99,t,t,,,,,100,t,t,,1,f,f,,1,f
916,10665,996,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
919,10637,999,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
920,10637,1000,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
922,10667,1003,0,1,99,t,t,,97,,,100,t,t,,1,f,f,,1,f
927,10669,1010,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
931,10671,1015,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
933,10637,1020,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
935,10639,1022,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
939,10674,1026,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
940,10674,1027,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
941,10674,1028,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
952,10685,1039,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
953,10664,1040,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
961,10481,1054,0,1,99,t,t,,,,,100,t,t,,1,f,f,,1,f
966,10641,1059,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
967,10642,1060,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
971,10694,1065,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
980,10699,1074,0,1,99,t,t,,,,,100,t,t,,1,f,f,,1,f
983,10699,1077,0,1,99,t,t,,10,,,100,t,t,,1,f,f,0,1,f
991,10708,1085,0,1,99,t,t,,,,258,100,t,t,,1,f,f,0,1,f
994,10104,1092,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
997,10710,1096,0,1,99,t,t,,126,,,100,t,t,,1,f,f,,1,f
1002,10712,1101,0,1,99,t,t,,,,,100,t,t,,1,f,f,,1,t
1003,10104,1102,0,1,99,t,t,,361,,,70,t,t,,1,f,f,,1,f
1006,10713,1105,0,1,99,t,t,,,,108,100,t,t,,1,f,f,0,1,f
1007,10715,1106,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1010,10633,1109,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1016,10720,1116,0,1,99,t,t,,381,,,100,t,t,,1,f,f,,1,f
1019,10722,1119,0,36,45,t,t,,,,,100,t,t,,1,f,f,,1,f
1020,10722,1120,0,46,99,t,t,,,,,100,t,t,,1,f,f,,1,f
1021,10722,1121,0,56,99,t,t,,,,,100,t,t,,1,f,f,,1,f
1026,10732,1126,100,13,13,f,t,,,,,100,t,t,,1,f,f,0,1,f
1033,10738,1133,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1034,10534,1134,0,1,99,f,t,,,,,100,t,t,,1,t,f,,1,f
1037,10712,1137,0,1,99,f,t,11,,,,100,t,t,,1,t,f,,1,f
1044,10746,1144,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1049,10748,1149,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1054,10750,1154,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1058,10752,1158,0,1,99,t,t,,373,,,100,t,t,,1,f,f,,1,f
1060,10753,1160,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1061,10753,1161,0,10,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1066,10756,1166,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1067,10759,1167,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1068,10760,1168,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1074,10762,1174,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1076,10763,1176,0,1,99,f,t,,,,,100,t,t,,1,f,f,,1,f
1077,10764,1177,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1078,10765,1178,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1079,10766,1179,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1080,10767,1180,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1081,10768,1181,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1082,10769,1182,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1083,10770,1183,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1084,10771,1184,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1085,10772,1185,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1086,10773,1186,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1087,10774,1187,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1088,10775,1188,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1089,10776,1189,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1090,10777,1190,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1091,10778,1191,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1092,10779,1192,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1093,10780,1193,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1098,10781,1198,0,1,99,f,t,,,,,100,t,t,,1,f,f,0,1,f
1099,10781,1199,0,29,99,f,t,,,,,100,t,t,,1,f,f,,1,f
1100,10782,1200,0,1,99,t,t,,,,,100,t,t,,1,f,f,,1,f
1103,10783,1203,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1104,10784,1204,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1105,10785,1205,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1106,10786,1206,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1107,10787,1207,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1108,10788,1208,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1109,10789,1209,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1110,10790,1210,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1111,10791,1211,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1112,10792,1212,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1113,10793,1213,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1114,10794,1214,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1115,10795,1215,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1116,10796,1216,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1117,10797,1217,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1118,10798,1218,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1119,10799,1219,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1120,10800,1220,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1121,10801,1221,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1122,10802,1222,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1123,10803,1223,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1124,10804,1224,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1125,10805,1225,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1126,10806,1226,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1127,10807,1227,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1128,10808,1228,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1129,10809,1229,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1130,10810,1230,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1131,10811,1231,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1132,10812,1232,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1133,10813,1233,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1134,10814,1234,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1135,10815,1235,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1136,10816,1236,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1137,10817,1237,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1138,10818,1238,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1139,10819,1239,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1140,10820,1240,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1141,10821,1241,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1142,10822,1242,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1143,10823,1243,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1144,10824,1244,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1145,10825,1245,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1146,10826,1246,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1147,10827,1247,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1148,10828,1248,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1149,10829,1249,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1150,10830,1250,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1151,10831,1251,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1152,10832,1252,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1153,10833,1253,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1154,10834,1254,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1155,10835,1255,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1156,10836,1256,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1157,10837,1257,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1158,10838,1258,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1159,10839,1259,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1160,10840,1260,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1161,10841,1261,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1162,10842,1262,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1163,10843,1263,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1164,10844,1264,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1165,10846,1265,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1166,10847,1266,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1167,10849,1267,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1168,10850,1268,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1169,10851,1269,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1170,10852,1270,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1171,10853,1271,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1172,10854,1272,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1173,10855,1273,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1174,10856,1274,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1175,10857,1275,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1176,10858,1276,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1177,10859,1277,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1178,10860,1278,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1179,10861,1279,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1180,10862,1280,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1181,10863,1281,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1182,10864,1282,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1183,10865,1283,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1184,10866,1284,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1187,10867,1287,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1188,10868,1288,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1189,10869,1289,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1190,10870,1290,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1191,10871,1291,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1192,10872,1292,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1193,10873,1293,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1194,10874,1294,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1195,10875,1295,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1196,10876,1296,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1197,10877,1297,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1198,10878,1298,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1199,10879,1299,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1200,10880,1300,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1201,10881,1301,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1202,10882,1302,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1203,10883,1303,0,1,99,f,t,,,,,100,t,t,,1,f,f,0,1,f
1204,10883,1304,0,1,99,f,t,,,,,100,t,t,,1,f,f,,1,f
1205,10884,1305,0,1,99,f,t,,,,,100,t,t,,1,f,f,,1,f
1206,10885,1306,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1207,10886,1307,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1208,10887,1308,0,1,99,t,t,,,,,100,t,t,,1,f,f,0,1,f
1209,10888,1309,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1210,10889,1310,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1211,10890,1311,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1213,10891,1313,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1214,10892,1314,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1215,10893,1315,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1217,10894,1317,0,1,99,t,t,6,,,,100,t,t,,2,f,f,0,1,f
1218,10895,1318,0,1,99,t,t,12,,,,100,t,t,,2,f,f,0,1,f
1219,10895,1319,0,1,99,t,t,14,,,,100,t,t,,2,f,f,0,1,f
1222,10896,1322,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1223,10897,1323,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1224,10898,1324,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1226,10900,1326,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1227,10901,1327,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1230,10903,1331,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1231,10904,1332,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1232,10905,1333,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1233,10906,1334,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1234,10907,1335,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1235,10908,1336,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1236,10909,1337,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1237,10910,1338,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1238,10911,1339,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1239,10912,1340,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1240,10913,1341,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1241,10914,1342,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1242,10915,1343,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1243,10916,1344,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1244,10917,1345,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1245,10918,1346,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1246,10919,1347,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1247,10920,1348,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1248,10921,1349,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1249,10922,1350,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1250,10923,1351,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1251,10924,1352,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1252,10925,1353,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1253,10926,1354,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1254,10927,1355,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1255,10928,1356,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1256,10929,1357,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
1257,10930,1358,0,1,99,t,t,,,,,100,t,t,,2,f,f,0,1,f
