id,use_ragdoll,use_ragdoll_hit,hit_power,rope_back,beanstalk_back,hrope_down,radius,height,model_file,movement_id,sight_range,sight_fov,shared_dummy_model,use_random_idle_control,fly_mode,underwater_creature,attack_start_range,physics_flags,physics_mass,physics_stiffness_scale,physics_living_mass,physics_living_gravity,physics_living_air_resistance,physics_living_k_air_control,physics_living_max_vel_ground,physics_living_min_slide_angle,physics_living_max_climb_angle,physics_living_min_fall_angle,physics_living_time_impulse_recover,physics_living_collider_mat,game_look_ik_blend_spine1,game_look_ik_blend_spine2,game_look_ik_blend_spine3,game_look_ik_blend_neck,game_look_ik_blend_head,game_bow_look_ik_blend_spine1,game_bow_look_ik_blend_spine2,game_bow_look_ik_blend_spine3,game_bow_look_ik_blend_neck,game_bow_look_ik_blend_head,game_sprint_multiplier,game_strafe_multiplier,game_backward_multiplier,game_grab_multiplier,game_walk_multiplier,game_inertia,game_inertia_accel,game_jump_height,game_lean_shift,game_lean_angle,game_max_grab_mass,game_max_grab_volume,slope_alignment,rope_hanging_hand_offset_x,rope_hanging_hand_offset_y,rope_hanging_hand_offset_z,portrait,use_ragdoll_knock_down,animation_graph,upperbody_graph,turn_speed,push_ragdoll,face_target_instantly,ground_targetable,swim_height,actor_height,hand_rate,game_walk_strafe_multiplier,game_walk_backward_multiplier,game_forward_multiplier,game_forward_diagonal_multiplier,game_backward_diagonal_multiplier,game_walk_forward_diagonal_multiplier,game_walk_backward_diagonal_multiplier
11,t,t,100,0.22,0.5,1.0,0.4,1.5,objects/Characters/ferre/male/nude/fe_m.cdf,0,10.0,180.0,f,t,f,f,10.0,0,80,73,80,25.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.5,1.0,0.65,0.5,0.45,0.0,0.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,f,player_full_body.xml,player_upper_body.xml,360.0,f,t,f,0.2,2.0,0.9,0.45,0.2925,1.0,1.0,0.65,0.45,0.2925
12,t,t,100,0.22,0.5,1.07,0.4,1.5,objects/Characters/ferre/female/nude/fe_f.cdf,0,10.0,180.0,f,t,f,f,10.0,0,80,73,80,25.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.5,1.0,0.65,0.5,0.45,0.0,0.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,f,player_full_body.xml,player_upper_body.xml,360.0,f,t,f,0.2,1.7,0.9,0.45,0.2925,1.0,1.0,0.65,0.45,0.2925
13,t,t,10,0.22,0.5,2.2,0.4,1.5,objects/Characters/returned/male/nude/re_m.cdf,0,10.0,180.0,f,t,f,f,10.0,0,80,73,80,25.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.65,0.5,0.45,0.0,0.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,f,player_full_body.xml,player_upper_body.xml,360.0,f,t,f,0.2,1.8,0.9,0.45,0.2925,1.0,1.0,0.65,0.45,0.2925
14,t,t,10,0.22,0.5,2.2,0.7,0.7,objects/Characters/returned/female/nude/re_f.cdf,0,10.0,180.0,f,t,f,f,10.0,0,80,73,80,25.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.45,0.0,0.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,f,player_full_body.xml,player_upper_body.xml,360.0,f,t,f,0.2,1.8,0.9,0.45,0.45,1.0,1.0,0.7,0.45,0.45
15,t,t,10,0.22,0.5,1.0,0.4,1.5,objects/Characters/warborn/male/nude/wa_m.cdf,0,10.0,180.0,f,t,f,f,10.0,0,80,73,80,25.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.65,0.5,0.45,0.0,0.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,f,player_full_body.xml,player_upper_body.xml,360.0,f,t,f,0.2,2.26,0.9,0.45,0.2925,1.0,1.0,0.65,0.45,0.2925
16,t,f,10,0.22,0.5,2.2,0.7,0.7,objects/Characters/nuian/female/nude/nu_f.cdf,0,10.0,180.0,f,f,f,f,10.0,0,140,73,140,25.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.45,0.0,0.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,t,player_full_body.xml,player_upper_body.xml,360.0,f,t,f,0.2,1.8,0.9,0.45,0.45,1.0,1.0,0.7,0.45,0.45
17,t,f,10,0.22,0.5,2.2,0.5,0.5,,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,t,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
18,t,f,10,0.22,0.5,2.2,1.0,1.0,,0,10.0,180.0,f,f,f,f,10.0,0,500,73,500,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,t,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
19,t,t,10,0.22,0.5,2.2,1.0,1.0,objects/characters/monster/orc/warrior/orc_warrior.cdf,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,t,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
20,t,f,10,0.22,0.5,2.2,0.5,0.5,,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,t,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
21,t,f,10,0.22,0.5,2.2,0.5,0.5,,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,t,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
22,t,f,10,0.22,0.5,2.2,0.5,0.5,,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,t,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
23,t,f,10,0.22,0.5,2.2,0.5,0.5,objects/characters/monster/gnoll/gnoll_thrower/gnoll.cdf,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,t,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
24,t,f,10,0.22,0.5,2.2,0.5,0.5,,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,t,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
25,t,f,10,0.22,0.5,2.2,0.5,0.5,objects/characters/monster/ogre_bulky/nude/ogre_bulky.chr,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,t,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
26,t,f,10,0.22,0.5,2.2,1.0,1.0,objects/characters/monster/orc_flathead/nude/orc_flathead.cdf,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,t,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
27,t,f,10,0.22,0.5,2.2,0.5,0.5,objects/characters/monster/seafolk/seafolk_female_goldsea/seafolk_female_goldsea.chr,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,t,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
28,t,f,10,0.22,0.5,2.2,2.5,2.5,objects/characters/monster/troll/troll.cdf,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,ui/portrait/troll.dds,f,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
31,t,f,10,0.22,0.5,2.2,0.4,0.4,objects/characters/animals/sheep/sheep_03.chr,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,t,0.0,0.0,2.05,ui/portrait/sheep_03.dds,t,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
33,t,f,10,0.22,0.5,2.2,0.5,0.5,objects/Characters/performance_tft/ha_f_base.cdf,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,t,player_full_body.xml,player_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
35,t,f,10,0.22,0.5,2.2,0.5,0.5,,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,,t,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
36,t,f,10,0.22,0.5,2.2,0.5,0.5,objects/Characters/animals/blackbird/blackbird.chr,2,10.0,180.0,f,f,t,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,ui/portrait/blackbird.dds,f,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
37,t,f,10,0.22,0.5,2.2,0.5,0.5,objects/characters/monster/wood_elemental/wood_elemental.cdf,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,ui/portrait/wood_elemental.dds,f,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
38,t,f,10,0.22,0.5,2.2,1.2,1.2,objects/characters/monster/deer_male/deer_male.cdf,0,10.0,180.0,f,f,f,f,10.0,0,200,73,200,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,t,0.0,0.0,2.05,ui/portrait/deer_male.dds,f,monster_full_body.xml,monster_upper_body_mub.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
39,t,f,10,0.22,0.5,2.2,0.5,0.5,objects/characters/monster/sarracenia/sarracenia.chr,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,ui/portrait/sarracenia.dds,f,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
40,t,f,10,0.22,0.5,2.2,0.5,0.5,objects/characters/monster/fepee/fepee_gweonid/fepee_gweonid.cdf,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,ui/portrait/fepee.dds,f,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
41,t,f,10,0.22,0.5,2.2,0.5,0.5,objects/characters/monster/waterelemental/waterelemental.cdf,0,10.0,180.0,f,f,f,f,10.0,0,140,73,140,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,ui/portrait/waterelemental.dds,f,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
42,t,f,10,0.22,0.5,2.2,1.0,1.0,objects/Characters/animals/horse/horse.cdf,1,10.0,180.0,f,f,f,f,10.0,0,100,73,100,30.0,0.29,0.9,20,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,0.133,0.2,0.5,0.2,4.0,11.0,1.3,0.35,15,70,2.0,t,0.0,0.0,2.05,ui/portrait/horse.dds,t,horse_full_body.xml,,360.0,f,t,f,0.3,1.8,0.9,0.2,0.2,1.0,1.0,0.2,0.2,0.2
44,t,f,100,0.22,0.5,2.2,0.8,0.8,objects/characters/monster/orc/warrior/orc_warrior.cdf,0,10.0,180.0,f,f,f,f,10.0,0,140,73,140,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,ui/portrait/orc_warrior.dds,f,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
45,t,f,10,0.22,0.5,2.2,0.5,0.5,objects/characters/monster/porcupineslime/porcupineslime.chr,0,10.0,180.0,f,f,f,f,10.0,0,80,73,80,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,t,0.0,0.0,2.05,ui/portrait/porcupineslime.dds,f,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
46,t,f,1,0.22,0.5,2.2,1.5,1.5,objects/characters/monster/stonegolem/stonegolem.chr,0,10.0,180.0,f,f,f,f,10.0,0,500,73,500,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,ui/portrait/stonegolem.dds,f,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
47,t,f,10,0.22,0.5,2.2,1.5,1.5,objects/characters/monster/spider_ring/spider_ring.chr,0,10.0,180.0,f,f,f,f,10.0,0,140,73,140,20.0,0.29,0.9,30,45.0,50.0,50.0,1.0,mat_player_collider,0.05,0.1,0.15,0.0,0.7,0.05,0.15,0.35,0.0,0.7,1.5,1.0,0.7,0.5,0.4,20.0,11.0,1.3,0.35,15,70,2.0,f,0.0,0.0,2.05,ui/portrait/spider_ring.dds,f,monster_full_body.xml,monster_upper_body.xml,360.0,f,t,f,0.0,1.8,0.9,0.4,0.4,1.0,1.0,0.7,0.4,0.4
