id,quest_component_text_kind_id,quest_component_id,text
431,4,719,남부 부서지는 해안의 위험한 모래톱 지역에서 @NPC_NAME(804)를 찾아야 합니다.
436,4,244,위험한 모래톱에서 @NPC_NAME(790)을 찾아 처치하고 @ITEM_NAME(2724)을 획득해야 합니다.
437,4,245,모래 먼지 마을에 있는 @NPC_NAME(766)에게 @ITEM_NAME(2724)을 가져가야 합니다.
442,4,165,@NPC_NAME(679)에게서 받은 @ITEM_NAME(14682)들을 @ITEM_NAME(1538)를 이용해 이어붙여야 합니다.
454,4,209,모래 먼지 마을의 @NPC_NAME(766) 주변에서 술병을 찾아 집어든 다음 힘껏 던져서 깨버려야 합니다.
455,4,211,모래 먼지 마을에 있는 @NPC_NAME(766)에게 정신 차리라고 말해주어야 합니다.
463,4,262,남부 칼바람 평원의 들소몰이 벌판에서 @NPC_NAME(779)를 퇴치해야 합니다.
512,4,157,북부 칼바람 평원 피바람 절벽 근처에서 @NPC_GROUP_NAME(198)를 처치하고 그들의 비밀문서를 얻어내야 합니다.
593,4,748,북부 솔즈리드 평원의 양 목장으로 이동하여 @NPC_NAME(5329)에게 선돌 문양 탁본을 전합니다.
595,4,786,파수 마을의 @NPC_NAME(11189)에게 @ITEM_NAME(16490)|1을;를; 전달해야 합니다.
615,4,1003,경작지의 @NPC_NAME(3526)에게 토끼굴에 불을 지른 사실을 알립니다.
667,4,676,방황하는 숲의 불모지에서 @NPC_GROUP_NAME(21)을 처치합니다.
692,4,756,누잔의 수련장에 있는 @NPC_NAME(567)에게 @ITEM_NAME(14517)을 전합니다.
724,4,768,누잔의 수련장에 있는 @NPC_NAME(567)에게 돌아가야 합니다.
783,4,1192,우윳빛 강 마을의 @NPC_NAME(3542)에게 갈색 두건을 건넵니다.
857,4,238,로즈엔드 초소 주변에 퍼져 있는 @NPC_NAME(789)들을 처치해야 합니다.
874,4,239,로즈엔드 초소에 있는 @NPC_NAME(9993)에게 돌아가 @NPC_NAME(789)들을 모두 제거했다고 보고해야 합니다.
915,4,706,노리스의 광산으로 돌아가 @NPC_NAME(730)에게 @NPC_NAME(731) 처치 소식을 전해야 합니다.
926,4,1521,바라기 마을의 @NPC_NAME(3512)|1을;를; 만납니다.
932,4,1525,"북부 칼바람 평원, 외로운 오아시스 근처에 있는 @NPC_NAME(5850)에게 @ITEM_NAME(14930)을 전달해야 합니다. "
948,4,1528,남부 칼바람 평원의 들소몰이 벌판에서 @NPC_NAME(780)를 처치하고 @ITEM_NAME(3828)을 얻어야 합니다.
950,4,1529,모래 먼지 마을에 있는 @NPC_NAME(764)에게 @ITEM_NAME(3828)을 전달해야 합니다.
968,4,755,누잔의 수련장에 있는 @NPC_NAME(567)에게 @ITEM_NAME(14517)을 전합니다.
971,4,761,숲의 인도자 주변의 @NPC_NAME(7625)을 처치합니다.
989,4,925,그위오니드 호수 안쪽에 밝게 빛나고 있는 신성한 샘에서 실종한 아이오느의 흔적을 찾아야 합니다.
999,4,946,기억의 터로 올라가는 길에 있는 @NPC_NAME(6491)에게 갑니다.
1001,4,954,"소용돌이 지대에 있는 바람 정령의 생명력을 절반 이하로 낮춘 후,  @ITEM_NAME(1431)|1을;를; 사용해 @ITEM_NAME(1432)|1을;를; 추출합니다."
1009,4,979,영매의 거처에 있는 @NPC_NAME(600)에게 돌아가야 합니다.
1014,4,964,환상 습지대를 배회하는 @NPC_NAME(611)를 찾아내 처치해야 합니다.
1015,4,965,환상 습지대의 @NPC_NAME(6490)에게 돌아가 @NPC_NAME(611)을 처치한 사실을 알립니다.
1022,4,1050,바람의 폐허에 있는 @NPC_NAME(525)|1을;를; 처치합니다.
1029,4,1071,@ITEM_NAME(1459)를 영혼의 안식처에서 페피의 숲으로 가는 길에 있는 @NPC_NAME(619)에게 전달합니다.
1037,4,527,베아르 야영지 남쪽에 있는 @NPC_NAME(5931)에게 @ITEM_NAME(14404)를 전합니다.
1040,4,1089,환상 습지대에 있는 @NPC_NAME(556)들을 처치해야 합니다.
1041,4,1090,환상 습지대의 @NPC_NAME(6487)에게 돌아갑니다.
1044,4,1100,릴리엇 구릉지로 향하는 길에 놓인 @DOODAD_NAME(677)을 제거합니다.
1046,4,1102,가시덩굴 숲 동쪽 끄트머리의 @NPC_NAME(3990)에게 가시덩굴을 제거한 사실을 알립니다.
1058,4,1128,릴리엇 구릉지로 이동하여 이프나의 후예 @NPC_NAME(6536)가 있는 야영지를 찾아야 합니다.
1062,4,1259,하얀 숲 남부에서 희귀하게 채취할 수 있는 식물인 @ITEM_NAME(17471)을 채취해야 합니다.
1063,4,1260,하얀 숲 남부에 있는 @NPC_NAME(2072)에게 돌아가야 합니다.
1064,4,1262,@NPC_NAME(2032)들을 처치하여 부상자들을 치료하는 동안 하얀 숲의 수호자들을 보호해야 합니다.
1065,4,1274,하얀 숲 남부에 있는 @NPC_NAME(2071)에게 돌아가야 합니다.
1066,4,1280,@NPC_NAME(2032)에게 @ITEM_NAME(3989)을 사용하여 @ITEM_NAME(3990)를 추출해야 합니다.
1067,4,1281,하얀 숲 남부에 있는 @NPC_NAME(2107)에게 돌아가야 합니다.
1076,4,1371,하얀 숲의 수호자 @NPC_NAME(2074)와 대화해 오해를 풀어야 합니다.
1079,4,1379,@NPC_NAME(2076)|1과;와; 이야기하여 하얀 숲의 수호자들이 오해하고 있는 부분을 풀어야 합니다.
1080,4,1380,하얀 숲의 수호자 @NPC_NAME(2074)에게 돌아가야 합니다.
1081,4,1383,"하얀 숲 서부에서 @NPC_NAME(2052)와 @NPC_NAME(2027)를 처치한 후, 하얀 숲 서부 길목의 이정표 옆에 서 있는 @NPC_NAME(2108)에게 보고합니다. "
1085,4,1390,하얀 숲 중앙에 위치한 자작나무 마을의 잡화상인 @NPC_NAME(2079)와 대화하여 @ITEM_NAME(15645)의 주인에 대해 알아내야 합니다.
1092,4,1402,미망인의 여울목에서 계속 약혼자를 애도하고 있는 @NPC_NAME(2077)에게 @ITEM_NAME(15683)를 건네줘야 합니다.
1106,4,1424,하얀 숲의 심장부에서 하얀 숲의 수호자 @NPC_NAME(2081)을 만나 @ITEM_NAME(3995)을 보여줘야 합니다.
1107,4,1425,하얀 숲의 수호자들의 우두머리인 @NPC_NAME(2082)를 알현해야 합니다.
1108,4,1030,초승달 호수 앞에 있는 @NPC_NAME(3527)에게 @ITEM_NAME(3903)|1을;를; 전합니다.
1131,4,395,@NPC_NAME(7826) 옆에 @NPC_NAME(7828)|1과;와; 대화합니다.
1134,4,1437,하얀 숲 심장부 북쪽에 있는 @DOODAD_NAME(908)를 열어 @ITEM_NAME(4878)을 구해와야 합니다.
1135,4,1438,수호자의 부락에 있는 @NPC_NAME(2082)에게 @ITEM_NAME(4878)을 되돌려줘야 합니다.
1136,4,1440,하얀 숲의 심장부에서 전사한 @ITEM_NAME(3997)들을 회수해야 합니다.
1137,4,1441,@NPC_NAME(2083)에게 전사한 @ITEM_NAME(3997)들을 전달해야 합니다.
1139,4,1446,@NPC_NAME(2082)에게 하얀 숲 심장부에서의 전투가 끝났다는 것을 보고해야 합니다.
1140,4,1467,하얀 숲의 심장부 입구에서 만날 수 있는 @NPC_NAME(10766)에게 보고해야 합니다.
1141,4,1466,"하얀 숲 동부에 고립된 하얀 숲의 수호자 부대를 위해 @NPC_NAME(2036), @NPC_NAME(2037), @NPC_NAME(2038)|1을;를; 무찔러야 합니다."
1142,4,1470,"하얀 숲 동부의 @NPC_NAME(2038)에게 @ITEM_NAME(3999)|1을;를;  사용하여 @ITEM_NAME(4000)|1을;를; 만든 뒤, 그것을 이용해 @NPC_GROUP_NAME(230)|1을;를; 처치합니다."
1149,4,1473,하얀 숲 동부에서 되살아난 생명체들을 조종하고 있는 @NPC_NAME(2042)를 제거해야 합니다.
1150,4,1474,하얀 숲 동부에서 만날 수 있는 @NPC_NAME(2086)에게 승리를 보고해야 합니다.
1155,4,1494,주변 농작물을 망치고 있는 @NPC_NAME(2016)를 퇴치해야 합니다.
1156,4,1496,"@NPC_NAME(2095)에게 @NPC_NAME(2016)
퇴치에 대해 이야기하고 보수를 받아야 합니다."
1160,4,1448,@NPC_NAME(2097)가 이야기한 부러진 날개의 형제회 진지가 있는 분열된 십자로로 가서 그곳의 책임자인 @NPC_NAME(2099)과 대화합니다.
1162,4,1455,분열된 십자로 북동쪽의 검은갈기 일족의 마을에서 활동하는 놀의 @NPC_NAME(2098)를 퇴치하고 증거로 @ITEM_NAME(4004)을 얻습니다.
1163,4,1450,분열된 십자로 인근 코볼트 출몰 지역에서 @NPC_NAME(2043)를 사냥하여 그들의 @ITEM_NAME(4005)을 모아야 합니다.
1164,4,1451,@NPC_NAME(2106)에게 돌아가 @ITEM_NAME(4005) 수집을 모두 마쳤다고 보고합니다.
1165,4,1480,분열된 십자로 근방을 어슬렁거리는 부러진 날개의 형제회의 골칫거리 @NPC_GROUP_NAME(18)를 제거해야 합니다.
1166,4,1482,@NPC_NAME(2099)에게 돌아가 그들의 골칫거리 @NPC_GROUP_NAME(18)가 해결되었다는 것을 알려야 합니다.
1167,4,1483,"@ITEM_NAME(4006)을 분열된 십자로 인근에 서식하는 놀에게 사용한 뒤, @ITEM_NAME(4007)를 구해와야 합니다."
1168,4,1485,@NPC_NAME(2100)에게 돌아가 @ITEM_NAME(4007)를 전달해야 합니다.
1169,4,1463,분열된 십자로 주변에 서식하는 @NPC_GROUP_NAME(17)를 처치해야 합니다.
1178,4,1512,이 미심쩍은 거대한 푸른 수정을 어떤 용도에 사용하려던 것인지 @NPC_NAME(10537)에게 물어보아야 합니다.
1181,4,1458,붉은 이끼 동굴에 있는 트롤 @NPC_NAME(2023)를 처치합니다.
1182,4,1516,|nn;@NPC_NAME(2102)|r에게 더는 붉은 이끼 동굴의 트롤 @NPC_NAME(2023)를 걱정할 필요가 없다고 알려줘야 합니다.
1191,4,1558,푸른 안개 숲의 @NPC_NAME(7648)과 @NPC_NAME(7674)|1을;를; 처치합니다.
1213,4,678,방황하는 숲의 불모지 근처에 있는 @NPC_NAME(3680)에게 돌아가야 합니다.
1217,4,1377,고요한 언덕의 로이스터 야영지로 가서 @NPC_NAME(680)을 만나야 합니다.
1256,4,959,바람의 폐허에 위치한 리미온 야영지의 @NPC_NAME(593)을 만납니다.
1262,4,956,바람의 폐허에 있는 리미온 야영지로 가서 @NPC_NAME(3673)을 만납니다.
1265,4,31,황금 실타래 마을 근처에 있는 고블린 소굴에서 @DOODAD_NAME(914)를 찾아야 합니다.
1267,4,32,황금 실타래 마을에 있는 @NPC_NAME(629)에게 @ITEM_NAME(13739)을 돌려줘야 합니다.
1273,4,99,황금 실타래 마을에 있는 @NPC_NAME(441)에게 돌아가 @NPC_NAME(4942) 처치 소식을 전해야 합니다.
1374,4,1532,@NPC_GROUP_NAME(19)에게서 @ITEM_NAME(5051)를 되찾아야 합니다.
1385,4,633,바라기 마을 주변에서 @NPC_NAME(3475)|1을;를; 처치하고 @ITEM_NAME(4058)|1을;를; 구해옵니다.
1414,4,1609,백월만의 @NPC_NAME(3530)에게 @ITEM_NAME(3811)|1을;를; 건넵니다.
1429,4,1628,북부 솔즈리드 평원 동쪽에 있는 @NPC_NAME(3602)|1과;와; 대화합니다.
1430,4,1626,북부 솔즈리드 평원 동쪽에 있는 @DOODAD_NAME(2880) 공사를 돕습니다.
1458,4,312,호숫가 마을에 있는 @NPC_NAME(582)|1을;를; 만나야 합니다.
1462,4,1643,파수 마을의 @NPC_NAME(3605)|1을;를; 만납니다.
1491,4,187,소란스러운 들판과 북부 칼바람 평원을 잇는 다리 근처에서 @NPC_NAME(715)를 만나야 합니다.
1492,4,1195,잊혀진 성으로 이동하여 @NPC_NAME(3486)|1을;를; 처치해야 합니다.
1509,4,1370,@NPC_NAME(2076) 북쪽에 있는 작은 나루터에서 잃어버린 @ITEM_NAME(3994)를 찾아줘야 합니다.
1588,4,1415,하얀 숲 나루터 인근에서 @NPC_NAME(2080)를 제거해야 합니다.
1592,4,1416,@NPC_NAME(2077)에게 돌아가서 @NPC_NAME(2080) 괴물을 처치한 사실을 고합니다.
1642,4,1445,@ITEM_NAME(3998)을 사용하여 하얀 숲 동부로 가는 길목을 가로막는 @NPC_NAME(2103)을 처치해야 합니다.
1651,4,1461,@NPC_NAME(2102)에게 @ITEM_NAME(4008)을 돌려줘야 합니다.
1652,4,1460,동굴에서 미처 챙겨 나오지 못한 불쌍한 피난민 @ITEM_NAME(4008)들을 찾아다 줘야 합니다.
1688,4,1984,황금 실타래 마을에 있는 @NPC_NAME(629)와 대화를 나눠야 합니다.
1696,4,1342,황금 실타래 마을로 돌아가 @NPC_NAME(440)에게 양들은 무사하다고 알려야 합니다.
1698,4,2004,황금 실타래 마을 근처 고블린 소굴에서 @NPC_NAME(4942)를 처치해야 합니다.
1701,4,2012,황금 실타래 마을의 양 방목장 주변에서 @NPC_NAME(4941)들을 몰아내야 합니다.
1707,4,1347,황금 실타래 마을로 가서 @NPC_NAME(441)에게 @NPC_NAME(439)의 말을 전해야 합니다.
1708,4,2000,@ITEM_NAME(21254)를 보고 @NPC_NAME(439)의 위치를 추적해야 합니다.
1714,4,2002,고블린 소굴에서 @NPC_NAME(4945)가 있는 곳에 붙잡혀 있는 @NPC_NAME(439)를 찾아야 합니다.
1715,4,2132,마리아노플 @NPC_NAME(501)에게 황금 실타래 마을에서 일어난 일에 대해 알려줘야 합니다.
1729,4,2357,start - Texts - summary
1730,5,2357,start - Texts - body
1731,4,2358,progress - Texts - summary
1732,5,2358,progress - Texts - body
1733,4,2359,ready - Texts - summary
1734,5,2359,ready - Texts - body
1735,4,2360,reward - Texts - summary
1736,5,2360,reward - Texts - body
1738,4,2363,마리아노플 서문 근처의 황금 실타래 마을에서 @NPC_NAME(441)를 찾아야 합니다.
1741,4,2365,마리아노플 남서쪽 토리니 정원 관리인 초소에서 @NPC_NAME(458)를 만나야 합니다.
1742,4,41,"토리니 정원에 있는 @NPC_NAME(537)들에게 @ITEM_NAME(4997)을 발라줘야 합니다. 단, 치료 중이거나 싸움 중인 사슴에겐 사용할 수 없습니다."
1743,4,42,토리니 정원 관리인 초소에 있는 @NPC_NAME(458)에게 돌아가야 합니다.
1745,4,2369,토리니 정원 관리인 초소에 있는 @NPC_NAME(458)에게 @ITEM_NAME(4999)를 보여줘야 합니다.
1756,4,2029,놀 처치 소식을 불탄 성 감시 야영지에 있는 @NPC_NAME(2392)에게 전해야 합니다.
1757,4,2023,두 번째 별무덤 진입로에 있는 @NPC_NAME(4965)|1을;를; 만나야 합니다.
1758,4,2026,성지기 언덕의 불탄 성 감시 야영지에 있는 @NPC_NAME(2387)에게 가서 @NPC_NAME(4948)의 말을 전해야 합니다.
1759,4,2028,"야영지 앞마당을 위협하는 @NPC_NAME(2316)|1과;와; @NPC_NAME(2317), @NPC_NAME(2318), @NPC_NAME(2315)|1을;를; 처치해야 합니다."
1761,4,2032,@NPC_GROUP_NAME(248)로부터 @ITEM_NAME(4946)을 되찾아야 합니다.
1763,4,2033,불탄 성 감시 야영지의 @NPC_NAME(7528)에게 빼앗긴 갑옷을 돌려주어야 합니다.
1768,4,2038,@NPC_NAME(2424)과의 대화에서 얻어낸 것을 감시 야영지 근처의 @NPC_NAME(2391)에게 알려야 합니다.
1780,4,2044,불탄 성 감시 야영지 안에 있는 병참장교 마우스에게 사령관의 막사 안에서 발견한 것을 알려줘야 합니다.
1784,4,2050,@NPC_NAME(2421)에게 돌아가 장치 동작 결과를 보고해야 합니다.
1786,4,2062,도망자들의 길에서 @NPC_NAME(2423)|1을;를; 찾아야 합니다.
1787,4,2066,도망자들의 길에 흩어져 있는 @NPC_GROUP_NAME(24)|1을;를; 저 세상으로 보내주어야 합니다.
1788,4,2068,@NPC_GROUP_NAME(24)의 최후를 도망자들의 판자촌에 있는 @NPC_NAME(2423)에게 돌아가 알려야 합니다.
1799,4,2385,황금 실타래 마을을 위협하는 무리를 퇴치하여 마을 사람들이 크게 기뻐합니다.
1810,4,2407,마리아노플 농장에 있는 @NPC_NAME(639)를 찾아 창고엔 별일 없는지 알아봐야 합니다.
1811,4,2097,도망자들의 길에 있는 악마 사냥꾼의 폐허로 가서 @NPC_NAME(2425)의 아들 @NPC_NAME(2426)|1을;를; 만나야 합니다.
1812,4,2410,@NPC_NAME(2425)|1을;를; 위해 @NPC_NAME(2426)|1과;와; 다시 한번 대화를 시도해봐야 합니다.
1815,4,2102,도망자들의 길에 있는 바닷가 절벽 근처에서 도망자의 꽃을 찾은 후 근처에서 페트로이누스의 일기장을 읽고 마리아의 흔적을 찾아야 합니다.
1819,4,2104,도망자들의 판자촌에 머물고 있는 도망자 리아니아에게 돌아가 마리아의 목걸이와 페트로이누스의 일기장을 전달해야 합니다.
1824,4,2108,악마 사냥꾼의 폐가에 있는 @NPC_NAME(2426)에게 @ITEM_NAME(15961)|1을;를; 보여주어야 합니다.
1830,4,2110,도망자들의 판자촌에 머물고 있는 @NPC_NAME(2425)에게 아들 @NPC_NAME(2426)의 소식을 알려야 합니다.
1831,4,2114,"도망자들의 길에 있는 @NPC_NAME(2333)|1을;를; 처치 또는 @NPC_NAME(2335)에게 @ITEM_NAME(4952)|1을;를; 사용해 정화한 뒤, @ITEM_NAME(4953)|1을;를; 수집해야 합니다."
1833,4,2115,도망자들의 판자촌에 있는 @NPC_NAME(2393)에게 @NPC_NAME(2333)|1을;를; 처치한 사실을 알리고 수집한 @ITEM_NAME(4953)|1을;를; 전해줘야 합니다.
1834,4,2122,불탄 성 감시 야영지의 @NPC_NAME(2387)에게 @ITEM_NAME(4954)|1을;를; 전달해야 합니다.
1835,4,2129,시차일드 부두에 있는 @NPC_NAME(2427)|1을;를; 만나 감시 야영지의 @NPC_NAME(2387)의 의견을 전해야 합니다.
1836,4,2125,갯바람 해안과 일식 벌판 주변을 돌아다니는 @NPC_NAME(2308)|1을;를; 잡아 @ITEM_NAME(4955)|1을;를; 수집해야 합니다.
1837,4,2126,@ITEM_NAME(4955)|1을;를; 시차일드 부두에 있는 조선소 주인 @NPC_NAME(2429)에게 전달해야 합니다.
1838,4,2140,시차일드 부두 앞바다로 몰려온 @NPC_GROUP_NAME(25)|1을;를; 퇴치해야 합니다.
1842,4,2142,시차일드 부두에 있는 @NPC_NAME(2427)에게 돌아가 보고해야 합니다.
1850,4,2150,@NPC_NAME(2430)에게 고약한 반지를 준 @NPC_NAME(2431)|1을;를; 시차일드 부두 요새로 가는 길목에서 붙잡아야 합니다.
1851,4,2153,시차일드 부두 안에 있는 요새 꼭대기로 올라가 @DOODAD_NAME(924)|1을;를; 찾아봐야 합니다.
1853,4,2155,@NPC_NAME(2444)|1을;를; 만난 이야기를 시차일드 부두 주점에 있는 @NPC_NAME(2430)에게 전해야 합니다.
1858,4,2159,루푸스의 이야기가 끝이 나면 음유시인 시아즈에게 악기를 다시 돌려주어야 합니다.
1859,4,2158,음유시인 시아즈가 루푸스의 이야기를 부르도록 곁에서 반주를 해줘야 합니다.
1860,4,2423,"보름 분화구의 세 번째 별무덤 근처, 유해 발굴 야영지로 가서 @NPC_NAME(2437)|1을;를; 만나야 합니다."
1874,4,2235,불탄 성 내성 위층에 숨겨져 있는 최후의 석상을 찾은 다음 그 밑을 뒤져 @ITEM_NAME(4956)을 얻어야 합니다.
1882,4,2186,"보름 분화구에서 밤이 되면 나타나는 @NPC_GROUP_NAME(28)|1을;를; 처치해야 합니다. 단, 낮이 되면 @NPC_GROUP_NAME(28)|1은;는; 사라집니다."
1883,4,2187,살리움 원혼군 주둔지에 있는 @NPC_NAME(2420)에게 돌아가 임무 완수를 보고해야 합니다.
1887,4,2190,"일식 벌판과 보름 분화구에서 밤이 되면 나타나는 @NPC_GROUP_NAME(27)을 처치해야 합니다. 단, 낮이 되면 살리움 원혼 병사들은 사라집니다."
1889,4,2191,유해발굴 야영지로 돌아가 @NPC_NAME(10506)에게 살리움 진영의 상황을 알려야 합니다.
1890,4,2208,"밤마다 보름 분화구에서 일리온 원혼군을 지휘하고 있는 @NPC_NAME(2441)|1을;를; 처치해야 합니다. 단, 낮이 되면 @NPC_NAME(2441)|1은 사라집니다."
1891,4,2209,@NPC_NAME(2441) 처치 소식을 살리움 원혼 주둔지에 있는 @NPC_NAME(2420)에게 전해야 합니다.
1895,4,2212,"밤마다 일식 벌판의 살리움 주둔지에서 병사들을 지휘하고 있는 @NPC_NAME(2442)|1을;를; 처치해야 합니다. 단, 캄사스 왕의 원혼은 낮이 되면 사라집니다."
1896,4,2213,보름 분화구 일리온 주둔지에 있는 @NPC_NAME(2419)에게 보고해야 합니다.
1899,4,2200,"일식 벌판 보름 분화구에 밤마다 나타나는 살리움 장군 막사에 @ITEM_NAME(4985)|1을;를; 사용하여 살리움군을 혼란에 빠뜨려야 합니다. 단, 살리움 장군 막사는 낮이 되면 사라집니다."
1900,4,2201,살리움 장군 막사에 불이 붙었음을 일리온 주둔지로 돌아가 @NPC_NAME(7520)에게 보고해야 합니다.
1904,4,2195,"일식 벌판 보름 분화구에 밤마다 나타나는 일리온 사령관 데어데릭의 막사에 @ITEM_NAME(4966)|1을;를; 사용하여 일리온군을 혼란에 빠뜨려야 합니다. 단, 데어데릭의 막사는 낮이 되면 사라집니다."
1905,4,2196,일식 벌판의 살리움 주둔지로 돌아가 일리온 사령관 데어데릭의 막사에 큰 피해를 입혔음을 @NPC_NAME(7521)에게 보고해야 합니다.
1908,4,2218,일식 벌판과 보름 분화구 지역 곳곳에 유골이 있을 법한 흙더미를 파헤쳐 @ITEM_NAME(4973)|1을;를; 수집하거나 @NPC_NAME(2311) 또는 @NPC_NAME(4969)를 처치해야 합니다.
1910,4,2220,유해 발굴 야영지로 돌아가 틸리오에게 늑대를 처치한 사실을 알리고 수집한 @ITEM_NAME(4973)|1을;를; 전달해야 합니다.
1916,4,2258,보름 분화구에 있는 용암석 채집장에서 @ITEM_NAME(25851)|1을;를; 사용해 @DOODAD_NAME(927)|1을;를; 채굴해야 합니다.
1918,4,2259,보름 분화구의 세 번째 별무덤 근처에 있는 @NPC_NAME(2438)|1을;를; 만나 @DOODAD_NAME(927)|1을;를; 전달해야 합니다.
1929,4,2265,황금 평원에 있는 @NPC_NAME(2801)에게 불탄 성의 현 상황을 알려야 합니다.
1930,4,2447,세 번째 별무덤 안으로 들어가 @DOODAD_NAME(938)|1을;를; 찾아야 합니다.
1932,4,2439,마리아노플 남문 외곽에 위치한 농장에서 곤란을 겪고 있다는 @NPC_NAME(641)을 만나야 합니다.
1933,4,2446,유해 발굴 야영지에 있는 @NPC_NAME(2438)에게 @ITEM_NAME(5017)|1을;를; 가져가야 합니다.
1935,4,2456,네 번째 별무덤 한가운데에 있는 분출 지점에 @ITEM_NAME(5019)|1을;를; 떨어뜨리려야 합니다.
1938,4,2457,불탄 성 부두에 있는 스파틸리오란 자에게 그간 있었던 일들에 대해 이야기해주어야 합니다.
1939,4,2182,바닷속 별과 보름 분화구 경계에서 배회하고 있는 @NPC_NAME(2330)들을 처치해야 합니다.
1944,4,2274,노예 농장에 붙잡혀 있다는 @NPC_NAME(2439)을 만나야 합니다.
1945,4,2277,바닷속 별 노예 농장을 지키고 있는 @NPC_GROUP_NAME(112)|1을;를; 처치해야 합니다.
1947,4,2278,노예 농장에 있는 스케인에게 보고해야 합니다.
1948,4,2281,바닷속 별 분출공 주변에서 @DOODAD_NAME(933)를 수집해야 합니다.
1950,4,2283,@DOODAD_NAME(933)를 노예 농장에 있는 @NPC_NAME(2439)에게 전달해야 합니다.
1953,4,2162,시차일드 별장 2층으로 가서 주인인 @NPC_NAME(2384)|1을;를; 처치하고 그로부터 @ITEM_NAME(7742)|1을;를; 획득해야 합니다.
1960,4,2164,시차일드 부두에 있는 @NPC_NAME(2432)에게 @ITEM_NAME(7742)|1을;를; 전달해야 합니다.
1968,4,2168,"시차일드 별장 2층에 있는 루푸스 시차일드에게서 낡은 열쇠를 찾은 뒤, 별장 비밀장소에 있는 @DOODAD_NAME(926)|1을;를; 열어야 합니다."
1969,4,2169,@ITEM_NAME(5048)|1을;를; 획득하였으니 시차일드 @NPC_NAME(2399)에게 자랑하러 가야 합니다.
1974,4,2172,불탄 성에 있는 피 묻은 손들을 처치한 후 @ITEM_NAME(4975)|1을;를; 수집해야 합니다.
1976,4,2287,불탄 성 부두 쪽에서 달아난 @NPC_NAME(2440)|1을;를; 찾아 대화하여야 합니다.
1978,4,2308,불탄 성 외곽을 돌아다니고 있는 피 묻은 손들로부터 @ITEM_NAME(4979)를 되찾아야 합니다.
1980,4,2309,@ITEM_NAME(4979)를 불탄 성 부두에 있는 @NPC_NAME(2440)에게 전달해야 합니다.
1981,4,2312,불탄 성 입구에 서 있는 @NPC_NAME(4971)를 만나봐야 합니다.
1984,4,2290,바닷속 별 분출공에서 서식하고 있는 @NPC_NAME(2312)를 퇴치해야 합니다.
1986,4,2291,불탄 성 부두에 와 있는 @NPC_NAME(4952)에게 분출공의 위험성을 알려야 합니다.
1987,4,2299,난초가 자라는 언덕의 돌기둥 위에 마련된 그리핀 둥지로 올라가 @ITEM_NAME(4976)|1을;를; 수집해야 합니다.
1989,4,2300,수집한 @ITEM_NAME(4976)|1을;를; 불탄 성 부두에 와 있는 @NPC_NAME(2428)에게 전달해야 합니다.
1990,4,2007,불탄 성 입구에 설치된 석상 아래 있는 @ITEM_NAME(4978)|1을;를; 수집해야 합니다.
1992,4,2010,불탄 성 입구에 서 있는 @NPC_NAME(4984)에게 석상에서 @ITEM_NAME(4978)|1을;를; 가져가야 합니다.
