id,actual_id,actual_type
744,201,DamageEffect
747,202,DamageEffect
756,204,DamageEffect
760,205,DamageEffect
763,100,SpecialEffect
765,101,SpecialEffect
772,30,SpawnEffect
779,19,HealEffect
780,209,DamageEffect
781,105,SpecialEffect
787,109,SpecialEffect
788,283,BuffEffect
791,210,DamageEffect
792,211,DamageEffect
794,31,SpawnEffect
795,32,SpawnEffect
796,33,SpawnEffect
797,212,DamageEffect
798,213,DamageEffect
800,285,BuffEffect
801,215,DamageEffect
802,286,BuffEffect
805,35,SpawnEffect
806,216,DamageEffect
807,112,SpecialEffect
808,113,SpecialEffect
810,115,SpecialEffect
812,217,DamageEffect
826,116,SpecialEffect
832,227,DamageEffect
833,228,DamageEffect
839,296,BuffEffect
847,21,HealEffect
852,26,HealEffect
857,27,HealEffect
860,28,HealEffect
861,29,HealEffect
869,238,DamageEffect
876,136,SpecialEffect
877,30,HealEffect
878,2,RestoreManaEffect
880,31,HealEffect
886,3,RestoreManaEffect
889,307,BuffEffect
890,32,HealEffect
892,308,BuffEffect
893,33,HealEffect
895,310,BuffEffect
896,34,HealEffect
902,35,HealEffect
903,4,RestoreManaEffect
904,5,RestoreManaEffect
906,312,BuffEffect
907,313,BuffEffect
908,156,SpecialEffect
916,161,SpecialEffect
919,163,SpecialEffect
920,168,TrainCraftEffect
922,170,TrainCraftEffect
937,242,DamageEffect
943,317,BuffEffect
946,320,BuffEffect
953,248,DamageEffect
956,3,DispelEffect
958,250,DamageEffect
962,326,BuffEffect
966,1,ManaBurnEffect
968,327,BuffEffect
970,173,SpecialEffect
977,174,SpecialEffect
980,41,SpawnEffect
986,45,SpawnEffect
987,46,SpawnEffect
988,47,SpawnEffect
989,48,SpawnEffect
990,175,SpecialEffect
991,330,BuffEffect
992,253,DamageEffect
996,332,BuffEffect
999,177,SpecialEffect
1000,334,BuffEffect
1001,255,DamageEffect
1003,256,DamageEffect
1010,185,TrainCraftEffect
1015,179,SpecialEffect
1020,13,AcceptQuestEffect
1022,345,BuffEffect
1026,51,SpawnEffect
1027,52,SpawnEffect
1028,53,SpawnEffect
1039,59,SpawnEffect
1040,346,BuffEffect
1042,260,DamageEffect
1054,262,DamageEffect
1059,352,BuffEffect
1060,4,DispelEffect
1065,355,BuffEffect
1074,264,DamageEffect
1077,358,BuffEffect
1085,360,BuffEffect
1092,361,BuffEffect
1096,267,DamageEffect
1101,5,DispelEffect
1102,200,SpecialEffect
1105,11,ConversionEffect
1106,201,SpecialEffect
1109,367,BuffEffect
1113,41,HealEffect
1116,42,HealEffect
1119,371,BuffEffect
1120,372,BuffEffect
1121,373,BuffEffect
1126,72,SpawnEffect
1133,77,SpawnEffect
1134,271,DamageEffect
1137,375,BuffEffect
1144,209,SpecialEffect
1149,379,BuffEffect
1154,382,BuffEffect
1158,276,DamageEffect
1160,277,DamageEffect
1161,385,BuffEffect
1166,388,BuffEffect
1167,187,TrainCraftEffect
1168,389,BuffEffect
1174,85,SpawnEffect
1176,280,DamageEffect
1177,188,TrainCraftEffect
1178,189,TrainCraftEffect
1179,190,TrainCraftEffect
1180,191,TrainCraftEffect
1181,192,TrainCraftEffect
1182,193,TrainCraftEffect
1183,194,TrainCraftEffect
1184,195,TrainCraftEffect
1185,196,TrainCraftEffect
1186,197,TrainCraftEffect
1187,198,TrainCraftEffect
1188,199,TrainCraftEffect
1189,200,TrainCraftEffect
1190,201,TrainCraftEffect
1191,202,TrainCraftEffect
1192,203,TrainCraftEffect
1193,204,TrainCraftEffect
1198,212,SpecialEffect
1199,393,BuffEffect
1200,282,DamageEffect
1203,205,TrainCraftEffect
1204,206,TrainCraftEffect
1205,207,TrainCraftEffect
1206,208,TrainCraftEffect
1207,209,TrainCraftEffect
1208,210,TrainCraftEffect
1209,211,TrainCraftEffect
1210,212,TrainCraftEffect
1211,395,BuffEffect
1212,213,TrainCraftEffect
1213,214,TrainCraftEffect
1214,215,TrainCraftEffect
1215,216,TrainCraftEffect
1216,217,TrainCraftEffect
1217,218,TrainCraftEffect
1218,219,TrainCraftEffect
1219,220,TrainCraftEffect
1220,221,TrainCraftEffect
1221,222,TrainCraftEffect
1222,223,TrainCraftEffect
1223,224,TrainCraftEffect
1224,225,TrainCraftEffect
1225,226,TrainCraftEffect
1226,227,TrainCraftEffect
1227,228,TrainCraftEffect
1228,229,TrainCraftEffect
1229,230,TrainCraftEffect
1230,231,TrainCraftEffect
1231,232,TrainCraftEffect
1232,233,TrainCraftEffect
1233,234,TrainCraftEffect
1234,235,TrainCraftEffect
1235,236,TrainCraftEffect
1236,237,TrainCraftEffect
1237,238,TrainCraftEffect
1238,239,TrainCraftEffect
1239,240,TrainCraftEffect
1240,241,TrainCraftEffect
1241,242,TrainCraftEffect
1242,243,TrainCraftEffect
1243,244,TrainCraftEffect
1244,245,TrainCraftEffect
1245,246,TrainCraftEffect
1246,247,TrainCraftEffect
1247,248,TrainCraftEffect
1248,249,TrainCraftEffect
1249,250,TrainCraftEffect
1250,251,TrainCraftEffect
1251,252,TrainCraftEffect
1252,253,TrainCraftEffect
1253,254,TrainCraftEffect
1254,255,TrainCraftEffect
1255,256,TrainCraftEffect
1256,257,TrainCraftEffect
1257,258,TrainCraftEffect
1258,259,TrainCraftEffect
1259,260,TrainCraftEffect
1260,261,TrainCraftEffect
1261,262,TrainCraftEffect
1262,263,TrainCraftEffect
1263,264,TrainCraftEffect
1264,265,TrainCraftEffect
1265,266,TrainCraftEffect
1266,267,TrainCraftEffect
1267,268,TrainCraftEffect
1268,269,TrainCraftEffect
1269,270,TrainCraftEffect
1270,271,TrainCraftEffect
1271,272,TrainCraftEffect
1272,273,TrainCraftEffect
1273,274,TrainCraftEffect
1274,275,TrainCraftEffect
1275,276,TrainCraftEffect
1276,277,TrainCraftEffect
1277,278,TrainCraftEffect
1278,279,TrainCraftEffect
1279,280,TrainCraftEffect
1280,281,TrainCraftEffect
1281,282,TrainCraftEffect
1282,283,TrainCraftEffect
1283,284,TrainCraftEffect
1284,285,TrainCraftEffect
1287,286,TrainCraftEffect
1288,287,TrainCraftEffect
1289,288,TrainCraftEffect
1290,289,TrainCraftEffect
1291,290,TrainCraftEffect
1292,291,TrainCraftEffect
1293,292,TrainCraftEffect
1294,293,TrainCraftEffect
1295,294,TrainCraftEffect
1296,295,TrainCraftEffect
1297,296,TrainCraftEffect
1298,297,TrainCraftEffect
1299,298,TrainCraftEffect
1300,299,TrainCraftEffect
1301,300,TrainCraftEffect
1302,301,TrainCraftEffect
1303,396,BuffEffect
1304,283,DamageEffect
1305,284,DamageEffect
1306,397,BuffEffect
1307,214,SpecialEffect
1308,215,SpecialEffect
1309,43,HealEffect
1310,44,HealEffect
1311,45,HealEffect
1313,6,RestoreManaEffect
1314,7,RestoreManaEffect
1315,8,RestoreManaEffect
1317,6,DispelEffect
1318,7,DispelEffect
1319,8,DispelEffect
1322,398,BuffEffect
1323,399,BuffEffect
1324,400,BuffEffect
1326,402,BuffEffect
1327,403,BuffEffect
1331,406,BuffEffect
1332,407,BuffEffect
1333,408,BuffEffect
1334,409,BuffEffect
1335,410,BuffEffect
1336,411,BuffEffect
1337,412,BuffEffect
1338,413,BuffEffect
1339,414,BuffEffect
1340,415,BuffEffect
1341,416,BuffEffect
1342,417,BuffEffect
1343,418,BuffEffect
1344,419,BuffEffect
1345,420,BuffEffect
1346,421,BuffEffect
1347,422,BuffEffect
1348,423,BuffEffect
1349,424,BuffEffect
1350,425,BuffEffect
1351,426,BuffEffect
1352,427,BuffEffect
1353,428,BuffEffect
1354,429,BuffEffect
1355,430,BuffEffect
1356,431,BuffEffect
1357,432,BuffEffect
1358,433,BuffEffect
1359,434,BuffEffect
1360,435,BuffEffect
1361,436,BuffEffect
1362,437,BuffEffect
1363,438,BuffEffect
1364,439,BuffEffect
1365,440,BuffEffect
1366,441,BuffEffect
1367,442,BuffEffect
1368,443,BuffEffect
1369,444,BuffEffect
1370,445,BuffEffect
1371,446,BuffEffect
1372,447,BuffEffect
1373,448,BuffEffect
1374,449,BuffEffect
1375,450,BuffEffect
1376,451,BuffEffect
1377,452,BuffEffect
1378,453,BuffEffect
1380,454,BuffEffect
1383,287,DamageEffect
1385,289,DamageEffect
1386,456,BuffEffect
1387,457,BuffEffect
1388,290,DamageEffect
1389,458,BuffEffect
1400,234,SpecialEffect
1404,238,SpecialEffect
1405,239,SpecialEffect
1408,292,DamageEffect
1410,460,BuffEffect
1411,461,BuffEffect
1413,463,BuffEffect
1414,464,BuffEffect
1415,293,DamageEffect
1416,465,BuffEffect
1417,466,BuffEffect
1418,243,SpecialEffect
1420,468,BuffEffect
1421,469,BuffEffect
1422,470,BuffEffect
1423,471,BuffEffect
1424,472,BuffEffect
1425,473,BuffEffect
1426,474,BuffEffect
1439,475,BuffEffect
1442,246,SpecialEffect
1444,248,SpecialEffect
1445,249,SpecialEffect
1446,90,SpawnEffect
1449,477,BuffEffect
1455,481,BuffEffect
1458,1,InteractionEffect
1459,2,InteractionEffect
1460,3,InteractionEffect
1461,4,InteractionEffect
1462,5,InteractionEffect
1463,6,InteractionEffect
1465,8,InteractionEffect
1467,1,CraftEffect
1468,10,InteractionEffect
1469,11,InteractionEffect
1470,12,InteractionEffect
1471,2,CraftEffect
1472,13,InteractionEffect
1473,14,InteractionEffect
1474,15,InteractionEffect
1475,16,InteractionEffect
1476,17,InteractionEffect
1477,18,InteractionEffect
1478,19,InteractionEffect
1479,20,InteractionEffect
1480,21,InteractionEffect
1481,22,InteractionEffect
1482,3,CraftEffect
1483,4,CraftEffect
1484,23,InteractionEffect
1486,25,InteractionEffect
1487,26,InteractionEffect
1489,5,CraftEffect
1490,28,InteractionEffect
1491,29,InteractionEffect
1492,30,InteractionEffect
1493,31,InteractionEffect
1494,32,InteractionEffect
1495,33,InteractionEffect
1496,34,InteractionEffect
1497,35,InteractionEffect
1498,36,InteractionEffect
1499,6,CraftEffect
1500,7,CraftEffect
1501,8,CraftEffect
1502,9,CraftEffect
1503,37,InteractionEffect
1504,38,InteractionEffect
1505,39,InteractionEffect
1513,295,DamageEffect
1517,54,HealEffect
1520,55,HealEffect
1521,56,HealEffect
1522,297,DamageEffect
1524,252,SpecialEffect
1525,489,BuffEffect
1529,300,DamageEffect
1530,301,DamageEffect
1531,302,DamageEffect
1535,253,SpecialEffect
1538,495,BuffEffect
1542,497,BuffEffect
1545,256,SpecialEffect
1546,499,BuffEffect
1548,42,InteractionEffect
1549,305,DamageEffect
1550,257,SpecialEffect
1553,501,BuffEffect
1554,306,DamageEffect
1555,259,SpecialEffect
1556,307,DamageEffect
1560,503,BuffEffect
1561,504,BuffEffect
1567,510,BuffEffect
1573,516,BuffEffect
1575,517,BuffEffect
1577,310,DamageEffect
1578,57,HealEffect
1581,519,BuffEffect
1582,312,DamageEffect
1584,313,DamageEffect
1586,521,BuffEffect
1587,315,DamageEffect
1590,316,DamageEffect
1591,260,SpecialEffect
1593,525,BuffEffect
1596,527,BuffEffect
1597,318,DamageEffect
1598,319,DamageEffect
1599,261,SpecialEffect
1600,262,SpecialEffect
1602,529,BuffEffect
1603,320,DamageEffect
1605,530,BuffEffect
1607,93,SpawnEffect
1608,43,InteractionEffect
1615,534,BuffEffect
1616,535,BuffEffect
1617,58,HealEffect
1622,321,DamageEffect
1624,539,BuffEffect
1625,323,DamageEffect
1627,541,BuffEffect
1631,544,BuffEffect
1632,325,DamageEffect
1637,61,HealEffect
1654,53,InteractionEffect
1655,54,InteractionEffect
1675,74,InteractionEffect
1676,75,InteractionEffect
1677,76,InteractionEffect
1679,78,InteractionEffect
1680,79,InteractionEffect
1682,80,InteractionEffect
1683,81,InteractionEffect
1684,82,InteractionEffect
1686,84,InteractionEffect
1688,86,InteractionEffect
1689,87,InteractionEffect
1690,88,InteractionEffect
1691,89,InteractionEffect
1699,97,InteractionEffect
1701,267,SpecialEffect
1702,100,SpawnEffect
1704,268,SpecialEffect
1705,269,SpecialEffect
1706,270,SpecialEffect
1707,271,SpecialEffect
1708,272,SpecialEffect
1709,273,SpecialEffect
1726,101,SpawnEffect
1728,557,BuffEffect
1729,558,BuffEffect
1730,559,BuffEffect
1735,106,SpawnEffect
1743,113,SpawnEffect
1750,305,TrainCraftEffect
1767,133,SpawnEffect
1785,148,SpawnEffect
1786,149,SpawnEffect
1787,150,SpawnEffect
1788,151,SpawnEffect
1789,152,SpawnEffect
1790,153,SpawnEffect
1809,169,SpawnEffect
1831,569,BuffEffect
1838,179,SpawnEffect
1839,180,SpawnEffect
1845,186,SpawnEffect
1846,570,BuffEffect
1847,571,BuffEffect
1859,294,SpecialEffect
1876,298,SpecialEffect
1878,340,DamageEffect
1879,299,SpecialEffect
1881,198,SpawnEffect
1882,199,SpawnEffect
1883,200,SpawnEffect
1884,201,SpawnEffect
1885,202,SpawnEffect
1888,341,DamageEffect
1889,300,SpecialEffect
1890,301,SpecialEffect
1900,302,SpecialEffect
1910,207,SpawnEffect
1921,304,SpecialEffect
1925,345,DamageEffect
1935,584,BuffEffect
1939,305,SpecialEffect
1940,346,DamageEffect
1943,14,KillNpcWithoutCorpseEffect
1948,213,SpawnEffect
1978,306,SpecialEffect
1992,307,SpecialEffect
1998,234,SpawnEffect
1999,309,SpecialEffect
2000,45,AcceptQuestEffect
2001,310,SpecialEffect
2005,312,SpecialEffect
2008,313,SpecialEffect
2015,349,DamageEffect
2019,42,KillNpcWithoutCorpseEffect
2022,43,KillNpcWithoutCorpseEffect
2023,44,KillNpcWithoutCorpseEffect
2026,103,InteractionEffect
2027,591,BuffEffect
2045,320,SpecialEffect
2049,592,BuffEffect
2051,57,KillNpcWithoutCorpseEffect
2061,594,BuffEffect
2062,323,SpecialEffect
2063,324,SpecialEffect
2071,66,KillNpcWithoutCorpseEffect
2075,598,BuffEffect
2076,104,InteractionEffect
2078,105,InteractionEffect
2079,106,InteractionEffect
2080,107,InteractionEffect
2083,109,InteractionEffect
2085,599,BuffEffect
2090,601,BuffEffect
2091,602,BuffEffect
2092,603,BuffEffect
2093,604,BuffEffect
2097,605,BuffEffect
2098,606,BuffEffect
2100,243,SpawnEffect
2101,244,SpawnEffect
2103,246,SpawnEffect
2105,248,SpawnEffect
2106,249,SpawnEffect
2107,250,SpawnEffect
2116,332,SpecialEffect
2122,616,BuffEffect
2123,333,SpecialEffect
2136,252,SpawnEffect
2138,254,SpawnEffect
2139,365,DamageEffect
2141,624,BuffEffect
2142,338,SpecialEffect
2146,255,SpawnEffect
2153,342,SpecialEffect
2154,343,SpecialEffect
2158,110,InteractionEffect
2159,370,DamageEffect
2163,372,DamageEffect
2175,376,DamageEffect
2176,351,SpecialEffect
2179,378,DamageEffect
2181,67,HealEffect
2182,379,DamageEffect
2183,632,BuffEffect
2184,111,InteractionEffect
2185,112,InteractionEffect
2187,10,CraftEffect
2196,380,DamageEffect
2202,259,SpawnEffect
2207,70,KillNpcWithoutCorpseEffect
2209,639,BuffEffect
2215,362,SpecialEffect
2217,643,BuffEffect
2224,382,DamageEffect
2234,114,InteractionEffect
2239,652,BuffEffect
2240,385,DamageEffect
2241,369,SpecialEffect
2242,386,DamageEffect
2243,72,KillNpcWithoutCorpseEffect
2250,659,BuffEffect
2251,660,BuffEffect
2252,661,BuffEffect
2253,662,BuffEffect
2262,669,BuffEffect
2263,670,BuffEffect
2264,671,BuffEffect
2265,672,BuffEffect
2266,388,DamageEffect
2267,371,SpecialEffect
2273,674,BuffEffect
2275,115,InteractionEffect
2276,263,SpawnEffect
2279,678,BuffEffect
2280,679,BuffEffect
2281,680,BuffEffect
2282,681,BuffEffect
2291,688,BuffEffect
2292,689,BuffEffect
2293,690,BuffEffect
2294,691,BuffEffect
2295,692,BuffEffect
2296,693,BuffEffect
2298,695,BuffEffect
2300,265,SpawnEffect
2302,266,SpawnEffect
2303,75,KillNpcWithoutCorpseEffect
2305,267,SpawnEffect
2309,78,KillNpcWithoutCorpseEffect
2320,393,DamageEffect
2321,698,BuffEffect
2322,699,BuffEffect
2326,11,CraftEffect
2336,704,BuffEffect
2337,270,SpawnEffect
2342,4,SpawnGimmickEffect
2343,273,SpawnEffect
2345,705,BuffEffect
2350,708,BuffEffect
2354,709,BuffEffect
2355,710,BuffEffect
2356,397,DamageEffect
2357,711,BuffEffect
2361,388,SpecialEffect
2364,398,DamageEffect
2365,390,SpecialEffect
2366,399,DamageEffect
2371,394,SpecialEffect
2372,395,SpecialEffect
2373,400,DamageEffect
2380,714,BuffEffect
2381,401,SpecialEffect
2382,402,SpecialEffect
2387,68,HealEffect
2389,403,DamageEffect
2390,718,BuffEffect
2391,274,SpawnEffect
2394,69,HealEffect
2395,405,SpecialEffect
2396,118,InteractionEffect
2398,719,BuffEffect
2400,275,SpawnEffect
2401,119,InteractionEffect
2402,120,InteractionEffect
2403,121,InteractionEffect
2404,122,InteractionEffect
2405,720,BuffEffect
2406,405,DamageEffect
2409,722,BuffEffect
2410,723,BuffEffect
2411,724,BuffEffect
2413,725,BuffEffect
2416,727,BuffEffect
2419,728,BuffEffect
2422,730,BuffEffect
2428,123,InteractionEffect
2442,739,BuffEffect
2448,410,DamageEffect
2449,411,DamageEffect
2450,741,BuffEffect
2451,742,BuffEffect
2452,743,BuffEffect
2453,412,DamageEffect
2454,413,DamageEffect
2455,744,BuffEffect
2456,745,BuffEffect
2457,746,BuffEffect
2458,747,BuffEffect
2459,748,BuffEffect
2460,749,BuffEffect
2471,760,BuffEffect
2472,417,SpecialEffect
2476,761,BuffEffect
2481,766,BuffEffect
2485,280,SpawnEffect
2492,285,SpawnEffect
2493,420,SpecialEffect
2494,84,KillNpcWithoutCorpseEffect
2497,768,BuffEffect
2499,85,KillNpcWithoutCorpseEffect
2500,86,KillNpcWithoutCorpseEffect
2505,88,KillNpcWithoutCorpseEffect
2506,770,BuffEffect
2509,773,BuffEffect
2511,286,SpawnEffect
2515,90,KillNpcWithoutCorpseEffect
2520,429,SpecialEffect
2521,91,KillNpcWithoutCorpseEffect
2523,774,BuffEffect
2524,92,KillNpcWithoutCorpseEffect
2527,93,KillNpcWithoutCorpseEffect
2528,94,KillNpcWithoutCorpseEffect
2530,433,SpecialEffect
2532,777,BuffEffect
2537,778,BuffEffect
2539,98,KillNpcWithoutCorpseEffect
2540,99,KillNpcWithoutCorpseEffect
2541,100,KillNpcWithoutCorpseEffect
2543,287,SpawnEffect
2546,289,SpawnEffect
2554,418,DamageEffect
2556,290,SpawnEffect
2557,291,SpawnEffect
2558,780,BuffEffect
2559,9,DispelEffect
2562,783,BuffEffect
2563,784,BuffEffect
2564,785,BuffEffect
2571,71,HealEffect
2573,448,SpecialEffect
2576,450,SpecialEffect
2577,451,SpecialEffect
2580,790,BuffEffect
2582,295,SpawnEffect
2584,297,SpawnEffect
2588,300,SpawnEffect
2589,301,SpawnEffect
2592,302,SpawnEffect
2616,310,SpawnEffect
2617,311,SpawnEffect
2618,312,SpawnEffect
2619,313,SpawnEffect
2620,314,SpawnEffect
2621,315,SpawnEffect
2622,316,SpawnEffect
2623,797,BuffEffect
2635,800,BuffEffect
2636,421,DamageEffect
2639,72,HealEffect
2640,9,RestoreManaEffect
2642,802,BuffEffect
2643,317,SpawnEffect
2644,462,SpecialEffect
2645,318,SpawnEffect
2646,463,SpecialEffect
2647,464,SpecialEffect
2648,803,BuffEffect
2649,804,BuffEffect
2650,805,BuffEffect
2651,806,BuffEffect
2654,15,ConversionEffect
2656,466,SpecialEffect
2667,11,DispelEffect
2670,473,SpecialEffect
2672,324,SpawnEffect
2673,475,SpecialEffect
2691,483,SpecialEffect
2694,326,SpawnEffect
2695,327,SpawnEffect
2696,328,SpawnEffect
2697,329,SpawnEffect
2698,131,InteractionEffect
2699,132,InteractionEffect
2700,133,InteractionEffect
2701,330,SpawnEffect
2708,822,BuffEffect
2710,824,BuffEffect
2711,134,InteractionEffect
2712,331,SpawnEffect
2713,332,SpawnEffect
2714,333,SpawnEffect
2728,829,BuffEffect
2729,343,SpawnEffect
2730,830,BuffEffect
2731,831,BuffEffect
2732,832,BuffEffect
2734,834,BuffEffect
2735,835,BuffEffect
2736,836,BuffEffect
2737,837,BuffEffect
2738,838,BuffEffect
2739,839,BuffEffect
2740,840,BuffEffect
2741,841,BuffEffect
2742,486,SpecialEffect
2745,344,SpawnEffect
2747,135,InteractionEffect
2748,136,InteractionEffect
2749,137,InteractionEffect
2750,138,InteractionEffect
2751,139,InteractionEffect
2752,140,InteractionEffect
2753,845,BuffEffect
2754,487,SpecialEffect
2759,850,BuffEffect
2760,427,DamageEffect
2761,851,BuffEffect
2762,428,DamageEffect
2763,429,DamageEffect
2764,430,DamageEffect
2765,431,DamageEffect
2766,432,DamageEffect
2768,141,InteractionEffect
2770,488,SpecialEffect
2771,853,BuffEffect
2772,434,DamageEffect
2776,492,SpecialEffect
2777,854,BuffEffect
2779,856,BuffEffect
2800,12,DispelEffect
2805,143,InteractionEffect
2806,500,SpecialEffect
2807,144,InteractionEffect
2808,145,InteractionEffect
2809,501,SpecialEffect
2810,146,InteractionEffect
2811,502,SpecialEffect
2812,147,InteractionEffect
2816,148,InteractionEffect
2817,870,BuffEffect
2818,871,BuffEffect
2819,872,BuffEffect
2820,873,BuffEffect
2822,149,InteractionEffect
2825,874,BuffEffect
2826,875,BuffEffect
2827,505,SpecialEffect
2829,877,BuffEffect
2830,878,BuffEffect
2831,879,BuffEffect
2834,881,BuffEffect
2836,882,BuffEffect
2838,883,BuffEffect
2841,886,BuffEffect
2842,507,SpecialEffect
2844,150,InteractionEffect
2845,437,DamageEffect
2846,346,SpawnEffect
2849,508,SpecialEffect
2850,151,InteractionEffect
2851,152,InteractionEffect
2852,153,InteractionEffect
2861,891,BuffEffect
2862,349,SpawnEffect
2863,350,SpawnEffect
2864,119,KillNpcWithoutCorpseEffect
2871,893,BuffEffect
2872,351,SpawnEffect
2874,516,SpecialEffect
2875,120,KillNpcWithoutCorpseEffect
2876,353,SpawnEffect
2878,895,BuffEffect
2883,354,SpawnEffect
2884,355,SpawnEffect
2886,356,SpawnEffect
2889,896,BuffEffect
2895,154,InteractionEffect
2896,522,SpecialEffect
2897,155,InteractionEffect
2899,156,InteractionEffect
2900,358,SpawnEffect
2902,899,BuffEffect
2903,900,BuffEffect
2904,901,BuffEffect
2905,524,SpecialEffect
2907,902,BuffEffect
2909,525,SpecialEffect
2910,359,SpawnEffect
2912,526,SpecialEffect
2917,442,DamageEffect
2924,445,DamageEffect
2929,908,BuffEffect
2931,159,InteractionEffect
2932,909,BuffEffect
2934,532,SpecialEffect
2937,361,SpawnEffect
2939,912,BuffEffect
2940,533,SpecialEffect
2941,534,SpecialEffect
2942,363,SpawnEffect
2944,914,BuffEffect
2954,364,SpawnEffect
2955,535,SpecialEffect
2962,536,SpecialEffect
2963,537,SpecialEffect
2964,538,SpecialEffect
2965,539,SpecialEffect
2966,540,SpecialEffect
2969,15,DispelEffect
2977,541,SpecialEffect
2978,931,BuffEffect
2979,932,BuffEffect
2980,162,InteractionEffect
2981,132,KillNpcWithoutCorpseEffect
2982,933,BuffEffect
2986,75,HealEffect
2989,17,DispelEffect
2991,163,InteractionEffect
2992,164,InteractionEffect
2993,542,SpecialEffect
2996,20,DispelEffect
2998,165,InteractionEffect
3000,367,SpawnEffect
3004,22,DispelEffect
3006,938,BuffEffect
3009,168,InteractionEffect
3011,169,InteractionEffect
3013,939,BuffEffect
3015,941,BuffEffect
3016,170,InteractionEffect
3017,942,BuffEffect
3018,171,InteractionEffect
3023,172,InteractionEffect
3025,174,InteractionEffect
3026,546,SpecialEffect
3030,547,SpecialEffect
3031,548,SpecialEffect
3032,176,InteractionEffect
3033,177,InteractionEffect
3034,549,SpecialEffect
3035,550,SpecialEffect
3039,943,BuffEffect
3040,178,InteractionEffect
3041,944,BuffEffect
3042,137,KillNpcWithoutCorpseEffect
3046,373,SpawnEffect
3050,140,KillNpcWithoutCorpseEffect
3052,374,SpawnEffect
3061,180,InteractionEffect
3064,182,InteractionEffect
3066,183,InteractionEffect
3068,184,InteractionEffect
3071,186,InteractionEffect
3073,187,InteractionEffect
3074,949,BuffEffect
3077,448,DamageEffect
3078,950,BuffEffect
3081,951,BuffEffect
3082,188,InteractionEffect
3089,189,InteractionEffect
3090,450,DamageEffect
3091,451,DamageEffect
3093,956,BuffEffect
3096,557,SpecialEffect
3098,146,KillNpcWithoutCorpseEffect
3100,959,BuffEffect
3101,960,BuffEffect
3102,147,KillNpcWithoutCorpseEffect
3103,961,BuffEffect
3104,148,KillNpcWithoutCorpseEffect
3105,962,BuffEffect
3107,963,BuffEffect
3108,150,KillNpcWithoutCorpseEffect
3110,77,HealEffect
3111,380,SpawnEffect
3112,381,SpawnEffect
3113,151,KillNpcWithoutCorpseEffect
3116,1,ReportCrimeEffect
3118,191,InteractionEffect
3119,3,ReportCrimeEffect
3120,965,BuffEffect
3121,966,BuffEffect
3122,382,SpawnEffect
3123,383,SpawnEffect
3125,152,KillNpcWithoutCorpseEffect
3126,153,KillNpcWithoutCorpseEffect
3128,967,BuffEffect
3130,155,KillNpcWithoutCorpseEffect
3132,558,SpecialEffect
3133,156,KillNpcWithoutCorpseEffect
3134,970,BuffEffect
3137,157,KillNpcWithoutCorpseEffect
3140,192,InteractionEffect
3141,453,DamageEffect
3143,193,InteractionEffect
3144,561,SpecialEffect
3145,454,DamageEffect
3146,562,SpecialEffect
3147,160,KillNpcWithoutCorpseEffect
3148,972,BuffEffect
3149,161,KillNpcWithoutCorpseEffect
3150,385,SpawnEffect
3151,973,BuffEffect
3152,194,InteractionEffect
3154,563,SpecialEffect
3155,195,InteractionEffect
3156,564,SpecialEffect
3157,975,BuffEffect
3158,196,InteractionEffect
3160,197,InteractionEffect
3162,386,SpawnEffect
3164,387,SpawnEffect
3165,388,SpawnEffect
3167,389,SpawnEffect
3169,198,InteractionEffect
