id,target,buff_id,buff_tag_id,message,default_result
104,t,4737,,폭주하는 기계에게는 사용할 수 없습니다.,t
105,f,,911,착지중에는 해당 기술을 사용할 수 없습니다.,f
106,f,,404,강렬한 동결 상태에서는 기술을 사용할 수 없습니다.,f
107,t,4750,,폭주하는 정령에게는 사용할 수 없습니다.,t
108,f,,6,기절 상태에서는 기술을 사용할 수 없습니다.,f
109,f,,107,넘어진 상태에서는 기술을 사용할 수 없습니다.,f
110,f,,97,수면 상태에서는 기술을 사용할 수 없습니다.,f
111,f,,13,창꽂힘 상태에서는 기술을 사용할 수 없습니다.,f
112,f,,922,지금은 사용할 수 없습니다.,f
113,t,4738,,작동을 멈춘 기계에게 사용할 수 없습니다.,t
114,f,4791,,이 곳에서는 공격할 수가 없습니다.,f
115,f,4828,,인스턴스 던전 주변은 평화 지역 입니다.,f
116,f,4840,,탈출을 기다리는 중에는 기술을 사용할 수 없습니다.,f
117,f,2562,,띄워진 상태에서 기술을 사용할 수 없습니다.,f
119,f,4857,,당신은 두더지 입니다. 불법 프로그램 사용 적발시 계정이 영구적으로 삭제 될 수 있습니다.,f
120,t,,1326,'악성 유력 용의자'에게 더 이상의 신고는 무의미 합니다.,t
121,f,4870,,무료 체험 서비스 중에는 채광 및 금속 제련 활동을 하실 수 없습니다.,t
122,t,4857,,해당 위치로 이동 할 수 없습니다. 이동시 불법 프로그램 사용자 약화 효과에 걸릴 수 있습니다.,t
123,f,4876,,당신은 두더지입니다. 전투 및 각종 행동에 제한이 있습니다.,f
124,t,4840,,탈출 대상에게는 해당 기술을 사용할 수 없습니다.,t
125,t,1402,,고삐 물린 들소에게는 사용할 수 없습니다.,t
126,f,,150,염력 상태에서는 기술을 사용할 수 없습니다.,f
127,t,,344,"이미, 신고를 통해 수감자 상태입니다. 수감자는 신고 할 수 없습니다.",t
128,f,5003,,다른 나무 방책과 너무 가까워 나무 방책을 설치할 수 없습니다.,t
129,f,3710,,현상 수배범은 공권력을 사용 할 수 없습니다.,t
130,t,4894,,취조를 당하고있는 상대에게는 체포를 시도 할 수 없습니다.,t
131,t,5074,,이미 각인중입니다.,t
132,f,,985,다루의 놀이기구를 사용할 때는 해당 기술을 사용할 수 없습니다.,t
133,t,4827,,이미 다른 경비병이 당겼습니다.,t
134,f,,994,test_astra_복식있음_기모으기_3단계_실패,f
135,f,,997,test_astra_복식있음_기모으기_딜레이_실패,f
136,f,4868,,수감자 상태에서는 전투 및 각종 행동에 제약이 따릅니다.,f
137,f,,1008,범법자는 공권력을 사용 할 수 없습니다.,t
139,t,2167,,이미 '나쁜 사람' 상태입니다.,t
140,t,,1025,물고기에게 사용할 수 없는 기술입니다.,f
142,t,,987,이미 괴물 포획을 시도 중입니다.,t
143,f,4646,,머리가 아파서 더이상 공부를 할 수 없습니다.,t
145,f,,1058,사용할 수 없는 기술입니다.,t
147,f,,1061,등짐을 들고 있는 상태입니다.,t
148,t,,306,등짐을 짊어지고 있는 대상에게는 사용할 수 없습니다.,t
149,f,,988,거미줄에 걸려 사용할 수 없습니다.,t
151,f,5743,,복습 중이여서 더 배울 수 없습니다.,t
152,f,,656,공성 단계에서는 수성측 인원만 사용 가능합니다.,t
153,f,5612,,유혹의 춤을 추고 있는 상태에서는 더 이상 사용을 할 수 없습니다.,t
154,f,,371,소환수가 부상으로 쓰러져 있을 때는 해당 기술을 사용할 수 없습니다.,t
155,f,,1156,영창하는 레르만에게 죽음을 강요당한 상태에서는 무적 기술을 사용할 수 없습니다.,t
156,t,,1159,낚시 중인 사용자는 신고 할 수 없습니다.,t
157,f,5144,,11,t
158,f,,1169,이미 전장의 병사 효과를 받고 있습니다.,t
159,f,,1170,이미 전장의 백인대장 효과를 받고 있습니다.,t
160,f,,1171,이미 전장의 기사 효과를 받고 있습니다.,t
161,f,,1172,이미 전장의 기사단장 효과를 받고 있습니다.,t
162,f,,1173,이미 전장의 사령관 효과를 받고 있습니다.,t
163,f,6156,,진지의 기운이 있을 때에는 사용할 수 없습니다.,t
164,f,6010,,암기 중에는 다른 악보를 볼 수 없습니다.,t
167,f,,1209,지성이 없습니다....,f
168,f,5144,,실패,t
169,f,6151,,시승 차량에서는 사용 할 수 없습니다.,t
170,f,,1202,연주가 시작되면 다시 연주를 진행 할 수 없습니다.,t
172,f,,306,등짐을 메고있는 상태에서는 입장 할 수 없습니다.,t
173,f,,1202,연주 중에는 사용할 수 없습니다.,t
174,f,6284,,123,t
175,f,6326,,123,f
177,f,6350,,이 방에서는 해당 기술을 사용할 수 없습니다.,t
178,f,,1177,123,t
179,f,,1250,123,t
180,f,6449,,물대포 사용중에는 기본공격을 할수 없습니다.,t
181,f,6465,,가까운 음성 변환기가 이미 재생 중입니다. 재생이 끝난 후 사용 가능합니다.,t
182,t,6471,,공격할 수 없는 상태입니다.,f
183,f,6476,,현재 상태에서는 일반 기술을 사용할 수 없습니다.,t
191,t,,1305,이미 강화가 되어 있습니다.,t
192,f,4970,,"재판장님 기에 눌려, 기술이 나가지 않습니다.",f
193,t,4970,,"재판장님 기에 눌려, 기술이 나가지 않습니다.",f
194,f,6729,,공간 이동 후 10초 동안 탈출 기술을 사용할 수 없습니다.,t
196,t,,1318,기동 상태입니다.,t
197,t,,1319,이미 무기를 장착하고 있습니다.,t
198,t,,1322,사절은 공격할 수 없습니다.,f
199,t,,1315,정지 상태일 때는 기동 시킬 수 없습니다.,t
200,f,,1332,불끈불끈 성장수 효과가 있을 때는 사용할 수 없습니다.,t
201,f,6165,,테스트 비충돌 싸우지 마세요 적용중,f
203,t,6875,,해당 대상은 치유할 수 없습니다.,t
204,f,,1360,샤크라의 저주에 걸린 상태로 무적 기술을 사용할 수 없습니다.,t
