id,name,asset_name,fx_event_start_id,fx_event_end_id,fx_location_id,bone_id,offset_x,offset_y,offset_z,fx_detail_id,fx_detail_type,offset_axis_id,fx_scale_id
40,Hydrate Blood_form,ability_skill_table.blackmagic.black0002_form,1,3,1,9,0.0,0.0,0.0,40,FxParticle,0,0
41,Hydrate Blood_hit,ability_skill_table.blackmagic.black0002_hit,3,5,2,19,0.0,0.0,0.0,41,FxParticle,0,0
42,Hydrate Blood_dot,ability_skill_table.blackmagic.black0002_dot,0,5,1,19,0.0,0.0,0.0,42,FxParticle,0,0
43,Rapid Heal_launch,ability_skill_table.blackmagic.black0003_launch,3,5,1,0,0.0,0.0,0.0,43,FxParticle,0,0
44,Whip of Demon_hit,ability_skill_table.blackmagic.black0004_hit,4,5,2,19,0.0,0.0,0.0,44,FxParticle,4,0
45,Fatigue Curse_launch,ability_skill_table.blackmagic.black0005_launch,3,5,2,1,0.0,0.0,0.0,45,FxParticle,0,0
46,Lance of Hell_form,ability_skill_table.blackmagic.black0006_form,1,2,1,9,0.0,0.0,0.0,46,FxParticle,0,0
47,Lance of Hell_hit,ability_skill_table.blackmagic.black0006_hit,3,5,2,0,0.0,0.0,0.0,47,FxParticle,0,0
48,Lance of Hell_dot,ability_skill_table.blackmagic.black0006_dot,0,5,1,19,0.0,0.0,0.0,48,FxParticle,0,0
49,Summon Skeleton Warrior_form,ability_skill_table.blackmagic.black0002_form,1,3,1,9,0.0,0.0,0.0,49,FxParticle,0,0
50,Summon Skeleton Warrior_hit,ability_skill_table.blackmagic.black0007_hit,3,5,1,0,0.0,0.0,0.0,50,FxParticle,0,0
51,Frightening_dot,ability_skill_table.blackmagic.black0008_dot,0,5,1,19,0.0,0.0,0.0,51,FxParticle,0,0
52,Whisper of Demon_launch,ability_skill_table.blackmagic.black0009_launch,3,5,1,0,0.0,0.0,0.0,52,FxParticle,0,0
53,Painful Moment_form,ability_skill_table.blackmagic.black0010_form,0,5,1,9,0.0,0.0,0.0,53,FxParticle,0,0
54,Painful Moment_hit,ability_skill_table.blackmagic.black0010_hit,4,5,2,19,0.0,0.0,0.0,54,FxParticle,0,0
55,Painful Moment_dot,ability_skill_table.blackmagic.black0010_dot,0,5,1,19,0.0,0.0,0.0,55,FxParticle,0,0
56,Curse of Doll_form,ability_skill_table.blackmagic.black0011_form,1,2,1,9,0.0,0.0,0.0,56,FxParticle,0,0
57,Curse of Doll_hit,ability_skill_table.blackmagic.black0011_hit,3,5,2,19,0.0,0.0,0.0,57,FxParticle,0,0
58,Curse of Doll_dot,X2_EFFECTS.mon_effects.mon_curse_dot,0,5,2,0,0.0,0.0,0.0,58,FxParticle,0,0
59,Steal Buff_form,ability_skill_table.blackmagic.black0012_form,1,2,1,9,0.0,0.0,0.0,59,FxParticle,0,0
60,Steal Buff_launch,ability_skill_table.blackmagic.black0012_launch,3,5,2,1,0.0,0.0,0.0,60,FxParticle,0,0
61,Increasing Intelligence_launch,ability_skill_table.mental.mt_concen0001_launch,3,5,2,1,0.0,0.0,0.0,61,FxParticle,0,0
62,Brain Shock_form,ability_skill_table.mental.mt_spell0001_form,1,3,1,9,0.0,0.0,0.0,62,FxParticle,0,0
63,Brain Shock_hit,ability_skill_table.mental.mt_spell0001_hit,3,5,2,19,0.0,0.0,0.0,63,FxParticle,0,0
64,Solid Metal_launch,ability_skill_table.mental.mt_spirit0001_launch,3,5,2,1,0.0,0.0,0.0,64,FxParticle,0,0
65,Vital Suction_form,ability_skill_table.mental.mt_spell0002_form,0,3,1,0,0.0,0.0,0.0,65,FxParticle,0,0
66,Vital Suction_hit,ability_skill_table.mental.mt_spell0002_hit,3,5,1,0,0.0,0.0,0.0,66,FxParticle,0,0
67,Mental Shock_form,ability_skill_table.mental.mt_spirit0002_form,1,2,1,9,0.0,0.0,0.0,67,FxParticle,0,0
68,Mental Shock_hit,ability_skill_table.mental.mt_spirit0002_hit,2,5,2,19,0.0,0.0,0.0,68,FxParticle,0,0
69,Mental Shock_dot,ability_skill_table.mental.mt_spirit0002_dot,0,5,1,19,0.0,0.0,0.0,69,FxParticle,0,0
70,Mental Power Up_launch,ability_skill_table.mental.mt_concen0002_launch,3,5,2,1,0.0,0.0,0.0,70,FxParticle,0,0
71,Calmness_form,ability_skill_table.mental.mt_spirit0003_form,1,2,1,9,0.0,0.0,0.0,71,FxParticle,0,0
72,Calmness_launch,ability_skill_table.mental.mt_spirit0003_launch,3,5,2,1,0.0,0.0,0.0,72,FxParticle,0,0
73,Magic Remove_form,ability_skill_table.mental.mt_concen0003_form,1,2,1,9,0.0,0.0,0.0,73,FxParticle,0,0
74,Magic Remove_hit,ability_skill_table.mental.mt_concen0003_hit,4,5,2,19,0.0,0.0,0.0,74,FxParticle,0,0
75,Aggro Transfer_launch,ability_skill_table.mental.mt_spirit0004_launch,3,5,2,1,0.0,0.0,0.0,75,FxParticle,0,0
76,Magic Reflect_launch,ability_skill_table.mental.mt_spell0003_launch,3,5,1,1,0.0,0.0,0.0,76,FxParticle,0,0
77,Spirit Patrol_launch,ability_skill_table.mental.mt_stabile0001_launch ,3,5,2,1,0.0,0.0,0.0,77,FxParticle,0,0
78,Mental Guard_launch,ability_skill_table.mental.mt_concen0004_launch,1,5,1,1,0.0,0.0,0.0,78,FxParticle,4,0
79,golem_hand,game/objects/effects/golem_hand/golem_hand.chr,0,5,1,0,0.0,0.0,0.0,1,FxChr,4,0
80,swoosh1_right,X2_EFFECTS.sword_trail_test1,1,2,1,9,0.0,0.0,0.0,79,FxParticle,3,0
81,normal_attack_hit,X2_EFFECTS.p_effect.p0000,4,5,2,19,0.0,0.0,0.0,80,FxParticle,4,0
82,level_up_start,X2_EFFECT_O.com.level_up_new,0,5,1,0,0.0,0.0,0.0,81,FxParticle,0,0
83,item_loot,X2_EFFECTS.e_effect.e0029,0,5,1,19,0.0,0.0,0.0,82,FxParticle,0,1
84,Increasing Intelligence_buf_start,ability_skill_table.mental.mt_concen0001_launch,0,5,1,2,0.0,0.0,0.0,83,FxParticle,0,0
85,Mental Power Up_buf_start,ability_skill_table.mental.mt_concen0002_launch,0,5,1,0,0.0,0.0,0.0,84,FxParticle,0,0
87,Teleport_Start,ability_skill_table.element.el_wind0003_launch,1,5,1,0,0.0,0.0,0.0,85,FxParticle,0,0
88,Chain Firing_hit,ability_skill_table.element.el_fire0002_hit,3,5,2,19,0.0,0.0,0.0,86,FxParticle,4,0
89,Floating_dot,ability_skill_table.element.el_wind0005_hit,0,5,1,0,0.0,0.0,0.0,87,FxParticle,0,0
90,Fatigue Curse_form_launch,ability_skill_table.blackmagic.black0009_form,2,5,1,9,0.0,0.0,0.0,88,FxParticle,0,0
91,Fatigue Curse_dot,ability_skill_table.blackmagic.black0005_dot,0,5,1,19,0.0,0.0,0.0,89,FxParticle,0,0
92,Whisper of Demon_form,ability_skill_table.blackmagic.black0009_form,2,3,1,9,0.0,0.0,0.0,90,FxParticle,0,0
93,Teleport_form01,ability_skill_table.element.el_wind0003_form01,3,5,1,9,0.0,0.0,0.0,91,FxParticle,0,0
94,Brain Shock_form01,ability_skill_table.mental.mt_spirit0002_form01,2,5,1,9,0.0,0.0,0.0,92,FxParticle,0,0
95,catapult_hit,abillity_skill_table_m.wild.fire_arrow_hit,5,5,1,0,0.0,0.0,0.0,93,FxParticle,0,0
96,catapult_throw,X2_EFFECTS.e_effect.e0004a,1,2,1,9,0.0,0.0,0.5,94,FxParticle,1,0
97,catapult_projectile,X2_EFFECTS.e_effect.e0004,0,5,1,0,0.0,0.0,0.0,95,FxParticle,0,0
98,meteo_form,X2_EFFECTS.sm.sm0007a,1,3,1,9,0.0,0.0,0.0,96,FxParticle,0,0
99,meteo_launch,X2_EFFECTS.sm.sm0007a1,1,3,1,0,0.0,0.0,0.0,97,FxParticle,0,0
100,meteo_hit,X2_EFFECTS.sm.sm0007b,0,5,1,0,0.0,0.0,0.0,98,FxParticle,0,0
101,meteo_launch2,X2_EFFECTS.sm.sm0007a2,3,5,1,0,0.0,0.0,0.0,99,FxParticle,0,0
102,meteo_hit2,X2_EFFECTS.sm.sm0007c,5,5,1,0,0.0,0.0,0.0,100,FxParticle,0,0
103,meteo_hit3,X2_EFFECTS.sm.sm0007c1,5,5,1,0,0.0,0.0,0.0,101,FxParticle,0,0
104,meteo_launch3,X2_EFFECTS.sm.sm0007c1,3,5,2,1,0.0,0.0,0.0,102,FxParticle,0,0
105,beamTest,abillity_skill_table_m.death.psychokinesis_launch,0,5,1,9,0.0,0.0,0.0,103,FxParticle,0,0
106,Iron Skin_launch,ability_skill_table.body.body_passive,0,5,1,0,0.0,0.0,0.0,104,FxParticle,0,0
107,Speeding_launch,ability_skill_table.body.body0001_launch,0,5,1,1,0.0,0.0,0.0,105,FxParticle,0,0
108,Speeding_dot,ability_skill_table_k.p_skill_vocation.p_skill_vo_speed_dot,0,5,1,1,0.0,0.0,0.0,106,FxParticle,0,0
109,Power of Dolphin_launch,ability_skill_table.body.body0002_launch,0,5,1,1,0.0,0.0,0.0,107,FxParticle,0,0
110,Leap_form,ability_skill_table.body.body0003_form,1,5,1,0,0.0,0.0,0.0,108,FxParticle,0,0
111,Leap_launch,ability_skill_table.body.body0003_launch,3,5,1,0,0.0,0.0,0.0,109,FxParticle,0,0
112,Power Up_launch,ability_skill_table.body.body_passive,0,5,1,0,0.0,0.0,0.0,110,FxParticle,0,0
113,Self Treatment_launch,ability_skill_table.body.body0004_launch,2,5,1,1,0.0,0.0,0.0,111,FxParticle,0,0
114,Stepping_launch,ability_skill_table.body.body0005_launch,4,5,2,0,0.0,0.0,0.0,112,FxParticle,4,0
115,Muscle Strengthening_launch,ability_skill_table.body.body0006_launch,0,5,1,1,0.0,0.0,0.0,113,FxParticle,0,0
116,Ready to Dodge_launch,ability_skill_table.body.body0007_launch,0,5,1,1,0.0,0.0,0.0,114,FxParticle,0,0
117,Joy of Pain_form,ability_skill_table.body.body0008_form,0,5,1,5,0.0,0.0,0.0,115,FxParticle,0,0
118,Joy of Pain_launch,ability_skill_table.body.body0008_launch,4,5,1,1,0.0,0.0,0.0,116,FxParticle,4,0
119,Physical Up_launch,ability_skill_table.body.body_passive,0,5,1,0,0.0,0.0,0.0,117,FxParticle,0,0
120,Concentration_form,ability_skill_table.defense.defense0001_form,2,3,1,5,0.0,0.0,0.0,118,FxParticle,0,0
121,Concentration_launch,ability_skill_table.defense.defense0001_launch,0,5,1,1,0.0,0.0,0.0,119,FxParticle,0,0
122,Shield Swing_hit,ability_skill_table.defense.defense0002_hit,4,5,2,1,0.0,0.0,0.0,120,FxParticle,4,0
123,Stanching_launch,ability_skill_table.defense.defense0003_launch,0,5,1,1,0.0,0.0,0.0,121,FxParticle,0,0
124,Armor Breaking_hit,ability_skill_table.defense.defense0004_hit,4,5,2,1,0.0,0.0,0.0,122,FxParticle,4,0
125,Fatal Spot Attack_hit,ability_skill_table.defense.defense0005_hit,4,5,2,1,0.0,0.0,0.0,123,FxParticle,4,0
126,Spike Shield_launch,ability_skill_table.defense.defense0006_launch,0,5,1,1,0.0,0.0,0.0,124,FxParticle,0,0
127,Counterattack_hit,ability_skill_table.defense.defense0007_hit,4,5,2,1,0.0,0.0,0.0,125,FxParticle,4,0
128,Damage Decrease_form,ability_skill_table.defense.defense0008_form,1,2,1,9,0.0,0.0,0.0,126,FxParticle,0,0
129,Damage Decrease_launch,ability_skill_table.defense.defense0008_launch,2,5,1,0,0.0,0.0,0.0,127,FxParticle,0,0
130,Provoke_form,ability_skill_table.defense.defense_quick,1,5,1,9,0.0,0.0,0.0,128,FxParticle,0,0
131,Provoke_launch,ability_skill_table.defense.defense0009_launch,2,5,1,0,0.0,0.0,0.0,129,FxParticle,0,0
132,Provoke_dot,ability_skill_table_k.p_skill_adament.deffense_skill_debuff_dot,0,5,1,19,0.0,0.0,0.0,130,FxParticle,0,1
133,Defensive_launch,ability_skill_table.defense.defense0010_launch,0,5,1,0,0.0,0.0,0.0,131,FxParticle,0,0
134,Wearing Light Armor _launch,ability_skill_table.defense.defense_passive,0,5,1,0,0.0,0.0,0.0,132,FxParticle,0,0
135,Endure_launch,ability_skill_table.defense.defense_passive,0,5,1,0,0.0,0.0,0.0,133,FxParticle,0,0
136,Wearing Heavy Armor_launch,ability_skill_table.defense.defense_passive,0,5,1,0,0.0,0.0,0.0,134,FxParticle,0,0
137,Dagger Stab_hit,ability_skill_table.weapon.weapon0001_hit,4,5,2,1,0.0,0.0,0.0,135,FxParticle,4,0
138,Pace up_launch,ability_skill_table.weapon.weapon0002_launch,2,5,1,0,0.0,0.0,0.0,136,FxParticle,0,0
139,Uppercut_hit,ability_skill_table.weapon.weapon0003_hit,4,5,2,1,0.0,0.0,0.0,137,FxParticle,4,0
140,Spirits Focus_form,ability_skill_table.weapon.weapon0004_form,1,2,1,8,0.0,0.0,0.0,138,FxParticle,0,0
141,Spirits Focus_launch,ability_skill_table.weapon.weapon_passive,3,5,1,0,0.0,0.0,0.0,139,FxParticle,0,0
142,Half Moon Attack_hit,ability_skill_table.weapon.weapon0005_hit,4,5,2,1,0.0,0.0,0.0,140,FxParticle,4,0
143,Ankle Cut_form,ability_skill_table.weapon.weapon0006_form,1,5,1,9,0.0,0.0,0.0,141,FxParticle,0,0
144,Ankle Cut_hit,ability_skill_table.weapon.weapon0006_hit,4,5,2,1,0.0,0.0,0.0,142,FxParticle,4,0
145,Ankle Cut_dot,ability_skill_table.weapon.weapon0006_dot,0,5,1,0,0.0,0.0,0.0,143,FxParticle,0,0
146,poison weapon_form,ability_skill_table.weapon.weapon0007_form,1,2,1,9,0.0,0.0,0.0,144,FxParticle,0,0
147,poison weapon_hit,ability_skill_table.weapon.weapon0007_hit,4,5,2,1,0.0,0.0,0.0,145,FxParticle,4,0
148,poison weapon_dot,abillity_skill_table_m.wild.poison_shot_dot,0,5,1,19,0.0,0.0,0.0,146,FxParticle,0,0
149,Threat_launch,ability_skill_table.weapon.weapon0008_launch,3,5,1,0,0.0,0.0,0.0,147,FxParticle,0,0
150,Dual Wield_launch,ability_skill_table.weapon.weapon_passive,0,5,1,0,0.0,0.0,0.0,148,FxParticle,0,0
151,Strike Back_launch,ability_skill_table.weapon.weapon0009_launch,0,5,1,1,0.0,0.0,0.0,149,FxParticle,0,0
152,Joy of Pain_dot,ability_skill_table.body.body0008_dot,0,5,1,19,0.0,0.0,0.0,150,FxParticle,0,0
153,Spirits Focus_quick,ability_skill_table.weapon.weapon_quick,3,5,1,8,0.0,0.0,0.0,151,FxParticle,0,0
154,arrow_proj,X2_EFFECTS.p_effect.st1000b,0,5,1,8,0.0,0.0,0.0,152,FxParticle,0,0
155,arrow_hit,X2_EFFECTS.p_effect.st1000c,4,5,2,19,0.0,0.0,0.0,153,FxParticle,4,0
156,Tracing spherical_launch,ability_skill_table.element.el_wind0011_launch,0,5,1,0,0.0,0.0,0.0,154,FxParticle,0,0
157,Tracing spherica_dot,ability_skill_table.element.el_wind0011_dot,0,5,1,0,0.0,0.0,0.0,155,FxParticle,0,0
158,Half Moon Attack_form,ability_skill_table.weapon.weapon0005_form,0,4,1,9,0.0,0.0,0.0,156,FxParticle,0,0
159,Rapid Heal_buff,ability_skill_table.blackmagic.black0003_launch,4,5,1,0,0.0,0.0,0.0,157,FxParticle,0,0
160,sleep_dot,abillity_skill_table_m.illusion.sleeping_dot,0,5,1,19,0.0,0.0,0.0,158,FxParticle,0,0
161,Frightening_launch,ability_skill_table.blackmagic.black0008_launch,3,5,1,9,0.0,0.0,0.0,159,FxParticle,0,0
162,craft_success,X2_EFFECTS.e_effect.craft_success,0,5,1,1,0.0,0.0,0.0,160,FxParticle,0,0
163,craft_fail,X2_EFFECTS.e_effect.craft_fail,0,5,1,1,0.0,0.0,0.0,161,FxParticle,0,0
164,hp_drink,X2_EFFECTS.e_effect.hp_drink,0,5,1,1,0.0,0.0,0.0,162,FxParticle,0,0
165,mp_drink,X2_EFFECTS.e_effect.mp_drink,0,5,1,1,0.0,0.0,0.0,163,FxParticle,0,0
166,ship_canon_fire,X2_EFFECTS.e_effect.ship_canon_fire,3,5,1,9,0.0,0.0,0.0,164,FxParticle,1,0
167,ship_canon_proj,X2_EFFECTS.e_effect.ship_canon_proj,0,5,1,0,0.0,0.0,0.0,165,FxParticle,0,0
168,ship_canon_hit,X2_EFFECTS.e_effect.ship_canon_exp,5,5,1,0,0.0,0.0,0.0,166,FxParticle,0,0
169,ship_canon_miss_hit,X2_EFFECTS.e_effect.ship_canon_exp_miss,5,5,1,0,0.0,0.0,0.0,167,FxParticle,0,0
170,ship_crash,X2_EFFECTS.e_effect.ship_crash,4,5,1,2,0.0,0.0,0.0,168,FxParticle,0,0
171,ship_damage,X2_EFFECTS.e_effect.ship_damage,0,5,1,0,0.0,0.0,0.0,169,FxParticle,0,0
172,ship_hook_proj,X2_EFFECTS.e_effect.ship_hook_attack,0,5,1,0,0.0,0.0,0.0,170,FxParticle,0,0
173,ship_hook_hit,X2_EFFECTS.e_effect.ship_hook_hit,5,5,1,0,0.0,0.0,0.0,171,FxParticle,0,0
174,ship_sinking,X2_EFFECTS.e_effect.caraval_water_destroy,0,5,1,0,0.0,0.0,0.0,172,FxParticle,0,0
175,ship_damage2,X2_EFFECTS.e_effect.ship_damage2,0,5,1,0,0.0,0.0,0.0,173,FxParticle,0,0
176,Quick String_proj,ability_skill_table.firing.firing0001_launch,0,5,1,9,0.0,0.0,0.0,174,FxParticle,0,0
177,Quick String_hit,ability_skill_table.firing.firing0001_hit,4,5,2,19,0.0,0.0,0.0,175,FxParticle,4,0
178,Talon of Hawk_launch,abillity_skill_table_m.wild.hawk_launch,3,5,1,2,0.0,0.0,0.0,176,FxParticle,0,0
179,Talon of Hawk_dot,abillity_skill_table_m.wild.hawk_dot,5,5,1,2,0.0,0.0,0.0,177,FxParticle,0,0
180,Poisoned Arrow_proj,ability_skill_table.firing.firing0003_launch,0,5,1,0,0.0,0.0,0.0,178,FxParticle,0,0
181,Poisoned Arrow_hit,ability_skill_table.firing.firing0003_hit,4,5,2,1,0.0,0.0,0.0,179,FxParticle,4,0
182,Poisoned Arrow_dot,X2_EFFECT_O.Mon_Effects.mon_poison_dot,0,5,1,19,0.0,0.0,0.0,180,FxParticle,0,0
183,Light Arrow_proj,abillity_skill_table_m.wild.lights_arrow_proj,0,5,1,8,0.0,0.0,0.0,181,FxParticle,0,0
184,Light Arrow_hit,abillity_skill_table_m.wild.lights_arrow_hit,4,5,2,19,0.0,0.0,0.0,182,FxParticle,4,0
185,Arrow Shower_proj,ability_skill_table.firing.firing0006_launch,0,5,1,0,0.0,0.0,0.0,183,FxParticle,0,0
186,Arrow Shower_hit,ability_skill_table.firing.firing0006_hit,0,5,1,0,0.0,0.0,0.0,184,FxParticle,0,0
187,Arrow Shower_dot,ability_skill_table.firing.firing0006_dot,0,5,1,19,0.0,0.0,0.0,185,FxParticle,0,0
188,Track_proj,ability_skill_table.firing.firing0009_launch,3,5,1,0,0.0,0.0,0.0,186,FxParticle,0,0
189,Track_hit,ability_skill_table.firing.firing0009_hit,5,5,1,1,0.0,0.0,0.0,187,FxParticle,4,0
190,Track_dot,ability_skill_table.firing.firing0009_dot,0,5,1,19,0.0,0.0,0.0,188,FxParticle,0,0
191,Rapid Shot_proj,ability_skill_table.firing.firing0010_launch,0,5,1,0,0.0,0.0,0.0,189,FxParticle,0,0
192,Rapid Shot_hit,ability_skill_table.firing.firing0010_hit,4,5,2,1,0.0,0.0,0.0,190,FxParticle,4,0
193,Assault_launch,ability_skill_table.survival.survival0001_launch,1,5,1,1,0.0,0.0,0.0,191,FxParticle,0,0
194,Assault_hit,ability_skill_table.survival.survival0001_hit,4,5,2,1,0.0,0.0,0.0,192,FxParticle,0,0
195,Thorn Snare_proj,abillity_skill_table_m.wild.pet_get_proj,0,5,1,9,0.0,0.0,0.0,193,FxParticle,0,0
196,Thorn Snare_hit,abillity_skill_table_m.wild.pet_get_hit,5,5,1,1,0.0,0.0,0.0,194,FxParticle,0,0
197,Thorn Snare_dot,ability_skill_table.survival.survival0002_dot,0,5,1,19,0.0,0.0,0.0,195,FxParticle,0,0
198,Remote Bomb_hit,ability_skill_table.survival.survival0004_hit,5,5,1,0,0.0,0.0,0.0,196,FxParticle,0,0
199,Surprise Attack_hit,ability_skill_table.survival.survival0005_hit,4,5,2,1,0.0,0.0,0.0,197,FxParticle,0,0
200,Aim Joints_hit_arm,ability_skill_table.survival.survival0006_hit_arm,4,5,2,0,0.0,0.0,0.0,198,FxParticle,0,0
201,Aim Joints_hit_leg,ability_skill_table.survival.survival0006_hit_leg,4,5,2,1,0.0,0.0,0.0,199,FxParticle,4,0
202,Aim Joints_hit_neck,ability_skill_table.survival.survival0006_hit_neck,4,5,2,0,0.0,0.0,0.0,200,FxParticle,0,0
203,horse_spawn,X2_EFFECTS.e_effect.horse_spawn,0,5,1,0,0.0,0.0,0.0,201,FxParticle,0,0
204,fire ball_throw,ability_skill_table.element.el_fire0001_throw,2,5,1,0,0.0,0.0,0.0,202,FxParticle,0,0
205,ballista_fire,X2_EFFECTS.e_effect.ballista_fire,3,5,1,9,0.0,0.0,0.0,203,FxParticle,1,0
206,Light of Messenger,ability_skill_table.white.white0002_launch,2,5,1,0,0.0,0.0,0.0,204,FxParticle,0,0
207,Light of the Seal,ability_skill_table.white.white0003_launch,3,5,2,0,0.0,0.0,0.0,205,FxParticle,0,0
208,Falling Life,ability_skill_table.white.white0004_launch,3,5,1,0,0.0,0.0,0.0,206,FxParticle,0,0
209,Falling Life_dot,ability_skill_table.white.white0004_dot,0,5,1,19,0.0,0.0,0.0,207,FxParticle,0,0
210,Talk with Spirit,ability_skill_table.white.white0005_launch,3,5,2,1,0.0,0.0,0.0,208,FxParticle,0,0
211,Resurrection,ability_skill_table.white.white0006_launch,3,5,1,0,0.0,0.0,0.0,209,FxParticle,0,0
212,Tone-Deaf_form,ability_skill_table.poem.poem0001_form,0,5,1,8,0.0,0.0,0.0,210,FxParticle,0,0
213,Tone-Deaf_launch,ability_skill_table.poem.poem0001_launch,3,5,1,1,0.0,0.0,0.0,211,FxParticle,0,0
214,Tone-Deaf_hit,ability_skill_table.poem.poem0001_hit,4,5,2,1,0.0,0.0,0.0,212,FxParticle,0,0
215,Song of healing_launch,ability_skill_table.poem.poem0002_launch,3,5,1,1,0.0,0.0,0.0,213,FxParticle,0,0
216,Song of healing_buff,ability_skill_table.poem.poem0002_buff,0,5,1,1,0.0,0.0,0.0,214,FxParticle,0,0
217,Real Courage,ability_skill_table.poem.poem0003_launch,3,5,1,0,0.0,0.0,0.0,215,FxParticle,0,0
218,Song of Protection,ability_skill_table.poem.poem0004_launch,3,5,1,1,0.0,0.0,0.0,216,FxParticle,0,0
219,Song of Hallucination_launch,ability_skill_table.poem.poem0005_launch,3,5,1,1,0.0,0.0,0.0,217,FxParticle,0,0
220,Song of Hallucination_dot,ability_skill_table.poem.poem0005_dot,0,5,1,2,0.0,0.0,0.0,218,FxParticle,0,0
221,Roaring,ability_skill_table.poem.poem0006_launch,3,5,1,1,0.0,0.0,0.0,219,FxParticle,0,0
222,wood_elemental_proj,X2_EFFECTS.mon_effects.wood_elemental_proj,0,5,1,0,0.0,0.0,0.0,220,FxParticle,0,0
