id,name,proj_physic_id,fx_group_id,dest_bone_id,src_bone_id,is_permanent,ignore_z_rotation
52,화살소나기_dot,3,247,0,0,f,f
53,무중력공간_dot,3,227,0,0,f,f
54,수면의노래_효과지역,3,365,0,0,f,f
55,치유공간_효과지역,3,366,0,0,f,f
56,투명구_효과지역,3,269,0,0,f,f
57,포털,3,288,0,0,f,f
58,돌개바람_효과지역,3,370,0,0,f,f
59,회오리바람_효과지역,3,362,0,0,f,f
60,doodad불자취_dot,3,379,0,0,f,f
61,불바다_효과지역,3,381,0,0,f,f
62,원거리샷_발사체,1,387,0,0,f,f
63,신화살소나기_발사체,1,392,0,0,f,f
64,불의심판_발사체,1,394,0,0,f,f
65,심판의창_투사체,3,396,0,0,f,f
66,분노의벼락_빔,2,225,19,0,f,f
67,n_스산한자장가_proj,3,430,0,0,f,f
68,n_단검던지기_발사체,0,436,1,0,f,f
69,활력 칼날_발사체_1단계,0,479,19,0,f,f
70,벼락구름_발사체,3,482,0,0,f,f
71,n염동력_beam,2,493,19,9,f,f
72,작은간헐천_수증기,3,499,0,0,f,f
73,작은간헐천_작은물줄기,3,500,0,0,f,f
74,작은간헐천_폭발,3,501,0,0,f,f
75,유령텐트바닥,3,508,0,0,f,f
76,발리스타_발사체,1,517,0,0,f,f
77,물병던지기_발사체,1,518,0,0,f,f
78,얼음벽_body_dot,3,519,0,0,f,f
79,활력미사일_발사체,0,522,19,0,f,f
80,칼의화음_발사체,0,528,19,0,f,f
81,생명력흡수_beam,2,533,19,0,f,f
82,매혹의노래_beam,2,539,19,0,f,f
83,평화의노래_효과지역,3,541,0,0,f,f
84,불협화음_발사체_1단계,0,546,19,0,f,f
85,치유의샘_효과지역,3,547,0,0,f,f
86,당기기_beam,2,558,19,0,f,f
87,연쇄번개_beam,2,565,19,0,f,f
88,폭탄화살_발사체_old,1,566,0,0,f,f
89,추적자의표식_발사체,0,575,19,0,f,f
90,퀘스트_마법의밧줄_beam,2,576,19,0,f,f
91,퀘스트_검투시합의무대,3,579,0,0,f,f
92,퀘스트_폭죽_발사체,0,582,19,0,f,f
93,퀘스트_매를당기는향료의기운_beam,2,586,19,0,f,f
94,Doodad용 - 수중폭발,3,585,0,0,f,f
95,Doodad용 - 커다란 물 소용돌이,3,584,0,0,f,f
96,퀘스트_물수제비_발사체,1,611,0,0,f,f
97,mon_나무정령대형_죽음의뜰_효과지역,3,614,0,0,f,f
98,야타_대변_smell,3,621,0,0,f,f
99,퀘스트_물수제비_발사체제거,0,622,0,0,f,f
100,-삭제-,3,603,0,0,f,f
101,Doodad용 - 거대 나무 거인 - 나무폭파,3,623,0,0,f,f
102,mon_가시쏘기_발사체,0,625,19,0,f,f
103,mon_돌던지기_발사체,0,628,19,0,f,f
104,퀘스트_벽폭발_효과지역,3,620,0,0,f,f
105,mon_번개송이_발사체,0,634,19,0,f,f
106,mon_별빛송이_발사체,0,636,19,0,f,f
107,mon_어둠송이_발사체,0,640,19,0,f,f
108,mon_독뱉기_발사체,0,644,19,0,f,f
109,Doodad용 - 퀘스트 - 수호자에게 인정을 받는 방법 Beam,3,649,0,0,f,f
110,mon_쐐기화살_발사체,0,651,19,0,f,f
111,mon_석화_발사체,0,659,19,0,f,f
112,mon_소화액쏘기_발사체,0,662,19,0,f,f
113,mon_거미줄뿜기_beam,2,664,19,0,f,f
114,연속쏘기_발사체,0,670,19,0,f,f
115,불의비_proj,3,672,0,0,f,f
116,mon_마비침찌르기_발사체,0,678,19,0,f,f
117,Doodad용 - 퀘스트 - 침묵의 거상 아키움 반응로,3,680,0,0,f,f
118,활력추출_beam,2,681,19,0,f,f
119,미지의주문_발사체,0,684,19,0,f,f
120,전장메테오_효과지역,3,685,0,0,f,f
121,turret_canon_발사체,0,688,19,0,f,f
122,마법진_효과지역_01,3,699,0,0,f,f
123,마법진_효과지역_02,3,700,0,0,f,f
124,마법진_효과지역_03,3,701,0,0,f,f
125,마법진_효과지역_04,3,702,0,0,f,f
126,마법진_효과지역_05,3,703,0,0,f,f
127,turret_firebreath_발사체,0,704,19,0,f,f
128,Doodad용 - 퀘스트 - 침묵의 거상 배수구 낙숫물,3,705,0,0,f,f
129,퀘스트_폭죽_red,0,708,19,0,f,f
130,퀘스트_폭죽_green,0,709,19,0,f,f
131,퀘스트_폭죽_blue,0,710,19,0,f,f
132,퀘스트_벤시의정화_효과지역,3,712,0,0,f,f
133,퀘스트_후광_효과지역,3,583,0,0,f,f
137,mon_물송이_발사체,0,728,19,0,f,f
138,대지의속박_발사체,0,729,0,0,f,f
139,대지가르기_플롯_효과지역,3,734,0,0,f,f
140,대지가르기_플롯_효과지역2,3,736,0,0,f,f
141,대지가르기_플롯_효과지역3,3,737,0,0,f,f
142,불꽃송이_발사체_2단계,0,745,19,0,f,f
143,불꽃송이_발사체_3단계,0,748,19,0,f,f
144,퀘스트_용무늬폭죽_발사체,3,743,0,0,f,f
145,퀘스트_하트무늬폭죽_발사체,3,744,0,0,f,f
146,퀘스트_휏불던지기_발사체,0,764,19,0,f,f
147,황의 작살 투사체,1,766,0,0,f,f
148,mon_얼음송이_발사체,0,759,19,0,f,f
149,퀘스트_양동이물뿌리기_발사체,1,776,0,0,f,f
150,퀘스트_화염병던지기_발사체,1,777,0,0,f,f
151,퀘스트_오로라대포_효과지역,3,761,0,0,f,f
152,퀘스트_영혼의결혼식_효과지역,3,778,0,0,f,f
153,퀘스트_모래돌풍_효과지역,3,779,0,0,f,f
154,퀘스트_무지개독가스_효과지역,3,780,0,0,f,f
155,퀘스트_날아가는술병_발사체,0,781,0,0,f,f
156,효과지역3m,3,785,0,0,f,f
157,효과지역5m,3,786,0,0,f,f
158,효과지역8m,3,787,0,0,f,f
159,효과지역10m,3,788,0,0,f,f
160,mon_푸른페피_바람총_발사체,0,756,19,0,f,f
161,퀘스트_거미줄던지기_발사체,0,791,19,0,f,f
162,출혈화살_발사체,0,800,19,0,f,f
163,폭탄화살_발사체,0,803,19,0,f,f
164,효과지역20m,3,805,0,0,f,f
165,효과지역30m,3,806,0,0,f,f
166,효과지역50m,3,807,0,0,f,f
167,효과지역100m,3,808,0,0,f,f
168,퀘스트_파란_마법진,3,804,0,0,f,f
169,함정_효과지역,3,810,0,0,f,f
170,탱크_일반탄_발사체,1,815,0,0,f,f
171,탱크_화염탄_발사체,1,817,0,0,f,f
172,탱크_마력탄_발사체,1,819,0,0,f,f
173,탱크_시지모드_발사체,1,821,0,0,f,f
174,quest_기름에젖은바닥_효과지역,3,828,0,0,f,f
175,quest_불타는기름젖은바닥_효과지역,3,829,0,0,f,f
176,퀘스트_폭죽_multicolor_발사체,0,833,19,0,f,f
177,mon_거대야차_마법진폭발_8m_효과지역,3,849,0,0,f,f
178,mon_거대야차_마법진폭발_8m_효과지역_폭발,3,850,0,0,f,f
179,mon_거대야차_마법진폭발_10m_효과지역,3,851,0,0,f,f
180,mon_거대야차_마법진폭발_10m_효과지역_폭발,3,852,0,0,f,f
181,퀘스트_고양이_울음소리_proj_sound_only,3,855,0,0,f,f
182,mon_불꽃송이_발사체,0,758,19,9,f,f
183,mon_거대크라켄_20m_물기둥_효과지역,3,860,0,0,f,f
184,mon_거대크라켄_30m_물기둥_효과지역,3,861,0,0,f,f
185,mon_거대크라켄물어뜯고전기충격_효과지역,3,863,0,0,f,f
186,quest_번개구름_효과지역,3,869,0,0,f,f
187,quest_비_효과지역,3,870,0,0,f,f
188,quest_눈_효과지역,3,871,0,0,f,f
189,quest_먹구름_효과지역,3,872,0,0,f,f
190,mon_거대바실리스크_석화독연못_발사체,0,874,0,0,f,f
191,mon_거대바실리스크_석화독연못_효과지역,3,875,0,0,f,f
192,신화살소나기_발사체(nosound),1,876,0,0,f,f
193,퀘스트_불타는나무의불꽃_doodad,3,762,0,0,f,f
194,퀘스트_흙먼지_doodad,3,767,0,0,f,f
195,mon_뱀소환_효과지역,3,877,0,0,f,f
196,mon_흉포한거인_대지가르기_5m,3,878,0,0,f,f
197,mon_흉포한거인_대지가르기_8m,3,879,0,0,f,f
198,mon_흉포한거인_대지가르기_10m,3,880,0,0,f,f
199,mon_흉포한거인_포자뿌리기_발사체,0,881,0,0,f,f
200,mon_흉포한거인_유도포자구름_발사체,0,882,0,0,f,f
201,mon_무덤가드_불꽃송이_발사체,0,889,19,0,f,f
202,decal_목표범위_10m,3,890,0,0,f,f
203,decal_타겟범위_1m,3,891,0,0,f,f
204,댄스모드_효과지역,3,892,0,0,f,f
205,mon_누이여신의환영_발사체,0,896,0,0,f,f
206,화염벽_효과지역,3,900,0,0,f,f
207,뼈장벽_효과지역,3,901,0,0,f,f
208,quest_눈뭉치_발사체,1,908,19,0,f,f
209,mon_지면폭발_효과지역,3,910,0,0,f,f
210,얼음장벽_효과지역,3,912,0,0,f,f
211,연속회복_발사체,0,913,2,0,f,f
212,뼈장벽_a_end,3,915,0,0,f,f
213,뼈장벽_a_start,3,916,0,0,f,f
214,mon_크라켄_camera_shake_recoil,3,907,0,0,f,f
215,뼈장벽_b_end,3,918,0,0,f,f
216,뼈장벽_b_start,3,917,0,0,f,f
217,뼈장벽_c_end,3,920,0,0,f,f
218,뼈장벽_c_start,3,919,0,0,f,f
219,뼈장벽_d_end,3,922,0,0,f,f
220,뼈장벽_d_start,3,921,0,0,f,f
221,해골소환_효과지역,3,923,0,0,f,f
222,뼈장벽_launch_proj_end,0,927,0,0,f,f
223,decal_타겟범위_3m,3,942,0,0,f,f
224,공성병기_사다리차,3,943,0,0,f,f
225,공성스킬_공중사격_발사체,0,945,0,0,f,f
226,공성스킬_지면사격_효과지역,0,948,0,0,f,f
227,불꽃송이_발사체_타입(테스트_정덕근),0,943,19,0,f,f
228,mon_철갑망령손대포_발사체,0,954,0,0,f,f
229,mon_철갑망령난사_발사체,0,956,19,0,f,f
230,mon_worldspawner_발사체,3,958,0,0,f,f
232,mon_worldspawner_launch,3,959,0,0,f,f
234,mon_worldspawner_hit,3,962,0,0,f,f
235,불의광역장벽_효과지역,3,964,0,0,f,f
236,mon_worldspawner_hit_anthalon,3,965,0,0,f,f
237,mon_anthalon_원혼소환_효과지역,3,971,0,0,f,f
238,김현준_테스트_launch_플롯,3,975,0,0,f,f
239,catapult_heal_proj,1,985,0,0,f,f
241,catapult_fire_jar_proj,1,990,0,0,f,f
242,catapult_water_proj,1,992,0,0,f,f
243,농기계_물_launch,3,996,0,0,f,f
244,공성병기_투석_발사체,1,1002,0,0,f,f
245,채찍_투사체,3,1008,0,0,f,f
246,퀘스트_반딧불모으기_효과 영역,3,774,0,0,f,f
247,mon_살덩이골렘_독액폭발,1,644,0,0,f,f
248,대지가르기_효과지역,3,1014,0,0,f,f
249,퀘스트_지옥늪지대_수포_green,3,1016,0,0,f,f
250,퀘스트_지옥늪지대_수포_red,3,1017,0,0,f,f
251,퀘스트_가랑돌평원_제단의 빛,3,1018,0,0,f,f
252,돌개바람_발사체_test,3,1022,0,0,f,f
253,지옥_독안개,3,1015,0,0,f,f
254,김현준_하디르보스_독브레스_proj,1,1025,0,0,f,f
255,테스트용_돈주머니발사체,0,1027,0,0,f,f
256,속박해제,3,660,0,0,f,f
257,퀘스트_지옥늪지대_수포_퀘스트용,3,1029,0,0,f,f
258,황의 갈고리 투사체,1,1031,0,0,f,f
259,퀘스트_작은물체폭발,3,580,0,0,f,f
260,quest_야자열매던지기_발사체,0,1037,0,0,f,f
261,mon_불꽃송이_balistic_proj,1,1041,0,0,f,f
262,quest_햇살나무_효과지역,3,1040,0,0,f,f
263,나눔의치유_발사체(16),0,1046,19,0,f,f
264,나눔의치유_발사체(8),0,1047,19,0,f,f
265,나눔의치유_발사체(4),0,1048,19,0,f,f
266,나눔의치유_발사체(2),0,1049,19,0,f,f
267,레벨_공기방울10x10,3,1052,0,0,f,f
268,레벨_공기방울3x3,3,1053,0,0,f,f
269,레벨_독웅덩이,3,1054,0,0,f,f
270,mon_해파리기본공격_발사체 ,0,1057,19,0,f,f
271,mon_해파리촉수공격_발사체,0,1058,19,0,f,f
272,mon_해파리잠수_효과지역,3,1059,0,0,f,f
273,데칼_타겟_반지름5m,3,1068,0,0,f,f
274,금빛 표지 증명,3,1070,0,0,f,f
275,활력재생토템1단계_효과지역,3,1077,0,0,f,f
276,활력재생토템2단계_효과지역,3,1078,0,0,f,f
277,몬스터스폰_중형,3,1081,0,0,f,f
278,몬스터스폰_대형,3,1082,0,0,f,f
279,mon_lightningbomb_효과지역,3,1083,0,0,f,f
280,대지가르기_로그인_효과지역,0,1094,0,0,f,f
285,퀘스트_무지개벌판_깨지는바이암알,3,1100,0,0,f,f
286,mon_돌던지기_발사체_balistic,1,1101,0,0,f,f
287,얼음화살_발사체_2단계,0,1107,19,0,f,f
288,얼음화살_발사체_3단계,0,1108,19,0,f,f
289,발달베기_proj,3,1111,0,0,f,f
290,퀘스트_마하데비_석자재,3,1113,0,0,f,f
291,퀘스트_가랑돌평원_하얀거품,3,1114,0,0,f,f
292,quest_석회가루폭발,3,841,0,0,f,f
293,심판의창_효과지역,3,1131,0,0,f,f
294,충격화살_발사체_2단계,0,1134,19,0,f,f
295,충격화살_발사체_3단계,0,1135,19,0,f,f
296,퀘스트_솔즈리드_제령,3,1137,0,0,f,f
297,decal_반지름_5m_효과지역,3,1138,0,0,f,f
298,울부짖는구렁텅이_데미지효과지역,3,1154,0,0,f,f
299,울부짖는구렁텅이_효과영역표시,3,1155,0,0,f,f
300,섬광의길_발사체,0,1158,0,0,f,f
301,하제의망치_데미지효과,3,1157,0,0,f,f
302,하제의망치_효과지역,3,1159,0,0,f,f
303,mon_스타더스트_balistic_proj,1,70,0,0,f,f
304,mon_번개송이_balistic_proj,1,1164,0,0,f,f
305,매혹의노래_발사체,0,1166,19,0,f,f
306,불협화음_발사체_2단계,0,1173,19,0,f,f
307,불협화음_발사체_3단계,0,1174,19,0,f,f
308,올로의망치_발사체,1,1195,0,0,f,f
309,기름던지기_투사체,0,1196,0,0,f,f
310,바이보로스_독액폭발_효과지역,3,1197,0,0,f,f
311,정성엽_고드프리의 무쇠날 창날,3,1154,0,0,f,f
312,바이보로스_알_발사체,1,1198,0,0,f,f
313,단검던지기(대)_proj,0,1199,1,0,f,f
314,김현준_단검던지기_proj,1,1200,0,0,f,f
315,메타모제의방_화염지역_indoor전용,3,1201,0,0,f,f
316,메타모제의방_화염기둥_indoor전용,3,1202,0,0,f,f
317,고드프리_심연의불꽃_효과지역,3,1204,0,0,f,f
318,날틀_난사_발사체,0,1205,0,0,f,f
320,정석원_날아가는술병(ballistic)_proj,1,781,0,0,f,f
321,얼음화살_발사체_3단계(ballistic),1,1108,0,0,f,f
322,정성엽_바이보로스_독폭발,3,1208,0,0,f,f
325,석화구슬_ground_효과지역,3,1214,0,0,f,f
327,칼날소용돌이_proj,3,1216,0,0,f,f
328,발리스타_발사체(용나무열매_hit),1,1223,0,0,f,f
329,인터렉션_소생관련_효과지역,3,1225,0,0,f,f
330,드럼통발사_launch,3,1227,0,0,f,f
331,슬롯머신coin30,3,1230,0,0,f,f
332,슬롯머신coin50,3,1231,0,0,f,f
333,슬롯머신coin90,3,1232,0,0,f,f
334,슬롯머신coin150,3,1233,0,0,f,f
335,두다드인터렉션용_효과지역_01,3,1254,0,0,f,f
336,슬롯머신_big_coin30,3,1258,0,0,f,f
337,슬롯머신_big_coin50,3,1259,0,0,f,f
338,슬롯머신_big_coin90,3,1260,0,0,f,f
339,슬롯머신_big_coin150,3,1261,0,0,f,f
340,물뿜기_효과지역,3,1262,0,0,f,f
341,퀘스트_석상파괴,3,1268,0,0,f,f
342,퀘스트_흙주머니던지기_발사체,0,1271,19,0,f,f
343,인터렉션_소생관련_효과지역2,3,1273,0,0,f,f
344,mon_다이나마이트_proj,1,1277,0,0,f,f
345,quest_버블효과지역,3,1278,0,0,f,f
346,mon_공기폭발_효과지역,3,1298,0,0,f,f
347,mon_죽음의광선_beam,2,1304,19,0,f,f
348,mon_생기흡수_beam(무스페로사전용),2,1305,19,0,f,f
349,mon_검은망령의독물_발사체,0,1301,19,0,f,f
350,소환수포획_beam,2,1306,19,0,f,f
351,뜨거운것식는연기,3,1316,0,0,f,f
353,선박_날틀무력화,3,1324,0,0,f,f
354,크라켄의방패_효과지역,3,1328,0,0,f,f
355,스프리건의전류화살_발사체,0,1331,19,0,f,f
356,인터랙션_날아가는병_발사체,1,1342,0,0,f,f
357,텔레포트_target,3,1347,0,0,f,f
358,사랑의 고백,3,1353,0,0,f,f
359,황의 낚시 투사체,1,1354,0,25,t,f
360,날틀_국지방어기,2,1357,19,19,f,f
361,공성병기_날틀방어기_투사체,0,1359,19,9,f,f
362,망치_발사체,0,1195,0,0,f,f
363,인터랙션_고백_love발사체,0,1402,19,0,f,f
364,인터랙션_고백_hate발사체,0,1404,19,0,f,f
365,망치_발사체_ballistic,1,1195,0,0,f,f
366,전차지뢰_효과지역,3,1406,0,0,f,f
367,mon_벼락치기_발사체_s,3,1421,0,0,f,f
368,공성타워_각인_beam,2,1422,0,9,f,f
369,전차지뢰_배치용,3,1425,0,0,f,f
370,mon_화염지옥불기둥_hit,3,1426,0,0,f,f
372,거대 석궁 발사체_level_test,1,1000,0,0,f,f
373,두억시니_기모으기_분노의망치,3,1434,0,0,f,f
374,김현준_테스트_launch_플롯2_nosound,3,1442,0,0,f,f
375,영주의질주_효과지역,3,1443,0,0,f,f
376,현상금사냥,0,1447,2,0,f,f
377,낚시_투사체,1,1454,0,0,f,f
378,mon_보스급짓밟기a_hit_proj,3,1452,0,0,f,f
379,퀘스트_바위폭파,3,1458,0,0,f,f
380,유령속박_채널링,2,1462,19,0,f,f
381,퀘스트_거미줄던지기_balistic_proj,1,1465,0,0,f,f
382,mon_벼락치기_발사체_m,3,1467,0,0,f,f
383,mon_벼락치기_발사체_l,3,1468,0,0,f,f
384,유령쐐기포_발사체,0,1470,19,9,f,f
385,영창하는 레르만의 전류_발사체,0,1477,19,0,f,f
386,mon_물송이_발사체_balistic,1,728,0,0,f,f
387,부유방울_static_proj,3,1484,0,0,f,f
388,낚시_떡밥투척_투사체,1,1486,19,0,f,f
389,낚시_토막난정어리_투사체,1,1487,19,0,f,f
390,water_wave_proj,3,1489,0,0,f,f
391,저주받은 광채_발사체,0,1494,19,0,f,f
392,저주의 칼날_proj,0,1495,19,0,f,f
393,mon_독뱉기_발사체2,0,644,7,0,f,f
394,나차쉬가르_불함정_proj,3,1498,0,0,f,f
395,김현준_나차쉬가르3번방_석화해제_static_proj,3,1499,0,0,f,f
396,나차쉬가르_함정_active_효과지역,3,1504,0,0,f,f
397,타후타의물송이_발사체,0,1507,19,0,f,f
398,광채_spawn,3,1514,0,0,f,f
399,저주받은 광채 스폰,3,1459,0,0,f,f
400,김현준_테스트_launch_플롯_soundonly,3,1529,0,0,f,f
401,mon_어둠의비수_발사체,3,1042,0,0,f,f
402,나차쉬가르_함정_cast,3,1531,0,0,f,f
404,심연의입구_경고,3,1534,0,0,f,f
405,불전차_포탄_효과지역,3,1537,0,0,f,f
406,나차쉬가르_두억시니_격노의울부짖음_static_proj,3,1552,0,0,f,f
407,ItemSkill_나차슈린드_발사체,3,1561,19,0,f,f
408,김현준_두억시니_static_proj,3,1567,0,0,f,f
409,타후타의공포_beam,2,1576,19,0,f,f
410,타후타의파도_효과지역,3,1582,0,0,f,f
411,타후타의환영검,0,1588,0,0,f,t
412,decal_타겟범위_10m,3,1592,0,0,f,f
413,초고열에너지_beam,2,1596,19,1,f,f
414,mon_바르키_불꽃송이_발사체,0,1618,19,9,f,f
415,mon_바르키_화염구_3방향,0,1619,19,9,f,f
416,mon_나차쉬_bigfireball_투사체,0,1620,19,9,f,f
417,dragon_거대석궁_투사체,0,1622,19,9,f,f
418,낚시_투사체_대나무,1,1602,0,25,t,f
419,낚시_투사체_이벤트1,1,1603,0,25,t,f
420,낚시_투사체_금도금된철제,1,1604,0,25,t,f
421,낚시_투사체_이벤트2,1,1605,0,25,t,f
422,낚시_투사체_탄성이좋은철제,1,1606,0,25,t,f
423,낚시_투사체_철제,1,1608,0,25,t,f
424,낚시_투사체_아키움장식,1,1609,0,25,t,f
425,퀘스트_연기_dot,3,1021,0,0,f,f
426,mon_안탈론_정신흡수_beam,2,1628,19,0,f,f
427,mon_드래곤_메테오_발사체,3,1631,0,0,f,f
428,mon_드래곤_밟기_hit,3,1632,0,0,f,f
429,mon_드래곤_불꽃송이_발사체,0,1637,0,2,f,f
430,잠수정_어뢰_l,0,1646,19,8,f,f
431,잠수정_어뢰_r,0,1648,19,9,f,f
432,용날틀_용의눈물_투사체,0,1652,19,0,f,f
433,퀘스트_히드라소환_launch,3,832,0,0,f,f
434,심연의 약탈자_독액 투척,3,1657,0,0,f,f
435,제누트_매혹의 창살,3,1658,0,0,f,f
436,skill_강화탄_proj,1,1659,0,0,f,f
437,skill_화염탄_proj,1,1661,0,0,f,f
438,skill_회복탄_proj,1,1662,0,0,f,f
439,skill_독탄_proj,1,1663,0,0,f,f
440,mon_매혹의빛_proj,0,1667,19,0,f,f
441,함정_효과지역,3,1669,0,0,f,f
442,테스트_정성엽_도서관_화염괴성,0,1595,0,1,f,f
443,마물소환_효과지역,3,1672,0,0,f,f
444,이벤트_생닭_투사체,1,1673,0,0,f,f
445,태양의들녘_이벤트_spawner_launch,3,1676,0,0,f,f
446,태양의들녘_이벤트_spawner_hit,3,1677,0,0,f,f
447,저격_beam,2,1684,19,0,f,f
448,연속벼락_효과지역,3,1685,0,0,f,f
449,비수던지기_투사체,0,1690,19,0,f,f
