id,quest_component_id,act_detail_id,act_detail_type
683,535,58,QuestActSupplyItem
684,537,72,QuestActObjTalk
685,538,154,QuestActConReportNpc
688,544,151,QuestActConAcceptNpc
696,571,60,QuestActSupplyItem
698,578,61,QuestActSupplyItem
701,586,77,QuestActObjTalk
703,779,158,QuestActConReportNpc
704,781,62,QuestActSupplyItem
705,783,25,QuestActObjItemUse
706,784,78,QuestActObjTalk
709,787,63,QuestActSupplyItem
712,793,156,QuestActConAcceptNpc
713,794,64,QuestActSupplyItem
717,795,7,QuestActObjInteraction
719,811,27,QuestActObjSphere
720,828,33,QuestActObjMonsterHunt
721,842,160,QuestActConReportNpc
724,854,8,QuestActConAutoComplete
734,905,32,QuestActCheckCompleteComponent
735,906,29,QuestActObjSphere
736,906,33,QuestActCheckCompleteComponent
746,917,162,QuestActConAcceptNpc
748,918,164,QuestActConReportNpc
749,803,164,QuestActConAcceptNpc
750,921,84,QuestActObjTalk
751,922,165,QuestActConReportNpc
752,920,165,QuestActConAcceptNpc
755,926,166,QuestActConReportNpc
757,145,9,QuestActConAutoComplete
761,928,66,QuestActSupplyItem
762,929,52,QuestActObjItemGather
763,930,167,QuestActConReportNpc
765,932,31,QuestActObjSphere
766,933,168,QuestActConReportNpc
769,907,34,QuestActCheckCompleteComponent
771,908,35,QuestActCheckCompleteComponent
772,935,169,QuestActConReportNpc
774,937,67,QuestActSupplyItem
775,938,32,QuestActObjSphere
776,939,36,QuestActCheckCompleteComponent
777,939,27,QuestActObjItemUse
778,940,37,QuestActCheckCompleteComponent
779,940,87,QuestActObjTalk
780,941,170,QuestActConReportNpc
781,809,169,QuestActConAcceptNpc
782,943,68,QuestActSupplyItem
783,944,53,QuestActObjItemGather
784,945,54,QuestActObjItemGather
786,948,69,QuestActSupplyItem
788,949,70,QuestActSupplyItem
789,950,88,QuestActObjTalk
790,951,172,QuestActConReportNpc
792,712,171,QuestActConAcceptNpc
793,716,173,QuestActConReportNpc
795,953,72,QuestActSupplyItem
796,954,55,QuestActObjItemGather
797,955,56,QuestActObjItemGather
800,958,89,QuestActObjTalk
801,959,175,QuestActConReportNpc
803,961,39,QuestActObjMonsterHunt
807,964,40,QuestActObjMonsterHunt
809,813,175,QuestActConAcceptNpc
810,968,57,QuestActObjItemGather
811,252,75,QuestActSupplyItem
812,968,38,QuestActCheckCompleteComponent
813,969,39,QuestActCheckCompleteComponent
814,254,28,QuestActObjItemUse
816,256,176,QuestActConReportNpc
818,286,76,QuestActSupplyItem
819,291,177,QuestActConReportNpc
820,290,33,QuestActObjSphere
821,973,58,QuestActObjItemGather
822,972,77,QuestActSupplyItem
823,300,178,QuestActConReportNpc
825,816,178,QuestActConAcceptNpc
827,977,60,QuestActObjItemGather
829,979,179,QuestActConReportNpc
830,303,79,QuestActSupplyItem
836,316,91,QuestActObjTalk
838,356,30,QuestActObjItemUse
839,357,180,QuestActConReportNpc
840,404,181,QuestActConReportNpc
864,158,11,QuestActConAutoComplete
865,160,16,QuestActConAcceptItem
866,161,63,QuestActObjItemGather
867,162,185,QuestActConReportNpc
876,985,81,QuestActSupplyItem
877,986,82,QuestActSupplyItem
878,986,83,QuestActSupplyItem
879,987,12,QuestActObjInteraction
881,989,188,QuestActConReportNpc
884,983,38,QuestActObjSphere
885,992,39,QuestActObjSphere
886,993,40,QuestActObjSphere
887,993,40,QuestActCheckCompleteComponent
889,991,41,QuestActObjSphere
890,821,186,QuestActConAcceptNpc
891,996,45,QuestActObjMonsterHunt
892,997,46,QuestActObjMonsterHunt
895,1002,48,QuestActObjMonsterHunt
896,1003,189,QuestActConReportNpc
897,1001,42,QuestActObjSphere
899,1006,84,QuestActSupplyItem
900,1007,13,QuestActObjInteraction
902,1008,190,QuestActConReportNpc
907,150,9,QuestActObjMonsterGroupHunt
908,151,12,QuestActConAutoComplete
910,1010,41,QuestActCheckCompleteComponent
911,1011,42,QuestActCheckCompleteComponent
912,823,20,QuestActConAcceptSphere
913,1010,94,QuestActObjTalk
914,1013,191,QuestActConReportNpc
919,1015,190,QuestActConAcceptNpc
921,1017,192,QuestActConReportNpc
927,1019,46,QuestActObjSphere
930,654,95,QuestActObjTalk
931,1021,64,QuestActObjItemGather
933,1023,191,QuestActConAcceptNpc
937,1027,45,QuestActCheckCompleteComponent
940,1025,47,QuestActObjSphere
941,1028,66,QuestActObjItemGather
944,1032,15,QuestActObjInteraction
948,266,85,QuestActSupplyItem
949,274,99,QuestActObjTalk
950,275,48,QuestActObjSphere
954,276,46,QuestActCheckCompleteComponent
955,276,100,QuestActObjTalk
957,277,47,QuestActCheckCompleteComponent
960,277,101,QuestActObjTalk
961,1038,68,QuestActObjItemGather
962,1038,48,QuestActCheckCompleteComponent
963,1039,196,QuestActConReportNpc
968,1046,10,QuestActObjMonsterGroupHunt
969,1047,50,QuestActObjMonsterHunt
970,1048,197,QuestActConReportNpc
973,1051,198,QuestActConReportNpc
976,827,195,QuestActConAcceptNpc
978,1055,52,QuestActObjMonsterHunt
979,1056,102,QuestActObjTalk
980,1056,49,QuestActCheckCompleteComponent
981,1057,199,QuestActConReportNpc
982,191,86,QuestActSupplyItem
985,1060,70,QuestActObjItemGather
987,1061,201,QuestActConReportNpc
988,1062,53,QuestActObjMonsterHunt
989,1064,202,QuestActConReportNpc
991,830,18,QuestActConAcceptItem
992,1067,50,QuestActObjSphere
994,1070,71,QuestActObjItemGather
996,831,199,QuestActConAcceptNpc
997,1074,72,QuestActObjItemGather
998,1076,204,QuestActConReportNpc
999,1075,87,QuestActSupplyItem
1001,1078,103,QuestActObjTalk
1002,1079,34,QuestActObjItemUse
1003,1079,50,QuestActCheckCompleteComponent
1007,1083,51,QuestActObjSphere
1008,1084,52,QuestActObjSphere
1009,1084,51,QuestActCheckCompleteComponent
1010,1085,205,QuestActConReportNpc
1012,1087,89,QuestActSupplyItem
1013,834,202,QuestActConAcceptNpc
1014,1089,54,QuestActObjMonsterHunt
1015,1088,16,QuestActObjInteraction
1016,1090,206,QuestActConReportNpc
1017,1092,207,QuestActConReportNpc
1019,1094,55,QuestActObjMonsterHunt
1022,1097,53,QuestActObjSphere
1023,1098,209,QuestActConReportNpc
1025,1100,73,QuestActObjItemGather
1026,1101,35,QuestActObjItemUse
1027,1101,52,QuestActCheckCompleteComponent
1028,1102,210,QuestActConReportNpc
1030,1104,74,QuestActObjItemGather
1031,1105,75,QuestActObjItemGather
1032,1106,211,QuestActConReportNpc
1034,1108,76,QuestActObjItemGather
1035,1109,212,QuestActConReportNpc
1036,839,207,QuestActConAcceptNpc
1037,1111,56,QuestActObjMonsterHunt
1038,1112,213,QuestActConReportNpc
1040,1114,12,QuestActObjMonsterGroupHunt
1041,1115,214,QuestActConReportNpc
1043,1118,54,QuestActObjSphere
1045,1120,77,QuestActObjItemGather
1046,1119,78,QuestActObjItemGather
1047,1121,79,QuestActObjItemGather
1051,841,20,QuestActConAcceptItem
1052,1124,18,QuestActObjInteraction
1053,1125,216,QuestActConReportNpc
1055,1127,104,QuestActObjTalk
1056,1128,217,QuestActConReportNpc
1058,1130,105,QuestActObjTalk
1059,1131,55,QuestActObjSphere
1061,1131,53,QuestActCheckCompleteComponent
1062,1132,218,QuestActConReportNpc
1065,330,91,QuestActSupplyItem
1073,1137,80,QuestActObjItemGather
1074,1138,81,QuestActObjItemGather
1075,1139,219,QuestActConReportNpc
1077,1142,92,QuestActSupplyItem
1082,1145,220,QuestActConReportNpc
1087,1150,94,QuestActSupplyItem
1092,1155,54,QuestActCheckCompleteComponent
1093,1155,20,QuestActCheckGuard
1094,1157,221,QuestActConReportNpc
1097,1156,55,QuestActCheckCompleteComponent
1100,1154,217,QuestActConAcceptNpc
1101,1158,97,QuestActSupplyItem
1104,1160,222,QuestActConReportNpc
1106,1162,218,QuestActConAcceptNpc
1107,1163,58,QuestActObjSphere
1108,1164,59,QuestActObjSphere
1109,1165,223,QuestActConReportNpc
1110,1167,219,QuestActConAcceptNpc
1111,1168,107,QuestActObjTalk
1112,1169,224,QuestActConReportNpc
1114,1172,108,QuestActObjTalk
1116,1173,82,QuestActObjItemGather
1126,1181,61,QuestActObjSphere
1128,1182,61,QuestActObjMonsterHunt
1132,1186,98,QuestActSupplyItem
1134,1188,227,QuestActConReportNpc
1136,1191,85,QuestActObjItemGather
1138,1194,222,QuestActConAcceptNpc
1139,1195,63,QuestActObjMonsterHunt
1140,1196,228,QuestActConReportNpc
1143,583,223,QuestActConAcceptNpc
1149,1199,25,QuestActConAcceptSphere
1150,1200,224,QuestActConAcceptNpc
1151,1201,113,QuestActObjTalk
1156,714,58,QuestActCheckCompleteComponent
1157,1206,23,QuestActObjInteraction
1158,1207,86,QuestActObjItemGather
1159,1208,114,QuestActObjTalk
1160,1209,230,QuestActConReportNpc
1161,1210,99,QuestActSupplyItem
1162,1211,226,QuestActConAcceptNpc
1163,1212,115,QuestActObjTalk
1164,1213,231,QuestActConReportNpc
1166,1216,100,QuestActSupplyItem
1167,1217,65,QuestActObjMonsterHunt
1169,1219,232,QuestActConReportNpc
1170,1221,59,QuestActCheckCompleteComponent
1174,984,228,QuestActConAcceptNpc
1175,242,7,QuestActConAcceptDoodad
1177,150,60,QuestActCheckCompleteComponent
1179,1223,116,QuestActObjTalk
1181,1224,117,QuestActObjTalk
1182,1225,118,QuestActObjTalk
1183,1226,119,QuestActObjTalk
1184,1227,120,QuestActObjTalk
1185,1228,121,QuestActObjTalk
1188,409,37,QuestActObjItemUse
1189,1231,230,QuestActConAcceptNpc
1190,1232,101,QuestActSupplyItem
1191,1230,235,QuestActConReportNpc
1194,1236,65,QuestActObjSphere
1195,1236,17,QuestActConAutoComplete
1197,1240,90,QuestActObjItemGather
1198,1241,66,QuestActObjSphere
1200,1244,39,QuestActObjItemUse
1201,1245,40,QuestActObjItemUse
1202,904,67,QuestActObjSphere
1203,907,122,QuestActObjTalk
1204,1246,123,QuestActObjTalk
1206,908,66,QuestActObjMonsterHunt
1207,967,124,QuestActObjTalk
1208,969,125,QuestActObjTalk
1209,970,236,QuestActConReportNpc
1210,1247,126,QuestActObjTalk
1212,1248,237,QuestActConReportNpc
1213,974,238,QuestActConReportNpc
1214,965,239,QuestActConReportNpc
1225,470,128,QuestActObjTalk
1226,471,241,QuestActConReportNpc
1227,607,13,QuestActObjMonsterGroupHunt
1228,608,14,QuestActObjMonsterGroupHunt
1231,211,242,QuestActConReportNpc
1233,1254,129,QuestActObjTalk
1234,1253,130,QuestActObjTalk
1236,1255,92,QuestActObjItemGather
1238,516,103,QuestActSupplyItem
1244,988,69,QuestActObjMonsterHunt
1246,549,243,QuestActConReportNpc
1249,579,70,QuestActObjSphere
1250,585,42,QuestActObjItemUse
1254,1257,2,QuestActConFail
1255,1257,71,QuestActObjSphere
1256,714,72,QuestActObjSphere
1258,1258,73,QuestActObjSphere
1260,662,11,QuestActCheckSphere
1261,663,12,QuestActCheckSphere
1264,1260,245,QuestActConReportNpc
1265,847,233,QuestActConAcceptNpc
1270,595,234,QuestActConAcceptNpc
1272,597,70,QuestActObjMonsterHunt
1273,598,71,QuestActObjMonsterHunt
1274,1264,72,QuestActObjMonsterHunt
1275,1265,73,QuestActObjMonsterHunt
1278,304,93,QuestActObjItemGather
1280,694,247,QuestActConReportNpc
1281,324,77,QuestActObjSphere
1288,1272,135,QuestActObjTalk
1289,1273,136,QuestActObjTalk
1290,1259,94,QuestActObjItemGather
1291,1262,16,QuestActObjMonsterGroupHunt
1292,1274,248,QuestActConReportNpc
1295,1278,23,QuestActConAutoComplete
1296,846,237,QuestActConAcceptNpc
1297,848,238,QuestActConAcceptNpc
1298,1279,106,QuestActSupplyItem
1299,1280,95,QuestActObjItemGather
1301,1281,250,QuestActConReportNpc
1302,849,24,QuestActConAcceptItem
1303,1283,96,QuestActObjItemGather
1304,1284,251,QuestActConReportNpc
1306,1286,137,QuestActObjTalk
1307,1287,79,QuestActObjSphere
1309,1287,63,QuestActCheckCompleteComponent
1310,1288,80,QuestActObjSphere
1312,1288,64,QuestActCheckCompleteComponent
1313,1289,81,QuestActObjSphere
1316,691,240,QuestActConAcceptNpc
1324,718,82,QuestActObjSphere
1326,720,83,QuestActObjSphere
1330,722,252,QuestActConReportNpc
1331,444,138,QuestActObjTalk
1332,448,139,QuestActObjTalk
1333,449,140,QuestActObjTalk
1334,572,84,QuestActObjSphere
1338,1297,254,QuestActConReportNpc
1341,1302,27,QuestActConAcceptItem
1342,1304,256,QuestActConReportNpc
1344,1306,107,QuestActSupplyItem
1347,1307,85,QuestActObjSphere
1351,1307,66,QuestActCheckCompleteComponent
1357,398,141,QuestActObjTalk
1358,748,258,QuestActConReportNpc
1385,780,241,QuestActConAcceptNpc
1392,789,259,QuestActConReportNpc
1404,248,28,QuestActConAcceptItem
1405,265,67,QuestActCheckCompleteComponent
1416,1255,69,QuestActCheckCompleteComponent
1441,514,70,QuestActCheckCompleteComponent
1442,561,71,QuestActCheckCompleteComponent
1443,562,72,QuestActCheckCompleteComponent
1458,1256,108,QuestActSupplyItem
1464,1313,109,QuestActSupplyItem
1466,796,30,QuestActObjInteraction
1467,1315,104,QuestActObjItemGather
1468,797,260,QuestActConReportNpc
1476,799,242,QuestActConAcceptNpc
1480,817,261,QuestActConReportNpc
1485,1316,142,QuestActObjTalk
1490,825,243,QuestActConAcceptNpc
1527,1317,105,QuestActObjItemGather
1528,1317,73,QuestActCheckCompleteComponent
1582,513,110,QuestActSupplyItem
1585,1033,86,QuestActObjSphere
1590,1320,111,QuestActSupplyItem
1591,811,74,QuestActCheckCompleteComponent
1599,662,82,QuestActCheckCompleteComponent
1600,1314,43,QuestActObjItemUse
1605,699,87,QuestActCheckCompleteComponent
1617,739,99,QuestActCheckCompleteComponent
1623,747,105,QuestActCheckCompleteComponent
1627,751,109,QuestActCheckCompleteComponent
1637,789,119,QuestActCheckCompleteComponent
1641,1315,123,QuestActCheckCompleteComponent
1646,1316,128,QuestActCheckCompleteComponent
1660,1002,142,QuestActCheckCompleteComponent
1667,1032,149,QuestActCheckCompleteComponent
1672,1322,5,QuestActConFail
1673,1322,87,QuestActObjSphere
1674,1041,88,QuestActObjSphere
1675,1041,154,QuestActCheckCompleteComponent
1676,1053,155,QuestActCheckCompleteComponent
1677,1062,156,QuestActCheckCompleteComponent
1679,1065,158,QuestActCheckCompleteComponent
1682,1067,159,QuestActCheckCompleteComponent
1699,1323,107,QuestActObjItemGather
1711,1324,32,QuestActObjInteraction
1714,1324,8,QuestActConReportDoodad
1722,1143,178,QuestActCheckCompleteComponent
1723,1144,179,QuestActCheckCompleteComponent
1730,1146,114,QuestActSupplyItem
1731,1152,264,QuestActConReportNpc
1739,1160,187,QuestActCheckCompleteComponent
1745,1164,190,QuestActCheckCompleteComponent
1750,1325,193,QuestActCheckCompleteComponent
