id,name,category_id,repeatable,level,selective,successive,restart_on_fail,chapter_idx,quest_idx,milestone_id,let_it_done,detail_id,zone_id,degree,use_quest_camera,score,use_accept_message,use_complete_message,grade_id
63,현장 덮치기,2,f,18,f,f,f,0,0,,f,1,131,3,t,0,t,t,1
64,집에 대한 기억,9,f,4,f,f,f,0,0,1,f,1,1,3,t,0,t,t,1
65,모래 먼지 마을에서 기다리는 자,2,f,17,f,f,f,0,0,,f,1,7,2,t,0,t,t,1
66,지배당하고 있는 땅의 정령들,9,f,35,f,f,f,0,0,,f,10,128,3,t,0,t,t,1
67,불길한 움직임,2,f,17,f,f,f,0,0,,f,1,7,3,t,0,t,t,1
68,안식을 위한 꽃잎,9,f,8,f,f,f,0,0,1,t,1,128,3,t,0,t,t,1
71,찢겨진 문서 속 비밀,2,f,15,f,f,f,0,0,1,f,1,7,3,t,0,t,t,1
72,이오니온의 유품,9,f,8,f,f,f,0,0,,f,1,128,3,t,0,t,t,1
74,잘 키운 제자,9,f,7,f,f,f,0,0,,f,1,1,3,t,0,t,t,1
76,불길한 소문,2,f,16,f,f,f,0,0,,f,1,7,2,t,0,t,t,1
77,더 큰 진실의 문,2,f,16,f,f,f,0,0,,t,1,7,3,t,0,t,t,1
78,흙주머니의 쓰임새,2,f,17,f,f,f,0,0,,t,1,131,3,t,0,t,t,1
79,돌을 움직이게 하는 힘,2,f,17,f,f,f,0,0,,f,1,7,3,t,0,t,t,1
80,편지를 부탁해,2,f,19,f,t,f,0,0,,f,1,131,2,t,0,t,t,1
82,결탁의 증거,2,f,18,f,f,f,0,0,,f,1,7,4,t,0,t,t,1
83,익사체,9,f,9,f,f,f,0,0,,t,1,128,3,t,0,t,t,1
84,실의에 빠진 남자,2,f,18,f,f,f,0,0,,f,1,131,3,t,0,t,t,1
86,타락한 경비병,2,f,19,f,f,f,0,0,,t,1,131,3,t,0,t,t,1
87,가시덩굴 제거,9,f,9,f,f,f,0,0,,t,1,128,3,t,0,t,t,1
88,현상 수배: 검은수염 개리엇,2,f,19,f,f,f,0,0,,f,1,131,5,t,0,t,t,1
91,내통자의 증거,2,f,19,f,f,f,0,0,,f,1,131,2,t,0,t,t,1
92,다후타 교단의 파멸을 위해,9,f,35,f,f,f,0,0,,t,1,128,5,t,100,t,t,2
94,보급관 핀을 위해,2,f,18,f,f,f,0,0,,t,1,131,3,t,0,t,t,1
96,부관 윌리엄을 위해,2,f,18,f,f,f,0,0,,t,1,131,3,t,0,t,t,1
97,책 읽어주는 엘프,9,f,5,f,f,f,0,0,,f,1,1,2,t,0,t,t,1
98,선발대를 찾아서,9,f,9,f,f,f,0,0,,f,1,128,3,t,0,t,t,1
99,돌의 형제회가 감춘 것,2,f,19,f,f,f,0,0,,f,1,131,4,t,0,t,t,1
109,"수호자들이여, 나에게 힘을!",2,f,19,f,f,f,0,0,,f,1,131,3,t,0,t,t,1
110,약탈당한 양털,10,f,24,f,f,f,0,0,,t,1,2,4,t,0,t,t,1
111,응급 처치용 약재,6,f,20,f,f,f,0,0,4,t,1,10,3,t,0,t,t,1
112,시간 벌기,6,f,20,f,f,f,0,0,4,t,1,10,3,t,0,t,t,1
113,사용할 수 없는 성물,6,f,20,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
116,슬퍼 보이는 여인,6,f,20,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
117,사소한 오해,6,f,20,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
118,숲의 안쪽에서 벌어지는 일,6,f,21,f,f,f,0,0,4,t,1,10,3,t,0,t,t,1
119,반지의 주인,6,f,21,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
121,작은 위로,6,f,22,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
124,사태의 실마리,6,f,20,f,t,f,0,0,1,f,1,10,3,t,0,t,t,1
125,복수의 대상,6,f,23,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
127,폐쇄적인 조직,6,f,20,f,f,f,0,0,,f,1,10,3,t,0,t,t,1
128,수호자에게 인정을 받는 방법,6,f,20,f,t,f,0,0,4,f,1,10,3,t,0,t,t,1
130,침범당한 성역,6,f,20,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
131,한 사람의 무게,6,f,20,f,f,f,0,0,,t,1,10,3,t,0,t,t,1
132,죽은 여신의 축복,6,f,20,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
133,부족한 인원,6,f,20,f,f,f,0,0,4,t,1,10,3,t,0,t,t,1
134,살덩어리,6,f,20,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
135,강령술사,6,f,20,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
136,옛 숲지기들의 대장,6,f,20,f,f,f,0,0,1,f,1,10,3,t,0,t,t,1
137,지체되고 있는 보급품,6,f,23,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
138,상품 회수,6,f,22,f,f,f,0,0,4,t,1,10,3,t,0,t,t,1
139,돌을 위한 연회장,6,f,22,f,f,f,0,0,,f,1,10,3,t,0,t,t,1
140,철저한 대비책,6,f,22,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
141,돌아가지 못한 척후병,6,f,22,f,f,f,0,0,4,t,1,10,3,t,0,t,t,1
142,아직 돌아오지 않은 물품,6,f,22,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
143,이도 저도 못하는 신세,6,f,23,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
144,자작나무 숲의 도망자,6,f,21,f,t,f,0,0,4,t,1,10,3,t,0,t,t,1
145,날개를 분질러 버려야지,6,f,22,f,f,f,0,0,,f,1,10,3,t,0,t,t,1
146,귀중한 물건,6,f,23,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
147,화훼밭과 멧돼지,6,f,21,f,f,f,0,0,4,t,1,10,3,t,0,t,t,1
149,수습 마법사의 부탁,6,f,21,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
150,현상수배 : 놀의 우두머리,6,f,21,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
151,잃어버린 수정,6,f,21,f,f,f,0,0,4,t,1,10,3,t,0,t,t,1
152,지긋지긋한 코볼트 무리,6,f,21,f,f,f,0,0,4,t,1,10,3,t,0,t,t,1
153,수상한 발굴 작업,6,f,21,f,f,f,0,0,4,t,1,10,3,t,0,t,t,1
154,신병 롤랑의 경고,6,f,21,f,f,f,0,0,4,f,10,10,3,t,0,t,t,1
155,온전한 푸른 수정,6,f,21,f,t,f,0,0,4,f,1,10,3,t,0,t,t,1
157,괴물을 불러들이는 수정,6,f,22,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
158,붉은 이끼 동굴,6,f,22,f,f,f,0,0,4,t,1,10,3,t,0,t,t,1
159,트롤!!!,6,f,22,f,f,f,0,0,4,f,1,10,3,t,0,t,t,1
162,관리인의 고민,10,f,25,f,f,f,0,0,,f,1,2,3,t,0,t,t,1
166,고블린 소굴,10,f,24,f,f,f,0,0,,f,1,2,5,t,0,t,t,1
168,창고에 생긴 일,10,f,26,f,f,f,0,0,,f,1,2,1,t,0,t,t,1
170,절박한 사연,10,f,25,f,f,f,0,0,,f,1,2,2,t,0,t,t,1
171,지원 요청,10,f,25,f,f,f,0,0,,f,1,2,2,t,0,t,t,1
172,슬픔에 잠긴 노인,10,f,24,f,f,f,0,0,,f,1,2,1,t,0,t,t,1
173,마리아노플의 경비병,10,f,24,f,f,f,0,0,,f,1,2,2,t,0,t,t,1
174,도시경비대의 상자,10,f,24,f,f,f,0,0,2,f,1,2,1,t,0,t,t,1
175,의문의 잔해,10,f,25,f,f,f,0,0,,t,1,2,3,t,0,t,t,1
176,미심쩍은 목소리,10,f,24,f,f,f,0,0,,f,1,2,3,t,0,t,t,1
177,정원 정리,10,f,25,f,f,f,0,0,2,t,1,2,3,t,0,t,t,1
178,허수아비에게 경보장치를,10,f,26,f,f,f,0,0,1,f,1,2,2,t,0,t,t,1
179,흰 날개를 향한 두려움,10,f,25,f,f,f,0,0,,t,1,2,3,t,100,t,t,1
181,습격의 배후,10,f,24,f,f,f,0,0,,t,1,2,4,t,0,t,t,1
182,황금 실타래 마을의 약탈자들,10,f,24,f,f,f,0,0,2,f,5,2,2,t,0,t,t,1
183,문제를 해결하는 길,10,f,24,f,f,f,0,0,1,f,1,2,1,t,0,t,t,1
184,농장에 스며든 그림자,10,f,26,f,f,f,0,0,1,t,1,2,4,t,0,t,t,1
185,매수된 경비대장,10,f,26,f,f,f,0,0,1,f,1,2,1,t,0,t,t,1
186,과거의 사건 기록부,10,f,26,f,f,f,0,0,1,f,1,2,1,t,0,t,t,1
187,진실의 마지막 조각,10,f,25,f,f,f,0,0,1,f,1,2,2,t,0,t,t,1
188,노르예트 가문의 정원,10,f,24,f,f,f,0,0,,f,1,2,1,t,0,t,t,1
189,황폐해진 정원,10,f,25,f,f,f,0,0,1,t,1,2,3,t,0,t,t,1
190,벌거숭이 파수꾼,10,f,26,f,f,f,0,0,,t,1,2,4,t,0,t,t,1
191,은밀한 지령서,10,f,26,f,f,f,0,0,,t,1,2,3,t,0,t,t,1
192,벌거숭이 언덕 위 상자,10,f,26,f,f,f,0,0,,t,1,2,3,t,0,t,t,1
193,자신감의 원천,10,f,26,f,f,f,0,0,,t,1,2,4,t,0,t,t,1
194,오물 사이에서,10,f,26,f,f,f,0,0,,t,1,2,4,t,0,t,t,1
195,리네리프 처치,10,f,26,f,f,f,0,0,,f,1,2,5,t,0,t,t,1
196,신비로운 병,10,f,26,f,f,f,0,0,,f,1,2,1,t,0,t,t,1
197,치안 책임자,10,f,24,f,f,f,0,0,2,f,1,2,1,t,0,t,t,1
198,수상한 이름,10,f,24,f,f,f,0,0,2,f,1,2,1,t,0,t,t,1
199,아무것도 아닌 척,10,f,24,f,f,f,0,0,2,f,1,2,1,t,0,t,t,1
200,조각이 사라진 퍼즐,10,f,25,f,f,f,0,0,2,f,1,2,2,t,0,t,t,1
201,거리의 예술가가 아는 것,10,f,25,f,f,f,0,0,2,f,1,2,1,t,0,t,t,1
202,리네리프에 관한 소문,10,f,25,f,f,f,0,0,2,f,1,2,1,t,0,t,t,1
203,노르예트의 결정,10,f,25,f,f,f,0,0,2,f,1,2,1,t,0,t,t,1
205,토리니 정원의 야생동물들 사냥,10,f,25,f,f,f,0,0,2,f,5,2,2,t,0,t,t,1
213,원로원의 진상 조사 위원,8,f,6,f,f,t,1,8,,f,2,128,3,t,0,t,t,1
224,전령의 분노,8,f,9,f,f,f,1,14,1,f,2,128,3,t,0,t,t,1
250,솔즈리드 여우 처치,4,f,1,f,f,f,0,0,,f,10,125,3,t,0,t,t,1
251,화난 멧돼지들,4,f,2,f,f,f,0,0,,f,1,125,3,t,0,t,t,1
252,숲 되살리기,4,f,3,f,f,f,0,0,,f,1,125,3,t,0,t,t,1
253,양털이 있어야 하는 곳,10,f,24,f,f,f,0,0,,t,1,2,2,t,0,t,t,1
254,엄마의 걱정,4,f,4,f,f,f,0,0,,f,1,125,3,t,0,t,t,1
255,제니의 부탁,4,f,5,f,f,f,0,0,,f,1,125,3,t,0,t,t,1
256,고집쟁이 제니,4,f,4,f,f,f,0,0,,f,1,125,2,t,0,t,t,1
257,선돌 연구자의 행방,4,f,5,f,f,f,0,0,,f,1,125,3,t,0,t,t,1
258,마차 습격단,10,f,24,f,f,f,0,0,,t,1,2,4,t,0,t,t,1
259,위대한 유산,4,f,5,f,f,f,0,0,,f,1,125,3,t,0,t,t,1
260,정체 모를 빛,4,f,5,f,f,f,0,0,,f,1,125,3,t,0,t,t,1
261,원혼 달래기,4,f,5,f,f,f,0,0,,f,1,125,3,t,0,t,t,1
263,부러진 곡괭이,4,f,6,f,f,f,0,0,,f,1,125,1,t,0,t,t,1
264,새끼 양이 든 상자,10,f,24,f,f,f,0,0,,f,1,2,2,t,0,t,t,1
265,튼튼한 나무 베기,4,f,6,f,f,f,0,0,,t,1,125,3,t,0,t,t,1
266,양치기의 부탁,4,f,6,f,f,f,0,0,,t,1,125,3,t,100,t,t,1
269,두들링을 두들겨라,4,f,8,f,f,f,0,0,,t,1,9,3,t,0,t,t,1
270,좋은 생각,4,f,8,f,f,f,0,0,,f,1,9,3,t,0,t,t,1
271,거대 토끼 처치,4,f,8,f,f,f,0,0,,f,1,9,3,t,0,t,t,1
272,제대로 된 사냥터 관리,10,f,25,f,f,f,0,0,,f,1,2,1,t,0,t,t,1
273,르네의 반지,4,f,8,f,f,f,0,0,,f,1,9,3,t,0,t,t,1
275,딸깍발이 고쉬 처치 의뢰,10,f,24,f,f,f,0,0,,f,1,2,5,t,0,t,t,2
276,칼바람 셀렌 처치 의뢰,10,f,25,f,f,f,0,0,,f,1,2,5,t,0,t,t,2
281,떠도는 소문,10,f,24,f,f,f,0,0,,f,1,2,1,t,0,t,t,1
283,으스스한 밤,10,f,24,f,f,f,0,0,,f,1,2,2,t,0,t,t,1
284,위대한 유산,10,f,24,f,f,f,0,0,,f,1,2,1,t,0,t,t,1
285,분노가 필요해!,10,f,25,f,f,f,0,0,,f,1,2,1,t,0,t,t,1
286,동굴 안의 비밀,10,f,25,f,f,f,0,0,,f,1,2,3,t,0,t,t,1
289,은밀한 심부름,10,f,25,f,f,f,0,0,,f,1,2,2,t,0,t,t,1
290,발릴리의 고민,4,f,9,f,f,f,0,0,,f,1,9,3,t,0,t,t,1
291,브리짓 구출,4,f,9,f,f,f,0,0,,f,1,9,3,t,0,t,t,1
293,요정의 정수,4,f,35,f,f,f,0,0,,f,1,9,3,t,0,t,t,1
294,"타락한 요정의 이름, 밴시",4,f,35,f,f,f,0,0,,t,1,9,3,t,0,t,t,1
295,밴시 정화,4,f,35,f,f,f,0,0,,f,1,9,3,t,0,t,t,1
298,릴리엇 구릉지로,4,f,9,f,f,f,0,0,,f,1,9,3,t,0,t,t,1
299,네손가락 도적단의 위협,4,f,9,f,f,f,0,0,,t,1,9,3,t,0,t,t,1
300,웃는 얼굴 만크스 처치,4,f,9,f,f,f,0,0,,f,1,9,4,t,0,t,t,1
303,영혼을 가르는 무기,4,f,9,f,f,f,0,0,,t,1,9,3,t,0,t,t,1
304,승천하지 못한 디켄트라,4,f,9,f,f,f,0,0,,f,1,9,4,t,0,t,t,1
305,도둑맞은 여행자의 가방,10,f,25,f,f,f,0,0,,t,1,2,3,t,0,t,t,1
306,해결되지 않는 문제,10,f,25,f,f,f,0,0,,f,1,2,1,t,0,t,t,1
307,버리는 자와 줍는 자,10,f,25,f,f,f,0,0,,t,1,2,2,t,0,t,t,1
312,사라진 아이오느,9,f,7,f,f,f,0,0,1,f,1,128,3,t,0,t,t,1
315,(삭제 금지) 스킬 연결용 퀘스트,37,f,0,f,f,f,0,0,,t,1,1,3,t,0,t,t,1
317,골렘을 조종하는 마법,2,f,17,f,f,f,0,0,,f,1,7,4,t,0,t,t,1
319,배신자에게 어울리는 처분,2,f,19,f,f,f,0,0,,t,1,131,4,t,0,t,t,1
321,방목장을 지켜라!,10,f,24,f,f,f,0,0,,t,1,2,3,t,0,t,t,1
322,붙들렸던 주노,10,f,24,f,f,f,0,0,,f,1,2,1,t,0,t,t,1
324,앨런의 도움,4,f,3,f,f,f,0,0,,f,1,125,3,t,0,t,t,1
325,로나의 약,4,f,4,f,f,f,0,0,,f,1,125,3,t,0,t,t,1
328,로이스터 야영지의 위험,2,f,15,f,f,f,0,0,1,f,1,7,2,t,0,t,t,1
329,불곰을 조심해!,4,f,4,f,f,f,0,0,,f,10,125,3,t,0,t,t,1
330,바라기 마을로,4,f,1,f,f,f,,,1,f,1,125,1,t,0,t,t,1
331,골렘의 비밀,2,f,16,f,f,f,0,0,,f,1,7,1,t,0,t,t,1
333,아등바등 살 궁리,2,f,18,f,f,f,0,0,,t,1,131,3,t,0,t,t,1
334,종자 회수,10,f,26,f,f,f,0,0,,t,1,2,4,t,0,t,t,1
335,농부 티본의 골칫거리,10,f,26,f,f,f,0,0,,f,10,2,4,t,0,t,t,1
336,반짝이는 유리구두,10,f,26,f,f,f,0,0,,f,1,2,2,t,0,t,t,1
337,정신 나간 두들링의 병,10,f,26,f,f,f,0,0,,t,1,2,2,t,0,t,t,1
338,채소 포대 되찾기,10,f,26,f,f,f,0,0,,t,1,2,3,t,0,t,t,1
339,유리구두의 주인,10,f,26,f,f,f,0,0,,f,1,2,2,t,0,t,t,1
340,암습,10,f,26,f,f,f,0,0,,f,1,2,1,t,0,t,t,1
341,사건의 해결사,10,f,26,f,f,f,0,0,,f,1,2,2,t,0,t,t,1
343,거미에게 빼앗긴 유품,10,f,26,f,f,f,0,0,,f,1,2,3,t,0,t,t,1
344,위협적인 상징물,10,f,26,f,f,f,0,0,,t,1,2,3,t,0,t,t,1
345,무엇에 쓰는 약인고,4,f,7,f,f,f,0,0,,f,1,9,3,t,0,t,t,1
346,마엘와스가 남긴 것,4,f,7,f,f,f,0,0,,f,10,9,3,t,0,t,t,1
347,오빠의 마음,4,f,7,f,f,f,0,0,,f,1,9,3,t,0,t,t,1
348,등 뒤의 오싹함,10,f,26,f,f,f,0,0,,t,1,2,3,t,0,t,t,1
349,암살자의 정체,10,f,26,f,f,f,0,0,,t,1,2,3,t,0,t,t,1
350,일손 부족,4,f,6,f,f,f,0,0,,f,1,9,2,t,0,t,t,1
351,사라진 2권,10,f,26,f,f,f,0,0,,f,1,2,3,t,0,t,t,1
353,거대 거미 파라노 처치 의뢰,10,f,26,f,f,f,0,0,,f,1,2,5,t,0,t,t,1
354,미안한 이야기,4,f,6,f,f,f,0,0,,f,1,125,3,t,0,t,t,1
355,트리스테 극단으로,10,f,25,f,f,f,0,0,,f,1,2,2,t,0,t,t,1
357,베아트리체의 서신,10,f,26,f,f,f,0,0,,f,1,2,3,t,0,t,t,1
371,쓰레기더미 처치 의뢰,10,f,26,f,f,f,0,0,,f,1,2,5,t,0,t,t,1
374,이름 없는 부랑자,10,f,25,f,f,f,0,0,,t,1,2,3,t,0,t,t,1
518,유령 군대,13,f,32,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
519,겁쟁이 병사,13,f,30,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
520,새로운 위협,13,f,30,f,f,f,0,0,2,t,1,14,3,t,0,t,t,1
521,갑옷을 벗기지 말아 주세요,13,f,30,f,f,f,0,0,2,t,1,14,3,t,0,t,t,1
522,잃어버릴지도 모르는 말,13,f,30,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
523,야영지의 비밀,13,f,30,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
524,수상한 사령관,13,f,30,f,t,f,0,0,2,f,1,14,3,t,0,t,t,1
525,이제부터,13,f,30,f,f,f,0,0,2,f,1,14,2,t,0,t,t,1
526,드워프 연구소의 선물,13,f,30,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
527,포탄이 떨어진 곳엔,13,f,30,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
528,돌아오지 않는 병사,13,f,30,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
529,악마에게 홀린 사람들,13,f,30,f,f,f,0,0,2,t,1,14,3,t,0,t,t,1
532,정신 나간 아들,13,f,30,f,t,f,0,0,2,f,1,14,3,t,0,t,t,1
533,절벽 위의 꽃,13,f,30,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
534,아들의 비밀,13,f,30,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
535,폐가의 공포,13,f,30,f,f,f,0,0,2,t,1,14,3,t,100,t,t,1
536,일그러진 공간,13,f,30,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
537,악마 사냥꾼의 조언,13,f,30,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
538,도움 요청을 위해 부두로,13,f,30,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
540,부탁 혹은 핑계,13,f,30,f,f,f,0,0,2,t,1,14,3,t,0,t,t,1
541,부두 앞의 소란,13,f,30,f,f,f,0,0,2,t,1,14,3,t,0,t,t,1
543,이에는 이,13,f,32,f,f,f,0,0,2,t,1,14,3,t,0,t,t,1
544,차가운 반지,13,f,30,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
545,부두의 흐느낌,13,f,30,f,t,f,0,0,2,f,1,14,3,t,0,t,t,1
546,음유시인의 옛날이야기,13,f,30,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
547,루푸스 시차일드,13,f,31,f,t,f,0,0,2,f,1,14,3,t,0,t,t,1
548,루푸스의 보물,13,f,31,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
549,살리움에게 불의 심판을!,13,f,32,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
550,어두운 계획,13,f,32,f,f,f,0,0,,t,1,14,3,t,0,t,t,1
551,잊혀진 기록,13,f,31,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
552,끝없는 두려움,13,f,31,f,f,f,0,0,2,f,10,14,3,t,0,t,t,1
555,최후의 가고일 석상,13,f,32,f,f,f,0,0,,f,1,14,3,t,0,t,t,1
556,시차일드 부두로 찾아온 수상한 인어들 퇴치,13,f,31,f,f,f,0,0,,f,5,14,2,t,0,t,t,1
557,눈에는 눈,13,f,32,f,f,f,0,0,2,t,1,14,3,t,0,t,t,1
558,일리온에게 불의 심판을!,13,f,32,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
559,살리움 포로 구출,13,f,32,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
560,캄사스 왕의 목,13,f,32,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
561,인버르의 호들갑,13,f,30,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
562,유골을 발굴하는 일,13,f,31,f,f,f,0,0,2,t,1,14,3,t,100,t,t,1
565,탈출한 자의 공포,13,f,31,f,f,f,0,0,2,t,1,14,3,t,0,t,t,1
566,전쟁의 상처를 지우는 방법,13,f,31,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
567,용암 속에서,13,f,31,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
569,드워프의 비법,13,f,31,f,f,f,0,0,2,t,1,14,3,t,0,t,t,1
571,분화구 폭발의 위험,13,f,31,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
572,후회에 불 지르기,13,f,32,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
573,사라진 눈물,13,f,31,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
574,처리할 수 있는 곳,13,f,32,f,f,f,0,0,,f,1,14,3,t,0,t,t,1
575,남겨진 오빠,13,f,32,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
576,도망칠 수 없는 이유,13,f,32,f,f,f,0,0,2,t,1,14,3,t,0,t,t,1
577,테세나의 행방,13,f,32,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
578,테세나 구출,13,f,32,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
579,속죄의 길,13,f,33,f,f,f,0,0,2,t,1,14,3,t,0,t,t,1
580,도망친 경비병,13,f,31,f,t,f,0,0,2,f,1,14,3,t,0,t,t,1
581,불탄 성으로 가는 수송물품,13,f,31,f,f,f,0,0,,f,1,14,3,t,0,t,t,1
582,억울한 누명,13,f,31,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
583,스파틸리오의 정체,13,f,32,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
584,괜찮은 사업 계획,13,f,32,f,f,f,0,0,2,t,1,14,3,t,0,t,t,1
586,그리핀의 알,13,f,32,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
588,석상의 유물,13,f,32,f,f,f,0,0,2,t,1,14,3,t,0,t,t,1
590,일리온 포로 구출,13,f,32,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
591,적장의 목,13,f,32,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
592,그녀에게 벌어진 일,13,f,32,f,t,f,0,0,2,f,1,14,3,t,0,t,t,1
593,불탄 성의 아이들,13,f,32,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
594,피 묻은 손의 관리대장,13,f,32,f,f,f,0,0,2,f,1,14,3,t,0,t,t,1
596,수상한 존재들,13,f,32,f,f,f,0,0,2,t,1,14,3,t,0,t,t,1
