id,tag_id,npc_id
233,278,7092
234,278,7146
235,278,7160
236,278,7167
237,278,7369
238,278,7376
239,277,646
240,277,741
241,277,866
242,277,1184
243,277,1185
244,277,1504
245,277,1526
246,277,1535
247,277,1543
248,277,1546
249,277,1675
250,277,1798
251,277,1899
252,277,2161
253,277,2171
254,277,2238
255,277,2251
256,277,2282
257,277,2290
258,277,2595
259,277,2596
260,277,2742
261,277,2751
262,277,3048
263,277,4623
264,277,4645
265,277,4667
266,277,4739
267,277,4900
268,277,5095
269,277,5110
271,277,5339
272,277,5341
273,277,5359
274,277,5385
275,277,5416
276,277,5417
277,277,6012
278,277,6018
279,277,6030
280,277,6036
281,277,6590
282,277,7073
283,277,7074
284,277,7089
285,277,7121
286,277,7159
287,277,7169
288,277,7425
289,277,7743
290,280,854
291,280,973
292,280,1043
293,280,1176
294,280,1177
295,280,1312
296,280,1497
297,280,1520
298,280,1529
299,280,1531
300,280,1671
301,280,1795
302,280,1888
303,280,1967
304,280,2165
305,280,2170
306,280,2277
307,280,2293
308,280,2587
309,280,2588
310,280,3039
311,280,3047
312,280,3127
313,280,3387
314,280,4882
315,280,4893
316,280,4897
317,280,5091
318,280,5332
319,280,5337
320,280,5342
321,280,5361
322,280,5369
323,280,5381
324,280,5408
325,280,5409
326,280,6019
327,280,6025
328,280,6031
329,280,6037
330,280,7007
331,280,7161
332,280,7165
333,280,7370
334,280,7423
335,280,7740
336,283,688
337,283,974
338,283,1044
339,283,1180
340,283,1181
341,283,1498
342,283,1521
343,283,1672
344,283,1796
345,283,1893
346,283,1920
347,283,2089
348,283,2160
349,283,2278
350,283,2294
351,283,2591
352,283,2592
353,283,2754
354,283,3040
355,283,4643
356,283,4666
357,283,4738
358,283,4745
359,283,4883
360,283,4898
361,283,5093
362,283,5105
363,283,5333
364,283,5338
365,283,5343
366,283,5362
367,283,5370
368,283,5383
369,283,5391
370,283,5412
371,283,5413
372,283,6020
373,283,6026
374,283,6032
375,283,6038
376,283,7008
377,283,7093
378,283,7158
379,283,7166
380,283,7371
381,283,7494
382,283,7741
383,286,2482
384,281,7633
385,281,5213
386,240,7609
387,278,2475
388,293,7745
389,290,7223
390,278,8101
391,297,5742
392,303,8117
393,304,8119
394,216,8112
399,307,3015
400,302,7823
401,302,7824
402,280,8206
404,314,7711
405,319,7738
406,322,8241
407,240,7611
408,380,8782
409,414,9277
410,400,8891
411,418,9416
412,418,9451
413,430,9840
417,416,9307
418,459,10068
419,458,10067
420,460,10066
421,460,10069
423,461,10054
424,461,10056
425,462,10063
426,463,10067
427,463,10068
428,464,9260
429,466,9841
431,467,10073
433,469,10076
434,470,10075
435,473,10080
436,474,10081
440,479,10087
441,481,9797
445,475,9796
448,490,10152
449,491,9809
450,492,10116
451,493,10117
452,496,10164
453,497,10025
454,499,9466
455,499,9467
456,499,9468
457,499,9472
458,499,9473
459,499,9477
460,499,9478
461,499,9480
462,499,9481
463,499,9792
464,499,9793
465,499,9798
466,499,9808
467,499,9969
468,499,10021
469,499,10024
470,499,10025
471,499,10030
472,499,10031
473,499,10053
474,499,10054
475,499,10055
476,499,10056
477,499,10057
478,499,10058
479,499,10059
480,499,10061
481,499,10062
482,499,10063
483,499,10064
484,499,10065
485,499,10066
486,499,10067
487,499,10068
488,499,10069
489,499,10070
490,499,10076
491,499,10098
492,499,10100
493,499,10164
494,499,10165
495,499,10166
496,499,10167
497,503,10168
498,504,10169
499,505,10170
500,506,10171
501,508,9466
502,508,9467
504,509,9793
505,510,3708
506,239,5082
507,514,10159
508,514,10087
509,514,9838
510,514,9797
511,481,10159
515,525,9381
516,526,9409
527,521,10462
533,530,10470
534,531,10471
535,528,10473
536,532,10474
538,535,10452
540,537,10455
543,538,10457
547,540,10499
550,539,10503
551,541,10518
553,543,644
554,543,645
555,543,648
556,543,649
557,541,10531
560,542,10528
561,541,8962
562,545,10533
567,548,10571
568,549,10573
570,550,10531
572,552,10574
573,553,10503
576,554,10575
577,555,10576
587,560,10570
588,561,10455
589,562,2511
590,562,2512
591,563,10035
592,546,8960
593,564,10680
594,284,3434
595,572,9796
596,572,9797
597,572,9809
599,572,9814
600,572,9831
601,572,9838
602,572,9839
603,572,9844
604,572,9845
605,572,9857
606,572,10075
607,572,10160
608,576,10755
609,580,10681
610,581,10760
611,584,10784
612,584,10783
613,584,3087
614,587,9838
615,587,9844
616,547,8843
618,600,10811
619,499,10811
620,599,10810
621,499,10810
622,598,10809
623,499,10809
624,597,10808
627,499,10808
628,596,10807
629,499,10807
630,595,10806
631,499,10806
632,594,10805
633,499,10805
634,602,10315
635,603,10316
636,604,10317
637,601,10314
638,606,10166
639,607,10815
640,609,9903
641,610,10138
642,610,10656
643,614,10198
644,614,10199
646,614,10332
647,614,10333
658,617,8964
659,617,8965
660,617,8966
661,617,8967
662,617,8968
663,617,8969
664,610,10463
666,618,10143
667,618,10144
669,618,10141
670,619,10337
671,619,10336
672,619,9904
675,621,10837
676,621,10837
677,239,5013
678,623,10371
679,623,10372
680,623,10373
681,623,10374
682,623,10375
683,623,10376
684,623,10377
685,620,10586
686,614,9901
688,635,7810
689,635,7811
690,635,7763
691,567,7828
694,457,5854
695,559,8839
696,558,8838
697,636,2897
698,637,2896
699,639,10913
700,639,10914
701,642,9395
702,651,10536
703,654,5854
704,661,10127
705,662,10128
706,663,10964
707,664,10126
708,667,10598
709,668,738
710,668,739
712,669,10140
713,669,10153
714,281,1940
715,670,7966
717,666,3670
718,674,11115
719,675,11116
720,676,9900
721,677,3011
723,666,11117
726,684,11163
727,685,11268
729,686,11271
730,677,4998
731,281,2147
734,698,10584
739,666,3536
740,677,5723
741,700,471
742,290,676
743,240,11180
744,705,11586
745,704,11584
747,172,600
748,703,11585
750,566,569
751,708,11258
753,711,11751
755,688,7752
757,706,11750
758,697,11753
759,697,11273
760,715,11195
761,715,11200
762,715,11201
763,715,11254
764,715,11257
765,715,11259
766,715,11260
768,715,11261
769,715,11262
770,715,11263
771,715,11264
772,715,11265
773,715,11266
775,715,11556
776,715,11565
777,715,11749
778,715,11750
779,715,11751
780,715,11752
782,715,11754
783,715,11755
785,715,11756
786,715,11757
787,715,11758
788,715,11759
789,715,11760
790,715,11761
791,677,11748
794,717,11565
795,718,11265
796,703,5667
797,726,11265
798,726,11273
799,705,11963
800,704,11964
802,728,11969
803,729,12003
804,729,10146
806,742,10142
807,747,4491
808,747,4492
809,749,11201
810,752,11195
811,758,12022
812,764,6398
813,762,6388
817,762,6397
818,768,2202
819,768,11748
820,768,11584
821,768,11585
822,768,11586
826,768,3349
827,768,3350
828,771,3670
829,772,7662
830,773,3169
832,618,12058
833,618,12059
834,618,12060
836,774,12058
837,774,12060
838,775,12059
839,775,10143
840,776,10141
841,1,12071
842,779,662
844,762,6404
845,762,6405
846,780,10689
847,781,3635
848,764,6402
850,786,12104
851,787,12102
852,788,12103
853,789,12107
854,790,12108
855,791,12109
856,792,12110
857,793,12111
858,794,12112
859,795,12113
860,796,12114
861,797,12115
862,798,12116
863,799,12117
864,800,12118
865,801,12119
866,802,12120
867,803,12121
868,804,12122
869,747,4496
870,813,12105
872,814,12106
873,814,12103
874,814,12102
875,256,3260
877,815,12133
878,816,9920
880,818,12132
881,819,12137
882,701,12135
884,817,12143
885,821,12144
886,822,12145
887,666,10018
888,824,12149
889,825,12147
890,826,12148
891,829,11363
892,830,12157
893,832,12158
895,835,12161
896,836,840
899,764,439
901,838,835
905,839,12168
907,842,811
908,843,812
912,844,12170
913,845,12166
914,503,12171
915,504,12172
916,505,12173
917,848,10196
918,481,12189
919,514,12189
920,572,12189
921,849,11372
922,849,11374
923,849,12156
924,547,12190
925,499,12191
926,715,12192
927,749,12192
928,763,7818
929,850,11167
930,851,12199
931,851,12198
932,852,12200
933,862,12216
934,863,12217
935,864,12218
936,854,12209
937,854,12210
938,854,12211
939,854,12212
940,854,12213
941,854,12214
942,854,12215
943,854,12216
944,855,12209
945,856,12210
946,857,12211
947,858,12212
948,859,12213
949,860,12214
950,861,12215
951,869,5985
952,869,5984
953,869,8181
954,869,7563
955,869,6443
973,871,502
974,871,874
975,871,1664
976,871,5261
977,871,5614
978,871,5615
979,837,837
981,434,10991
982,276,1959
983,884,11757
984,883,2009
987,888,7594
988,897,4433
989,898,9131
990,899,9132
991,900,4434
992,901,4435
993,902,12352
994,679,11181
995,682,11183
996,683,11184
997,913,1244
998,915,12180
999,916,11273
1000,620,10835
1001,400,978
1004,920,12387
1005,921,12388
1006,924,9855
1008,711,11753
1011,928,9533
1012,927,9532
1013,929,12396
1014,930,12397
1015,939,2930
1016,939,2931
1017,939,2932
1018,939,2933
1019,939,2934
1020,941,12446
1021,944,3512
1022,944,4296
1023,944,3630
1024,944,3611
1025,944,3533
1026,944,3542
1027,944,390
1028,944,624
1029,944,7816
1030,944,5931
1031,944,591
1032,944,582
1033,944,7825
1034,944,10559
1035,944,12443
1036,944,12101
1037,944,4261
1038,944,10734
1039,944,5514
1040,944,8833
1041,944,5698
1042,944,5673
1043,944,5769
1044,944,4271
1045,944,3428
1046,944,7893
1047,944,2998
1048,944,3015
1049,944,12444
1050,947,2950
1051,763,10320
1053,952,12524
1055,955,12598
1061,960,12523
1062,963,12602
1067,950,12508
1068,950,12509
1069,986,7978
1070,986,8123
1071,990,9421
1072,990,9422
1075,1014,12883
1076,1014,12718
1077,1014,12719
1078,1014,12902
1079,1014,12901
1080,1014,12723
1081,752,12758
1082,1017,12859
1086,1014,12728
1087,1014,12729
1088,1027,12914
1089,715,12958
1090,717,12958
1091,697,12959
1092,726,12959
1093,916,12959
1094,711,12780
1095,715,12780
1096,697,12781
1097,711,12781
1098,715,12782
1099,1041,13014
1100,715,12758
1101,715,12759
1102,715,12760
1103,715,12761
1104,715,12762
1105,715,12763
1106,715,12764
1107,715,12765
1108,715,12766
1109,715,12767
1110,715,12768
1111,715,12769
1112,715,12770
1113,715,12771
1114,715,12772
1115,715,12773
1116,715,12774
1117,715,12775
1118,715,12776
1119,715,12777
1120,715,12778
1121,715,12779
1122,715,12781
1123,715,12784
1124,715,12785
1125,715,12786
1126,715,12912
1127,715,12920
1129,815,12787
1130,787,12789
1131,814,12789
1132,788,12790
1133,814,12790
1134,814,12791
1135,813,12792
1136,786,12788
1137,818,12795
1138,819,12793
1139,821,13020
1140,789,13021
1141,825,13025
1142,826,12797
1143,824,13024
1144,1044,13010
1146,1054,13011
1147,884,12785
1148,822,12796
1149,706,12771
1150,749,12759
1151,1085,12656
1152,1095,13145
1153,708,12765
1154,1100,12976
1155,1109,12523
1156,1110,12525
1157,1123,13222
1158,1125,13223
1159,1126,13224
1160,1127,13225
1161,1128,13226
1162,1129,13227
1163,1130,13228
1164,1131,13229
1165,1132,13230
1166,1133,13231
1167,1134,13232
1168,1135,13233
1169,1136,13234
1170,1137,13235
1171,1138,13236
1172,1139,13237
1173,1140,13238
1174,1141,13239
1175,1142,13240
1176,1143,13241
1177,1100,12977
1178,1095,13281
1179,1095,13283
1180,1164,13328
1181,1165,13329
1182,1166,13330
1183,1167,13331
1184,1168,13332
1185,1174,13341
1186,1179,12593
1187,1180,12611
1188,1181,12613
1189,1182,12744
1190,1183,12904
1191,1190,13350
1192,1194,13377
1193,1196,12529
1195,1212,13040
1196,1213,12506
1197,1220,13443
1199,1238,12962
1200,1238,12980
1201,1254,13250
1202,1254,13284
1203,1254,13285
1204,1254,13293
1205,1254,13309
1206,1254,13310
1207,1254,13311
1211,1254,13355
1212,1254,13378
1213,1254,13380
1214,1254,13391
1216,1254,13491
1218,1283,13706
1219,1284,13707
1220,1285,13708
1221,1286,13709
1222,1287,13710
1223,1288,13711
1224,1289,13720
1225,1291,13703
1226,1299,13712
1227,1299,13713
1228,1299,13714
1229,1299,13715
1230,1299,13716
1231,1299,13717
1232,1299,13724
1233,1304,2048
1234,1304,3494
1235,1304,8561
1236,1304,13621
1237,1317,13851
1238,1324,13862
1239,1324,13860
1240,1324,13859
1241,1324,13871
1242,1324,13870
1243,1324,13861
1244,1336,13942
1247,1338,13988
1248,1338,13989
1249,1338,13754
1250,1339,14085
1251,1337,13940
1252,1342,13943
1254,1347,8058
1255,1353,14146
1256,1357,12605
1257,1358,12962
