id,normal,damaged50,dying,dead,wheel,turret_pitch_angle_max,lin_inertia,lin_deaccel_inertia,rot_inertia,rot_deaccel_inertia,velocity,angVel,can_fly,driver_walk,wheel2,turret_yaw_angvel,turret_pitch_angvel,damaged25,damaged75,floating_height,floating_wave_height,floating_wave_period_ratio,auto_level,trail_align_ratio,sound_id,susp_stroke,max_climb_ang,susp_axle,turret_yaw_angle_max,installed_turret,use_proxy_collision,use_center_spindle,turret_pitch_angle_min,turret_yaw_angle_min,use_wheeled_vehicle_simulation,wheeled_vehicle_mass,wheeled_vehicle_power,wheeled_vehicle_brake_torque,wheeled_vehicle_max_gear,wheeled_vehicle_gear_speed_ratio_reverse,wheeled_vehicle_gear_speed_ratio_1,wheeled_vehicle_gear_speed_ratio_2,wheeled_vehicle_gear_speed_ratio_3,wheeled_vehicle_susp_stroke,wheeled_vehicle_susp_damping,wheeled_vehicle_drive,wheeled_vehicle_front_optimal_sa,wheeled_vehicle_rear_optimal_sa,wheeled_vehicle_ballast_mass,wheeled_vehicle_ballast_pos_y
14,cgf://objects/Env/nuia/props/carriage/carriage_a.cgf,,,,cgf://objects/Env/nuia/props/carriage/wheel_front.cgf,1.0,0.05,0.01,0.2,0.1,80.0,2.0,t,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,-1.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
15,cgf://Objects/Env/06_unit/03_landship/transfers_floatship/transfers_floatship02.cgf,,,,,0.0,0.3,0.1,0.3,0.1,8.0,1.0,t,f,,90.0,45.0,,,1.0,0.3,8.0,t,0.05,,0.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
16,cgf://objects/Env/01_nuia/09_bro/bro_tram_01.cga,,,,,0.0,0.3,0.1,0.3,0.1,8.0,1.0,t,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
17,cgf://objects/Env/02_harihara/03_ti/transfers_cart01.cgf,,,,cgf://objects/Env/02_harihara/03_ti/wheel_front.cgf,0.0,0.3,0.1,0.3,0.1,13.0,1.0,f,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
18,cgf://objects/env/06_unit/03_landship/transfers_minetub/transfers_minetub01.cgf ,,,,,0.0,0.3,0.1,0.3,0.1,8.0,1.0,f,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
19,cgf://objects/env/06_unit/03_landship/transfers_minetub/transfers_minetub02.cgf,,,,,0.0,0.0,0.0,0.0,0.0,8.0,1.0,f,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
20,cga://objects/Env/06_unit/03_landship/transfers_floatship/transfers_floatship01.chr,,,,,0.0,0.3,0.1,0.3,0.1,8.0,1.0,f,t,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
21,prefab://prefabs/carriage.xml/carriage.carriageb,,,,cgf://objects/Env/06_unit/05_carriage/transfers_carriageb_wheel_a.cgf,0.0,0.0,0.0,0.0,0.0,8.0,1.0,f,f,,90.0,45.0,,,-1.0,0.1,5.0,f,0.0,,0.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
22,cgf://objects/Env/06_unit/05_carriage/transfers_carriageb01.cgf,,,,cgf://objects/Env/06_unit/05_carriage/transfers_carriageb_wheel_a.cgf,0.0,0.3,0.1,0.3,0.1,8.0,1.0,f,f,cgf://objects/Env/06_unit/05_carriage/transfers_carriageb_wheel_b.cgf,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
23,cgf://objects/Env/06_unit/05_carriage/carriage_wheel_a.cgf ,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
24,cgf://objects/Env/06_unit/05_carriage/carriage_wheel_b.cgf ,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
25,prefab://Prefabs/airship.xml/airship.normal,,,,,0.0,1.0,0.0,1.0,0.0,9.6,1.0,t,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
26,cgf://Objects\env\06_unit\01_ship\smallboat\smallboat_body.cgf,,,,,0.0,0.3,0.1,0.3,0.1,5.0,1.0,t,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
27,cgf://objects/Env/02_harihara/05_si/si_shiphouse_a.cgf,,,,,0.0,0.3,0.1,0.3,0.1,5.0,1.0,t,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
28,prefab://Prefabs/siege_weapon.xml/ground.ram,,,prefab://Prefabs/siege_weapon.xml/ground.ram_a_dead,cgf://objects/Env/architecture/siege/siegeweapon/ram_a/ram_a_wheel.cgf,0.0,0.3,0.08,0.0,0.0,10.0,1.0,f,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,1.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
29,cga://objects/Env/06_unit/04_siegeweapon/siegetank.chr,,,,cgf://objects/Env/06_unit/04_siegeweapon/siegetankwheel.cgf,0.0,0.3,0.1,0.0,0.0,10.0,1.0,f,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,1.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
30,prefab://prefabs/siege_weapon.xml/siegetank_a.siegetank_a,prefab://prefabs/siege_weapon.xml/siegetank_a.siegetank_a,prefab://prefabs/siege_weapon.xml/siegetank_a.siegetank_a_dying,prefab://prefabs/siege_weapon.xml/siegetank_a.siegetank_a_dead,cgf://objects/Env/06_unit/04_siegeweapon/siegetankwheel_a.cgf,70.0,0.5,0.5,0.2,0.2,3.5,0.4,f,f,,30.0,10.0,prefab://prefabs/siege_weapon.xml/siegetank_a.siegetank_a,prefab://prefabs/siege_weapon.xml/siegetank_a.siegetank_a_damage75,0.0,0.0,0.0,f,0.0,748,2.0,45.0,t,180.0,t,f,f,-10.0,-180.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
31,prefab://prefabs/speedboat.xml/speedboat_a.ballista_a,,,prefab://prefabs/speedboat.xml/speedboat_a.ballista_a,,120.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,,50.0,40.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,90.0,f,f,f,-120.0,-90.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
32,cgf://objects/Env/01_nuia/001_ndeco/housing/ndeco_housing_carpet01.cgf,,,,,0.0,0.3,0.1,0.3,0.1,8.0,1.0,f,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,f,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
33,prefab://prefabs/siege_weapon.xml/siegetank_b.siegetank_b,prefab://prefabs/siege_weapon.xml/siegetank_b.siegetank_b,prefab://prefabs/siege_weapon.xml/siegetank_b.siegetank_b_dying,prefab://prefabs/siege_weapon.xml/siegetank_b.siegetank_b_dead,cgf://objects/Env/06_unit/04_siegeweapon/siegetankwheel_b.cgf,70.0,0.3,0.1,0.0,0.0,5.0,0.7,f,f,,60.0,20.0,prefab://prefabs/siege_weapon.xml/siegetank_b.siegetank_b,prefab://prefabs/siege_weapon.xml/siegetank_b.siegetank_b_damage75,0.0,0.0,0.0,f,0.0,748,1.0,45.0,t,180.0,t,f,f,-10.0,-180.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
34,prefab://prefabs/siege_weapon.xml/siegetank_c.siegetank_c,prefab://prefabs/siege_weapon.xml/siegetank_c.siegetank_c,prefab://prefabs/siege_weapon.xml/siegetank_c.siegetank_c_dying,prefab://prefabs/siege_weapon.xml/siegetank_c.siegetank_c_dead,cgf://objects/Env/06_unit/04_siegeweapon/siegetankwheel_c.cgf,70.0,0.5,0.5,0.5,0.5,3.0,0.4,f,f,,30.0,10.0,prefab://prefabs/siege_weapon.xml/siegetank_c.siegetank_c,prefab://prefabs/siege_weapon.xml/siegetank_c.siegetank_c_damage75,0.0,0.0,0.0,f,0.0,748,1.0,45.0,t,180.0,t,f,f,-10.0,-180.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
35,cga://objects/Env/06_unit/04_siegeweapon/siegetank_a.chr,,prefab://prefabs/siege_weapon.xml/siegetank_a.siegetank_a_dying,prefab://prefabs/siege_weapon.xml/siegetank_a.siegetank_a_dead,cgf://objects/Env/06_unit/04_siegeweapon/siegetankwheel_a.cgf,60.0,0.5,0.5,0.2,0.2,0.0,0.0,f,f,,50.0,10.0,,,0.0,0.0,0.0,f,0.0,748,2.0,45.0,t,360.0,t,f,f,-60.0,-360.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
36,prefab://prefabs/siege_weapon.xml/siege_catapult_a.siege_catapult_a,,prefab://prefabs/siege_weapon.xml/siege_catapult_a.siege_catapult_a_dying,prefab://prefabs/siege_weapon.xml/siege_catapult_a.siege_catapult_a_dead,cgf://objects/Env/06_unit/04_siegeweapon/siegetankwheel_a.cgf,60.0,0.5,0.5,0.2,0.2,6.0,0.4,f,f,,30.0,10.0,,,0.0,0.0,0.0,f,0.0,,2.0,45.0,t,120.0,f,f,f,-60.0,-120.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
37,cga://Objects\env\05_nature\02_dry\rock_big_e.cgf,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,0.0,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
38,prefab://prefabs/vehicle_tractor.xml/vehicle_tractor.tractor_body,prefab://prefabs/vehicle_tractor.xml/vehicle_tractor.tractor_body,prefab://prefabs/vehicle_tractor.xml/vehicle_tractor.tractor_body_dying,prefab://prefabs/vehicle_tractor.xml/vehicle_tractor.tractor_body_dead,cgf://Objects\env\06_unit\05_carriage\transfers_trailer_a_wheel01.cgf,60.0,0.4,0.4,0.2,0.2,4.0,0.4,f,f,cgf://Objects\env\06_unit\05_carriage\transfers_trailer_a_wheel02.cgf,30.0,10.0,prefab://prefabs/vehicle_tractor.xml/vehicle_tractor.tractor_body,prefab://prefabs/vehicle_tractor.xml/vehicle_tractor.tractor_body_damage75,0.0,0.0,0.0,f,0.0,,0.0,45.0,f,360.0,f,f,t,-60.0,-360.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
39,cga://objects/Env/06_unit/07_turret/turret_b.chr,,,cga://objects/Env/06_unit/07_turret/turret_b.chr,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,,35.0,20.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,45.0,f,f,f,-20.0,-45.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
40,prefab://prefabs/interaction.xml/toy.human_cannon,,,prefab://prefabs/interaction.xml/toy.human_cannon,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,0.0,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
41,prefab://prefabs/quest_h2co3.xml/33gold.shot,,,prefab://prefabs/quest_h2co3.xml/33gold.shot,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,0.0,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
42,cga://objects\Env\06_unit\01_ship\galleon\galleon_cannon.chr,,,cga://objects\Env\06_unit\01_ship\galleon\galleon_cannon.chr,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,,35.0,20.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,45.0,f,f,f,-20.0,-45.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
43,prefab://prefabs/siege_weapon.xml/siegecannon.siegecannon_b,,prefab://prefabs/siege_weapon.xml/siegecannon.siegecannon_b,prefab://prefabs/siege_weapon.xml/siegecannon.siegecannon_b,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,,35.0,10.0,,,0.0,0.0,0.0,f,0.0,,0.0,0.0,f,180.0,t,f,f,-20.0,-180.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
44,prefab://prefabs/hdeco_drum.xml/hdeco_drum.hdeco_drum_a,,prefab://prefabs/hdeco_drum.xml/hdeco_drum.hdeco_drum_a,prefab://prefabs/hdeco_drum.xml/hdeco_drum.hdeco_drum_a,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,0.0,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
45,prefab://prefabs/speedcar.xml/speedcar.speedcar_body_r,,,,cgf://objects/env/06_unit/05_carriage/speedcar_wheel01.cgf,0.0,0.0,0.0,0.5,0.5,15.0,1.0,f,f,cgf://objects/env/06_unit/05_carriage/speedcar_wheel.cgf,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,0.0,f,f,f,0.0,0.0,t,450.0,50.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,50.0,-1.0
46,prefab://prefabs/speedcar.xml/speedcar.speedcar_body_r,prefab://prefabs/speedcar.xml/speedcar.speedcar_body_r,prefab://prefabs/speedcar.xml/speedcar.speedcar_bodydying_r,prefab://prefabs/speedcar.xml/speedcar.speedcar_bodydead_r,cgf://objects/env/06_unit/05_carriage/speedcar_wheel01.cgf,0.0,0.0,0.0,0.5,0.5,15.0,1.0,f,f,cgf://objects/env/06_unit/05_carriage/speedcar_wheel.cgf,90.0,45.0,prefab://prefabs/speedcar.xml/speedcar.speedcar_body_r,prefab://prefabs/speedcar.xml/speedcar.speedcar_body25_r,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,0.0,f,f,f,0.0,0.0,t,450.0,60.0,5000.0,2,-0.5,0.5,1.0,0.0,0.11,0.5,0,5.0,5.0,50.0,-1.0
47,prefab://prefabs/speedcar.xml/speedcar.speedcar_body_b,prefab://prefabs/speedcar.xml/speedcar.speedcar_body_b,prefab://prefabs/speedcar.xml/speedcar.speedcar_bodydying_b,prefab://prefabs/speedcar.xml/speedcar.speedcar_bodydead_b,cgf://objects/env/06_unit/05_carriage/speedcar_wheel01.cgf,0.0,0.0,0.0,0.5,0.5,15.0,1.0,f,f,cgf://objects/env/06_unit/05_carriage/speedcar_wheel.cgf,90.0,45.0,prefab://prefabs/speedcar.xml/speedcar.speedcar_body_b,prefab://prefabs/speedcar.xml/speedcar.speedcar_body25_b,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,0.0,f,f,f,0.0,0.0,t,300.0,60.0,5000.0,2,-0.5,0.5,1.0,0.0,0.11,0.5,1,5.0,5.0,200.0,-1.0
48,prefab://prefabs/speedcar.xml/speedcar.speedcar_body_y,prefab://prefabs/speedcar.xml/speedcar.speedcar_body_y,prefab://prefabs/speedcar.xml/speedcar.speedcar_bodydying_y,prefab://prefabs/speedcar.xml/speedcar.speedcar_bodydead_y,cgf://objects/env/06_unit/05_carriage/speedcar_wheel01.cgf,0.0,0.0,0.0,0.5,0.5,15.0,1.0,f,f,cgf://objects/env/06_unit/05_carriage/speedcar_wheel.cgf,90.0,45.0,prefab://prefabs/speedcar.xml/speedcar.speedcar_body_y,prefab://prefabs/speedcar.xml/speedcar.speedcar_body25_y,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,0.0,f,f,f,0.0,0.0,t,450.0,60.0,5000.0,2,-0.5,0.5,1.0,0.0,0.12,0.5,2,5.0,5.0,50.0,-1.0
49,prefab://prefabs/interaction.xml/tool.percussion,,prefab://prefabs/interaction.xml/tool.percussion,prefab://prefabs/interaction.xml/tool.percussion,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,f,,90.0,45.0,,,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,0.0,f,f,f,0.0,0.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
50,prefab://prefabs/speedcar.xml/speedcar.speedcar_body_redbull,prefab://prefabs/speedcar.xml/speedcar.speedcar_body_redbull,prefab://prefabs/speedcar.xml/speedcar.speedcar_bodydying_redbull,prefab://prefabs/speedcar.xml/speedcar.speedcar_bodydead_redbull,cgf://objects/env/06_unit/05_carriage/speedcar_wheel01.cgf,0.0,0.0,0.0,0.5,0.5,15.0,1.0,f,f,cgf://objects/env/06_unit/05_carriage/speedcar_wheel.cgf,90.0,45.0,prefab://prefabs/speedcar.xml/speedcar.speedcar_body_redbull,prefab://prefabs/speedcar.xml/speedcar.speedcar_body25_redbull,0.0,0.0,0.0,f,0.0,,0.0,60.0,f,0.0,f,f,f,0.0,0.0,t,450.0,60.0,5000.0,2,-0.5,0.5,1.0,0.0,0.11,0.5,0,5.0,5.0,50.0,-1.0
51,prefab://prefabs/vehicle_tractor.xml/transfers_battle_foodtraffic.transfers_battle_foodtraffic_body,prefab://prefabs/vehicle_tractor.xml/transfers_battle_foodtraffic.transfers_battle_foodtraffic_body,prefab://prefabs/vehicle_tractor.xml/transfers_battle_foodtraffic.transfers_battle_foodtraffic_dying,prefab://prefabs/vehicle_tractor.xml/transfers_battle_foodtraffic.transfers_battle_foodtraffic_dead,cgf://Objects\env\06_unit\05_carriage\transfers_trailer_a_wheel01.cgf,60.0,0.4,0.4,0.2,0.2,4.0,0.4,f,f,cgf://Objects\env\06_unit\05_carriage\transfers_trailer_a_wheel02.cgf,30.0,10.0,prefab://prefabs/vehicle_tractor.xml/transfers_battle_foodtraffic.transfers_battle_foodtraffic_body,prefab://prefabs/vehicle_tractor.xml/transfers_battle_foodtraffic.transfers_battle_foodtraffic_damage75,0.0,0.0,0.0,f,0.0,,0.0,45.0,f,360.0,f,f,t,-60.0,-360.0,f,1000.0,20.0,4000.0,2,-0.5,0.5,1.0,1.0,0.3,0.3,0,10.0,10.0,100.0,0.0
