id,name,model,once_one_man,once_one_interaction,show_name,mgmt_spawn,percent,min_time,max_time,model_kind_id,use_creator_faction,force_tod_top_priority,milestone_id,group_id,show_minimap,use_target_decal,use_target_silhouette,use_target_highlight,target_decal_size,sim_radius,collide_ship,collide_vehicle,climate_id,save_indun,mark_model,force_up_action,load_model_from_world,parentable,childable,faction_id,growth_time,despawn_on_collision,no_collision
312,QA 필요퀘스트,cgf://Objects/Env/architecture/siege/prop/case_a.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
313,정화의먼지,cgf://Game/objects/Env/01_nuia/001_ndeco/ndeco_do_invisible.cgf,f,t,f,f,100,600000,700000,1,t,f,,11,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
315,사다리 20m,cgf://game/objects/env/01_nuia/001_ndeco/climb/ndeco_do_ladder03.cgf,f,t,f,f,,,,1,f,f,,25,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
317,테스트_빨리자라는나무,vegetation://objects/env/05_nature/03_temp/temp_tree_apple01no.cgf,f,t,f,f,100,24000,36000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
318,test_빨리자라서_베고_기고_스러지는거보기,vegetation://objects/Env/03_origin_continent/001_ocom/ocom_burntree_c.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
319,test_초본,vegetation://objects/env/05_nature/08_cry_source/fields/tomato_bush_big_b.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
320,우편함,cgf://Objects\env\04_thirdforce\07_daru\daru_postbox01.cgf,f,f,f,f,100,600000,700000,1,f,f,,6,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
321,test_스러지는것만 보기,vegetation://objects/env/01_nuia/11_long/long_memotree_originno.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
322,세콰이어 나무,vegetation://objects/env/05_nature/00_common/common_do_tree_fir.cgf,t,t,f,f,100,240000,360000,6,f,f,,2,t,f,f,t,0.0,2500,f,t,2,f,,f,f,t,t,0,370320000,f,f
323,그물,cgf://objects/env/01_nuia/001_ndeco/climb/ndeco_do_ladder06.cgf,f,t,f,f,100,600000,700000,1,f,f,,35,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
324,test_초본 채집하는거 바로 보기,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,f,100,600000,700000,1,f,f,,34,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
332,촉촉한 흙더미,cgf://game/objects/Env/01_nuia/001_ndeco/quest/ndeco_quest_soil.cgf,f,t,f,f,100,10000,10000,1,f,f,,11,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
333,덩쿨,cgf://game/Objects/Env/01_nuia/001_ndeco/climb/ndeco_do_ladder06.cgf,f,t,f,f,,,,1,f,f,,25,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
367,가문비나무,vegetation://objects/env/05_nature/04_subpol/sub_tree_bigfir02.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,2000,f,t,2,f,,f,f,t,t,0,92580000,f,f
368,가시야자나무 (미완),vegetation://objects/env/05_nature/03_temp/temp_tree_beechtree07.cgf,f,t,f,f,100,240000,360000,6,f,f,,34,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
369,고무나무,vegetation://objects/env/05_nature/01_tropic/trop_tree_rubber05.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,1500,f,t,3,f,,f,f,t,t,0,41160000,f,f
370,잎갈나무,vegetation://objects/env/05_nature/03_temp/temp_tree_ti_branch04.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,2500,f,t,2,f,,f,f,t,t,0,123480000,f,f
371,너도밤나무,vegetation://objects/env/05_nature/03_temp/temp_tree_beechtree07.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,2000,f,t,2,f,,f,f,t,t,0,174900000,f,f
372,녹나무,vegetation://objects/env/05_nature/01_tropic/trop_tree_camphor06.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,2000,f,t,2,f,,f,f,t,t,0,246900000,f,f
373,대나무,vegetation://objects/env/05_nature/03_temp/temp_tree_bamboo01.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,1500,f,t,2,f,,f,f,t,t,0,123480000,f,f
374,대추야자나무,vegetation://objects/env/05_nature/01_tropic/trop_tree_datepalm01.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,1500,f,t,5,f,,f,f,t,t,0,113160000,f,f
375,흑단나무,vegetation://objects/env/05_nature/01_tropic/trop_tree_ebony05.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,2500,f,t,2,f,,f,f,t,t,0,185160000,f,f
376,떡갈나무,vegetation://objects/env/05_nature/03_temp/temp_tree_oak03.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,2000,f,t,2,f,,f,f,t,t,0,174900000,f,f
377,레몬나무,vegetation://objects/env/05_nature/03_temp/temp_tree_lemon02.cgf,f,t,f,f,100,240000,360000,7,f,f,1,2,t,f,f,t,0.0,1500,f,t,2,f,,f,f,t,t,0,51480000,f,f
378,매의 똥,cgf://Game/objects/Env/01_nuia/001_ndeco/quest/ndeco_quest_dung.cgf,f,t,f,t,100,24000,36000,1,f,f,1,11,f,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
379,슬레이브소환 특산품 테스트,cgf://Objects/env/01_nuia/01_sol/sol_wreck01.cgf,f,t,f,t,100,24000,36000,1,f,f,,34,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
380,무화과나무,vegetation://objects/env/05_nature/03_temp/temp_tree_fig02no.cgf,f,t,f,f,100,240000,360000,7,f,f,1,2,t,f,f,t,0.0,1000,f,t,2,f,,f,f,t,t,0,20580000,f,f
381,물푸레나무,vegetation://objects/env/05_nature/03_temp/temp_tree_ashtree.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,2500,f,t,2,f,,f,f,t,t,0,185160000,f,f
382,바나나 나무,vegetation://objects//env/05_nature/08_cry_source/trees/banana_tree/bananatree_big_a.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,1000,f,t,3,f,,f,f,t,t,0,92580000,f,f
383,바오밥 나무,vegetation://objects/env/05_nature/02_dry/dry_tree_baobab03.cgf,f,t,f,f,100,240000,360000,7,f,f,1,2,t,f,f,t,0.0,1000,f,t,5,f,,f,f,t,t,0,92580000,f,f
384,밤나무,vegetation://objects/env/05_nature/03_temp/temp_tree_si_chestnut02.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,2500,f,t,2,f,,f,f,t,t,0,370320000,f,f
385,백향나무,vegetation://objects/env/05_nature/04_subpol/sub_tree_fir03.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,1500,f,t,2,f,,f,f,t,t,0,185160000,f,f
386,버드나무,vegetation://objects/env/05_nature/03_temp/willowtree_c.cgf ,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,1500,f,t,2,f,,f,f,t,t,0,51480000,f,f
387,벚나무,vegetation://objects/env/05_nature/03_temp/temp_tree_cherry04.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,2500,f,t,2,f,,f,f,t,t,0,174900000,f,f
388,분비나무,vegetation://objects/env/05_nature/04_subpol/sub_tree_fir03.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,1500,f,t,2,f,,f,f,t,t,0,92580000,f,f
389,빵나무 (미정),vegetation://objects/env/05_nature/00_common/common_tree_middle05.cgf,f,t,f,t,100,24000,36000,1,f,f,,34,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
390,뽕나무 (미정),vegetation://objects/env/05_nature/00_common/common_tree_middle05.cgf,f,t,f,t,100,24000,36000,1,f,f,,34,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
391,사포딜라 나무 (미정),vegetation://objects/env/05_nature/00_common/common_tree_middle05.cgf,f,t,f,t,100,24000,36000,1,f,f,,34,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
392,살구나무,vegetation://objects/env/05_nature/03_temp/temp_tree_apricot.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,2500,f,t,2,f,,f,f,t,t,0,246900000,f,f
393,삼나무,vegetation://objects/env/05_nature/04_subpol/sub_tree_bigfir02.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,1500,f,t,2,f,,f,f,t,t,0,92580000,f,f
394,서어나무,vegetation://objects/env/05_nature/03_temp/temp_tree_hornbeam.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,2500,f,t,0,f,,f,f,t,t,0,28800000,f,f
395,석류나무,vegetation://objects/env/05_nature/03_temp/temp_tree_pomegranate.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,2500,f,t,2,f,,f,f,t,t,0,113160000,f,f
396,세이바 나무 (미정),vegetation://objects/env/05_nature/00_common/common_tree_middle05.cgf,f,t,f,t,100,24000,36000,1,f,f,,34,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
397,소귀나무 (미정),vegetation://objects/env/05_nature/00_common/common_tree_middle05.cgf,f,t,f,t,100,24000,36000,1,f,f,,34,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
398,소나무,vegetation://objects/env/05_nature/04_subpol/sub_tree_longpine02.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,2000,f,t,2,f,,f,f,t,t,0,246900000,f,f
399,아보카도 나무,vegetation://objects/env/05_nature/03_temp/temp_tree_fig02no.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,1500,f,t,3,f,,f,f,t,t,0,20580000,f,f
400,야자나무,vegetation://objects/env/05_nature/01_tropic/trop_tree_datepalm04.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,1500,f,t,3,f,,f,f,t,t,0,246900000,f,f
401,오동나무 (미정),vegetation://objects/env/05_nature/00_common/common_tree_middle05.cgf,f,t,f,t,100,24000,36000,1,f,f,,34,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
402,오렌지 나무,vegetation://objects/env/05_nature/03_temp/temp_tree_orangeno.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,2500,f,t,2,f,,f,f,t,t,0,113160000,f,f
403,올리브 나무,vegetation://objects/env/05_nature/03_temp/temp_do_tree_olive01.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,1500,f,t,2,f,,f,f,t,t,0,92580000,f,f
404,월계수,vegetation://objects/env/05_nature/03_temp/temp_tree_laurel01.cgf,f,t,f,f,100,240000,360000,7,f,f,1,2,t,f,f,t,0.0,1000,f,t,2,f,,f,f,t,t,0,41160000,f,f
405,은사시나무,vegetation://objects/env/05_nature/03_temp/white_birch_big_b_w.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,1500,f,t,2,f,,f,f,t,t,0,51480000,f,f
406,은행나무,vegetation://objects/env/05_nature/00_common/common_tree_middle05.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,f,f,f,t,0.0,2000,f,t,2,f,,f,f,t,t,0,92580000,f,f
407,자작나무,vegetation://objects/env/05_nature/03_temp/white_birch_do_moss.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,2000,f,t,2,f,,f,f,t,t,0,246900000,f,f
408,주목,vegetation://objects/env/05_nature/04_subpol/sub_tree_lo_fir03.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,1500,f,t,0,f,,f,f,t,t,0,14400000,f,f
409,차나무 (미정),vegetation://objects/env/05_nature/00_common/common_tree_middle05.cgf ,f,t,f,t,100,24000,36000,1,f,f,,34,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
410,커피나무 (미정),vegetation://objects/env/05_nature/00_common/common_tree_middle05.cgf,f,t,f,t,100,24000,36000,1,f,f,,34,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
411,대나무 통발,cgf://Game/Objects/Env/01_nuia/001_ndeco/old/fishingnet_b.cgf,f,f,f,f,100,24000,36000,1,f,f,,40,t,f,f,t,0.0,1000,f,f,0,f,,f,f,t,t,0,10800000,f,f
412,코르크참나무,vegetation://objects/env/05_nature/03_temp/temp_do_tree_cork01.cgf,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,2500,f,t,2,f,,f,f,t,t,0,20580000,f,f
413,포도나무,vegetation://objects/env/05_nature/03_temp/temp_tree_grape01.cgf,f,t,f,f,100,240000,360000,7,f,f,1,2,t,f,f,t,0.0,1000,f,t,2,f,,f,f,t,t,0,20580000,f,f
414,미루나무,vegetation://objects/env/05_nature/00_common/common_tree_middle05.cgf ,f,t,f,f,100,240000,360000,6,f,f,1,2,t,f,f,t,0.0,2000,f,t,2,f,,f,f,t,t,0,113160000,f,f
418,겨자관목,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
419,촘촘한 덤불,vegetation://objects/env/05_nature/00_common/common_bush_ec03_small.cgf,f,t,f,f,100,10800000,10800000,2,f,f,1,12,t,f,f,t,0.0,400,f,f,0,f,,f,f,t,t,0,,f,f
424,구름국화,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
432,들딸기,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
436,라우월피아,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
438,라챠프록,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
439,랄리구라스,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
441,마,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
443,모란,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
444,모링가 나무,vegetation://objects/env/05_nature/02_dry/dry_tree_moringa06.cgf,f,t,f,f,100,240000,360000,7,f,f,1,2,t,f,f,t,0.0,2250,f,t,5,f,,f,f,t,t,0,174900000,f,f
445,목숙,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
446,목화,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
447,미나리아재비,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
450,바닐라콩,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
451,바히아 그라스,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
453,버섯,vegetation://objects/env/05_nature/00_common/mushroom03.cgf,f,t,f,f,100,2400,3600,2,f,f,,3,t,f,f,t,0.0,500,f,f,0,f,,f,f,t,t,0,7200000,f,f
454,베어 그라스,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
455,벼,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
457,봉선화,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
459,부추,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
460,뒤엉킨 덤불,vegetation://objects/env/05_nature/00_common/common_do_blackberry01.cgf,f,t,f,f,100,10800000,10800000,1,f,f,,12,t,f,f,t,0.0,500,f,f,2,f,,f,f,t,t,0,,f,f
461,블루베리,vegetation://objects/env/05_nature/00_common/common_do_blueberry01.cgf,f,t,f,f,100,24000,36000,1,f,f,,12,t,f,f,t,0.0,500,f,f,2,f,,f,f,t,t,0,7200000,f,f
462,사탕수수,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
464,산세비에리아,vegetation://objects/env/05_nature/00_common/common_plants_sanse01.cgf,f,t,f,f,100,2400,3600,3,f,f,1,3,t,f,f,t,0.0,500,f,f,5,f,,f,f,t,t,0,51480000,f,f
465,생강,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
466,잡초 군락,vegetation://objects/env/05_nature/00_common/rosemary_a.cgf,f,t,f,f,100,10800000,10800000,4,f,f,1,3,t,f,f,t,0.0,500,f,f,0,f,,f,f,t,t,0,,f,f
468,섬매자관목,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
469,소철,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
470,수단 그라스,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
473,수수,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
475,쑥,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
476,아니스,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
477,아마,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
481,오배자,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
484,우슬초,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
485,울금,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
486,위핑러브 그라스,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
487,유도화,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
489,육두구,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
491,자초,vegetation://objects/env/05_nature/00_common/common_do_lavender.cgf,f,t,f,t,100,2400,3600,1,f,f,,35,t,f,f,t,0.0,0,f,f,0,f,,f,f,t,t,0,,f,f
492,산삼,vegetation://objects/env/05_nature/03_temp/temp_plants_ginseng01.cgf,f,t,f,f,100,2400,3600,2,f,f,1,3,t,f,f,t,0.0,400,f,f,2,f,,f,f,t,t,0,172800000,f,f
