id,wi_id,doodad_id
801,31,1031
803,19,
804,19,
807,19,
808,19,
809,19,
810,19,
813,19,
814,19,
816,19,
817,19,
819,19,
820,19,
822,19,0
823,19,0
824,19,0
825,19,0
826,19,0
827,19,0
828,19,0
829,19,
831,19,0
832,31,2516
833,19,0
834,19,
835,19,
836,19,
837,19,0
838,19,0
839,19,0
840,19,0
841,19,0
842,19,0
843,19,
845,19,2566
846,19,0
847,19,
848,19,
849,19,
850,19,0
851,19,0
852,19,
853,19,
854,19,
856,19,
857,19,
858,19,
859,19,
860,19,
861,19,0
862,19,
863,19,
864,31,2630
865,19,
866,19,
867,31,4698
868,19,
869,19,
870,19,
871,19,0
872,19,0
874,31,2649
875,19,0
876,19,
877,19,
878,19,
879,19,
880,19,0
881,19,0
882,19,
883,31,2663
884,19,0
886,19,
887,19,
888,19,
889,19,0
890,19,0
891,19,
892,19,
893,19,0
895,19,0
896,19,
897,19,
898,19,
900,19,
901,19,
902,19,
903,19,
904,19,
905,19,
906,19,0
908,19,
909,19,
910,19,
911,19,
912,19,
913,19,0
915,31,2731
916,19,
917,19,
918,31,2733
920,19,
922,19,
923,19,
924,1,
926,19,
927,19,
928,19,
929,19,
930,19,
931,19,
932,31,1443
933,31,2759
935,19,
936,19,
939,19,
940,19,
941,19,
942,19,
943,19,
944,19,
949,31,2772
951,31,2771
954,19,
955,19,0
956,19,
957,19,
958,19,
960,19,
962,19,
964,19,
967,19,
969,19,
971,19,
972,19,
973,31,2798
974,19,
977,19,
978,20,
980,20,
981,20,
982,20,
983,20,
984,1,
985,1,
986,1,
987,1,
988,1,
990,19,
992,78,
993,78,
994,78,
995,78,
996,78,
997,73,
998,73,
999,73,
1000,73,
1001,73,
1002,83,
1003,83,
1004,83,
1005,83,
1006,83,
1007,19,
1009,19,
1010,31,2768
1012,31,2852
1016,19,0
1017,19,
1018,19,0
1019,19,
1022,31,2875
1024,19,
1025,19,
1026,19,
1029,19,
1031,19,
1032,19,
1033,31,2888
1034,19,
1036,31,1657
1037,19,
1040,19,
1041,19,
1042,19,
1043,19,
1044,19,
1045,19,
1046,19,
1047,19,
1048,31,2852
1049,31,2852
1050,31,2852
1051,31,2852
1052,31,2852
1053,31,2852
1054,31,2852
1055,31,2852
1059,19,
1061,19,
1062,31,2913
1063,19,0
1064,19,
1065,19,
1066,19,
1067,19,
1068,19,
1075,31,2928
1076,31,2929
1077,19,
1078,19,
1080,19,
1084,19,
1086,19,
1089,19,
1090,19,
1091,19,0
1092,19,0
1096,19,
1097,19,0
1099,19,
1100,19,
1101,19,
1103,19,
1107,19,
1109,19,
1111,19,
1113,31,2956
1114,31,2956
1116,1,
1117,19,0
1118,76,
1119,76,
1120,76,
1121,76,
1122,76,
1124,19,
1125,19,
1126,19,
1127,19,
1128,19,
1129,19,
1130,19,
1131,19,
1132,19,
1133,19,
1134,19,
1135,19,
1136,19,
1137,19,
1138,19,
1139,31,2990
1140,19,
1155,19,0
1156,19,0
1157,19,0
1158,19,
1160,19,
1161,19,
1162,19,
1165,31,3002
1167,19,0
1168,19,
1169,19,
1170,31,3008
1171,19,
1172,19,
1173,19,
1174,19,
1176,19,
1177,19,
1178,19,0
1179,19,0
1181,19,0
1182,19,0
1183,19,0
1184,31,3024
1185,31,3023
1186,19,
1187,31,704
1190,19,0
1192,31,3039
1194,19,0
1195,31,3042
1196,31,3041
1197,31,3040
1198,19,0
1199,19,0
1200,19,0
1201,19,0
1202,19,0
1203,19,0
1204,31,3025
1205,31,3025
1206,31,3025
1207,31,3030
1208,31,3030
1209,31,3030
1210,31,3030
1211,31,3031
1212,31,3031
1213,31,3037
1214,31,3049
1215,31,3050
1217,31,3050
1218,31,3050
1221,31,3052
1222,31,3053
1223,31,3053
1225,19,0
1228,19,
1229,19,
1230,19,
1232,19,
1238,19,0
1239,19,0
1240,19,0
1241,31,3084
1244,19,0
1245,19,0
1246,19,0
1247,19,0
1253,31,3095
1254,19,0
1255,31,3039
1256,19,
1257,19,
1258,19,0
1259,31,3094
1261,19,0
1262,19,
1263,19,
1265,19,
1266,19,
1267,19,0
1268,19,0
1269,19,
1273,31,3134
1275,31,3166
1276,19,
1277,19,
1278,19,
1279,31,3039
1280,31,3171
1282,31,710
1285,19,0
1287,31,3051
1289,1,
1291,19,
1292,19,
1293,19,0
1294,19,0
1295,19,0
1298,19,0
1303,19,
1304,31,3236
1305,19,
1306,19,
1307,31,3237
1308,19,
1309,19,
1310,19,
1311,31,3181
1312,31,2352
1313,31,3245
1314,31,3246
1315,31,3247
1316,31,3248
1317,31,3165
1318,19,
1320,31,3250
1322,31,3251
1323,19,
1324,31,3253
1326,31,3254
1327,31,3254
1328,19,
1329,31,1976
1330,31,3250
1331,19,
1332,31,3250
1333,19,
1336,19,
1337,19,0
1338,19,0
1339,19,0
1340,19,
1341,19,0
1342,31,3266
1343,19,
1344,19,
1345,31,1657
1346,31,3271
1348,19,
1349,19,
1350,19,0
1351,31,2629
1352,19,
1353,19,
1354,19,
1355,19,0
1356,19,0
1357,31,3250
1361,31,3282
1362,19,
1363,19,
1364,19,
1365,19,0
1366,19,0
1367,94,
1369,31,3284
1370,19,
1371,19,
1372,31,3134
1373,19,0
1374,19,
1375,31,3288
1376,31,3134
1377,19,
1378,19,
1379,19,3292
1381,31,3289
1384,31,3297
1385,19,
1386,94,
1387,31,3310
1388,19,
1389,19,0
1390,19,0
1391,19,0
1397,19,
1398,19,
1399,31,3331
1400,19,
1401,19,
1402,31,3212
1403,31,3165
1404,19,
1405,19,
1408,19,
1418,31,4911
1419,19,
1420,19,
1421,19,
1422,19,
1423,19,
1424,19,
1425,19,
1427,19,3391
1428,19,0
1430,19,0
1431,19,0
1432,19,
1433,19,
1434,19,
1435,19,
1436,19,0
1437,19,
1438,73,
1439,19,
1440,19,
1441,19,
1442,19,
1444,19,
1445,31,3410
1448,31,3251
1449,19,
1451,31,1743
1452,19,
1455,31,3384
1456,31,3441
1457,31,3442
1458,19,
1459,31,3441
1460,19,
1461,19,
1462,19,
1463,31,3236
1464,31,3236
1465,31,3236
1466,31,3236
1467,31,3236
1468,31,3236
1469,31,3236
1470,31,3236
1471,31,3236
1472,31,3236
1473,31,3236
1474,31,3236
1475,31,3236
1476,31,3236
1477,31,3236
1478,31,3236
1479,31,3236
1480,31,3236
1481,31,3236
1482,31,3236
1483,31,3236
1485,19,
1486,19,
1487,19,
1488,19,
1490,19,
1491,19,
1492,19,
1493,19,
1494,19,
1496,19,
1497,19,
1498,19,
1499,19,
1500,19,
1501,19,
1502,19,
1504,19,
1505,19,
1506,19,
1507,19,
1509,31,3388
1510,19,
1511,19,
1512,19,0
1513,19,
1514,78,
1516,19,0
1517,19,0
1518,19,
1520,19,0
1521,19,
1522,19,0
1524,19,
1525,19,0
1527,19,
1528,19,0
1529,31,888
1531,31,888
1532,19,0
1533,19,0
1534,19,0
1535,31,3490
1536,19,
1537,19,0
1538,19,
1539,19,
1540,19,
1541,19,
1542,19,
1543,31,3499
1544,31,3500
1545,31,3501
1546,19,
1547,31,3502
1549,19,0
1551,31,3483
1552,31,3023
1553,19,
1554,19,0
1555,20,
1556,31,3455
1557,31,3517
1558,31,3520
1559,31,3490
1561,31,3236
1562,31,3236
1563,31,3236
1564,31,3236
1565,31,3236
1566,31,3236
1567,31,3236
1568,31,3236
1569,31,3236
1570,31,3236
1571,31,3236
1572,31,3236
1573,31,3236
1574,31,3236
1575,31,3236
1576,19,0
1577,19,
1578,19,
1579,19,0
1580,19,0
1582,19,
1583,19,
1584,19,
1586,19,0
1587,19,
1590,19,
1591,19,
1592,19,
1593,19,
1594,19,
1595,19,
1596,19,
1597,19,
1598,19,
1599,19,
1600,19,
1601,19,
1602,19,
1603,19,
1609,31,3602
1610,31,3598
1611,19,
1612,19,
1613,19,
1618,19,
1619,19,
1622,31,3598
1623,31,3602
1624,19,
1625,19,0
1626,19,0
1627,19,0
1628,19,0
1631,19,
1635,31,3611
1636,19,0
1637,19,0
1638,19,
1639,19,
1642,31,3604
1643,19,
1649,31,3627
1650,19,
1653,31,3499
1655,31,3499
1657,31,3499
1659,31,3499
1661,31,3499
1663,31,3499
1673,19,
1674,31,3658
1675,19,
1677,31,3520
1678,31,3608
1679,19,
1680,19,
1681,19,
1682,31,3664
1683,31,3657
1684,31,3657
1685,31,3657
1686,31,3657
1687,31,3657
1688,31,3657
1689,19,
1690,19,
1691,19,
1692,19,
1693,31,3165
1694,19,
1695,19,
1697,19,
1698,19,
1699,19,
1700,19,
1701,19,
1704,19,
1706,19,
1707,19,
1708,19,
1709,19,
1710,19,
1712,19,
1713,19,
1714,19,
1715,19,
1716,19,
1717,19,
1718,19,
1719,19,
1720,19,
1721,19,
1722,19,
1723,19,
1724,19,
1725,19,
1726,19,
1727,19,0
1728,19,0
1729,19,0
1730,19,0
1731,19,
1732,19,
1733,19,
1734,19,
1735,19,
1736,19,
1739,19,
1743,19,
1744,19,
1745,19,
1750,19,
1754,19,
1756,19,
1759,19,3812
1760,19,
1761,19,
1762,19,
1763,19,
1764,1,
1766,19,
1767,19,
1768,19,
1769,19,
1772,19,
1773,19,
1774,19,
1775,19,
1780,19,
1781,19,
1782,19,0
1783,19,
1786,19,
1787,19,
1788,31,3862
1791,31,3876
1792,19,
1793,31,3880
1794,19,
1797,19,
1799,19,0
1800,19,0
1803,19,
1806,19,
1808,31,3906
1809,31,3906
1812,19,
1813,19,
1814,19,
1815,19,0
1816,19,0
1817,19,
1820,31,3874
1826,19,
1827,31,3929
1828,31,3930
1829,31,3929
1830,31,3930
1831,19,
1832,19,
1833,31,3874
1836,31,3874
1838,19,
1839,31,3874
1841,31,3937
1844,31,3862
1845,19,
1846,19,
1847,19,
1848,19,
1849,19,
1850,31,4066
1851,31,4066
1852,31,4066
1854,31,4066
1856,31,4066
1857,31,4066
1858,31,4066
1859,31,3906
1863,31,3941
1864,31,3937
1865,31,3942
1866,19,
1867,19,
1868,19,
1869,31,3755
1872,31,3816
1873,19,
1874,19,
1875,31,3238
1876,19,
1877,19,
1878,19,
1879,19,0
1880,19,
1883,19,
1884,19,
1885,31,3958
1886,19,
1887,19,0
1888,19,
1889,19,
1890,19,
1891,19,
1892,1,
1895,19,
1896,31,3968
1897,19,
1898,19,
1899,31,3956
1900,19,
1901,19,
1902,19,
1903,19,
1904,31,3956
1905,31,3992
1906,19,
1907,19,
1910,19,
1912,19,
1914,19,
1916,19,
1917,19,
1918,31,3524
1919,19,
1920,19,
1921,19,
1922,19,
1923,19,
1925,19,0
1926,19,0
1927,19,0
1928,19,0
1929,19,0
1930,19,0
1931,19,0
1932,19,0
1934,19,
1935,19,0
1936,19,0
1937,19,0
1939,31,3862
1944,31,3862
1945,31,3862
1946,31,3961
1947,19,
1948,19,
1949,19,
1953,19,
1954,19,
1955,31,4066
1956,31,4066
1959,31,4010
1960,19,
1961,31,4010
1964,19,0
1965,19,
1967,19,
1968,31,4027
1970,19,
1971,19,
1972,19,
1973,31,4034
1974,31,4035
1975,19,
1977,31,4035
1979,31,888
1980,19,0
1981,19,0
1982,19,0
1984,19,
1986,19,
1987,19,
1988,19,
1990,31,4010
1991,19,
1994,19,
1995,31,4037
1996,19,
1997,31,4066
1998,31,4066
1999,31,4066
2000,31,4066
2001,31,4066
2002,31,4066
2003,31,4066
2004,31,4066
2005,31,4066
2006,31,4066
2007,31,4066
2008,31,4066
2009,31,4066
2010,31,4066
2011,31,4066
2012,31,4066
2013,31,4066
2014,31,4066
2015,31,4066
2016,31,4066
2017,31,4066
2018,31,4066
2019,31,4066
2020,31,4066
2021,31,4066
2022,31,4066
2023,31,4066
2039,19,
2040,31,4070
2041,19,
2042,19,
2043,19,
2047,31,4075
2050,31,4075
2051,19,
2052,31,4083
2053,31,4083
2054,31,4083
2055,31,4083
2056,31,4083
2057,31,4083
2058,31,4083
2059,31,4083
2061,31,4083
2062,31,4083
2063,31,4083
2064,31,4083
2065,31,4083
2066,31,4083
2067,31,4083
2068,31,4083
2069,31,4083
2070,31,4083
2071,31,4083
2072,31,4083
2073,31,4083
2074,31,4083
2075,31,4083
2076,31,4083
2077,19,
2078,31,4082
2079,31,3250
2083,31,3753
2084,31,4084
2085,31,3441
2086,19,
2087,19,
2088,19,
2089,19,
2090,19,
2091,19,
2092,31,4092
2093,31,4092
2094,31,4092
2095,31,4092
2096,31,4092
2097,31,4092
2098,31,4092
2099,31,4092
2100,31,4092
2101,19,
2102,19,
2103,19,
2104,19,
2109,1,
2110,19,
2111,19,
2112,19,
2113,19,
2114,31,4099
2115,19,
2117,19,
2118,19,
2119,19,
2122,19,
2123,31,4041
2125,31,1082
2126,19,
2134,19,
2135,19,
2137,31,4140
2138,31,4140
2139,31,4141
2140,31,4141
2141,31,4141
2143,31,4141
2145,19,
2146,19,
2148,31,4141
2150,19,0
2151,19,
2152,19,
2153,19,
2154,19,
2155,19,
2156,19,
2157,19,
2158,19,
2159,31,4148
2161,19,0
2162,19,0
2163,31,4163
2166,31,4164
2167,31,4148
2168,19,
2171,19,
2172,19,
2173,19,
2174,83,
2175,31,4175
2176,19,
2177,31,4174
2178,31,4174
2179,31,4174
2181,31,4176
2182,31,4177
2183,31,4177
2184,31,4177
2186,31,4177
2188,19,
2189,31,4177
2190,31,4174
2191,31,4177
2192,31,4177
2195,19,
2201,31,4248
2202,19,
2203,19,
2205,19,
2207,19,
2210,19,
2211,19,0
2212,19,
2216,31,4261
2218,19,
2219,19,0
2221,31,4266
2222,19,
2223,19,
2224,19,0
2227,31,4253
2228,19,
2229,19,
2231,31,4282
2232,19,
2233,19,4283
2234,19,4284
2235,19,4285
2236,19,
2237,19,
2238,31,4286
2239,31,4141
2240,31,4141
2241,31,4141
2242,31,4141
2244,31,4141
2245,31,4141
2246,31,4141
2248,19,
2249,31,4277
2250,31,4304
2251,31,4304
2252,31,4304
2253,19,
2254,19,
2255,19,
2258,19,
2259,19,
2260,19,
2262,31,4313
2263,31,4314
2265,19,4261
2266,19,
2267,19,
2268,19,
2269,19,0
2270,19,0
2271,19,
2272,19,0
2273,31,4330
2275,19,
2277,19,0
2278,19,0
2279,19,0
2280,31,1001
2281,19,
2282,19,0
2283,31,4364
2284,19,
2285,31,4354
2286,19,0
2288,104,
2289,19,
2290,19,
2291,19,
2292,19,0
2293,19,
2295,19,
2296,19,0
2297,19,
2298,31,4379
2299,19,
2300,31,4380
2301,19,
2302,19,
2303,19,
2304,19,
2306,19,
2307,19,
2309,19,0
2312,19,
2313,31,4416
2314,19,0
2316,19,
2317,19,
2318,19,
2319,19,
2322,19,
2323,19,
2325,19,
2328,31,4416
2329,19,
2331,19,
2334,19,
2335,19,
2338,31,4475
2340,19,
2346,19,0
2347,19,
2348,19,0
2349,19,0
2350,19,0
2351,19,0
2352,31,4479
2354,19,
2355,31,4485
2359,19,
2361,19,
2364,19,
2365,19,0
2366,19,
2367,31,4491
2368,31,4492
2371,31,4495
2372,31,4416
2374,19,0
2375,19,0
2376,19,0
2377,19,
2378,19,
2379,19,0
2380,19,
2381,19,0
2382,19,
2383,19,
2384,19,
2385,19,
2386,19,0
2387,19,0
2391,19,
2392,31,4508
2394,19,
2395,19,2051
2396,19,4510
2397,31,4511
2399,31,3165
2400,19,
2401,19,
2403,19,
2405,31,4528
2407,19,4528
2408,19,4525
2409,19,4527
2410,31,1556
2412,19,
2415,19,
2416,19,
2417,19,
2419,19,
2420,19,
2421,19,
2422,31,4475
2424,19,
2425,31,371
2427,31,4587
2428,31,4587
2429,19,
2430,19,
2431,19,0
2432,19,0
2433,19,0
2434,19,0
2435,19,0
2436,19,
2438,31,3250
2441,19,
2443,19,
2444,19,
2445,19,
2446,19,
2450,31,4595
2451,19,0
2453,19,
2454,1,
2456,31,4622
2458,31,3874
2459,31,3874
2461,31,4624
2466,31,4626
2467,31,4629
2468,19,
2469,31,4141
2470,19,
2472,19,
2476,19,
2477,19,
2478,19,
2479,19,
2481,19,0
2482,19,
2484,19,
2485,31,3598
2487,31,4728
2488,31,4728
2489,31,4728
2491,19,0
2492,31,4765
2494,19,
2495,19,
2496,19,
2498,19,
2501,31,4728
2502,31,4874
2503,19,
2504,19,
2505,19,0
2506,19,0
2507,19,0
2508,19,
2509,19,
2510,19,
2511,19,
2512,19,
2513,19,
2514,19,
2517,19,
2518,19,
2519,19,
2520,19,
2521,31,1638
2525,19,
2526,19,
2528,19,
2529,19,
2530,19,
2531,19,
2532,19,0
2533,19,0
2534,19,0
2535,19,
2536,19,0
2537,19,0
2538,19,
2540,31,4908
2541,19,
2545,31,4912
2546,31,4913
2547,31,4913
2548,31,4914
2550,31,4148
2551,19,
2553,31,4495
2555,19,
2556,19,
2559,19,
2560,31,4004
2561,31,3251
2562,19,
2563,19,
2564,19,
2565,19,
2566,19,
2567,19,
2568,19,
2569,19,
2570,19,
2571,19,
2572,19,
2574,31,4495
2575,19,
2577,31,4932
2578,31,4504
2579,19,
2580,19,
2581,19,
2582,19,
2583,19,0
2584,31,2993
2586,31,4496
2587,19,
2588,19,
2589,19,
2591,19,
2592,19,
2593,19,
2594,19,0
2595,19,
2596,19,
2597,19,
2598,19,
2599,19,
2602,31,3238
2603,31,4176
2606,31,3558
2607,31,1745
2608,19,0
2609,31,3849
2611,19,
2612,76,
2613,76,
2614,76,
2615,76,
2616,76,
2618,19,
2619,19,0
2620,19,
2621,19,0
2622,31,5007
2623,19,
2624,19,0
2625,19,0
2626,19,
2627,19,
2628,19,
2629,19,
2630,19,
2631,19,
2632,19,
2633,19,
2635,19,
2639,19,
2640,19,
2643,19,
2644,19,
2646,19,
2647,19,
2648,31,5022
2650,19,
2652,31,5008
2653,31,5008
2654,31,5009
2655,31,3251
2656,31,5013
2657,19,
2658,19,0
2660,19,0
2661,19,0
2662,19,0
2663,19,0
2664,31,5016
2665,1,
2666,31,5017
2667,19,
2668,31,3251
2669,19,
2670,31,5020
2671,31,5021
2672,19,
2673,19,
2674,19,5026
2676,31,5037
2679,19,
2680,31,5022
2681,31,5049
2682,31,3251
2683,31,5080
2686,31,5013
2687,31,5013
2688,31,5037
2689,19,
2690,19,
2691,31,5076
2692,19,
2693,19,
2694,31,5060
2695,19,
2697,19,
2699,19,
2700,19,
2701,31,5081
2702,19,
2703,31,5082
2705,31,5082
2706,31,5082
2707,19,
2708,31,5082
2709,19,
2710,19,
2711,31,5087
2712,19,
2713,19,
2714,19,
2716,31,5092
2717,31,5093
2718,19,
2719,19,
2720,19,
2721,19,
2722,19,
2723,19,
2724,19,
2727,31,3251
2728,31,5013
2730,31,5013
2735,31,5103
2737,31,5104
2738,31,5105
2739,31,5106
2740,31,5107
2741,31,2836
2750,31,1510
2751,31,5109
2752,31,5110
2754,31,1704
2756,31,5111
2766,31,5115
2768,31,5125
2770,31,5126
2771,19,
2773,19,
2774,31,5126
2775,31,5126
2776,31,5126
2777,31,5126
2778,31,5126
2779,31,5126
2780,31,5151
2781,31,5126
2782,31,5126
2783,31,5126
2784,31,5126
2785,31,5126
2786,31,5144
2787,19,0
2788,105,
2790,31,5149
2791,31,5150
2793,31,5153
2794,31,5154
2795,31,5155
2797,31,4141
2798,31,4141
2799,31,4141
2801,31,5187
2805,31,5159
2806,31,5162
2812,31,5167
2813,31,5167
2815,19,
2817,31,5177
2818,19,
2825,19,0
2831,31,5184
2832,19,0
2833,31,5163
2834,31,5188
2835,19,0
2836,19,0
2837,31,5189
2838,31,5190
2839,31,5125
2840,31,5125
2841,31,5195
2843,31,5197
2845,31,5198
2846,19,0
2847,19,
2848,19,
2849,19,
2850,19,
2851,19,
2853,31,5244
2855,19,
2856,19,0
2857,19,
2858,31,5255
2859,31,5256
2860,31,5251
2864,31,5158
2865,31,5166
2867,31,5109
2868,31,5111
2870,31,5266
2875,19,
2876,19,
2878,31,5277
2879,19,0
2881,31,5283
2883,31,5285
2884,19,
2885,19,
2887,31,5951
2889,31,5286
2892,19,
2893,19,
2894,19,
2895,19,
2896,31,5292
2898,31,5284
2901,19,
2902,19,
2903,20,
2904,19,
2905,19,
2906,19,
2908,31,5879
2909,31,4622
2911,31,3228
2914,31,5311
2915,31,5284
2916,19,
2917,31,5284
2919,83,
2920,31,5322
2921,19,
2924,31,5325
2927,19,
2928,19,
2929,19,
2930,19,
2932,19,
2933,31,5183
2937,31,5329
2938,31,5330
2939,19,
2940,19,
2944,31,5339
2945,19,
2947,31,5335
2957,31,5344
2958,19,
2959,31,5346
2960,31,4253
2963,31,5349
2964,31,5349
2965,31,5349
2966,31,5349
2967,19,
2969,19,
2970,31,5352
2971,31,4141
2973,19,
2974,31,5353
2975,31,5354
2976,19,
2977,19,
2978,31,5356
2979,19,
2980,31,5357
2981,31,5358
2982,19,
2983,31,5360
2984,19,
2985,31,5362
2986,19,
2987,31,5363
2989,1,
2990,31,5368
2993,19,
2995,31,5366
2996,31,5351
2997,19,
2998,31,5370
2999,31,5371
3000,19,
3001,31,5374
3004,31,5353
3005,19,
3007,19,
3008,31,5383
3010,31,5388
3011,31,5361
3012,31,5361
3013,31,5361
3015,31,5361
3017,31,5361
3018,31,5361
3019,31,5361
3020,31,5361
3021,31,5361
3022,31,5361
3023,31,5361
3024,31,5361
3025,31,5361
3026,31,5361
3027,31,5361
3028,31,5361
3029,31,5361
3030,31,5361
3031,31,5361
3032,31,5361
3033,19,
3034,31,5383
3035,31,5383
3036,31,5394
3037,19,
3039,19,
3040,31,5394
3042,19,
3043,31,3598
3044,19,
3045,31,5421
3046,19,
3047,19,
3048,19,0
3049,19,0
3050,19,0
3051,19,0
3052,19,0
3053,19,
3056,31,5440
3057,31,5440
3058,31,5440
3059,31,5440
3060,31,5440
3061,31,5440
3062,31,5446
3063,31,5446
3064,31,5446
3065,31,5446
3067,31,5441
3068,19,
3069,19,0
3070,31,5447
3071,31,5447
3072,1,
3074,19,0
3076,31,5350
3077,31,5394
3078,19,0
3079,19,
3081,31,5339
3083,31,5514
3085,31,5367
3090,31,5525
3094,19,
3096,31,5529
3098,31,5528
3101,19,
3103,19,
3104,19,0
3105,31,5532
3111,19,
3113,19,0
3116,31,5548
3117,19,0
3118,31,5552
3121,19,
3122,31,2888
3124,31,5575
3125,31,5552
3127,19,
3128,31,5598
