id,hair_diffuse_color_r,hair_diffuse_color_g,hair_diffuse_color_b,model_id,hair_material,comment,asset_id,hair_base_color_r,hair_base_color_g,hair_base_color_b,npc_only
110,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair016\el_f_hair016_hc01.mtl,custom01,12367,66,58,50,f
111,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair017\el_f_hair017_hc01.mtl,custom01,12368,66,58,50,f
112,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair018\el_f_hair018_hc01.mtl,custom01,12369,66,58,50,f
113,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair019\el_f_hair019_hc01.mtl,custom01,12370,66,58,50,f
114,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair020\el_f_hair020_hc01.mtl,custom01,12371,66,58,50,f
115,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair021\el_f_hair021_hc01.mtl,custom01,12831,66,58,50,f
116,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair022\el_f_hair022_hc01.mtl,custom01,12830,66,58,50,f
117,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair001\ha_m_hair001_hc01.mtl,custom01,12599,66,58,50,f
118,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair002\ha_m_hair002_hc01.mtl,custom01,12600,66,58,50,f
119,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair003\ha_m_hair003_hc01.mtl,custom01,10386,66,58,50,f
120,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair004\ha_m_hair004_hc01.mtl,custom01,10228,66,58,50,f
121,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair005\ha_m_hair005_hc01.mtl,custom01,10229,66,58,50,f
122,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair006\ha_m_hair006_hc01.mtl,custom01,10230,66,58,50,f
123,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair007\ha_m_hair007_hc01.mtl,custom01,10231,66,58,50,f
124,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair008\ha_m_hair008_hc01.mtl,custom01,10232,66,58,50,f
125,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair009\ha_m_hair009_hc01.mtl,custom01,10233,66,58,50,f
126,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair010\ha_m_hair010_hc01.mtl,custom01,10234,66,58,50,f
127,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair012\ha_m_hair012_hc01.mtl,custom01,10481,66,58,50,f
128,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair013\ha_m_hair013_hc01.mtl,custom01,10487,66,58,50,f
129,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair014\ha_m_hair014_hc01.mtl,custom01,10491,66,58,50,f
130,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair015\ha_m_hair015_hc01.mtl,custom01,10495,66,58,50,f
131,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair016\ha_m_hair016_hc01.mtl,custom01,12601,66,58,50,f
132,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair017\ha_m_hair017_hc01.mtl,custom01,12602,66,58,50,f
133,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair018\ha_m_hair018_hc01.mtl,custom01,12603,66,58,50,f
134,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair019\ha_m_hair019_hc01.mtl,custom01,12824,66,58,50,f
135,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair001\ha_f_hair001_hc01.mtl,custom01,10207,66,58,50,f
136,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair002\ha_f_hair002_hc01.mtl,custom01,10208,66,58,50,f
137,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair003\ha_f_hair003_hc01.mtl,custom01,10186,66,58,50,f
138,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair004\ha_f_hair004_hc01.mtl,custom01,10209,66,58,50,f
139,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair005\ha_f_hair005_hc01.mtl,custom01,10250,66,58,50,f
140,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair006\ha_f_hair006_hc01.mtl,custom01,10184,66,58,50,f
141,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair007\ha_f_hair007_hc01.mtl,custom01,10183,66,58,50,f
142,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair008\ha_f_hair008_hc01.mtl,custom01,10185,66,58,50,f
143,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair009\ha_f_hair009_hc01.mtl,custom01,10187,66,58,50,f
144,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair010\ha_f_hair010_hc01.mtl,custom01,10188,66,58,50,f
145,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair011\ha_f_hair011_hc01.mtl,custom01,10189,66,58,50,f
146,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair012\ha_f_hair012_hc01.mtl,custom01,10190,66,58,50,f
147,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair015\ha_f_hair015_hc01.mtl,custom01,12087,66,58,50,f
148,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair016\ha_f_hair016_hc01.mtl,custom01,12088,66,58,50,f
149,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair017\ha_f_hair017_hc01.mtl,custom01,12596,66,58,50,f
150,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair018\ha_f_hair018_hc01.mtl,custom01,12084,66,58,50,f
151,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair019\ha_f_hair019_hc01.mtl,custom01,12085,66,58,50,f
152,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair020\ha_f_hair020_hc01.mtl,custom01,12597,66,58,50,f
153,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair021\ha_f_hair021_hc01.mtl,custom01,12598,66,58,50,f
154,0,0,0,19,objects\Characters\hariharan\female\hair\ha_f_hair022\ha_f_hair022_hc01.mtl,custom01,12832,66,58,50,f
155,0,0,0,20,objects\Characters\ferre\male\hair\fe_m_hair01\fe_m_hair01_hc01.mtl,custom01,704,66,58,50,f
156,0,0,0,20,objects\Characters\ferre\male\hair\fe_m_hair02\fe_m_hair02_hc01.mtl,custom01,861,66,58,50,f
159,0,0,0,20,objects\Characters\ferre\male\hair\fe_m_hair03\fe_m_hair03_hc01.mtl,custom01,3250,66,58,50,f
160,0,0,0,20,objects\Characters\ferre\male\hair\fe_m_hair04\fe_m_hair04_hc01.mtl,custom01,10240,66,58,50,f
161,0,0,0,20,objects\Characters\ferre\male\hair\fe_m_hair05\fe_m_hair05_hc01.mtl,custom01,12590,66,58,50,f
162,0,0,0,20,objects\Characters\ferre\male\hair\fe_m_hair06\fe_m_hair06_hc01.mtl,custom01,12589,66,58,50,f
163,0,0,0,20,objects\Characters\ferre\male\hair\fe_m_hair07\fe_m_hair07_hc01.mtl,custom01,12588,66,58,50,f
164,0,0,0,20,objects\Characters\ferre\male\hair\fe_m_hair08\fe_m_hair08_hc01.mtl,custom01,12587,66,58,50,f
165,0,0,0,20,objects\Characters\ferre\male\hair\fe_m_hair09\fe_m_hair09_hc01.mtl,custom01,12586,66,58,50,f
166,0,0,0,20,objects\Characters\ferre\male\hair\fe_m_hair10\fe_m_hair10_hc01.mtl,custom01,14436,66,58,50,f
167,0,0,0,21,objects\Characters\ferre\female\hair\fe_f_hair01\fe_f_hair01_hc01.mtl,custom01,120,66,58,50,f
168,0,0,0,21,objects\Characters\ferre\female\hair\fe_f_hair02\fe_f_hair02_hc01.mtl,custom01,288,66,58,50,f
169,0,0,0,21,objects\Characters\ferre\female\hair\fe_f_hair03\fe_f_hair03_hc01.mtl,custom01,4369,66,58,50,f
170,0,0,0,21,objects\Characters\ferre\female\hair\fe_f_hair04\fe_f_hair04_hc01.mtl,custom01,10235,66,58,50,f
171,0,0,0,21,objects\Characters\ferre\female\hair\fe_f_hair05\fe_f_hair05_hc01.mtl,custom01,10236,66,58,50,f
172,0,0,0,21,objects\Characters\ferre\female\hair\fe_f_hair06\fe_f_hair06_hc01.mtl,custom01,10237,66,58,50,f
173,0,0,0,21,objects\Characters\ferre\female\hair\fe_f_hair07\fe_f_hair07_hc01.mtl,custom01,10238,66,58,50,f
174,0,0,0,21,objects\Characters\ferre\female\hair\fe_f_hair08\fe_f_hair08_hc01.mtl,custom01,12583,66,58,50,f
175,0,0,0,21,objects\Characters\ferre\female\hair\fe_f_hair09\fe_f_hair09_hc01.mtl,custom01,12373,66,58,50,f
176,0,0,0,21,objects\Characters\ferre\female\hair\fe_f_hair10\fe_f_hair10_hc01.mtl,custom01,12374,66,58,50,f
177,0,0,0,21,objects\Characters\ferre\female\hair\fe_f_hair11\fe_f_hair11_hc01.mtl,custom01,12375,66,58,50,f
178,0,0,0,21,objects\Characters\ferre\female\hair\fe_f_hair12\fe_f_hair12_hc01.mtl,custom01,12376,66,58,50,f
179,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair001\nu_m_hair001_hc02.mtl,custom02,11879,41,47,53,f
180,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair002\nu_m_hair002_hc02.mtl,custom02,12595,41,47,53,f
181,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair005\nu_m_hair005_hc02.mtl,custom02,10221,41,47,53,f
182,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair006\nu_m_hair006_hc02.mtl,custom02,10222,41,47,53,f
183,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair007\nu_m_hair007_hc02.mtl,custom02,10223,41,47,53,f
184,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair008\nu_m_hair008_hc02.mtl,custom02,10224,41,47,53,f
185,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair009\nu_m_hair009_hc02.mtl,custom02,10225,41,47,53,f
186,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair010\nu_m_hair010_hc02.mtl,custom02,10226,41,47,53,f
187,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair011\nu_m_hair011_hc02.mtl,custom02,10227,41,47,53,f
188,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair012\nu_m_hair012_hc02.mtl,custom02,10463,41,47,53,f
189,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair013\nu_m_hair013_hc02.mtl,custom02,10468,41,47,53,f
190,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair014\nu_m_hair014_hc02.mtl,custom02,10517,41,47,53,f
191,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair015\nu_m_hair015_hc02.mtl,custom02,10518,41,47,53,f
192,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair016\nu_m_hair016_hc02.mtl,custom02,12594,41,47,53,f
193,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair017\nu_m_hair017_hc02.mtl,custom02,12593,41,47,53,f
194,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair018\nu_m_hair018_hc02.mtl,custom02,12592,41,47,53,f
195,0,0,0,10,objects\Characters\nuian\male\hair\nu_m_hair019\nu_m_hair019_hc02.mtl,custom02,12823,41,47,53,f
196,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair001\nu_f_hair001_hc02.mtl,custom02,10175,41,47,53,f
197,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair002\nu_f_hair002_hc02.mtl,custom02,10176,41,47,53,f
198,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair004\nu_f_hair004_hc02.mtl,custom02,10203,41,47,53,f
199,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair005\nu_f_hair005_hc02.mtl,custom02,10204,41,47,53,f
200,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair006\nu_f_hair006_hc02.mtl,custom02,10205,41,47,53,f
201,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair007\nu_f_hair007_hc02.mtl,custom02,10177,41,47,53,f
202,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair008\nu_f_hair008_hc02.mtl,custom02,10178,41,47,53,f
203,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair009\nu_f_hair009_hc02.mtl,custom02,10179,41,47,53,f
204,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair010\nu_f_hair010_hc02.mtl,custom02,10180,41,47,53,f
205,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair011\nu_f_hair011_hc02.mtl,custom02,10181,41,47,53,f
206,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair012\nu_f_hair012_hc02.mtl,custom02,10182,41,47,53,f
207,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair013\nu_f_hair013_hc02.mtl,custom02,10206,41,47,53,f
208,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair015\nu_f_hair015_hc02.mtl,custom02,14081,41,47,53,f
209,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair016\nu_f_hair016_hc02.mtl,custom02,12837,41,47,53,f
210,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair017\nu_f_hair017_hc02.mtl,custom02,12377,41,47,53,f
211,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair018\nu_f_hair018_hc02.mtl,custom02,12836,41,47,53,f
212,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair019\nu_f_hair019_hc02.mtl,custom02,12835,41,47,53,f
213,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair020\nu_f_hair020_hc02.mtl,custom02,12834,41,47,53,f
214,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair021\nu_f_hair021_hc02.mtl,custom02,12833,41,47,53,f
215,0,0,0,11,objects\Characters\nuian\female\hair\nu_f_hair022\nu_f_hair022_hc02.mtl,custom02,12857,41,47,53,f
216,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair001\el_m_hair001_hc02.mtl,custom02,12838,41,47,53,f
217,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair002\el_m_hair002_hc02.mtl,custom02,12829,41,47,53,f
218,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair004\el_m_hair004_hc02.mtl,custom02,10249,41,47,53,f
219,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair005\el_m_hair005_hc02.mtl,custom02,10243,41,47,53,f
220,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair006\el_m_hair006_hc02.mtl,custom02,10244,41,47,53,f
221,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair007\el_m_hair007_hc02.mtl,custom02,10245,41,47,53,f
222,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair008\el_m_hair008_hc02.mtl,custom02,10246,41,47,53,f
223,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair009\el_m_hair009_hc02.mtl,custom02,10247,41,47,53,f
224,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair010\el_m_hair010_hc02.mtl,custom02,10248,41,47,53,f
225,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair016\el_m_hair016_hc02.mtl,custom02,12828,41,47,53,f
226,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair017\el_m_hair017_hc02.mtl,custom02,12827,41,47,53,f
227,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair018\el_m_hair018_hc02.mtl,custom02,12826,41,47,53,f
228,0,0,0,16,objects\Characters\elf\male\hair\el_m_hair019\el_m_hair019_hc02.mtl,custom02,12825,41,47,53,f
229,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair001\el_f_hair001_hc02.mtl,custom02,10191,41,47,53,f
230,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair002\el_f_hair002_hc02.mtl,custom02,10192,41,47,53,f
231,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair003\el_f_hair003_hc02.mtl,custom02,10193,41,47,53,f
232,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair004\el_f_hair004_hc02.mtl,custom02,10194,41,47,53,f
233,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair005\el_f_hair005_hc02.mtl,custom02,10195,41,47,53,f
234,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair006\el_f_hair006_hc02.mtl,custom02,10196,41,47,53,f
235,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair007\el_f_hair007_hc02.mtl,custom02,10197,41,47,53,f
236,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair008\el_f_hair008_hc02.mtl,custom02,10198,41,47,53,f
237,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair009\el_f_hair009_hc02.mtl,custom02,10199,41,47,53,f
238,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair010\el_f_hair010_hc02.mtl,custom02,10201,41,47,53,f
239,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair011\el_f_hair011_hc02.mtl,custom02,10200,41,47,53,f
240,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair012\el_f_hair012_hc02.mtl,custom02,10202,41,47,53,f
241,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair015\el_f_hair015_hc02.mtl,custom02,12366,41,47,53,f
242,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair016\el_f_hair016_hc02.mtl,custom02,12367,41,47,53,f
243,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair017\el_f_hair017_hc02.mtl,custom02,12368,41,47,53,f
244,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair018\el_f_hair018_hc02.mtl,custom02,12369,41,47,53,f
245,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair019\el_f_hair019_hc02.mtl,custom02,12370,41,47,53,f
246,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair020\el_f_hair020_hc02.mtl,custom02,12371,41,47,53,f
247,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair021\el_f_hair021_hc02.mtl,custom02,12831,41,47,53,f
248,0,0,0,17,objects\Characters\elf\female\hair\el_f_hair022\el_f_hair022_hc02.mtl,custom02,12830,41,47,53,f
249,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair001\ha_m_hair001_hc02.mtl,custom02,12599,41,47,53,f
250,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair002\ha_m_hair002_hc02.mtl,custom02,12600,41,47,53,f
251,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair003\ha_m_hair003_hc02.mtl,custom02,10386,41,47,53,f
252,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair004\ha_m_hair004_hc02.mtl,custom02,10228,41,47,53,f
253,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair005\ha_m_hair005_hc02.mtl,custom02,10229,41,47,53,f
254,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair006\ha_m_hair006_hc02.mtl,custom02,10230,41,47,53,f
255,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair007\ha_m_hair007_hc02.mtl,custom02,10231,41,47,53,f
256,0,0,0,18,objects\Characters\hariharan\male\hair\ha_m_hair008\ha_m_hair008_hc02.mtl,custom02,10232,41,47,53,f
