id,bubble,ai_event_id
181,으켈켈켈켈!!,137
208,건들지 마!,139
221,...,140
222,누온들을 만나보고 싶어요. 그들은 정말 사라진 걸까요?,141
231,"어휴, 이번에는 공을 좀 세워야 할텐데.",144
232,거울을 통과해보십시오. 수련의 탑 최상층으로 이동할 수 있습니다.,145
233,적들에게 죽음을.,146
243,이 감옥에서 걸어서 나간 자는 없었지. 모두 편안하게 눈을 감고 누워서 나가더군. 하하하.,148
244,요즘 건강이 좋지 않아서 아내에게 대신 일 처리를 맡기고 있습니다. 중요한 일은 이렌과 상의하시오.,149
245,던컨 위어드윈드 님과 전장을 누비던 때가 그립군요. 그분은 차가 식기 전에 적의 목을 베고 오셨죠.,150
246,마리아노플에서는 편안히 지내셔도 됩니다. 우리 위어드윈드 가문이 철통같이 지키고 있으니까요.,151
247,마리안 위어드윈드 님과 티베리온 님은 정말 잘 어울린다니까. 두 분이 결혼하면 내가 시중을 들 수 있겠지?,152
248,청소를 하는 것도 내 몸을 단련시키는 것이지. 나도 토벌대에 끼워달라고 할까.,153
249,어디로 모실까요?,154
250,위대한 전사는 언제나 위어드윈드 가문에서 탄생했다오.,155
255,"내 다리를 이렇게 만든 놈, 잡히기만 해봐라.",158
259,"누이아 최고의 극단, 오스카 극단의 멋진 공연으로 당신을 초대하겠소. 그래, 돈은 가지고 왔소?",160
263,감히 마리안 트리스테 따위와 날 비교해?,163
264,티르손 님의 이름을 외치는 유령이라면 혹시 그때 그 소문이 사실일까?,164
265,저기 정원에서 유령을 불러냈다는 소문이 있던데...,165
268,"티베리온 님, 나와 함께 춤을 추던 순간을 잊지 못하시는 거죠?",167
271,"어휴, 속상해.",168
272,"공연이 취소된 건 내 잘못이 아니잖아. 아니야, 내가 다 잘못했어.",169
274,저리 가시오. 나는 비고 노르예트 님이 주신 임무를 수행 중이오.,170
281,숲의 모습도 머리에 새겨넣을 수 있을까?,176
282,기억술은 참 어려워요.,177
283,그들은 어디로 갔을까?,178
287,이상한 일이 진행되고 있는 것 같아.,181
295,...,184
296,누군가 내 위치를 알려주었군.,185
298,...,187
300,...,188
301,...,189
302,...,190
303,...,191
304,조상신께서 제게 말을 걸려 하십니다...,192
305,무슨 일이시오?,193
306,결투를 통한 명예로운 죽음이야말로 삶의 행복이랄까요?,194
309,...,195
311,...,197
324,어떤 씨앗을 심으면 콩나무가 하늘까지 자란다고 하더군요. 그 씨앗은 비싸겠죠?,206
334,사랑해요.,210
335,그녀는 언제 올까...,211
343,뒤에 있는 터는 하우징 영역입니다. 릴리엇 초원과 솔즈리드 반도가 코 앞인데 사지 아니하겠는가?,215
344,[이힣힣],216
345,경비대장 글렌이 나한테 말을 담당하라고 맡겼는데 잠시 조는 사이에 다 풀려났어! 바닷 바람을 좋아하니까 바다 옆의 초원에 있지 않을까? 난 여기 지켜야하는데... ,217
346,모래 칼바람이 자꾸 밀려와 농사 짓기 여간 어려운 게 아니오. 어딜 가나 환경 오염이 문제이지 않겠소?,218
347,"뭐가 또 먹고 싶은가, 우리 귀여우신 분은? 이 마가렛의 주머니엔 음식이라면 뭐든지 있지.",219
348,솜씨라면 내가 제일이지!,220
349,제가 생각하기에는 나무만큼 쓸 데가 많은 물건은 없는 것 같아요.,221
350,묻혀 있는 광석은 돌일 뿐이죠. 오직 땀과 노력으로 캐낸 것 만이 진정한 가치가 있습니다.,222
351,경비병이고 인부고 마음에 들게 일하는 사람이 없어요.,223
352,"에구구, 허리야.... 아, 안녕하세요.",224
353,뭘 갖고 있소?,225
354,척척 파들어가지는 땅을 보면 땀이 흐르는 것도 잊게 되죠.,226
355,쉿! 지금 거인들의 울음소리가 들리지 않았나요?,227
356,"부어라, 마셔라! 마시는 것만이 낙이지, 친구.",228
357,장로님 거처는 신전 옆이에요. 요즘 근심이 많으신듯 싶어요.,229
359,어서와요~,231
360,우리 마을은 예전부터 어촌이였다네... 농산물 채집할게 별로 없어,232
361,요즘 로이스터 야영지 근처에 말들이 풀려 돌아다닌다면서요? 대체 말 관리를 어떻게 하는건지...,233
362,잇힝~,234
363,요즘 들소 사냥 시즌이야.,235
364,뭘 고쳐다 드릴까요?,236
366,나도 내가 무슨 말을 하는지 몰라. 주절 주절,237
367,우린 아마 안될거야...,238
370,그 곳에 자네도 가겠나?,240
371,뭔가 특별한 광석을 보신 분? 그런 분 없습니까?,241
375,검은 수염 도적단이 이쪽에 발을 못 붙이게끔 정찰 도는 것이 우리 임무야. 이쪽도 버거운데 해안쪽 초원에 있는 도적단은 아예 손도 못대고 있어.,242
377,뭘 원하냐.,243
378,세상에서 제일 중요한 건 돈이죠.,244
379,"당신의 소중한 자산, 안전하게 관리해드립니다.",245
381,시간이 날 때마다 들려서 물건을 찾아보시죠. 혹시 압니까? 괜찮은 물건을 저렴하게 살 수 있을지...,246
382,누이 여신님께서 당신을 지켜주실 겁니다.,247
383,언제나 중심을 지켜야 합니다.,248
384,길드와 관련된 업무는 나에게 문의하십시오.,249
385,어떤 일이 있어도 내 편이 되어주는 건 가족밖에 없답니다.,250
388,마리아노플에 오셨다면 부유선 타는 경험을 빼놓을 수 없죠. 잊지 말고 꼭 탑승해 보십시오.,252
389,신분증 좀 봅시다.,253
390,이 문을 지나면 이즈나로 갈 수 있습니다.,254
391,남쪽의 아름다운 해변에 해적들이 출현해서 걱정입니다.,255
396,출판업자를 찾아가는 중이에요.,260
398,"저 별은 나의 별, 저 별은 너의 별",261
399,무슨 볼일이시오?,262
400,트리스테 가문은 예술에 많은 투자를 하고 있습니다.,263
401,하인으로 일하시려고? 세 가문 중에 트리스테의 보수가 제일 좋다오.,264
402,잠깐 나 좀 봅시다.,265
404,강해지고 싶은가?,267
405,가랑돌 평원에서 도움 요청이 왔습니다.,268
406,좋은 종마를 가지셨군요~ 멋진 갑옷으로 꾸며보는건 어떠세요?,269
407,메에에에에~,270
454,"헬로, 마이 프랜드. 스테이 어 와일 엔드 리슨!",271
455,"헬로, 마이 프랜드. 스테이 어 와일 엔드 리슨!",272
456,"헬로, 마이 프랜드. 스테이 어 와일 엔드 리슨!",273
459,"헬로, 마이 프랜드. 스테이 어 와일 엔드 리슨!",275
463,"헬로, 마이 프랜드. 스테이 어 와일 엔드 리슨!",276
470,"헬로, 마이 프랜드. 스테이 어 와일 엔드 리슨!",278
471,"헬로, 마이 프랜드. 스테이 어 와일 엔드 리슨!",279
477,무슨 일이지?,280
491,나의 집에서 썩 물러나라!,281
492,일손이 부족했던 참인데 감시 임무를 맡아 수행해볼 생각은 없소?,282
494,"아휴, 바쁘다 바빠.",284
495,열심히 보초를 서고 있습니다. 믿어주십시오.,285
496,뭐가 수상한 냄새가 나. 당신은 무슨 일인가요?,286
497,저기 좀 보세요. 저렇게 악마에게 홀린 사람들이 잔뜩이에요.,287
498,이 땅을 차지할 때까지 이 전쟁을 멈추지 말라!,288
499,살리움의 땅을 지켜라! 절대로 내어주지 말라!,289
500,제발 살려주세요...,290
504,딸꾹..! 히익! 딸꾹!,292
505,시간도 얼마 없는데 왜 이렇게 검문소에서 시간을 끄는 건지 답답해 죽겠습니다!,293
506,오늘 따라 검문소에 사람이 너무 많은 것 같아요!,294
507,드디어 고향에 돌아왔습니다! 제 고향은 오스테라입니다.,295
508,10년 만에 고향에 돌아왔어요! 오스테라는 어떻게 변했을까요?,296
509,드디어 고향에 돌아왔습니다! 제 고향은 햇무리 마을입니다.,297
512,"아이고, 허리야...",299
516,솔즈리언의 문의 전설에 대해 들어보셨습니까?,300
523,이 동네 숲은 정말 그위오니드 숲과 다른 느낌이군.,303
528,...,305
529,우리 종족에 변화의 바람이 불고 있습니다. 당신도 느껴지십니까?,306
538,무엇을 찾고 있나?,307
544,야옹,309
552,좋은 매물이 많이 있습니다.,315
556,<공간 이동서>로 공간의 문을 열면 산 자든 죽은 자든 순식간에 기억해둔 장소로 돌아갈 수 있어요. 하지만 <공간의 문>을 이용할 수 없는 적이 <공간의 문>을 부술수도 있으니 조심해야 해요.,316
557,조금 후에 곧 역마차가 도착합니다.,317
559,듀?,319
560,그분께서 곧 오실 것이다~,320
562,히익! 깜짝이야! 무슨 일이시길래 인기척도 없이 오시오?,321
563,아악! 무슨 일이십니까...전 아무것도 못 봤습니다. 그저 여길 떠나고 싶을 뿐...,322
564,누구냐! 내 계획을 방해하러 온 것이냐!,323
565,믿을 수 없어! 그건 사실이 아니야!,324
566,너희들은 아직 준비가 안 됐어. 더 악독해지란 말이다.,325
567,난 반드시 피 묻은 손의 일원이 되겠어.,326
568,여긴 너무 위험해요! 도망쳐요!,327
569,누구세요?,328
570,히이이이잉!,329
573,밤에는 가능하면 이 근처에 오지 않는게 좋을 겁니다. 아주아주 끔찍한 광경을 보게 될 수 있습니다.,330
574,용암에는 온갖 광석이 녹아있지! 잘만 하면 뭐든 뽑아낼 수 있다네.,331
575,죽음의 길이 이리도 험한 줄 알았더라면 삶을 위해 좀 더 노력했을 것을...,332
576,흑흑! 무서워요.,333
577,누가 불탄 성으로 들어오려 하는가...,334
578,아직 아무 이상 없습니다! 아직은요.,335
579,난 배신자가 아니야!,336
584,[인터렉션대사],337
586,분부대로,338
595,난 오늘 안식을 맞이할 거요.,339
596,어서 줄을 잡고 건너가시오.,340
598,저 동굴 안에서 가끔 이상한 소리가 들려... 뭔가 사락사락 움직이는 소리들이...,341
604,이 책 읽어볼래? 죽여줘!,345
605,이 책 읽어볼래? 죽여줘!,346
606,760,347
607,끼륵...,348
609,저기인가?,350
618,요즘 숲 곳곳에서 사람이 실종되는 일이 빈번하게 발생하고 있습니다. 숲 속으로 갈일이 있다면 항상 준비를 철저히 하고 가시는게 좋을 것입니다.,355
619,숲 속에서 괴물을 봤다는 사람도 있고 아름답던 숲이 어떻게 된 것인지 걱정입니다.,355
621,quest_complete_1,353
622,quest_complete_2,353
623,in progress quest 1,352
624,in progress quest 2,352
625,in progress quest 3,352
626,no condition,354
628,어서오세요! 이 앞 수정구에 손을 대시면 점괘를 봐드리죠. 공짜니 걱정 마시구요.,356
630,하아! 근심이 쌓여 비파조차 잡을 수 없으니...누가 나 대신 비파를 노래하게 할까!,357
633,그렇지 않아도 나무 거인들 때문에 마을 분위기가 흉흉한데 이니스테르에서 온 사람들 때문에 큰일이 난 것은 아닌지 다들 불안해하고 있다오.,358
634,그래 나한테 원하는 게 뭐지?,359
655,혹시 백합향기에 독이 스며들어 있는 사실은 아시나요?,362
656,괜찮아요. 백합향기에 취해 죽을 일은 없으니까요.,362
657,아. 왠지 어지럽네요.,362
658,내 눈을 속일 수 있을 거라 생각했나!?,363
661,살려주세요! 전 여우가 아니에요! 제발요!,365
685,내가 왜 여기 있냐고?,367
686,자네도 남자라면 나와 함께 밤이 오기를 기다려 보게나. 그럼 자네도 나처럼 매일 밤 이곳을 찾아 오게 될테니.,367
687,쉿! 쉿! 괜히 큰 소리로 떠들다 들켰다간 좋은 구경 다 놓쳐!,367
694,근래 백작님의 이상한 식성 때문에 곤욕입니다. 저희에게 그 음식들을 주실 때마다 여간 힘든 게 아닙니다.,368
695,귀족들이 특이한 걸 많이 찾긴 하지만 이번엔 정말 참기 어렵네요.,368
696,그렇다고 저희 백작님이 나쁘신 분은 아니니 너무 오해 마세요. 높으신 분들이 의례 그렇듯이 본인의 취향을 다른 사람들도 좋아할 것이라는 착각을 하는 것 뿐이니까요.,368
704,이 곳은 휴양지로선 정말 좋은 곳이라고 생각하지 않나?,369
705,저 맑은 호수하며 마치 고향에 온 듯한 숲의 공기까지!,369
706,내가 정말 이곳을 좋아하는 건 맛있는 재료들이 많다는 것일세. 음식이 마련되면 자네도 한번 먹어보게나. 내 요리사에게 친히 말해 놓을 테니.,369
707,하하! 돈은 걱정 말게나. 자네 같은 사람들에게 베푸는 것이야말로 바로 귀족들의 올바른 소양 아니겠는가!,369
709,호수속에는 어떤 신기한 것들이 있을까요?,370
710,고대의 보물? 거대한 괴물이 있을지도 모르죠!,370
716,종일 이곳에서 망을 봐야 한다니 얼마나 힘든지 모르겠어요. 이게 다 하리하란들 때문이에요. 나무들을 어디에 쓰려고 호시탐탐 이곳을 노리는 것인지 모르겠다니까요.,361
717,혹시 시간이 괜찮다면 저의 말동무가 돼주시겠어요?,361
718,저는 말이죠. 하루빨리 이곳을 벗어나 이니스테르에 가고 싶어요. 그곳에 가면 매일매일 멋진 일들만 생길 거 같아요.,361
725,안녕하십니까?,372
726,저희 집안은 이곳에서 몇 대동안 장사를 하고 있는 집안이니 저희 형제가 파는 물품은 믿으셔도 좋습니다.,372
735,곧 나무 거인이 우리를 공격하러 올 것입니다. 힘든 부탁인줄 알지만 모험가님! 저희와 함께 나무 거인을 물리쳐 주십시오.,374
736,저희 삼 형제 모두 이곳에서 가업을 물려받아 상인으로 살고 있습니다.,375
737,삼 형제중에 제가 가장 인기가 많답니다. 왜냐구요? 제가 제일 잘 생겼으니까요. 하하하하.,375
740,제 옆의 두 형 모두 자기가 제일 잘 생겼다고 싸우는 통에 제 귀가 먹을 지경이라니까요.,377
751,방해하지말고 어서 꺼져!,379
752,네 가방에 뭔가 쓸만한 것이 있으면 좋았을텐데... 난 연구 재료가 필요해... ,379
753,이제 어딜 가서 차가운 심장을 구하지...,379
754,아는 척 하지마. 귀찮으니까.,379
755,아직도 나에게 할말이 남았어? 난 없는데?,378
756,썩 꺼지지 않고 뭐하는거야? 진흙탕 처럼 질척거리긴.,378
757,이젠 너에게 볼 일은 없는 것 같네. 이만 사라져 버리게.,378
758,여기서 오래 살다 보면 여러 가지 좋은 지식을 얻을 수 있다네. 한번 들어볼 텐가?,366
759,밤마다 나오는 밤 도개비불도 꽤나 유용하지!. 포획할 수 있는 틀을 만들어 가지고 밤을 기다려 보게나.,366
760,나무 거인때문에 점점 살기 어렵지만 그래도 우리 나름대로 대책이 있다네. 바로 불이지. 나무에는 불. 이 얼마나 자연스러운 이치인가. 그렇게 생각하지 않나?,366
761,우리 마을의 용천수는 호수의 물이 솟아 나와 생긴 것인데 오염된 것을 깨끗하게 만들어 준다네.,366
767,저 곳으로 가려는 게요? 가지 않는 것이 좋을 것이요. 이미 저 안은 미치광이들의 소굴이니까.,381
768,한 때 여기 있는 우리도 에리크님을 존경하며 따랐지만 그 뜻이 우리와 달라 우린 이곳에서 따로 연구를 하는 중이오.,381
769,우리는 이 곳에서 다른 세계의 생명체나 영혼을 소환하려고 하오. 자네도 호기심이 있다면 이 곳에서 우리와 함께 역사를 함께 하지 않겠소?,381
778,누가 나를 깨웠느냐! 나의 이름은 불의 신 라그나...... 근데 여긴 어디냐?,380
779,전쟁의 세계와 다른 이곳은 생전 처음 보는 곳이군. 네가 나를 불렀느냐?,380
780,내가 있던 세계의 이야기를 들어볼텐가? 그 곳에선 정말 힘든 나날들의 연속이었지.,380
781,그 곳의 인간들은 나의 무기 설퍼른을 휘둘러 짓이겨도 계속 나를 향해 덤벼들었어. 정말 생각하기도 싫은 기억이야.,380
785,"@PC_NAME(ID), 넌 정말 멋진 @PC_RACE(0) @PC_CLASS(0)야. 난 네가 자랑스러워.",382
818,꽤 중요한 주문서니까 조심히 @NPC_NAME(3441)에게 전해줘.,392
831,아직 @NPC_NAME(3430)를 찾지 못했는가? 북 데비 강을 따라 내려가면서 다시 한번 찾아보게.,395
835,내 희망의 내용은 질투뿐이었다는 것을 깨닫게 되었어.,397
838,@ITEM_NAME(13968)을 빨리 찾아야 할 텐데...,398
851,@NPC_NAME(3366)는 원래 호랑이 등뼈 산맥을 지키는 파수꾼이야. 조심히 다뤄야 해.,401
852,@NPC_NAME(3366)를 상자 속에 다시 가두려면 충분히 혼내주지 않으면 안 될 거야.,401
867,"좋은 냄새가 나네. 뭔가 친근한, 야타 똥냄새 같은... 혹시 똥 밟았어?",407
873,혹시 보물을 찾으러 왔다면 돌아가게.,411
874,보물을 찾으러 산을 오른 자 중에 되돌아가지 않은 자가 없네.,411
875,당신이 찾던 보물은 무엇인가? 나는 여기서 내 보물을 지키고 있다네.,411
877,아휴! 속상해. 꼬맹이들이 어딜 또 간 걸까!,413
885,@NPC_NAME(3365)는 방목지에 들일 수 없어. 방목지 바깥에서 찾아봐.,418
886,세상에서 야타가 제일 귀여워!,419
888,@ITEM_NAME(13965)을 @NPC_NAME(3364)에게 쏘면 길들일 수 있어! 진짜야!,421
889,조심해! @NPC_NAME(3364)가 @ITEM_NAME(13965)을 발견하면 화를 낼지도 몰라!,421
890,야타를 길들이면 내게 데려와! 알았지?,421
892,@ITEM_NAME(13960)는 나무가 다 자라야 딸 수 있어.,423
893,@ITEM_NAME(13959)은 @DOODAD_NAME(1582)에만 심을 수 있어.,423
894,별의 귀부인께서 우릴 지켜주실 거야!,424
896,푸른 전나무회 가입할 생각이라면 일단 자.연.보.호부터 해.,426
897,쓰레기는 쓰레기통에!,426
900,@DOODAD_NAME(1449)은 아직 다 안 꺾었는가?,427
901,@ITEM_NAME(13950)이 아직 부족해.,429
905,@ITEM_NAME(13956)를 어서 내게 던져라. 내가 새로운 몸을 주겠다!,431
907,"안 쓰는 나사, 부러진 못 삽니다! 고물 기계 사요!",432
908,엇? @PC_NAME(0)의 등에 매달려 있는 것도 고물 같은데!,432
911,푸른 전나무회는 호랑이 등뼈 산맥을 지키는 나라야나 모임이야.,435
912,푸른 전나무회는 아무도 해치지 않아.,435
913,기계 조립은 아직인가? 선반 위에 부품이 아직 그대로네.,436
917,@ITEM_NAME(14069)는 아직이야?,440
918,멍청한 기계공들! 제대로 개발만 했어도 이런 산은 한 방에 뚫잖아!,441
919,코볼트 조심해!,442
925,도대체 보물은 어디에 있는 거야!,445
