id,owner_id,owner_type,tag_id,skill_attribute_id,unit_modifier_type_id,value,skill_id,synergy
359,5201,Buff,,4,1,-20,13984,f
360,5201,Buff,,4,1,-20,16774,f
361,5201,Buff,,4,1,-20,20486,f
362,5201,Buff,,4,1,-20,13625,f
363,5201,Buff,,4,1,-20,13990,f
364,5201,Buff,,4,1,-20,13991,f
365,5201,Buff,,4,1,-20,13992,f
366,5201,Buff,,4,1,-20,13993,f
367,5201,Buff,,4,1,-20,13994,f
368,5201,Buff,,4,1,-20,16770,f
369,5201,Buff,,4,1,-20,20487,f
370,5201,Buff,,4,1,-20,13174,f
371,5206,Buff,,3,0,5,11395,f
388,5210,Buff,,4,1,-80,10670,f
389,5227,Buff,,4,1,-10,10670,f
390,5228,Buff,,4,1,-10,10667,f
391,5231,Buff,,3,0,1,10664,f
392,5233,Buff,,2,0,5,10670,f
394,5235,Buff,,10,1,10,10752,f
395,5236,Buff,,1,0,-10000,10664,f
397,5239,Buff,,4,1,-100,11504,f
399,5241,Buff,,3,0,1,11395,f
401,5243,Buff,,10,1,10,14810,f
402,5243,Buff,,10,1,10,14811,f
403,5243,Buff,,10,1,10,14832,f
407,5245,Buff,,3,0,1,10135,f
408,5248,Buff,,4,1,-50,10546,f
409,5251,Buff,,4,0,-1000,10720,f
410,5253,Buff,,10,1,10,13286,f
412,5254,Buff,,12,1,7,14929,f
413,5254,Buff,,12,1,7,14930,f
414,5254,Buff,,12,1,7,14931,f
415,5254,Buff,,12,1,7,14932,f
416,5254,Buff,,12,1,7,14933,f
422,5257,Buff,,4,1,-10,10534,f
423,5258,Buff,,2,0,5,13286,f
424,5262,Buff,,2,0,5,12139,f
426,5270,Buff,,10,1,10,16210,f
428,5275,Buff,,2,0,5,13281,f
429,5276,Buff,,1,0,-2000,16210,f
431,5282,Buff,,2,0,1,10648,f
433,5284,Buff,,10,1,10,18125,f
434,5284,Buff,,10,1,10,18126,f
435,5284,Buff,,10,1,10,18127,f
439,5286,Buff,,10,1,10,14835,f
440,5286,Buff,,10,1,10,14836,f
441,5286,Buff,,10,1,10,14837,f
445,5287,Buff,,2,0,3,12075,f
446,5288,Buff,,1,0,-5000,10712,f
447,5289,Buff,,4,0,-500,10154,f
448,5290,Buff,,2,0,5,10409,f
449,5291,Buff,,3,0,1,12001,f
451,5293,Buff,,10,1,15,11443,f
453,5295,Buff,,3,0,2,18308,f
455,5300,Buff,,2,0,3,12039,f
457,5302,Buff,,2,0,1,11918,f
458,5303,Buff,,10,1,8,12026,f
460,5306,Buff,,10,1,10,12048,f
461,5308,Buff,,1,0,-20000,10372,f
462,5309,Buff,,3,0,2,10436,f
463,5310,Buff,,1,0,-2000,10399,f
464,5311,Buff,,1,0,-3000,10501,f
466,5316,Buff,,3,0,2,16486,f
468,5319,Buff,,1,0,-4000,10152,f
470,5326,Buff,,11,0,4000,10714,f
471,5327,Buff,,1,0,-3000,18222,f
524,5671,Buff,,10,1,5,10481,f
525,5671,Buff,,10,1,5,14835,f
526,5671,Buff,,10,1,5,14836,f
527,5671,Buff,,10,1,5,14837,f
528,5671,Buff,,10,1,5,16210,f
529,5671,Buff,,10,1,5,13564,f
530,5671,Buff,,10,1,5,11933,f
584,4997,Buff,,4,1,-90,17320,f
585,5852,Buff,378,1,1,-100,,t
586,5852,Buff,378,4,1,-80,,t
587,5852,Buff,378,0,1,-50,,t
596,5939,Buff,,10,1,50,10473,f
597,5965,Buff,,10,1,30,10473,f
598,6035,Buff,1157,4,1,-10,,f
599,5222,Buff,1157,4,1,-10,,f
600,6099,Buff,,10,1,5,18132,f
601,6099,Buff,,10,1,5,18134,f
602,6099,Buff,,10,1,5,18131,f
603,6099,Buff,,10,1,5,12026,f
604,6099,Buff,,10,1,5,18125,f
605,6099,Buff,,10,1,5,18126,f
606,6099,Buff,,10,1,5,18127,f
607,6099,Buff,,10,1,5,10496,f
608,2151,Buff,1157,4,1,-100,,t
609,5870,Buff,,4,1,-7,13985,f
610,5870,Buff,,4,1,-7,13988,f
611,5870,Buff,,4,1,-7,13989,f
612,5888,Buff,,4,1,-10,13985,f
613,5888,Buff,,4,1,-10,13988,f
614,5888,Buff,,4,1,-10,13989,f
615,5870,Buff,,4,1,-7,13986,f
616,5888,Buff,,4,1,-10,13986,f
617,5870,Buff,,4,1,-7,13987,f
618,5888,Buff,,4,1,-10,13987,f
619,5870,Buff,,4,1,-7,13989,f
620,5888,Buff,,4,1,-10,13989,f
621,6136,Buff,,10,1,15,10752,f
622,6136,Buff,,4,0,-10000,10667,f
623,5870,Buff,,4,1,-7,15194,f
624,5888,Buff,,4,1,-10,15194,f
625,5870,Buff,,4,1,-7,21987,f
626,5870,Buff,,4,1,-7,22040,f
627,5888,Buff,,4,1,-10,21987,f
628,5888,Buff,,4,1,-10,22040,f
629,6217,Buff,,10,1,5,10473,f
630,6218,Buff,,10,1,3,10473,f
631,6364,Buff,1157,4,1,7,,f
633,6395,Buff,1157,4,1,7,,f
635,6365,Buff,1157,4,1,10,,f
636,6615,Buff,,10,1,20,10473,f
638,1854,Buff,,4,1,-10,23293,f
639,1854,Buff,,4,1,-10,23294,f
640,1854,Buff,,4,1,-10,23295,f
641,1854,Buff,,4,1,-10,23296,f
642,1854,Buff,,4,1,-10,23297,f
643,6673,Buff,1303,4,1,-5,,f
644,6692,Buff,,4,1,-6,23293,f
645,6692,Buff,,4,1,-6,23294,f
646,6692,Buff,,4,1,-6,23295,f
647,6692,Buff,,4,1,-6,23296,f
648,6692,Buff,,4,1,-6,23297,f
649,6693,Buff,,10,1,3,10473,f
655,6695,Buff,,4,1,-4,23293,f
656,6695,Buff,,4,1,-4,23294,f
657,6695,Buff,,4,1,-4,23295,f
658,6695,Buff,,4,1,-4,23296,f
659,6695,Buff,,4,1,-4,23297,f
660,1854,Buff,,4,1,-10,18852,f
661,431,Buff,,4,0,-5000,10667,t
662,5010,Buff,1157,4,1,-5,,f
663,5011,Buff,1157,4,1,-5,,f
664,5207,Buff,1157,4,1,-7,,f
665,5012,Buff,1157,4,1,-5,,f
666,4899,Buff,,10,1,7,18134,f
667,4899,Buff,,10,1,7,18131,f
668,4899,Buff,,10,1,7,18132,f
669,4899,Buff,,10,1,7,13282,f
670,4899,Buff,,10,1,7,18125,f
671,4899,Buff,,10,1,7,18126,f
672,4899,Buff,,10,1,7,18127,f
673,4899,Buff,,10,1,7,12029,f
674,4899,Buff,,10,1,7,12067,f
675,4899,Buff,,10,1,7,12069,f
676,4899,Buff,,10,1,7,12070,f
677,4899,Buff,,10,1,7,10496,f
678,4899,Buff,,10,1,7,10648,f
679,1124,Buff,,4,0,-5000,14376,f
680,1124,Buff,,4,0,-500,10409,f
681,6901,Buff,,4,0,-10000,23714,t
682,6877,Buff,1157,4,1,-5,,f
683,6906,Buff,1157,4,1,-5,,f
684,6907,Buff,1157,4,1,-5,,f
685,6908,Buff,1157,4,1,-5,,f
686,6909,Buff,1157,4,1,-5,,f
687,6910,Buff,1157,4,1,-5,,f
688,6940,Buff,1157,4,1,-5,,f
689,6918,Buff,1157,4,1,-10,,f
690,4997,Buff,,4,1,-95,23780,f
691,4997,Buff,1157,4,1,-90,,f
692,6989,Buff,378,0,1,-3,,f
694,7013,Buff,,10,1,10,12026,f
695,7015,Buff,,1,0,-6000,10712,f
696,7017,Buff,,10,1,11,18125,f
697,7017,Buff,,10,1,11,18126,f
698,7017,Buff,,10,1,11,18127,f
699,7019,Buff,,2,0,6,10409,f
700,7021,Buff,,1,0,-2300,10399,f
701,7023,Buff,,4,1,-11,10534,f
702,7024,Buff,,10,1,11,12048,f
703,7025,Buff,,10,1,11,13286,f
704,7026,Buff,,1,0,-3400,18222,f
705,7027,Buff,,1,0,-3400,10501,f
8000001,8000001,Buff,1157,4,1,-25,,f
8000002,6915,Buff,1157,4,1,-5,,f
8000003,8000024,Buff,885,10,1,3,,f
