id,name,loop,category_id,ride_ub,hang_ub,swim_ub,move_ub,relaxed_ub,swim_move_ub
24,onehand_co_sk_weapon_pierce,f,4,,onehand_co_sk_weapon_pierce_ub,onehand_co_sk_swim_weapon_pierce_ub,onehand_co_sk_weapon_pierce_ub,,onehand_co_sk_swim_weapon_pierce_ub
25,twohand_co_sk_weapon_pierce,f,4,,twohand_co_sk_weapon_pierce_ub,twohand_co_sk_swim_weapon_pierce_ub,twohand_co_sk_weapon_pierce_ub,,twohand_co_sk_swim_weapon_pierce_ub
26,onehand_co_sk_weapon_blunt,f,4,,onehand_co_sk_weapon_blunt_ub,onehand_co_sk_swim_weapon_blunt_ub,onehand_co_sk_weapon_blunt_ub,,onehand_co_sk_swim_weapon_blunt_ub
27,twohand_co_sk_weapon_blunt,f,4,,twohand_co_sk_weapon_blunt_ub,twohand_co_sk_swim_weapon_blunt_ub,twohand_co_sk_weapon_blunt_ub,,twohand_co_sk_swim_weapon_blunt_ub
28,onehand_co_sk_shieldpush,f,4,,onehand_co_sk_shieldpush_ub,onehand_co_sk_swim_shieldpush_ub,onehand_co_sk_shieldpush_ub,,onehand_co_sk_swim_shieldpush_ub
29,onehand_co_sk_throw,f,4,,onehand_co_sk_throw_ub,onehand_co_sk_throw_ub,onehand_co_sk_throw_ub,,onehand_co_sk_throw_ub
30,onehand_co_sk_cast,t,6,,onehand_co_sk_cast_ub,onehand_co_sk_swim_cast,,,
31,bow_co_sk_cast,t,6,,bow_co_sk_swim_cast,bow_co_sk_swim_cast,bow_co_sk_cast_ub,,
32,bow_co_sk_launch,f,4,bow_co_sk_launch_ub,bow_co_sk_swim_launch,bow_co_sk_swim_launch_ub,bow_co_sk_launch_ub,,bow_co_sk_swim_launch_ub
33,music_co_sk_lute_cast,t,6,music_co_sk_lute_cast_ub,music_co_sk_lute_cast_ub,music_co_sk_lute_cast_ub,music_co_sk_lute_cast_ub,,music_co_sk_lute_cast_ub
34,music_co_sk_pipe_cast,t,6,music_co_sk_pipe_cast_ub,music_co_sk_pipe_cast_ub,music_co_sk_pipe_cast_ub,music_co_sk_pipe_cast_ub,,music_co_sk_pipe_cast_ub
35,music_co_sk_drum_cast,t,6,music_co_sk_drum_cast_ub,music_co_sk_drum_cast_ub,music_co_sk_drum_cast_ub,music_co_sk_drum_cast_ub,,music_co_sk_drum_cast_ub
36,music_co_sk_lute_launch,f,4,music_co_sk_lute_launch_ub,music_co_sk_lute_launch_ub,music_co_sk_lute_launch_ub,music_co_sk_lute_launch_ub,,music_co_sk_lute_launch_ub
37,music_co_sk_pipe_launch,f,4,music_co_sk_pipe_launch_ub,music_co_sk_pipe_launch_ub,music_co_sk_pipe_launch_ub,music_co_sk_pipe_launch_ub,,music_co_sk_pipe_launch_ub
38,music_co_sk_drum_launch,f,4,music_co_sk_drum_launch_ub,music_co_sk_drum_launch_ub,music_co_sk_drum_launch_ub,music_co_sk_drum_launch_ub,,music_co_sk_drum_launch_ub
39,all_co_sk_spell_launch_d,f,4,,all_co_sk_spell_launch_d_ub,all_co_sk_swim_spell_launch_d,all_co_sk_spell_launch_d_ub,,all_co_sk_swim_spell_launch_d
40,all_co_sk_spell_launch_nd,f,4,,all_co_sk_spell_launch_nd_ub,all_co_sk_swim_spell_launch_nd,all_co_sk_spell_launch_nd_ub,,all_co_sk_swim_spell_launch_nd
41,all_co_sk_spell_cast_d,t,6,,all_co_sk_spell_cast_d_ub,all_co_sk_swim_spell_cast_d,all_co_sk_spell_cast_d_ub,,
42,all_co_sk_spell_cast_nd,t,6,,all_co_sk_spell_cast_nd_ub,all_co_sk_spell_cast_nd_ub,all_co_sk_spell_cast_nd_ub,,
43,all_co_sk_spell_channel_d,t,6,,all_co_sk_spell_channel_d_ub,all_co_sk_spell_channel_d_ub,all_co_sk_spell_channel_d_ub,,
44,all_co_sk_spell_channel_nd,t,6,,all_co_sk_spell_channel_nd_ub,all_co_sk_spell_channel_nd_ub,all_co_sk_spell_channel_nd_ub,,
45,fist_ac_drink,f,1,fist_ac_drink_ub,fist_ac_drink_ub,fist_ac_drink_ub,fist_ac_drink_ub,,fist_ac_drink_ub
46,all_co_sk_stop,f,1,,,,,,
47,all_re_stop,f,1,,,,,,
48,all_ac_stop,f,1,,,,,,
49,all_re_combat_struggle,t,11,,,,,,
50,fist_ac_sewing,t,6,,,,,,
51,fist_ac_felly,t,6,,,,,,
52,fist_ac_hammer,t,6,,,,,,
53,fist_ac_sawing,t,6,,,,,,
55,fist_ac_making,t,6,,,,,,
56,fist_ac_pickup,t,6,,,fist_ac_receive_ub,,,fist_ac_receive_ub
57,fist_ac_cooking,t,6,,,,,,
58,fist_ac_mine,t,6,,,,,,
59,fist_ac_operate,t,6,,,fist_ac_operate_ub,,,fist_ac_operate_ub
60,fist_ac_pulling,t,6,,,,,,
61,fist_ac_push_f,t,7,,,,,,
62,fist_ac_shoveling,t,6,,,,,,
63,fist_em_bow,f,7,fist_em_bow_ub,fist_em_bow_ub,fist_em_bow_ub,fist_em_bow_ub,,fist_em_bow_ub
64,fist_em_loud,f,7,fist_em_loud_ub,fist_em_loud_ub,fist_em_loud_ub,fist_em_loud_ub,,fist_em_loud_ub
65,fist_em_happy,f,7,fist_em_happy_ub,fist_em_happy_ub,fist_em_happy_ub,fist_em_happy_ub,,fist_em_happy_ub
66,fist_em_cry,f,7,fist_em_cry_ub,fist_em_cry_ub,fist_em_cry_ub,fist_em_cry_ub,,fist_em_cry_ub
67,fist_em_amaze,f,7,fist_em_amaze_ub,fist_em_amaze_ub,fist_em_amaze_ub,fist_em_amaze_ub,,fist_em_amaze_ub
68,fist_em_lonely,f,7,fist_em_lonely_ub,fist_em_lonely_ub,fist_em_lonely_ub,fist_em_lonely_ub,,fist_em_lonely_ub
69,fist_em_bored,f,7,fist_em_bored_ub,fist_em_bored_ub,fist_em_bored_ub,fist_em_bored_ub,,fist_em_bored_ub
70,fist_em_question,f,7,fist_em_question_ub,fist_em_question_ub,fist_em_question_ub,fist_em_question_ub,,fist_em_question_ub
71,fist_em_angry,f,7,fist_em_angry_ub,fist_em_angry_ub,fist_em_angry_ub,fist_em_angry_ub,,fist_em_angry_ub
72,fist_em_beg,f,7,fist_em_beg_ub,fist_em_beg_ub,fist_em_beg_ub,fist_em_beg_ub,,fist_em_beg_ub
73,fist_em_clap,f,7,fist_em_clap_ub,fist_em_clap_ub,fist_em_clap_ub,fist_em_clap_ub,,fist_em_clap_ub
74,fist_em_greet,f,7,fist_em_greet_ub,fist_em_greet_ub,fist_em_greet_ub,fist_em_greet_ub,,fist_em_greet_ub
75,fist_em_bye,f,7,fist_em_bye_ub,fist_em_bye_ub,fist_em_bye_ub,fist_em_bye_ub,,fist_em_bye_ub
76,fist_em_laugh,f,7,fist_em_laugh_ub,fist_em_laugh_ub,fist_em_laugh_ub,fist_em_laugh_ub,,fist_em_laugh_ub
77,fist_em_fear,f,7,fist_em_fear_ub,fist_em_fear_ub,fist_em_fear_ub,fist_em_fear_ub,,fist_em_fear_ub
78,fist_ac_eat,f,6,fist_ac_eat_ub,fist_ac_eat_ub,fist_ac_eat_ub,fist_ac_eat_ub,,fist_ac_eat_ub
79,fist_em_no,f,7,fist_em_no_ub,fist_em_no_ub,fist_em_no_ub,fist_em_no_ub,,fist_em_no_ub
80,fist_em_point,f,7,fist_em_point_ub,fist_em_point_ub,fist_em_point_ub,fist_em_point_ub,,fist_em_point_ub
81,fist_em_fight,f,7,fist_em_fight_ub,fist_em_fight_ub,fist_em_fight_ub,fist_em_fight_ub,,fist_em_fight_ub
82,fist_em_shy,f,7,fist_em_shy_ub,fist_em_shy_ub,fist_em_shy_ub,fist_em_shy_ub,,fist_em_shy_ub
83,fist_em_sleep,t,7,,,,,,
84,onehand_co_horse_attack_r_slash,f,4,,onehand_co_horse_attack_r_slash_ub,onehand_co_horse_attack_r_slash_ub,onehand_co_horse_attack_r_slash_ub,,
85,onehand_co_horse_attack_l_slash,f,4,,onehand_co_horse_attack_l_slash_ub,onehand_co_horse_attack_l_slash_ub,onehand_co_horse_attack_l_slash_ub,,
86,all_co_sk_hovering,t,4,,,all_co_sk_hovering,,,
87,onehand_co_attack_r_slash_2,f,1,,onehand_co_attack_r_slash_2_ub,onehand_co_swim_attack_r_slash_ub,onehand_co_attack_r_slash_2_ub,,onehand_co_swim_attack_r_slash_ub
88,onehand_co_attack_l_slash_2,f,1,,onehand_co_attack_l_slash_2_ub,onehand_co_swim_attack_l_slash_ub,onehand_co_attack_l_slash_2_ub,,onehand_co_swim_attack_l_slash_ub
89,onehand_co_attack_r_pierce_2,f,1,,onehand_co_attack_r_pierce_2_ub,onehand_co_swim_attack_r_pierce_ub,onehand_co_attack_r_pierce_2_ub,,onehand_co_swim_attack_r_pierce_ub
90,onehand_co_attack_l_pierce_2,f,1,,onehand_co_attack_l_pierce_2_ub,onehand_co_swim_attack_l_pierce_ub,onehand_co_attack_l_pierce_2_ub,,onehand_co_swim_attack_l_pierce_ub
91,onehand_co_attack_r_blunt,f,1,,fist_co_attack_r_ub,onehand_co_swim_attack_r_blunt_ub,onehand_co_attack_r_blunt_ub,,onehand_co_swim_attack_r_blunt_ub
92,onehand_co_attack_r_blunt_2,f,1,,onehand_co_attack_r_blunt_2_ub,onehand_co_swim_attack_r_blunt_ub,onehand_co_attack_r_blunt_2_ub,,onehand_co_swim_attack_r_blunt_ub
93,onehand_co_attack_l_blunt,f,1,,onehand_co_attack_l_blunt_ub,onehand_co_swim_attack_l_blunt_ub,onehand_co_attack_l_blunt_ub,,onehand_co_swim_attack_l_blunt_ub
94,onehand_co_attack_l_blunt_2,f,1,,onehand_co_attack_l_blunt_2_ub,onehand_co_swim_attack_l_blunt_ub,onehand_co_attack_l_blunt_2_ub,,onehand_co_swim_attack_l_blunt_ub
95,twohand_co_attack_2,f,1,,twohand_co_attack_2_ub,twohand_co_swim_attack_ub,twohand_co_attack_2_ub,,twohand_co_swim_attack_ub
96,staff_co_attack_2,f,1,,staff_co_attack_2_ub,staff_co_attack_ub,staff_co_attack_2_ub,,staff_co_attack_ub
97,all_co_sk_whirlwind_cast,t,6,,,all_co_sk_swim_whirlwind_cast,,,
98,all_co_sk_whirlwind_launch,f,4,,,all_co_sk_swim_whirlwind_launch_ub,all_co_sk_whirlwind_launch_ub,,all_co_sk_swim_whirlwind_launch_ub
99,all_co_sk_buff_launch_mana,f,4,,all_co_sk_buff_launch_mana_ub,all_co_sk_swim_buff_launch_mana,all_co_sk_buff_launch_mana_ub,,all_co_sk_swim_buff_launch_mana
100,all_co_sk_buff_launch_mental,f,4,,all_co_sk_buff_launch_mental_ub,all_co_sk_swim_buff_launch_mental,all_co_sk_buff_launch_mental_ub,,all_co_sk_swim_buff_launch_mental
101,all_co_sk_buff_launch_defense,f,4,,all_co_sk_buff_launch_defense_ub,all_co_sk_swim_buff_launch_defense,all_co_sk_buff_launch_defense_ub,,all_co_sk_swim_buff_launch_defense
102,all_co_sk_buff_launch_force,f,4,,all_co_sk_buff_launch_force_ub,all_co_sk_swim_buff_launch_force,all_co_sk_buff_launch_force_ub,,all_co_sk_swim_buff_launch_force
103,all_co_sk_buff_launch_special,f,4,,all_co_sk_buff_launch_special_ub,all_co_sk_swim_buff_launch_special,all_co_sk_buff_launch_special_ub,,all_co_sk_swim_buff_launch_special
104,onehand_co_sk_windslash,f,4,,onehand_co_sk_windslash_ub,onehand_co_sk_swim_windslash_ub,onehand_co_sk_windslash_ub,,onehand_co_sk_swim_windslash_ub
105,twohand_co_sk_windslash,f,4,,twohand_co_sk_swim_windslash,twohand_co_sk_swim_windslash_ub,twohand_co_sk_windslash_ub,,twohand_co_sk_swim_windslash_ub
106,onehand_co_sk_shieldwield,f,4,,onehand_co_sk_shieldwield_ub,onehand_co_sk_swim_shieldwield_ub,onehand_co_sk_shieldwield_ub,,onehand_co_sk_swim_shieldwield_ub
107,all_co_sk_buff_cast_mana,t,6,,all_co_sk_buff_cast_mana_ub,all_co_sk_swim_buff_cast_mana,all_co_sk_buff_cast_mana_ub,,
108,all_co_sk_buff_cast_mental,t,6,,all_co_sk_buff_cast_mental_ub,all_co_sk_swim_buff_cast_mental,all_co_sk_buff_cast_mental_ub,,all_co_sk_swim_buff_cast_mental
109,all_co_sk_buff_cast_defense,t,6,,all_co_sk_buff_cast_defense_ub,all_co_sk_swim_buff_cast_defense,all_co_sk_buff_cast_defense_ub,,
110,all_co_sk_buff_channel_force,t,6,,all_co_sk_buff_channel_force_ub,all_co_sk_swim_buff_channel_force,all_co_sk_buff_channel_force_ub,,
111,all_co_sk_buff_channel_special,t,6,,all_co_sk_buff_channel_special_ub,all_co_sk_swim_buff_channel_special,all_co_sk_buff_channel_special_ub,,
112,fist_ac_anchor_steer_l,f,4,fist_ac_anchor_steer_l_ub,fist_ac_anchor_steer_l_ub,fist_ac_anchor_steer_l_ub,fist_ac_anchor_steer_l_ub,,fist_ac_anchor_steer_l_ub
113,fist_ac_anchor_steer_r,f,4,fist_ac_anchor_steer_r_ub,fist_ac_anchor_steer_r_ub,fist_ac_anchor_steer_r_ub,fist_ac_anchor_steer_r_ub,,fist_ac_anchor_steer_r_ub
114,fist_ac_plank_up,f,6,,,,,,
115,fist_ac_plank_down,f,6,,,,,,
116,fist_ac_sail_steer_l,f,4,fist_ac_sail_steer_l_ub,fist_ac_sail_steer_l_ub,fist_ac_sail_steer_l_ub,fist_ac_sail_steer_l_ub,,fist_ac_sail_steer_l_ub
117,fist_ac_sail_steer_r,f,4,fist_ac_sail_steer_r_ub,fist_ac_sail_steer_r_ub,fist_ac_sail_steer_r_ub,fist_ac_sail_steer_r_ub,,fist_ac_sail_steer_r_ub
118,fist_ac_receive,f,7,fist_ac_receive_ub,fist_ac_receive_ub,fist_ac_receive_ub,fist_ac_receive_ub,,fist_ac_receive_ub
119,fist_ac_give,f,7,fist_ac_give_ub,fist_ac_give_ub,fist_ac_give_ub,fist_ac_give_ub,,fist_ac_give_ub
120,fist_ac_sdance,f,7,,,,,,
121,fist_ac_salute,f,7,,,,,,
122,fist_ac_cough,f,7,fist_ac_cough_ub,fist_ac_cough_ub,fist_ac_cough_ub,fist_ac_cough_ub,,fist_ac_cough_ub
123,fist_ac_hurray,f,7,fist_ac_hurray_ub,fist_ac_hurray_ub,fist_ac_hurray_ub,fist_ac_hurray_ub,,fist_ac_hurray_ub
124,fist_ac_worship,f,7,,,,,,
125,all_co_sk_spell_cast_meteor,t,6,,all_co_sk_spell_cast_meteor_ub,all_co_sk_swim_spell_cast_meteor,all_co_sk_spell_cast_meteor_ub,,
126,all_co_sk_spell_channel_sorb,t,4,,all_co_sk_spell_channel_sorb_ub,all_co_sk_swim_spell_channel_sorb,all_co_sk_spell_channel_sorb_ub,,
127,all_co_sk_spell_channel_tug,t,6,,all_co_sk_spell_channel_tug_ub,all_co_sk_swim_spell_channel_tug,all_co_sk_spell_channel_tug_ub,,
128,all_co_sk_spell_channel_field,t,6,,all_co_sk_spell_channel_field_ub,all_co_sk_spell_channel_field_ub,all_co_sk_spell_channel_field_ub,,
129,all_co_sk_spell_launch_meteor,f,4,,all_co_sk_spell_launch_meteor_ub,all_co_sk_swim_spell_launch_meteor,all_co_sk_spell_launch_meteor_ub,,all_co_sk_swim_spell_launch_meteor
130,all_co_sk_spell_launch_spread,f,4,,all_co_sk_spell_launch_spread_ub,all_co_sk_swim_spell_launch_spread,all_co_sk_spell_launch_spread_ub,,all_co_sk_swim_spell_launch_spread
131,all_co_sk_spell_launch_field,f,4,,all_co_sk_spell_launch_field_ub,all_co_sk_swim_spell_launch_field,all_co_sk_spell_launch_field_ub,,all_co_sk_swim_spell_launch_field
132,onehand_co_sk_weapon_blunt_2,f,4,,onehand_co_sk_weapon_blunt_2_ub,onehand_co_sk_swim_weapon_blunt_2_ub,onehand_co_sk_weapon_blunt_2_ub,,onehand_co_sk_swim_weapon_blunt_2_ub
133,onehand_co_sk_weapon_blunt_3,f,4,,onehand_co_sk_weapon_blunt_3_ub,onehand_co_sk_swim_weapon_blunt_3_ub,onehand_co_sk_weapon_blunt_3_ub,,onehand_co_sk_swim_weapon_blunt_3_ub
134,onehand_co_sk_weapon_slash_2,f,4,,onehand_co_sk_weapon_slash_2_ub,onehand_co_sk_swim_weapon_slash_2_ub,onehand_co_sk_weapon_slash_2_ub,,onehand_co_sk_swim_weapon_slash_2_ub
135,onehand_co_sk_weapon_pierce_2,f,4,,onehand_co_sk_weapon_pierce_2_ub,onehand_co_sk_swim_weapon_pierce_2_ub,onehand_co_sk_weapon_pierce_2_ub,,onehand_co_sk_swim_weapon_pierce_2_ub
136,twohand_co_sk_weapon_blunt_2,f,4,,twohand_co_sk_weapon_blunt_2_ub,twohand_co_sk_swim_weapon_blunt_2_ub,twohand_co_sk_weapon_blunt_2_ub,,twohand_co_sk_swim_weapon_blunt_2_ub
137,twohand_co_sk_weapon_blunt_3,f,4,,twohand_co_sk_weapon_blunt_3_ub,twohand_co_sk_swim_weapon_blunt_3_ub,twohand_co_sk_weapon_blunt_3_ub,,twohand_co_sk_swim_weapon_blunt_3_ub
138,twohand_co_sk_weapon_slash_2,f,4,,twohand_co_sk_weapon_slash_2_ub,twohand_co_sk_swim_weapon_slash_2_ub,twohand_co_sk_weapon_slash_2_ub,,twohand_co_sk_swim_weapon_slash_2_ub
139,twohand_co_sk_weapon_pierce_2,f,1,,twohand_co_sk_weapon_pierce_2_ub,twohand_co_sk_swim_weapon_pierce_2_ub,twohand_co_sk_weapon_pierce_2_ub,,twohand_co_sk_swim_weapon_pierce_2_ub
140,bow_co_sk_launch_2,f,4,,bow_co_sk_launch_2_ub,bow_co_sk_swim_launch_2_ub,bow_co_sk_launch_2_ub,,bow_co_sk_swim_launch_2_ub
141,bow_co_sk_cast_3,t,6,,bow_co_sk_swim_cast_3,bow_co_sk_swim_cast_3,bow_co_sk_cast_3_ub,,
142,bow_co_sk_launch_3,f,4,,bow_co_sk_launch_3_ub,bow_co_sk_swim_launch_3_ub,bow_co_sk_launch_3_ub,,bow_co_sk_swim_launch_3_ub
143,bow_co_sk_cast_4,t,6,,bow_co_sk_swim_cast_4,bow_co_sk_swim_cast_4,bow_co_sk_cast_4_ub,,
144,bow_co_sk_launch_4,f,4,,bow_co_sk_launch_4_ub,bow_co_sk_swim_launch_4_ub,bow_co_sk_launch_4_ub,,bow_co_sk_swim_launch_4_ub
145,bow_co_sk_high_cast,t,6,,bow_co_sk_swim_high_cast,bow_co_sk_swim_high_cast,bow_co_sk_high_cast_ub,,
146,bow_co_sk_high_launch,f,4,,bow_co_sk_high_launch_ub,bow_co_sk_swim_high_launch_ub,bow_co_sk_high_launch_ub,,bow_co_sk_swim_high_launch_ub
147,twohand_re_combat_critical,f,8,,twohand_re_combat_critical_ub,twohand_re_combat_critical_ub,twohand_re_combat_critical_ub,,twohand_re_combat_critical_ub
149,fist_ac_talk_01,f,7,,,,,,
150,fist_ac_talk_02,f,7,,,,,,
151,onehand_co_lion_attack_r_slash,f,4,onehand_co_lion_attack_r_slash_ub,onehand_co_lion_attack_r_slash_ub,onehand_co_lion_attack_r_slash_ub,onehand_co_lion_attack_r_slash_ub,,
152,onehand_co_lion_attack_l_slash,f,4,onehand_co_lion_attack_l_slash_ub,onehand_co_lion_attack_l_slash_ub,onehand_co_lion_attack_l_slash_ub,onehand_co_lion_attack_l_slash_ub,,
153,all_co_sk_spell_cast_fireball,t,6,,all_co_sk_spell_cast_fireball_ub,all_co_sk_swim_spell_cast_fireball,all_co_sk_spell_cast_fireball_ub,,
154,all_co_sk_spell_launch_fireball,f,4,,all_co_sk_spell_launch_fireball_ub,all_co_sk_swim_spell_launch_fireball,all_co_sk_spell_launch_fireball_ub,,all_co_sk_swim_spell_launch_fireball
155,fist_ac_horse_l_getoff,f,1,,,,,,
156,fist_ac_horse_f_geton,f,2,,,,,,
157,all_co_sk_spell_cast_site,t,6,,all_co_sk_spell_cast_site_ub,all_co_sk_swim_spell_cast_site,,,
158,all_co_sk_spell_launch_site,f,4,,all_co_sk_spell_launch_site_ub,all_co_sk_swim_spell_launch_site,all_co_sk_spell_launch_site_ub,,all_co_sk_swim_spell_launch_site
162,fist_ac_pickup_end,f,1,,,,,,
163,fist_ac_push_b,t,7,,,,,,
164,all_co_sk_shout_2,f,4,,all_co_sk_shout_2_ub,all_co_sk_swim_shout,all_co_sk_shout_2_ub,,all_co_sk_swim_shout
165,all_co_sk_spell_launch_ground,f,4,,all_co_sk_spell_launch_ground_ub,all_co_sk_swim_spell_launch_ground,all_co_sk_spell_launch_ground_ub,,all_co_sk_swim_spell_launch_ground
166,fist_ac_capture_launch,f,4,,,fist_ac_capture_launch_ub,fist_ac_capture_launch_ub,fist_ac_capture_launch,fist_ac_capture_launch_ub
167,all_co_sk_backstep,f,4,,,all_co_sk_swim_backstep,all_co_sk_backstep,,all_co_sk_swim_backstep
168,fist_ac_capture_cast,t,1,,,fist_ac_capture_cast_ub,fist_ac_capture_cast_ub,fist_ac_capture_cast,fist_ac_capture_cast_ub
169,fist_ba_combat_idle,f,2,,,,,,
171,all_co_sk_spell_cast_spread,t,6,,all_co_sk_spell_cast_spread_ub,all_co_sk_swim_spell_cast_spread,,,
174,all_co_sk_dashattack,f,4,,,all_co_sk_swim_dashattack_ub,all_co_sk_dashattack_ub,,all_co_sk_swim_dashattack_ub
175,all_co_sk_dashattack_2,f,4,,,all_co_sk_swim_dashattack_2_ub,all_co_sk_dashattack_2_ub,,all_co_sk_swim_dashattack_2_ub
180,all_re_combat_stun_2,t,11,,,all_re_combat_swim_stun,,,
181,all_co_sk_spell_launch_r,f,4,,all_co_sk_spell_launch_r_ub,all_co_sk_swim_spell_launch_r,all_co_sk_spell_launch_r_ub,,all_co_sk_swim_spell_launch_r
182,all_co_sk_spell_launch_l,f,4,,all_co_sk_spell_launch_l_ub,all_co_sk_swim_spell_launch_l,all_co_sk_spell_launch_l_ub,,all_co_sk_swim_spell_launch_l
183,all_co_sk_spell_launch_all,f,4,,all_co_sk_spell_launch_all_ub,all_co_sk_swim_spell_launch_all,all_co_sk_spell_launch_all_ub,,all_co_sk_swim_spell_launch_all
186,all_co_sk_spell_cast_missile,t,6,,all_co_sk_spell_cast_missile_ub,all_co_sk_swim_spell_cast_missile,,,
187,all_co_sk_spell_launch_missile,f,4,,all_co_sk_spell_launch_missile_ub,all_co_sk_swim_spell_launch_missile,all_co_sk_spell_launch_missile_ub,,all_co_sk_swim_spell_launch_missile
188,all_co_sk_spell_cast_swich,t,6,,,all_co_sk_swim_spell_cast_swich,,,
189,all_co_sk_spell_cast_vitality,t,6,,,all_co_sk_swim_spell_cast_vitality,,,
190,all_co_sk_spell_cast_shield,t,6,,,all_co_sk_swim_spell_cast_shield,,,
191,all_co_sk_spell_cast_bless,t,6,,,all_co_sk_swim_spell_cast_bless,,,
192,all_co_sk_spell_cast_union,t,6,,,all_co_sk_swim_spell_cast_union,,,
193,all_co_sk_spell_cast_love,t,6,,,all_co_sk_swim_spell_cast_love,,,
194,all_co_sk_spell_cast_spear,t,6,,,all_co_sk_swim_spell_cast_spear,,,
195,all_co_sk_spell_cast_dead,t,6,,,all_co_sk_swim_spell_cast_dead,,,
196,all_co_sk_spell_cast_cold,t,6,,,all_co_sk_swim_spell_cast_cold,,,
197,all_co_sk_spell_channel_pray,t,6,,,all_co_sk_swim_spell_channel_pray,,,
198,all_co_sk_spell_channel_zero,t,6,,,all_co_sk_swim_spell_channel_zero,,,
199,all_co_sk_spell_channel_cure,t,6,,,all_co_sk_swim_spell_channel_cure,,,
200,all_co_sk_spell_launch_swich,f,4,,,all_co_sk_swim_spell_launch_swich,all_co_sk_spell_launch_swich_ub,,all_co_sk_swim_spell_launch_swich
201,all_co_sk_spell_launch_vitality,f,4,,,all_co_sk_swim_spell_launch_vitality,all_co_sk_spell_launch_vitality_ub,,all_co_sk_swim_spell_launch_vitality
