id,wi_id,count,doodad_id,use_alias,team_share,highlight_doodad_id,quest_act_obj_alias_id,phase
144,19,1,1208,f,f,0,,0
145,19,1,1127,t,t,0,29,0
147,19,1,1059,f,f,0,30,0
148,19,4,1070,t,f,0,31,0
149,19,8,1082,t,f,1082,32,0
151,19,3,932,t,f,932,34,0
152,19,1,1048,t,t,0,35,0
153,0,1,1233,f,f,0,,0
158,0,1,1233,f,f,0,,0
160,0,1,1338,f,f,0,,0
163,19,3,2590,f,t,2590,,5522
164,19,1,1360,t,t,1360,331,0
165,19,5,1361,t,t,1361,333,0
166,19,1,,f,t,0,,0
168,19,1,1374,f,t,0,,0
169,19,5,1375,t,t,1375,322,0
170,74,1,1376,f,t,0,,0
171,19,1,2706,t,t,2706,335,0
172,0,1,1457,t,t,1457,36,0
173,19,1,1462,t,f,1462,37,0
174,0,1,1464,f,f,0,,0
176,19,1,1466,f,f,1466,38,0
180,19,1,1459,t,f,1459,39,0
182,19,1,1412,t,f,1412,40,0
184,19,1,1461,t,t,1461,42,0
185,19,5,1415,t,f,1415,43,0
186,19,1,1473,t,t,1473,44,0
188,0,1,1475,f,f,1475,45,0
189,19,1,1476,f,f,1476,46,0
190,0,1,1477,t,f,1477,47,0
191,19,1,,f,f,,,0
192,19,1,1342,t,f,1342,48,0
193,19,1,1410,t,f,1410,49,0
195,19,1,1480,f,t,,50,0
197,19,3,1482,f,f,1482,51,0
200,19,1,,f,f,,,0
201,19,1,,f,f,,,0
203,19,3,1488,t,f,1488,52,0
204,19,1,1489,f,t,,,0
207,19,1,1497,f,t,,,0
208,19,1,1496,f,t,,53,0
213,19,1,869,t,f,869,58,0
214,19,2,1461,t,t,1461,59,0
215,19,1,1527,t,f,1527,60,0
216,19,3,1509,t,t,1509,267,0
217,19,1,1530,f,t,,,0
218,19,1,,f,t,1524,,0
219,19,1,1531,t,f,1531,61,0
220,19,1,1533,t,t,1533,62,0
223,19,1,1513,t,f,,201,7389
224,19,3,2553,t,t,2553,271,0
225,19,1,1516,t,t,,273,0
228,19,5,1679,t,t,1679,292,0
229,19,1,1520,t,t,1520,249,0
231,19,1,1461,t,f,1461,63,0
233,19,1,1540,t,t,1540,258,0
234,19,5,1523,t,t,1523,297,0
235,19,1,1542,t,t,1542,64,0
236,19,1,1543,f,f,1543,65,0
237,19,1,1575,t,t,1575,216,0
238,0,1,1577,f,t,,,0
241,19,1,1589,f,t,1589,,0
242,19,5,1596,t,f,1596,489,0
243,19,1,1474,t,f,,66,0
244,19,1,1601,t,f,1601,67,0
245,19,1,1461,t,f,1461,68,0
246,5,1,1505,f,f,,,0
247,0,1,1650,t,t,,,0
248,0,1,1650,f,t,1650,,0
250,0,1,1699,t,f,1699,69,0
251,19,1,1702,t,f,1702,70,0
252,19,1,1654,f,f,1654,,0
255,0,1,1467,t,f,1467,71,0
256,19,10,671,f,t,,,0
257,19,1,1724,t,t,1724,72,0
258,19,3,1349,t,f,1349,73,0
259,19,1,332,f,f,332,,0
260,19,1,1748,t,f,1748,74,0
262,19,1,1877,f,t,1877,75,0
263,19,1,803,t,t,803,76,0
264,19,1,1634,t,f,1634,77,0
265,0,1,1127,t,f,1127,78,0
266,19,1,2880,t,f,2880,79,0
270,19,1,2130,t,t,2130,80,0
272,19,1,1086,t,f,1086,82,0
273,19,1,702,t,f,702,83,0
274,19,1,1490,f,t,1490,,0
278,19,1,825,f,t,825,,0
279,19,1,827,t,t,827,699,0
280,19,1,828,t,t,828,700,0
281,19,1,829,t,t,829,698,0
282,19,1,2154,t,f,2154,1717,0
283,19,1,2175,t,t,2175,84,0
284,19,1,2176,t,t,2176,85,0
285,19,1,2177,t,t,2177,86,0
286,19,1,2178,t,t,2178,87,0
287,19,1,2146,t,t,2146,1704,0
289,19,1,1518,t,t,1518,256,0
291,19,1,1521,f,t,1521,,0
293,19,1,1062,t,t,1062,89,0
294,19,1,1071,f,t,1071,90,0
296,0,1,1063,t,f,1063,92,0
298,19,1,1083,t,f,1083,99,0
299,19,3,1068,t,f,1068,103,0
300,19,1,2422,f,f,2422,,0
302,19,1,2432,t,f,2432,109,0
309,19,5,1453,t,f,1453,130,0
311,19,1,2880,t,f,2880,143,0
312,19,1,1671,t,f,1671,145,0
314,19,1,1081,t,t,1081,154,0
316,19,1,1515,t,f,1515,160,0
317,19,3,1065,t,f,1065,164,0
318,19,1,937,t,f,937,166,0
319,19,1,1066,t,f,1066,170,0
320,19,1,1071,t,f,1071,172,0
321,19,1,3634,t,f,3634,200,
323,19,1,3903,t,t,3903,199,0
324,19,3,1602,t,f,1602,202,4886
326,19,1,2544,t,f,2544,204,0
328,19,5,1083,t,f,1083,206,0
330,0,1,3779,t,t,3779,212,0
331,0,1,3780,t,t,3780,213,0
332,19,1,2481,t,f,2481,218,0
333,19,1,2578,t,f,2578,223,0
335,19,1,2578,t,f,2578,230,0
336,19,1,2584,t,f,2584,232,0
337,19,4,2586,t,t,2586,237,0
339,19,3,1068,t,f,1068,240,0
340,19,1,1062,t,f,1062,241,0
342,19,1,2558,t,f,2558,1458,0
343,19,1,4280,t,t,4280,248,0
344,19,5,3651,t,t,3651,264,0
347,19,1,2637,t,f,2637,316,0
348,19,5,1449,t,f,1449,332,0
349,19,3,1600,t,f,1600,340,
350,19,1,2713,t,f,2713,341,0
351,19,1,2746,t,f,2746,369,0
352,19,1,2749,t,f,2749,370,5979
355,19,1,2670,t,f,2670,382,5770
356,19,1,2770,t,f,2770,383,0
357,19,1,2778,t,f,2778,386,0
358,19,1,2779,t,f,2779,387,0
359,19,1,2782,t,f,2782,393,6160
360,1,5,304,t,f,304,401,0
363,19,1,2800,t,f,2800,420,0
365,19,1,1454,t,f,1454,426,0
366,19,1,2862,t,f,2862,427,6414
367,19,1,2674,t,f,2674,428,0
369,19,3,2134,t,f,2134,449,0
370,19,3,1732,t,f,1732,450,0
372,19,1,2880,t,f,2880,472,0
373,19,1,2914,t,f,2914,479,6553
374,19,1,2843,t,f,2843,481,0
376,19,8,997,t,t,997,488,0
379,19,1,2930,t,f,2930,498,0
382,19,3,2945,t,t,2945,513,0
383,19,1,2947,t,f,2947,514,0
384,19,1,2948,t,f,2948,516,0
385,19,1,2950,t,f,2950,517,0
388,19,3,2934,t,t,2934,645,6607
389,19,1,2963,t,f,2963,667,0
393,19,3,2141,t,f,2141,549,0
394,19,5,3003,t,f,3003,554,0
395,19,1,3021,t,f,3021,670,0
398,19,3,2967,t,f,2967,634,0
399,19,1,3074,t,t,3074,637,0
400,19,3,2901,t,f,2901,638,0
402,19,1,2635,t,f,2635,658,
403,19,1,3170,t,f,,659,0
404,19,1,3255,t,f,3255,688,0
406,19,1,825,t,t,825,697,
410,19,1,2781,t,f,2781,713,0
411,19,1,1965,t,f,1965,722,0
412,19,1,1966,t,f,1966,721,0
413,19,1,825,t,t,825,730,0
414,19,1,827,t,t,827,731,0
415,19,1,828,t,t,828,732,0
416,19,1,829,t,t,829,733,0
417,19,1,2876,t,f,2876,736,0
418,19,1,1299,t,t,1299,738,0
419,19,1,3298,t,f,3298,798,0
420,19,1,1451,t,f,1451,808,0
421,19,1,3337,t,f,3337,816,0
422,19,1,3382,t,t,,817,7886
424,19,3,3341,t,t,3341,886,0
425,19,1,3386,t,t,,818,7882
427,19,1,3386,t,t,,820,7882
429,19,5,3357,t,t,3357,842,0
430,19,8,3351,t,f,3351,876,0
431,19,1,3365,t,f,3365,878,0
432,19,1,3616,t,f,3616,885,0
433,19,5,3444,t,f,3444,893,0
434,19,1,3382,t,t,,894,7886
437,19,5,3456,t,f,3456,899,0
438,19,15,3407,t,f,3407,900,0
439,19,15,3449,t,f,3449,901,0
441,19,15,3457,t,f,3457,904,0
442,19,1,3470,t,f,3470,917,0
443,19,1,3343,t,f,3343,926,0
444,19,1,3343,t,t,3343,929,0
445,19,3,3487,t,f,3487,937,0
447,19,3,3493,t,f,3493,947,0
448,103,1,3514,t,f,3514,975,0
449,19,1,3515,t,f,3515,976,0
451,19,1,3548,f,f,3548,,0
452,19,1,3549,t,f,3549,1246,0
453,19,1,3552,t,f,3552,981,0
454,19,1,3533,t,f,3533,1213,0
455,19,5,3559,t,f,3559,1320,0
456,19,8,3561,t,f,3561,1353,0
457,19,1,3562,t,f,3562,1284,0
458,19,1,3565,t,t,,994,8579
459,19,1,3565,t,t,,995,8579
460,19,1,3471,t,t,,996,8680
461,19,1,3471,t,t,,997,8680
462,19,1,3587,f,f,3587,,0
463,19,1,3662,t,f,3662,1080,0
464,19,1,3579,t,f,3579,999,0
465,19,3,3570,t,f,3570,1000,0
467,19,3,3575,t,f,3575,1057,0
468,19,1,3747,t,f,3747,1004,0
471,19,1,1500,t,f,1500,1141,0
472,19,5,3752,t,f,3752,1020,0
473,19,1,3754,t,f,3754,1024,0
474,19,1,1502,t,f,1502,1026,0
475,19,1,1503,t,f,1503,1028,0
479,19,3,,t,f,3794,1015,0
480,19,1,3795,t,f,3795,1016,9142
482,19,1,3582,t,f,3582,1031,0
483,19,1,3757,t,f,3757,1032,0
486,19,1,3778,t,f,3778,1061,0
489,19,1,3909,t,f,3909,1109,0
490,19,1,3917,t,f,3917,1122,9463
491,19,8,3933,t,t,3933,1319,0
492,19,1,3938,t,f,3938,1126,0
493,19,1,3918,t,f,3918,1128,9510
494,19,1,3919,t,f,3919,1129,9517
495,19,1,3857,t,t,3857,1152,0
496,19,1,3645,t,t,3645,1155,0
497,19,8,3965,t,f,3965,1163,0
498,19,1,4009,t,t,4009,1193,0
499,19,1,4011,t,t,4011,1194,0
500,103,1,4012,t,t,4012,1195,0
501,19,1,4026,t,f,4026,1196,0
502,19,1,4033,t,f,4033,1201,0
503,103,1,,f,f,,,0
505,19,1,4067,t,f,4067,1218,0
506,19,3,3764,t,f,3764,1224,0
507,19,3,4086,t,f,4086,1242,0
508,19,1,2554,t,t,2554,1243,0
509,19,1,4094,t,f,4094,1250,0
510,103,5,4114,t,f,4114,1266,9980
511,19,5,4117,t,f,4117,1269,9986
513,19,1,4093,t,f,4093,1276,0
520,19,1,3000,t,f,3000,1279,0
522,19,0,,f,f,4161,,0
525,19,3,4178,t,f,4178,1312,10360
526,19,1,4252,t,f,4252,1883,0
528,19,1,4254,t,f,4254,1316,0
530,19,1,1634,t,f,1634,1325,0
531,19,1,4260,t,f,4260,2559,0
532,19,1,4291,t,t,4291,1339,0
536,19,1,4367,t,f,4367,1367,10855
537,19,1,3859,t,f,3859,1396,0
539,19,1,4380,t,f,4380,1405,0
540,19,1,4383,t,f,4383,1406,0
542,19,1,940,t,f,940,1414,0
543,19,1,4374,t,f,4374,1415,0
544,19,3,4385,t,f,4385,1417,0
548,19,8,4392,t,f,4392,1421,0
549,19,1,4410,t,f,4410,1424,0
550,19,1,4413,t,f,4413,1425,0
551,19,1,4414,t,f,4414,1426,0
552,19,1,4415,t,f,4415,1427,0
555,19,1,4295,t,f,4295,2003,0
556,19,1,4466,t,f,4466,1446,10904
557,19,1,4325,f,f,4325,,0
559,19,5,4497,t,f,4497,1461,10990
560,19,1,4505,t,f,4505,1479,0
561,19,3,1421,t,f,1421,1511,0
562,19,1,4502,f,f,4502,,0
564,19,1,4529,t,f,4529,1555,0
566,19,1,4574,t,f,4574,1567,11214
567,19,3,4588,t,f,4588,1573,11262
568,19,5,4589,t,f,4589,1574,0
571,19,1,4593,t,f,4593,1581,0
572,19,3,4550,t,t,4550,1605,0
574,19,1,2722,t,f,2722,1630,0
575,19,3,2147,t,f,2147,1640,11288
577,5,5,4592,t,f,4592,1652,0
579,19,1,3428,t,f,3428,1656,0
581,19,1,,f,f,1737,1679,0
582,19,1,4617,t,f,4617,1695,13825
583,19,1,4930,t,f,4930,1706,0
584,19,1,4625,t,f,4625,1707,0
585,19,1,4746,t,f,4746,1708,0
586,19,1,4558,t,f,4558,1759,11292
587,19,1,4980,t,f,4980,1769,0
589,19,1,4988,t,f,4988,1774,0
590,19,1,4982,t,f,4982,1776,0
591,19,5,4993,t,f,4993,1777,0
592,19,3,4994,t,f,4994,1779,0
593,19,5,5000,t,f,5000,1781,0
594,19,1,5019,t,f,5019,1815,0
595,19,1,5066,t,f,5066,1845,0
596,19,1,5057,t,f,5057,1852,0
597,19,1,1717,t,f,1717,1878,0
598,19,1,1719,t,f,1719,1879,0
599,19,1,1715,t,f,1715,1880,0
600,19,1,5066,t,f,5066,1881,0
601,90,1,,f,f,,1899,0
603,19,1,2881,t,f,2881,1919,0
605,19,1,1473,t,f,1473,1948,0
606,19,1,5296,t,f,5296,1952,13701
608,19,10,5297,t,f,5297,1953,0
609,19,3,2884,t,f,2884,1967,0
610,19,1,5305,t,f,5305,1968,0
612,19,1,5324,t,f,5324,1981,0
613,19,1,4617,t,f,4617,1976,13825
615,19,1,5382,t,f,5382,1987,0
616,19,10,1449,t,f,1449,1988,0
617,19,5,1914,t,f,1914,1999,0
618,19,1,3910,t,f,3910,2028,0
619,19,10,1415,t,f,1415,2006,0
622,19,4,3495,t,f,3495,2031,0
623,19,5,4589,t,f,4589,2039,0
626,19,5,997,t,f,997,2068,0
627,19,5,2934,t,f,2934,2075,0
628,19,5,4044,t,f,4044,2081,0
629,19,3,4988,t,f,4988,2128,0
630,19,1,4977,t,f,4977,2122,0
631,19,3,5847,t,f,5847,2117,0
632,19,1,5001,t,t,5001,2118,0
634,19,3,3965,t,f,3965,2121,0
636,19,3,3549,t,f,3549,2156,0
638,19,1,5892,t,t,5892,2165,0
639,19,3,5876,t,f,5876,2169,0
640,19,3,5902,t,f,5902,2173,0
642,19,1,3580,t,f,3580,2184,0
644,19,1,2563,t,t,2563,2187,0
645,19,1,721,t,f,721,2190,0
646,19,3,4271,t,f,4271,2213,0
649,19,1,5971,t,f,5971,2231,15393
650,19,3,4335,t,f,4335,2254,0
651,19,8,6087,t,f,6087,2273,0
652,19,1,6140,f,f,6140,,0
653,19,1,6152,t,f,6152,2319,0
654,19,3,6117,t,f,6117,2320,0
657,19,2,6191,f,f,,,0
658,19,1,6197,t,f,6197,2328,0
659,19,2,6317,f,f,,,0
660,19,1,6258,t,f,6258,2343,0
662,4,1,2269,t,f,2269,2354,4498
663,19,5,6385,t,f,6385,2369,0
664,19,1,6407,t,f,6407,2364,0
666,19,1,6407,t,f,6407,2366,0
667,19,1,6405,t,f,6405,2367,0
669,19,1,6408,t,f,6408,2376,0
670,19,1,6411,t,f,6411,2379,0
671,19,1,6453,t,f,6453,2380,0
676,19,1,6883,t,f,6883,2497,0
677,19,1,6884,t,f,6884,2473,0
678,19,1,6927,t,f,6927,2472,0
679,19,1,6928,t,f,6928,2474,0
680,19,1,6929,t,f,6929,2475,0
681,19,1,6930,t,f,6930,2476,0
682,19,1,6931,t,f,6931,2477,0
683,19,1,6932,t,f,6932,2478,0
684,19,1,6933,t,f,6933,2479,0
685,19,1,6934,t,f,6934,2480,0
686,19,1,6935,t,f,6935,2481,0
687,19,1,6936,t,f,6936,2482,0
688,19,1,6937,t,f,6937,2483,0
689,19,1,6938,t,f,6938,2484,0
690,19,1,6939,t,f,6939,2485,0
691,19,1,6940,t,f,6940,2486,0
692,19,1,6941,t,f,6941,2487,0
693,19,1,6942,t,f,6942,2488,0
694,19,1,6943,t,f,6943,2489,0
695,19,1,6944,t,f,6944,2490,0
696,19,1,6945,t,f,6945,2491,0
697,19,1,6946,t,f,6946,2492,0
698,19,1,6947,t,f,6947,2493,0
699,19,1,6948,t,f,6948,2494,0
701,19,1,6990,t,f,6990,2548,0
702,19,10,6987,t,f,6987,2505,0
707,19,1,7040,t,f,7040,2522,0
708,19,1,7045,t,f,7045,2527,0
709,19,10,7044,f,f,7044,,0
710,19,10,7044,f,f,7044,,0
712,19,1,7203,t,f,7203,2607,0
714,19,1000,7203,t,f,7203,2622,0
715,19,100,7203,t,f,7203,2623,0
716,19,50,7203,t,f,7203,2624,0
717,19,10,7203,t,f,7203,2625,0
718,19,5,7077,t,f,,2628,19321
719,19,5,7077,t,f,,2630,19926
720,19,3,7082,t,f,,2632,0
721,19,3,7081,t,f,,2633,0
722,19,3,7083,t,f,,2631,0
