id,item_id,slot_type_id,type_id,mod_set_id,eiset_id,or_unit_reqs,repairable,durability_multiplier,recharge_buff_id,charge_lifetime,charge_count
219,27961,2,5,46,165,f,t,100,,0,0
220,27962,11,5,43,165,f,t,100,,0,0
221,27963,10,5,64,165,f,t,100,,0,0
222,28158,2,5,71,,f,t,100,,0,0
223,28159,11,5,71,,f,t,100,,0,0
224,28160,10,5,71,,f,t,100,,0,0
225,28231,2,5,,,f,t,100,,0,0
226,28232,2,5,,,f,t,100,,0,0
227,28233,2,5,,,f,t,100,,0,0
228,28234,2,5,71,,f,t,100,,0,0
229,28235,2,5,72,,f,t,100,,0,0
230,28236,2,5,74,,f,t,100,,0,0
231,28318,2,5,73,,f,t,100,,0,0
232,28319,10,5,73,,f,t,100,,0,0
233,28320,11,5,73,,f,t,100,,0,0
234,28621,2,5,,,f,t,100,,0,0
235,28799,11,5,,,f,t,100,,0,0
236,28800,11,5,,,f,t,100,,0,0
237,28801,11,5,,,f,t,100,,0,0
238,28802,11,5,,,f,t,100,,0,0
239,28906,10,5,,,f,t,100,,0,0
240,28907,11,5,,,f,t,100,,0,0
241,28993,11,5,,,f,t,100,,0,0
242,28994,10,5,,,f,t,100,,0,0
243,28995,2,5,,,f,t,100,,0,0
244,29433,2,5,71,,f,t,100,,0,0
245,29434,2,5,72,,f,t,100,,0,0
246,29435,2,5,74,,f,t,100,,0,0
247,29440,2,5,71,,f,t,100,,0,0
248,29441,2,5,72,,f,t,100,,0,0
249,29442,2,5,74,,f,t,100,,0,0
250,29443,2,5,71,,f,t,100,,0,0
251,29444,2,5,72,,f,t,100,,0,0
252,29445,2,5,74,,f,t,100,,0,0
253,29447,2,5,71,,f,t,100,,0,0
254,29448,2,5,72,,f,t,100,,0,0
255,29449,2,5,74,,f,t,100,,0,0
256,29450,2,5,71,,f,t,100,,0,0
257,29451,2,5,72,,f,t,100,,0,0
258,29452,2,5,74,,f,t,100,,0,0
259,29453,2,5,71,,f,t,100,,0,0
260,29454,2,5,72,,f,t,100,,0,0
261,29455,2,5,74,,f,t,100,,0,0
262,29456,2,5,71,,f,t,100,,0,0
263,29457,2,5,72,,f,t,100,,0,0
264,29458,2,5,74,,f,t,100,,0,0
265,29459,2,5,71,,f,t,100,,0,0
266,29460,2,5,72,,f,t,100,,0,0
267,29461,2,5,74,,f,t,100,,0,0
268,29462,2,5,71,,f,t,100,,0,0
269,29463,2,5,72,,f,t,100,,0,0
270,29464,2,5,74,,f,t,100,,0,0
271,29465,2,5,71,,f,t,100,,0,0
272,29466,2,5,72,,f,t,100,,0,0
273,29467,2,5,74,,f,t,100,,0,0
274,29468,2,5,71,,f,t,100,,0,0
275,29469,2,5,72,,f,t,100,,0,0
276,29470,2,5,74,,f,t,100,,0,0
277,29471,2,5,71,,f,t,100,,0,0
278,29472,2,5,72,,f,t,100,,0,0
279,29473,2,5,74,,f,t,100,,0,0
280,29474,2,5,71,,f,t,100,,0,0
281,29475,2,5,72,,f,t,100,,0,0
282,29476,2,5,74,,f,t,100,,0,0
283,29477,2,5,71,,f,t,100,,0,0
284,29478,2,5,72,,f,t,100,,0,0
285,29479,2,5,74,,f,t,100,,0,0
286,29518,11,5,71,,f,t,100,,0,0
287,29519,11,5,72,,f,t,100,,0,0
288,29520,11,5,74,,f,t,100,,0,0
289,29521,11,5,71,,f,t,100,,0,0
290,29522,11,5,72,,f,t,100,,0,0
291,29523,11,5,74,,f,t,100,,0,0
292,29524,11,5,71,,f,t,100,,0,0
293,29525,11,5,72,,f,t,100,,0,0
294,29526,11,5,74,,f,t,100,,0,0
295,29527,11,5,71,,f,t,100,,0,0
296,29528,11,5,72,,f,t,100,,0,0
297,29529,11,5,74,,f,t,100,,0,0
298,29530,11,5,71,,f,t,100,,0,0
299,29531,11,5,72,,f,t,100,,0,0
300,29532,11,5,74,,f,t,100,,0,0
301,29533,11,5,71,,f,t,100,,0,0
302,29534,11,5,72,,f,t,100,,0,0
303,29535,11,5,74,,f,t,100,,0,0
304,29536,11,5,71,,f,t,100,,0,0
305,29537,11,5,72,,f,t,100,,0,0
306,29538,11,5,74,,f,t,100,,0,0
307,29539,11,5,71,,f,t,100,,0,0
308,29540,11,5,72,,f,t,100,,0,0
309,29541,11,5,74,,f,t,100,,0,0
310,29542,11,5,71,,f,t,100,,0,0
311,29543,11,5,72,,f,t,100,,0,0
312,29544,11,5,74,,f,t,100,,0,0
313,29545,11,5,71,,f,t,100,,0,0
314,29546,11,5,72,,f,t,100,,0,0
315,29547,11,5,74,,f,t,100,,0,0
316,29548,11,5,71,,f,t,100,,0,0
317,29549,11,5,72,,f,t,100,,0,0
318,29550,11,5,74,,f,t,100,,0,0
319,29551,11,5,71,,f,t,100,,0,0
320,29552,11,5,72,,f,t,100,,0,0
321,29553,11,5,74,,f,t,100,,0,0
322,29554,11,5,71,,f,t,100,,0,0
323,29555,11,5,72,,f,t,100,,0,0
324,29556,11,5,74,,f,t,100,,0,0
325,29557,11,5,71,,f,t,100,,0,0
326,29558,11,5,72,,f,t,100,,0,0
327,29559,11,5,74,,f,t,100,,0,0
328,29560,11,5,71,,f,t,100,,0,0
329,29561,11,5,72,,f,t,100,,0,0
330,29562,11,5,74,,f,t,100,,0,0
331,29563,10,5,71,,f,t,100,,0,0
332,29564,10,5,72,,f,t,100,,0,0
333,29565,10,5,74,,f,t,100,,0,0
334,29566,10,5,71,,f,t,100,,0,0
335,29567,10,5,72,,f,t,100,,0,0
336,29568,10,5,74,,f,t,100,,0,0
337,29569,10,5,71,,f,t,100,,0,0
338,29570,10,5,72,,f,t,100,,0,0
339,29571,10,5,74,,f,t,100,,0,0
340,29572,10,5,71,,f,t,100,,0,0
341,29573,10,5,72,,f,t,100,,0,0
342,29574,10,5,74,,f,t,100,,0,0
343,29575,10,5,71,,f,t,100,,0,0
344,29576,10,5,72,,f,t,100,,0,0
345,29577,10,5,74,,f,t,100,,0,0
346,29578,10,5,71,,f,t,100,,0,0
347,29579,10,5,72,,f,t,100,,0,0
348,29580,10,5,74,,f,t,100,,0,0
349,29581,10,5,71,,f,t,100,,0,0
350,29582,10,5,72,,f,t,100,,0,0
351,29583,10,5,74,,f,t,100,,0,0
352,29584,10,5,71,,f,t,100,,0,0
353,29585,10,5,71,,f,t,100,,0,0
354,29586,10,5,72,,f,t,100,,0,0
355,29587,10,5,74,,f,t,100,,0,0
356,29588,10,5,71,,f,t,100,,0,0
357,29589,10,5,72,,f,t,100,,0,0
358,29590,10,5,74,,f,t,100,,0,0
359,29591,10,5,71,,f,t,100,,0,0
360,29592,10,5,72,,f,t,100,,0,0
361,29593,10,5,74,,f,t,100,,0,0
362,29594,10,5,71,,f,t,100,,0,0
363,29595,10,5,72,,f,t,100,,0,0
364,29596,10,5,74,,f,t,100,,0,0
365,29597,10,5,71,,f,t,100,,0,0
366,29598,10,5,72,,f,t,100,,0,0
367,29599,10,5,74,,f,t,100,,0,0
368,29600,10,5,71,,f,t,100,,0,0
369,29601,10,5,72,,f,t,100,,0,0
370,29602,10,5,74,,f,t,100,,0,0
371,29603,10,5,71,,f,t,100,,0,0
372,29604,10,5,72,,f,t,100,,0,0
373,29605,10,5,74,,f,t,100,,0,0
374,29606,10,5,71,,f,t,100,,0,0
375,29607,10,5,72,,f,t,100,,0,0
376,29608,10,5,74,,f,t,100,,0,0
377,29609,2,5,71,,f,t,100,,0,0
378,29610,2,5,72,,f,t,100,,0,0
379,29611,2,5,74,,f,t,100,,0,0
380,29731,2,5,,,f,t,100,,0,0
381,29743,2,5,,,f,t,100,,0,0
382,29744,2,5,,,f,t,100,,0,0
383,29745,2,5,,,f,t,100,,0,0
384,29746,2,5,,,f,t,100,,0,0
385,29747,2,5,,,f,t,100,,0,0
386,29748,2,5,,,f,t,100,,0,0
387,29749,2,5,,,f,t,100,,0,0
388,29750,2,5,,,f,t,100,,0,0
389,29751,2,5,,,f,t,100,,0,0
