id,npc_id,mount_skill_id
577,8961,83
578,8961,1
579,8961,1
580,8961,100
581,8961,100
582,8961,89
583,8961,89
584,8961,64
585,8961,64
586,9186,83
587,9186,83
588,9186,1
589,9186,1
590,9186,100
591,9186,100
592,9186,89
593,9186,89
594,9186,64
595,9186,64
596,9185,83
597,9185,83
598,9185,1
599,9185,1
600,9185,100
601,9185,100
602,9185,89
603,9185,89
604,9185,64
605,9185,64
606,10800,83
607,10800,83
608,10800,2
609,10800,2
610,10800,88
611,10800,88
612,10800,98
613,10800,98
614,10800,105
615,10800,105
616,10813,83
617,10813,83
618,10813,2
619,10813,2
620,10813,88
621,10813,88
622,10813,98
623,10813,98
624,10813,105
625,10813,105
626,10812,83
627,10812,83
628,10812,2
629,10812,2
630,10812,88
631,10812,88
632,10812,98
633,10812,98
634,10812,105
635,10812,105
636,5431,3
637,11554,126
638,11554,126
640,11943,114
641,11943,213
642,11943,138
643,11943,218
644,11943,155
645,11943,137
646,8180,53
647,11570,53
648,11570,53
649,11569,53
650,11569,53
651,11568,53
652,11568,53
653,11570,133
654,11570,133
656,11970,134
657,11970,134
658,11970,114
659,11970,213
660,11970,136
661,11970,140
662,11970,135
663,11970,131
664,11971,114
665,11971,213
666,11971,138
667,11971,218
668,11971,137
669,11971,155
670,11971,139
671,11971,156
672,11972,134
673,11972,134
674,11972,114
675,11972,213
676,11972,140
677,11972,170
678,11972,141
679,11972,131
680,8180,133
681,8180,133
682,11568,133
683,11568,133
684,11569,133
685,11569,133
686,12070,146
687,12070,146
688,12070,148
689,12070,148
690,12070,145
691,12070,145
692,12070,144
693,12070,144
694,12070,147
695,12070,147
696,12056,146
697,12056,146
698,12056,148
699,12056,148
700,12056,145
701,12056,145
702,12056,144
703,12056,144
704,12056,147
705,12056,147
706,12067,146
707,12067,146
708,12067,148
709,12067,148
710,12067,145
711,12067,145
712,12067,144
713,12067,144
714,12067,147
715,12067,147
726,12069,146
727,12069,146
728,12069,148
729,12069,148
730,12069,145
731,12069,145
732,12069,144
733,12069,144
734,12069,147
735,12069,147
738,12068,151
739,12068,151
740,11973,114
741,11973,213
742,11973,152
743,11973,214
744,11973,153
745,11973,217
746,11975,114
747,11975,114
748,11975,130
749,11975,130
750,11975,131
751,11975,131
752,11943,156
753,11943,166
754,11977,114
755,11977,213
756,11977,157
757,11977,167
758,11977,158
759,11977,139
760,11978,114
761,11978,114
762,11978,159
763,11978,159
766,11960,114
767,11960,114
768,11960,136
769,11960,136
770,11960,159
771,11960,159
772,11981,114
773,11981,114
774,11981,161
775,11981,161
776,11981,162
777,11981,162
778,11981,139
779,11981,139
780,7087,55
781,11982,134
782,11982,134
783,11982,114
784,11982,114
785,11982,115
786,11982,115
787,11982,135
788,11982,135
789,11986,114
790,11986,114
791,11986,164
792,11986,164
793,11986,137
794,11986,137
795,11986,163
796,11986,163
797,11987,114
798,11987,114
799,11987,140
800,11987,140
801,11987,131
802,11987,131
803,11989,134
804,11989,134
805,11989,114
806,11989,114
807,11989,138
808,11989,138
809,11989,165
810,11989,165
811,11991,134
812,11991,134
813,11991,114
814,11991,114
815,11991,138
816,11991,138
817,11991,166
818,11991,166
827,12015,114
828,12015,114
829,12015,158
830,12015,158
831,12017,134
832,12017,134
833,12017,114
834,12017,114
835,12017,170
836,12017,170
837,12017,135
838,12017,135
839,12020,114
840,12020,114
843,12020,171
844,12020,171
845,12026,114
846,12026,114
847,12026,138
848,12026,138
849,12026,163
850,12026,163
851,12027,114
852,12027,114
853,12027,138
854,12027,138
855,12027,155
856,12027,155
857,12027,135
858,12027,135
859,12029,114
860,12029,114
861,12029,130
862,12029,130
863,12029,141
864,12029,141
865,12028,114
866,12028,114
867,12028,161
868,12028,161
869,12028,131
870,12028,131
873,12453,262
874,12453,262
875,12453,194
876,12453,194
879,12616,83
880,12616,83
881,12617,83
882,12617,83
883,12616,55
884,12616,55
885,12617,55
886,12617,55
889,12618,55
890,12618,55
891,11977,202
892,11977,202
893,11973,203
894,11973,203
895,11943,204
896,11943,204
897,11970,205
898,11970,205
899,11971,206
900,11971,206
901,11972,207
902,11972,207
903,12453,84
904,12453,84
905,12453,208
906,12453,208
907,12453,197
908,12453,197
909,12369,83
910,12369,83
911,12369,2
912,12369,2
913,12369,13
914,12369,13
915,12369,209
916,12369,209
917,12369,210
918,12369,210
923,13017,196
924,13017,196
933,12997,221
934,13001,250
935,12997,221
936,13001,250
937,12997,213
938,13001,213
939,12997,213
940,13001,213
941,12997,219
942,12997,219
943,12997,162
944,12997,162
945,13001,251
946,13001,251
947,12997,220
948,12997,220
949,13001,252
950,13001,252
951,13001,253
952,13001,253
961,13022,83
962,13022,83
964,13022,1
965,13022,1
966,13022,13
967,13022,13
968,13022,6
969,13022,6
970,13022,3
971,13022,3
972,12858,228
973,12858,228
974,12858,229
975,12858,229
976,12858,213
977,12858,213
978,12858,138
979,12858,138
980,12858,227
981,12858,227
982,12857,230
983,12857,230
984,12857,231
985,12857,231
986,12857,148
987,12857,148
988,12857,232
989,12857,232
990,12857,233
991,12857,233
992,13204,83
993,13204,83
994,13204,2
995,13204,2
996,13204,13
997,13204,13
999,13204,209
1000,13204,209
1001,13204,210
1002,13204,210
1005,13221,248
1006,13221,248
1007,13221,213
1008,13221,213
1009,13221,138
1010,13221,138
1012,13221,246
1013,13221,246
1014,13221,247
1015,13221,247
1018,13308,83
1019,13308,83
1020,13308,285
1021,13308,285
1022,13308,84
1023,13308,84
1024,13308,6
1025,13308,6
1028,13294,282
1029,13294,282
1030,13294,283
1031,13294,283
1032,13294,281
1033,13294,281
1034,13294,284
1035,13294,284
1036,13308,3
1037,13308,3
1038,13294,275
1039,13294,275
1040,13444,250
1041,13444,250
1042,13444,213
1043,13444,213
1044,13450,296
1045,13450,296
1046,13450,1
1047,13450,1
1048,13432,83
1049,13432,83
1051,13488,53
1052,13488,53
1053,13488,133
1054,13488,133
1059,13492,299
1060,13492,299
1061,13432,300
1062,13432,300
1063,13432,84
1064,13432,84
1065,13432,297
1066,13432,297
1067,13519,83
1068,13519,83
1069,13519,300
1070,13519,300
1071,13519,84
1072,13519,84
1073,13519,298
1074,13519,298
1075,13520,83
1076,13520,83
1077,13520,300
1078,13520,300
1079,13520,84
1080,13520,84
1081,13520,297
1082,13520,297
1083,13520,302
1084,13520,302
1095,13627,303
1096,13627,303
1097,13627,304
1098,13627,304
1099,13627,305
1100,13627,305
1101,13627,306
1102,13627,306
1103,13627,307
1104,13627,307
1105,13628,303
1106,13628,303
1107,13628,304
1108,13628,304
1109,13628,305
1110,13628,305
1111,13628,306
1112,13628,306
1113,13628,307
1114,13628,307
1115,13629,303
1116,13629,303
1117,13629,304
1118,13629,304
1119,13629,305
1120,13629,305
1121,13629,306
1122,13629,306
1123,13629,307
1124,13629,307
1127,13537,250
1128,13537,250
1129,13537,114
1130,13537,213
1131,13537,309
1132,13537,310
1133,13537,252
1134,13537,130
1135,13537,311
1136,13537,312
1137,13624,314
1138,13624,314
1141,13624,317
1142,13624,317
1143,13748,318
1144,13748,318
1145,13748,300
1146,13748,300
1147,13748,84
1148,13748,84
1149,13748,297
1150,13748,297
1151,13748,302
1152,13748,302
1153,13750,83
1154,13750,83
1155,13750,1
1156,13750,1
1157,13750,100
1158,13750,100
1159,13750,89
1160,13750,89
1161,13750,64
1162,13750,64
1163,13749,83
1164,13749,83
1165,13749,2
1166,13749,2
1168,13749,88
1169,13749,88
1170,13749,98
1171,13749,98
1172,13749,105
1173,13749,105
1174,13467,250
1175,13467,250
1176,13467,114
1177,13467,213
1178,13467,309
1179,13467,310
1180,13467,252
1181,13467,130
1182,13467,311
1183,13624,308
1184,13624,308
1185,13782,318
1186,13782,318
1188,13782,300
1189,13782,300
1190,13782,84
1191,13782,84
1192,13782,297
1193,13782,297
1194,13782,302
1195,13782,302
1196,13781,83
1197,13781,83
1198,13781,1
1199,13781,1
1200,13781,100
1201,13781,100
1202,13781,89
1203,13781,89
1204,13781,64
1205,13781,64
1206,13780,83
1207,13780,83
1208,13780,2
1209,13780,2
1210,13780,88
1211,13780,88
1212,13780,98
1213,13780,98
1214,13780,105
1215,13780,105
1216,13496,303
1217,13496,303
1218,13496,304
1219,13496,304
1220,13496,305
1221,13496,305
1222,13496,306
1223,13496,306
1224,13496,307
1225,13496,307
1228,13933,322
1229,13933,322
1230,13933,304
1231,13933,304
1232,13933,305
1233,13933,305
1234,13933,323
1235,13933,323
1236,13933,307
1237,13933,307
1238,14043,322
1239,14043,322
1240,14043,304
1241,14043,304
1242,14043,305
1243,14043,305
1244,14043,323
1245,14043,323
1246,14043,307
1247,14043,307
